,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-06,5.488B,5.488B,4.028B,1.46B,655.00M,172.00M,19.00M,,,,175.00M,1.002B,458.00M,,,,16.00M,,402.00M,128.00M,271.00M,,271.00M,258.05M,751.00M,293.00M,458.00M,0.395,0.0,0.3761,0.395,0.39,0.0,0.3714,0.39,686.60M,695.60M,0.17
2001-03,4.81B,4.81B,3.531B,1.279B,621.00M,167.00M,6.00M,,,,,788.00M,491.00M,,,,6.00M,,237.00M,75.00M,162.00M,,162.00M,157.90M,780.00M,289.00M,491.00M,0.235,0.0,0.2291,0.235,0.235,0.0,0.2291,0.235,689.36M,689.36M,0.17
2000-12,5.114B,5.114B,4.397B,717.00M,670.00M,176.00M,7.00M,,,,,77.00M,640.00M,,,,7.00M,,392.00M,128.00M,264.00M,,264.00M,259.29M,893.00M,253.00M,640.00M,0.385,0.0,0.3781,0.385,0.385,0.0,0.3781,0.385,685.59M,685.59M,0.17
2000-09,4.779B,4.779B,3.216B,1.563B,650.00M,161.00M,21.00M,,,,,1.066B,497.00M,,,,21.00M,,261.00M,45.00M,216.00M,,216.00M,198.62M,752.00M,255.00M,497.00M,0.315,0.0,0.2897,0.315,0.31,0.0,0.2851,0.31,685.71M,696.77M,0.17
2000-06,5.363B,5.363B,3.583B,1.78B,647.00M,157.00M,-9.00M,,,,,1.061B,719.00M,,,,-9.00M,,466.00M,151.00M,315.00M,,315.00M,321.08M,976.00M,257.00M,719.00M,0.455,0.0,0.4638,0.455,0.45,0.0,0.4587,0.45,692.31M,700.00M,0.1625
2000-03,4.919B,4.919B,3.301B,1.618B,637.00M,155.00M,36.00M,,,,,1.049B,569.00M,,,,36.00M,,381.00M,123.00M,258.00M,,258.00M,233.62M,826.00M,257.00M,569.00M,0.365,0.0,0.3305,0.365,0.365,0.0,0.3305,0.365,706.85M,706.85M,0.1625
1999-12,5.019B,5.019B,3.447B,1.572B,640.00M,168.00M,56.00M,,,,,1.051B,521.00M,,,,56.00M,,358.00M,119.00M,239.00M,,239.00M,201.61M,764.00M,243.00M,521.00M,0.335,0.0,0.2766,0.335,0.33,0.0,0.2716,0.33,640.60M,640.60M,0.1625
1999-09,4.715B,4.715B,3.235B,1.48B,616.00M,151.00M,58.00M,,,,,1.002B,478.00M,,,,58.00M,,323.00M,104.00M,219.00M,,219.00M,179.67M,713.00M,235.00M,478.00M,0.31,0.0,0.2564,0.31,0.305,0.0,0.2522,0.305,734.20M,745.00M,0.1625
1999-06,5.101B,5.101B,3.508B,1.593B,632.00M,152.00M,46.00M,,,,,1.019B,574.00M,,,,46.00M,,419.00M,136.00M,283.00M,,283.00M,251.93M,809.00M,235.00M,574.00M,0.4,0.0,0.3577,0.4,0.39,0.0,0.3483,0.39,734.20M,745.00M,0.15
1999-03,4.867B,4.867B,3.346B,1.521B,653.00M,155.00M,16.00M,,,,,1.04B,481.00M,,,,16.00M,,301.00M,96.00M,205.00M,,205.00M,194.10M,713.00M,232.00M,481.00M,0.29,0.0,0.2752,0.29,0.285,0.0,0.2704,0.285,734.20M,745.00M,0.15
1998-12,5.406B,5.406B,3.758B,1.648B,709.00M,160.00M,33.00M,,,,,1.082B,566.00M,,,,33.00M,,401.00M,100.00M,301.00M,,301.00M,276.23M,779.00M,213.00M,566.00M,0.425,0.0,0.3902,0.425,0.415,0.0,0.381,0.415,712.28M,727.94M,0.15
1998-09,5.173B,5.173B,3.525B,1.648B,631.00M,163.00M,46.00M,,,,,1.017B,631.00M,,,,46.00M,,474.00M,138.00M,336.00M,,336.00M,303.39M,854.00M,223.00M,631.00M,0.465,0.0,0.4199,0.465,0.46,0.0,0.4154,0.46,722.58M,730.43M,0.15
1998-06,5.604B,5.604B,3.753B,1.851B,634.00M,165.00M,29.00M,,,,,1.024B,827.00M,,,,29.00M,,666.00M,220.00M,446.00M,,446.00M,426.58M,1.052B,225.00M,827.00M,0.61,0.0,0.5834,0.61,0.6,0.0,0.5739,0.6,731.15M,743.33M,0.125
