,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-11,358.59M,358.59M,25.23M,333.36M,,,145.11M,73.09M,,0.484M,,,,,218.20M,115.16M,,,,0.484M,,119.07M,35.72M,83.35M,83.35M,83.01M,127.93M,12.78M,115.16M,,0.175,0.00,0.1743,0.175,,0.165,0.00,0.1643,0.165,,480.24M,500.05M,0.0063,,,
2003-08,319.12M,319.12M,22.08M,297.04M,,,136.46M,68.81M,,-2.557M,,,,,205.27M,91.78M,,,,-2.557M,,92.18M,27.65M,64.52M,64.52M,66.31M,103.96M,12.18M,91.78M,,0.14,0.00,0.1438,0.14,,0.135,0.00,0.1387,0.135,,466.73M,480.99M,0.0063,,,
2003-05,320.15M,320.15M,23.36M,296.79M,,,136.21M,69.12M,,-3.566M,,,,,205.33M,91.46M,,,,-3.566M,,91.78M,27.53M,64.25M,64.25M,66.74M,103.53M,12.06M,91.46M,,0.14,0.00,0.1454,0.14,,0.135,0.00,0.1402,0.135,,464.25M,478.47M,0.0063,,,
2003-02,296.90M,296.90M,22.36M,274.53M,,,128.07M,65.96M,,-6.692M,,,,,194.02M,80.51M,,,,-6.692M,,77.46M,23.24M,54.22M,54.22M,58.91M,92.50M,11.99M,80.51M,,0.115,0.00,0.1251,0.115,,0.115,0.00,0.1250,0.115,,462.17M,470.59M,0.0063,,,
2002-11,294.65M,294.65M,26.52M,268.13M,,,120.13M,64.18M,10.35M,-14.34M,,,,,194.66M,73.47M,,,,-14.34M,,62.17M,22.08M,40.09M,40.09M,49.33M,90.58M,17.12M,73.47M,,0.085,0.00,0.1048,0.085,,0.085,0.00,0.1045,0.085,,467.80M,474.24M,0.0063,,,
2002-08,284.88M,284.88M,31.64M,253.24M,,,120.49M,59.75M,3.541M,-4.198M,,,,,183.77M,69.47M,,,,-4.198M,,69.41M,22.21M,47.20M,47.20M,50.06M,86.31M,16.84M,69.47M,,0.10,0.00,0.1060,0.10,,0.095,0.00,0.1009,0.095,,476.02M,486.75M,0.0063,,,
2002-05,317.36M,317.36M,25.13M,292.23M,,,132.96M,62.86M,3.541M,-15.74M,,,,,199.36M,92.86M,,,,-15.74M,,79.86M,25.55M,54.30M,54.30M,65.01M,108.58M,15.72M,92.86M,,0.115,0.00,0.1375,0.115,,0.11,0.00,0.1316,0.11,,476.40M,495.37M,0.0063,,,
2002-02,267.90M,267.90M,21.00M,246.90M,,,114.92M,59.30M,3.541M,-0.826M,,,,,177.76M,69.14M,,,,-0.826M,,73.25M,23.44M,49.81M,49.81M,50.37M,82.95M,13.80M,69.14M,,0.105,0.00,0.1062,0.105,,0.10,0.00,0.1011,0.10,,473.16M,490.49M,0.0063,,,
2001-11,264.54M,264.54M,19.04M,245.50M,,,122.98M,54.65M,3.55M,-17.96M,,,,,181.18M,64.32M,,,,-17.96M,,51.18M,16.89M,34.29M,34.29M,46.32M,78.51M,14.19M,64.32M,,0.07,0.00,0.0954,0.07,,0.07,0.00,0.0947,0.07,,473.03M,488.10M,0.0063,,,
2001-08,292.12M,292.12M,20.04M,272.08M,,,121.48M,54.19M,3.568M,-39.45M,,,,,179.23M,92.84M,,,,-39.45M,,30.14M,19.85M,40.29M,40.29M,63.96M,106.63M,13.79M,92.84M,,0.085,0.00,0.1347,0.085,,0.08,0.00,0.1276,0.08,,476.10M,497.13M,0.0063,,,
2001-05,344.09M,344.09M,22.36M,321.73M,,,140.66M,59.60M,3.581M,-31.03M,,,,,203.84M,117.90M,,,,-31.03M,,91.50M,30.20M,61.30M,61.30M,82.10M,132.38M,14.48M,117.90M,,0.13,0.00,0.1736,0.13,,0.125,0.00,0.1666,0.125,,476.33M,500.25M,0.0063,,,
2001-02,328.97M,328.97M,20.02M,308.95M,,,134.23M,55.69M,3.582M,-17.04M,,,,,193.50M,115.45M,,,,-17.04M,,104.11M,34.36M,69.76M,69.76M,81.17M,129.65M,14.19M,115.45M,,0.145,0.00,0.1688,0.145,,0.14,0.00,0.1625,0.14,,480.16M,507.22M,0.0063,,,
2000-11,355.19M,355.19M,22.26M,332.93M,,,145.12M,60.27M,3.38M,-7.889M,,,,,208.77M,124.16M,,,,-7.889M,,122.78M,43.59M,79.20M,79.20M,84.28M,136.50M,12.34M,124.16M,,0.1675,0.00,0.1781,0.1675,,0.1575,0.00,0.1674,0.1575,,478.92M,515.00M,0.0063,,,
2000-08,328.87M,328.87M,23.67M,305.20M,,,136.54M,61.57M,1.215M,9.397M,,,,,199.32M,105.88M,,,,9.397M,,120.43M,42.16M,78.27M,78.27M,72.16M,115.74M,9.864M,105.88M,,0.165,0.00,0.1522,0.165,,0.155,0.00,0.1431,0.155,,476.93M,511.66M,0.0063,,,
2000-05,300.08M,300.08M,20.60M,279.48M,,,121.54M,60.91M,1.215M,1.39M,,,,,183.67M,95.81M,,,,1.39M,,101.20M,35.42M,65.78M,65.78M,64.87M,105.96M,10.14M,95.81M,,0.1375,0.00,0.1356,0.1375,,0.13,0.00,0.1282,0.13,,475.03M,510.70M,0.0063,,,
2000-02,282.23M,282.23M,20.72M,261.51M,,,114.52M,57.46M,1.203M,5.348M,,,,,173.18M,88.33M,,,,5.348M,,99.33M,34.77M,64.56M,64.56M,61.09M,99.26M,10.92M,88.33M,,0.135,0.00,0.1277,0.135,,0.1275,0.00,0.1206,0.1275,,474.51M,505.96M,0.0063,,,
1999-11,281.77M,281.77M,24.07M,257.70M,,,110.68M,57.01M,1.231M,54.90M,,,,,168.92M,88.78M,,,,54.90M,,153.29M,55.93M,97.36M,97.36M,62.49M,99.98M,11.20M,88.78M,,0.20,0.00,0.1268,0.20,,0.185,0.00,0.1179,0.185,,476.45M,519.78M,0.0063,,,
1999-08,260.88M,260.88M,24.27M,236.61M,,,111.03M,48.00M,1.211M,8.734M,,,,,160.24M,76.37M,,,,8.734M,,90.03M,32.87M,57.16M,57.16M,51.61M,88.84M,12.47M,76.37M,,0.12,0.00,0.1086,0.12,,0.11,0.00,0.0993,0.11,,487.58M,518.63M,0.0063,,,
1999-05,245.89M,245.89M,23.70M,222.18M,,,106.53M,47.60M,1.198M,-1.325M,,,,,155.32M,66.86M,,,,-1.325M,,70.79M,25.83M,44.96M,44.96M,45.80M,81.56M,14.70M,66.86M,,0.0925,0.00,0.0942,0.0925,,0.0875,0.00,0.0891,0.0875,,484.58M,512.40M,0.0063,,,
1999-02,226.90M,226.90M,22.50M,204.40M,,,103.88M,44.88M,1.19M,-0.02M,,,,,149.95M,54.45M,,,,-0.02M,,60.32M,22.04M,38.28M,38.28M,38.29M,66.85M,12.39M,54.45M,,0.0788,0.00,0.0788,0.0788,,0.075,0.00,0.0750,0.075,,487.78M,507.07M,0.0063,,,
1998-11,246.74M,246.74M,24.29M,222.44M,,,95.90M,46.53M,,2.765M,,,,,150.17M,72.27M,,,,2.765M,,80.17M,29.90M,50.27M,50.27M,48.53M,83.56M,11.29M,72.27M,,0.095,0.00,0.0916,0.095,,0.0925,0.00,0.0892,0.0925,,511.35M,522.77M,0.0063,,,
1998-08,222.93M,222.93M,23.37M,199.56M,,,118.74M,48.98M,,-37.72M,,,,,167.72M,31.84M,,,,-37.72M,,0.242M,0.09M,0.152M,0.152M,23.85M,46.50M,14.66M,31.84M,,0.0003,,0.0443,0.0003,,0.0003,,0.0436,0.0003,,538.22M,547.30M,0.0063,,,
1998-05,227.31M,227.31M,25.57M,201.74M,,,114.52M,49.41M,,-0.753M,,,,,163.93M,37.81M,,,,-0.753M,,44.64M,16.66M,27.98M,27.98M,28.45M,52.66M,14.85M,37.81M,,0.0525,0.00,0.0534,0.0525,,0.0512,0.00,0.0521,0.0512,,533.88M,551.92M,0.0063,,,
1998-02,197.81M,197.81M,27.80M,170.01M,,,105.00M,43.34M,,12.46M,,,,,148.34M,21.67M,,,,12.46M,,42.64M,15.89M,26.74M,26.74M,18.93M,37.13M,15.46M,21.67M,,0.0488,0.00,0.0343,0.0488,,0.0488,0.00,0.0347,0.0488,,542.10M,556.68M,0.0063,,,
1997-11,227.13M,227.13M,16.55M,210.58M,,,108.02M,42.53M,,9.354M,,,,,153.12M,57.46M,,,,9.354M,,74.19M,27.37M,46.82M,46.82M,40.92M,82.12M,24.65M,57.46M,,0.09,0.00,0.0797,0.09,,0.08,0.00,0.0700,0.08,,572.31M,590.06M,0.0063,,,
1997-08,230.04M,230.04M,32.69M,197.35M,,,97.31M,43.88M,,20.94M,,,,,141.18M,56.16M,,,,20.94M,,85.53M,32.10M,53.43M,53.43M,40.34M,69.25M,13.08M,56.16M,,0.0912,0.00,0.0688,0.0912,,0.09,0.00,0.0681,0.09,,582.13M,596.22M,0.0062,,,
1997-05,228.26M,228.26M,32.66M,195.61M,,,96.28M,41.25M,,-3.123M,,,,,137.54M,58.07M,,,,-3.123M,,63.20M,23.10M,40.11M,40.11M,42.09M,68.51M,10.44M,58.07M,,0.07,0.00,0.0734,0.07,,0.0675,0.00,0.0708,0.0675,,576.68M,595.33M,0.0062,,,
1997-02,226.46M,226.46M,34.29M,192.17M,,,89.53M,38.20M,,1.735M,,,,-2.359M,125.37M,66.80M,,,,1.735M,,73.17M,26.68M,46.48M,46.48M,45.38M,78.01M,11.21M,66.80M,,0.0812,0.00,0.0793,0.0812,,0.0812,0.00,0.0794,0.0812,,571.94M,591.51M,0.0062,,,
1996-11,207.68M,207.68M,36.24M,171.43M,,,81.12M,41.74M,0.626M,47.91M,,,,,123.48M,47.95M,,,,47.91M,,102.49M,34.73M,67.76M,67.76M,36.08M,82.54M,34.59M,47.95M,,0.1104,0.00,0.0596,0.1104,,0.1104,0.00,0.0596,0.1104,,623.35M,623.35M,0.0062,,,
1996-08,180.91M,180.91M,33.62M,147.29M,,,75.47M,36.30M,0.626M,6.43M,,,,,112.39M,34.90M,,,,6.43M,,48.69M,18.84M,29.85M,29.85M,25.91M,43.06M,8.162M,34.90M,,0.05,0.00,0.0434,0.05,,0.05,0.00,0.0434,0.05,,594.47M,594.47M,0.0062,,,
1996-05,204.34M,204.34M,36.08M,168.26M,,,82.17M,37.66M,0.626M,-14.40M,,,,,120.46M,47.80M,,,,-14.40M,,39.79M,17.78M,22.01M,22.01M,30.65M,53.07M,5.267M,47.80M,,0.0362,0.00,0.0505,0.0362,,0.0362,0.00,0.0505,0.0362,,605.10M,605.10M,0.0062,,,
1996-02,193.64M,193.64M,35.21M,158.43M,,,78.26M,37.21M,0.626M,2.732M,,,,,116.09M,42.35M,,,,2.732M,,53.86M,20.20M,33.66M,33.66M,31.96M,49.94M,7.598M,42.35M,,0.055,0.00,0.0522,0.055,,0.055,0.00,0.0522,0.055,,611.15M,611.15M,0.0062,,,
1995-11,200.88M,200.88M,36.65M,164.22M,,,85.80M,39.50M,2.564M,-45.83M,,,,,127.86M,36.36M,,,,-45.83M,,-1.66M,10.13M,-11.79M,-11.79M,15.71M,54.67M,18.31M,36.36M,,-0.0208,0.00,0.0241,-0.0208,,-0.0208,0.00,0.0241,-0.0208,,611.50M,611.50M,0.0063,,,
1995-08,183.12M,183.12M,27.48M,155.64M,,,73.06M,34.87M,2.72M,-0.096M,,,,,110.65M,44.98M,,,,-0.096M,,52.35M,18.47M,33.89M,33.89M,33.95M,61.15M,16.17M,44.98M,,0.055,0.00,0.0551,0.055,,0.055,0.00,0.0551,0.055,,610.60M,610.60M,0.0063,,,
1995-05,189.50M,189.50M,32.31M,157.19M,,,73.30M,32.76M,2.938M,,,,,,108.99M,48.20M,,,,,,55.91M,20.67M,35.24M,35.24M,35.24M,62.30M,14.10M,48.20M,,0.0588,0.00,0.0588,0.0588,,0.0588,0.00,0.0588,0.0588,,602.57M,602.57M,0.0063,,,
1995-02,188.84M,188.84M,33.85M,154.99M,,,69.08M,31.49M,2.873M,,,,,,103.45M,51.54M,,,,,,57.25M,21.10M,36.14M,36.14M,36.14M,63.41M,11.86M,51.54M,,0.0625,0.00,0.0625,0.0625,,0.0625,0.00,0.0625,0.0625,,583.10M,583.10M,0.0063,,,
1994-11,243.30M,243.30M,41.96M,201.33M,,,106.83M,44.26M,3.64M,-84.61M,,,,,154.73M,46.60M,,,,-84.61M,,-33.20M,5.923M,-39.12M,-39.12M,11.64M,66.24M,19.64M,46.60M,,-0.0829,0.00,-0.0186,-0.0829,,-0.0829,,-0.0186,-0.0829,,790.37M,790.37M,0.0063,,,
1994-08,146.64M,146.64M,26.16M,120.48M,,,65.21M,24.35M,3.916M,,,,,,93.48M,27.00M,,,,,,28.75M,10.69M,18.06M,18.06M,18.06M,40.94M,13.94M,27.00M,,0.0362,0.00,0.0362,0.0362,,0.0362,0.00,0.0362,0.0362,,500.53M,500.53M,0.0063,,,
1994-05,149.79M,149.79M,27.89M,121.90M,,,65.60M,23.49M,4.152M,-3.045M,,,,,93.24M,28.66M,,,,-3.045M,,27.45M,10.15M,17.31M,17.31M,19.23M,42.58M,13.92M,28.66M,,0.035,0.00,0.0389,0.035,,0.035,0.00,0.0389,0.035,,494.14M,494.14M,0.0063,,,
1994-02,135.89M,135.89M,26.00M,109.89M,,,57.66M,21.70M,2.621M,,,,,,81.98M,27.91M,,,,,,29.94M,10.85M,19.09M,19.09M,19.09M,38.20M,10.29M,27.91M,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,490.31M,490.31M,0.0063,,,
1993-11,353.20M,353.20M,82.89M,270.31M,,,143.59M,,,-39.28M,,,,,239.89M,30.42M,,,,-39.28M,,4.958M,4.251M,0.707M,0.707M,24.28M,65.86M,35.44M,30.42M,,0.0020,,0.0672,0.0020,,0.0020,0.00,0.0647,0.0020,,361.34M,375.45M,0.0063,,,
1993-08,78.80M,78.80M,8.30M,70.50M,,,47.30M,,,1.60M,,,,,53.40M,17.10M,,,,1.60M,,18.70M,7.30M,11.40M,11.40M,10.42M,23.20M,6.10M,17.10M,,0.03,0.00,0.0274,0.03,,0.03,0.00,0.0274,0.03,,380.00M,380.00M,0.0063,,,
1993-05,79.60M,79.60M,9.70M,69.90M,,,43.70M,,,1.70M,,,,,48.00M,21.90M,,,,1.70M,,23.70M,9.20M,14.50M,14.50M,13.46M,26.20M,4.30M,21.90M,,0.04,0.00,0.0371,0.04,,0.04,0.00,0.0371,0.04,,362.50M,362.50M,0.0063,,,
1993-02,68.50M,68.50M,7.00M,61.50M,,,38.30M,,,5.90M,,,,,42.30M,19.20M,,,,5.90M,,25.10M,9.60M,15.50M,15.50M,11.86M,23.20M,4.00M,19.20M,,0.045,0.00,0.0344,0.045,,0.045,0.00,0.0344,0.045,,344.44M,344.44M,0.0050,,,
1992-11,70.70M,70.70M,7.70M,63.00M,,,33.20M,,,-11.40M,,,,,38.10M,24.90M,,,,-11.40M,,13.40M,5.00M,8.40M,8.40M,15.55M,29.80M,4.90M,24.90M,,0.025,0.00,0.0459,0.025,,0.025,0.00,0.0459,0.025,,341.75M,341.75M,0.0050,,,
1992-08,63.00M,63.00M,6.00M,57.00M,,,43.30M,,,2.10M,,,,,48.50M,8.50M,,,,2.10M,,10.70M,4.00M,6.70M,6.70M,5.385M,13.70M,5.20M,8.50M,,0.02,0.00,0.0161,0.02,,0.02,0.00,0.0161,0.02,,335.00M,335.00M,0.0050,,,
1992-05,69.60M,69.60M,19.70M,49.90M,,,22.70M,,,2.00M,,,,,27.60M,22.30M,,,,2.00M,,24.20M,9.00M,15.20M,15.20M,13.94M,27.20M,4.90M,22.30M,,0.045,0.00,0.0413,0.045,,0.045,0.00,0.0413,0.045,,337.78M,337.78M,0.0050,,,
1992-02,62.60M,62.60M,18.40M,44.20M,,,21.00M,,,2.10M,,,,,25.00M,19.20M,,,,2.10M,,21.20M,7.90M,13.30M,13.30M,11.98M,23.20M,4.00M,19.20M,,0.04,0.00,0.0360,0.04,,0.04,0.00,0.0360,0.04,,332.50M,332.50M,0.0050,,,
1991-11,62.80M,62.80M,17.80M,45.00M,,,21.30M,,,1.80M,,,,,25.80M,19.20M,,,,1.80M,,20.80M,7.70M,13.10M,13.10M,11.97M,23.70M,4.50M,19.20M,,0.04,0.00,0.0365,0.04,,0.04,0.00,0.0365,0.04,,323.45M,323.45M,0.0050,,,
1991-08,57.20M,57.20M,15.20M,42.00M,,,18.80M,,,1.40M,,,,,23.10M,18.90M,,,,1.40M,,20.30M,7.50M,12.80M,12.80M,11.92M,23.20M,4.30M,18.90M,,0.035,0.00,0.0326,0.035,,0.035,0.00,0.0326,0.035,,365.71M,365.71M,0.0050,,,
1991-05,57.10M,57.10M,15.00M,42.10M,,,18.00M,,,1.50M,,,,,21.60M,20.50M,,,,1.50M,,22.00M,8.70M,13.30M,13.30M,12.39M,24.10M,3.60M,20.50M,,0.04,0.00,0.0373,0.04,,0.04,0.00,0.0373,0.04,,332.50M,332.50M,0.0050,,,
1991-02,52.60M,52.60M,13.60M,39.00M,,,16.70M,,,1.00M,,,,,19.50M,19.50M,,,,1.00M,,20.50M,8.10M,12.40M,12.40M,11.80M,22.30M,2.80M,19.50M,,0.035,0.00,0.0333,0.035,,0.035,0.00,0.0333,0.035,,354.29M,354.29M,0.0038,,,
1990-11,53.30M,53.30M,10.70M,42.60M,,,18.40M,,,1.40M,,,,,24.40M,18.20M,,,,1.40M,,19.70M,7.60M,12.10M,12.10M,11.24M,24.20M,6.00M,18.20M,,0.035,0.00,0.0325,0.035,,0.035,0.00,0.0325,0.035,,344.78M,344.78M,0.0038,,,
1990-08,42.80M,42.80M,11.60M,31.20M,,,14.00M,,,1.00M,,,,,15.80M,15.40M,,,,1.00M,,16.40M,6.40M,10.00M,10.00M,9.390M,17.20M,1.80M,15.40M,,0.03,0.00,0.0282,0.03,,0.03,0.00,0.0282,0.03,,333.33M,333.33M,0.0038,,,
1990-05,35.30M,35.30M,8.40M,26.90M,,,13.10M,,,0.90M,,,,,14.80M,12.10M,,,,0.90M,,13.00M,5.10M,7.90M,7.90M,7.353M,13.80M,1.70M,12.10M,,0.025,0.00,0.0233,0.025,,0.025,0.00,0.0233,0.025,,316.00M,316.00M,0.0038,,,
1990-02,37.20M,37.20M,8.70M,28.50M,,,10.60M,,,0.90M,,,,,12.20M,16.30M,,,,0.90M,,17.20M,7.10M,10.10M,10.10M,9.56M,17.90M,1.60M,16.30M,,0.03,0.00,0.0284,0.03,,0.03,0.00,0.0284,0.03,,336.67M,336.67M,0.0032,,,
1989-11,37.70M,37.70M,4.60M,33.10M,,,16.30M,,,0.80M,,,,,17.80M,15.30M,,,,0.80M,,16.10M,6.10M,10.00M,10.00M,9.503M,16.80M,1.50M,15.30M,,0.03,0.00,0.0285,0.03,,0.03,0.00,0.0285,0.03,,332.29M,332.29M,0.0032,,,
1989-08,30.00M,30.00M,2.80M,27.20M,,,12.60M,,,0.90M,,,,,14.10M,13.10M,,,,0.90M,,14.00M,4.90M,9.10M,9.10M,8.515M,14.60M,1.50M,13.10M,,0.03,0.00,0.0281,0.03,,0.03,0.00,0.0281,0.03,,303.33M,303.33M,0.0032,,,
1989-05,28.10M,28.10M,3.50M,24.60M,,,11.20M,,,0.90M,,,,,12.50M,12.10M,,,,0.90M,,13.00M,5.40M,7.60M,7.60M,7.06M,13.40M,1.30M,12.10M,,0.025,0.00,0.0232,0.025,,0.025,0.00,0.0232,0.025,,304.00M,304.00M,0.0032,,,
1989-02,25.50M,25.50M,,,,,,,,,,,,,,25.50M,,,,,,,,7.00M,7.00M,,25.50M,,25.50M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,328.83M,328.83M,0.0025,,,
1988-11,25.30M,25.30M,,,,,,,,,,,,,,-24.00M,,,,,,,,6.70M,6.70M,,-24.00M,,-24.00M,,,,,,,,,,,,330.75M,330.75M,0.0025,,,
1988-08,25.20M,25.20M,,,,,,,,,,,,,,25.20M,,,,,,,,6.40M,6.40M,,25.20M,,25.20M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,328.83M,328.83M,0.0025,,,
1988-05,18.80M,18.80M,,,,,,,,,,,,,,18.80M,,,,,,,,4.50M,4.50M,,18.80M,,18.80M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,327.65M,327.65M,,,,
1988-02,14.20M,14.20M,,,,,,,,,,,,,,14.20M,,,,,,,,3.60M,3.60M,,14.20M,,14.20M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,326.24M,326.24M,,,,
1987-11,12.30M,12.30M,,,,,,,,,,,,,,-10.90M,,,,,,,,2.70M,2.70M,,-10.90M,,-10.90M,,,,,,,,,,,,326.43M,326.43M,,,,
1987-08,10.60M,10.60M,,,,,,,,,,,,,,10.60M,,,,,,,,2.40M,2.40M,,10.60M,,10.60M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,336.86M,336.86M,,,,
1987-05,9.60M,9.60M,,,,,,,,,,,,,,9.60M,,,,,,,,2.30M,2.30M,,9.60M,,9.60M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,337.41M,337.41M,,,,
1987-02,6.90M,6.90M,,,,,,,,,,,,,,6.90M,,,,,,,,1.60M,1.60M,,6.90M,,6.90M,,0.005,0.00,0.005,0.005,,0.005,0.00,0.005,0.005,,330.43M,330.43M,,,,
1986-11,5.30M,5.30M,,,,,,,,,,,,,,-3.90M,,,,,,,,0.90M,0.90M,,-3.90M,,-3.90M,,,,,,,,,,,,324.93M,324.93M,,,,
1986-08,4.90M,4.90M,,,,,,,,,,,,,,4.90M,,,,,,,,1.20M,1.20M,,4.90M,,4.90M,,0.005,0.00,0.005,0.005,,0.005,0.00,0.005,0.005,,324.93M,324.93M,,,,
1986-05,3.50M,3.50M,,,,,,,,,,,,,,3.50M,,,,,,,,0.90M,0.90M,,3.50M,,3.50M,,0.005,0.00,0.005,0.005,,0.005,0.00,0.005,0.005,,329.26M,329.26M,,,,
1986-02,2.40M,2.40M,,,,,,,,,,,,,,2.40M,,,,,,,,0.60M,0.60M,,2.40M,,2.40M,,0.005,0.00,0.005,0.005,,0.005,0.00,0.005,0.005,,329.26M,329.26M,,,,
