,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2007-03,1.096B,,,,61.00M,276.00M,276.00M,11.00M,,,,-18.00M,-377.00M,-134.00M,-75.00M,-413.00M,,269.00M,-70.00M,-800.00M,,626.00M,-267.00M,4.00M,-263.00M,,-431.00M,496.00M,,-198.00M,,,-12.00M,236.00M,-884.00M,-648.00M,,,,-498.00M,,47.00M,-1.111B,1.651B,-683.00M,-1.00M,967.00M,236.00M,,,-884.00M
2006-12,1.826B,,,,72.00M,466.00M,466.00M,-558.00M,,,,-156.00M,455.00M,60.00M,-39.00M,-279.00M,,-242.00M,5.00M,-40.00M,,1.813B,-938.00M,12.00M,1.142B,,-41.00M,1.247B,-310.00M,-30.00M,,,-302.00M,-1.008B,-836.00M,-1.844B,,,,-495.00M,,43.00M,-1.414B,1.266B,369.00M,16.00M,1.651B,-1.008B,,,-846.00M
2006-09,1.494B,,,,-92.00M,330.00M,330.00M,34.00M,,,,36.00M,-32.00M,150.00M,31.00M,263.00M,,248.00M,29.00M,689.00M,,2.491B,-422.00M,22.00M,-400.00M,,-10.00M,0.00,285.00M,-125.00M,,,-619.00M,311.00M,-690.00M,-379.00M,,,,-496.00M,,27.00M,-1.467B,362.00M,899.00M,5.00M,1.266B,311.00M,,,-690.00M
2006-06,1.375B,,,,-68.00M,324.00M,324.00M,-6.00M,,,,59.00M,-406.00M,-217.00M,10.00M,441.00M,,134.00M,-39.00M,-77.00M,,1.607B,-419.00M,9.00M,-410.00M,,-159.00M,288.00M,-85.00M,-366.00M,,,-813.00M,261.00M,-812.00M,-551.00M,,,,-431.00M,,30.00M,-1.765B,884.00M,-524.00M,2.00M,362.00M,261.00M,,,-812.00M
2006-03,947.00M,,,,59.00M,286.00M,286.00M,20.00M,,,,5.00M,-347.00M,-179.00M,-39.00M,-441.00M,,-140.00M,2.00M,-1.144B,,173.00M,-289.00M,6.00M,-283.00M,,-275.00M,800.00M,85.00M,327.00M,,,-713.00M,436.00M,-662.00M,-226.00M,,,,-432.00M,,34.00M,-1.337B,1.716B,-837.00M,5.00M,884.00M,436.00M,,,-662.00M
2005-12,1.108B,,,,-351.00M,412.00M,412.00M,150.00M,,,,-11.00M,479.00M,-28.00M,-104.00M,25.00M,,-309.00M,-77.00M,-14.00M,,1.294B,-940.00M,23.00M,-917.00M,,-43.00M,1.081B,-177.00M,-56.00M,,,607.00M,392.00M,-932.00M,-540.00M,,,,-433.00M,,,-366.00M,844.00M,872.00M,0.00,1.716B,392.00M,,,-932.00M
2005-09,864.00M,,,,139.00M,308.00M,308.00M,224.00M,,,,-183.00M,-164.00M,178.00M,36.00M,369.00M,,369.00M,55.00M,843.00M,,2.195B,-318.00M,23.00M,-295.00M,,-198.00M,-696.00M,180.00M,-1.009B,,,225.00M,117.00M,-848.00M,-731.00M,,,,-435.00M,,,-941.00M,595.00M,245.00M,4.00M,844.00M,117.00M,,,-848.00M
2005-06,1.194B,,,,-244.00M,306.00M,306.00M,15.00M,,,,273.00M,-350.00M,-189.00M,9.00M,316.00M,,316.00M,-32.00M,70.00M,,1.614B,-297.00M,17.00M,-280.00M,,-63.00M,-681.00M,,-1.024B,,,119.00M,357.00M,-751.00M,-394.00M,,,,-387.00M,,2.00M,-660.00M,681.00M,-70.00M,-16.00M,595.00M,357.00M,,,-751.00M
2005-03,912.00M,,,,66.00M,282.00M,282.00M,51.00M,,,,,-237.00M,-93.00M,3.00M,-522.00M,,233.00M,54.00M,-562.00M,,749.00M,-181.00M,25.00M,-156.00M,,-791.00M,-481.00M,,-1.428B,,,745.00M,233.00M,-500.00M,-267.00M,,,,-387.00M,,-2.00M,89.00M,1.28B,-590.00M,-9.00M,681.00M,233.00M,,,-500.00M
2004-12,985.00M,,,,162.00M,401.00M,401.00M,-265.00M,,,,-292.00M,,,,,,,659.00M,346.00M,,1.337B,-687.00M,23.00M,-664.00M,,-36.00M,-883.00M,,-1.531B,,,760.00M,119.00M,-560.00M,-441.00M,,,,-389.00M,,,-70.00M,1.481B,-264.00M,63.00M,1.28B,119.00M,,,-560.00M
2004-09,1.364B,,,,-59.00M,295.00M,295.00M,102.00M,,,,10.00M,,,,,,,475.00M,475.00M,,2.187B,-248.00M,2.00M,-246.00M,,-1.00M,-34.00M,,-281.00M,,,-229.00M,121.00M,-765.00M,-644.00M,,,,-391.00M,,,-1.264B,840.00M,642.00M,-1.00M,1.481B,121.00M,,,-765.00M
2004-06,1.059B,,,,-178.00M,293.00M,293.00M,-6.00M,,,,258.00M,,,,,,,-608.00M,-608.00M,,818.00M,-270.00M,6.00M,-264.00M,,-16.00M,-104.00M,,-384.00M,,,769.00M,294.00M,-1.146B,-852.00M,,,,-275.00M,,,-358.00M,773.00M,76.00M,-9.00M,840.00M,294.00M,,,-1.146B
2004-03,804.00M,,,,193.00M,275.00M,275.00M,-34.00M,,,,,,,,,,,-526.00M,-526.00M,,712.00M,-182.00M,7.00M,-175.00M,,-11.00M,52.00M,,-134.00M,,,-196.00M,431.00M,-584.00M,-153.00M,,,,-274.00M,,,-623.00M,820.00M,-45.00M,-2.00M,773.00M,431.00M,,,-584.00M
2003-12,705.00M,,,,-354.00M,405.00M,405.00M,-476.00M,,,,324.00M,,,,,,,272.00M,197.00M,,801.00M,-501.00M,-10.00M,-511.00M,,-30.00M,-784.00M,46.00M,-1.279B,,,-47.00M,217.00M,-890.00M,-673.00M,,,,-275.00M,,,-995.00M,2.251B,-1.473B,42.00M,820.00M,217.00M,,,-890.00M
2003-09,1.221B,,,,-18.00M,280.00M,280.00M,237.00M,,,,-178.00M,,,,,,,286.00M,286.00M,,1.828B,-266.00M,47.00M,-219.00M,,-25.00M,587.00M,-46.00M,297.00M,,,-33.00M,218.00M,-580.00M,-362.00M,,,,-277.00M,,,-672.00M,838.00M,1.453B,-40.00M,2.251B,218.00M,,,-580.00M
2003-06,865.00M,,,,73.00M,280.00M,280.00M,-82.00M,,,,171.00M,,,,,,,-30.00M,-30.00M,,1.277B,-273.00M,-39.00M,-312.00M,,-6.00M,-670.00M,46.00M,-942.00M,,,-184.00M,180.00M,-177.00M,3.00M,,,,-258.00M,,,-439.00M,926.00M,-104.00M,16.00M,838.00M,180.00M,,,-177.00M
2003-03,777.00M,,,,-8.00M,256.00M,256.00M,-2.00M,,,,-73.00M,,,,,,,-528.00M,-528.00M,,422.00M,-305.00M,51.00M,-254.00M,,-10.00M,-83.00M,,-347.00M,,,-312.00M,74.00M,-298.00M,-224.00M,,,,-260.00M,,,-796.00M,1.638B,-721.00M,9.00M,926.00M,74.00M,,,-298.00M
2002-12,483.00M,,,,-520.00M,360.00M,360.00M,-8.00M,,,,607.00M,,,,,,,-18.00M,287.00M,,1.209B,-630.00M,382.00M,-248.00M,,-41.00M,265.00M,0.00,-24.00M,,,-305.00M,59.00M,-879.00M,-820.00M,,,,-262.00M,,,-1.387B,1.825B,-202.00M,15.00M,1.638B,59.00M,,,-879.00M
2002-09,953.00M,,,,-35.00M,263.00M,263.00M,187.00M,,,,-68.00M,,,,,,,123.00M,123.00M,,1.423B,-301.00M,39.00M,-262.00M,,-232.00M,909.00M,-7.00M,408.00M,,,-100.00M,55.00M,-1.289B,-1.234B,,,,-267.00M,,,-1.601B,1.58B,230.00M,15.00M,1.825B,55.00M,,,-1.289B
2002-06,875.00M,,,,-2.00M,259.00M,259.00M,-6.00M,,,,39.00M,,,,,,,138.00M,138.00M,,1.303B,-319.00M,44.00M,-275.00M,,-41.00M,-335.00M,18.00M,-633.00M,,,22.00M,144.00M,-8.00M,136.00M,,,,-256.00M,,,-98.00M,1.008B,572.00M,-1.00M,1.58B,144.00M,,,-8.00M
2002-03,689.00M,,,,51.00M,230.00M,230.00M,1.00M,,,,-36.00M,,,,,,,-243.00M,-243.00M,,692.00M,-187.00M,,-187.00M,,-37.00M,-82.00M,28.00M,-278.00M,,,-21.00M,198.00M,-14.00M,184.00M,,,,-256.00M,,,-93.00M,683.00M,321.00M,5.00M,1.008B,198.00M,,,-14.00M
2001-12,405.00M,,,,-44.00M,345.00M,345.00M,49.00M,,,,112.00M,,,,,,,390.00M,469.00M,,1.336B,-568.00M,-27.00M,-595.00M,,0.00,1.204B,-111.00M,498.00M,,,74.00M,272.00M,-1.715B,-1.443B,,,,-242.00M,,,-1.611B,460.00M,223.00M,,683.00M,272.00M,,,-1.715B
2001-09,845.00M,,,,62.00M,312.00M,312.00M,-1.00M,,,,87.00M,,,,,,,607.00M,607.00M,,1.912B,-357.00M,-14.00M,-371.00M,,-17.00M,-1.157B,-85.00M,-1.63B,,,-170.00M,191.00M,-16.00M,175.00M,,,,-347.00M,,,-342.00M,344.00M,-60.00M,2.00M,460.00M,191.00M,,,-16.00M
2001-06,652.00M,,,,-63.00M,217.00M,217.00M,9.00M,,,,33.00M,,,,,,,-349.00M,-349.00M,,499.00M,-228.00M,41.00M,-187.00M,,-8.00M,-454.00M,174.00M,-475.00M,,,-480.00M,595.00M,,595.00M,,,,-203.00M,,,-88.00M,403.00M,-64.00M,5.00M,344.00M,595.00M,,,
2001-03,498.00M,,,,-5.00M,208.00M,208.00M,-12.00M,,,,32.00M,,,,,,,-648.00M,-648.00M,,73.00M,-171.00M,,-171.00M,,-407.00M,-93.00M,22.00M,-649.00M,,,235.00M,89.00M,,89.00M,,,,-202.00M,,,122.00M,864.00M,-454.00M,-7.00M,403.00M,89.00M,,,
2000-12,698.00M,,,,296.00M,382.00M,382.00M,-105.00M,,,,-219.00M,,,,,,,388.00M,804.00M,,1.856B,-608.00M,43.00M,-565.00M,,-32.00M,-209.00M,-112.00M,-918.00M,,,-397.00M,184.00M,-272.00M,-88.00M,,,,-239.00M,,,-724.00M,819.00M,214.00M,5.00M,1.038B,184.00M,,,-272.00M
2000-09,860.00M,,,,118.00M,293.00M,293.00M,59.00M,,,,101.00M,,,,,,,57.00M,57.00M,,1.488B,-368.00M,47.00M,-321.00M,,-54.00M,-178.00M,7.00M,-546.00M,,,-265.00M,255.00M,-598.00M,-343.00M,,,,-319.00M,,,-927.00M,528.00M,15.00M,-6.00M,819.00M,255.00M,,,-598.00M
2000-06,563.00M,,,,-54.00M,216.00M,216.00M,77.00M,,,,55.00M,,,,,,,32.00M,32.00M,,889.00M,-234.00M,,-234.00M,,-4.00M,17.00M,-206.00M,-427.00M,,,-175.00M,160.00M,-148.00M,12.00M,,,,-194.00M,,,-357.00M,424.00M,105.00M,-1.00M,528.00M,160.00M,,,-148.00M
2000-03,422.00M,,,,-5.00M,202.00M,202.00M,2.00M,,,,63.00M,,,,,,,-477.00M,-477.00M,,207.00M,-142.00M,,-142.00M,,-8.00M,-4.00M,49.00M,-105.00M,,,132.00M,91.00M,-666.00M,-575.00M,,,,-197.00M,,,-640.00M,964.00M,-538.00M,-2.00M,424.00M,91.00M,,,-666.00M
1999-12,945.00M,,,,375.00M,430.00M,430.00M,32.00M,,,,-385.00M,,,,,,,287.00M,366.00M,,1.763B,-678.00M,179.00M,-499.00M,,,12.00M,327.00M,-590.00M,,,171.00M,130.00M,-681.00M,-551.00M,,,,-354.00M,,,-734.00M,478.00M,439.00M,2.00M,1.246B,130.00M,,,-681.00M
1999-09,484.00M,,,,-430.00M,194.00M,194.00M,23.00M,,,,866.00M,,,,,,,-287.00M,-287.00M,,850.00M,153.00M,464.00M,617.00M,,,1.091B,-394.00M,1.314B,,,-2.849B,95.00M,-480.00M,-385.00M,,,,-198.00M,,,-3.432B,0.00,-1.268B,-1.00M,478.00M,95.00M,,,-480.00M
1999-06,743.00M,,,,-723.00M,231.00M,231.00M,527.00M,,,,-87.00M,,,,,,,,,,691.00M,-438.00M,,-438.00M,,,1.535B,-117.00M,980.00M,,,-1.427B,76.00M,-506.00M,-430.00M,,,,-192.00M,,,-2.049B,0.00,-378.00M,1.00M,0.00,76.00M,,,-506.00M
1999-03,333.00M,,,,70.00M,301.00M,301.00M,-9.00M,,,,-394.00M,,,,,,,,,,301.00M,-378.00M,,-378.00M,,,-2.615B,117.00M,-2.876B,,,4.496B,82.00M,,82.00M,,,,-191.00M,,,4.387B,311.00M,1.812B,1.00M,0.00,82.00M,,,
1998-12,361.00M,,,,,442.00M,442.00M,21.00M,,,,861.00M,-104.00M,29.00M,,-195.00M,-12.00M,-116.00M,,-398.00M,,1.287B,-980.00M,151.00M,-829.00M,,,152.00M,-173.00M,-850.00M,,,-285.00M,64.00M,-42.00M,22.00M,,,,-191.00M,,,-454.00M,0.00,-17.00M,2.00M,0.00,64.00M,,,-42.00M
1998-09,761.00M,,,,-131.00M,269.00M,269.00M,82.00M,,,,-629.00M,376.00M,133.00M,,486.00M,78.00M,-188.00M,,885.00M,,1.237B,-3.87B,-37.00M,-3.907B,,,-9.00M,95.00M,-3.821B,,,3.12B,71.00M,-465.00M,-394.00M,,,,-191.00M,,,2.535B,0.00,-49.00M,0.00,0.00,71.00M,,,-465.00M
1998-06,494.00M,,,,58.00M,277.00M,277.00M,31.00M,,,,,-378.00M,-64.00M,,17.00M,-8.00M,-14.00M,,-447.00M,,413.00M,-864.00M,24.00M,-840.00M,,,-28.00M,207.00M,-661.00M,,,170.00M,88.00M,-846.00M,-758.00M,,,,-187.00M,,,-775.00M,0.00,-1.023B,0.00,0.00,88.00M,,,-846.00M
