,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1998-12,1.056B,1.056B,14.00M,246.00M,260.00M,,260.00M,2.00M,574.00M,386.00M,136.00M,250.00M,,,,,285.00M,250.00M,-121.00M,877.00M,,0.82,0.11,,0.82,0.93,,0.81,0.11,,0.81,0.92,,306.46M,309.78M,0.41,,,
1998-09,1.175B,1.175B,14.00M,335.00M,349.00M,,349.00M,1.00M,646.00M,434.00M,153.00M,281.00M,,,,,281.00M,281.00M,220.00M,1.142B,,0.92,0.00,,0.92,0.92,,0.91,0.00,,0.91,0.91,,305.43M,308.79M,0.39,,,
1998-06,1.20B,1.20B,27.00M,334.00M,361.00M,,361.00M,,631.00M,425.90M,145.50M,280.40M,,,,,280.40M,280.40M,117.00M,1.109B,,0.92,0.00,,0.92,0.92,,0.90,0.00,,0.90,0.90,,304.78M,311.56M,0.39,,,
1998-03,1.176B,1.176B,37.40M,354.30M,391.70M,,391.70M,22.80M,637.40M,405.10M,135.80M,269.30M,,,,7.50M,269.30M,269.30M,94.00M,1.059B,,0.88,0.00,,0.88,0.88,,0.87,0.00,,0.87,0.87,,300.57M,306.15M,0.39,,,
1997-12,1.150B,1.150B,10.30M,322.20M,332.50M,,332.50M,21.90M,632.00M,409.40M,144.40M,265.00M,,,,,265.00M,265.00M,90.00M,1.059B,,0.86,0.00,,0.86,0.86,,0.84,0.00,,0.84,0.84,,307.79M,315.30M,0.39,,,
1997-09,1.079B,1.079B,11.40M,308.50M,319.90M,,319.90M,-2.70M,619.90M,407.00M,145.40M,261.60M,,,,,261.60M,261.60M,96.00M,1.057B,,0.84,0.00,,0.84,0.84,,0.83,0.00,,0.83,0.83,,311.43M,315.18M,0.37,,,
1997-06,1.058B,1.058B,25.40M,301.80M,327.20M,,327.20M,13.40M,613.20M,392.80M,133.70M,259.10M,,,,,259.10M,259.10M,87.00M,1.037B,,0.82,0.00,,0.82,0.82,,0.81,0.00,,0.81,0.81,,315.98M,319.88M,0.37,,,
1997-03,1.063B,1.063B,22.80M,308.40M,331.20M,,331.20M,16.40M,629.90M,408.80M,142.50M,266.30M,,,,,266.30M,266.30M,73.00M,1.021B,,0.81,0.00,,0.81,0.81,,0.80,0.00,,0.80,0.80,,328.77M,332.88M,0.37,,,
1996-12,1.042B,1.042B,,294.30M,357.30M,,357.30M,7.40M,617.40M,419.30M,147.60M,271.70M,,,,,271.70M,271.70M,79.00M,1.025B,,0.79,0.00,,0.79,0.79,,0.79,0.00,,0.79,0.79,,337.14M,337.14M,0.37,,,
1996-09,957.30M,957.30M,,277.80M,277.80M,,277.80M,7.70M,608.90M,362.00M,128.00M,234.00M,,,,0.50M,234.00M,234.00M,77.00M,969.70M,,0.69,0.00,,0.69,0.69,,0.68,0.00,,0.68,0.68,,340.54M,345.17M,0.35,,,
1996-06,947.40M,947.40M,,284.30M,284.30M,,284.30M,3.90M,610.80M,383.10M,135.00M,248.10M,,,,0.50M,248.10M,248.10M,73.00M,1.016B,,0.73,0.00,,0.73,0.73,,0.72,0.00,,0.72,0.72,,343.02M,347.34M,0.35,,,
1996-03,928.50M,928.50M,,278.70M,278.70M,,278.70M,2.90M,606.90M,362.80M,124.50M,238.30M,,,,,238.30M,238.30M,61.00M,1.011B,,0.69,0.00,,0.69,0.69,,0.69,0.00,,0.69,0.69,,345.36M,345.36M,0.35,,,
1995-12,1.202B,1.202B,,453.80M,453.80M,,453.80M,-288.80M,1.031B,23.10M,26.70M,-3.60M,,,,3.40M,-3.60M,-3.60M,111.00M,1.036B,,-0.0207,,,-0.0207,-0.0207,,-0.0207,,,-0.0207,-0.0207,,338.05M,338.05M,0.35,,,
1995-09,652.10M,652.10M,,204.80M,204.80M,,204.80M,,364.80M,219.20M,70.20M,149.00M,,,,0.50M,149.00M,149.00M,73.00M,893.90M,,0.65,0.00,,0.65,0.65,,0.64,0.00,,0.64,0.64,,229.84M,231.88M,0.35,,,
1995-06,627.30M,627.30M,,204.60M,204.60M,,204.60M,7.70M,362.30M,201.00M,64.00M,137.00M,,,,0.60M,137.00M,137.00M,50.00M,881.30M,,0.59,0.00,,0.59,0.59,,0.59,0.00,,0.59,0.59,,230.18M,231.96M,0.35,,,
1995-03,621.10M,621.10M,,201.90M,201.90M,,201.90M,,384.00M,183.80M,58.10M,125.70M,,,,0.60M,125.70M,124.81M,62.00M,823.90M,,0.54,0.00,,0.5362,0.54,,0.54,0.00,,0.5362,0.54,,232.59M,234.46M,0.35,,,
1994-12,529.00M,529.00M,,216.70M,216.70M,,216.70M,,424.30M,40.40M,11.80M,28.60M,,,,0.60M,28.60M,114.26M,61.00M,640.20M,,0.12,0.00,,0.4836,0.12,,0.12,0.00,,0.4809,0.12,,235.58M,237.38M,0.35,,,
1994-09,726.10M,726.10M,,208.10M,208.10M,,208.10M,,495.00M,280.10M,92.10M,188.00M,,,,0.60M,188.00M,217.67M,59.00M,792.70M,,0.79,0.00,,0.9152,0.79,,0.79,0.00,,0.9143,0.79,,236.91M,238.74M,0.32,,,
1994-06,721.10M,721.10M,,204.00M,204.00M,,204.00M,,492.90M,277.80M,90.00M,187.80M,,,,0.60M,187.80M,187.87M,70.00M,719.80M,,0.79,0.00,,0.7903,0.79,,0.79,0.00,,0.7903,0.79,,237.24M,239.09M,0.32,,,
1994-03,755.90M,755.90M,,206.90M,206.90M,,206.90M,,497.30M,304.10M,98.40M,205.70M,,,,0.60M,205.70M,185.14M,56.00M,701.90M,,0.87,0.00,,0.7831,0.87,,0.86,0.00,,0.7738,0.86,,236.70M,238.59M,0.32,,,
1993-12,668.00M,668.00M,,173.40M,173.40M,,173.40M,,461.70M,253.70M,82.20M,171.50M,,0.00,,1.10M,171.50M,169.20M,33.00M,607.20M,,0.17,0.14,0.00,0.1603,0.31,,0.13,0.14,0.0000,0.1205,0.27,,236.57M,241.67M,0.00,,,
1993-09,722.20M,722.20M,,165.70M,165.70M,,165.70M,,458.00M,326.30M,108.60M,217.70M,,,,0.40M,217.70M,169.33M,21.00M,660.30M,,0.92,0.00,,0.7152,0.92,,0.91,0.00,,0.7074,0.91,,236.20M,238.79M,0.32,,,
1993-06,650.00M,650.00M,,169.90M,169.90M,,169.90M,,455.60M,251.10M,82.00M,169.10M,,,,,169.10M,164.66M,41.00M,596.00M,,0.71,0.00,,0.6913,0.71,,0.71,0.00,,0.6913,0.71,,238.17M,238.17M,0.285,,,
1993-03,734.00M,734.00M,,176.40M,176.40M,,176.40M,,453.70M,285.50M,98.50M,187.00M,,-19.40M,,,167.60M,113.31M,53.00M,625.40M,,0.79,-0.08,0.00,0.4778,0.71,,0.78,-0.08,-0.0822,0.4722,0.70,,236.06M,239.43M,0.285,,,
1992-12,677.20M,677.20M,,186.70M,186.70M,,186.70M,,454.20M,201.30M,64.40M,136.90M,,,,,34.40M,99.97M,43.20M,569.00M,,0.58,-0.46,,0.4199,0.12,,0.57,-0.46,,0.4106,0.12,,230.69M,231.68M,0.285,,,
1992-09,624.90M,624.90M,,171.80M,171.80M,,171.80M,,421.70M,196.20M,61.10M,135.10M,,,,,135.10M,116.23M,36.60M,570.90M,,0.61,0.00,,0.5248,0.61,,0.60,0.00,,0.5162,0.60,,221.48M,225.17M,0.285,,,
1992-06,616.80M,616.80M,,156.10M,156.10M,,156.10M,,395.10M,189.10M,59.30M,129.80M,,,,,129.80M,94.52M,30.90M,574.80M,,0.59,0.00,,0.4296,0.59,,0.59,0.00,,0.4296,0.59,,220.00M,220.00M,0.265,,,
1992-03,625.20M,625.20M,,153.80M,153.80M,,153.80M,,386.30M,191.50M,63.80M,127.70M,,,,,127.70M,73.69M,26.30M,625.10M,,0.59,0.00,,0.3404,0.59,,0.58,0.00,,0.3347,0.58,,216.44M,220.17M,0.265,,,
1991-12,524.70M,524.70M,,143.20M,143.20M,,143.20M,,368.70M,140.20M,39.60M,100.60M,,,,0.80M,100.60M,99.24M,11.40M,631.00M,,0.49,0.00,,0.4833,0.49,,0.48,0.00,,0.4734,0.48,,203.56M,207.72M,0.265,,,
1991-09,637.40M,637.40M,,152.90M,152.90M,,152.90M,,360.30M,156.00M,48.70M,107.30M,,,,0.80M,107.30M,91.55M,21.50M,685.60M,,0.55,0.00,,0.4687,0.55,,0.55,0.00,,0.4687,0.55,,193.64M,193.64M,0.265,,,
1991-06,554.80M,554.80M,,151.30M,151.30M,,151.30M,,359.00M,133.00M,39.40M,93.60M,,,,,93.60M,77.48M,20.30M,700.60M,,0.48,0.00,,0.3974,0.48,,0.48,0.00,,0.3974,0.48,,195.00M,195.00M,0.265,,,
1991-03,530.30M,530.30M,,151.30M,151.30M,,151.30M,,347.20M,119.20M,30.80M,88.40M,,,,,88.40M,71.79M,18.30M,753.60M,,0.46,0.00,,0.3736,0.46,,0.46,0.00,,0.3736,0.46,,192.17M,192.17M,0.265,,,
1990-12,492.80M,492.80M,,140.70M,140.70M,,140.70M,,331.10M,-268.80M,-100.40M,-168.40M,,,,0.90M,-168.40M,-169.47M,27.40M,433.00M,,-0.89,0.00,,-0.8965,-0.89,,-0.89,0.00,,-0.8965,-0.89,,165.08M,165.08M,0.265,,,
1990-09,515.10M,515.10M,,143.20M,143.20M,,143.20M,,338.00M,65.20M,9.30M,55.90M,,,,0.90M,55.90M,52.90M,19.30M,796.70M,,0.30,0.00,,0.2836,0.30,,0.29,0.00,,0.2742,0.29,,183.33M,189.66M,0.265,,,
1990-06,502.60M,502.60M,,139.30M,139.30M,,139.30M,,336.80M,143.00M,34.10M,108.90M,,,,0.90M,108.90M,97.02M,18.20M,878.20M,,0.58,0.00,,0.5162,0.58,,0.57,0.00,,0.5073,0.57,,186.21M,189.47M,0.265,,,
1990-03,495.20M,495.20M,,141.70M,141.70M,,141.70M,,343.40M,89.90M,15.40M,74.50M,,,,0.90M,74.50M,70.03M,20.90M,795.60M,,0.39,0.00,,0.3663,0.39,,0.39,0.00,,0.3663,0.39,,188.72M,188.72M,0.265,,,
1989-12,491.90M,491.90M,,130.00M,130.00M,,130.00M,,333.40M,-11.90M,-13.30M,1.40M,,,,1.10M,1.40M,-4.66M,19.50M,686.30M,,0.00,0.00,,-0.0323,0.00,,0.00,0.00,,-0.0323,0.00,,187.69M,187.69M,0.265,,,
1989-09,472.70M,472.70M,,138.40M,138.40M,,138.40M,,317.80M,166.70M,39.80M,126.90M,,,,1.10M,126.90M,114.57M,,857.00M,,0.67,0.00,,0.6043,0.67,,0.66,0.00,,0.5953,0.66,,187.76M,190.61M,0.265,,,
1989-06,,,,,,,,,,,,125.50M,,,,,125.50M,,,,,0.67,0.00,,0.67,0.67,,0.65,0.00,,0.65,0.65,,185.20M,185.20M,,,,
1989-03,,,,,,,,,,,,123.60M,,,,,123.60M,,,,,0.66,0.00,,0.66,0.66,,0.65,0.00,,0.65,0.65,,172.61M,172.61M,0.235,,,
1988-12,,,,,,,,,,,,115.60M,,,,,115.60M,,,,,,,,,,,,,,,,,172.61M,172.61M,0.235,,,
1988-09,,,,,,,,,,,,110.00M,,,,,110.00M,,,,,0.63,0.00,,0.63,0.63,,0.62,0.00,,0.62,0.62,,171.20M,171.20M,0.235,,,
1988-06,,,,,,,,,,,,109.20M,,,,,109.20M,,,,,0.63,0.00,,0.63,0.63,,0.61,0.00,,0.61,0.61,,167.56M,167.56M,,,,
1988-03,,,,,,,,,,,,107.90M,,,,,107.90M,,,,,0.63,0.00,,0.63,0.63,,0.61,0.00,,0.61,0.61,,167.56M,167.56M,0.21,,,
1987-12,,,,,,,,,,,,95.20M,,,,,95.20M,,,,,,,,,,,,,,,,,167.56M,167.56M,0.21,,,
1987-09,,,,,,,,,,,,30.80M,,,,,30.80M,,,,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,167.56M,167.56M,0.21,,,
1987-06,,,,,,,,,,,,97.10M,,,,,97.10M,,,,,0.57,0.00,,0.57,0.57,,0.56,0.00,,0.56,0.56,,167.56M,167.56M,,,,
1987-03,,,,,,,,,,,,32.60M,,,,,32.60M,,,,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,167.56M,167.56M,0.19,,,
1986-12,,,,,,,,,,,,58.80M,,,,,58.80M,,,,,,,,,,,,,,,,,161.72M,161.72M,0.19,,,
1986-09,,,,,,,,,,,,57.00M,,,,,57.00M,,,,,0.57,0.00,,0.57,0.57,,0.54,0.00,,0.54,0.54,,97.53M,97.53M,0.19,,,
1986-06,,,,,,,,,,,,68.50M,,,,,68.50M,,,,,0.69,0.00,,0.69,0.69,,0.65,0.00,,0.65,0.65,,95.10M,95.10M,,,,
1986-03,,,,,,,,,,,,53.10M,,,,,53.10M,,,,,0.54,0.00,,0.54,0.54,,0.51,0.00,,0.51,0.51,,95.10M,95.10M,0.165,,,
1985-12,,,,,,,,,,,,49.70M,,,,,49.70M,,,,,,,,,,,,,,,,,95.10M,95.10M,0.165,,,
1985-09,,,,,,,,,,,,49.10M,,,,,49.10M,,,,,0.51,0.00,,0.51,0.51,,0.48,0.00,,0.48,0.48,,94.46M,94.46M,,,,
1985-06,,,,,,,,,,,,46.00M,,,,,46.00M,,,,,0.48,0.00,,0.48,0.48,,0.44,0.00,,0.44,0.44,,94.16M,94.16M,,,,
1985-03,,,,,,,,,,,,43.00M,,,,,43.00M,,,,,0.46,0.00,,0.46,0.46,,0.43,0.00,,0.43,0.43,,93.50M,93.50M,,,,
1984-12,,,,,,,,,,,,42.20M,,,,,42.20M,,,,,,,,,,,,,,,,,87.23M,87.23M,,,,
1984-09,,,,,,,,,,,,36.50M,,,,,36.50M,,,,,0.42,0.00,,0.42,0.42,,0.40,0.00,,0.40,0.40,,86.96M,86.96M,,,,
1984-06,,,,,,,,,,,,34.10M,,,,,34.10M,,,,,0.39,0.00,,0.39,0.39,,0.37,0.00,,0.37,0.37,,86.18M,86.18M,,,,
1984-03,,,,,,,,,,,,30.40M,,,,,30.40M,,,,,0.35,0.00,,0.35,0.35,,0.34,0.00,,0.34,0.34,,86.18M,86.18M,,,,
