,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2001-06,562.30M,,,,,,,,-447.20M,,115.10M,,-36.20M,-36.20M,,-4.583B,-575.00M,-5.194B,,488.40M,2.347B,2.835B,,,30.10M,,,,,,-357.50M,,5.382B,,7.775B,302.50M,8.078B,,,2.925B,-2.437B,,,,
2001-03,410.10M,,,,,,,,303.80M,,713.90M,,-31.40M,-31.40M,,1.246B,2.046B,3.261B,,-440.00M,-60.90M,-500.90M,,,17.50M,,,,,,-154.10M,,-5.332B,,9.132B,-1.357B,7.775B,,,1.00B,-1.44B,,,,
2000-12,1.942B,,,,,455.39M,455.39M,169.17M,930.02M,-469.52M,2.980B,,-254.65M,-254.65M,9.044B,-425.42M,-12.57B,-4.208B,,1.481B,-360.34M,1.121B,,,-308.22M,,,,,,-799.10M,,1.886B,,3.402B,657.50M,9.132B,,,5.564B,-4.083B,,,,
2000-09,-463.06M,,,,,199.51M,199.51M,187.93M,-653.42M,333.92M,-395.13M,,-84.25M,-84.25M,,58.92M,3.482B,3.456B,,-3.287B,-80.76M,-3.368B,,,40.12M,,,,,,166.70M,,-3.162B,,8.575B,-101.10M,3.402B,,,-4.517B,1.230B,,,,
2000-06,709.80M,,,,,,,,723.20M,,1.433B,,32.80M,32.80M,-67.00M,1.998B,-5.592B,-3.629B,,1.978B,-927.60M,1.051B,,,-369.50M,,,,,,-318.90M,,3.190B,,7.580B,994.80M,8.575B,,,3.708B,-1.730B,,,,
2000-03,686.80M,,,,,,,,19.60M,,706.40M,,-76.70M,-76.70M,67.00M,-1.471B,-1.437B,-2.917B,,412.70M,2.071B,2.484B,,,-334.60M,,,,,,-320.00M,,533.60M,,9.258B,-1.677B,7.580B,,,1.107B,-694.30M,,,,
1999-12,899.20M,-289.90M,-203.30M,,,93.90M,93.90M,-92.30M,-270.80M,212.30M,639.00M,,-1.20M,-1.20M,,1.112B,-3.250B,-2.359B,,2.621B,-1.95B,670.80M,,,-294.30M,,,,,,-221.20M,153.40M,3.048B,,3.171B,1.328B,4.749B,,,4.057B,-1.436B,,,,
1999-09,28.39M,289.90M,203.30M,,,65.80M,65.80M,81.76M,-168.25M,16.69M,227.69M,,-43.21M,-43.21M,,-994.71M,2.473B,1.436B,,-169.03M,-69.25M,-238.28M,,,-225.12M,,,,,,-117.43M,-0.20M,-2.349B,,3.857B,-685.36M,3.171B,,,547.80M,-716.83M,,,,
1999-06,291.29M,-20.12M,-20.12M,,,69.26M,69.26M,13.96M,443.98M,-13.06M,785.31M,,-51.31M,-51.31M,,326.06M,-1.442B,-1.167B,,-325.92M,929.46M,603.54M,,,-115.45M,,,,,,-119.06M,,383.08M,,3.855B,1.111M,3.857B,,,235.00M,-560.92M,,,,
1999-03,287.62M,20.12M,20.12M,,,79.14M,79.14M,52.28M,598.77M,-3.627M,1.034B,,-38.28M,-38.28M,,324.06M,-916.72M,-630.95M,,636.44M,-26.51M,609.93M,,,74.08M,,,,,,-115.41M,,-1.153B,,4.605B,-750.05M,3.855B,,,975.00M,-338.56M,,,,
1998-12,625.10M,42.30M,146.80M,,,51.60M,51.60M,-6.00M,378.60M,-327.80M,868.30M,,-13.10M,-13.10M,,1.340B,-4.324B,-3.777B,,2.205B,-192.90M,2.012B,,,-882.10M,,,,,,-216.40M,220.30M,3.575B,,3.340B,666.30M,4.855B,,,4.291B,-2.086B,,,,
1998-09,414.80M,-44.00M,-148.50M,,,171.20M,171.20M,0.50M,2.70M,105.10M,545.80M,,55.50M,55.50M,,608.90M,-715.00M,-50.60M,,1.939B,-398.80M,1.540B,,,-98.70M,,,,,,-192.90M,0.30M,-815.00M,,0.00,-319.80M,3.340B,,,2.361B,-422.20M,,,,
1998-06,148.70M,4.50M,17.30M,,,15.50M,15.50M,18.30M,144.40M,-111.20M,233.00M,,-27.90M,-27.90M,,-576.90M,519.30M,-85.50M,,-80.30M,-18.40M,-98.70M,,,10.00M,,,,,,-57.40M,-1.30M,-503.30M,,0.00,-355.80M,0.00,,,-1.90M,-78.40M,,,,
1998-03,138.80M,-2.80M,-15.60M,,,35.80M,35.80M,13.10M,-452.80M,6.10M,-274.60M,,-170.30M,-170.30M,,230.20M,-52.40M,7.50M,,-298.00M,22.80M,-275.20M,,,6.80M,,,,,,-49.70M,1.10M,330.70M,,2.229B,63.60M,0.00,,,127.00M,-425.00M,,,,
1997-12,540.90M,21.60M,-16.30M,,,169.80M,169.80M,28.30M,166.70M,12.10M,901.50M,,-571.70M,-571.70M,,-2.178B,780.80M,-1.968B,,1.414B,116.10M,1.530B,,,-372.50M,,,,,,-263.50M,2.00M,1.186B,,0.00,118.90M,3.952B,,,1.380B,33.70M,,,,
1997-09,126.90M,-5.60M,-2.50M,,,25.40M,25.40M,-15.20M,-80.50M,42.30M,96.40M,,-41.30M,-41.30M,,-41.00M,86.70M,4.40M,,6.40M,578.30M,584.70M,,,-134.90M,,,,,,-58.70M,-150.00M,-647.10M,,878.20M,-546.30M,0.00,,,85.60M,-79.20M,,,,
1997-06,47.60M,1.70M,-0.30M,,,10.00M,10.00M,8.70M,11.40M,-103.90M,-26.50M,,-6.60M,-6.60M,,95.60M,-224.60M,-135.60M,,55.00M,38.80M,93.80M,,,-13.40M,,,,,,-17.10M,148.70M,529.40M,,0.00,367.30M,878.20M,,,55.00M,,,,,
1997-03,45.30M,2.10M,1.00M,,,9.60M,9.60M,8.50M,22.50M,7.70M,94.60M,,-3.70M,-3.70M,,79.60M,-150.60M,-74.70M,,,24.20M,24.20M,,,-50.40M,,,,,,-13.60M,1.20M,-68.00M,,559.00M,-48.10M,0.00,,,,,,,,
1996-12,299.30M,,2.90M,,,94.00M,94.00M,41.20M,194.80M,-0.30M,631.90M,,-72.20M,-72.20M,,462.30M,-27.00M,363.10M,,-64.30M,-489.60M,-553.90M,,,-200.00M,,,,,,-132.10M,150.20M,-701.30M,,0.00,293.90M,0.00,,,,-216.60M,,,,
1996-09,38.20M,,-0.30M,,,9.20M,9.20M,-17.30M,8.20M,26.00M,64.00M,,-4.00M,-4.00M,,68.60M,-207.70M,-143.10M,,-12.80M,-6.40M,-19.20M,,,-10.30M,,,,,,-13.80M,0.40M,129.00M,,0.00,49.80M,0.00,,,,-12.80M,,,,
1996-06,39.80M,,-0.70M,,,9.80M,9.80M,6.60M,38.70M,-3.70M,90.50M,,-3.70M,-3.70M,,98.30M,-171.50M,-76.90M,,,96.30M,96.30M,,,-18.50M,,,,,,-13.90M,0.10M,-23.20M,,0.00,-9.60M,0.00,,,,,,,,
1996-03,38.10M,,-0.80M,,,9.60M,9.60M,0.70M,12.20M,-5.90M,53.90M,,-3.60M,-3.60M,,83.50M,-190.00M,-110.10M,,,83.60M,83.60M,,,-21.60M,,,,,,-11.90M,0.90M,10.40M,,486.20M,-45.80M,0.00,,,,,,,,
1995-12,35.90M,-0.70M,-2.50M,,,9.70M,9.70M,7.80M,-12.90M,29.80M,67.80M,,-6.80M,-6.80M,,182.90M,-6.00M,170.10M,,0.00,-270.10M,-270.10M,,,-1.50M,,,,,,-35.90M,0.20M,-230.20M,,0.00,7.80M,0.00,,,,0.00,,,,
1995-09,34.20M,-1.00M,3.20M,,,8.50M,8.50M,2.70M,-1.40M,-35.60M,11.60M,,-2.60M,-2.60M,,-124.30M,378.00M,251.10M,,-2.20M,-156.50M,-158.70M,,,-5.40M,,,,,,0.00,-1.00M,-177.60M,,0.00,85.10M,0.00,,,,-2.20M,,,,
1995-06,33.70M,1.10M,0.00,,,7.70M,7.70M,-1.50M,-10.30M,-1.50M,28.10M,,-5.40M,-5.40M,,106.40M,-245.00M,-144.00M,,-3.30M,336.40M,333.10M,,,-0.30M,,,,,,0.00,1.50M,147.60M,,0.00,31.60M,0.00,,,,-3.30M,,,,
1995-03,32.80M,-1.30M,-1.40M,,,7.80M,7.80M,10.70M,6.40M,-49.30M,7.00M,,-5.20M,-5.20M,,487.90M,-201.90M,280.80M,,,-209.50M,-209.50M,,,-0.30M,,,,,,-10.50M,0.50M,-412.20M,,486.10M,-124.40M,0.00,,,,,,,,
1994-12,30.50M,,-0.30M,,,7.60M,7.60M,6.20M,5.40M,0.40M,49.80M,,-14.40M,-14.40M,,908.70M,-1.032B,-137.60M,,0.00,-105.90M,-105.90M,,,2.40M,,,,,,-10.40M,0.40M,140.60M,,0.00,52.90M,0.00,,,0.10M,-0.10M,,,,
1994-09,29.80M,,0.10M,,,6.00M,6.00M,1.40M,7.80M,-9.80M,35.30M,,-8.50M,-8.50M,,-895.10M,673.00M,-230.60M,,-2.30M,34.20M,31.90M,,,-3.50M,,,,,,-10.50M,0.60M,185.70M,,0.00,-9.60M,0.00,,,0.00,-2.30M,,,,
1994-06,28.50M,,,,,10.80M,10.80M,-0.70M,12.90M,-19.70M,31.80M,,-4.80M,-4.80M,,168.70M,-220.20M,-56.30M,,-26.00M,210.40M,184.40M,,,-15.60M,,,,,,-10.70M,0.20M,55.00M,,0.00,30.50M,0.00,,,0.00,-26.00M,,,,
1994-03,27.80M,,,,,6.20M,6.20M,0.40M,37.40M,17.10M,88.90M,,-2.80M,-2.80M,,-146.20M,-250.50M,-399.50M,,142.90M,79.30M,222.20M,,,-3.20M,,,,,,-8.80M,0.20M,162.40M,,560.50M,-148.20M,0.00,,,148.00M,-5.10M,,,,
1993-12,224.20M,0.10M,0.30M,,,120.80M,120.80M,70.90M,158.20M,-158.90M,415.50M,,-103.70M,-72.20M,,534.70M,369.00M,-357.90M,,188.80M,-241.60M,-52.80M,,,-192.70M,,,,,,-112.10M,34.30M,-256.80M,,0.00,-199.20M,2.714B,,,,-251.20M,,,AOR,
1993-09,23.60M,0.00,-0.10M,,,8.90M,8.90M,-4.50M,15.10M,0.70M,43.70M,,-2.00M,-2.00M,,-342.80M,-95.50M,-440.30M,,-2.30M,383.40M,381.10M,,,1.50M,,,,,,-8.80M,-0.10M,164.50M,,0.00,-232.10M,0.00,,,,-2.30M,,,,
1993-06,25.30M,0.00,-0.10M,,,7.40M,7.40M,1.30M,1.20M,2.20M,37.30M,,-4.10M,-4.10M,,97.90M,-138.00M,-44.20M,,-2.60M,-6.00M,-8.60M,,,3.00M,,,,,,-8.70M,0.10M,-3.20M,,0.00,-10.10M,0.00,,,,-2.60M,,,,
1993-03,24.90M,-0.10M,-0.10M,,,7.40M,7.40M,-3.70M,41.00M,1.30M,70.80M,,-1.80M,-1.80M,,103.10M,-94.90M,6.40M,,-0.10M,-78.80M,-78.90M,,,1.10M,,,,,,-7.90M,0.20M,-336.50M,,882.80M,-259.30M,0.00,,,,-0.10M,,,,
1992-12,254.30M,0.70M,0.70M,,,63.90M,63.90M,26.10M,176.80M,115.10M,636.90M,,-93.80M,-84.10M,,-119.20M,-249.30M,-215.40M,,-100.40M,-26.60M,-127.00M,,,-0.60M,,,,,,-80.10M,30.20M,103.70M,,0.00,525.30M,3.414B,,,,-261.20M,,,,Restated
1992-09,20.30M,-0.50M,-0.50M,,,13.30M,13.30M,-2.00M,-17.00M,-11.80M,2.30M,,-3.30M,-3.30M,,-418.80M,-69.90M,-492.00M,,-30.30M,62.60M,32.30M,,,0.00,,,,,,-7.80M,0.20M,-182.00M,,0.00,-671.90M,0.00,,,,-30.30M,,,,
1992-06,19.60M,0.00,0.00,,,6.00M,6.00M,-1.00M,-14.60M,-4.30M,5.70M,,-1.00M,-1.00M,,-26.40M,638.00M,610.60M,,-2.60M,6.30M,3.70M,,,0.30M,,,,,,-7.80M,0.10M,-51.60M,,0.00,564.80M,0.00,,,,-2.60M,,,,
1992-03,17.60M,-0.20M,-0.20M,,,4.90M,4.90M,-0.90M,12.40M,-10.50M,23.30M,,-1.20M,-1.20M,,15.10M,-49.50M,-35.60M,,-0.10M,-74.80M,-74.90M,,,0.30M,,,,,,-7.60M,-0.30M,42.20M,,624.50M,29.90M,0.00,,,,-0.10M,,,,
1991-12,17.40M,,,,,5.30M,5.30M,-0.60M,-3.70M,10.00M,30.10M,,-11.70M,-11.70M,,-49.80M,-4.40M,-65.90M,,-0.10M,65.50M,65.40M,,,0.00,,,0.00,,,-7.50M,0.00,43.10M,,0.00,7.40M,0.00,,,0.00,-0.10M,,,,
1991-09,16.30M,,,,,5.30M,5.30M,0.00,11.60M,-13.60M,19.60M,,-1.70M,-1.70M,,36.60M,0.10M,35.00M,,14.80M,36.20M,51.00M,,,-0.20M,,,18.10M,,,-7.20M,0.00,103.40M,,0.00,158.00M,0.00,,,22.50M,-7.70M,,,,
1991-06,16.90M,,,,,4.80M,4.80M,-1.80M,8.10M,4.90M,32.90M,,-1.60M,-1.60M,,38.10M,-108.90M,-72.40M,,-2.60M,8.60M,6.00M,,,0.40M,,,,,,-7.30M,0.30M,-11.50M,,0.00,-50.90M,0.00,,,,-2.60M,,,,
1991-03,15.20M,,,,,4.20M,4.20M,-0.30M,10.60M,8.80M,38.50M,,-1.70M,-1.70M,,-46.30M,0.60M,-47.40M,,,-148.00M,-148.00M,,,-0.10M,,,,,,-6.90M,0.10M,-214.00M,,733.10M,-223.00M,0.00,,,,,,,,
1990-12,15.80M,,,,,4.20M,4.20M,-0.80M,11.20M,-3.90M,26.50M,,-1.90M,-1.90M,,36.20M,-58.00M,-23.70M,,-2.30M,73.10M,70.80M,,,-0.70M,,,,,,-7.00M,0.70M,189.00M,,0.00,191.70M,0.00,,,,-2.30M,,,,
1990-09,15.30M,,,,,4.90M,4.90M,-1.80M,13.70M,-28.20M,3.90M,,-2.00M,-2.00M,,-60.50M,-16.70M,-79.20M,,-0.80M,36.40M,35.60M,,,0.40M,,,,,,-6.90M,-0.40M,25.00M,,0.00,-50.30M,0.00,,,,-0.80M,,,,
1990-06,16.60M,,,,,4.70M,4.70M,-1.50M,8.10M,0.30M,28.20M,,-2.10M,-2.10M,,36.20M,-115.60M,-81.50M,,-2.60M,35.20M,32.60M,,,-0.10M,,,,,,-6.90M,0.30M,75.60M,,0.00,22.20M,0.00,,,,-2.60M,,,,
1990-03,17.20M,,,,,4.10M,4.10M,-2.60M,7.30M,9.60M,35.60M,,-2.00M,-2.00M,,-14.90M,-104.50M,-121.40M,,,38.20M,38.20M,,,-0.10M,,,,,,-6.30M,,-15.60M,,670.70M,-101.30M,0.00,,,,,,,,
