,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1991-03,,65.90M,,65.90M,,,237.80M,,1.424B,,219.30M,1.947B,,,,,,,,3.611B,-1.748B,1.863B,,,,298.30M,2.161B,4.108B,,1.157B,1.157B,,1.157B,,,134.80M,,134.80M,,,,714.30M,2.006B,4.584B,,4.584B,269.30M,269.30M,,,86.20M,4.94B,6.946B,,,-2.535B,,,,-2.838B,,,
1990-12,,54.50M,,54.50M,,,277.00M,,1.448B,,171.10M,1.950B,,,,,,,,3.623B,-1.748B,1.874B,,,,294.10M,2.168B,4.118B,,1.198B,1.198B,,1.198B,,,96.50M,,96.50M,,,,768.00M,2.062B,4.558B,,4.558B,272.60M,272.60M,,,86.60M,4.917B,6.979B,,,-2.541B,,,,-2.860B,,,
1990-09,,104.90M,,104.90M,,,270.20M,,1.385B,,197.80M,1.958B,,,,,,,,3.216B,-1.349B,1.867B,,,,290.50M,2.157B,4.115B,,1.191B,1.191B,,1.191B,,,155.20M,,155.20M,,,,802.20M,2.148B,4.495B,,4.495B,283.50M,283.50M,,,124.00M,4.902B,7.051B,,,-2.604B,,,,-2.935B,,,
1990-06,,103.00M,,103.00M,,,235.50M,,1.325B,,200.10M,1.864B,,,,,,,,3.202B,-1.349B,1.853B,,,,289.50M,2.142B,4.006B,,1.095B,1.095B,,1.095B,,,192.20M,,192.20M,,,,807.60M,2.095B,4.434B,,4.434B,291.20M,291.20M,,,123.20M,4.849B,6.944B,,,-2.604B,,,,-2.938B,,,
1990-03,,107.10M,,107.10M,,,230.60M,,1.345B,,203.10M,1.886B,,,,,,,,3.228B,-1.349B,1.879B,,,,299.50M,2.178B,4.064B,,1.025B,1.025B,,1.025B,,,196.60M,,196.60M,,,,747.30M,1.969B,4.652B,,4.652B,292.30M,292.30M,,,116.50M,5.061B,7.030B,,,-2.624B,,,,-2.966B,,,
1989-12,,115.50M,,115.50M,,,280.50M,,1.395B,,257.10M,2.048B,,,,,,,,3.261B,-1.349B,1.912B,,,,281.70M,2.194B,4.242B,,1.132B,1.132B,,1.132B,,,184.30M,,184.30M,,,,753.10M,2.069B,4.724B,,4.724B,293.80M,293.80M,,,120.10M,5.138B,7.208B,,,-2.609B,,,,-2.966B,,,
1989-09,,92.20M,,92.20M,,,245.90M,,1.356B,,213.30M,1.907B,,,,,,,,3.492B,-1.543B,1.948B,,,,290.20M,2.239B,4.146B,,1.095B,1.095B,,1.095B,,,214.10M,,214.10M,,,,684.40M,1.994B,4.680B,,4.680B,305.20M,305.20M,,,118.10M,5.104B,7.097B,,,-2.546B,,,,-2.952B,,,
1989-06,,129.60M,,129.60M,,,221.00M,,1.266B,,328.80M,1.945B,,,,,,,,3.334B,-1.432B,1.902B,,,,294.10M,2.196B,4.141B,,1.017B,1.017B,,1.017B,,,205.40M,,205.40M,,,,668.90M,1.891B,4.768B,,4.768B,307.60M,307.60M,,,124.20M,5.200B,7.091B,,,-2.540B,,,,-2.950B,,,
1988-12,,211.00M,,211.00M,,,258.30M,,1.275B,,725.20M,2.470B,,,,,,,,3.235B,-1.324B,1.910B,,,,233.70M,2.144B,4.614B,,,,,,,,347.10M,,347.10M,,,,1.818B,2.165B,4.532B,,4.532B,302.30M,302.30M,,,542.80M,5.378B,7.542B,,,2.517B,,,,-2.928B,,,
1987-12,,113.50M,,113.50M,,,252.60M,,1.448B,,341.30M,2.156B,,,,,,,,3.436B,-1.299B,2.137B,,,,167.70M,2.305B,4.460B,,,,,,,,337.40M,,337.40M,,,,1.625B,1.963B,757.80M,,757.80M,,,,,731.10M,1.489B,3.452B,,,1.094B,,,,1.008B,,,
1986-12,,212.20M,,212.20M,,,264.90M,,1.197B,,276.40M,1.951B,,,,,,,,3.103B,-1.135B,1.968B,,,,157.20M,2.126B,4.076B,,,,,,,,133.40M,,133.40M,,,,1.640B,1.773B,758.20M,,758.20M,292.20M,292.20M,,,223.20M,1.274B,3.047B,,,938.80M,,,,1.030B,,,
1985-12,,105.50M,,105.50M,,,215.40M,,1.473B,,207.40M,2.001B,,,,,,,,3.109B,-1.117B,1.992B,,,,185.20M,2.177B,4.178B,,,,,,,,157.90M,,157.90M,,,,1.570B,1.728B,710.90M,,710.90M,,,,,550.70M,1.262B,2.989B,,,980.00M,,,,1.189B,,,
