,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-12,883.38M,883.38M,444.03M,439.35M,335.12M,,-10.81M,,,,10.81M,345.92M,93.42M,,,,-10.81M,,82.98M,31.88M,51.11M,0.00,0.0,,,51.11M,57.76M,156.27M,62.84M,93.42M,0.145,-0.01,0.0,,0.1707,0.155,0.135,-0.01,0.0,,0.1603,0.145,259.39M,262.92M,0.0725
2002-09,894.87M,894.87M,434.20M,460.67M,327.67M,,-2.109M,,,,2.109M,329.78M,130.90M,,,,-2.109M,,119.91M,47.83M,72.08M,,,,,72.08M,73.35M,185.18M,54.28M,130.90M,0.28,0.0,,,0.2849,0.28,0.275,0.0,,,0.2799,0.275,258.57M,261.22M,0.0675
2002-06,839.23M,839.23M,413.42M,425.80M,315.36M,,-11.82M,,,,11.82M,327.18M,98.62M,,,,-11.82M,,86.67M,35.01M,51.66M,,,,,51.66M,58.75M,150.56M,51.93M,98.62M,0.2,0.0,,,0.2275,0.2,0.2,0.0,,,0.2271,0.2,257.81M,261.23M,0.0675
2002-03,786.11M,786.11M,395.94M,390.16M,304.94M,,-12.30M,,,,12.30M,317.24M,72.92M,,,,-12.30M,,62.41M,25.37M,37.04M,1.882M,,,,38.92M,44.42M,127.29M,54.37M,72.92M,0.145,0.005,,,0.1737,0.15,0.14,0.005,,,0.1683,0.15,256.81M,260.36M,0.0675
2001-12,527.76M,527.76M,299.46M,228.30M,160.80M,,-1.069M,,,,,161.62M,66.68M,,,,2.488M,,58.50M,23.75M,38.30M,,,,,38.30M,38.94M,107.54M,40.86M,66.68M,0.15,0.0,,,0.1525,0.15,0.145,0.0,,,0.1475,0.145,255.39M,258.84M,0.0675
2001-09,616.23M,616.23M,280.75M,335.48M,241.42M,,0.053M,,,,,241.42M,94.06M,,,,5.487M,,87.11M,35.28M,57.26M,,,,,57.26M,57.23M,135.14M,41.07M,94.06M,0.225,0.0,,,0.2249,0.225,0.22,0.0,,,0.2199,0.22,255.35M,259.62M,0.065
2001-06,586.98M,586.98M,282.60M,304.38M,224.33M,,0.192M,,,,-0.192M,224.14M,80.24M,,,,4.694M,,73.43M,29.74M,48.19M,,,,,48.19M,48.08M,121.20M,40.96M,80.24M,0.19,0.0,,,0.1895,0.19,0.185,0.0,,,0.1846,0.185,254.67M,260.14M,0.065
2001-03,580.91M,580.91M,265.23M,315.68M,238.30M,,,,,,,238.30M,77.38M,,,,2.34M,,70.71M,28.64M,44.41M,,,,,44.41M,44.41M,117.48M,40.10M,77.38M,0.175,0.0,,,0.175,0.175,0.17,0.0,,,0.17,0.17,253.92M,261.26M,0.065
2000-12,533.02M,533.02M,293.45M,239.58M,166.22M,,,,,,,245.49M,-5.91M,,,,26.88M,,86.62M,35.57M,57.20M,,,,,54.77M,57.20M,32.62M,38.53M,-5.91M,0.23,-0.01,,,0.23,0.22,0.22,-0.01,,,0.22,0.21,253.22M,260.36M,0.065
2000-09,600.67M,600.67M,266.95M,333.72M,235.99M,,,,,,,235.99M,97.73M,,,,5.37M,,91.20M,36.23M,60.34M,,,,,60.34M,60.34M,135.17M,37.44M,97.73M,0.235,0.0,,,0.235,0.235,0.23,0.0,,,0.23,0.23,254.22M,262.33M,0.06
2000-06,570.71M,570.71M,223.31M,347.40M,232.69M,,5.106M,,,,,268.76M,78.64M,,,,5.106M,,78.50M,30.09M,48.41M,,,,,48.41M,45.26M,114.71M,36.07M,78.64M,0.19,0.0,,,0.1777,0.19,0.18,0.0,,,0.1682,0.18,256.69M,265.98M,0.06
2000-03,526.26M,526.26M,200.08M,326.18M,217.10M,,2.891M,,,,,253.49M,72.68M,,,,2.891M,,70.22M,27.60M,42.61M,,,,,42.61M,40.86M,109.08M,36.40M,72.68M,0.165,0.0,,,0.1582,0.165,0.16,0.0,,,0.1534,0.16,257.89M,266.66M,0.06
1999-12,515.80M,515.80M,201.20M,314.60M,212.80M,,5.80M,,,,,246.40M,68.20M,,,,5.80M,,68.10M,25.70M,42.40M,,,,,42.40M,38.79M,101.80M,33.60M,68.20M,0.165,0.0,,,0.1511,0.165,0.155,0.0,,,0.1415,0.155,259.31M,266.86M,0.06
1999-09,554.50M,554.50M,212.30M,342.20M,219.00M,,5.60M,,,,,254.30M,87.90M,,,,5.60M,,88.60M,33.60M,55.00M,,,,,55.00M,51.52M,123.20M,35.30M,87.90M,0.21,0.0,,,0.1967,0.21,0.205,0.0,,,0.192,0.205,261.90M,268.29M,0.0525
1999-06,520.42M,520.42M,201.80M,318.62M,213.90M,,4.80M,,,,,246.80M,71.82M,,,,4.80M,,70.30M,26.90M,43.40M,,,,,43.40M,40.44M,104.72M,32.90M,71.82M,0.165,0.0,,,0.1537,0.165,0.16,0.0,,,0.1491,0.16,263.03M,271.25M,0.0525
1999-03,489.30M,489.30M,187.70M,301.60M,206.60M,,2.10M,,,,,239.30M,62.30M,,,,2.10M,,58.60M,23.60M,35.00M,,,,,35.00M,33.74M,95.00M,32.70M,62.30M,0.135,0.0,,,0.1301,0.135,0.13,0.0,,,0.1253,0.13,259.26M,269.23M,0.0525
1998-12,483.30M,483.30M,188.20M,295.10M,197.30M,,5.00M,,,,,229.90M,65.20M,,,,5.00M,,64.40M,25.20M,39.20M,,,,,39.20M,36.16M,97.80M,32.60M,65.20M,0.155,0.0,,0.0009,0.143,0.155,0.145,0.0,,0.0004,0.1335,0.15,253.76M,265.53M,0.0525
1998-09,500.00M,500.00M,193.50M,306.50M,196.50M,,4.70M,,,,,227.40M,79.10M,,,,4.70M,,78.80M,31.80M,47.00M,,,,,85.00M,44.18M,110.00M,30.90M,79.10M,0.18,0.145,,0.1453,0.1692,0.325,0.18,0.14,,0.1431,0.1694,0.32,261.54M,265.62M,0.0475
1998-06,468.50M,468.50M,180.40M,288.10M,194.60M,,3.80M,,,,,224.30M,63.80M,,,,3.80M,,62.20M,24.50M,37.70M,,,,,37.70M,35.40M,93.50M,29.70M,63.80M,0.145,0.0,,,0.1361,0.145,0.14,0.0,,,0.1314,0.14,260.00M,269.29M,0.0475
