,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-03,12.06B,796.00M,12.86B,1.311B,,1.311B,,583.00M,3.658B,18.41B,,,,,1.884B,,1.884B,16.89B,1.845B,18.73B,10.02B,1.961B,32.60B,51.01B,,,,12.14B,,12.14B,1.581B,1.581B,,,7.566B,21.28B,5.473B,5.473B,1.356B,1.356B,,,,1.83B,8.659B,29.94B,,13.00M,15.24B,5.788B,,,,24.00M,21.07B,,AOR,Restated
2006-12,10.32B,620.00M,10.94B,1.323B,,1.323B,,561.00M,3.22B,16.04B,,,,,3.109B,-1.215B,1.894B,16.82B,1.904B,18.73B,9.642B,2.014B,32.28B,48.32B,,8.076B,3.713B,11.79B,,11.79B,1.483B,1.483B,,,5.225B,18.50B,5.973B,5.973B,1.19B,1.19B,,,,1.85B,9.013B,27.51B,,13.00M,14.38B,6.406B,,,,15.00M,20.81B,,AOR,Restated
2006-09,9.252B,673.00M,9.925B,1.218B,,1.218B,,568.00M,3.285B,15.00B,,,,,1.721B,,1.721B,16.67B,1.966B,18.63B,9.152B,1.922B,31.43B,46.42B,,,,11.90B,,11.90B,1.447B,1.447B,,,4.708B,18.05B,5.878B,5.878B,1.173B,1.173B,,,,1.821B,8.872B,26.92B,,13.00M,13.20B,6.269B,,,,17.00M,19.50B,,AOR,Restated
2006-06,9.472B,584.00M,10.06B,1.35B,,1.35B,,627.00M,3.445B,15.48B,,,,,1.666B,,1.666B,16.62B,2.005B,18.62B,8.937B,1.932B,31.16B,46.64B,,,,11.97B,,11.97B,939.00M,939.00M,,,6.355B,19.27B,6.426B,6.426B,1.106B,1.106B,,,,1.799B,9.331B,28.60B,,13.00M,12.09B,6.029B,,,,,18.04B,,AOR,Restated
2006-03,7.839B,522.00M,8.361B,1.309B,,1.309B,,689.00M,3.264B,13.62B,,,,,1.681B,,1.681B,16.58B,2.038B,18.62B,9.22B,1.932B,31.45B,45.07B,,,,11.36B,,11.36B,1.073B,1.073B,,,5.599B,18.03B,6.45B,6.45B,1.163B,1.163B,,,,1.785B,9.398B,27.43B,,13.00M,10.84B,6.841B,,,,-48.00M,17.65B,,AOR,Restated
2005-12,5.421B,590.00M,6.011B,1.207B,,1.207B,,650.00M,2.679B,10.55B,,,,,2.613B,-966.00M,1.647B,16.24B,2.02B,18.26B,8.971B,1.865B,30.74B,41.29B,,7.262B,3.285B,10.55B,,10.55B,3.261B,3.261B,,,2.845B,16.65B,3.834B,3.834B,1.225B,1.225B,,,,1.761B,6.82B,23.47B,,14.00M,10.26B,7.51B,,,,33.00M,17.82B,,AOR,Restated
2005-09,5.177B,316.00M,5.493B,941.00M,,941.00M,,1.019B,1.799B,9.252B,,,,,1.345B,,1.345B,9.783B,1.081B,10.86B,8.235B,,20.44B,29.70B,,,,8.335B,,8.335B,631.00M,631.00M,,,3.063B,12.03B,3.85B,3.85B,838.00M,838.00M,,,,1.75B,6.438B,18.47B,,13.00M,9.895B,1.279B,,,,42.00M,11.23B,,AOR,Restated
2005-06,4.042B,301.00M,4.343B,914.00M,,914.00M,,964.00M,1.839B,8.06B,,,,,1.29B,,1.29B,9.669B,1.072B,10.74B,8.43B,,20.46B,28.52B,,,,8.405B,,8.405B,400.00M,400.00M,,,2.757B,11.56B,3.85B,3.85B,861.00M,861.00M,,,,1.719B,6.43B,17.99B,,13.00M,9.053B,1.34B,,,,123.00M,10.53B,,AOR,Restated
2005-03,4.073B,277.00M,4.35B,908.00M,,908.00M,,937.00M,1.862B,8.057B,,,,,1.27B,,1.27B,9.489B,1.189B,10.68B,8.213B,,20.16B,28.22B,,,,8.152B,,8.152B,400.00M,400.00M,,,2.733B,11.28B,3.85B,3.85B,837.00M,837.00M,,,,1.691B,6.378B,17.66B,,6.00M,8.263B,2.244B,,,,42.00M,10.56B,,AOR,Restated
2004-12,3.991B,514.00M,4.505B,906.00M,,906.00M,,353.00M,2.477B,8.241B,,,,,1.799B,-660.00M,1.139B,9.47B,1.205B,10.68B,7.748B,76.00M,19.64B,27.88B,,5.54B,2.107B,7.647B,,7.647B,673.00M,673.00M,,,3.009B,11.33B,3.35B,3.35B,814.00M,814.00M,,,,1.669B,5.833B,17.16B,,13.00M,7.484B,3.088B,,,,132.00M,10.72B,,AOR,Restated
2004-09,3.635B,774.00M,4.409B,910.00M,,910.00M,,918.00M,1.959B,8.196B,,,,,1.196B,,1.196B,9.165B,1.249B,10.41B,8.091B,,19.70B,27.90B,,,,7.69B,,7.69B,150.00M,150.00M,,,2.727B,10.57B,3.75B,3.75B,871.00M,871.00M,,,,1.642B,6.263B,16.83B,,7.00M,6.745B,4.179B,,,,136.00M,11.07B,,AOR,Restated
2004-06,3.10B,409.00M,3.509B,836.00M,,836.00M,,751.00M,1.932B,7.028B,,,,,1.162B,,1.162B,5.479B,530.00M,6.009B,6.684B,,13.86B,20.88B,,,,6.669B,,6.669B,150.00M,150.00M,,,2.553B,9.372B,2.25B,2.25B,529.00M,529.00M,,,,1.614B,4.393B,13.76B,,6.00M,6.046B,1.029B,,,,37.00M,7.118B,,AOR,Restated
2004-03,2.714B,216.00M,2.93B,873.00M,,873.00M,,652.00M,1.989B,6.444B,,,,,1.182B,,1.182B,5.446B,531.00M,5.977B,7.249B,,14.41B,20.85B,,,,6.253B,,6.253B,150.00M,150.00M,,,2.736B,9.139B,2.25B,2.25B,622.00M,622.00M,,,,1.614B,4.486B,13.62B,,6.00M,5.469B,1.558B,,,,194.00M,7.227B,,AOR,Restated
2003-12,,,,,,,,,,,,,,,,,,,,,,,,17.67B,,,,,,,,,,,,,,,,,,,,,,12.43B,,,,,,,,,5.236B,,AOR,Restated
2003-09,2.067B,373.00M,2.44B,880.00M,,880.00M,,427.00M,2.024B,5.771B,,,,,1.054B,,1.054B,3.424B,139.00M,3.563B,4.514B,,9.131B,14.90B,,,,5.633B,,5.633B,350.00M,350.00M,,,2.276B,8.259B,1.40B,1.40B,497.00M,497.00M,,,,,1.897B,10.16B,,6.00M,4.584B,0.00,,,,156.00M,4.746B,,AOR,Restated
2003-06,2.253B,231.00M,2.484B,836.00M,,836.00M,,457.00M,2.007B,5.784B,,,,,1.036B,,1.036B,3.403B,145.00M,3.548B,4.47B,,9.054B,14.84B,,,,5.784B,,5.784B,350.00M,350.00M,,,2.217B,8.351B,1.40B,1.40B,414.00M,414.00M,,,,,1.814B,10.16B,,6.00M,4.468B,14.00M,,,,185.00M,4.673B,,AOR,Restated
2003-03,1.802B,238.00M,2.04B,835.00M,,835.00M,,458.00M,2.036B,5.369B,,,,,1.035B,,1.035B,3.367B,119.00M,3.486B,4.555B,,9.076B,14.44B,,,,5.53B,,5.53B,402.00M,402.00M,,,2.24B,8.172B,1.40B,1.40B,429.00M,429.00M,,,,,1.829B,10.00B,,3.00M,4.291B,0.00,,,,150.00M,4.444B,,AOR,Restated
2002-12,1.13B,701.00M,1.831B,664.00M,,664.00M,,389.00M,2.29B,5.174B,,,,,1.411B,-456.00M,955.00M,3.363B,122.00M,3.485B,4.498B,52.00M,8.99B,14.16B,,5.20B,,5.20B,,5.20B,811.00M,811.00M,,,2.368B,8.379B,950.00M,950.00M,407.00M,407.00M,,,,,1.357B,9.736B,,6.00M,4.104B,170.00M,,,,148.00M,4.428B,,AOR,Restated
2002-09,1.066B,515.00M,1.581B,873.00M,,873.00M,,451.00M,2.023B,4.928B,,,,,955.00M,,955.00M,2.793B,611.00M,3.404B,4.42B,,8.779B,13.71B,,,,5.083B,,5.083B,374.00M,374.00M,,,2.19B,7.647B,1.30B,1.30B,399.00M,399.00M,,,,,1.699B,9.346B,,3.00M,3.724B,478.00M,,,,156.00M,4.361B,,AOR,
2002-06,1.696B,209.00M,1.905B,898.00M,,898.00M,,473.00M,1.937B,5.213B,,,,,963.00M,,963.00M,2.284B,552.00M,2.836B,3.826B,,7.625B,12.84B,,,,4.992B,,4.992B,230.00M,230.00M,,,2.006B,7.228B,1.30B,1.30B,329.00M,329.00M,,,,,1.629B,8.857B,,3.00M,3.892B,0.00,,,,86.00M,3.981B,,AOR,
2002-03,1.447B,226.00M,1.673B,834.00M,,834.00M,,404.00M,1.894B,4.805B,,,,,952.00M,,952.00M,2.221B,538.00M,2.759B,3.768B,,7.479B,12.28B,,,,4.801B,,4.801B,210.00M,210.00M,,,1.908B,6.919B,1.30B,1.30B,216.00M,216.00M,,,,,1.516B,8.435B,,3.00M,3.816B,0.00,,,,30.00M,3.849B,,AOR,
2001-12,1.54B,270.00M,1.81B,856.00M,,856.00M,,316.00M,1.964B,4.946B,,,,,847.00M,,847.00M,2.723B,27.00M,2.75B,3.888B,55.00M,7.54B,12.49B,,,,4.669B,,4.669B,684.00M,684.00M,,,2.138B,7.491B,900.00M,900.00M,204.00M,204.00M,,,,,1.104B,8.595B,,3.00M,3.805B,39.00M,,,,44.00M,3.891B,,AOR,Restated
2001-09,1.525B,166.00M,1.691B,894.00M,,894.00M,,,2.174B,4.759B,,,,,387.00M,,387.00M,,3.078B,3.078B,3.878B,,7.343B,12.10B,,,,4.722B,,4.722B,790.00M,790.00M,,,2.047B,7.559B,650.00M,650.00M,178.00M,178.00M,,,,,828.00M,8.387B,,3.00M,3.614B,0.00,,,,98.00M,3.715B,,AOR,
2001-06,1.34B,171.00M,1.511B,876.00M,,876.00M,,,2.091B,4.478B,,,,,365.00M,,365.00M,,3.052B,3.052B,3.737B,,7.154B,11.63B,,,,4.583B,,4.583B,702.00M,702.00M,,,1.926B,7.211B,650.00M,650.00M,179.00M,179.00M,,,,,829.00M,8.04B,,3.00M,3.517B,0.00,,,,72.00M,3.592B,,AOR,
2001-03,1.319B,180.00M,1.499B,895.00M,,895.00M,,,1.998B,4.392B,,,,,332.00M,,332.00M,,3.004B,3.004B,3.625B,,6.961B,11.35B,,,,4.472B,,4.472B,460.00M,460.00M,,,1.842B,6.774B,650.00M,650.00M,147.00M,147.00M,,,,,797.00M,7.571B,,3.00M,3.687B,0.00,,,,92.00M,3.782B,,AOR,
2000-12,1.419B,200.00M,1.619B,867.00M,,867.00M,,,1.919B,4.405B,,,,,303.00M,,303.00M,,2.911B,2.911B,3.434B,,6.648B,11.05B,,,,4.316B,,4.316B,559.00M,559.00M,,,1.695B,6.57B,650.00M,650.00M,145.00M,145.00M,,,,,795.00M,7.365B,,3.00M,3.595B,0.00,,,,90.00M,3.688B,,AOR,
2000-09,1.103B,274.00M,1.377B,906.00M,,906.00M,,,1.712B,3.995B,,,,,269.00M,,269.00M,,2.891B,2.891B,3.308B,,6.468B,10.46B,,,,4.233B,,4.233B,665.00M,665.00M,,,1.383B,6.281B,400.00M,400.00M,125.00M,125.00M,,,,,525.00M,6.806B,,2.00M,3.566B,0.00,,,,89.00M,3.657B,,AOR,
2000-06,1.322B,255.00M,1.577B,914.00M,,914.00M,,,1.669B,4.16B,,,,,267.00M,,267.00M,,2.893B,2.893B,2.993B,,6.153B,10.31B,,,,4.093B,,4.093B,474.00M,474.00M,,,1.509B,6.076B,400.00M,400.00M,128.00M,128.00M,,,,,528.00M,6.604B,,2.00M,3.646B,0.00,,,,61.00M,3.709B,,AOR,
2000-03,1.276B,348.00M,1.624B,919.00M,,919.00M,,,1.619B,4.162B,,,,,281.00M,,281.00M,,2.888B,2.888B,2.821B,,5.99B,10.15B,,,,3.996B,,3.996B,496.00M,496.00M,,,1.476B,5.968B,400.00M,400.00M,124.00M,124.00M,,,,,524.00M,6.492B,,2.00M,3.562B,0.00,,,,96.00M,3.66B,,AOR,
1999-12,0.00,3.114B,3.114B,,,,,,,3.114B,,,,,278.00M,,278.00M,,2.859B,2.859B,,,3.137B,10.27B,,,,,,,591.00M,591.00M,,,,591.00M,400.00M,400.00M,,,,,,,400.00M,6.41B,,3.00M,3.445B,250.00M,,,,,3.863B,,AOR,
1999-09,0.00,3.251B,3.251B,,,,,,,3.251B,,,,,295.00M,,295.00M,,2.817B,2.817B,,,3.112B,9.785B,,,,,,,400.00M,400.00M,,,,400.00M,250.00M,250.00M,,,,,,,250.00M,5.815B,,2.00M,3.29B,483.00M,,,,,3.97B,,,
1999-06,0.00,3.378B,3.378B,,,,,,,3.378B,,,,,280.00M,,280.00M,,2.621B,2.621B,,,2.901B,9.754B,,,,,,,400.00M,400.00M,,,,400.00M,249.00M,249.00M,,,,,,,249.00M,5.596B,,2.00M,3.146B,591.00M,,,,,4.158B,,,
1999-03,0.00,2.903B,2.903B,,,,,,,2.903B,,,,,294.00M,,294.00M,,2.509B,2.509B,,,2.803B,9.49B,,,,,,,400.00M,400.00M,,,,400.00M,249.00M,249.00M,,,,,,,249.00M,5.542B,,2.00M,3.017B,762.00M,,,,,3.948B,,,
1998-12,1.644B,170.00M,1.814B,965.00M,,965.00M,,,1.475B,4.254B,,,,,294.00M,,294.00M,,2.517B,2.517B,2.61B,,5.421B,9.675B,,,,3.729B,,3.729B,459.00M,459.00M,,,1.128B,5.316B,249.00M,249.00M,72.00M,72.00M,,,,,321.00M,5.637B,,2.00M,2.885B,1.107B,,,,44.00M,4.038B,,AOR,Restated
1998-09,0.00,3.023B,3.023B,,,,,,,3.023B,,,,,332.00M,,332.00M,,2.20B,2.20B,,,2.532B,8.914B,,,,,,,,,,,,,22.00M,22.00M,,,,,,,22.00M,4.314B,,2.00M,2.779B,1.263B,,,,,4.60B,,,
1998-06,0.00,3.406B,3.406B,,,,,,,3.406B,,,,,333.00M,,333.00M,,2.02B,2.02B,,,2.353B,8.888B,,,,,,,,,,,,,21.00M,21.00M,,,,,,,21.00M,4.257B,,2.00M,2.649B,1.449B,,,,,4.631B,,,
1998-03,0.00,148.00M,148.00M,,,,,,,148.00M,,,,,331.00M,,331.00M,,2.356B,2.356B,,,2.687B,9.104B,,,,,,,,,,,,,20.00M,20.00M,,,,,,,20.00M,3.934B,,2.00M,3.231B,1.416B,,,,,5.17B,,,
1997-12,750.00M,506.00M,1.256B,768.00M,,768.00M,,,169.00M,2.193B,,,,,364.00M,,364.00M,,2.281B,2.281B,2.785B,,5.43B,7.623B,,,,2.06B,,2.06B,,,,,510.00M,2.57B,19.00M,19.00M,,,,,,500.00M,519.00M,3.089B,,2.00M,3.105B,1.398B,,,,29.00M,4.534B,,AOR,
1997-09,0.00,482.80M,482.80M,,,,,,,482.80M,,,,,352.20M,,352.20M,,2.146B,2.146B,,,2.498B,7.241B,,,,,,,,,,,,,20.50M,20.50M,,,,,,,20.50M,2.470B,,1.90M,2.994B,1.257B,,,,,4.772B,,,
1997-06,0.00,269.60M,269.60M,,,,,,,269.60M,,,,,333.20M,,333.20M,,2.150B,2.150B,,,2.483B,7.126B,,,,,,,,,,,,,22.70M,22.70M,,,,,,,22.70M,2.502B,,1.90M,2.885B,1.235B,,,,,4.624B,,,
1997-03,0.00,446.36M,446.36M,,,,,,,446.36M,,,,,322.13M,,322.13M,,2.130B,2.130B,,,2.452B,7.063B,,,,,,,,,,,,,28.82M,28.82M,,,,,,,28.82M,2.629B,,1.858M,2.776B,1.176B,,,,,4.434B,,,
1996-12,1.037B,610.57M,1.647B,605.80M,,605.80M,,,486.58M,2.740B,,,,,312.98M,,312.98M,,2.139B,2.139B,1.805B,,4.257B,6.997B,,73.08M,1.516B,1.589B,491.30M,2.080B,,,,,562.30M,2.643B,30.76M,30.76M,,,,,,500.00M,530.76M,3.174B,,1.849M,2.680B,1.148B,,,,-6.992M,3.823B,,AOR,
1996-09,0.00,2.587B,2.587B,,,,,,,2.587B,,,,,310.27M,,310.27M,,2.057B,2.057B,,,2.368B,6.701B,,,,,,,,,,,,,35.60M,35.60M,,,,,,,35.60M,2.487B,,1.844M,2.592B,1.133B,,,,,4.215B,,,
1996-06,0.00,2.137B,2.137B,,,,,,,2.137B,,,,,297.23M,,297.23M,,1.941B,1.941B,,,2.238B,6.495B,,,,,,,,,,,,,47.06M,47.06M,,,,,,,47.06M,2.391B,,1.836M,2.508B,1.109B,,,,,4.104B,,,
1996-03,0.00,2.206B,2.206B,,,,,,,2.206B,,,,,258.36M,,258.36M,,1.857B,1.857B,,,2.115B,6.404B,,,,,,,,,,,,,36.25M,36.25M,,,,,,,36.25M,2.471B,,1.778M,2.465B,975.14M,,,,,3.933B,,,
1995-12,940.11M,863.82M,1.804B,550.31M,,550.31M,,,512.88M,2.867B,,,,,267.65M,,267.65M,1.727B,24.70M,1.752B,1.274B,,3.294B,6.161B,,79.80M,1.156B,1.236B,566.77M,1.803B,,,,,631.01M,2.434B,38.97M,38.97M,,,,,,500.00M,538.97M,2.973B,,1.752M,2.359B,822.43M,,,,5.199M,3.188B,,AOR,
1995-09,0.00,1.278B,1.278B,,,,,,,1.278B,,,,,198.04M,,198.04M,,803.55M,803.55M,,,1.002B,3.897B,,,,,,,,,,,,,26.19M,26.19M,,,,7.021M,,,26.19M,762.34M,,1.739M,2.353B,779.84M,,,,,3.128B,,,
1995-06,0.00,1.815B,1.815B,,,,,,,1.815B,,,,,187.59M,,187.59M,,807.95M,807.95M,,,995.54M,3.756B,,,,,,,,,,,,,20.54M,20.54M,,,,6.374M,,,20.54M,724.21M,,1.735M,2.259B,769.19M,,,,,3.025B,,,
1995-03,0.00,1.840B,1.840B,,,,,,,1.840B,,,,,180.71M,,180.71M,,809.62M,809.62M,,,990.33M,3.701B,,,,,,,,,,,,,25.14M,25.14M,,,,5.846M,,,25.14M,791.27M,,1.731M,2.169B,759.51M,,,,,2.904B,,,
1994-12,1.519B,135.29M,1.654B,167.37M,,167.37M,,,86.51M,1.908B,,,,,273.40M,-110.80M,162.60M,,303.61M,303.61M,1.115B,,1.581B,3.489B,,66.94M,443.56M,510.50M,83.09M,593.58M,,,,,70.72M,664.30M,24.28M,24.28M,,,,5.446M,,,24.28M,688.58M,,1.728M,2.085B,752.47M,,,,-43.76M,2.795B,,AOR,
1994-09,1.662B,,1.662B,,,157.90M,,,242.20M,2.063B,,,,,222.00M,-78.60M,143.40M,,276.10M,276.10M,,1.047B,1.466B,3.529B,,74.30M,,74.30M,,74.30M,,,,,723.80M,798.10M,,,9.70M,9.70M,,5.20M,,14.30M,24.00M,822.10M,,,200.80M,,,,,,2.702B,,,
1994-06,2.253B,,2.253B,,,172.70M,,,159.10M,2.585B,,,,,219.40M,-78.60M,140.80M,,279.00M,279.00M,,1.061B,1.481B,4.066B,,102.70M,,102.70M,,102.70M,,,,,1.334B,1.436B,,,9.60M,9.60M,,5.00M,,17.60M,27.20M,1.464B,,,1.920B,,,,,,2.598B,,,
1994-03,129.80M,,129.80M,,,145.70M,,,136.50M,412.00M,,,,,177.80M,-78.60M,99.20M,,227.80M,227.80M,,828.90M,1.156B,1.568B,,60.00M,,60.00M,,60.00M,,,,,470.70M,530.70M,0.70M,0.70M,10.00M,10.00M,,2.10M,,9.40M,20.10M,550.80M,,,464.30M,,,,,,1.015B,,,
1993-12,146.40M,,146.40M,,,142.70M,,,142.00M,431.10M,,,,,169.80M,-78.60M,91.20M,,201.00M,201.00M,,770.70M,1.063B,1.494B,,54.40M,,54.40M,,54.40M,,,,,458.40M,512.80M,0.70M,0.70M,10.00M,10.00M,,2.00M,,9.60M,20.30M,533.10M,,,404.70M,,,,,,958.90M,,,
1993-09,59.50M,,59.50M,,,136.30M,,,86.10M,281.90M,,,,,126.00M,-48.20M,77.80M,,206.90M,206.90M,,778.20M,1.063B,1.345B,,48.80M,,48.80M,,48.80M,,,,,405.70M,454.50M,,,9.00M,9.00M,,1.80M,,11.30M,20.30M,474.80M,,,518.50M,,,,,,868.20M,,,
1993-06,47.70M,,47.70M,,,95.00M,,,80.30M,223.00M,,,,,111.50M,-48.20M,63.30M,,204.60M,204.60M,,664.70M,932.60M,1.156B,,47.60M,,47.60M,,47.60M,,,,,346.20M,393.80M,,,9.70M,9.70M,,1.70M,,12.00M,21.70M,415.50M,,,266.30M,,,,,,738.40M,,,
1993-03,69.60M,,69.60M,,,91.00M,,,119.40M,280.00M,,,,,106.50M,-48.20M,58.30M,,204.50M,204.50M,,583.50M,846.30M,1.126B,,46.50M,,46.50M,,46.50M,,,,,363.00M,409.50M,,,9.00M,9.00M,,1.60M,,13.40M,22.40M,431.90M,,,225.00M,,,,,,692.80M,,,
1992-12,128.70M,,128.70M,,,71.10M,,,120.00M,319.80M,,,,,92.60M,-48.20M,44.40M,,129.00M,129.00M,,500.40M,673.80M,993.60M,,42.20M,,42.20M,,42.20M,,,,,290.90M,333.10M,0.40M,0.40M,0.50M,0.50M,,1.40M,,2.60M,3.50M,336.60M,,,188.90M,,,,,,655.60M,,,
1992-09,62.80M,,62.80M,,,58.90M,,,100.80M,222.50M,,,,,70.80M,-29.60M,41.20M,,118.00M,118.00M,,512.10M,671.30M,893.80M,,28.50M,,28.50M,,28.50M,,,,,246.90M,275.40M,,,5.00M,5.00M,,1.20M,,3.60M,8.60M,284.00M,,,156.80M,,,,,,608.60M,,,
1992-06,30.10M,,30.10M,,,56.00M,,,98.20M,184.30M,,,,,69.20M,-29.60M,39.60M,,115.90M,115.90M,,481.30M,636.80M,821.10M,,209.60M,,209.60M,,209.60M,,,,,30.90M,240.50M,,,5.00M,5.00M,,1.10M,,5.20M,10.20M,250.70M,,,127.30M,,,,,,569.30M,,,
1992-03,102.60M,,102.60M,,,50.80M,,,144.20M,297.60M,,,,,66.80M,-29.60M,37.20M,,117.90M,117.90M,,351.60M,506.70M,804.30M,,27.10M,,27.10M,,27.10M,,,,,221.30M,248.40M,,,5.80M,5.80M,,1.00M,,9.70M,15.50M,263.90M,,,99.70M,,,,,,539.40M,,,
1991-12,138.00M,,138.00M,,,45.20M,,,117.80M,301.00M,,,,,62.10M,-29.60M,32.50M,,58.20M,58.20M,,182.30M,273.00M,574.00M,,20.40M,,20.40M,,20.40M,,,,,214.10M,234.50M,3.40M,3.40M,7.60M,7.60M,,0.90M,,8.90M,19.90M,254.40M,,,75.70M,,,,,,318.70M,,,
1991-09,58.90M,,58.90M,,,40.10M,,,132.10M,231.10M,,,,,47.60M,-20.80M,26.80M,,56.70M,56.70M,,200.50M,284.00M,515.10M,,23.00M,,23.00M,,23.00M,,,,,184.10M,207.10M,5.00M,5.00M,11.60M,11.60M,,0.70M,,7.70M,24.30M,231.40M,,,54.40M,,,,,,283.00M,,,
1991-06,44.10M,,44.10M,,,32.30M,,,123.10M,199.50M,,,,,45.90M,-20.80M,25.10M,,26.60M,26.60M,,181.10M,232.80M,432.30M,,17.70M,,17.70M,,17.70M,,,,,127.10M,144.80M,5.80M,5.80M,11.60M,11.60M,,0.70M,,7.30M,24.70M,169.50M,,,1.80M,,,,,,262.10M,,,
1991-03,59.70M,,59.70M,,,36.40M,,,104.90M,201.00M,,,,,45.90M,-20.80M,25.10M,,23.40M,23.40M,,157.60M,206.10M,407.10M,,14.20M,,14.20M,,14.20M,,,,,125.80M,140.00M,6.60M,6.60M,11.50M,11.50M,,0.60M,,7.40M,25.50M,165.50M,,,1.80M,,,,,,241.00M,,,
1990-12,53.90M,,53.90M,,,26.20M,,,61.50M,141.60M,,,,,43.70M,-20.80M,22.90M,,23.80M,23.80M,,105.00M,151.70M,293.30M,,13.10M,,13.10M,,13.10M,,,,,126.40M,139.50M,7.00M,7.00M,11.60M,11.60M,,1.00M,,8.50M,27.10M,166.60M,,,1.80M,,,,,,125.70M,,,
1990-09,52.60M,,52.60M,,,25.80M,,,124.40M,202.80M,,,,,34.40M,-13.10M,21.30M,,24.00M,24.00M,,36.10M,81.40M,284.20M,,9.70M,,9.70M,,9.70M,,,,,115.20M,124.90M,6.10M,6.10M,7.20M,7.20M,,1.00M,,7.80M,21.10M,146.00M,,,-31.30M,,,,,,137.20M,,,
1990-06,71.10M,,71.10M,,,21.30M,,,96.00M,188.40M,,,,,35.70M,-13.10M,22.60M,,24.30M,24.30M,,37.20M,84.10M,272.50M,,7.70M,,7.70M,,7.70M,,,,,114.60M,122.30M,44.90M,44.90M,7.20M,7.20M,,0.90M,,8.90M,61.00M,183.30M,,,-31.30M,,,,,,88.30M,,,
1990-03,68.50M,,68.50M,,,,,,23.80M,92.30M,,,,,0.00,-13.10M,-13.10M,,,,,189.00M,175.90M,268.20M,,,,,,,,,,,,125.70M,52.90M,52.90M,,,,,,22.30M,75.20M,200.90M,,,-31.30M,,,,,,67.30M,,,
1989-12,63.70M,,63.70M,,,20.50M,,,90.70M,174.90M,,,,,34.50M,-13.10M,21.40M,,10.40M,10.40M,,30.30M,62.10M,237.00M,,11.40M,,11.40M,,11.40M,,,,,91.60M,103.00M,58.30M,58.30M,7.50M,7.50M,,0.70M,,7.20M,73.00M,176.00M,,,-31.30M,,,,,,60.30M,,,
1989-09,141.60M,,141.60M,,,16.50M,,,1.60M,159.70M,,,,,33.70M,-10.80M,22.90M,,,,,40.00M,62.90M,222.60M,,20.40M,,20.40M,,20.40M,,,,,75.70M,96.10M,58.70M,58.70M,5.20M,5.20M,,0.60M,,6.80M,70.70M,166.80M,,,-36.10M,,,,,,55.20M,,,
1989-06,103.50M,,103.50M,,,16.70M,,,1.90M,122.10M,,,,,33.90M,-10.80M,23.10M,,,,,35.50M,58.60M,180.70M,,18.50M,,18.50M,,18.50M,,,,,69.30M,87.80M,59.10M,59.10M,5.20M,5.20M,,0.60M,,6.50M,70.80M,158.60M,,,-45.00M,,,,,,21.50M,,,
1988-12,95.10M,,95.10M,,,15.40M,,,2.80M,113.30M,,,,,34.30M,-10.80M,23.50M,,10.50M,10.50M,,21.30M,55.30M,168.60M,,,,,,,,,,,,80.70M,60.00M,60.00M,5.20M,5.20M,,,,7.20M,72.40M,153.10M,,,-45.00M,,,,,,15.50M,,,
1987-12,61.10M,,61.10M,,,30.40M,,,3.20M,94.70M,,,,,27.50M,-10.50M,17.00M,,76.70M,76.70M,,21.80M,115.50M,210.20M,,,,,,,9.90M,9.90M,,,87.10M,97.00M,52.90M,52.90M,,,,,,18.80M,71.70M,168.70M,,,-8.20M,,,,,,41.50M,,,
1986-12,48.50M,,48.50M,,,34.80M,,,2.90M,86.20M,,,,,23.00M,-6.30M,16.70M,,74.70M,74.70M,,20.60M,112.00M,198.20M,,,,,,,,,,,,70.80M,52.90M,52.90M,0.90M,0.90M,,,,18.70M,72.50M,143.30M,,,7.60M,,,,,,54.90M,,,
1985-12,17.10M,,17.10M,,,6.10M,,,1.60M,24.80M,,,,,10.60M,-2.00M,8.60M,,,,,8.70M,17.30M,42.10M,,,,,,,,,,,,25.90M,,,0.60M,0.60M,,,,0.30M,0.90M,26.80M,,,1.10M,,,,,,15.30M,,,
