,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2000-09,4.821B,4.821B,,,,,,,-6.376B,-6.376B,,,-4.985B,,2.064B,611.00M,1.453B,,,-67.00M,,1.386B,1.386B,294.00M,2.064B,12.0,0.0,,12.0,12.0,12.0,0.0,,12.0,12.0,115.70M,117.00M,0.74
2000-06,5.059B,5.059B,,,,,,,-6.44B,-6.44B,,,-5.098B,,2.096B,623.00M,1.473B,,,-66.00M,,1.407B,1.407B,282.00M,2.096B,12.2,0.0,,12.2,12.2,12.0,0.0,,12.0,12.0,115.65M,116.95M,0.6659999999999999
2000-03,4.782B,4.782B,,,,,,,-6.469B,-6.469B,,,-4.92B,,1.991B,308.00M,1.401B,,,-55.00M,,1.346B,1.346B,275.00M,1.991B,11.6,0.0,,11.6,11.6,11.47,0.0,,11.47,11.47,115.95M,117.30M,0.6659999999999999
1999-12,23.34B,23.34B,,,,,,,,,,,774.00M,,9.399B,,2.443B,,,-581.00M,,2.443B,2.443B,143.00M,9.399B,15.12,0.0,,15.12,15.12,14.92,0.0,,14.92,14.92,173.90M,176.32M,0.6659999999999999
1999-09,8.879B,8.879B,,,,,,,,,,,2.487B,,0.00,51.00M,1.267B,,,549.00M,,1.267B,1.267B,412.00M,0.00,10.94,0.0,,10.94,10.94,10.81,0.0,,10.81,10.81,116.04M,117.54M,0.6659999999999999
1999-06,9.424B,9.424B,,,,,,,,,,,2.462B,,0.00,569.00M,1.277B,,,70.00M,,1.277B,1.277B,267.00M,0.00,11.07,0.0,,11.07,11.07,10.81,0.0,,10.81,10.81,116.12M,117.62M,0.598
1999-03,9.087B,9.087B,,,,,,,,,,,2.439B,,0.00,522.00M,1.199B,,,80.00M,,1.199B,1.199B,249.00M,0.00,10.35,0.0,,10.35,10.35,10.25,0.0,,10.25,10.25,116.00M,117.60M,0.598
1998-12,21.55B,21.55B,,,,,,,,,,,1.091B,,7.583B,458.00M,1.884B,,,-479.00M,,1.884B,1.884B,274.00M,7.583B,11.4,0.0,,11.4,11.4,11.4,0.0,,11.4,11.4,98.41M,98.41M,0.598
1998-09,8.308B,8.308B,,,,,,,,,,,2.189B,,0.00,470.00M,1.076B,,,78.00M,,1.076B,1.076B,240.00M,0.00,9.4,0.0,,9.4,9.4,9.2,0.0,,9.2,9.2,114.47M,116.96M,0.598
1998-06,8.057B,8.057B,,,,,,,,,,,2.059B,,0.00,439.00M,1.076B,,,25.00M,,1.076B,1.076B,225.00M,0.00,9.472000000000001,0.0,,9.472000000000001,9.472000000000001,9.204,0.0,,9.204,9.204,113.79M,116.72M,0.534
