,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-09,3.848B,5.046B,8.894B,3.236B,,3.236B,,1.04B,861.00M,1.354B,,1.23B,1.442B,17.37B,0.00,115.00M,1.579B,3.47B,,,5.164B,-3.396B,1.768B,2.752B,,2.752B,304.00M,,1.762B,1.966B,8.552B,25.92B,,2.379B,,340.00M,257.00M,2.976B,888.00M,3.864B,,,,532.00M,,532.00M,1.061B,1.061B,2.68B,8.709B,2.864B,,2.864B,,,,,105.00M,,3.639B,6.67B,15.38B,,24.00M,4.167B,8.565B,,,-2.315B,10.44B,,AOR,Restated
2010-06,2.893B,5.338B,8.231B,3.465B,,3.465B,,1.229B,809.00M,1.299B,,1.212B,1.807B,16.01B,0.00,125.00M,1.803B,4.681B,,,6.609B,-4.641B,1.968B,2.828B,,2.828B,427.00M,,1.882B,1.693B,8.798B,24.81B,,2.336B,,201.00M,445.00M,2.982B,2.625B,5.607B,,531.00M,,531.00M,,531.00M,1.442B,1.442B,307.00M,7.887B,2.907B,,2.907B,,,,,104.00M,,3.798B,6.705B,14.59B,,23.00M,4.058B,8.411B,,,-2.376B,10.12B,,AOR,Restated
2010-03,3.188B,5.18B,8.368B,,,3.086B,,1.179B,854.00M,1.251B,,1.125B,2.066B,15.90B,0.00,123.00M,1.773B,5.135B,,,7.031B,-4.943B,2.088B,2.83B,,2.83B,524.00M,,2.253B,1.669B,9.364B,25.26B,,2.147B,,,,2.147B,5.194B,7.341B,,532.00M,,532.00M,,532.00M,,,,7.873B,3.372B,,3.372B,,,,,101.00M,,3.97B,7.342B,15.22B,,23.00M,3.896B,8.336B,,,-2.311B,9.944B,,AOR,Restated
2009-12,2.869B,5.094B,7.963B,2.845B,,2.845B,,887.00M,883.00M,1.097B,,1.082B,1.389B,16.03B,0.00,115.00M,1.479B,3.496B,,,5.09B,-3.271B,1.819B,2.714B,846.00M,3.56B,522.00M,244.00M,2.569B,857.00M,9.571B,25.60B,,1.998B,,246.00M,235.00M,2.479B,2.824B,5.303B,,536.00M,,536.00M,,536.00M,836.00M,836.00M,1.586B,8.261B,3.365B,,3.365B,,,,,108.00M,,4.094B,7.459B,15.72B,,3.00M,3.827B,8.231B,,,-2.286B,9.775B,,AOR,Restated
2009-09,3.05B,15.00M,3.065B,3.402B,,3.402B,,1.187B,1.139B,1.523B,,1.108B,6.227B,15.32B,0.00,128.00M,1.834B,5.348B,,,7.31B,-5.086B,2.224B,2.823B,,2.823B,491.00M,,2.327B,1.859B,9.724B,25.05B,,2.212B,,,,2.212B,5.364B,7.576B,,,,24.00M,,24.00M,,,,7.60B,3.901B,,3.901B,,,,,107.00M,,3.631B,7.532B,15.13B,,23.00M,3.685B,8.128B,,,-2.026B,9.81B,,AOR,Restated
2009-06,2.881B,3.534B,6.415B,,,3.689B,,1.309B,1.172B,1.66B,,1.32B,2.63B,15.71B,0.00,143.00M,1.899B,5.397B,,,7.439B,-5.159B,2.28B,2.822B,997.00M,3.819B,518.00M,70.00M,2.094B,609.00M,9.39B,25.10B,,2.188B,,340.00M,302.00M,2.83B,3.749B,6.579B,,40.00M,,40.00M,,40.00M,1.565B,1.565B,,8.184B,3.899B,,3.899B,,,,,100.00M,,3.398B,7.297B,15.48B,,23.00M,3.673B,7.988B,,,-2.161B,9.523B,,AOR,Restated
2009-03,3.265B,2.606B,5.871B,3.863B,,3.689B,,1.497B,1.384B,2.071B,,1.161B,2.919B,15.71B,0.00,140.00M,1.85B,5.404B,,,7.394B,-5.072B,2.322B,2.822B,1.064B,3.886B,755.00M,54.00M,2.445B,590.00M,10.05B,25.76B,,2.265B,,467.00M,256.00M,2.988B,4.399B,7.387B,,63.00M,,63.00M,,63.00M,1.606B,1.606B,,9.056B,3.878B,,3.878B,,,,,91.00M,,3.463B,7.341B,16.40B,,6.879B,3.647B,1.077B,,,-2.328B,9.275B,,AOR,Restated
2008-12,3.064B,3.915B,6.979B,3.493B,,3.493B,,1.709B,1.71B,2.659B,,1.092B,3.14B,17.36B,0.00,148.00M,1.905B,5.687B,,,7.74B,-5.298B,2.442B,2.837B,,2.837B,983.00M,,2.428B,1.816B,10.51B,27.87B,,3.188B,,,,3.188B,7.34B,10.53B,,92.00M,,92.00M,,92.00M,,,,10.62B,4.092B,,4.092B,,,,,88.00M,,3.562B,7.654B,18.27B,,6.831B,3.878B,1.003B,,,-2.205B,9.507B,,,Restated
2008-09,2.974B,735.00M,3.709B,4.33B,,4.33B,,1.724B,1.634B,2.649B,,1.954B,7.226B,19.87B,0.00,150.00M,1.934B,5.811B,,,7.895B,-5.39B,2.505B,4.351B,1.298B,5.649B,,,3.06B,2.037B,13.25B,33.12B,,3.834B,,,,3.834B,6.229B,10.06B,,189.00M,,189.00M,,189.00M,1.621B,1.621B,,11.87B,3.988B,,3.988B,,,,,,,2.599B,6.587B,18.46B,,6.80B,7.649B,926.00M,,,-716.00M,14.66B,,,Restated
2008-06,2.757B,595.00M,3.352B,5.82B,1.119B,6.939B,,1.565B,1.609B,2.758B,,1.882B,5.288B,20.22B,0.00,158.00M,2.042B,5.812B,,,8.012B,-5.437B,2.575B,4.358B,1.522B,5.88B,,,3.074B,1.991B,13.52B,33.74B,,3.806B,,,,3.806B,6.116B,9.922B,,145.00M,,145.00M,,145.00M,1.507B,1.507B,,11.57B,3.971B,,3.971B,,,,,,,2.99B,6.961B,18.54B,,6.797B,8.159B,882.00M,,,-634.00M,15.20B,,,Restated
2008-03,2.693B,465.00M,3.158B,6.035B,954.00M,6.989B,,1.532B,1.799B,2.941B,,1.951B,5.444B,20.48B,0.00,158.00M,2.045B,5.821B,,,8.024B,-5.447B,2.577B,4.517B,1.201B,5.718B,,,2.679B,2.676B,13.65B,34.13B,,3.66B,,,,3.66B,6.445B,10.10B,,174.00M,,174.00M,,174.00M,1.497B,1.497B,,11.78B,4.074B,,4.074B,,,,,,,3.103B,7.177B,18.95B,,6.767B,8.269B,749.00M,,,-605.00M,15.18B,,,Restated
2007-12,2.752B,612.00M,3.364B,5.324B,,5.324B,,1.47B,1.737B,2.836B,,1.891B,8.807B,22.22B,0.00,134.00M,1.934B,5.745B,,,7.813B,-5.333B,2.48B,4.499B,1.624B,6.123B,,,2.454B,1.533B,12.59B,34.81B,,4.167B,,,,4.167B,6.766B,10.93B,,332.00M,,332.00M,,332.00M,1.235B,1.235B,,12.50B,3.991B,,3.991B,,,,,,,2.874B,6.865B,19.36B,,6.792B,8.579B,782.00M,,,-706.00M,15.45B,,,
2007-09,2.315B,1.063B,3.378B,6.106B,761.00M,6.867B,1.932B,1.514B,,2.995B,,1.873B,6.552B,21.66B,0.00,136.00M,1.961B,6.135B,,,8.232B,-5.696B,2.536B,4.676B,1.384B,6.06B,,,2.472B,2.036B,13.10B,34.77B,,3.671B,,,,3.671B,6.43B,10.10B,,1.523B,,1.523B,,1.523B,1.277B,1.277B,,12.90B,2.628B,,2.628B,,,,,,,4.196B,6.824B,19.72B,,6.857B,8.61B,1.021B,,,-1.444B,15.04B,,,
2007-06,2.77B,5.921B,8.691B,6.11B,625.00M,6.735B,,1.577B,1.954B,3.016B,,1.93B,1.437B,21.81B,0.00,152.00M,1.82B,6.246B,,,8.218B,-5.632B,2.586B,4.589B,1.862B,6.451B,,,2.157B,1.61B,12.80B,34.61B,,3.493B,,,,3.493B,6.287B,9.78B,,1.775B,,1.775B,,1.775B,1.321B,1.321B,,12.88B,2.59B,,2.59B,,,,,,,4.184B,6.774B,19.65B,,6.885B,8.665B,950.00M,,,-1.537B,14.96B,,,
2007-03,2.737B,801.00M,3.538B,7.337B,792.00M,8.129B,,1.743B,2.003B,3.301B,,1.834B,6.917B,23.72B,0.00,151.00M,1.811B,6.15B,,,8.112B,-5.567B,2.545B,4.454B,1.943B,6.397B,,,2.119B,1.59B,12.65B,36.37B,,4.01B,,,,4.01B,7.644B,11.65B,,1.757B,,1.757B,,1.757B,1.418B,1.418B,,14.83B,2.596B,,2.596B,,,,,,,4.146B,6.742B,21.57B,,6.949B,8.813B,626.00M,,,-1.589B,14.80B,,,
2006-12,3.212B,12.43B,15.64B,7.509B,,7.509B,,1.782B,1.796B,3.162B,,1.731B,2.933B,30.98B,0.00,129.00M,1.705B,5.885B,,,7.719B,-5.452B,2.267B,,,,,,1.325B,4.025B,7.617B,38.59B,,5.056B,,,,5.056B,8.676B,13.73B,,1.693B,,1.693B,,1.693B,,,,15.42B,2.704B,,2.704B,,,,,,,3.321B,6.025B,21.45B,,7.197B,9.086B,2.509B,,,-1.65B,17.14B,,,
2006-09,3.015B,11.83B,14.84B,7.135B,,7.135B,,1.74B,1.437B,2.716B,,2.022B,2.884B,29.60B,0.00,131.00M,1.696B,5.753B,,,7.58B,-5.423B,2.157B,,,,,,822.00M,4.83B,7.809B,37.41B,,4.802B,,,,4.802B,8.265B,13.07B,,508.00M,,508.00M,,508.00M,,,16.00M,13.59B,3.78B,,3.78B,,,,,,,2.899B,6.679B,20.27B,,7.258B,8.587B,2.882B,,,-1.589B,17.14B,,,
2006-06,3.401B,10.99B,14.39B,6.42B,,6.42B,,1.759B,1.435B,2.716B,,2.123B,2.779B,28.43B,0.00,130.00M,1.695B,5.598B,,,7.423B,-5.339B,2.084B,,,,,,991.00M,4.501B,7.576B,36.00B,,4.134B,,,,4.134B,7.149B,11.28B,,490.00M,,490.00M,,490.00M,,,281.00M,12.05B,3.758B,,3.758B,,,,,,,2.915B,6.673B,18.73B,,7.356B,7.743B,3.73B,,,-1.552B,17.28B,,,
2006-03,4.20B,10.45B,14.65B,5.858B,,5.858B,,1.744B,1.538B,2.764B,,2.351B,2.495B,28.11B,0.00,166.00M,1.868B,5.984B,,,8.018B,-5.77B,2.248B,,,,,,1.08B,4.267B,7.595B,35.71B,,4.43B,,,,4.43B,7.548B,11.98B,,470.00M,,470.00M,,470.00M,,,,12.45B,3.774B,,3.774B,,,,,,,2.907B,6.681B,19.13B,,7.415B,6.484B,4.133B,,,-1.452B,16.58B,,,
2005-12,3.774B,11.01B,14.78B,5.652B,,5.652B,,1.699B,1.252B,2.422B,,2.355B,2.808B,28.02B,0.00,147.00M,1.697B,5.416B,,,7.26B,-5.24B,2.02B,,,,,,1.196B,4.564B,7.78B,35.80B,,4.295B,,,,4.295B,7.529B,11.82B,,448.00M,,448.00M,,448.00M,,,320.00M,12.59B,3.806B,,3.806B,,,,,,,2.731B,6.537B,19.13B,,7.508B,5.897B,4.691B,,,-1.423B,16.67B,,,
2005-09,2.856B,9.875B,12.73B,5.66B,,5.66B,,1.726B,1.068B,2.302B,,966.00M,2.163B,23.82B,0.00,195.00M,1.929B,6.168B,,,8.292B,-5.989B,2.303B,,,,,,2.93B,4.407B,9.64B,33.46B,,3.597B,,,,3.597B,7.417B,11.01B,,344.00M,,344.00M,,344.00M,,,,11.36B,3.975B,,3.975B,,,,,,,2.363B,6.338B,17.70B,,7.477B,4.802B,4.638B,,,-1.151B,15.77B,,,
2005-06,4.156B,8.643B,12.80B,5.234B,,5.234B,,1.623B,1.158B,2.276B,,1.129B,1.778B,23.22B,0.00,196.00M,1.944B,6.208B,,,8.348B,-6.078B,2.27B,,,,,,2.34B,4.443B,9.053B,32.27B,,3.319B,,,,3.319B,6.622B,9.941B,,336.00M,,336.00M,,336.00M,,,,10.28B,4.973B,,4.973B,,,,,,,2.368B,7.341B,17.62B,,7.411B,3.15B,4.485B,,,-395.00M,14.65B,,,
2005-03,11.14B,155.00M,11.30B,4.666B,,4.666B,,1.675B,1.297B,2.48B,,1.383B,1.857B,21.69B,0.00,199.00M,1.947B,6.264B,,,8.41B,-6.118B,2.292B,,,,,,2.37B,4.635B,9.297B,30.98B,,2.952B,,,,2.952B,6.64B,9.592B,,712.00M,,712.00M,,712.00M,,,,10.30B,4.577B,,4.577B,,,,,,,2.324B,6.901B,17.20B,,7.361B,2.316B,4.363B,,,-262.00M,13.78B,,,
2004-12,2.846B,7.862B,10.71B,4.525B,986.00M,5.511B,,1.665B,1.429B,2.546B,,1.541B,809.00M,21.12B,0.00,200.00M,1.959B,6.222B,,,8.381B,-6.049B,2.332B,,1.516B,1.516B,,,2.353B,3.606B,9.807B,30.92B,,3.33B,,,,3.33B,6.196B,9.526B,,717.00M,,717.00M,,717.00M,360.00M,360.00M,,10.60B,4.581B,,4.581B,,,,,,,2.407B,6.988B,17.59B,,7.343B,1.722B,4.321B,,,-55.00M,13.33B,,,
2004-09,10.80B,152.00M,10.95B,5.367B,,5.367B,,2.337B,1.49B,3.191B,,1.098B,1.381B,21.99B,0.00,280.00M,4.393B,13.19B,,,17.86B,-13.31B,4.55B,,,,,,2.975B,5.035B,12.56B,34.55B,,3.332B,,,,3.332B,6.925B,10.26B,,336.00M,,336.00M,,336.00M,,,,10.59B,6.259B,,6.259B,,,,,1.303B,,2.548B,8.807B,19.40B,,7.096B,3.705B,3.154B,,,-108.00M,13.85B,,,
2004-06,8.667B,138.00M,8.805B,5.143B,,5.143B,,2.318B,1.189B,2.816B,,1.14B,1.323B,19.23B,0.00,295.00M,4.441B,13.19B,,,17.92B,-13.31B,4.613B,,,,,,2.995B,5.336B,12.94B,32.17B,,3.182B,,,,3.182B,6.104B,9.286B,,352.00M,,352.00M,,352.00M,,,,9.638B,6.697B,,6.697B,,,,,,,2.712B,9.409B,19.05B,,7.088B,3.321B,2.722B,,,-7.00M,13.12B,,,
2004-03,8.276B,139.00M,8.415B,4.976B,,4.976B,,2.323B,1.017B,2.632B,,1.637B,1.108B,18.77B,0.00,298.00M,4.66B,13.23B,,,18.19B,-13.43B,4.762B,,,,,,3.292B,5.528B,13.58B,32.35B,,2.924B,,,,2.924B,5.85B,8.774B,,834.00M,,834.00M,,834.00M,,,,9.608B,6.679B,,6.679B,,,,,,,2.94B,9.619B,19.23B,,7.033B,3.618B,2.421B,,,51.00M,13.12B,,,
2003-12,7.877B,139.00M,8.016B,4.436B,,4.436B,,2.459B,1.069B,2.792B,,1.678B,985.00M,17.91B,0.00,301.00M,4.865B,13.51B,,,18.68B,-13.52B,5.164B,,,,,,3.349B,5.678B,14.19B,32.10B,,2.789B,,,,2.789B,5.748B,8.537B,,896.00M,,896.00M,,896.00M,,,,9.433B,6.675B,,6.675B,,,,,,486.00M,2.815B,9.976B,19.41B,,7.017B,3.103B,2.362B,,,207.00M,12.69B,,,
2003-09,7.088B,75.00M,7.163B,3.852B,,3.852B,,2.557B,981.00M,2.659B,,1.765B,938.00M,16.38B,0.00,303.00M,4.86B,13.97B,,,19.14B,-13.80B,5.336B,,,,,,3.649B,5.109B,14.09B,30.47B,,2.505B,,,,2.505B,5.121B,7.626B,,1.191B,,1.191B,,1.191B,,,,8.817B,7.167B,,7.167B,,,,,,,2.536B,9.703B,18.52B,,6.984B,2.707B,2.296B,,,-36.00M,11.95B,,,
2003-06,6.213B,57.00M,6.27B,3.626B,,3.626B,,2.57B,1.069B,2.754B,,2.107B,817.00M,15.57B,0.00,322.00M,4.931B,14.52B,,,19.78B,-14.16B,5.622B,,,,,,3.297B,5.412B,14.33B,29.90B,,2.129B,,,,2.129B,4.932B,7.061B,,1.263B,,1.263B,,1.263B,,,,8.324B,6.686B,,6.686B,,,,,,486.00M,2.551B,9.723B,18.05B,,6.982B,2.685B,2.286B,,,-95.00M,11.86B,,,
2003-03,6.29B,75.00M,6.365B,3.846B,,3.846B,,2.67B,1.129B,2.861B,,2.235B,906.00M,16.21B,0.00,324.00M,4.934B,14.96B,,,20.22B,-14.46B,5.753B,,,,,,3.222B,4.732B,13.71B,29.92B,,2.204B,,,,2.204B,5.478B,7.682B,,775.00M,,775.00M,,775.00M,,,,8.457B,7.184B,,7.184B,,,,,,485.00M,2.432B,10.10B,18.56B,,6.948B,2.659B,2.242B,,,-487.00M,11.36B,,,
2002-12,6.507B,59.00M,6.566B,4.437B,,4.437B,,2.742B,1.131B,2.869B,,2.358B,904.00M,17.13B,0.00,328.00M,5.035B,15.07B,,,20.43B,-14.33B,6.104B,,,,,,3.112B,4.802B,14.02B,31.15B,,2.268B,,,,2.268B,5.913B,8.181B,,1.629B,,1.629B,,1.629B,,,,9.81B,7.189B,,7.189B,,,,,,485.00M,2.429B,10.10B,19.91B,,6.947B,2.582B,2.233B,,,-523.00M,11.24B,,,
2002-09,6.284B,86.00M,6.37B,4.123B,,4.123B,,2.786B,1.126B,2.869B,,2.274B,941.00M,16.58B,0.00,329.00M,5.074B,15.48B,,,20.88B,-14.49B,6.391B,,,,,,2.794B,4.459B,13.64B,30.22B,,2.364B,,,,2.364B,5.696B,8.06B,,1.457B,,1.457B,,1.457B,,,,9.517B,7.45B,,7.45B,,,,,485.00M,,1.457B,8.907B,18.42B,,6.905B,2.501B,2.14B,,,-234.00M,11.31B,,,
2002-06,6.392B,95.00M,6.487B,4.202B,,4.202B,,2.591B,972.00M,2.462B,,2.575B,887.00M,16.61B,0.00,326.00M,5.222B,15.69B,,,21.24B,-14.47B,6.77B,,,,,,2.738B,4.042B,13.55B,30.16B,,2.263B,,,,2.263B,6.035B,8.298B,,1.529B,,1.529B,,1.529B,,,,9.827B,7.414B,,7.414B,,,,,,485.00M,1.396B,9.295B,19.12B,,6.90B,2.482B,2.117B,,,-458.00M,11.04B,,,
2002-03,5.879B,121.00M,6.00B,4.115B,,4.115B,,2.645B,997.00M,2.53B,,2.601B,1.022B,16.27B,0.00,334.00M,6.023B,16.14B,,,22.50B,-14.21B,8.288B,,,,,,1.656B,5.54B,15.48B,31.75B,,2.197B,,,,2.197B,5.815B,8.012B,,1.576B,,1.576B,,1.576B,,,,9.588B,7.46B,,7.46B,,,,,485.00M,,1.198B,8.658B,18.25B,,6.815B,4.895B,1.928B,,,-617.00M,13.02B,,,
2001-12,6.082B,80.00M,6.162B,4.583B,,4.583B,,2.782B,1.14B,2.756B,,2.633B,1.015B,17.15B,0.00,346.00M,6.208B,16.25B,,,22.81B,-13.90B,8.913B,,,,,,1.152B,6.184B,16.25B,33.40B,,2.434B,,,,2.434B,6.394B,8.828B,,870.00M,,870.00M,,870.00M,,,,9.698B,8.372B,,8.372B,,,,,485.00M,,1.152B,9.524B,19.22B,,6.764B,5.434B,1.707B,,,-214.00M,13.69B,,,
2001-09,5.371B,272.00M,5.643B,5.114B,,5.114B,,1.913B,1.337B,3.25B,,3.524B,1.45B,18.98B,0.00,343.00M,6.362B,17.15B,,,23.85B,-14.14B,9.711B,,,,,,,5.567B,15.28B,34.26B,,2.765B,,,,2.765B,5.863B,8.628B,,2.717B,,2.717B,,2.717B,,,,11.34B,6.608B,,6.608B,215.00M,,215.00M,,485.00M,,1.322B,8.145B,19.49B,,6.679B,6.762B,1.421B,,,-578.00M,14.28B,,,
2001-06,4.451B,302.00M,4.753B,4.995B,,4.995B,,2.331B,1.511B,3.842B,,2.875B,3.049B,19.51B,0.00,322.00M,6.46B,17.82B,,,24.60B,-14.36B,10.24B,,,,,,,8.969B,19.21B,38.73B,,2.761B,,,,2.761B,6.182B,8.943B,,3.982B,,3.982B,,3.982B,,,,12.92B,6.814B,,6.814B,989.00M,,989.00M,,,485.00M,1.214B,9.502B,22.43B,,6.653B,8.259B,1.385B,-528.00M,532.00M,4.00M,16.30B,,,
2001-03,4.047B,350.00M,4.397B,5.644B,,5.644B,,2.471B,2.062B,4.533B,,2.681B,1.414B,18.67B,0.00,311.00M,6.955B,18.01B,,,25.27B,-14.04B,11.24B,,,,,,,9.616B,20.85B,39.52B,,2.966B,,,,2.966B,5.719B,8.685B,,4.937B,,4.937B,,4.937B,,,,13.62B,6.673B,,6.673B,846.00M,,846.00M,,,485.00M,1.251B,9.255B,22.88B,,6.59B,9.106B,1.22B,-577.00M,305.00M,-272.00M,16.64B,,,
2000-12,3.301B,354.00M,3.655B,7.092B,,7.092B,,3.237B,2.005B,5.242B,,,3.896B,19.88B,0.00,266.00M,7.014B,17.73B,,,25.01B,-13.86B,11.16B,,,,,,,11.30B,22.46B,42.34B,,3.492B,,,,3.492B,6.374B,9.866B,,,,6.391B,,6.391B,,,,16.26B,4.293B,,4.293B,1.504B,,1.504B,,485.00M,,1.192B,6.989B,23.25B,,6.574B,9.727B,1.188B,,,1.123B,18.61B,,,
2000-09,2.757B,336.00M,3.093B,6.718B,,6.718B,,3.783B,1.774B,5.557B,,2.373B,1.682B,19.42B,,,,,,,24.31B,-13.64B,10.66B,,,,,,,14.09B,24.75B,44.18B,,3.96B,,,,3.96B,6.248B,10.21B,,,,5.262B,,5.262B,,,,15.47B,3.106B,,3.106B,3.243B,,3.243B,,484.00M,,1.216B,7.565B,23.04B,,6.554B,9.68B,928.00M,,,3.496B,20.66B,,,
2000-06,3.083B,614.00M,3.697B,6.268B,,6.268B,,3.777B,1.669B,5.446B,,2.655B,1.935B,20.00B,,,,,,,23.68B,-13.47B,10.21B,,,,,,,15.43B,25.64B,45.64B,,3.801B,,,,3.801B,6.111B,9.912B,,,,4.869B,,4.869B,,,,14.78B,3.086B,,3.086B,4.529B,,4.529B,,484.00M,,1.288B,8.903B,23.68B,,6.542B,9.236B,871.00M,,,4.824B,21.47B,,,
2000-03,3.275B,587.00M,3.862B,5.993B,,5.993B,,3.293B,1.395B,4.688B,,2.588B,1.528B,18.66B,,,,,,,23.00B,-13.24B,9.763B,,,,,,,14.74B,24.50B,43.16B,,3.558B,,,,3.558B,6.129B,9.687B,,,,3.703B,,3.703B,,,,13.39B,3.086B,,3.086B,4.328B,,4.328B,,484.00M,,1.301B,8.715B,22.10B,,2.152B,9.252B,4.391B,,,4.775B,20.57B,,,
1999-12,3.537B,699.00M,4.236B,5.627B,,5.627B,,2.508B,1.199B,3.707B,,,4.015B,17.58B,0.00,288.00M,6.103B,16.12B,,,22.52B,-12.92B,9.591B,,,,,,,13.31B,22.90B,40.49B,,3.285B,,,,3.285B,7.117B,10.40B,,,,2.504B,,2.504B,,,,12.91B,3.089B,,3.089B,3.719B,,3.719B,,484.00M,,1.598B,8.406B,21.31B,,2.14B,8.89B,4.145B,,,3.518B,18.69B,,,
1999-09,3.092B,435.00M,3.527B,5.195B,,5.195B,,2.718B,1.012B,3.73B,,,3.563B,16.02B,,,,,,,21.30B,-12.46B,8.843B,,,,,,,9.414B,18.26B,34.27B,,2.512B,,,,2.512B,7.891B,10.40B,,,,1.495B,,1.495B,,,,11.90B,3.114B,,3.114B,2.435B,,2.435B,,484.00M,,1.905B,7.454B,19.35B,,1.827B,8.505B,2.188B,,,1.916B,14.44B,,,
1999-06,2.358B,291.00M,2.649B,5.338B,,5.338B,,2.639B,1.126B,3.765B,,2.519B,787.00M,15.06B,,,,,,,22.91B,-13.30B,9.613B,,,,,,,7.076B,16.69B,31.75B,,2.484B,,,,2.484B,6.365B,8.849B,,,,1.877B,,1.877B,,,,10.73B,3.119B,,3.119B,2.011B,,2.011B,,484.00M,,1.729B,6.859B,17.58B,,,8.487B,,,,,13.68B,,,
1999-03,1.714B,276.00M,1.99B,4.885B,,4.885B,,2.633B,1.003B,3.636B,,2.376B,718.00M,13.60B,,,,,,,22.56B,-12.99B,9.568B,,,,,,,6.49B,16.06B,29.66B,,2.206B,,,,2.206B,5.88B,8.086B,,,,2.255B,,2.255B,,,,10.34B,2.629B,,2.629B,1.778B,,1.778B,,484.00M,,1.543B,5.95B,16.29B,,,8.353B,,,,,12.89B,,,
1998-12,1.453B,,1.453B,5.057B,,5.057B,,,,3.745B,,,3.276B,13.53B,,,,,,,22.89B,-12.84B,10.05B,,,,,,,5.148B,15.20B,28.73B,,2.305B,,,,2.305B,,2.305B,,,,2.909B,,2.909B,,,6.226B,11.44B,2.633B,,2.633B,1.188B,,1.188B,,,,1.245B,5.066B,16.51B,,,8.254B,,,,,12.22B,,,
1998-09,1.257B,250.00M,1.507B,5.023B,,5.023B,,3.177B,1.113B,4.29B,,2.55B,850.00M,14.22B,,,,,,,22.41B,-12.45B,9.957B,,,,,,,4.753B,14.71B,28.93B,,2.056B,,,,2.056B,6.631B,8.687B,,,,3.598B,,3.598B,,,,12.28B,2.133B,,2.133B,1.409B,,1.409B,,,,1.213B,4.755B,17.04B,,,8.167B,,,,,11.89B,,,
1998-06,1.177B,268.00M,1.445B,4.904B,,4.904B,,3.156B,1.227B,4.383B,,2.204B,816.00M,13.75B,,,,,,,21.84B,-11.85B,9.99B,,,,,,,4.93B,14.92B,28.67B,,1.972B,,,,1.972B,6.584B,8.556B,,,,2.973B,,2.973B,,,,11.53B,2.129B,,2.129B,1.642B,,1.642B,,,,1.30B,5.071B,16.60B,,,8.212B,,,,,12.07B,,,
1998-03,1.509B,289.00M,1.798B,4.906B,,4.906B,,3.226B,1.182B,4.408B,,1.748B,764.00M,13.62B,,,,,,,21.77B,-11.85B,9.927B,,,,,,,4.516B,14.44B,28.07B,,2.098B,,,,2.098B,5.386B,7.484B,,,,1.994B,,1.994B,,,,9.478B,2.127B,,2.127B,1.618B,,1.618B,,,,1.317B,5.062B,14.54B,,,9.612B,,,,,13.53B,,,
1997-12,1.445B,,1.445B,4.847B,,4.847B,,,,4.096B,,,2.848B,13.24B,,,,,,,21.38B,-11.52B,9.856B,,,,,,,4.186B,14.04B,27.28B,,2.297B,,,,2.297B,,2.297B,,,,1.282B,,1.282B,,,5.476B,9.055B,2.144B,,2.144B,1.522B,,1.522B,,,,1.285B,4.951B,14.01B,,,9.504B,,,,,13.27B,,,
1997-09,1.768B,291.00M,2.059B,4.547B,,4.547B,,2.86B,1.119B,3.979B,,,2.312B,12.90B,,,,,,,20.60B,-11.05B,9.545B,,,,,,,4.20B,13.74B,26.64B,,2.071B,,,,2.071B,5.202B,7.273B,,,,1.379B,,1.379B,,,,8.652B,1.905B,,1.905B,,,,,,,2.997B,4.902B,13.55B,,,10.40B,,,,,13.09B,,,
1997-06,1.453B,,1.453B,4.659B,,4.659B,,2.695B,968.00M,3.663B,,,2.594B,12.37B,,,,,,,20.22B,-10.67B,9.554B,,,,,,,3.55B,13.10B,25.47B,,2.085B,,,,2.085B,4.943B,7.028B,,,,1.351B,,1.351B,,,,8.379B,1.907B,,1.907B,,,,,,,2.64B,4.547B,12.93B,,,10.35B,,,,,12.55B,,,
