,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-06,85.14M,84.51M,,,3.147M,3.147M,0.551M,-49.02M,,,,76.76M,49.02M,35.50M,,,,0.551M,,,,16.74M,1.384M,,-1.134M,4.49M,18.13M,16.41M,53.62M,18.13M,35.50M,0.19,0.03,,,0.183,0.22,0.19,0.03,,,0.1832,0.22,47.16M,48.38M,0.485
2003-03,84.54M,84.54M,,,3.274M,3.274M,,-49.87M,,,,79.13M,49.87M,34.68M,,,,,,,,16.03M,0.35M,,-1.07M,4.856M,16.38M,16.03M,52.12M,17.45M,34.68M,0.25,0.01,,,0.25,0.26,0.25,0.01,,,0.25,0.26,44.27M,45.35M,0.485
2002-12,95.70M,67.89M,,,3.581M,3.581M,-13.78M,-50.84M,,,,,-297.86M,365.74M,,,,-4.326M,,,,10.57M,1.659M,,0.755M,4.857M,2.779M,18.84M,382.17M,16.42M,365.74M,-0.2,0.37,,,-0.0079,-0.06,-0.2,0.36,,,-0.0132,-0.06,43.03M,44.26M,0.485
2002-09,78.33M,78.33M,,,3.713M,3.713M,,-45.15M,,,,70.51M,45.15M,33.18M,,,,,,,,18.56M,0.059M,,1.081M,4.856M,18.50M,18.44M,49.26M,16.07M,33.18M,0.32,0.0,,,0.32,0.32,0.31,0.0,,,0.31,0.31,42.80M,44.04M,0.485
2002-06,75.83M,75.83M,,,3.497M,3.497M,,-43.32M,,,,97.48M,73.58M,2.245M,,,,,,,,16.23M,0.435M,,,4.856M,35.34M,15.80M,18.25M,16.01M,2.245M,0.27,0.48,,0.4682,0.27,0.75,0.27,0.47,,0.4533,0.27,0.74,40.80M,42.14M,0.48
2002-03,75.24M,75.24M,,,2.999M,2.999M,-8.489M,-42.63M,,,,,-39.63M,114.87M,,,,-8.489M,,,,7.475M,0.841M,,,4.856M,-1.331M,12.57M,130.89M,16.02M,114.87M,0.07,0.02,,-0.243,0.1983,-0.15,0.06,0.02,,-0.243,0.1844,-0.15,39.70M,40.94M,0.48
2001-12,43.02M,50.92M,,,,,,,,,,,,171.51M,,,,,,,,5.984M,,,,,17.17M,17.17M,171.51M,,171.51M,0.12,,,,0.12,-0.08,0.12,,,,0.12,-0.08,39.47M,40.66M,0.48
2001-09,75.52M,75.52M,,,3.516M,3.516M,,-42.66M,,,,65.47M,41.48M,34.05M,,,,4.303M,,,,13.19M,,,,1.988M,15.18M,12.60M,49.20M,15.15M,34.05M,0.34,0.0,,,0.2744,0.34,0.33,0.0,,,0.2662,0.33,39.35M,40.49M,0.48
2001-06,73.40M,73.40M,,,3.322M,3.322M,,,,,,57.10M,75.23M,-1.833M,,,,,,,,14.27M,,,,1.987M,22.17M,22.17M,12.98M,14.81M,-1.833M,0.31,0.2,,,0.31,0.51,0.31,0.2,,,0.31,0.51,38.98M,40.03M,0.47
2001-03,71.39M,71.39M,,,3.133M,3.133M,,-40.25M,,,,,-37.12M,108.51M,,,,,,,,13.99M,0.242M,,,1.988M,14.23M,13.99M,122.65M,14.14M,108.51M,0.31,0.01,,,0.31,0.32,0.31,0.01,,,0.31,0.32,38.82M,39.86M,0.47
2000-12,64.02M,67.70M,,,,4.283M,-3.681M,,,,,39.88M,171.31M,-103.61M,,,,,,,,13.89M,,,,1.987M,13.89M,12.76M,-89.79M,13.83M,-103.61M,0.22,-0.01,,,0.277,0.31,0.22,-0.01,,,0.2755,0.31,38.75M,39.79M,0.47
2000-09,68.58M,68.58M,,,3.245M,3.245M,,-38.17M,,,,57.92M,36.44M,32.14M,,,,,,,,12.43M,,,,1.988M,14.42M,14.42M,45.58M,13.44M,32.14M,0.32,0.0,,,0.32,0.32,0.32,0.0,,,0.32,0.32,38.70M,39.77M,0.47
2000-06,68.81M,68.81M,,,2.868M,2.868M,3.681M,,,,,19.94M,36.15M,32.66M,,,,3.681M,,,,14.39M,,,,1.987M,18.07M,15.87M,45.99M,13.34M,32.66M,0.32,0.1,,,0.2628,0.42,0.32,0.09,,,0.2645,0.41,38.60M,39.78M,0.45
2000-03,69.10M,69.10M,,,2.922M,2.922M,,-38.47M,,,,59.55M,36.65M,32.45M,,,,,,,,12.15M,,,,1.988M,14.14M,14.14M,45.10M,12.66M,32.45M,0.31,0.0,,,0.31,0.31,0.31,0.0,,,0.31,0.31,39.44M,40.60M,0.45
1999-12,62.40M,69.61M,,,4.22M,4.22M,,-32.70M,,,,,247.93M,-178.32M,,,,,,,,20.89M,,,,1.95M,20.94M,27.99M,-165.60M,12.71M,-178.32M,0.4707,,,0.0,0.4707,0.4707,0.4707,,,0.0,0.4707,0.4707,40.35M,40.35M,0.45
1999-09,67.20M,67.20M,,,5.40M,5.40M,,-38.10M,,,,,-32.70M,99.90M,,,,,,,,14.20M,,,,2.00M,14.20M,14.20M,112.27M,12.37M,99.90M,0.31,0.0,,,0.31,0.31,0.3,0.0,,,0.3,0.3,39.35M,40.67M,0.45
1999-06,57.14M,57.14M,,,3.16M,3.16M,,-34.94M,,,,,-31.78M,88.93M,,,,-7.05M,,,,6.815M,,,,1.987M,6.815M,11.04M,101.56M,12.63M,88.93M,0.3,-0.18,,,0.404,0.12,0.3,-0.18,,,0.404,0.12,40.68M,40.68M,0.44
1999-03,62.88M,62.88M,,,2.30M,2.30M,,-34.20M,,,,,-31.90M,94.78M,,,,,,,,13.60M,,,,2.00M,13.60M,13.60M,107.08M,12.30M,94.78M,0.29,0.0,,,0.29,0.29,0.29,0.0,,,0.29,0.29,40.00M,40.00M,0.44
1998-12,65.00M,64.98M,,,3.096M,3.096M,,-36.70M,,,,,223.60M,-158.63M,,,,,,,,12.76M,,,,1.95M,12.76M,12.76M,-147.88M,10.75M,-158.63M,0.27,0.0,,,0.27,0.27,0.27,0.0,,,0.27,0.27,39.38M,43.01M,0.44
1998-09,59.00M,59.00M,,,2.90M,2.90M,,-37.80M,,,,,-34.90M,93.90M,,,,,,,,7.50M,,,,2.00M,7.50M,7.50M,109.20M,15.30M,93.90M,0.14,0.0,,,0.14,0.14,0.14,0.0,,,0.14,0.14,39.29M,39.29M,0.44
1998-06,58.30M,58.30M,,,4.00M,4.00M,,-32.30M,,,,,-28.30M,86.60M,,,,,,,,12.00M,,,0.70M,2.00M,12.00M,12.00M,95.30M,8.70M,86.60M,0.26,0.0,,,0.26,0.26,0.25,0.0,,,0.25,0.25,38.46M,40.00M,0.43
