,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2001-08,2.614B,2.614B,1.585B,1.029B,,,696.20M,-5.50M,,,696.20M,332.70M,,,-5.50M,,314.20M,110.00M,204.20M,,-5.00M,199.20M,207.77M,395.80M,63.10M,2001-08,0.0475,-0.0012,0.00,0.0483,2001-08,0.0469,-0.0012,-0.0012,0.0477,2001-08,4.298B,4.346B,2001-08,,
2001-05,2.483B,2.483B,1.547B,936.50M,,,655.30M,-14.40M,,,655.30M,281.20M,,,-14.40M,,254.20M,91.50M,162.70M,,,162.70M,171.92M,328.30M,47.10M,2001-05,0.075,0.00,,0.0792,2001-05,0.075,0.00,,0.0792,2001-05,2.170B,2.170B,2001-05,,
2001-02,2.170B,2.170B,1.342B,828.60M,,,660.20M,-6.20M,,,660.20M,168.40M,,,-6.20M,,148.20M,50.80M,97.40M,,,97.40M,101.47M,228.10M,59.70M,2001-02,0.045,0.00,,0.0469,2001-02,0.0438,0.00,,0.0456,2001-02,2.164B,2.226B,2001-02,,
2000-11,2.199B,2.199B,1.327B,871.40M,,,673.10M,6.40M,,,673.10M,198.30M,,,6.40M,,188.00M,68.60M,119.40M,,,119.40M,115.34M,253.20M,54.90M,2000-11,0.055,0.00,,0.0531,2000-11,0.055,0.00,,0.0531,2000-11,2.171B,2.171B,2000-11,,
2000-08,2.637B,2.637B,1.569B,1.068B,,,701.10M,-20.00M,,,701.10M,366.40M,,,-20.00M,,331.00M,120.80M,210.20M,,,210.20M,222.90M,418.80M,52.40M,2000-08,0.0975,0.00,,0.1034,2000-08,0.0962,0.00,,0.1021,2000-08,2.156B,2.184B,2000-08,,
2000-05,2.273B,2.273B,1.289B,984.10M,,,722.60M,2.80M,,,778.80M,205.30M,,,2.80M,,193.70M,67.70M,126.00M,,,126.00M,124.18M,261.50M,56.20M,2000-05,0.1606,0.00,,0.1598,2000-05,0.1581,0.00,,0.1573,2000-05,2.109B,2.175B,2000-05,,
2000-02,2.162B,2.162B,1.230B,931.20M,,,632.40M,0.20M,,,688.40M,242.80M,,,0.20M,,229.10M,83.80M,145.30M,,,145.30M,145.17M,298.80M,56.00M,2000-02,0.0331,0.00,,0.0331,2000-02,0.0325,0.00,,0.0324,2000-02,2.239B,2.259B,2000-02,,
1999-11,2.060B,2.060B,1.147B,912.70M,,,624.80M,-16.80M,,,715.80M,196.90M,,,-16.80M,,173.40M,65.90M,107.50M,,,107.50M,117.92M,287.90M,49.80M,1999-11,0.0488,0.00,,0.0535,1999-11,0.0475,0.00,,0.0521,1999-11,2.205B,2.263B,1999-11,,
1999-08,2.501B,2.501B,1.473B,1.028B,,,626.50M,-7.00M,,,688.10M,339.90M,,,-7.00M,,322.90M,122.70M,200.20M,,,200.20M,204.54M,401.50M,61.60M,1999-08,0.0444,0.00,,0.0463,1999-08,0.0438,0.00,,0.0457,1999-08,2.241B,2.241B,1999-08,,
1999-05,2.182B,2.182B,1.296B,886.80M,,,672.30M,-8.20M,,,713.20M,173.60M,,,-8.20M,,156.00M,61.60M,94.40M,,,94.40M,99.36M,214.50M,40.90M,1999-05,0.0418,,,0.0440,1999-05,0.0418,,,0.0440,1999-05,2.258B,2.258B,1999-05,,
1999-02,2.177B,2.177B,1.296B,881.00M,,,569.80M,-26.30M,,,638.90M,242.10M,,,-26.30M,,205.40M,81.20M,124.20M,,,124.20M,140.10M,311.20M,69.10M,1999-02,0.0275,0.00,,0.0346,1999-02,0.0275,0.00,,0.0346,1999-02,2.250B,2.250B,1999-02,,
1998-11,1.913B,1.913B,1.168B,745.00M,,,531.90M,-27.60M,,,593.50M,151.50M,,,-27.60M,,113.80M,44.90M,68.90M,,,68.90M,85.61M,213.10M,61.60M,1998-11,0.015,0.00,,0.0224,1998-11,0.015,0.00,,0.0224,1998-11,2.261B,2.261B,1998-11,,
1998-08,2.505B,2.505B,1.505B,999.40M,,,652.60M,-4.60M,,,709.80M,289.60M,,,-4.60M,,270.80M,107.00M,163.80M,,,163.80M,166.58M,346.80M,57.20M,1998-08,0.0356,0.00,,0.0368,1998-08,0.035,0.00,,0.0362,1998-08,2.290B,2.290B,1998-08,,
