,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-05,603.81M,603.81M,348.26M,255.56M,152.80M,,,,,,152.80M,102.75M,,,,,,351.57M,37.42M,64.14M,,,64.14M,64.14M,133.42M,30.67M,102.75M,,0.38,0.00,,0.38,0.38,,0.37,0.00,,0.37,0.37,,168.66M,173.49M,0.00,,,
2002-02,545.49M,545.49M,316.15M,229.34M,140.26M,,,,,,140.26M,89.08M,,,,,,88.22M,32.63M,55.58M,,,55.58M,55.58M,119.40M,30.33M,89.08M,,0.33,0.00,,0.33,0.33,,0.32,0.00,,0.32,0.32,,168.44M,173.70M,0.25,,,
2001-11,557.15M,557.15M,321.95M,235.20M,141.66M,,,,,,141.66M,93.54M,,,,,,92.10M,34.12M,57.98M,,,57.98M,57.98M,123.16M,29.62M,93.54M,,0.34,0.00,,0.34,0.34,,0.34,0.00,,0.34,0.34,,169.73M,171.92M,0.00,,,
2001-08,564.60M,564.60M,327.32M,237.28M,145.74M,,,,,,145.74M,91.53M,,,,,,89.70M,33.16M,56.54M,,,56.54M,56.54M,120.94M,29.40M,91.53M,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,171.33M,171.33M,0.00,,,
2001-05,562.97M,562.97M,410.20M,152.76M,136.15M,,,,,,53.20M,99.56M,,,,,,96.51M,36.35M,60.16M,,,60.16M,60.16M,128.70M,29.14M,99.56M,,0.36,0.00,,0.36,0.36,,0.35,0.00,,0.35,0.35,,166.93M,171.96M,0.00,,,
2001-02,536.72M,536.72M,288.20M,248.53M,129.35M,,,,,,157.96M,90.57M,,,,,,87.74M,32.83M,54.91M,,,54.91M,54.91M,119.18M,28.61M,90.57M,,0.32,0.00,,0.32,0.32,,0.32,0.00,,0.32,0.32,,171.59M,171.59M,0.22,,,
2000-11,539.05M,539.05M,288.95M,250.10M,129.92M,,,,,,156.64M,93.46M,,,,,,90.70M,34.17M,56.53M,,,56.53M,56.53M,120.18M,26.72M,93.46M,,0.34,0.00,,0.34,0.34,,0.33,0.00,,0.33,0.33,,166.27M,171.31M,0.00,,,
2000-08,521.96M,521.96M,277.08M,244.88M,132.94M,,,,,,160.55M,84.33M,,,,,,81.50M,30.65M,50.85M,,,50.85M,50.85M,111.94M,27.62M,84.33M,,0.30,0.00,,0.30,0.30,,0.30,0.00,,0.30,0.30,,169.50M,169.50M,0.00,,,
2000-05,504.84M,504.84M,268.51M,236.33M,122.37M,,,,,,148.18M,88.15M,,,,,,84.69M,31.87M,52.82M,,,52.82M,52.82M,113.96M,25.81M,88.15M,,0.32,0.00,,0.32,0.32,,0.31,0.00,,0.31,0.31,,164.84M,170.50M,0.00,,,
2000-02,473.93M,473.93M,255.25M,218.68M,112.70M,,,,,,136.80M,81.87M,,,,,,79.14M,30.07M,49.06M,,,49.06M,49.06M,105.98M,24.10M,81.87M,,0.29,0.00,,0.29,0.29,,0.29,0.00,,0.29,0.29,,169.18M,169.18M,0.1867,,,
1999-11,465.80M,465.80M,249.50M,216.30M,109.30M,1.10M,,,,,135.40M,80.90M,,,,1.10M,,78.00M,29.70M,48.30M,,,48.30M,47.62M,107.00M,26.10M,80.90M,,0.29,0.00,,0.2859,0.29,,0.29,0.00,,0.2859,0.29,,166.55M,166.55M,0.00,,,
1999-08,457.40M,457.40M,249.60M,207.80M,111.40M,,,,,,134.90M,72.90M,,,,,,70.00M,26.80M,43.20M,,,43.20M,43.20M,96.40M,23.50M,72.90M,,0.26,0.00,,0.26,0.26,,0.25,0.00,,0.25,0.25,,166.15M,172.80M,0.00,,,
1999-05,455.00M,455.00M,263.00M,192.00M,87.12M,,,,,,113.02M,78.98M,,,,,,30.60M,11.00M,19.60M,,,19.60M,19.60M,104.88M,25.90M,78.98M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,164.35M,166.28M,0.00,,,
1999-02,433.70M,433.70M,224.70M,209.00M,111.90M,,,,,,144.20M,64.80M,,,,,,62.10M,23.50M,38.60M,,,38.60M,38.60M,97.10M,22.60M,64.80M,,0.23,0.00,,0.23,0.23,,0.22,0.00,,0.22,0.22,,167.83M,175.45M,0.1467,,,
1998-11,436.50M,436.50M,247.70M,188.80M,99.20M,1.20M,,,,,113.50M,75.30M,,,,1.20M,,72.00M,27.60M,44.40M,,,44.40M,43.66M,94.50M,19.20M,75.30M,,0.27,0.00,,0.2655,0.27,,0.26,0.00,,0.2557,0.26,,164.44M,170.77M,0.00,,,
1998-08,426.40M,426.40M,236.20M,190.20M,105.30M,,,,,,127.80M,62.40M,,,,,,59.30M,23.00M,36.30M,,,36.30M,36.30M,84.90M,22.50M,62.40M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,165.00M,165.00M,0.00,,,
1998-05,608.50M,608.50M,359.10M,249.40M,135.10M,-20.70M,,,,,167.20M,82.20M,,,,-20.70M,,57.00M,14.60M,42.40M,,,42.40M,57.80M,114.30M,32.10M,82.20M,,0.2333,0.00,,0.3164,0.2333,,0.23,0.00,,0.3119,0.23,,185.26M,187.96M,0.00,,,
1998-02,301.90M,301.90M,164.00M,137.90M,74.80M,1.20M,,,,,89.70M,48.20M,,,,1.20M,,47.30M,17.00M,30.30M,,,30.30M,29.53M,63.90M,15.70M,48.20M,,0.20,0.00,,0.1949,0.20,,0.19,0.00,,0.1852,0.19,,151.50M,159.47M,0.12,,,
1997-11,293.70M,293.70M,162.10M,131.60M,68.10M,1.20M,,,,,81.10M,50.50M,,,,1.20M,,49.60M,16.90M,32.70M,,,32.70M,31.91M,64.10M,13.60M,50.50M,,0.21,0.00,,0.2049,0.21,,0.21,0.00,,0.2049,0.21,,155.71M,155.71M,0.00,,,
1997-08,272.80M,272.80M,147.20M,125.60M,67.70M,1.10M,,,,1.60M,83.20M,42.40M,,,,1.10M,,41.30M,14.60M,26.70M,,,26.70M,25.99M,56.30M,13.90M,42.40M,,0.19,0.00,,0.1849,0.19,,0.19,0.00,,0.1849,0.19,,140.53M,140.53M,0.00,,,
1997-05,650.60M,650.60M,383.90M,266.70M,148.50M,-3.70M,,,,,180.10M,86.60M,,,,-3.70M,,77.50M,23.70M,53.80M,,,53.80M,56.37M,118.20M,31.60M,86.60M,,0.3715,,,0.3893,0.3715,,0.3715,,,0.3893,0.3715,,144.80M,144.80M,0.00,,,
1997-02,210.00M,210.00M,112.60M,97.40M,47.40M,1.20M,,,,,60.20M,37.20M,,,,1.20M,,36.40M,13.90M,22.50M,,,22.50M,21.76M,50.00M,12.80M,37.20M,,0.17,0.00,,0.1644,0.17,,0.17,0.00,,0.1644,0.17,,132.35M,132.35M,0.10,,,
1996-11,208.60M,208.60M,114.00M,94.60M,46.50M,1.10M,,,,,57.20M,37.40M,,,,1.10M,,36.40M,13.70M,22.70M,,,22.70M,22.01M,48.10M,10.70M,37.40M,,0.19,0.00,,0.1843,0.19,,0.18,0.00,,0.1746,0.18,,119.47M,126.11M,0.00,,,
1996-08,192.80M,192.80M,103.20M,89.60M,45.20M,0.90M,,,,,56.50M,33.10M,,,,0.90M,,31.90M,12.20M,19.70M,,,19.70M,19.14M,44.40M,11.30M,33.10M,,0.16,0.00,,0.1555,0.16,,0.16,0.00,,0.1555,0.16,,123.12M,123.12M,0.00,,,
1996-05,340.10M,340.10M,194.00M,146.10M,82.50M,0.90M,,,,,96.70M,49.40M,,,,0.90M,,47.00M,13.00M,34.00M,,,34.00M,33.35M,63.60M,14.20M,49.40M,,0.21,0.00,,0.2062,0.21,,0.21,0.00,,0.2062,0.21,,170.63M,170.63M,0.00,,,
1996-02,183.00M,183.00M,99.50M,83.50M,41.30M,0.80M,,,,,51.70M,31.80M,,,,0.80M,,30.30M,11.80M,18.50M,,,18.50M,18.01M,42.20M,10.40M,31.80M,,0.13,0.00,,0.1266,0.13,,0.13,0.00,,0.1266,0.13,,142.31M,142.31M,0.0833,,,
1995-11,182.40M,182.40M,99.20M,83.20M,40.30M,0.40M,,,,,50.50M,32.70M,,,,0.40M,,30.80M,12.00M,18.80M,,,18.80M,18.56M,42.90M,10.20M,32.70M,,0.13,0.00,,0.1283,0.13,,0.13,0.00,,0.1283,0.13,,144.62M,144.62M,0.00,,,
1995-08,170.30M,170.30M,91.00M,79.30M,40.70M,0.40M,,,,,50.80M,28.50M,,,,0.40M,,26.50M,10.20M,16.30M,,,16.30M,16.05M,38.60M,10.10M,28.50M,,0.12,0.00,,0.1182,0.12,,0.12,0.00,,0.1182,0.12,,135.83M,135.83M,0.00,,,
1995-05,170.30M,170.30M,93.00M,77.30M,37.00M,0.50M,,,,,46.80M,30.50M,,,,0.50M,,28.70M,10.80M,17.90M,,,17.90M,17.59M,40.30M,9.80M,30.50M,,0.1267,0.00,,0.1245,0.1267,,0.1267,0.00,,0.1245,0.1267,,142.69M,142.69M,0.00,,,
1995-02,151.20M,151.20M,82.60M,68.60M,33.60M,0.70M,,,,,42.90M,25.70M,,,,0.70M,,24.70M,9.40M,15.30M,,,15.30M,14.87M,35.10M,9.40M,25.70M,,0.11,0.00,,0.1069,0.11,,0.11,0.00,,0.1069,0.11,,139.09M,139.09M,0.0667,,,
1994-11,151.60M,151.60M,82.90M,68.70M,32.70M,0.40M,,,,,41.90M,26.80M,,,,0.40M,,25.40M,9.60M,15.80M,,,15.80M,15.55M,36.20M,9.40M,26.80M,,0.11,0.00,,0.1083,0.11,,0.11,0.00,,0.1083,0.11,,143.64M,143.64M,0.00,,,
1994-08,142.00M,142.00M,75.50M,66.50M,34.30M,0.50M,,,,,43.40M,23.10M,,,,0.50M,,22.20M,8.40M,13.80M,,,13.80M,13.49M,32.20M,9.10M,23.10M,,0.10,0.00,,0.0977,0.10,,0.10,0.00,,0.0977,0.10,,138.00M,138.00M,0.00,,,
1994-05,141.80M,141.80M,78.00M,63.80M,29.40M,0.50M,,,,,38.40M,25.40M,,,,0.50M,,24.20M,9.20M,15.00M,,,15.00M,14.69M,34.40M,9.00M,25.40M,,0.1033,0.00,,0.1012,0.1033,,0.1033,0.00,,0.1012,0.1033,,147.14M,147.14M,0.00,,,
1994-02,129.40M,129.40M,68.90M,60.50M,29.70M,0.50M,,,,,38.40M,22.10M,,,,0.50M,,21.10M,8.00M,13.10M,,,13.10M,12.79M,30.90M,8.80M,22.10M,,0.09,0.00,,0.0879,0.09,,0.09,0.00,,0.0879,0.09,,145.56M,145.56M,0.085,,,
1993-11,129.80M,129.80M,68.00M,61.80M,29.90M,0.50M,,,,,38.60M,23.20M,,,,0.50M,,21.90M,8.30M,13.60M,,,13.60M,13.29M,31.90M,8.70M,23.20M,,0.10,0.00,,0.0977,0.10,,0.10,0.00,,0.0977,0.10,,136.00M,136.00M,0.00,,,
1993-08,122.20M,122.20M,63.40M,58.80M,30.40M,0.30M,,,,,39.00M,19.80M,,,,0.30M,,18.30M,7.80M,10.50M,,,10.50M,10.32M,28.40M,8.60M,19.80M,,0.08,0.00,,0.0786,0.08,,0.08,0.00,,0.0786,0.08,,131.25M,131.25M,0.00,,,
1993-05,124.30M,124.30M,68.30M,56.00M,27.70M,0.50M,,,,,34.80M,21.20M,,,,0.50M,,19.60M,6.90M,12.70M,,,12.70M,12.38M,28.30M,7.10M,21.20M,,0.11,0.00,,0.1070,0.11,,0.10,0.00,,0.0974,0.10,,108.24M,124.24M,0.00,,,
1993-02,112.80M,112.80M,61.20M,51.60M,27.20M,0.40M,,,,,32.60M,19.00M,,,,0.40M,,17.50M,6.50M,11.00M,,,11.00M,10.75M,24.40M,5.40M,19.00M,,0.08,0.00,,0.0782,0.08,,0.08,0.00,,0.0782,0.08,,137.50M,137.50M,0.07,,,
1992-11,111.00M,111.00M,60.40M,50.60M,25.10M,0.30M,,,,,30.50M,20.10M,,,,0.30M,,18.70M,7.10M,11.60M,,,11.60M,11.41M,25.50M,5.40M,20.10M,,0.09,0.00,,0.0886,0.09,,0.09,0.00,,0.0886,0.09,,128.89M,128.89M,0.00,,,
1992-08,104.70M,104.70M,56.70M,48.00M,26.20M,0.20M,,,,,31.40M,16.60M,,,,0.20M,,15.40M,5.80M,9.60M,,,9.60M,9.475M,21.80M,5.20M,16.60M,,0.07,0.00,,0.0691,0.07,,0.07,0.00,,0.0691,0.07,,137.14M,137.14M,0.00,,,
1992-05,104.10M,104.10M,57.00M,47.10M,23.70M,0.20M,,,,,29.10M,18.00M,,,,0.20M,,17.00M,6.10M,10.90M,,0.00,10.90M,10.77M,23.40M,5.40M,18.00M,,0.07,0.00,0.00,0.0692,0.07,,0.07,0.00,-0.0008,0.0692,0.07,,155.71M,155.71M,0.00,,,
1992-02,99.40M,99.40M,54.80M,44.60M,23.80M,0.10M,,,,,28.60M,16.00M,,,,0.10M,,14.70M,5.40M,9.30M,,,9.30M,9.237M,20.80M,4.80M,16.00M,,0.07,0.00,,0.0695,0.07,,0.07,0.00,,0.0695,0.07,,132.86M,132.86M,0.055,,,
1991-11,103.90M,103.90M,58.40M,45.50M,23.30M,0.10M,,,,,28.50M,17.00M,,,,0.10M,,15.60M,5.90M,9.70M,,,9.70M,9.638M,22.20M,5.20M,17.00M,,0.07,0.00,,0.0696,0.07,,0.07,0.00,,0.0696,0.07,,138.57M,138.57M,0.00,,,
1991-08,86.30M,86.30M,48.30M,38.00M,22.70M,0.20M,,,,,26.70M,11.30M,,,,0.20M,,10.20M,3.80M,6.40M,,,6.40M,6.275M,15.30M,4.00M,11.30M,,0.05,0.00,,0.0490,0.05,,0.05,0.00,,0.0490,0.05,,128.00M,128.00M,0.00,,,
1991-05,85.10M,85.10M,46.60M,38.50M,18.90M,0.20M,,,,,24.00M,14.50M,,,,0.20M,,13.80M,4.60M,9.20M,,,9.20M,9.067M,19.60M,5.10M,14.50M,,0.07,0.00,,0.0690,0.07,,0.07,0.00,,0.0690,0.07,,131.57M,131.57M,0.0476,,,
1991-02,80.50M,80.50M,43.60M,36.90M,20.30M,0.30M,,,,,24.90M,12.00M,,,,0.30M,,11.60M,4.20M,7.40M,,,7.40M,7.209M,16.60M,4.50M,12.00M,,0.06,0.00,,0.0584,0.06,,0.06,0.00,,0.0584,0.06,,123.33M,123.33M,0.00,,,
1990-11,80.60M,80.60M,44.90M,35.70M,20.00M,0.50M,,,,,23.40M,12.30M,,,,0.50M,,12.00M,4.40M,7.60M,,,7.60M,7.283M,15.70M,3.40M,12.30M,,0.06,0.00,,0.0575,0.06,,0.06,0.00,,0.0575,0.06,,126.67M,126.67M,0.00,,,
1990-08,76.40M,76.40M,42.00M,34.40M,19.60M,0.50M,,,,,23.00M,11.40M,,,,0.50M,,11.20M,4.10M,7.10M,,,7.10M,6.783M,14.80M,3.40M,11.40M,,0.06,0.00,,0.0573,0.06,,0.06,0.00,,0.0573,0.06,,118.33M,118.33M,0.00,,,
1990-05,78.10M,78.10M,43.40M,34.70M,18.80M,0.50M,,,,,22.20M,12.50M,,,,0.50M,,12.30M,4.20M,8.10M,,,8.10M,7.771M,15.90M,3.40M,12.50M,,0.06,0.00,,0.0576,0.06,,0.06,0.00,,0.0576,0.06,,136.67M,136.67M,0.0384,,,
1990-02,70.20M,70.20M,39.60M,30.60M,17.60M,0.60M,,,,,20.60M,10.00M,,,,0.60M,,9.70M,3.50M,6.20M,,,6.20M,5.816M,13.00M,3.00M,10.00M,,0.05,0.00,,0.0469,0.05,,0.05,0.00,,0.0469,0.05,,124.00M,124.00M,0.00,,,
1989-11,70.30M,70.30M,,,,,,,,,,70.30M,,,,,,,,6.30M,,,6.30M,,70.30M,,70.30M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,127.27M,127.27M,0.00,,,
1989-08,65.90M,65.90M,,,,,,,,,,65.90M,,,,,,,,5.90M,,,5.90M,,65.90M,,65.90M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,127.15M,127.15M,0.00,,,
1989-05,65.20M,65.20M,,,,,,,,,,-141.70M,,,,,,,,7.00M,,,7.00M,,-141.70M,,-141.70M,,,,,,,,,,,,,,127.15M,127.15M,0.0284,,,
1989-02,61.20M,61.20M,,,,,,,,,,61.20M,,,,,,,,5.20M,,,5.20M,,61.20M,,61.20M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,127.15M,127.15M,0.00,,,
1988-11,60.70M,60.70M,,,,,,,,,,60.70M,,,,,,,,5.20M,,,5.20M,,60.70M,,60.70M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,127.12M,127.12M,0.00,,,
1988-08,56.60M,56.60M,,,,,,,,,,56.60M,,,,,,,,4.70M,,,4.70M,,56.60M,,56.60M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,119.36M,119.36M,0.00,,,
1988-05,55.80M,55.80M,,,,,,,,,,-118.40M,,,,,,,,5.50M,,,5.50M,,-118.40M,,-118.40M,,,,,,,,,,,,,,119.36M,119.36M,0.0217,,,
1988-02,52.20M,52.20M,,,,,,,,,,52.20M,,,,,,,,3.90M,,,3.90M,,52.20M,,52.20M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,119.32M,119.32M,0.00,,,
1987-11,51.00M,51.00M,,,,,,,,,,51.00M,,,,,,,,4.00M,,,4.00M,,51.00M,,51.00M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,119.32M,119.32M,0.00,,,
1987-08,45.50M,45.50M,,,,,,,,,,45.50M,,,,,,,,3.80M,,,3.80M,,45.50M,,45.50M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,117.26M,117.26M,0.00,,,
1987-05,44.90M,44.90M,,,,,,,,,,-91.40M,,,,,,,,4.20M,,,4.20M,,-91.40M,,-91.40M,,,,,,,,,,,,,,117.31M,117.31M,0.0150,,,
1987-02,41.80M,41.80M,,,,,,,,,,41.80M,,,,,,,,3.30M,,,3.30M,,41.80M,,41.80M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,117.26M,117.26M,0.00,,,
1986-11,41.70M,41.70M,,,,,,,,,,41.70M,,,,,,,,3.30M,,,3.30M,,41.70M,,41.70M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,117.26M,117.26M,0.00,,,
1986-08,35.00M,35.00M,,,,,,,,,,35.00M,,,,,,,,3.10M,,,3.10M,,35.00M,,35.00M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,117.26M,117.26M,0.00,,,
1986-05,32.10M,32.10M,,,,,,,,,,-70.70M,,,,,,,,3.50M,,,3.50M,,-70.70M,,-70.70M,,,,,,,,,,,,,,117.26M,117.26M,0.0125,,,
1986-02,31.50M,31.50M,,,,,,,,,,31.50M,,,,,,,,2.60M,,,2.60M,,31.50M,,31.50M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,117.26M,117.26M,0.00,,,
1985-11,31.20M,31.20M,,,,,,,,,,31.20M,,,,,,,,2.70M,,,2.70M,,31.20M,,31.20M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,117.26M,117.26M,0.00,,,
1985-08,28.90M,28.90M,,,,,,,,,,28.90M,,,,,,,,2.50M,,,2.50M,,28.90M,,28.90M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,117.26M,117.26M,0.00,,,
1985-05,29.70M,29.70M,,,,,,,,,,-60.90M,,,,,,,,2.90M,,,2.90M,,-60.90M,,-60.90M,,,,,,,,,,,,,,117.26M,117.26M,0.00,,,
1985-02,28.50M,28.50M,,,,,,,,,,28.50M,,,,,,,,2.00M,,,2.00M,,28.50M,,28.50M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,117.26M,117.26M,0.0100,,,
1984-11,26.40M,26.40M,,,,,,,,,,26.40M,,,,,,,,2.30M,,,2.30M,,26.40M,,26.40M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,117.26M,117.26M,0.00,,,
1984-08,23.10M,23.10M,,,,,,,,,,23.10M,,,,,,,,2.00M,,,2.00M,,23.10M,,23.10M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,117.26M,117.26M,0.00,,,
1984-05,23.40M,23.40M,,,,,,,,,,-45.90M,,,,,,,,2.40M,,,2.40M,,-45.90M,,-45.90M,,,,,,,,,,,,,,117.26M,117.26M,0.00,,,
1984-02,21.10M,21.10M,,,,,,,,,,21.10M,,,,,,,,1.50M,,,1.50M,,21.10M,,21.10M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,117.26M,117.26M,0.0051,,,
