,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-09,111.42M,,111.42M,1.701B,,1.701B,418.75M,170.11M,,,152.48M,2.554B,34.89B,,,2.421B,,37.31B,-12.85B,24.46B,189.25M,,189.25M,,,452.49M,25.10B,27.65B,,655.48M,,655.48M,887.14M,1.543B,,,849.29M,,849.29M,,534.88M,2.927B,,4.011B,4.011B,,,,,6.040B,10.05B,12.98B,,311.59M,10.44B,4.342B,240.42M,98.39M,,,-176.84M,14.67B,,,
2007-06,188.64M,,188.64M,1.687B,,1.687B,406.02M,141.52M,,,117.49M,2.541B,33.73B,1.928B,,381.94M,,36.04B,-12.25B,23.79B,189.25M,,189.25M,,,412.49M,24.39B,26.93B,,607.66M,,607.66M,1.012B,1.620B,,,975.76M,,975.76M,,540.79M,3.137B,,4.011B,4.011B,,,,,5.679B,9.690B,12.83B,,311.24M,9.875B,4.321B,243.07M,98.39M,,,-158.18M,14.11B,,,
2007-03,116.47M,,116.47M,1.616B,,1.616B,373.71M,160.19M,,,105.33M,2.372B,32.58B,1.822B,,365.22M,,34.77B,-11.66B,23.11B,189.25M,,189.25M,,,386.28M,23.68B,26.05B,,636.02M,,636.02M,878.92M,1.515B,,,1.501B,,1.501B,,575.97M,3.592B,,3.512B,3.512B,3.408B,3.408B,,,2.094B,9.014B,12.61B,,310.95M,9.292B,4.292B,253.81M,98.39M,,,-193.15M,13.45B,,,
2006-12,140.52M,,140.52M,1.652B,,1.652B,320.39M,159.10M,,,218.59M,2.490B,30.39B,1.726B,,358.60M,,32.48B,-11.13B,21.35B,189.25M,,189.25M,,,282.40M,21.82B,24.31B,,644.89M,,644.89M,766.26M,1.411B,,,1.802B,,1.802B,,598.36M,3.812B,,2.020B,2.020B,,,,,5.286B,7.306B,11.12B,,310.75M,8.899B,4.270B,256.74M,98.39M,-108.75M,77.42M,-31.33M,13.19B,,,
2006-09,160.92M,,160.92M,1.566B,,1.566B,285.00M,223.97M,,,144.74M,2.380B,29.24B,1.669B,,348.68M,,31.25B,-10.62B,20.64B,189.25M,,189.25M,,,218.75M,21.05B,23.43B,,627.41M,,627.41M,807.62M,1.435B,,,1.459B,,1.459B,,595.87M,3.490B,,2.189B,2.189B,3.373B,3.373B,,,1.739B,7.301B,10.79B,,310.00M,8.429B,4.244B,259.97M,98.39M,,,-87.45M,12.64B,,,
2006-06,41.93M,,41.93M,1.506B,,1.506B,257.99M,169.45M,,,127.46M,2.103B,27.85B,1.611B,,336.28M,,29.80B,-10.33B,19.47B,189.25M,,189.25M,,,148.56M,19.81B,21.91B,,616.86M,,616.86M,687.72M,1.305B,,,1.287B,,1.287B,,717.58M,3.309B,,2.189B,2.189B,2.874B,2.874B,,,1.709B,6.772B,10.08B,,309.76M,7.832B,4.221B,245.32M,98.39M,,,-288.41M,11.83B,,,
2006-03,504.02M,,504.02M,1.447B,,1.447B,226.76M,67.59M,,,111.94M,2.357B,25.42B,1.452B,,327.03M,,27.20B,-9.885B,17.32B,189.25M,,189.25M,,,136.05M,17.64B,20.00B,,669.37M,,669.37M,752.59M,1.422B,,,157.57M,,157.57M,,556.09M,2.136B,,2.189B,2.189B,2.779B,2.779B,,,1.639B,6.607B,8.743B,,309.14M,7.143B,4.188B,89.54M,98.39M,,,-294.00M,11.26B,,,
2005-12,228.86M,,228.86M,1.445B,,1.445B,209.67M,132.96M,,,146.05M,2.162B,24.63B,1.359B,,312.97M,,26.30B,-9.514B,16.79B,189.25M,,189.25M,,,129.13M,17.11B,19.27B,,714.60M,,714.60M,804.55M,1.519B,,,0.274M,,0.274M,,667.14M,2.187B,,2.192B,2.192B,2.581B,2.581B,,,1.771B,6.544B,8.731B,,309.01M,6.517B,4.171B,89.76M,98.39M,,,-365.61M,10.54B,,,
2005-09,96.68M,,96.68M,1.258B,,1.258B,198.44M,131.87M,,,101.23M,1.787B,23.32B,1.286B,,297.83M,,24.90B,-9.154B,15.75B,,189.25M,189.25M,,,131.76M,16.07B,17.85B,,726.65M,,726.65M,843.83M,1.570B,,,0.274M,,0.274M,,572.51M,2.143B,,2.192B,2.192B,2.348B,2.348B,,,1.458B,5.997B,8.140B,,308.50M,5.763B,4.170B,89.97M,98.39M,,,-438.93M,9.713B,,,
2005-06,79.26M,,79.26M,1.139B,,1.139B,186.95M,86.91M,,,91.38M,1.583B,22.32B,1.174B,,292.14M,,23.79B,-8.797B,14.99B,,189.25M,189.25M,,,114.74M,15.30B,16.88B,,595.29M,,595.29M,636.14M,1.231B,,,287.27M,,287.27M,,300.52M,1.819B,,2.192B,2.192B,2.268B,2.268B,,,1.405B,5.865B,7.684B,,308.30M,5.110B,4.144B,91.65M,98.39M,,,-274.28M,9.197B,,,
2005-03,121.35M,,121.35M,1.117B,,1.117B,172.54M,1.041M,21.05M,,156.42M,1.589B,21.47B,1.059B,,283.29M,,22.81B,-8.439B,14.37B,,189.25M,189.25M,,,109.36M,14.67B,16.26B,,567.57M,,567.57M,739.24M,1.307B,,,,,,,264.64M,1.571B,,2.532B,2.532B,2.152B,2.152B,,,1.378B,6.062B,7.633B,,308.00M,4.550B,4.126B,93.86M,98.39M,,,-266.48M,8.624B,,,
2004-12,111.09M,,111.09M,939.74M,,939.74M,157.29M,57.77M,,,82.89M,1.349B,20.71B,966.60M,,284.07M,,21.96B,-8.101B,13.86B,,189.25M,189.25M,,,104.09M,14.15B,15.50B,,542.07M,,542.07M,616.06M,1.158B,,,,,,,124.76M,1.283B,,2.588B,2.588B,2.147B,2.147B,,,1.280B,6.015B,7.298B,,307.71M,4.017B,4.106B,97.32M,98.39M,,,-129.48M,8.204B,,,
2004-09,105.52M,,105.52M,783.68M,,783.68M,137.45M,51.30M,444.73M,,64.49M,1.587B,20.24B,,,274.24M,,20.51B,-7.775B,12.74B,,189.25M,189.25M,,,108.98M,13.04B,14.62B,,440.29M,,440.29M,525.39M,965.68M,,,,,,,179.15M,1.145B,,2.735B,2.735B,1.906B,1.906B,,,1.165B,5.806B,6.951B,,307.13M,3.532B,4.110B,98.11M,98.39M,,,-179.40M,7.672B,,,
2004-06,97.48M,,97.48M,811.63M,,811.63M,127.84M,58.46M,,,62.45M,1.158B,18.16B,,,1.118B,,19.28B,-7.462B,11.82B,,189.25M,189.25M,,,87.40M,12.09B,13.25B,,414.98M,,414.98M,418.20M,833.18M,,,,,,,142.42M,975.60M,,2.192B,2.192B,1.786B,1.786B,,,1.022B,5.000B,5.976B,,306.93M,3.126B,4.094B,100.10M,98.39M,,,-153.00M,7.274B,,,
2004-03,61.15M,,61.15M,704.45M,,704.45M,118.69M,42.77M,,,60.79M,987.85M,17.60B,,,1.094B,,18.70B,-7.167B,11.53B,,189.25M,189.25M,,,76.25M,11.80B,12.79B,,327.37M,,327.37M,491.72M,819.10M,,,,,,,95.46M,914.56M,,2.192B,2.192B,1.771B,1.771B,,,1.036B,4.999B,5.913B,,306.56M,2.773B,4.053B,102.54M,98.39M,,,-158.36M,6.872B,,,
2003-12,33.50M,,33.50M,639.06M,,639.06M,125.87M,42.58M,,,58.06M,899.07M,17.07B,,,1.068B,,18.14B,-6.881B,11.26B,,189.25M,189.25M,,,67.72M,11.52B,12.42B,,300.60M,,300.60M,,300.60M,,,,,,,519.78M,820.38M,,2.327B,2.327B,1.697B,1.697B,,,1.039B,5.063B,5.883B,,306.20M,2.446B,4.038B,105.17M,98.39M,,,-151.94M,6.533B,,,
2003-09,42.64M,,42.64M,619.51M,,619.51M,126.18M,49.50M,,,31.51M,869.34M,16.74B,,804.19M,230.01M,,17.77B,-6.647B,11.12B,,189.25M,189.25M,,,58.15M,11.37B,12.24B,,284.94M,,284.94M,456.44M,741.38M,,,,,,,87.92M,829.30M,,2.514B,2.514B,1.521B,1.521B,,,1.079B,5.114B,5.943B,,305.87M,2.204B,4.024B,106.56M,98.39M,,,-130.47M,6.297B,,,
2003-06,41.00M,,41.00M,698.12M,,698.12M,118.27M,51.74M,,,43.33M,952.46M,16.04B,,796.28M,220.89M,,17.06B,-6.354B,10.71B,,189.25M,189.25M,,,48.83M,10.94B,11.90B,,271.22M,,271.22M,365.40M,636.62M,,,,,,,106.25M,742.87M,,2.350B,2.350B,1.370B,1.370B,,437.62M,996.34M,5.154B,5.897B,,305.74M,1.948B,4.017B,107.30M,98.39M,,,-164.81M,6.000B,,,
2003-03,39.96M,,39.96M,761.34M,,761.34M,113.66M,40.38M,,,42.82M,998.17M,14.73B,,792.82M,200.77M,,15.73B,-6.082B,9.643B,,189.25M,189.25M,,,41.91M,9.874B,10.87B,,315.45M,,315.45M,367.77M,683.22M,,,,,,,45.38M,728.60M,,1.943B,1.943B,1.227B,1.227B,,437.09M,732.95M,4.341B,5.069B,,305.55M,1.722B,4.010B,108.45M,98.39M,,,-125.80M,5.803B,,,
2002-12,51.89M,,51.89M,527.69M,,527.69M,109.20M,32.71M,,,45.30M,766.78M,,,,,,14.46B,-5.997B,8.466B,,189.25M,189.25M,,,38.23M,8.693B,9.460B,,214.29M,,214.29M,,214.29M,,,,,,,317.95M,532.24M,,2.159B,2.159B,1.121B,1.121B,,436.63M,287.29M,4.003B,4.536B,,292.72M,1.428B,3.427B,110.56M,98.39M,,,-112.94M,4.924B,,,
2002-09,167.47M,84.81M,252.28M,477.80M,,477.80M,106.06M,,,,70.27M,906.41M,12.92B,,773.14M,186.60M,,13.88B,-5.769B,8.115B,,189.25M,189.25M,,,38.31M,8.342B,9.249B,,241.48M,,241.48M,275.58M,517.06M,,,,,,,20.14M,537.20M,,2.163B,2.163B,1.069B,1.069B,,436.42M,281.80M,3.950B,4.488B,,283.36M,1.658B,3.038B,110.62M,98.39M,,,-107.91M,4.761B,,,
2002-06,131.98M,85.36M,217.34M,429.84M,,429.84M,106.07M,,,,67.18M,820.43M,12.74B,,775.24M,179.68M,,13.70B,-5.587B,8.112B,,193.79M,193.79M,,,39.84M,8.346B,9.166B,,224.62M,,224.62M,235.17M,459.79M,,,,,,,12.55M,472.34M,,2.205B,2.205B,1.041B,1.041B,,436.02M,309.30M,3.992B,4.464B,,283.17M,1.528B,3.030B,110.96M,98.39M,,,-28.52M,4.702B,,,
2002-03,33.52M,85.91M,119.44M,433.73M,,433.73M,102.00M,,,,70.37M,725.53M,12.44B,,756.23M,172.94M,,13.37B,-5.350B,8.016B,,188.75M,188.75M,,,34.12M,8.239B,8.964B,,192.54M,,192.54M,247.71M,440.24M,,,,,,,23.40M,463.65M,,2.278B,2.278B,985.83M,985.83M,,440.70M,308.22M,4.013B,4.476B,,483.35M,1.399B,2.824B,110.74M,306.56M,,,-107.08M,4.488B,,,
2001-12,35.62M,102.95M,138.58M,404.79M,51.84M,456.64M,102.54M,,,,,697.75M,12.23B,,748.68M,168.92M,,13.15B,-5.135B,8.013B,188.81M,,188.81M,,,34.02M,8.236B,8.934B,,179.78M,,179.78M,,179.78M,,,342.68M,,342.68M,,,522.46M,,2.244B,2.244B,991.72M,991.72M,440.68M,,315.95M,3.552B,4.074B,,483.06M,1.336B,2.813B,111.88M,306.59M,,,-101.82M,4.418B,,,
2001-09,67.85M,,67.85M,436.60M,,436.60M,86.60M,,,,113.63M,704.68M,,,,,,12.87B,-4.920B,7.951B,,192.16M,192.16M,,,218.79M,8.362B,9.067B,,289.84M,,289.84M,32.40M,322.24M,,,,,,,294.22M,616.46M,,2.312B,2.312B,986.49M,986.49M,440.66M,,313.40M,3.611B,4.228B,,467.00M,1.277B,2.826B,111.94M,306.59M,,,-59.54M,4.398B,,,
2001-06,129.32M,,129.32M,569.82M,,569.82M,77.45M,,,,61.41M,838.01M,11.68B,708.57M,,159.86M,,12.55B,-4.722B,7.826B,,198.89M,198.89M,,,102.71M,8.127B,8.965B,,307.54M,,307.54M,391.96M,699.50M,,,63.00M,,63.00M,,50.99M,813.49M,,2.575B,2.575B,905.63M,905.63M,,,331.00M,3.812B,4.625B,,466.99M,1.705B,2.280B,94.68M,306.59M,,,-16.81M,4.340B,,,
2001-03,106.84M,,106.84M,553.67M,,553.67M,72.58M,,,,83.51M,816.59M,,10.22B,698.69M,152.64M,1.062B,12.14B,-4.437B,7.701B,,197.20M,197.20M,,,142.00M,8.040B,8.856B,,377.52M,,377.52M,25.72M,403.24M,,,30.28M,,30.28M,,470.92M,904.44M,,2.718B,2.718B,760.37M,760.37M,,,440.38M,3.919B,4.824B,,466.90M,1.504B,2.277B,68.90M,306.59M,,,-146.05M,4.033B,,,
2000-12,37.17M,,37.17M,506.72M,,506.72M,54.76M,,,,31.36M,630.02M,,,,,,11.09B,-4.282B,6.812B,,,,,,39.47M,6.852B,7.482B,,259.12M,,259.12M,,259.12M,,,25.00M,,25.00M,,269.23M,553.35M,,2.193B,2.193B,699.83M,699.83M,,,280.87M,3.174B,3.727B,,464.72M,1.227B,2.173B,69.56M,306.59M,,,-40.23M,3.755B,,,
2000-09,27.28M,,27.28M,,,429.36M,54.93M,,,,27.80M,539.38M,,,,,,10.28B,-4.120B,6.165B,,,,,,46.65M,6.212B,6.751B,,224.93M,,224.93M,,224.93M,,,22.68M,,22.68M,,209.86M,457.46M,,1.941B,1.941B,564.36M,564.36M,,,289.40M,2.795B,3.252B,,464.57M,986.21M,2.161B,69.56M,306.59M,,,-44.09M,3.498B,,,
2000-06,19.00M,,19.00M,,,367.84M,51.55M,,,,29.77M,468.15M,,,,,,9.673B,-3.973B,5.700B,,,,,,46.64M,5.747B,6.215B,,183.02M,,183.02M,,183.02M,,,31.85M,,31.85M,,160.57M,375.44M,,2.193B,2.193B,467.89M,467.89M,,,282.30M,2.943B,3.318B,,452.85M,802.23M,1.739B,69.69M,306.59M,,,-28.28M,2.896B,,,
2000-03,24.51M,,24.51M,,,286.75M,47.67M,,,,28.84M,387.77M,,,,,,9.126B,-3.841B,5.284B,,,,,,45.22M,5.329B,5.717B,,142.97M,,142.97M,,142.97M,,,8.90M,,8.90M,,172.63M,324.50M,,1.947B,1.947B,411.18M,411.18M,,,280.18M,2.638B,2.963B,,452.33M,661.80M,1.723B,69.68M,306.59M,,,-13.31M,2.754B,,,
1999-12,13.17M,,13.17M,259.53M,,259.53M,45.11M,,,,25.25M,343.07M,,,,,,8.827B,-3.711B,5.116B,,,,,,43.62M,5.159B,5.503B,,148.31M,,148.31M,,148.31M,,,6.158M,,6.158M,,182.31M,336.78M,,1.880B,1.880B,360.32M,360.32M,,,256.36M,2.496B,2.833B,,454.38M,558.70M,1.717B,52.26M,308.88M,,,-8.446M,2.669B,,,
1999-09,16.70M,,16.70M,,,273.00M,44.90M,,,,20.60M,355.20M,,,,,,8.108B,-3.577B,4.531B,,,,,,40.90M,4.572B,4.928B,,169.90M,,169.90M,,169.90M,,,24.30M,,24.30M,,148.40M,342.60M,,1.422B,1.422B,332.60M,332.60M,,,264.10M,2.019B,2.362B,,454.40M,474.20M,1.709B,48.70M,308.90M,,,-22.80M,2.566B,,,
1999-06,22.40M,,22.40M,,,228.10M,47.50M,,,,21.10M,319.10M,,,,,,7.992B,-3.457B,4.534B,,,,,,41.50M,4.576B,4.895B,,113.00M,,113.00M,,113.00M,,,18.40M,,18.40M,,141.40M,272.80M,,1.539B,1.539B,300.50M,300.50M,,,274.90M,2.115B,2.388B,,308.90M,414.30M,,,308.90M,,,,2.508B,,,
1999-03,19.10M,,19.10M,,,156.80M,42.20M,,,,22.30M,240.40M,,,,,,7.158B,-3.346B,3.811B,,,,,,40.10M,3.851B,4.092B,,94.40M,,94.40M,,94.40M,,,15.00M,,15.00M,,118.90M,228.30M,,1.532B,1.532B,270.10M,270.10M,,,265.50M,2.068B,2.296B,,98.40M,392.70M,,,98.40M,,,,1.796B,,,
1998-12,14.50M,,14.50M,,,159.80M,40.90M,,,,11.80M,227.00M,,,,,,6.983B,-3.255B,3.728B,,,,,,41.60M,3.769B,3.996B,,115.10M,,115.10M,,115.10M,,,15.50M,,15.50M,,175.20M,305.80M,,1.343B,1.343B,270.50M,270.50M,,,274.70M,1.888B,2.194B,,223.10M,403.10M,1.246B,36.90M,98.40M,,,-33.20M,1.802B,,,
1998-09,59.30M,,59.30M,,,169.00M,35.60M,,,,19.00M,282.90M,,,,,,6.741B,-2.923B,3.818B,,,,,,43.10M,3.861B,4.144B,,117.30M,,117.30M,,117.30M,,,6.00M,,6.00M,,115.60M,238.90M,,1.305B,1.305B,355.70M,355.70M,,,282.20M,1.943B,2.182B,,98.50M,570.50M,,,98.50M,,,,1.963B,,,
1998-06,88.90M,,88.90M,,,205.00M,36.00M,,,,39.50M,369.40M,,,,,,6.611B,-2.836B,3.775B,,,,,,33.20M,3.809B,4.178B,,140.10M,,140.10M,,140.10M,,,38.60M,,38.60M,,113.20M,291.90M,,1.407B,1.407B,359.00M,359.00M,,,221.00M,1.987B,2.279B,,,574.80M,,,,,,,1.899B,,,
1998-03,119.90M,,119.90M,,,180.70M,37.90M,,,,16.30M,354.80M,,,,,,6.480B,-2.746B,3.733B,,,,,,53.60M,3.787B,4.142B,,138.60M,,138.60M,,138.60M,,,11.80M,,11.80M,,135.10M,285.50M,,1.393B,1.393B,360.20M,360.20M,,,202.60M,1.956B,2.242B,,,572.40M,,,,,,,1.900B,,,
1997-12,9.70M,,9.70M,,,224.00M,36.00M,,,,78.60M,348.30M,,,,,,6.381B,-2.648B,3.733B,,,,,,57.10M,3.790B,4.139B,,178.40M,,178.40M,,178.40M,,,17.20M,,17.20M,,148.20M,343.80M,,1.501B,1.501B,355.60M,355.60M,,,208.60M,2.066B,2.409B,,,562.00M,,,,,,,1.729B,,,
1997-09,25.60M,,25.60M,,,220.80M,30.20M,,,,11.20M,287.80M,,,,,,5.937B,-2.554B,3.383B,,,,,,55.80M,3.439B,3.726B,,148.20M,,148.20M,,148.20M,,,1.00M,,1.00M,,133.70M,282.90M,,1.313B,1.313B,301.70M,301.70M,,,213.10M,1.827B,2.110B,,,523.00M,,,,,,,1.616B,,,
1997-06,14.20M,,14.20M,,,201.40M,17.70M,,,,16.00M,249.30M,,,,,,5.751B,-2.459B,3.292B,,,,,,58.40M,3.350B,3.600B,,140.20M,,140.20M,,140.20M,,,7.50M,,7.50M,,121.00M,268.70M,,1.349B,1.349B,291.10M,291.10M,,,102.30M,1.742B,2.011B,,,498.60M,,,,,,,1.589B,,,
1997-03,19.90M,,19.90M,,,199.20M,16.00M,,,,13.10M,248.20M,,,,,,5.552B,-2.367B,3.185B,,,,,,60.50M,3.245B,3.494B,,166.60M,,166.60M,,166.60M,,,,,,,121.90M,288.50M,,1.249B,1.249B,281.30M,281.30M,,,107.80M,1.638B,1.926B,,,479.10M,,,,,,,1.567B,,,
1996-12,13.20M,,13.20M,,,234.60M,14.00M,,,,6.40M,268.20M,,,,,,5.381B,-2.281B,3.100B,,,,,,64.10M,3.164B,3.432B,,174.90M,,174.90M,,174.90M,,,2.00M,,2.00M,,132.80M,309.70M,,1.236B,1.236B,254.80M,254.80M,,,113.70M,1.604B,1.914B,,,432.60M,,,,,,,1.518B,,,
1996-09,13.20M,,13.20M,,,182.80M,15.70M,,,,22.80M,234.50M,,,,,,5.199B,-2.199B,3.000B,,,,,,62.90M,3.063B,3.297B,,153.40M,,153.40M,,153.40M,,,17.00M,,17.00M,,86.50M,256.90M,,1.226B,1.226B,230.90M,230.90M,,,108.90M,1.566B,1.822B,,,387.70M,,,,,,,1.475B,,,
1996-06,16.20M,,16.20M,,,191.60M,13.60M,,,,14.80M,236.20M,,,,,,4.995B,-2.119B,2.876B,,,,,,67.80M,2.944B,3.180B,,153.10M,,153.10M,,153.10M,,,13.50M,,13.50M,,83.00M,249.60M,,1.157B,1.157B,215.70M,215.70M,,,109.50M,1.482B,1.732B,,,363.90M,,,,,,,1.449B,,,
1996-03,19.60M,,19.60M,,,179.30M,11.90M,,,,11.10M,221.90M,,,,,,4.499B,-2.044B,2.454B,,,,,,69.80M,2.524B,2.746B,,129.30M,,129.30M,,129.30M,,,2.00M,,2.00M,,82.60M,213.90M,,1.138B,1.138B,190.30M,190.30M,,,99.00M,1.427B,1.641B,,,345.70M,,,,,,,1.105B,,,
1995-12,13.60M,,13.60M,,,175.90M,9.80M,,,,9.00M,208.30M,,,,,,4.377B,-1.976B,2.402B,,,,,,71.60M,2.473B,2.682B,,138.30M,,138.30M,,138.30M,,,3.00M,,3.00M,,89.00M,230.30M,,1.072B,1.072B,181.60M,181.60M,,,105.70M,1.359B,1.590B,,,335.40M,,,,,,,1.092B,,,
1995-09,16.50M,,16.50M,,,163.10M,12.20M,,,,9.70M,201.50M,,,,,,4.278B,-1.910B,2.368B,,,,,,66.90M,2.434B,2.636B,,112.80M,,112.80M,,112.80M,,,17.00M,,17.00M,,77.20M,207.00M,,1.058B,1.058B,176.40M,176.40M,,,103.60M,1.338B,1.545B,,,332.30M,,,,,,,1.091B,,,
1995-06,17.30M,,17.30M,,,156.80M,13.00M,,,,10.40M,197.50M,,,,,,4.152B,-1.833B,2.319B,,,,,,38.00M,2.357B,2.555B,,99.40M,,99.40M,,99.40M,,,7.00M,,7.00M,,69.60M,176.00M,,1.208B,1.208B,172.40M,172.40M,,,107.80M,1.488B,1.664B,,,330.70M,,,,,,,890.50M,,,
1995-03,5.20M,,5.20M,,,107.90M,12.40M,,,,10.10M,135.60M,,,,,,3.798B,-1.549B,2.249B,,,,,,37.80M,2.287B,2.422B,,79.10M,,79.10M,,79.10M,,,,,,,55.50M,134.60M,,1.208B,1.208B,160.60M,160.60M,,,100.60M,1.469B,1.604B,,,209.50M,,,,,,,818.50M,,,
1994-12,15.10M,,15.10M,,,101.80M,8.90M,,,,9.10M,134.90M,,,,,,3.172B,-1.486B,1.685B,,,,,,58.70M,1.744B,1.879B,,87.70M,,87.70M,,87.70M,,,0.10M,,0.10M,,60.00M,147.80M,,657.50M,657.50M,156.20M,156.20M,,,101.30M,915.00M,1.063B,,,207.90M,,,,,,,816.20M,,,
1994-09,13.10M,,13.10M,,,96.80M,8.70M,,,,10.60M,129.20M,,,,,,2.978B,-1.425B,1.553B,,,,,,33.40M,1.586B,1.715B,,106.60M,,106.60M,,106.60M,,,0.30M,,0.30M,,57.50M,164.40M,,552.70M,552.70M,149.30M,149.30M,,,41.50M,743.50M,907.90M,,,199.50M,,,,,,,807.50M,,,
1994-06,16.70M,,16.70M,,,102.10M,7.80M,,,,10.60M,137.20M,,,,,,2.853B,-1.364B,1.490B,,,,,,35.00M,1.524B,1.662B,,103.40M,,103.40M,,103.40M,,,0.60M,,0.60M,,51.10M,155.10M,,526.90M,526.90M,140.40M,140.40M,,,39.30M,706.60M,861.70M,,,193.20M,,,,,,,800.00M,,,
1994-03,17.30M,,17.30M,,,97.50M,7.30M,,,,6.30M,128.40M,,,,,,2.760B,-1.303B,1.457B,,,,,,33.50M,1.490B,1.618B,,102.50M,,102.50M,,102.50M,,,8.90M,,8.90M,,48.10M,159.50M,,492.40M,492.40M,133.80M,133.80M,,,40.60M,666.80M,826.30M,,,187.30M,,,,,,,792.20M,,,
1993-12,17.10M,,17.10M,,,91.80M,7.20M,,,,6.80M,122.90M,,,,,,2.685B,-1.249B,1.436B,,,,,,33.00M,1.470B,1.592B,,118.40M,,118.40M,,118.40M,,,9.00M,,9.00M,,58.00M,185.40M,,453.00M,453.00M,128.60M,128.60M,,,39.50M,621.10M,806.50M,,,182.20M,,,,,,,785.90M,,,
1993-09,10.90M,,10.90M,,,98.00M,9.10M,,,,9.60M,127.60M,,,,,,2.699B,-1.330B,1.368B,,,,,,30.50M,1.399B,1.526B,,94.50M,,94.50M,,94.50M,,,8.90M,,8.90M,,56.60M,160.00M,,409.40M,409.40M,117.10M,117.10M,25.40M,,46.20M,572.70M,732.70M,,,173.30M,,,,,,,768.30M,,,
1993-06,14.00M,,14.00M,,,80.90M,5.30M,,,,8.50M,108.70M,,,,,,2.262B,-1.137B,1.125B,,,,,,35.40M,1.160B,1.269B,,81.80M,,81.80M,,81.80M,,,7.40M,,7.40M,,48.00M,137.20M,,366.30M,366.30M,94.30M,94.30M,,,47.50M,508.10M,645.30M,,,176.50M,,,,,,,623.50M,,,
1993-03,73.40M,,73.40M,,,84.70M,6.70M,,,,6.10M,170.90M,,,,,,2.164B,-1.094B,1.07B,,,,,,32.80M,1.103B,1.274B,,82.10M,,82.10M,,82.10M,,,1.20M,,1.20M,,41.10M,124.40M,,398.00M,398.00M,87.50M,87.50M,,,48.80M,534.30M,658.70M,,,168.70M,,,,,,,615.00M,,,
1992-12,26.10M,,26.10M,,,75.80M,6.20M,,,,5.80M,113.90M,,,,,,2.130B,-1.058B,1.072B,,,,,,32.90M,1.105B,1.219B,,82.10M,,82.10M,,82.10M,,,1.10M,,1.10M,,74.40M,157.60M,,454.40M,454.40M,83.20M,83.20M,,,48.30M,585.90M,743.50M,,,160.80M,,,,,,,475.20M,,,
1992-09,15.60M,,15.60M,,,76.60M,6.20M,,,,4.80M,103.20M,,,,,,2.034B,-1.009B,1.024B,,,,,,31.60M,1.056B,1.159B,,88.20M,,88.20M,,88.20M,,,1.60M,,1.60M,,49.70M,139.50M,,422.40M,422.40M,79.50M,79.50M,,,50.00M,551.90M,691.40M,,,152.80M,,,,,,,467.80M,,,
1992-06,11.60M,,11.60M,,,71.20M,6.00M,,,,5.80M,94.60M,,,,,,2.024B,-966.90M,1.058B,,,,,,32.90M,1.090B,1.185B,,94.60M,,94.60M,,94.60M,,,2.90M,,2.90M,,50.60M,148.10M,,454.20M,454.20M,76.60M,76.60M,,,44.30M,575.10M,723.20M,,,147.60M,,,,,,,461.90M,,,
1992-03,5.30M,,5.30M,,,66.60M,4.90M,,,,3.20M,80.00M,,,,,,1.992B,-925.40M,1.066B,,,,,,45.20M,1.111B,1.191B,,78.20M,,78.20M,,78.20M,,,4.50M,,4.50M,,45.00M,127.70M,,513.50M,513.50M,64.30M,64.30M,,,44.70M,622.50M,750.20M,,,126.90M,,,,,,,441.20M,,,
1991-12,6.40M,,6.40M,,,77.60M,4.40M,,,,2.20M,90.60M,,,,,,1.960B,-888.30M,1.071B,,,,,,47.30M,1.119B,1.209B,,79.90M,,79.90M,,79.90M,,,4.70M,,4.70M,,61.10M,145.70M,,491.00M,491.00M,65.30M,65.30M,,,67.40M,623.70M,769.40M,,,126.10M,,,,,,,439.90M,,,
