,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-06,333.00M,,,,,,126.00M,126.00M,179.00M,,,,,,16.00M,-18.00M,254.00M,-87.00M,,29.00M,178.00M,832.00M,,-403.00M,,-403.00M,0.00,-77.00M,0.00,-480.00M,,-99.00M,,-99.00M,29.00M,-289.00M,-260.00M,,-4.00M,,3.00M,-360.00M,,2.60B,-8.00M,2.592B,,29.00M,,-99.00M,-289.00M,,,,AOR,Restated
2006-03,61.00M,,,,,,124.00M,124.00M,35.00M,,,,,,-67.00M,-13.00M,317.00M,14.00M,,280.00M,598.00M,751.00M,,-262.00M,,-262.00M,20.00M,-68.00M,1.00M,-309.00M,,-37.00M,,-37.00M,107.00M,-214.00M,-107.00M,,-7.00M,,29.00M,-122.00M,,2.28B,320.00M,2.60B,,107.00M,,-37.00M,-214.00M,,,,AOR,Restated
2005-12,70.00M,,,,-348.00M,,121.00M,121.00M,44.00M,,,,,,-60.00M,76.00M,-151.00M,34.00M,-246.00M,143.00M,-144.00M,31.00M,,-204.00M,,-204.00M,6.00M,-66.00M,-6.00M,-270.00M,,-13.00M,,-13.00M,74.00M,0.00,74.00M,,0.00,,30.00M,91.00M,,2.428B,-148.00M,2.28B,,74.00M,0.00,-13.00M,0.00,-3.00M,-53.00M,,AOR,Restated
2005-09,210.00M,,,,121.00M,,121.00M,121.00M,131.00M,,,,,,-948.00M,-42.00M,215.00M,-84.00M,28.00M,946.00M,1.063B,577.00M,,-255.00M,,-255.00M,-6.00M,-185.00M,6.00M,-440.00M,,-1.00M,,-1.00M,21.00M,0.00,21.00M,,-3.00M,,5.00M,22.00M,,2.269B,159.00M,2.428B,,21.00M,0.00,-1.00M,0.00,3.00M,21.00M,,AOR,Restated
2005-06,145.00M,,,,227.00M,,115.00M,115.00M,86.00M,,,,,,1.003B,42.00M,198.00M,3.00M,218.00M,-1.164B,-703.00M,646.00M,,-280.00M,,-280.00M,,0.00,0.00,-280.00M,,-27.00M,,-27.00M,18.00M,0.00,18.00M,,-4.00M,,8.00M,-5.00M,,1.908B,361.00M,2.269B,,18.00M,0.00,-27.00M,0.00,,32.00M,,AOR,Restated
2005-03,59.00M,,,,,,112.00M,112.00M,30.00M,,,,,,-28.00M,-85.00M,593.00M,-12.00M,,195.00M,691.00M,864.00M,,-407.00M,,-407.00M,,257.00M,-6.00M,-156.00M,,192.00M,,192.00M,19.00M,-55.00M,-36.00M,,-7.00M,,3.00M,152.00M,,1.048B,860.00M,1.908B,,19.00M,300.00M,-108.00M,-55.00M,,,,AOR,Restated
2004-12,55.00M,,,,431.00M,,113.00M,113.00M,-87.00M,,,,,,123.00M,-1.00M,-162.00M,-11.00M,68.00M,-182.00M,-288.00M,-49.00M,,-409.00M,,-409.00M,,-36.00M,,-520.00M,,-73.00M,,-73.00M,36.00M,0.00,36.00M,,0.00,,-1.00M,-38.00M,,1.531B,-607.00M,1.305B,,36.00M,112.00M,-185.00M,0.00,,38.00M,,AOR,
2004-09,119.00M,,,,,,109.00M,109.00M,190.00M,,,,,,-109.00M,-24.00M,111.00M,-22.00M,,-15.00M,50.00M,359.00M,,-496.00M,,-496.00M,,16.00M,,-480.00M,,349.00M,,349.00M,12.00M,-110.00M,-98.00M,,-3.00M,,-3.00M,245.00M,,1.407B,124.00M,1.531B,,12.00M,350.00M,-1.00M,-110.00M,,,,AOR,Restated
2004-06,113.00M,,,,-103.00M,,106.00M,106.00M,65.00M,,,,,,27.00M,-3.00M,159.00M,4.00M,-238.00M,197.00M,119.00M,430.00M,,-510.00M,,-510.00M,,-19.00M,,-529.00M,,15.00M,,15.00M,27.00M,-11.00M,16.00M,,-4.00M,,-3.00M,24.00M,,1.482B,-75.00M,1.407B,,27.00M,29.00M,-14.00M,-11.00M,,-13.00M,,AOR,Restated
2004-03,26.00M,,,,103.00M,,103.00M,103.00M,16.00M,,,,,,-27.00M,-47.00M,123.00M,-15.00M,238.00M,,299.00M,417.00M,,-360.00M,,-360.00M,,39.00M,,-321.00M,,22.00M,,22.00M,13.00M,-125.00M,-112.00M,,-7.00M,,-1.00M,-98.00M,,1.484B,-2.00M,1.482B,,13.00M,29.00M,-7.00M,-125.00M,,13.00M,,AOR,Restated
2003-12,66.00M,,,,99.00M,,99.00M,99.00M,6.00M,,,,,,33.00M,11.00M,149.00M,-4.00M,-111.00M,,45.00M,290.00M,,-383.00M,,-383.00M,,,,-383.00M,,-109.00M,,-109.00M,32.00M,,32.00M,,0.00,,1.00M,-76.00M,,2.034B,-169.00M,1.865B,,32.00M,0.00,-109.00M,,-2.00M,10.00M,,AOR,Restated
2003-09,106.00M,,,,97.00M,,97.00M,97.00M,29.00M,,,,,,16.00M,-15.00M,-72.00M,-7.00M,-13.00M,,-107.00M,141.00M,,-337.00M,,-337.00M,,,,-337.00M,,-1.00M,,-1.00M,29.00M,0.00,29.00M,,-3.00M,,1.00M,26.00M,,2.204B,-170.00M,2.034B,,29.00M,0.00,-1.00M,0.00,49.00M,15.00M,,AOR,Restated
2003-06,246.00M,,,,188.00M,,95.00M,95.00M,136.00M,,,,,,27.00M,31.00M,59.00M,-7.00M,174.00M,-123.00M,134.00M,638.00M,,-325.00M,,-325.00M,,,,-325.00M,,-14.00M,,-14.00M,20.00M,0.00,20.00M,,-4.00M,,0.00,2.00M,,1.889B,315.00M,2.204B,,20.00M,0.00,-14.00M,0.00,4.00M,37.00M,,AOR,Restated
2003-03,24.00M,,,,,,93.00M,93.00M,12.00M,,,,,,7.00M,16.00M,-7.00M,-1.00M,,123.00M,131.00M,267.00M,,-193.00M,,-193.00M,,,,-193.00M,,-6.00M,,-6.00M,12.00M,0.00,12.00M,,-7.00M,,1.00M,0.00,,1.815B,74.00M,1.889B,,12.00M,0.00,-6.00M,0.00,,,,AOR,Restated
2002-12,42.00M,,,,-93.00M,,-93.00M,-93.00M,47.00M,,,,,,337.00M,-49.00M,-11.00M,5.00M,-85.00M,-118.00M,-258.00M,114.00M,,-231.00M,,-231.00M,,,,-231.00M,,-9.00M,,-9.00M,16.00M,,16.00M,,0.00,,-19.00M,-12.00M,,1.944B,-129.00M,1.815B,,16.00M,0.00,-9.00M,,1.00M,19.00M,,AOR,Restated
2002-09,76.00M,,,,-92.00M,,-92.00M,-92.00M,47.00M,,,,,,51.00M,4.00M,-129.00M,-21.00M,-34.00M,118.00M,-62.00M,20.00M,,-119.00M,,-119.00M,,,,-119.00M,,-1.00M,,-1.00M,10.00M,,10.00M,,-4.00M,,-80.00M,-75.00M,,2.118B,-174.00M,1.944B,,10.00M,0.00,-1.00M,,0.00,23.00M,,AOR,
2002-06,102.00M,,,,-86.00M,,-86.00M,-86.00M,62.00M,,,,,,175.00M,4.00M,77.00M,-11.00M,-30.00M,,40.00M,293.00M,,-144.00M,,-144.00M,,,,-144.00M,,-50.00M,,-50.00M,11.00M,,11.00M,,-3.00M,,-103.00M,-145.00M,,2.114B,4.00M,2.118B,,11.00M,0.00,-50.00M,,2.00M,21.00M,,AOR,
2002-03,21.00M,,,,-85.00M,,-85.00M,-85.00M,14.00M,,,,,,163.00M,-62.00M,-86.00M,17.00M,111.00M,,-20.00M,93.00M,,-109.00M,,-109.00M,,,,-109.00M,,-95.00M,,-95.00M,20.00M,,20.00M,,-7.00M,,-68.00M,-150.00M,,2.28B,-166.00M,2.114B,,20.00M,385.00M,-480.00M,,,17.00M,,AOR,
2001-12,63.50M,,,-30.74M,555.46M,,555.46M,555.46M,-2.072M,,,,,,-392.97M,24.00M,135.47M,-11.31M,-180.24M,73.35M,41.27M,234.45M,,-331.05M,,-331.05M,,,,-331.05M,,136.44M,,611.44M,14.28M,0.00,14.28M,,0.00,,,887.07M,,1.489B,790.47M,2.280B,,14.28M,614.25M,-2.808M,0.00,-12.15M,-38.30M,,AOR,Restated
2001-09,150.96M,,,30.74M,-237.63M,,-237.63M,-237.63M,209.99M,,,,,,-101.07M,42.78M,67.03M,2.279M,180.24M,,292.34M,345.34M,,-206.03M,,-206.03M,,,,-206.03M,,374.04M,,374.04M,11.13M,,11.13M,,-3.438M,,,381.74M,,968.35M,521.04M,1.489B,,11.13M,475.00M,-100.96M,,1.549M,15.77M,,AOR,
2001-06,175.63M,,,,-77.69M,,-77.69M,-77.69M,,,,,,,685.83M,,,,,-299.55M,-299.55M,484.22M,,-206.43M,,-206.43M,,,,-206.43M,,-1.815M,,-1.815M,11.13M,0.00,11.13M,,-3.432M,,,5.88M,,684.68M,283.67M,968.35M,,11.13M,,-1.815M,0.00,7.492M,4.444M,,AOR,
2001-03,121.04M,,,,77.69M,,77.69M,77.69M,,,,,,,-77.69M,,,,,299.55M,299.55M,420.60M,,-254.33M,,-254.33M,,,,-254.33M,,-5.019M,,-5.019M,7.002M,0.00,7.002M,,-6.57M,,,-4.587M,,523.00M,161.68M,684.68M,,7.002M,,-5.019M,0.00,3.109M,18.09M,,AOR,
2000-12,132.53M,,,,74.54M,,74.54M,74.54M,,,,,,,-328.91M,,129.44M,,,,161.87M,255.15M,,-335.14M,,-335.14M,,,,-335.14M,,-1.62M,,-1.62M,23.99M,-0.001M,23.99M,,0.00,,,22.37M,,580.61M,-57.61M,523.00M,,23.99M,,-1.62M,-0.001M,36.22M,4.532M,,AOR,Restated
2000-09,184.30M,,,,206.73M,,206.73M,206.73M,,,,,,,-138.11M,,-21.33M,,,,-21.33M,231.60M,,-303.49M,,-303.49M,,,,-303.49M,,-0.828M,,-0.828M,20.48M,-1.076M,19.41M,,-2.731M,,,15.85M,,636.65M,-56.04M,580.61M,,20.48M,,-0.828M,-1.076M,92.45M,16.05M,,AOR,
2000-06,190.62M,,,,,,,,,,,,,,184.02M,,21.33M,,,,21.33M,395.97M,,-304.21M,,-304.21M,,,,-304.21M,,-3.379M,,-3.379M,14.68M,-6.234M,8.442M,,-2.737M,,,2.326M,,542.56M,94.09M,636.65M,,14.68M,,-3.379M,-6.234M,20.73M,3.862M,,AOR,
2000-03,95.64M,,,,,,,,,,,,,,319.92M,,,,,,,415.56M,,-191.81M,,-191.81M,,,,-191.81M,,-4.411M,,-4.411M,11.27M,-101.36M,-90.09M,,-5.51M,,,-100.01M,,418.82M,123.74M,542.56M,,11.27M,,-4.411M,-101.36M,0.60M,12.50M,,AOR,
1999-12,93.80M,,,,-82.30M,,-82.30M,-82.30M,,,,,,,-57.20M,,,,,,,219.20M,,-265.40M,,-265.40M,,,,-265.40M,,254.80M,,254.80M,33.60M,-90.10M,-56.50M,,0.00,,,198.20M,,266.70M,152.00M,418.80M,,33.60M,,-0.80M,-90.10M,28.40M,3.90M,,AOR,Restated
1999-09,127.00M,,,,-63.80M,,-63.80M,-63.80M,,,,,,,46.20M,,,,,,,109.40M,,-333.60M,,-333.60M,,,,-333.60M,,-0.70M,,-0.70M,4.80M,-0.40M,4.40M,,-0.30M,,,3.40M,,487.60M,-220.80M,266.70M,,4.80M,,-0.70M,-0.40M,74.40M,11.30M,,,
1999-06,157.80M,,,,-59.50M,,-59.50M,-59.50M,,,,,,,264.10M,,,,,,,362.40M,,-279.70M,,-279.70M,,,,-279.70M,,-3.20M,,-3.20M,8.00M,,8.00M,,-5.50M,,,-0.70M,,405.60M,82.00M,487.60M,,8.00M,,-3.20M,,28.20M,-3.20M,,,
1999-03,95.80M,,,,-56.80M,,-56.80M,-56.80M,,,,,,,271.70M,,,,,,,310.70M,,-289.10M,,-289.10M,,,,-289.10M,,-7.40M,,-7.40M,17.90M,,17.90M,,-5.00M,,,5.50M,,378.50M,27.10M,405.60M,,17.90M,,-7.40M,,1.00M,14.60M,,,
1998-12,100.43M,,,,390.81M,,390.81M,390.81M,,,,,,,-514.29M,,,,,,,193.84M,,-274.10M,,-274.10M,,,,-274.10M,,-1.959M,,-1.959M,8.572M,0.00,8.572M,,0.016M,,,6.629M,,452.20M,-73.63M,378.51M,,8.572M,,-1.959M,0.00,56.20M,-1.10M,,AOR,Restated
1998-09,129.60M,,,,-59.60M,,-59.60M,-59.60M,,,,,,,113.90M,,,,,,,183.90M,,-201.20M,,-201.20M,,,,-201.20M,,-4.90M,,-4.90M,9.90M,-100.00M,-90.10M,,-2.60M,,-0.10M,-97.70M,,567.20M,-115.00M,452.20M,,9.90M,,-4.90M,-100.00M,59.90M,14.10M,,,
1998-06,133.40M,,,,-54.00M,,-54.00M,-54.00M,,,,,,,213.70M,,,,,,,293.10M,,-235.80M,,-235.80M,,,,-235.80M,,-1.90M,,-1.90M,7.00M,,7.00M,,-2.30M,,0.10M,2.90M,,506.90M,60.20M,567.20M,,7.00M,,-1.90M,,30.70M,-0.40M,,,
1998-03,70.00M,,,,-52.00M,,-52.00M,-52.00M,,,,,,,197.30M,,,,,,,215.30M,,-236.00M,,-236.00M,,,,-236.00M,,-110.10M,,-110.10M,18.80M,,18.80M,,-4.40M,,,-95.70M,,623.30M,-116.40M,506.90M,,18.80M,,-110.10M,,0.60M,20.80M,,,
1997-12,80.57M,,,,341.37M,,341.37M,341.37M,,,,,,,-336.91M,,,,,,,169.69M,,-111.43M,,-111.43M,,,,-111.43M,,-2.501M,,-2.501M,13.44M,,13.44M,,0.007M,,,10.94M,,554.10M,69.20M,623.34M,,13.44M,-0.036M,-2.465M,,34.10M,0.00,,AOR,
1997-09,92.50M,,,,-49.90M,,-49.90M,-49.90M,,,,,,,84.20M,,,,,,,126.80M,,-165.00M,,-165.00M,,,,-165.00M,,-3.60M,,-3.60M,19.90M,,19.90M,,-1.70M,,,14.60M,,577.80M,-23.60M,554.10M,,19.90M,0.00,-3.60M,,59.90M,19.80M,,,
1997-06,93.80M,,,,-47.50M,,-47.50M,-47.50M,,,,,,,174.30M,,,,,,,220.60M,,-296.60M,,-296.60M,,,,-296.60M,,-1.70M,,-1.70M,4.60M,,4.60M,,-1.70M,,0.20M,1.40M,,652.40M,-74.60M,577.80M,,4.60M,0.00,-1.70M,,12.90M,1.80M,,,
1997-03,50.90M,,,,-48.40M,,-48.40M,-48.40M,,,,,,,91.00M,,,,,,,93.50M,,-115.90M,,-115.90M,,,,-115.90M,,93.90M,,93.90M,2.40M,,2.40M,,-3.20M,,-0.20M,92.90M,,581.80M,70.50M,652.40M,,2.40M,98.80M,-4.90M,,0.20M,20.80M,,,
1996-12,28.14M,,,,319.77M,,319.77M,319.77M,,,,,,,-232.64M,,,,,,,169.33M,,-182.13M,,-182.13M,,,,-182.13M,,-1.595M,,-1.595M,2.292M,,2.292M,,-0.016M,,0.00,0.681M,,594.00M,-12.12M,581.84M,,2.292M,,-1.595M,,8.00M,1.40M,,AOR,
1996-09,60.90M,,,,-46.20M,,-46.20M,-46.20M,,,,,,,67.30M,,,,,,,82.00M,,-161.60M,,-161.60M,,,,-161.60M,,-3.00M,,-3.00M,1.80M,,1.80M,,-1.60M,,198.00M,195.20M,,478.30M,115.60M,594.00M,,1.80M,,-3.00M,,36.50M,17.30M,,,
1996-06,85.30M,,,,-46.10M,,-46.10M,-46.10M,,,,,,,183.00M,,,,,,,222.20M,,-201.30M,,-201.30M,,,,-201.30M,,-1.50M,,-1.50M,4.00M,,4.00M,,-1.60M,,131.90M,132.80M,,324.70M,153.70M,478.30M,,4.00M,,-1.50M,,21.50M,0.50M,,,
1996-03,33.00M,,,,-44.00M,,-44.00M,-44.00M,,,,,,,152.70M,,,,,,,141.70M,,-132.40M,,-132.40M,,,,-132.40M,,-6.60M,,-6.60M,7.50M,,7.50M,,-3.00M,,0.10M,-2.00M,,317.40M,7.30M,324.70M,,7.50M,,-6.60M,,0.40M,17.40M,,,
1995-12,43.30M,,,,-35.40M,,-35.40M,-35.40M,,,,,,,-23.30M,,,,,,,108.50M,,-156.50M,,-156.50M,,,,-156.50M,,-2.60M,,-2.60M,2.20M,,2.20M,,0.00,,0.00,-0.40M,,365.80M,-48.40M,317.40M,,2.20M,0.00,-2.60M,,21.60M,-0.10M,,AOR,
1995-09,67.70M,,,,-38.80M,,-38.80M,-38.80M,,,,,,,20.80M,,,,,,,49.70M,,-213.80M,,-213.80M,,,,-213.80M,,-2.80M,,-2.80M,3.20M,,3.20M,,-1.40M,,130.00M,129.00M,,400.90M,-35.10M,365.80M,,3.20M,0.00,-2.80M,,44.50M,14.30M,,,
1995-06,59.80M,,,,-38.30M,,-38.30M,-38.30M,,,,,,,172.30M,,,,,,,193.80M,,-157.00M,,-157.00M,,,,-157.00M,,-1.60M,,-1.60M,2.80M,,2.80M,,-1.40M,,191.50M,191.30M,,172.70M,228.10M,400.90M,,2.80M,0.00,-1.60M,,6.00M,-2.10M,,,
1995-03,11.80M,,,,-37.30M,,-37.30M,-37.30M,,,,,,,129.90M,,,,,,,104.40M,,-201.30M,,-201.30M,,,,-201.30M,,95.40M,,95.40M,2.50M,,2.50M,,-2.90M,,0.10M,95.10M,,174.50M,-1.80M,172.70M,,2.50M,98.80M,-3.40M,,1.80M,13.20M,,,
1994-12,20.30M,,,,-20.30M,,-20.30M,-20.30M,,,,,,,-32.00M,,,,,,,78.40M,,-174.70M,,-174.70M,,,,-174.70M,,-0.70M,,-0.70M,2.00M,,2.00M,,-1.40M,,0.10M,0.00,,270.90M,-96.30M,174.60M,,2.00M,,-0.70M,,16.20M,-3.10M,,AOR,
1994-09,58.60M,,,,-36.30M,,-36.30M,-36.30M,,,,,,,59.80M,,,,,,,82.10M,,-240.40M,,-240.40M,,,,-240.40M,,-2.90M,,-2.90M,2.00M,,2.00M,,-1.40M,,315.00M,312.70M,,116.60M,154.40M,270.90M,,2.00M,,-2.90M,,26.80M,13.10M,,,
1994-06,58.60M,,,,-33.80M,,-33.80M,-33.80M,,,,,,,104.80M,,,,,,,129.60M,,-252.20M,,-252.20M,,,,-252.20M,,-1.60M,,-1.60M,2.10M,,2.10M,,-1.50M,,,-1.00M,,,-179.00M,116.60M,,2.10M,,-1.60M,,37.50M,16.60M,,,
1994-03,41.80M,,,,-32.50M,,-32.50M,-32.50M,,,,,,,113.30M,,,,,,,122.60M,,-121.30M,,-121.30M,,,,-121.30M,,-57.90M,,-57.90M,2.60M,,2.60M,,-1.40M,,,-56.70M,,295.60M,,,,2.60M,,-57.90M,,,,,,
1993-12,45.80M,,,,-36.10M,,-36.10M,-36.10M,,,,,,,-8.10M,,,,,,,141.50M,,-128.00M,,-128.00M,,,,-128.00M,,-84.20M,,-84.20M,1.70M,,1.70M,,-1.40M,,,6.20M,,,,,,1.70M,-72.20M,-12.00M,,,,,,
1993-09,43.90M,,,,-29.60M,,-29.60M,-29.60M,,,,,,,131.30M,,,,,,,145.60M,,-280.90M,,-280.90M,,,,-280.90M,,-15.50M,,-15.50M,3.70M,,3.70M,,-2.70M,,,-14.50M,,,,,,3.70M,90.00M,-105.50M,,,,,,
1993-06,41.90M,,,,-27.40M,,-27.40M,-27.40M,,,,,,,32.90M,,,,,,,47.40M,,-5.40M,,-5.40M,,,,-5.40M,,10.30M,,10.30M,-0.40M,,-0.40M,,0.00,,,9.90M,,,,,,-0.40M,-90.00M,100.30M,,,,,,
1993-03,22.70M,,,,-26.20M,,-26.20M,-26.20M,,,,,,,61.70M,,,,,,,58.20M,,-109.90M,,-109.90M,,,,-109.90M,,-12.90M,,-12.90M,1.70M,,1.70M,,-1.30M,,,-12.50M,,411.00M,,,,1.70M,90.00M,-102.90M,,,,,,
1992-12,27.10M,,,,-27.10M,,-27.10M,-27.10M,,,,,,,8.50M,,,,,,,106.70M,,-74.20M,,-73.90M,,,,-73.90M,,-2.50M,,-2.50M,1.10M,,1.00M,,-1.30M,,,117.10M,,,,,,1.10M,0.00,-2.50M,,,,,,
1992-09,26.90M,,,,-27.20M,,-27.20M,-27.20M,,,,,,,49.10M,,,,,,,48.80M,,-78.00M,,-78.00M,,,,-78.00M,,96.10M,,96.10M,0.60M,,0.60M,,-1.30M,,,95.40M,,,,,,0.60M,98.50M,-2.40M,,,,,,
1992-06,23.50M,,,,-24.60M,,-24.60M,-24.60M,,,,,,,70.00M,,,,,,,68.90M,,-174.20M,,-174.20M,,,,-174.20M,,-2.60M,,-2.60M,0.80M,,0.80M,,-1.20M,,,-3.00M,,,,,,0.80M,,-2.60M,,,,,,
1992-03,13.50M,,,,-22.30M,,-22.30M,-22.30M,,,,,,,48.90M,,,,,,,40.10M,,-82.80M,,-82.80M,,,,-82.80M,,-1.90M,,-1.90M,88.00M,,88.00M,,-1.10M,,,85.00M,,260.90M,,,,88.00M,,-1.90M,,,,,,
1991-12,8.80M,,,,-23.40M,,-23.40M,-23.40M,,,,,,,59.00M,,,,,,,33.40M,,-80.10M,,-80.00M,,,,-80.00M,,-35.20M,,-35.20M,,,,,-1.00M,,132.60M,96.40M,,,,,,,-33.70M,-1.50M,,,,,,
1991-09,15.70M,,,,-21.70M,,-21.70M,-21.70M,,,,,,,38.70M,,,,,,,32.70M,,-146.70M,,-146.70M,,,,-146.70M,,197.10M,,197.10M,,,,,-1.10M,,0.40M,196.40M,,,,,,,198.40M,-1.30M,,,,,,
1991-06,10.60M,,,,-20.80M,,-20.80M,-20.80M,,,,,,,57.30M,,,,,,,47.10M,,-78.10M,,-78.10M,,,,-78.10M,,8.30M,,8.30M,,,,,-1.00M,,-0.30M,7.00M,,,,,,,10.00M,-1.70M,,,,,,
1991-03,-8.20M,,,,-20.30M,,-20.30M,-20.30M,,,,,,,18.50M,,,,,,,-10.00M,,-36.20M,,-36.20M,,,,-36.20M,,112.60M,,112.60M,,,,,-1.10M,,-0.10M,111.40M,,87.50M,,,,,121.70M,-9.10M,,,,,,
1990-12,-4.60M,,,,-20.30M,,-20.30M,-20.30M,,,,,,,41.60M,,,,,,,2.60M,,-111.10M,,-108.60M,,,,-108.70M,,70.10M,,70.10M,,0.00,0.00,,-1.00M,,-0.20M,68.90M,,,,,,,78.00M,-7.90M,0.00,,,,,
1990-09,23.10M,,,,-20.10M,,-20.10M,-20.10M,,,,,,,23.30M,,,,,,,26.30M,,-60.10M,,-60.10M,,,,-60.10M,,106.30M,,106.30M,,-3.50M,-3.50M,,-1.10M,,-0.10M,101.60M,,,,,,,122.00M,-15.70M,-3.50M,,,,,
1990-06,23.50M,,,,-19.90M,,-19.90M,-19.90M,,,,,,,67.00M,,,,,,,70.60M,,-89.70M,,-89.70M,,,,-89.70M,,2.60M,,2.60M,,-11.30M,-11.30M,,-1.00M,,0.10M,-9.60M,,,,,,,4.20M,-1.60M,-11.30M,,,,,
1990-03,5.10M,,,,-19.10M,,-19.10M,-19.10M,,,,,,,26.40M,,,,,,,12.40M,,-56.80M,,-56.80M,,,,-56.80M,,-4.60M,,-4.60M,,-10.80M,-10.80M,,-1.00M,,,-16.40M,,146.40M,,,,,,-4.60M,-10.80M,,,,,
1989-12,8.20M,,,,-19.00M,,-19.00M,-19.00M,,,,,,,12.70M,,,,,,,41.10M,,-50.10M,,-49.50M,,,,-49.50M,,-39.20M,,-39.20M,,19.70M,19.70M,,-1.00M,,0.10M,-20.40M,,,,,,,,-39.20M,19.70M,,,,,
1989-09,24.50M,,,,-18.70M,,-18.70M,-18.70M,,,,,,,38.00M,,,,,,,43.80M,,-65.00M,,-65.00M,,,,-65.00M,,-2.50M,,-2.50M,,0.00,0.00,,-1.10M,,46.70M,43.10M,,,,,,,,-2.50M,0.00,,,,,
1989-06,19.30M,,,,-17.70M,,-17.70M,-17.70M,,,,,,,44.50M,,,,,,,46.10M,,-75.50M,,-75.50M,,,,-75.50M,,-1.10M,,-1.10M,,0.00,0.00,,-1.00M,,0.00,-2.10M,,,,,,,,-1.10M,0.00,,,,,
1989-03,19.60M,,,,-16.90M,,-16.90M,-16.90M,,,,,,,34.30M,,,,,,,37.00M,,-71.30M,,-71.30M,,,,-71.30M,,-4.60M,,-4.60M,,-29.70M,-29.70M,,-1.10M,,44.50M,9.10M,,210.00M,,,,,,-4.60M,-29.70M,,,,,
