,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-07,2.192B,2.192B,1.500B,691.97M,,614.95M,69.25M,,,,,614.95M,77.02M,,,,69.25M,,126.55M,55.00M,71.55M,,,-11.30M,71.55M,30.00M,162.39M,85.38M,77.02M,0.17,0.0,,0.0728,0.17,0.16,0.0,,0.0647,0.16,427.59M,435.83M,0.075
2001-04,2.127B,2.127B,1.456B,670.55M,,607.79M,5.906M,,,,,607.79M,62.76M,,,,5.906M,,54.69M,24.00M,30.69M,,,-5.685M,30.69M,27.15M,128.08M,65.32M,62.76M,0.07,0.0,,0.0619,0.07,0.07,0.0,,0.0619,0.07,438.44M,438.44M,0.075
2001-01,2.539B,2.539B,1.734B,805.60M,,543.23M,-61.22M,,,,,358.30M,447.29M,,,,-61.22M,,386.25M,169.00M,217.25M,,,-35.33M,238.25M,253.98M,523.37M,76.07M,447.29M,0.51,0.0466,,0.581,0.51,0.49,0.0446,,0.557,0.49,517.43M,548.42M,0.075
2000-10,2.169B,2.169B,1.365B,804.18M,,637.96M,6.85M,,,,,702.06M,102.12M,,,,6.85M,,87.23M,38.00M,49.23M,,,-6.911M,49.23M,45.12M,166.22M,62.17M,102.12M,0.12,0.0,,0.1103,0.12,0.11,0.0,,0.1007,0.11,425.58M,441.37M,0.075
2000-07,2.289B,2.289B,1.547B,742.42M,,585.34M,11.06M,,,,,585.34M,157.07M,,,,11.06M,,139.57M,62.00M,77.57M,,,-15.90M,77.57M,70.93M,225.17M,68.10M,157.07M,0.18,0.0,,0.1645,0.18,0.17,0.0,,0.1551,0.17,428.62M,446.23M,0.075
2000-04,2.125B,2.125B,1.427B,698.05M,,571.00M,9.77M,,,,,571.00M,127.05M,,,,9.77M,,111.95M,49.00M,62.95M,,,-10.86M,62.95M,57.09M,191.71M,64.66M,127.05M,0.15,0.0,,0.1364,0.15,0.14,0.0,,0.1268,0.14,430.48M,445.31M,0.075
2000-01,3.329B,3.329B,2.014B,1.315B,,638.10M,40.60M,,,,,701.80M,613.40M,,,,40.60M,,587.30M,253.00M,334.30M,,,-46.00M,334.30M,309.94M,677.10M,63.70M,613.40M,0.69,,,0.6473,0.69,0.66,,,0.6176,0.66,570.94M,575.02M,0.075
1999-10,2.064B,2.064B,1.322B,742.10M,,585.10M,20.70M,,,,,649.60M,92.50M,,,,20.70M,,86.70M,46.00M,40.70M,,,-6.00M,40.70M,28.28M,157.00M,64.50M,92.50M,0.1,0.0,,0.0695,0.1,0.09,0.0,,0.0625,0.09,407.00M,452.22M,0.075
1999-07,2.268B,2.268B,1.466B,802.10M,,602.10M,-0.60M,,,,,670.50M,131.60M,,,,-0.60M,,97.40M,45.00M,52.40M,,,-13.60M,52.40M,52.76M,200.00M,68.40M,131.60M,0.12,0.0,,0.1208,0.12,0.11,0.0,,0.1108,0.11,460.45M,460.45M,0.075
1999-04,2.105B,2.105B,1.369B,735.60M,,590.80M,15.30M,,,,,666.20M,69.40M,,,,15.30M,,60.50M,27.00M,33.50M,,,-7.40M,33.50M,24.32M,144.80M,75.40M,69.40M,0.08,0.0,,0.0581,0.08,0.07,0.0,,0.0508,0.07,418.75M,478.57M,0.075
1999-01,3.274B,3.274B,2.080B,1.194B,,651.90M,15.60M,,,,,723.80M,470.10M,,,,15.60M,,429.30M,186.00M,243.30M,,,-36.90M,243.30M,233.94M,542.00M,71.90M,470.10M,0.58,,,0.5593,0.58,0.56,,,0.5399,0.56,452.11M,465.68M,0.065
1998-10,2.000B,2.000B,1.313B,686.50M,,535.80M,12.60M,,,,,605.50M,81.00M,,,,12.60M,,70.40M,31.00M,39.40M,,,-6.10M,39.40M,31.84M,150.70M,69.70M,81.00M,0.09,0.0,,0.0727,0.09,0.09,0.0,,0.0727,0.09,437.78M,437.78M,0.065
1998-07,2.083B,2.083B,1.399B,684.40M,,538.30M,1.667B,,,,,608.00M,76.40M,,,,1.667B,,1.714B,30.00M,1.684B,,,-12.60M,1.684B,46.47M,146.10M,69.70M,76.40M,3.57,0.0,,0.0985,3.57,3.47,0.0,,0.0957,3.47,471.79M,485.39M,0.065
