,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2001-09,30.44M,30.44M,,,,1.913M,,,6.08M,-6.08M,1.373M,10.37M,20.07M,6.08M,-6.08M,,-6.08M,,,16.79M,0.393M,,2.428M,17.19M,16.79M,20.07M,,2001-09,0.24,0.01,,2001-09,0.24,0.01,0.24,2001-09,59.51M,59.61M,2001-09,AOR,Restated
2001-06,30.09M,29.93M,,,1.866M,1.866M,,-10.03M,,,17.62M,16.61M,13.31M,,,0.325M,,,,11.05M,,,2.428M,13.48M,13.28M,13.31M,,2001-06,0.195,0.00,,2001-06,0.195,0.00,0.1916,2001-06,56.66M,56.66M,2001-06,AOR,
2001-03,31.56M,31.56M,,,2.04M,2.04M,,,,,9.793M,19.04M,12.52M,,,,,,,16.04M,,,2.428M,18.47M,18.47M,12.52M,,2001-03,0.30,0.00,,2001-03,0.30,0.00,0.30,2001-03,53.48M,53.48M,2001-03,AOR,
2000-12,33.99M,19.64M,,,,1.486M,,-10.40M,,,,-81.52M,101.16M,,,5.089M,,,,15.76M,,,2.428M,16.66M,5.421M,101.16M,,2000-12,0.1193,0.1541,,2000-12,0.1193,,0.0624,2000-12,53.64M,53.64M,2000-12,AOR,Restated
2000-09,30.12M,29.88M,,,1.863M,1.863M,,-9.581M,,,18.57M,17.76M,12.12M,,,0.789M,,,,9.923M,,,2.428M,12.35M,11.88M,12.12M,,2000-09,0.185,0.00,,2000-09,0.185,0.00,0.1762,2000-09,53.64M,53.64M,2000-09,AOR,
2000-06,29.38M,28.44M,,,1.735M,1.735M,,-9.045M,,,16.98M,16.52M,11.92M,,,0.938M,,,,10.44M,,,2.428M,12.86M,12.30M,11.92M,,2000-06,0.195,0.00,,2000-06,0.195,0.00,0.1845,2000-06,53.51M,53.51M,2000-06,AOR,
2000-03,28.36M,28.36M,,,,,0.662M,-8.947M,,,,-8.947M,37.30M,,,0.662M,,,,12.91M,,,2.428M,12.91M,12.51M,37.30M,,2000-03,0.195,0.00,,2000-03,0.195,0.00,0.1876,2000-03,53.63M,53.63M,2000-03,AOR,
1999-12,20.86M,20.86M,,,,,,,,,,78.25M,-57.39M,,,,,,,7.812M,,,2.429M,12.74M,7.457M,-57.39M,,1999-12,0.0960,0.0985,,1999-12,0.0960,0.0985,0.0960,1999-12,53.86M,53.86M,1999-12,AOR,Restated
1999-09,28.10M,28.10M,,,1.80M,1.80M,,-9.00M,,,,-7.20M,35.30M,,,1.20M,,,,13.10M,,,2.20M,13.10M,12.38M,35.30M,,1999-09,0.205,0.00,,1999-09,0.205,0.00,0.1915,1999-09,53.17M,53.17M,1999-09,,
1999-06,24.90M,24.90M,,,1.80M,1.80M,,-8.50M,,,,-6.70M,31.60M,,,,,,,10.40M,,,0.60M,10.40M,10.40M,31.60M,,1999-06,0.185,0.00,,1999-06,0.185,0.00,0.185,1999-06,52.97M,52.97M,1999-06,,
1999-03,24.02M,24.02M,,,1.646M,1.646M,,-8.177M,,,,-6.531M,30.56M,,,,,,,9.929M,,,,9.929M,9.929M,30.56M,,1999-03,0.185,0.00,,1999-03,0.185,0.00,0.185,1999-03,53.64M,53.65M,1999-03,,
1998-12,20.73M,20.73M,,,,,,,,,,60.98M,-40.25M,,,,,,,9.073M,,,,10.60M,8.847M,-40.25M,,1998-12,0.195,0.00,,1998-12,0.195,0.00,0.195,1998-12,54.25M,54.31M,1998-12,AOR,Restated
1998-09,21.80M,21.80M,,,1.70M,1.70M,,-7.80M,,,,-6.10M,27.90M,,,,,,,10.50M,,,,10.50M,10.50M,27.90M,,1998-09,0.195,0.00,,1998-09,0.195,0.00,0.195,1998-09,53.85M,53.85M,1998-09,,
1998-06,20.60M,20.60M,,,1.70M,1.70M,,-7.50M,,,,-5.80M,26.40M,,,0.30M,,,,10.30M,,,,10.30M,10.12M,26.40M,,1998-06,0.185,0.00,,1998-06,0.185,0.00,0.1818,1998-06,55.68M,55.68M,1998-06,,
