,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-12,722.88M,722.88M,204.61M,518.27M,19.75M,25.42M,,,,299.73M,439.09M,79.18M,,,,19.75M,,50.78M,6.148M,44.63M,4.459M,,,49.09M,27.27M,79.18M,,2003-12,0.49,0.05,0.2998,0.54,,2003-12,0.49,,0.2999,0.54,91.27M,91.32M,0.45,,2003-12,,
2003-09,831.00M,831.00M,292.95M,538.05M,-2.067M,28.21M,,,,202.24M,340.69M,197.36M,,,,-2.067M,,158.62M,49.96M,108.66M,1.388M,,,110.05M,110.08M,197.36M,,2003-09,1.19,0.02,1.206,1.21,,2003-09,1.19,,1.205,1.20,91.27M,91.47M,0.425,,2003-09,,
2003-06,683.30M,683.30M,197.62M,485.68M,-3.595M,28.15M,,,,217.97M,353.20M,132.48M,,,,-3.595M,,90.14M,35.25M,54.89M,1.253M,,,56.14M,57.08M,132.48M,,2003-06,0.60,0.02,0.6240,0.62,,2003-06,0.60,,0.6239,0.61,91.26M,91.45M,0.425,,2003-06,,
2003-03,552.64M,552.64M,167.00M,385.65M,1.524M,28.50M,,,,182.50M,316.39M,69.26M,,,,1.524M,,32.91M,12.75M,20.15M,5.145M,,,25.30M,19.22M,69.26M,,2003-03,0.22,0.06,0.2098,0.28,,2003-03,0.22,,0.2098,0.28,91.26M,91.36M,0.425,,2003-03,,
2002-12,440.50M,440.50M,-1.333M,441.83M,1.718M,26.80M,,,,239.16M,378.15M,63.68M,,,,1.718M,,20.05M,6.257M,13.80M,-28.68M,,,-80.63M,12.61M,63.68M,,2002-12,0.16,-1.11,0.1461,-0.95,,2002-12,0.15,,0.1361,-0.95,85.31M,85.31M,0.425,,2002-12,,
2002-09,871.39M,871.39M,300.84M,570.54M,-9.567M,26.76M,,,,222.62M,358.05M,212.49M,,,,-9.567M,,166.56M,65.85M,100.71M,0.203M,,,100.92M,106.50M,212.49M,,2002-09,1.19,0.00,1.258,1.19,,2002-09,1.19,,1.258,1.19,84.77M,84.80M,0.40,,2002-09,,
2002-06,714.94M,714.94M,234.52M,480.42M,-7.693M,27.63M,,,,185.21M,314.93M,165.49M,,,,-7.693M,,124.81M,49.44M,75.36M,,,,75.36M,80.01M,165.49M,,2002-06,0.89,0.00,0.9448,0.89,,2002-06,0.89,,0.9447,0.89,84.79M,84.93M,0.40,,2002-06,,
2002-03,620.96M,620.96M,221.04M,399.92M,1.088M,26.76M,,,,154.79M,281.46M,118.46M,,,,1.088M,,88.98M,35.23M,53.76M,,,,53.76M,53.10M,118.46M,,2002-03,0.63,0.00,0.6222,0.63,,2002-03,0.63,,0.6223,0.63,84.74M,84.88M,0.40,,2002-03,,
2001-12,-238.26M,-238.26M,-649.25M,411.00M,9.105M,20.97M,,,,191.30M,321.33M,89.67M,,,,9.105M,,60.48M,24.67M,35.81M,,0.00,,35.81M,30.34M,89.67M,,2001-12,0.42,0.00,0.3558,0.42,,2001-12,0.42,,0.3558,0.42,85.12M,85.12M,0.40,,2001-12,,
2001-09,1.161B,1.161B,533.50M,627.28M,-2.965M,29.34M,,,,191.26M,328.52M,298.75M,,,,-2.965M,,266.60M,104.10M,162.50M,,-12.45M,,150.05M,164.31M,298.75M,,2001-09,1.92,-0.15,1.941,1.77,,2001-09,1.91,,1.931,1.77,84.72M,84.91M,0.375,,2001-09,,
2001-06,1.294B,1.294B,858.76M,435.06M,3.237M,25.46M,,,,164.58M,296.17M,138.89M,,,,3.237M,,110.83M,43.97M,66.86M,,,,66.86M,64.90M,138.89M,,2001-06,0.79,0.00,0.7670,0.79,,2001-06,0.79,,0.7670,0.79,84.74M,85.04M,0.375,,2001-06,,
2001-03,938.83M,938.83M,516.42M,422.40M,-0.738M,25.30M,,,,156.26M,286.34M,136.06M,,,,-0.738M,,103.00M,40.80M,62.20M,,,,59.45M,62.65M,136.06M,,2001-03,0.70,0.00,0.7053,0.70,,2001-03,0.70,-0.0325,0.7052,0.70,84.73M,84.97M,0.375,,2001-03,,
2000-12,838.15M,838.15M,439.56M,398.59M,-13.97M,23.14M,,,,152.10M,276.04M,122.55M,,,,-13.97M,,72.10M,29.78M,42.31M,,,,42.31M,50.69M,122.55M,,2000-12,0.50,0.00,0.5989,0.50,,2000-12,0.50,,0.5986,0.50,84.73M,85.04M,0.375,,2000-12,,
2000-09,1.607B,1.607B,1.079B,527.92M,-14.78M,25.64M,,,,147.65M,271.92M,256.00M,,,,-14.78M,,203.69M,87.64M,116.05M,,,,116.05M,124.92M,256.00M,,2000-09,1.37,0.00,1.475,1.37,,2000-09,1.37,,1.474,1.37,84.74M,85.01M,0.35,,2000-09,,
2000-06,756.55M,756.55M,289.78M,466.76M,-6.98M,25.61M,,,,142.06M,265.61M,201.15M,,,,-6.98M,,155.51M,65.61M,89.90M,,,,89.90M,94.09M,201.15M,,2000-06,1.06,0.00,1.109,1.06,,2000-06,1.06,,1.109,1.06,84.73M,84.89M,0.35,,2000-06,,
2000-03,488.12M,488.12M,126.00M,362.12M,35.54M,25.39M,,,,143.42M,265.85M,96.27M,,,,35.54M,,94.89M,40.82M,54.07M,,,,54.07M,32.74M,96.27M,,2000-03,0.64,0.00,0.3883,0.64,,2000-03,0.64,,0.3886,0.64,84.73M,84.83M,0.35,,2000-03,,
1999-12,546.45M,546.45M,167.70M,378.75M,11.70M,12.10M,,,,165.40M,280.80M,97.95M,,,,11.70M,,70.20M,25.40M,44.80M,0.00,,0.00,44.80M,37.33M,97.95M,,1999-12,0.53,0.01,0.4394,0.54,,1999-12,0.53,-0.0149,0.4425,0.53,82.41M,85.35M,0.35,,1999-12,,
1999-09,894.20M,894.20M,396.60M,497.60M,1.00M,25.50M,,,,128.30M,257.50M,240.10M,,,,1.00M,,203.70M,78.10M,125.60M,38.00M,,,23.70M,124.98M,240.10M,,1999-09,1.48,-1.20,1.473,0.28,,1999-09,1.48,-1.653,1.473,0.28,84.64M,84.64M,0.325,,1999-09,,
1999-06,544.13M,544.13M,134.76M,409.38M,0.399M,25.36M,,,,137.66M,260.41M,148.97M,,,,0.399M,,112.45M,43.75M,68.70M,,,,68.70M,68.46M,148.97M,,1999-06,0.81,0.00,0.8071,0.81,,1999-06,0.81,,0.8071,0.81,84.72M,85.09M,0.325,,1999-06,,
1999-03,438.52M,438.52M,99.20M,339.32M,-2.50M,29.40M,,,,113.00M,247.60M,91.72M,,,,-2.50M,,51.60M,20.90M,30.70M,,,-1.00M,30.70M,32.20M,91.72M,,1999-03,0.36,0.00,0.3776,0.36,,1999-03,0.36,,0.3776,0.36,85.28M,85.28M,0.325,,1999-03,,
1998-12,486.40M,486.40M,,,,,,,,,,-1.077B,,,,,,,,35.50M,,,,35.50M,35.50M,-1.077B,,1998-12,0.42,0.00,0.42,0.42,,1998-12,0.42,,0.42,0.42,85.14M,85.33M,0.325,,1998-12,,
1998-09,759.00M,759.00M,,,,,,,,,,759.00M,,,,,,,,127.30M,,,,127.30M,127.30M,759.00M,,1998-09,1.50,0.00,1.50,1.50,,1998-09,1.49,,1.49,1.49,84.87M,85.44M,0.30,,1998-09,,
1998-06,470.60M,470.60M,95.60M,375.00M,0.20M,29.90M,,,,120.50M,252.40M,122.60M,,,,0.20M,,82.80M,33.80M,49.00M,,,-2.40M,49.00M,48.88M,122.60M,,1998-06,0.58,0.00,0.5786,0.58,,1998-06,0.57,,0.5686,0.57,84.48M,85.96M,0.30,,1998-06,,
