,NetIncome,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2002-09,30.40M,273.89M,,,,,-99.31M,35.44M,61.66M,,,-2.21M,,302.08M,,-58.19M,15.43M,-42.76M,-458.23M,-183.96M,-30.80M,-715.75M,,,,497.21M,0.00,-62.80M,-62.80M,,-67.75M,,,366.66M,,628.75M,-47.01M,18.35M,600.09M,,0.00,,,-62.80M,,,
2002-06,214.30M,84.96M,,,,,-72.60M,-48.55M,74.38M,,,-46.77M,,252.49M,,-60.59M,-15.43M,-76.02M,-192.28M,-61.22M,22.39M,-307.13M,,,,-81.05M,598.34M,-7.62M,590.72M,,-64.44M,,,445.23M,,238.16M,390.59M,,628.75M,,598.34M,,,-7.62M,,,
2002-03,150.20M,75.19M,,,,,-180.78M,5.91M,85.74M,,,-89.13M,,136.26M,,-56.67M,15.43M,-41.24M,-10.28M,-16.72M,-4.91M,-73.15M,,,,-51.25M,,-21.38M,-21.38M,,-64.31M,,,-136.94M,,311.99M,-73.83M,,238.16M,,,,,-21.38M,,,
2001-12,127.50M,-596.54M,-70.00M,199.49M,199.49M,,77.99M,73.72M,39.67M,,,191.38M,,413.58M,,-73.84M,42.46M,-31.38M,-15.41M,,126.70M,77.77M,,,,-245.69M,,-15.71M,-15.71M,,-64.27M,,,-325.67M,,146.31M,165.68M,,311.99M,,,,,-15.71M,,,
2001-09,-183.00M,489.18M,23.90M,23.90M,23.90M,,-36.28M,52.99M,-6.65M,,,10.06M,,340.14M,,-67.78M,189.63M,121.85M,-340.00M,,-44.24M,-262.39M,,,,64.26M,,-42.21M,-42.21M,,-59.98M,,,-37.93M,,106.49M,39.82M,,146.31M,,,,,-42.21M,,,
2001-06,139.00M,76.59M,23.10M,23.10M,23.10M,,-31.83M,-33.57M,71.33M,,,5.93M,,244.62M,,-67.55M,,-67.55M,-156.03M,,-52.37M,-275.95M,,,,117.43M,,-9.27M,-9.27M,,-59.77M,,,48.39M,,89.43M,17.06M,,106.49M,,,,,-9.27M,,,
2001-03,115.00M,0.30M,23.00M,23.00M,23.00M,,-96.63M,-45.56M,-27.81M,,,-170.00M,,-31.70M,,-65.26M,,-65.26M,-77.62M,,-63.12M,-206.00M,,,,265.63M,,-48.14M,-48.14M,,-59.79M,,,157.70M,,169.43M,-80.00M,,89.43M,,,,,-48.14M,,,
2000-12,44.90M,-69.76M,,190.53M,190.53M,,105.71M,5.53M,-118.02M,,,-84.14M,,241.39M,,-134.53M,,-134.53M,-76.63M,,126.92M,-84.24M,,,,29.82M,0.04M,-181.70M,-181.66M,,-55.20M,,38.09M,-168.95M,,181.23M,-11.80M,,169.43M,,0.04M,,,-181.70M,,,
2000-09,187.40M,8.73M,,17.70M,17.70M,,-0.16M,15.06M,62.63M,,,77.53M,,291.36M,,-83.66M,,-83.66M,-2.20M,,-119.59M,-205.45M,,,,-32.00M,156.00M,-57.19M,98.81M,,-56.22M,,-38.09M,-27.50M,,122.82M,58.41M,,181.23M,,156.00M,,,-57.19M,,,
2000-06,185.40M,-5.93M,,15.90M,15.90M,,15.89M,-45.78M,17.08M,,,-12.81M,,182.56M,,-83.73M,,-83.73M,-339.59M,,-77.22M,-500.54M,,,,441.05M,,-20.56M,-20.56M,,-53.91M,,,366.58M,,74.22M,48.60M,,122.82M,,,,,-20.56M,,,
2000-03,174.00M,-22.99M,,14.20M,14.20M,,-133.53M,-64.62M,51.47M,,,-146.68M,,18.53M,,-86.11M,,-86.11M,-170.36M,,-128.41M,-384.88M,,,,263.14M,,,,,-53.35M,,,209.79M,,230.78M,-156.56M,,74.22M,,,,,,,,
1999-12,178.70M,-65.30M,,150.10M,150.10M,-64.90M,67.80M,-4.70M,-34.20M,,-29.90M,-1.00M,,202.80M,,-106.00M,,-106.00M,,,51.00M,-55.00M,,,,-7.30M,,0.40M,0.40M,,-53.40M,,-2.20M,-62.50M,,145.50M,85.30M,,230.80M,,,,,0.40M,,,
1999-09,128.00M,12.20M,,13.40M,13.40M,64.90M,-104.00M,-33.60M,41.40M,,,-96.20M,,122.30M,,-511.90M,,-511.90M,,,-32.70M,-544.60M,,,,501.60M,,0.00,0.00,,-37.10M,,13.60M,478.10M,,78.40M,55.80M,,145.50M,,,,,0.00,,,
1999-06,111.00M,-16.70M,,10.00M,10.00M,,48.00M,13.10M,7.10M,,-49.90M,18.30M,,122.60M,,-455.50M,,-455.50M,62.70M,,8.90M,-383.90M,,,,116.90M,,-58.00M,-58.00M,,-37.30M,,0.10M,21.70M,,329.30M,-239.60M,,78.40M,,,,,-58.00M,,,
1999-03,151.90M,4.50M,,8.30M,8.30M,,-128.60M,-43.10M,,,49.90M,-121.80M,,42.90M,,-72.50M,,-72.50M,-62.70M,,-13.30M,-148.50M,,,,-32.20M,,-48.80M,-48.80M,,-37.20M,,,-118.20M,,553.20M,-223.80M,,329.30M,,,,,-48.80M,,,
1998-12,137.80M,-124.90M,,136.10M,136.10M,4.20M,73.80M,17.10M,-40.60M,,13.60M,63.90M,,278.80M,,-173.60M,54.60M,-119.00M,,,-25.40M,-144.40M,,,,53.60M,,,,,7.80M,,0.00,-28.70M,,447.50M,105.70M,,553.20M,,,,,,,,
1998-09,199.70M,18.80M,,7.80M,7.80M,-4.20M,-75.60M,-38.80M,60.90M,,-15.80M,-69.30M,,152.80M,,-128.70M,28.40M,-100.30M,,,40.00M,-60.30M,,,,56.00M,,,,,-82.60M,,-44.40M,-71.00M,,0.00,21.50M,,447.50M,,,,,,,,
1998-06,117.00M,-18.80M,,6.80M,6.80M,14.50M,8.70M,-12.40M,,,43.50M,39.80M,,159.30M,,-68.20M,54.60M,-13.60M,,-54.60M,-65.00M,-133.20M,,,,251.40M,,,,,-35.80M,,0.10M,215.70M,,0.00,241.80M,,0.00,,,,,,,,
1998-03,110.60M,,,6.00M,6.00M,-14.50M,-105.80M,-21.80M,,,-27.70M,-155.30M,,-53.20M,,-195.80M,,-195.80M,,54.60M,8.00M,-133.20M,,,,-45.30M,,,,,-34.70M,,-0.10M,-80.10M,,441.30M,-266.50M,,0.00,,,,,,,,
1997-12,167.20M,-95.00M,,118.60M,118.60M,,-7.90M,-31.20M,,34.80M,-13.40M,57.70M,,283.10M,,-112.20M,,-112.20M,,,-41.60M,-153.80M,,,,238.80M,,,,,-34.80M,,-270.40M,-95.50M,,0.00,33.80M,,450.70M,,,,,,,,
1997-09,101.80M,-1.40M,,5.40M,5.40M,,2.40M,-12.00M,,-46.90M,30.30M,-26.20M,,79.60M,,-225.10M,,-225.10M,,,206.50M,-18.60M,,,,37.50M,,,,,-32.40M,,-20.30M,-15.20M,,0.00,45.80M,,0.00,,,,,,,,
1997-06,91.60M,6.70M,,3.80M,3.80M,3.80M,-11.70M,-12.00M,,3.60M,24.70M,4.60M,,110.50M,,-36.60M,,-36.60M,,,-44.00M,-80.60M,,,,8.10M,,,,,-32.40M,,0.10M,-24.20M,,0.00,5.70M,,0.00,,,,,,,,
1997-03,83.50M,3.90M,,3.70M,3.70M,-3.80M,-57.70M,2.50M,,8.50M,-43.60M,-90.30M,,-3.00M,,-28.20M,,-28.20M,,,-60.80M,-89.00M,,,,-22.10M,,,,,-32.10M,,,-54.20M,,473.70M,-146.20M,,0.00,,,,,,,,
1996-12,83.40M,-118.20M,,91.10M,91.10M,,59.20M,5.50M,,-1.40M,-17.50M,84.20M,-736.60M,-599.80M,,-231.20M,,476.40M,,-31.30M,332.90M,778.00M,,,,131.20M,,,,,-32.10M,,0.00,99.10M,,0.00,277.30M,,0.00,,,,,,,,
1996-09,81.80M,4.60M,,3.30M,3.30M,,-27.20M,-9.40M,,1.10M,-1.50M,-37.00M,717.10M,769.80M,,70.40M,,70.40M,,7.40M,-152.90M,-75.10M,,,,-540.80M,,,,,-30.50M,,-0.10M,-571.40M,,0.00,123.30M,,0.00,,,,,,,,
1996-06,68.00M,15.30M,,5.30M,5.30M,,10.30M,-1.00M,,-5.80M,37.50M,41.00M,1.90M,131.50M,,-125.60M,,-125.60M,,23.90M,-4.00M,-105.70M,,,,32.00M,,,,,-30.40M,,-0.10M,1.50M,,0.00,27.30M,,0.00,,,,,,,,
1996-03,62.00M,18.20M,,,,,-49.80M,3.00M,,6.10M,-18.50M,-59.20M,17.60M,38.60M,,-25.20M,,-25.20M,,,-7.20M,-32.40M,,,,9.50M,,,,,-30.50M,,0.10M,-20.90M,,60.50M,-14.70M,,0.00,,,,,,,,
1995-12,-646.50M,,,,,-83.70M,55.20M,34.10M,,-2.20M,-14.60M,114.60M,,177.00M,,0.30M,74.50M,74.80M,,,-127.00M,-52.20M,,,,-94.70M,,,,,-30.60M,,12.50M,-112.80M,,0.00,12.00M,,0.00,,,,,,,,
1995-09,67.10M,,,,,33.10M,-38.90M,38.50M,,-4.50M,24.80M,19.90M,,120.10M,,-51.30M,,-51.30M,,,14.50M,-36.80M,,,,-47.20M,,,,,-28.80M,,-0.10M,-76.10M,,0.00,7.20M,,0.00,,,,,,,,
1995-06,63.40M,,,,,34.00M,22.20M,-28.00M,,1.40M,-30.80M,-35.20M,,62.20M,,-54.50M,-73.80M,-128.30M,,,39.60M,-88.70M,,,,65.80M,,,,,-28.70M,,0.00,37.10M,,0.00,10.60M,,0.00,,,,,,,,
1995-03,74.40M,,,,,16.70M,-95.20M,-58.60M,,5.30M,20.60M,-127.90M,,-36.80M,,-59.60M,73.80M,14.20M,,,21.00M,35.20M,,,,23.90M,,,,,-28.30M,,0.10M,-4.30M,,61.20M,-5.90M,,0.00,,,,,,,,
1994-12,-13.80M,,,,,36.80M,29.90M,-9.10M,52.90M,-6.90M,-42.10M,24.70M,,132.20M,,-59.20M,,-59.20M,,,-146.00M,-205.20M,,,,145.30M,,,,,-28.90M,,,54.70M,,0.00,-18.30M,,0.00,,,,,,,,
1994-09,72.10M,,,,,29.40M,-24.10M,-29.20M,,-0.70M,42.40M,-11.60M,,89.90M,,-40.30M,,-40.30M,,,16.60M,-23.70M,,,,-18.00M,,,,,-27.20M,,,-45.20M,,0.00,21.00M,,0.00,,,,,,,,
1994-06,70.10M,,,,,21.30M,9.10M,-18.50M,3.60M,-1.40M,-0.30M,-7.50M,,83.90M,,-43.40M,,-43.40M,,,-11.80M,-55.20M,,,,10.40M,,,,,-26.60M,,,-16.20M,,0.00,12.50M,,0.00,,,,,,,,
1994-03,65.30M,,,,,20.60M,-68.40M,-17.70M,-3.60M,9.00M,,-80.70M,,5.20M,,-47.70M,,-47.70M,,,-1.70M,-49.40M,,,,-3.50M,,,,,-26.30M,,,-29.80M,,120.00M,-74.00M,,0.00,,,,,,,,
1993-12,57.60M,,,,,-108.80M,43.80M,20.80M,,-8.90M,-41.80M,59.00M,,115.30M,,-65.70M,,-65.70M,,,105.90M,40.20M,,,,-157.60M,,,,,-26.00M,,0.00,-183.60M,,0.00,-28.10M,,0.00,,,,,,,,
1993-09,55.70M,,,,,29.40M,-18.00M,-15.20M,,2.30M,35.70M,4.80M,,89.90M,,-36.70M,,-36.70M,,,1.60M,-35.10M,,,,67.70M,,,,,-24.10M,,-0.10M,43.50M,,0.00,98.30M,,0.00,,,,,,,,
1993-06,53.30M,,,,,23.50M,5.90M,-30.80M,,-0.70M,-9.60M,-35.20M,,41.60M,,-37.00M,,-37.00M,,,6.00M,-31.00M,,,,14.00M,,,,,-24.50M,,,-10.50M,,0.00,0.10M,,0.00,,,,,,,,
1993-03,54.50M,,,,,24.40M,-74.20M,-13.60M,,7.30M,15.70M,-64.80M,,14.10M,,-27.10M,,-27.10M,,,97.20M,70.10M,,,,-55.50M,,,,,-24.40M,,,-79.90M,,45.40M,4.30M,,0.00,,,,,,,,
1992-12,43.00M,,,,,-95.30M,66.20M,16.50M,,,-60.20M,22.50M,,96.30M,,-40.40M,,-40.40M,,,-88.80M,-129.20M,,,,28.20M,,,,,-24.30M,,,3.90M,,0.00,-29.00M,,0.00,,,,,,,,
1992-09,50.80M,,,,,28.40M,-50.20M,-21.00M,,,61.10M,-10.10M,,69.10M,,-33.60M,,-33.60M,,,17.10M,-16.50M,,,,-77.40M,,,,,-22.80M,,-0.10M,-100.30M,,0.00,-47.70M,,0.00,,,,,,,,
1992-06,48.50M,,,,,21.70M,5.30M,-25.00M,,,-2.70M,-22.40M,,47.80M,,-22.60M,,-22.60M,,,-7.20M,-29.80M,,,,91.10M,,,,,-22.90M,,0.10M,68.30M,,0.00,86.30M,,0.00,,,,,,,,
1992-03,40.80M,,,,,32.00M,-73.80M,-5.60M,,,-3.00M,-82.40M,,-9.60M,,-21.10M,,-21.10M,,,-11.60M,-32.70M,,,,38.60M,,,,,-22.70M,,,15.90M,,62.10M,-26.40M,,0.00,,,,,,,,
1991-12,-27.70M,,,,,-13.10M,36.30M,1.80M,,,21.80M,59.90M,,118.20M,,-41.30M,,-41.30M,,-9.80M,-0.30M,-51.40M,,,,-25.40M,-2.40M,,-2.40M,,-22.70M,,0.10M,-50.40M,,0.00,16.40M,,0.00,,-2.40M,,,,,,
1991-09,30.90M,,,,,28.70M,-15.40M,-5.70M,,,35.20M,14.10M,,73.70M,,-19.70M,,-19.70M,,0.60M,-20.90M,-40.00M,,,,17.50M,0.00,,0.00,,-21.10M,,,-3.60M,,0.00,30.10M,,0.00,,0.00,,,,,,
1991-06,24.90M,,,,,18.50M,5.50M,19.20M,,,22.30M,47.00M,,90.40M,,-24.30M,,-24.30M,,2.70M,-49.50M,-71.10M,,,,-101.20M,66.00M,,66.00M,,-20.60M,,-0.10M,-55.90M,,0.00,-36.60M,,0.00,,66.00M,,,,,,
1991-03,16.80M,,,,,35.80M,-39.60M,2.30M,,,-46.80M,-84.10M,,-31.50M,,-27.70M,,-27.70M,,6.50M,-4.60M,-25.80M,,,,79.10M,,,,,-20.80M,,0.10M,58.40M,,51.10M,1.10M,,0.00,,,,,,,,
1990-12,-35.00M,,,,,-32.90M,86.90M,-0.90M,,,26.40M,90.10M,,122.00M,,-54.50M,16.70M,-37.80M,,2.40M,-21.30M,-56.70M,,,,8.90M,,-38.00M,-38.00M,,-19.50M,,-0.10M,-48.70M,,0.00,16.60M,,0.00,,,,,-38.00M,,,
1990-09,42.30M,,,,,18.10M,-16.40M,-9.50M,,,-2.00M,-27.90M,,32.50M,,-33.80M,0.00,-33.80M,,-0.40M,0.80M,-33.40M,,,,127.60M,,-104.50M,-104.50M,,-21.30M,,0.10M,1.90M,,0.00,1.00M,,0.00,,,,,-104.50M,,,
1990-06,61.70M,,,,,18.80M,30.60M,-19.50M,,,-35.20M,-24.10M,,56.40M,,-37.10M,0.00,-37.10M,,-3.00M,-13.70M,-53.80M,,,,44.30M,,-21.30M,-21.30M,,-20.30M,,,2.70M,,0.00,5.30M,,0.00,,,,,-21.30M,,,
1990-03,69.80M,,,,,1.00M,-69.00M,-18.80M,,,10.80M,-77.00M,,-6.20M,,-40.20M,77.00M,36.80M,,4.40M,2.90M,44.10M,,,,-11.90M,,-24.30M,-24.30M,,-20.00M,,,-56.20M,,46.50M,-18.30M,,0.00,,,,,-24.30M,,,
