,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2000-12,34.37M,34.37M,9.566M,24.80M,10.72M,2.505M,,0.57M,,,,,15.01M,9.792M,,,,0.57M,,10.47M,3.569M,6.898M,6.898M,6.522M,11.57M,1.779M,9.792M,0.055,0.0,,0.052,0.055,0.0525,0.0,,0.0497,0.0525,124.15M,132.89M,
2000-09,31.08M,31.08M,8.031M,23.05M,9.591M,2.389M,,0.883M,,,,,13.94M,9.107M,,,,0.883M,,9.988M,3.408M,6.58M,6.58M,5.998M,11.07M,1.964M,9.107M,0.0525,0.0,,0.0478,0.0525,0.05,0.0,,0.0456,0.05,123.24M,132.31M,
2000-06,31.56M,31.56M,8.623M,22.94M,10.12M,2.535M,,0.328M,,,,,14.05M,8.895M,,,,0.328M,,9.482M,3.291M,6.191M,6.191M,5.977M,10.28M,1.388M,8.895M,0.0525,0.0,,0.0507,0.0525,0.0475,0.0,,0.0459,0.0475,119.39M,132.01M,
2000-03,29.97M,29.97M,8.192M,21.78M,9.459M,2.103M,,0.533M,,,,,13.52M,8.257M,,,,0.533M,,8.995M,3.157M,5.838M,5.838M,5.492M,10.22M,1.96M,8.257M,0.0475,0.0,,0.0447,0.0475,0.045,0.0,,0.0423,0.045,122.91M,129.73M,
1999-12,28.10M,28.10M,7.10M,21.00M,9.00M,2.00M,,-0.50M,,,,,12.50M,8.50M,,,,-0.50M,,8.30M,2.90M,5.40M,5.40M,5.725M,10.00M,1.50M,8.50M,0.045,0.0,,0.0477,0.045,0.0425,0.0,,0.0451,0.0425,120.00M,127.06M,
1999-09,25.94M,25.94M,6.80M,19.14M,8.40M,1.90M,,-0.10M,,,,,11.70M,7.445M,,,,-0.10M,,7.40M,2.60M,4.80M,4.80M,4.865M,8.845M,1.40M,7.445M,0.0425,0.0,,0.043,0.0425,0.04,0.0,,0.0405,0.04,118.76M,125.22M,
1999-06,25.10M,25.10M,7.20M,17.90M,7.50M,1.90M,,-0.90M,,,,,10.70M,7.20M,,,,-0.90M,,7.10M,2.50M,4.60M,4.60M,5.183M,8.50M,1.30M,7.20M,0.04,0.0,,0.045,0.04,0.0375,0.0,,0.0422,0.0375,116.81M,124.12M,
1999-03,22.80M,22.80M,6.80M,16.00M,6.60M,1.50M,,-0.10M,,,,,9.20M,6.80M,,,,-0.10M,,6.70M,2.30M,4.40M,4.40M,4.466M,8.00M,1.20M,6.80M,0.0375,0.0,,0.0381,0.0375,0.035,0.0,,0.0355,0.035,117.33M,125.71M,
1998-12,21.50M,21.50M,5.90M,15.60M,6.90M,1.60M,,,,,,,9.60M,6.00M,,,,,,6.00M,2.10M,3.90M,3.90M,3.90M,7.10M,1.10M,6.00M,0.035,0.0,,0.035,0.035,0.0325,0.0,,0.0325,0.0325,111.43M,120.00M,
1998-09,19.20M,19.20M,5.10M,14.10M,6.40M,1.40M,,-0.50M,,,,,8.80M,5.30M,,,,-0.50M,,4.80M,1.60M,3.20M,3.20M,3.533M,6.30M,1.00M,5.30M,0.0275,0.0,,0.0304,0.0275,0.0275,0.0,,0.0304,0.0275,116.36M,116.36M,
1998-06,19.30M,19.30M,5.50M,13.80M,6.10M,1.20M,,-1.10M,,,,,8.20M,5.60M,,,,-1.10M,,4.50M,1.50M,3.00M,3.00M,3.733M,6.50M,0.90M,5.60M,0.0238,0.0,,0.0295,0.0238,0.0231,0.0,,0.0288,0.0231,126.88M,130.37M,
