,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-09,197.90M,197.90M,,,186.90M,,,,,113.80M,,,32.80M,531.40M,,,,,,,807.80M,-276.20M,531.60M,,458.20M,458.20M,122.40M,1.112B,1.644B,,66.00M,,,66.00M,,66.00M,,,,,3.30M,,3.30M,279.20M,348.50M,203.90M,,203.90M,148.00M,148.00M,,,79.10M,431.00M,779.50M,,,814.90M,,,,,,864.10M,,,
1993-06,71.20M,71.20M,,,226.70M,,,,,105.90M,,,128.00M,531.80M,,,,,,,814.30M,-276.20M,538.10M,,463.90M,463.90M,115.40M,1.117B,1.649B,,84.20M,,,84.20M,,84.20M,,,,,0.50M,,0.50M,286.90M,371.60M,204.00M,,204.00M,143.70M,143.70M,,,50.60M,398.30M,769.90M,,,762.20M,,,,,,879.30M,,,
1993-03,46.90M,46.90M,,,222.70M,,,,,150.70M,,,26.90M,447.20M,,,,,,,871.90M,-283.90M,588.00M,,463.40M,463.40M,136.40M,1.188B,1.635B,,69.50M,,,69.50M,,69.50M,,,,,112.80M,,112.80M,213.60M,395.90M,258.10M,,258.10M,122.70M,122.70M,,,,380.80M,776.70M,,,737.00M,,,,,,858.30M,,,
1992-12,59.30M,59.30M,,,126.00M,,,,,144.50M,,,28.80M,358.60M,,,,,,,873.40M,-283.90M,589.50M,,470.70M,470.70M,132.40M,1.193B,1.551B,,48.20M,,,48.20M,,48.20M,,,,,102.70M,,102.70M,185.10M,336.00M,260.00M,,260.00M,121.20M,121.20M,,,,381.20M,717.20M,,,714.80M,,,,,,834.00M,,,
1992-09,65.30M,65.30M,,,141.90M,,,,,117.10M,,,30.70M,355.00M,,,,,,,865.20M,-283.90M,581.30M,,473.40M,473.40M,140.60M,1.195B,1.550B,,63.10M,,,63.10M,,63.10M,,,,,52.80M,,52.80M,215.10M,331.00M,263.50M,,263.50M,120.00M,120.00M,,,,383.50M,714.50M,,,711.60M,,,,,,835.80M,,,
1992-06,69.00M,69.00M,,,204.60M,,,,,110.50M,,,34.20M,418.30M,,,,,,,865.40M,-283.90M,581.50M,,479.40M,479.40M,135.60M,1.196B,1.615B,,104.20M,,,104.20M,,104.20M,,,,,77.80M,,77.80M,239.50M,421.50M,262.30M,,262.30M,117.30M,117.30M,,,,379.60M,801.10M,,,690.00M,,,,,,813.70M,,,
1992-03,81.50M,81.50M,,,220.20M,,,,,156.00M,,,7.70M,465.40M,,,,,,,786.20M,-238.80M,547.40M,,477.80M,477.80M,134.00M,1.159B,1.625B,,79.90M,,,79.90M,,79.90M,,,,,179.20M,,179.20M,244.50M,503.60M,207.10M,,207.10M,74.20M,74.20M,,,,281.30M,784.90M,,,723.10M,,,,,,839.70M,,,
1991-12,62.80M,62.80M,,,108.80M,,,,,153.40M,,,7.70M,332.70M,,,,,,,771.60M,-238.80M,532.80M,,483.60M,483.60M,134.80M,1.151B,1.484B,,58.60M,,,58.60M,,58.60M,,,,,117.10M,,117.10M,210.90M,386.60M,207.30M,,207.30M,68.10M,68.10M,,,,275.40M,662.00M,,,707.40M,,,,,,821.90M,,,
1991-09,67.90M,67.90M,,,137.00M,,,,,124.70M,,,9.30M,338.90M,,,,,,,763.60M,-238.80M,524.80M,,490.20M,490.20M,126.40M,1.141B,1.480B,,60.20M,,,60.20M,,60.20M,,,,,103.00M,,103.00M,233.30M,396.50M,207.10M,,207.10M,64.50M,64.50M,,,,271.60M,668.10M,,,704.00M,,,,,,812.20M,,,
1991-06,113.90M,113.90M,,,219.50M,,,,,116.30M,,,17.10M,466.80M,,,,,,,760.60M,-238.80M,521.80M,,494.00M,494.00M,120.10M,1.136B,1.603B,,104.20M,,,104.20M,,104.20M,,,,,10.70M,,10.70M,233.50M,348.40M,406.80M,,406.80M,63.20M,63.20M,,,,470.00M,818.40M,,,681.50M,,,,,,784.30M,,,
1991-03,52.90M,52.90M,,,218.90M,,,,,159.50M,,,12.60M,443.90M,,,,,,,776.30M,-194.90M,581.40M,,504.00M,504.00M,127.50M,1.213B,1.657B,,82.40M,,,82.40M,,82.40M,,,,,236.00M,,236.00M,177.90M,496.30M,207.00M,,207.00M,103.90M,103.90M,,,,310.90M,807.20M,,,743.50M,,,,,,849.60M,,,
1990-12,52.00M,52.00M,,,112.50M,,,,,167.30M,,,10.40M,342.20M,,,,,,,768.70M,-194.90M,573.80M,,509.90M,509.90M,120.90M,1.205B,1.547B,,52.80M,,,52.80M,,52.80M,,,,,217.00M,,217.00M,135.30M,405.10M,207.10M,,207.10M,100.50M,100.50M,,,,307.60M,712.70M,,,732.20M,,,,,,834.10M,,,
1990-09,65.90M,65.90M,,,122.10M,,,,,149.70M,,,11.10M,348.80M,,,,,,,752.20M,-194.90M,557.30M,,514.00M,514.00M,116.50M,1.188B,1.537B,,78.10M,,,78.10M,,78.10M,,,,,172.40M,,172.40M,150.30M,400.80M,207.90M,,207.90M,97.30M,97.30M,,,,305.20M,706.00M,,,732.10M,,,,,,830.60M,,,
1990-06,124.60M,124.60M,,,151.50M,,,,,128.10M,,,14.20M,418.40M,,,,,,,712.40M,-194.90M,517.50M,,101.80M,101.80M,100.00M,719.30M,1.138B,,79.30M,,,79.30M,,79.30M,,,,,0.80M,,0.80M,145.50M,225.60M,7.50M,,7.50M,94.20M,94.20M,,,-0.10M,101.60M,327.20M,,,713.10M,,,,,,810.50M,,,
1990-03,102.60M,102.60M,,,177.00M,,,,,154.80M,,,10.10M,444.50M,,,,,,,640.80M,-161.20M,479.60M,,100.00M,100.00M,98.50M,678.10M,1.123B,,70.40M,,,70.40M,,70.40M,,,,,0.60M,,0.60M,149.20M,220.20M,6.20M,,6.20M,94.50M,94.50M,,,,100.70M,320.90M,,,694.10M,,,,,,801.70M,,,
1989-12,214.80M,214.80M,,,104.00M,,,,,136.90M,,,10.10M,465.80M,,,,,,,620.50M,-161.20M,459.30M,,100.30M,100.30M,90.40M,650.00M,1.116B,,49.30M,,,49.30M,,49.30M,,,,,34.80M,,34.80M,122.60M,206.70M,6.90M,,6.90M,92.60M,92.60M,,,,99.50M,306.20M,,,672.80M,,,,,,809.60M,,,
1989-09,251.00M,251.00M,,,240.60M,,,,,118.70M,,,10.10M,620.40M,,,,,,,589.30M,-161.20M,428.10M,,101.10M,101.10M,88.40M,617.60M,1.238B,,,,,,,,,,,,,,,,325.80M,7.00M,,7.00M,91.00M,91.00M,,,,98.00M,423.80M,,,663.00M,,,,,,814.20M,,,
1989-06,233.30M,233.30M,,,143.40M,,,,,110.60M,,,127.50M,614.80M,,,,,,,572.10M,-161.20M,410.90M,,99.70M,99.70M,87.70M,598.30M,1.213B,,85.80M,,,85.80M,,85.80M,,,,,94.20M,,94.20M,150.70M,330.70M,7.10M,,7.10M,89.10M,89.10M,,,,96.20M,426.90M,,,634.30M,,,,,,786.20M,,,
1988-06,259.30M,259.30M,,,139.30M,,,,,97.40M,,,8.30M,504.30M,,,,,,,523.20M,-147.30M,375.90M,,199.50M,199.50M,76.30M,651.70M,1.156B,,,,,,,,,,,,1.80M,,1.80M,312.60M,314.40M,29.20M,,29.20M,99.50M,99.50M,,,,128.70M,443.10M,,,570.20M,,,,,,712.90M,,,
1987-06,245.50M,245.50M,,,121.70M,,,,,77.10M,,,7.30M,451.60M,,,,,,,372.90M,-128.80M,244.10M,,165.00M,165.00M,72.60M,481.70M,933.30M,,,,,,,,,,,,13.90M,,13.90M,180.50M,194.40M,26.60M,,26.60M,95.80M,95.80M,,,0.10M,122.50M,316.90M,,,487.20M,,,,,,616.40M,,,
1986-06,205.30M,205.30M,,,113.90M,,,,,89.50M,,,8.50M,417.20M,,,,,,,341.30M,-114.20M,227.10M,,161.80M,161.80M,43.10M,432.00M,849.20M,,,,,,,,,,,,18.40M,,18.40M,158.70M,177.10M,38.20M,,38.20M,84.20M,84.20M,,,-0.10M,122.30M,299.40M,,,424.50M,,,,,,549.80M,,,
1985-06,178.00M,178.00M,,,121.60M,,,,,90.90M,,,7.60M,398.10M,,,,,,,297.00M,-100.30M,196.70M,,164.40M,164.40M,18.90M,380.00M,778.10M,,,,,,,,,,,,35.10M,,35.10M,160.00M,195.10M,38.90M,,38.90M,58.20M,58.20M,,,,97.10M,292.20M,,,366.10M,,,,,,485.90M,,,
1984-06,117.20M,117.20M,,,124.60M,,,,,78.60M,,,12.20M,332.60M,,,,,,,274.10M,-90.60M,183.50M,,169.60M,169.60M,15.70M,368.80M,701.40M,,,,,,,,,,,,29.80M,,29.80M,158.40M,188.20M,43.20M,,43.20M,38.70M,38.70M,,,,81.90M,270.10M,,,312.70M,,,,,,431.30M,,,
