,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-10,2.203B,2.203B,1.448B,755.00M,226.00M,156.00M,382.00M,32.00M,,-21.00M,29.00M,1.00M,-28.00M,,414.00M,341.00M,1.00M,29.00M,-28.00M,-26.00M,-28.00M,287.00M,93.00M,194.00M,,,0.00,194.00M,208.20M,390.00M,74.00M,316.00M,,0.63,,,0.6758,0.63,,0.62,,,0.6655,0.62,,310.00M,312.00M,0.312,,AOR,Restated
2015-07,1.693B,1.693B,1.131B,562.00M,189.00M,193.00M,382.00M,34.00M,,-99.00M,27.00M,0.00,-27.00M,,433.00M,129.00M,0.00,27.00M,-27.00M,-86.00M,-27.00M,16.00M,-1.00M,17.00M,,,0.00,17.00M,76.40M,123.00M,80.00M,43.00M,,0.22,0.00,,0.4122,0.22,,0.22,0.00,,0.4116,0.22,,309.00M,310.00M,0.312,,AOR,Restated
2015-04,1.90B,1.90B,1.218B,682.00M,213.00M,142.00M,355.00M,30.00M,,-9.00M,29.00M,1.00M,-28.00M,,385.00M,297.00M,1.00M,29.00M,-28.00M,-12.00M,-28.00M,257.00M,78.00M,179.00M,,,0.00,179.00M,185.26M,360.00M,74.00M,286.00M,,0.58,,,0.6001,0.58,,0.57,,,0.5901,0.57,,311.00M,312.00M,0.312,,AOR,Restated
2015-01,2.234B,2.234B,1.491B,743.00M,239.00M,135.00M,374.00M,25.00M,,0.00,26.00M,1.00M,-25.00M,,399.00M,344.00M,1.00M,26.00M,-25.00M,-7.00M,-25.00M,312.00M,90.00M,222.00M,,,0.00,222.00M,222.00M,412.00M,74.00M,338.00M,,0.71,,,0.71,0.71,,0.71,,,0.71,0.71,,313.00M,314.00M,0.312,,AOR,Restated
2014-10,2.255B,2.255B,1.46B,795.00M,243.00M,131.00M,374.00M,28.00M,,0.00,26.00M,1.00M,-25.00M,,402.00M,393.00M,1.00M,26.00M,-25.00M,-4.00M,-25.00M,364.00M,116.00M,248.00M,,,0.00,248.00M,248.00M,465.00M,75.00M,390.00M,,0.79,,,0.79,0.79,,0.78,,,0.78,0.78,,314.00M,316.00M,0.312,,AOR,Restated
2014-07,1.852B,1.852B,1.148B,704.00M,183.00M,152.00M,335.00M,34.00M,,-20.00M,31.00M,1.00M,-30.00M,,387.00M,317.00M,1.00M,31.00M,-30.00M,-8.00M,-30.00M,279.00M,96.00M,183.00M,0.00,,2.00M,185.00M,198.12M,393.00M,83.00M,310.00M,,0.44,0.00,,0.4818,0.44,,0.43,0.00,,0.4715,0.43,,314.00M,316.00M,0.312,,AOR,Restated
2014-04,1.97B,1.97B,1.294B,676.00M,217.00M,134.00M,351.00M,30.00M,,-1.00M,31.00M,1.00M,-30.00M,,381.00M,295.00M,1.00M,31.00M,-30.00M,-3.00M,-30.00M,262.00M,79.00M,183.00M,0.00,,1.00M,184.00M,184.70M,367.00M,74.00M,293.00M,,0.59,0.00,,0.5922,0.59,,0.58,0.00,,0.5822,0.58,,314.00M,316.00M,0.312,,AOR,Restated
2014-01,2.281B,2.281B,1.467B,814.00M,268.00M,142.00M,410.00M,27.00M,,-13.00M,29.00M,0.00,-29.00M,,437.00M,377.00M,0.00,29.00M,-29.00M,-16.00M,-29.00M,332.00M,104.00M,228.00M,90.00M,,7.00M,325.00M,243.93M,435.00M,74.00M,361.00M,,0.75,0.29,,0.7784,1.04,,0.74,0.28,,0.7683,1.03,,314.00M,316.00M,0.312,,AOR,Restated
2013-10,2.165B,2.165B,1.388B,777.00M,261.00M,148.00M,409.00M,31.00M,,-21.00M,31.00M,1.00M,-30.00M,,440.00M,337.00M,1.00M,31.00M,-30.00M,-32.00M,-30.00M,275.00M,95.00M,180.00M,-9.00M,,1.00M,172.00M,194.76M,380.00M,74.00M,306.00M,,0.58,-0.03,,0.6238,0.55,,0.57,-0.03,,0.6134,0.54,,314.00M,317.00M,0.312,,AOR,Restated
2013-07,1.723B,1.723B,1.10B,623.00M,191.00M,195.00M,386.00M,34.00M,,-30.00M,33.00M,3.00M,-30.00M,,434.00M,189.00M,3.00M,33.00M,-30.00M,-11.00M,-30.00M,148.00M,33.00M,115.00M,-275.00M,,2.00M,-158.00M,140.31M,270.00M,89.00M,181.00M,,0.37,-0.88,,0.4442,-0.50,,0.37,-0.88,,0.4435,-0.50,,314.00M,317.00M,0.29,,AOR,Restated
2013-04,1.962B,1.962B,1.256B,706.00M,245.00M,164.00M,409.00M,35.00M,,-1.00M,33.00M,2.00M,-31.00M,,444.00M,262.00M,2.00M,33.00M,-31.00M,-5.00M,-31.00M,226.00M,59.00M,167.00M,12.00M,,2.00M,181.00M,169.74M,358.00M,99.00M,259.00M,,0.54,0.04,,0.5424,0.58,,0.53,0.04,,0.5323,0.57,,314.00M,317.00M,0.00,,AOR,Restated
2013-01,2.162B,2.162B,1.40B,762.00M,275.00M,163.00M,438.00M,32.00M,,-8.00M,33.00M,2.00M,-31.00M,,470.00M,292.00M,2.00M,33.00M,-31.00M,-15.00M,-31.00M,246.00M,78.00M,168.00M,19.00M,,3.00M,190.00M,176.46M,400.00M,121.00M,279.00M,,0.54,0.06,,0.5574,0.61,,0.54,0.06,,0.5573,0.60,,314.00M,316.00M,0.00,,AOR,Restated
2012-10,2.205B,2.205B,1.384B,821.00M,236.00M,155.00M,391.00M,27.00M,,-22.00M,36.00M,3.00M,-33.00M,,418.00M,403.00M,3.00M,36.00M,-33.00M,-35.00M,-33.00M,335.00M,105.00M,230.00M,13.00M,,2.00M,245.00M,247.11M,469.00M,98.00M,371.00M,,0.74,0.04,,0.7881,0.78,,0.73,0.04,,0.7778,0.78,,314.00M,316.00M,0.29,,AOR,Restated
2012-07,1.081B,1.081B,642.00M,439.00M,127.00M,139.00M,266.00M,25.00M,,-3.00M,27.00M,2.00M,-25.00M,,292.00M,147.00M,2.00M,27.00M,-25.00M,-1.00M,-25.00M,121.00M,36.00M,85.00M,,,2.00M,127.00M,89.11M,221.00M,73.00M,148.00M,,0.40,0.00,,0.4067,0.40,,0.40,0.00,,0.4067,0.40,,314.00M,316.00M,0.29,,AOR,Restated
2012-04,1.821B,1.821B,1.115B,706.00M,256.00M,144.00M,400.00M,32.00M,,-4.00M,29.00M,2.00M,-27.00M,,432.00M,274.00M,2.00M,29.00M,-27.00M,-10.00M,-27.00M,237.00M,62.00M,175.00M,,,2.00M,177.00M,179.95M,331.00M,65.00M,266.00M,,0.56,,,0.5693,0.56,,0.55,,,0.5593,0.55,,316.00M,318.00M,0.29,,AOR,Restated
2012-01,2.112B,2.112B,1.301B,811.00M,297.00M,152.00M,449.00M,29.00M,,-3.00M,28.00M,2.00M,-26.00M,,478.00M,333.00M,2.00M,28.00M,-26.00M,-4.00M,-26.00M,303.00M,102.00M,201.00M,,,4.00M,205.00M,206.99M,392.00M,61.00M,331.00M,,0.64,,,0.6463,0.64,,0.64,,,0.6462,0.64,,318.00M,320.00M,0.29,,AOR,Restated
2011-10,2.161B,2.161B,1.307B,854.00M,261.00M,145.00M,406.00M,30.00M,,-2.00M,30.00M,2.00M,-28.00M,,436.00M,418.00M,2.00M,30.00M,-28.00M,-2.00M,-28.00M,388.00M,125.00M,263.00M,,,2.00M,265.00M,266.36M,481.00M,63.00M,418.00M,,0.82,0.00,,0.8242,0.82,,0.82,0.00,,0.8242,0.82,,320.00M,322.00M,0.29,,AOR,Restated
2011-07,1.031B,1.031B,607.00M,424.00M,98.00M,135.00M,233.00M,25.00M,,-60.00M,29.00M,2.00M,-27.00M,,253.00M,171.00M,2.00M,29.00M,-27.00M,,-27.00M,75.00M,30.00M,45.00M,,,2.00M,100.00M,83.00M,178.00M,74.00M,104.00M,,0.15,0.16,,0.2625,0.31,,0.15,0.16,,0.2615,0.31,,320.00M,323.00M,0.29,,AOR,Restated
2011-04,1.813B,1.813B,1.081B,732.00M,243.00M,148.00M,391.00M,33.00M,,0.00,27.00M,3.00M,-24.00M,1.00M,425.00M,307.00M,3.00M,27.00M,-24.00M,,-24.00M,283.00M,97.00M,186.00M,,,1.00M,187.00M,187.00M,375.00M,65.00M,310.00M,,0.58,0.00,,0.58,0.58,,0.57,0.00,,0.57,0.57,,321.00M,323.00M,0.29,,AOR,Restated
2011-01,2.127B,2.127B,1.289B,838.00M,291.00M,154.00M,445.00M,31.00M,,0.00,34.00M,3.00M,-31.00M,3.00M,479.00M,359.00M,3.00M,34.00M,-31.00M,,-31.00M,328.00M,89.00M,239.00M,,,0.00,239.00M,239.00M,426.00M,64.00M,362.00M,,0.72,0.00,,0.72,0.72,,0.71,0.00,,0.71,0.71,,330.00M,332.00M,0.29,,AOR,Restated
2010-10,2.172B,2.172B,1.278B,894.00M,277.00M,140.00M,417.00M,31.00M,,0.00,32.00M,2.00M,-30.00M,2.00M,450.00M,444.00M,2.00M,32.00M,-30.00M,,-30.00M,414.00M,135.00M,279.00M,,,0.00,279.00M,279.00M,511.00M,65.00M,446.00M,,0.82,0.00,,0.82,0.82,,0.82,0.00,,0.82,0.82,,335.00M,338.00M,0.275,,AOR,Restated
2010-07,1.518B,1.518B,905.00M,613.00M,221.00M,167.00M,388.00M,35.00M,,0.00,28.00M,2.00M,-26.00M,,422.00M,191.00M,2.00M,28.00M,-26.00M,-3.00M,-26.00M,161.00M,48.00M,113.00M,,,0.00,113.00M,113.00M,255.00M,66.00M,189.00M,,0.33,,,0.33,0.33,,0.33,,,0.33,0.33,,337.00M,340.00M,0.275,,AOR,Restated
2010-04,1.802B,1.802B,1.059B,743.00M,252.00M,156.00M,408.00M,31.00M,,-12.00M,29.00M,2.00M,-27.00M,,439.00M,304.00M,2.00M,29.00M,-27.00M,-12.00M,-27.00M,265.00M,97.00M,168.00M,,,0.00,168.00M,175.61M,357.00M,63.00M,294.00M,,0.49,0.00,,0.5124,0.49,,0.49,0.00,,0.5122,0.49,,339.00M,342.00M,0.275,,AOR,Restated
2010-01,2.153B,2.153B,1.282B,871.00M,301.00M,149.00M,450.00M,28.00M,,,27.00M,1.00M,-26.00M,2.00M,480.00M,391.00M,1.00M,27.00M,-26.00M,,-26.00M,365.00M,106.00M,259.00M,,,,259.00M,259.00M,454.00M,62.00M,392.00M,,0.74,0.00,,0.74,0.74,,0.74,0.00,,0.74,0.74,,341.00M,344.00M,0.275,,AOR,Restated
2009-10,2.203B,2.203B,1.28B,923.00M,284.00M,133.00M,417.00M,29.00M,,,28.00M,1.00M,-27.00M,-1.00M,445.00M,478.00M,1.00M,28.00M,-27.00M,,-27.00M,451.00M,147.00M,304.00M,,,,304.00M,304.00M,539.00M,60.00M,479.00M,,0.87,0.00,,0.87,0.87,,0.87,0.00,,0.87,0.87,,343.00M,346.00M,0.25,,AOR,Restated
2009-07,1.528B,1.528B,893.00M,635.00M,209.00M,184.00M,393.00M,31.00M,,0.00,25.00M,2.00M,-23.00M,,491.00M,144.00M,2.00M,25.00M,-23.00M,1.00M,-23.00M,122.00M,53.00M,69.00M,0.00,,,69.00M,69.00M,216.00M,69.00M,147.00M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,346.00M,346.00M,0.25,,AOR,Restated
2009-04,1.686B,1.686B,1.001B,685.00M,246.00M,129.00M,375.00M,27.00M,,0.00,26.00M,0.00,-26.00M,,402.00M,283.00M,0.00,26.00M,-26.00M,3.00M,-26.00M,260.00M,86.00M,174.00M,0.00,,,174.00M,174.00M,348.00M,62.00M,286.00M,,0.49,0.00,,0.49,0.49,,0.49,0.00,,0.49,0.49,,350.00M,351.00M,0.25,,AOR,Restated
2009-01,2.122B,2.122B,1.285B,837.00M,315.00M,138.00M,453.00M,27.00M,,,26.00M,1.00M,-25.00M,,480.00M,357.00M,1.00M,26.00M,-25.00M,-2.00M,-25.00M,330.00M,101.00M,229.00M,4.00M,,,233.00M,229.00M,423.00M,67.00M,356.00M,,0.63,0.01,,0.63,0.65,,0.63,0.01,,0.63,0.64,,355.00M,358.00M,0.25,,,Restated
2008-10,2.25B,2.25B,1.379B,871.00M,307.00M,140.00M,447.00M,29.00M,,,33.00M,1.00M,-32.00M,,476.00M,395.00M,1.00M,33.00M,-32.00M,4.00M,-32.00M,367.00M,107.00M,260.00M,,,,260.00M,260.00M,466.00M,66.00M,400.00M,,0.71,,,0.71,0.71,,0.70,,,0.70,0.70,,357.00M,362.00M,0.25,,,Restated
2008-07,1.715B,1.715B,1.051B,664.00M,263.00M,168.00M,431.00M,33.00M,,-3.00M,46.00M,,-38.00M,,470.00M,194.00M,,46.00M,-38.00M,-6.00M,-38.00M,150.00M,61.00M,89.00M,0.00,,,89.00M,90.95M,282.00M,86.00M,196.00M,,0.23,-0.01,,0.2354,0.21,,0.23,-0.01,,0.2354,0.21,,361.00M,361.00M,0.22,,,Restated
2008-04,1.88B,1.88B,1.154B,726.00M,284.00M,158.00M,442.00M,30.00M,,-172.00M,37.00M,,-37.00M,,472.00M,254.00M,,37.00M,-37.00M,-172.00M,-37.00M,45.00M,-9.00M,54.00M,478.00M,,,532.00M,165.80M,152.00M,70.00M,82.00M,,0.14,1.28,,0.4397,1.43,,0.14,1.25,,0.4334,1.40,,373.00M,381.00M,0.22,,,Restated
2008-01,2.218B,2.218B,1.329B,889.00M,,,460.00M,25.00M,,-4.00M,,,,,485.00M,404.00M,,,,-4.00M,,358.00M,98.00M,260.00M,14.00M,,,274.00M,262.91M,474.00M,70.00M,404.00M,,0.69,0.04,,0.6977,0.73,,0.67,0.04,,0.6775,0.71,,377.00M,386.00M,0.22,,,
2007-10,2.185B,2.185B,1.293B,892.00M,,,437.00M,27.00M,,,,,,,464.00M,428.00M,,,,,,386.00M,118.00M,268.00M,2.00M,,,270.00M,268.00M,496.00M,68.00M,428.00M,,0.71,0.00,,0.71,0.71,,0.70,0.00,,0.70,0.70,,379.00M,388.00M,0.22,,,
2007-07,1.52B,1.52B,926.00M,594.00M,,,431.00M,35.00M,,-18.00M,,,,,466.00M,128.00M,,,,12.00M,,102.00M,44.00M,58.00M,3.00M,,,61.00M,69.70M,259.00M,82.00M,177.00M,,0.15,0.01,,0.1805,0.16,,0.15,0.01,,0.18,0.16,,383.00M,390.00M,0.20,,,Restated
2007-04,1.75B,1.75B,1.052B,698.00M,,,405.00M,26.00M,,2.00M,,,,,431.00M,267.00M,,,,2.00M,,242.00M,32.00M,210.00M,7.00M,,,217.00M,208.26M,336.00M,69.00M,267.00M,,0.55,0.02,,0.5455,0.57,,0.53,0.02,,0.5256,0.55,,384.00M,395.00M,0.20,,,
2007-01,2.064B,2.064B,1.213B,851.00M,,,445.00M,25.00M,,18.00M,,,,,470.00M,381.00M,,,,18.00M,,361.00M,104.00M,257.00M,28.00M,,,285.00M,244.19M,449.00M,68.00M,381.00M,,0.67,0.07,,0.6366,0.74,,0.65,0.07,,0.6176,0.72,,384.00M,395.00M,0.20,,,
2006-10,2.153B,2.153B,1.236B,917.00M,,,451.00M,26.00M,,-2.00M,,,,,477.00M,440.00M,,,,-2.00M,,397.00M,128.00M,269.00M,22.00M,,,291.00M,270.36M,504.00M,64.00M,440.00M,,0.68,0.06,,0.6834,0.74,,0.66,0.05,,0.6633,0.71,,395.00M,405.00M,0.20,,,
2006-07,1.454B,1.454B,840.00M,614.00M,,,446.00M,25.00M,,-4.00M,,,,,471.00M,143.00M,,,,-4.00M,,98.00M,14.00M,84.00M,-40.00M,,,44.00M,87.43M,220.00M,77.00M,143.00M,,0.22,-0.10,,0.2285,0.12,,0.20,-0.10,,0.2083,0.11,,404.00M,414.00M,0.18,,,
2006-04,1.728B,1.728B,1.021B,707.00M,,,431.00M,26.00M,,-2.00M,,,,,457.00M,250.00M,,,,-2.00M,,208.00M,62.00M,146.00M,20.00M,,,166.00M,147.40M,325.00M,75.00M,250.00M,,0.36,0.05,,0.3635,0.41,,0.35,0.05,,0.3534,0.40,,406.00M,413.00M,0.18,,,
2006-01,2.159B,2.159B,1.251B,908.00M,,,500.00M,24.00M,,-1.00M,,,,,524.00M,384.00M,,,,-1.00M,,340.00M,101.00M,239.00M,15.00M,,,254.00M,239.70M,452.00M,68.00M,384.00M,,0.62,0.00,,0.6217,0.62,,0.61,0.00,,0.6117,0.61,,408.00M,414.00M,0.18,,,
2005-10,2.002B,2.002B,1.156B,846.00M,,,443.00M,24.00M,,2.00M,,,,,467.00M,379.00M,,,,2.00M,,355.00M,69.00M,286.00M,16.00M,,,302.00M,284.39M,448.00M,69.00M,379.00M,,0.70,0.04,,0.6961,0.74,,0.69,0.04,,0.6861,0.73,,409.00M,414.00M,0.18,,,
2005-07,1.022B,1.022B,574.00M,448.00M,,,326.00M,22.00M,,3.00M,,,,,348.00M,100.00M,,,,3.00M,,57.00M,24.00M,33.00M,,,,96.00M,31.20M,172.00M,72.00M,100.00M,,0.08,0.15,,0.0756,0.23,,0.08,0.15,,0.0756,0.23,,409.00M,410.00M,0.17,,,
