,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1999-08,5.442B,5.442B,408.00M,2.302B,2.71B,2.71B,1.221B,715.00M,1.563B,593.00M,970.00M,,,,11.00M,970.00M,970.00M,,4.747B,,0.87,0.00,,,0.87,0.87,,0.83,0.00,,,0.83,0.83,,1.100B,1.161B,0.12,,,
1999-05,5.764B,5.764B,381.00M,2.413B,2.794B,2.794B,2.04B,411.00M,1.858B,707.00M,1.151B,,,,10.00M,1.151B,1.151B,,4.873B,,1.03,0.00,,,1.03,1.03,,0.98,0.00,,,0.98,0.98,,1.108B,1.164B,0.12,,,
1999-02,5.516B,5.516B,395.00M,2.363B,2.758B,2.758B,1.924B,603.00M,1.672B,635.00M,1.037B,,,,11.00M,1.037B,1.037B,,4.832B,,0.93,0.00,,,0.93,0.93,,0.88,0.00,,,0.88,0.88,,1.103B,1.166B,0.12,,,
1998-11,4.182B,4.182B,477.00M,1.222B,1.699B,1.699B,,569.00M,1.946B,722.00M,1.224B,,0.00,,12.00M,1.224B,1.224B,,5.384B,,1.05,0.00,0.00,,1.05,1.05,,1.02,0.00,0.0003,,1.02,1.03,,1.163B,1.163B,0.10,,,
1998-08,4.121B,4.121B,354.00M,1.609B,1.963B,1.963B,325.00M,906.00M,910.00M,284.00M,626.00M,,,,14.00M,626.00M,626.00M,,4.287B,,0.54,0.00,,,0.54,0.54,,0.51,0.00,,,0.51,0.51,,1.133B,1.20B,0.10,,,
1998-05,4.874B,4.874B,286.00M,2.017B,2.303B,2.303B,1.192B,659.00M,1.397B,545.00M,852.00M,,,,14.00M,852.00M,852.00M,,4.951B,,0.72,0.00,,,0.72,0.72,,0.69,0.00,,,0.69,0.69,,1.164B,1.214B,0.10,,,
1998-02,4.44B,4.44B,294.00M,1.788B,2.082B,2.082B,975.00M,788.00M,1.132B,441.00M,691.00M,,-117.00M,,,574.00M,691.00M,,4.277B,,0.58,-0.10,0.00,,0.58,0.48,,0.55,-0.10,-0.0978,,0.55,0.45,,1.196B,1.276B,0.10,,,
1997-11,,,,,,,,,,,810.00M,,,,,810.00M,810.00M,,,,0.69,0.00,,,0.69,0.69,,0.65,0.00,,,0.65,0.65,,1.155B,1.229B,0.07,,,
1997-08,,,,,,,,,,,678.00M,,,,,678.00M,678.00M,,,,0.58,0.00,,,0.58,0.58,,0.55,0.00,,,0.55,0.55,,1.143B,1.205B,0.07,,,
1997-05,3.898B,3.898B,274.00M,1.505B,1.779B,1.779B,,719.00M,883.00M,356.00M,527.00M,,,,18.00M,527.00M,527.00M,,3.361B,,0.43,0.00,,,0.43,0.43,,0.42,0.00,,,0.42,0.42,,1.184B,1.212B,0.07,,,
1997-03,2.029B,2.029B,186.70M,616.30M,803.00M,803.00M,,571.60M,454.50M,178.20M,276.30M,,,,,276.30M,276.30M,22.60M,869.40M,,0.47,0.00,,,0.47,0.47,,0.46,0.00,,,0.46,0.46,,587.87M,600.65M,0.07,,,
1996-12,-2.235B,-2.235B,126.80M,-1.534B,-1.407B,-1.407B,,269.10M,-840.90M,-281.30M,-559.60M,,,,18.00M,-559.60M,-559.60M,,-6.202B,,0.17,0.00,,,0.17,0.17,,0.17,0.00,,,0.17,0.17,,819.36M,819.36M,0.11,,,
1996-09,3.114B,3.114B,247.00M,1.17B,1.417B,1.417B,563.00M,623.00M,696.00M,246.00M,450.00M,,,,15.00M,450.00M,450.00M,,3.108B,,0.37,0.00,,,0.37,0.37,,0.36,0.00,,,0.36,0.36,,570.12M,576.90M,0.055,,,
1996-06,1.816B,1.816B,201.40M,552.90M,754.30M,754.30M,,483.60M,388.10M,149.30M,238.80M,,,,,238.80M,238.80M,20.30M,767.80M,,0.44,0.00,,,0.44,0.44,,0.43,0.00,,,0.43,0.43,,542.73M,555.35M,0.055,,,
1996-03,1.776B,1.776B,191.90M,570.30M,762.20M,762.20M,,470.70M,400.40M,154.60M,245.80M,,,,,245.80M,245.80M,19.60M,791.10M,,0.42,0.00,,,0.42,0.42,,0.41,0.00,,,0.41,0.41,,585.24M,599.51M,0.055,,,
1995-12,1.725B,1.725B,224.00M,496.90M,720.90M,720.90M,,502.20M,292.60M,114.50M,178.10M,,,,,178.10M,178.10M,19.20M,695.40M,,0.18,0.00,,,0.18,0.18,,0.17,0.00,,,0.17,0.17,,880.95M,911.82M,0.04,,,
1995-09,1.644B,1.644B,204.40M,511.50M,715.90M,715.90M,,469.50M,355.70M,137.00M,218.70M,,,,,218.70M,218.70M,19.20M,730.40M,,0.31,0.00,,,0.31,0.31,,0.31,0.00,,,0.31,0.31,,705.48M,705.48M,0.04,,,
1995-06,1.562B,1.562B,159.00M,489.50M,648.50M,648.50M,,428.20M,385.30M,147.80M,237.50M,,,,,237.50M,237.50M,16.30M,769.70M,,0.35,0.00,,,0.35,0.35,,0.34,0.00,,,0.34,0.34,,678.57M,698.53M,0.04,,,
1995-03,1.488B,1.488B,147.70M,483.70M,631.40M,631.40M,,404.30M,362.30M,140.20M,222.10M,,,,,222.10M,222.10M,15.30M,715.20M,,0.33,0.00,,,0.33,0.33,,0.33,0.00,,,0.33,0.33,,673.03M,673.03M,0.0313,,,
1994-12,1.469B,1.469B,201.70M,428.10M,629.80M,629.80M,,386.40M,232.50M,92.50M,140.00M,,,,,140.00M,140.00M,22.90M,552.40M,,0.10,0.00,,,0.10,0.10,,0.09,0.00,,,0.09,0.09,,975.56M,1.007B,0.0313,,,
1994-09,1.377B,1.377B,167.50M,432.70M,600.20M,600.20M,,390.30M,300.20M,115.70M,184.50M,,,,,184.50M,184.50M,10.00M,563.70M,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,683.33M,683.33M,0.0313,,,
1994-06,1.335B,1.335B,120.40M,432.50M,552.90M,552.90M,,357.90M,338.10M,131.20M,206.90M,,,,,206.90M,206.90M,13.40M,584.40M,,0.31,0.00,,,0.31,0.31,,0.31,0.00,,,0.31,0.31,,667.42M,667.42M,0.0626,,,
1994-03,1.374B,1.374B,117.60M,470.90M,588.50M,588.50M,,324.10M,343.80M,134.30M,209.50M,,,,,209.50M,209.50M,12.50M,562.60M,,0.31,0.00,,,0.31,0.31,,0.31,0.00,,,0.31,0.31,,675.81M,675.81M,0.0313,,,
1993-12,1.302B,1.302B,161.90M,415.40M,577.30M,577.30M,,299.80M,223.80M,85.30M,138.50M,,,,,138.50M,138.50M,14.20M,440.20M,,0.40,0.00,,,0.40,0.40,,0.38,0.00,,,0.38,0.38,,682.40M,682.40M,0.025,,,
1993-09,1.291B,1.291B,110.10M,418.50M,528.60M,528.60M,,313.00M,277.90M,106.30M,171.60M,,,,,171.60M,171.60M,16.50M,482.50M,,0.26,0.00,,,0.26,0.26,,0.26,0.00,,,0.26,0.26,,660.00M,660.00M,0.025,,,
1993-06,1.241B,1.241B,100.60M,432.80M,533.40M,533.40M,,266.60M,263.90M,106.80M,157.10M,,,,,157.10M,157.10M,8.40M,446.80M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,683.04M,683.04M,0.025,,,
1993-03,1.172B,1.172B,97.80M,437.20M,535.00M,535.00M,,214.50M,230.60M,94.20M,136.40M,,,,,136.40M,136.40M,12.20M,442.00M,,0.20,0.00,,,0.20,0.20,,0.20,0.00,,,0.20,0.20,,682.00M,682.00M,0.00,,,
1993-01,355.00M,355.00M,,306.50M,306.50M,306.50M,,340.70M,194.90M,53.00M,141.90M,,,,12.20M,141.90M,141.90M,,1.295B,,0.82,0.00,,,0.82,0.82,,0.82,0.00,,,0.82,0.82,,155.59M,162.45M,0.12,,AOR,
1992-10,317.00M,317.00M,,379.60M,379.60M,379.60M,,434.60M,175.70M,65.10M,110.60M,,,,12.30M,110.60M,110.60M,,1.053B,,0.63,0.00,,,0.63,0.63,,0.61,0.00,,,0.61,0.61,,156.03M,161.15M,0.12,,AOR,
1992-07,418.40M,418.40M,,371.60M,371.60M,371.60M,,345.60M,195.20M,76.20M,119.00M,,,,12.50M,119.00M,119.00M,,1.723B,,0.68,0.00,,,0.68,0.68,,0.66,0.00,,,0.66,0.66,,156.62M,161.36M,0.12,,AOR,
1992-04,396.80M,396.80M,,399.00M,399.00M,399.00M,,411.50M,227.90M,88.80M,139.10M,,,,12.40M,139.10M,139.10M,,1.362B,,0.81,0.00,,,0.81,0.81,,0.78,0.00,,,0.78,0.78,,156.42M,162.44M,0.00,,AOR,
1991-12,374.40M,374.40M,,326.80M,326.80M,326.80M,,342.10M,206.00M,73.60M,132.40M,,,,9.50M,132.40M,132.40M,,1.277B,,0.81,0.00,,,0.81,0.81,,0.76,0.00,,,0.76,0.76,,151.89M,162.01M,0.105,,AOR,
1991-09,305.80M,305.80M,,361.40M,361.40M,361.40M,,421.20M,195.20M,73.40M,121.80M,,,,7.30M,121.80M,121.80M,,1.206B,,0.76,0.00,,,0.76,0.76,,0.73,0.00,,,0.73,0.73,,150.66M,156.85M,0.105,,AOR,
1991-06,286.20M,286.20M,,333.90M,333.90M,333.90M,,382.80M,167.90M,67.00M,100.90M,,,,5.90M,100.90M,100.90M,,1.126B,,0.63,0.00,,,0.63,0.63,,0.61,0.00,,,0.61,0.61,,150.79M,155.74M,0.0938,,AOR,
1991-03,298.90M,298.90M,,373.90M,373.90M,373.90M,,449.00M,203.60M,83.50M,120.10M,,,,5.40M,120.10M,120.10M,,1.088B,,0.77,0.00,,,0.77,0.77,,0.73,0.00,,,0.73,0.73,,148.96M,157.12M,0.0938,,AOR,
1990-12,255.80M,255.80M,,223.10M,223.10M,223.10M,,232.50M,101.30M,43.00M,58.30M,,,,6.60M,58.30M,58.30M,,1.090B,,0.35,0.00,,,0.35,0.35,,0.35,0.00,,,0.35,0.35,,147.82M,147.82M,0.0938,,AOR,
1990-09,288.80M,288.80M,,302.30M,302.30M,302.30M,,299.20M,127.20M,55.30M,71.90M,,,,4.50M,71.90M,71.90M,,1.089B,,0.46,0.00,,,0.46,0.46,,0.46,0.00,,,0.46,0.46,,146.52M,146.52M,0.0938,,AOR,
1990-06,468.00M,468.00M,,250.40M,250.40M,250.40M,,36.20M,100.00M,42.00M,58.00M,,,,,58.00M,58.00M,,1.042B,,0.36,0.00,,,0.36,0.36,,0.36,0.00,,,0.36,0.36,,161.11M,161.11M,0.0938,,AOR,
1990-03,261.50M,261.50M,,281.10M,281.10M,281.10M,,316.70M,141.60M,59.50M,82.10M,,,,,82.10M,82.10M,,960.50M,,0.52,0.00,,,0.52,0.52,,0.52,0.00,,,0.52,0.52,,157.88M,157.88M,0.0938,,AOR,
1989-12,396.40M,396.40M,,312.60M,312.60M,312.60M,,308.20M,243.50M,94.90M,148.60M,,,,4.30M,148.60M,148.60M,,1.132B,,0.96,0.00,,,0.96,0.96,,0.96,0.00,,,0.96,0.96,,149.89M,149.89M,0.0688,,AOR,
1989-09,284.60M,284.60M,,269.70M,269.70M,269.70M,,297.80M,167.20M,66.10M,101.10M,,,,4.50M,101.10M,101.10M,,1.068B,,0.64,0.00,,,0.64,0.64,,0.64,0.00,,,0.64,0.64,,150.94M,150.94M,0.0688,,AOR,
1989-06,324.40M,324.40M,,294.60M,294.60M,294.60M,,307.10M,190.00M,77.90M,112.10M,,,,5.00M,112.10M,112.10M,,1.075B,,0.71,0.00,,,0.71,0.71,,0.71,0.00,,,0.71,0.71,,150.85M,150.85M,0.0563,,AOR,
1989-03,,,,,,,,,,,81.10M,,,,,81.10M,81.10M,,,,0.51,0.00,,,0.51,0.51,,0.51,0.00,,,0.51,0.51,,159.02M,159.02M,0.0563,,AOR,
1988-12,,,,,,,,,,,108.30M,,,,,108.30M,108.30M,,,,0.71,0.00,,,0.71,0.71,,0.71,0.00,,,0.71,0.71,,129.04M,129.04M,0.0417,,AOR,
1988-09,,,,,,,,,,,52.40M,,,,,52.40M,52.40M,,,,0.33,0.00,,,0.33,0.33,,0.33,0.00,,,0.33,0.33,,158.79M,158.79M,0.0417,,AOR,
1988-06,,,,,,,,,,,135.30M,,,,,135.30M,135.30M,,,,0.88,0.00,,,0.88,0.88,,0.88,0.00,,,0.88,0.88,,153.75M,153.75M,0.0375,,AOR,
1988-03,,,,,,,,,,,98.60M,,,,,98.60M,98.60M,,,,0.64,0.00,,,0.64,0.64,,0.64,0.00,,,0.64,0.64,,154.06M,154.06M,0.0375,,AOR,
1987-12,,,,,,,,,,,31.30M,,,,,31.30M,31.30M,,,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,158.63M,158.63M,0.0334,,AOR,
1987-09,,,,,,,,,,,72.90M,,,,,72.90M,72.90M,,,,0.47,0.00,,,0.47,0.47,,0.47,0.00,,,0.47,0.47,,155.11M,155.11M,0.0334,,AOR,
1987-06,,,,,,,,,,,62.40M,,,,,62.40M,62.40M,,,,0.41,0.00,,,0.41,0.41,,0.41,0.00,,,0.41,0.41,,152.20M,152.20M,0.0334,,AOR,
1987-03,,,,,,,,,,,64.30M,,,,,64.30M,64.30M,,,,0.43,0.00,,,0.43,0.43,,0.43,0.00,,,0.43,0.43,,149.53M,149.53M,0.0334,,AOR,
1986-12,,,,,,,,,,,58.30M,,,,,58.30M,58.30M,,,,0.39,0.00,,,0.39,0.39,,0.39,0.00,,,0.39,0.39,,147.64M,147.64M,0.0292,,AOR,
1986-09,,,,,,,,,,,39.50M,,,,,39.50M,39.50M,,,,0.27,0.00,,,0.27,0.27,,0.27,0.00,,,0.27,0.27,,146.30M,146.30M,0.0292,,AOR,
1986-06,,,,,,,,,,,45.50M,,,,,45.50M,45.50M,,,,0.31,0.00,,,0.31,0.31,,0.31,0.00,,,0.31,0.31,,146.77M,146.77M,,,AOR,
1986-03,,,,,,,,,,,58.00M,,,,,58.00M,58.00M,,,,0.47,0.00,,,0.47,0.47,,0.47,0.00,,,0.47,0.47,,123.40M,123.40M,,,AOR,
1985-12,,,,,,,,,,,26.50M,,,,,26.50M,26.50M,,,,0.22,0.00,,,0.22,0.22,,0.22,0.00,,,0.22,0.22,,115.94M,115.94M,,,AOR,
1985-09,,,,,,,,,,,26.50M,,,,,26.50M,26.50M,,,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,115.22M,115.22M,,,AOR,
1985-06,,,,,,,,,,,26.50M,,,,,26.50M,26.50M,,,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,115.22M,115.22M,,,AOR,
1985-03,,,,,,,,,,,26.50M,,,,,26.50M,26.50M,,,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,115.22M,115.22M,,,AOR,
