,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-03,1.519B,1.519B,473.00M,1.046B,,,,11.00M,57.00M,,,,454.00M,681.00M,365.00M,,,,11.00M,,250.00M,72.00M,178.00M,-1.00M,,-3.00M,,177.00M,170.17M,535.00M,,365.00M,,0.50,0.00,,0.4779,0.50,,0.495,0.00,,0.4731,0.495,,354.00M,357.58M,0.205,,,
2003-12,1.288B,1.288B,301.00M,987.00M,,,,9.00M,67.00M,,,,405.00M,629.00M,358.00M,,,,9.00M,,276.00M,-22.00M,298.00M,-33.00M,-28.00M,27.00M,,237.00M,292.60M,515.00M,,358.00M,,0.765,-0.08,0.00,0.7494,0.685,,0.725,-0.08,-0.0835,0.7105,0.645,,346.76M,371.85M,0.1925,,,
2003-09,1.462B,1.462B,457.00M,1.005B,,,,15.00M,64.00M,,,,414.00M,642.00M,363.00M,,,,15.00M,,254.00M,83.00M,171.00M,,,-5.00M,,171.00M,160.90M,527.00M,,363.00M,,0.485,0.00,,0.4564,0.485,,0.485,0.00,,0.4564,0.485,,352.58M,352.58M,0.1925,,,
2003-06,1.339B,1.339B,386.00M,953.00M,,,,23.00M,60.00M,,,,459.00M,667.00M,286.00M,,,,23.00M,,166.00M,49.00M,117.00M,-1.00M,,-15.00M,,116.00M,100.79M,434.00M,,286.00M,,0.34,0.00,,0.2925,0.34,,0.335,0.00,,0.2882,0.335,,341.18M,346.27M,0.1925,,,
2003-03,1.488B,1.488B,499.00M,989.00M,,,,10.00M,65.00M,,,,398.00M,630.00M,359.00M,,,,10.00M,,245.00M,69.00M,176.00M,,63.00M,-14.00M,,239.00M,168.82M,526.00M,,359.00M,,0.53,0.185,0.00,0.5085,0.715,,0.53,0.185,0.1885,0.5085,0.715,,334.27M,334.27M,0.1925,,,
2002-12,1.426B,1.426B,446.00M,980.00M,,,,10.00M,59.00M,,,,485.00M,703.00M,277.00M,,,,10.00M,,149.00M,16.00M,133.00M,,0.00,-2.00M,15.00M,131.00M,124.07M,436.00M,,277.00M,,0.365,0.50,0.00,0.3373,0.375,,0.365,0.50,0.0102,0.3379,0.37,,322.05M,329.03M,0.18,,,
2002-09,1.462B,1.462B,428.00M,1.034B,,,,4.00M,54.00M,,,,432.00M,640.00M,394.00M,,,,4.00M,,216.00M,78.00M,138.00M,,,-21.00M,16.00M,138.00M,135.44M,548.00M,,394.00M,,0.405,0.00,,0.3966,0.405,,0.40,0.00,,0.3916,0.40,,303.13M,303.70M,0.18,,,
2002-06,1.301B,1.301B,471.00M,830.00M,,,,6.00M,47.00M,,,,582.00M,743.00M,87.00M,,,,6.00M,,-8.00M,4.00M,-12.00M,,,-1.00M,15.00M,-12.00M,-15.60M,201.00M,,87.00M,,-0.09,0.00,,-0.1022,-0.09,,-0.09,0.00,,-0.1022,-0.09,,294.30M,294.30M,0.18,,,
2002-03,1.354B,1.354B,345.00M,1.009B,,,,7.00M,61.00M,,,,409.00M,609.00M,400.00M,,,,7.00M,,251.00M,86.00M,165.00M,,-150.00M,-26.00M,18.00M,15.00M,160.40M,539.00M,,400.00M,,0.50,-0.51,-0.0000,0.4843,-0.01,,0.50,-0.51,-0.5111,0.4844,-0.01,,293.51M,294.18M,0.18,,,
2001-12,1.319B,1.319B,468.00M,851.00M,,,,-5.00M,35.00M,,,,879.00M,1.04B,-189.00M,,,,-5.00M,,-291.00M,14.00M,-305.00M,,,6.00M,17.00M,-295.00M,-302.00M,-63.00M,,-189.00M,,-1.105,0.03,,-1.095,-1.075,,-1.105,0.03,,-1.095,-1.075,,298.86M,298.86M,0.1325,,,
2001-09,1.225B,1.225B,315.00M,910.00M,,,,9.00M,40.00M,,,,401.00M,573.00M,337.00M,,,,9.00M,,254.00M,86.00M,168.00M,,,-1.00M,16.00M,168.00M,162.05M,469.00M,,337.00M,,0.52,0.00,,0.4996,0.52,,0.52,0.00,,0.4997,0.52,,292.48M,293.50M,0.1325,,,
2001-06,1.411B,1.411B,554.00M,857.00M,,,,6.00M,39.00M,,,,448.00M,609.00M,248.00M,,,,6.00M,,165.00M,35.00M,130.00M,,,-1.00M,13.00M,130.00M,125.27M,370.00M,,248.00M,,0.40,0.00,,0.3838,0.40,,0.40,0.00,,0.3839,0.40,,291.80M,293.40M,0.1325,,,
2001-03,1.566B,1.566B,583.00M,983.00M,,,,4.00M,41.00M,,,,423.00M,527.00M,456.00M,,,,4.00M,,354.00M,126.00M,228.00M,,,-2.00M,6.00M,228.00M,225.42M,519.00M,,456.00M,,0.765,0.00,,0.7561,0.765,,0.76,0.00,,0.7512,0.76,,290.20M,292.11M,0.1325,,,
2000-12,367.00M,367.00M,-569.00M,936.00M,,,,-28.00M,44.00M,,,,656.00M,616.00M,320.00M,,,,-28.00M,,203.00M,79.00M,124.00M,,,0.00,7.00M,135.00M,141.10M,320.00M,,320.00M,,0.405,0.035,,0.4640,0.44,,0.40,0.035,,0.4586,0.435,,289.79M,291.91M,0.1325,,,
2000-09,1.468B,1.468B,690.00M,778.00M,,,,1.00M,38.00M,,,,319.00M,465.00M,313.00M,,,,1.00M,,217.00M,75.00M,142.00M,,,-3.00M,6.00M,142.00M,141.35M,421.00M,,313.00M,,0.47,0.00,,0.4677,0.47,,0.47,0.00,,0.4677,0.47,,289.16M,290.19M,0.1325,,,
2000-06,1.297B,1.297B,593.00M,704.00M,,,,8.00M,49.00M,,,,298.00M,463.00M,241.00M,,,,8.00M,,157.00M,58.00M,99.00M,,,,7.00M,99.00M,93.96M,357.00M,,241.00M,,0.32,0.00,,0.3025,0.32,,0.32,0.00,,0.3025,0.32,,288.27M,288.27M,0.1325,,,
2000-03,1.413B,1.413B,608.00M,805.00M,,,,-1.00M,60.00M,,,,294.00M,485.00M,320.00M,,,,-1.00M,,230.00M,82.00M,148.00M,,,-1.00M,6.00M,148.00M,148.64M,451.00M,,320.00M,,0.495,0.00,,0.4972,0.495,,0.495,0.00,,0.4972,0.495,,287.39M,287.39M,0.1325,,,
1999-12,1.133B,1.133B,460.00M,673.00M,,,,90.00M,25.00M,,,,535.00M,465.00M,208.00M,,,,90.00M,,223.00M,82.00M,141.00M,,,-1.00M,7.00M,154.00M,84.09M,113.00M,-95.00M,208.00M,,0.46,0.035,,0.2655,0.495,,0.46,0.035,,0.2655,0.495,,292.58M,292.58M,0.125,,,
1999-09,1.386B,1.386B,691.00M,695.00M,,,,,40.00M,,,,317.00M,457.00M,238.00M,,,,,,145.00M,-22.00M,167.00M,,-59.00M,-13.00M,6.00M,108.00M,167.00M,338.00M,100.00M,238.00M,,0.535,-0.195,0.00,0.535,0.34,,0.535,-0.195,-0.1967,0.535,0.34,,300.00M,300.00M,0.125,,,
1999-06,1.004B,1.004B,458.00M,546.00M,,,,7.00M,43.00M,,,,237.00M,382.00M,164.00M,,,,7.00M,,110.00M,40.00M,70.00M,,,,7.00M,70.00M,65.55M,266.00M,102.00M,164.00M,,0.20,0.00,,0.1859,0.20,,0.20,0.00,,0.1859,0.20,,315.00M,315.00M,0.125,,,
1999-03,1.067B,1.067B,401.00M,666.00M,,,,,53.00M,,,,246.00M,404.00M,262.00M,,,,,,200.00M,74.00M,126.00M,,,,6.00M,126.00M,126.00M,367.00M,105.00M,262.00M,,0.38,0.00,,0.38,0.38,,0.38,0.00,,0.38,0.38,,315.79M,315.79M,0.125,,,
1998-12,902.00M,902.00M,327.00M,575.00M,,,,1.00M,52.00M,,,,165.00M,356.00M,219.00M,,,,1.00M,,154.00M,59.00M,95.00M,,0.00,,6.00M,95.00M,94.38M,358.00M,,219.00M,,0.275,-0.035,0.00,0.2730,0.24,,0.275,-0.035,-0.0441,0.2732,0.24,,313.58M,334.01M,0.125,,,
1998-09,1.166B,1.166B,564.00M,602.00M,,,,-9.00M,34.00M,,,,213.00M,315.00M,287.00M,,,,-9.00M,,220.00M,78.00M,142.00M,,,,6.00M,142.00M,147.81M,355.00M,,287.00M,,0.405,0.00,,0.4223,0.405,,0.405,0.00,,0.4223,0.405,,335.80M,335.80M,0.125,,,
1998-06,838.00M,838.00M,336.00M,502.00M,,,,4.00M,49.00M,,,,211.00M,354.00M,148.00M,,,,4.00M,,98.00M,38.00M,60.00M,,-948.00M,,7.00M,-888.00M,57.55M,242.00M,,148.00M,,0.16,-2.83,-0.0000,0.1527,-2.67,,0.16,-2.83,-2.828,0.1527,-2.67,,335.21M,335.21M,0.2088,,,
1998-03,880.00M,880.00M,327.00M,553.00M,,,,7.00M,54.00M,,,,169.00M,317.00M,236.00M,,,,7.00M,,191.00M,84.00M,107.00M,,,,6.00M,107.00M,102.80M,330.00M,,236.00M,,0.30,0.00,,0.2875,0.30,,0.30,0.00,,0.2875,0.30,,336.67M,336.67M,0.2088,,,
1997-12,827.20M,827.20M,272.00M,555.20M,,,,-43.00M,48.00M,,,,107.00M,329.00M,226.20M,,,,-43.00M,,131.00M,51.00M,80.00M,,,,7.00M,80.00M,106.26M,400.20M,,226.20M,,0.22,0.00,,0.2992,0.22,,0.22,0.00,,0.2992,0.22,,331.73M,331.73M,0.2088,,,
1997-09,777.80M,777.80M,272.00M,505.80M,,,,3.00M,50.00M,,,,211.00M,355.00M,150.80M,,,,3.00M,,101.00M,53.00M,48.00M,,,,6.00M,48.00M,46.20M,244.80M,,150.80M,,0.125,0.00,,0.1196,0.125,,0.125,0.00,,0.1196,0.125,,336.00M,336.00M,0.2088,,,
1997-06,686.00M,686.00M,209.00M,477.00M,,,,6.00M,,,,,170.00M,263.00M,214.00M,,,,6.00M,,165.00M,96.00M,69.00M,,,,4.00M,69.00M,65.40M,307.00M,,214.00M,,0.195,0.00,,0.1842,0.195,,0.195,0.00,,0.1842,0.195,,333.33M,333.33M,0.2088,,,
1997-03,786.00M,786.00M,227.00M,559.00M,,,,7.00M,56.00M,,,,152.00M,300.00M,259.00M,,,,7.00M,,212.00M,88.00M,124.00M,,,,7.00M,124.00M,119.80M,351.00M,,259.00M,,0.36,0.00,,0.3471,0.36,,0.36,0.00,,0.3471,0.36,,325.00M,325.00M,0.209,,,
1996-12,737.00M,737.00M,202.00M,535.00M,,,,11.00M,47.00M,,,,203.00M,350.00M,185.00M,,,,11.00M,,140.00M,60.00M,80.00M,,,,7.00M,80.00M,73.40M,285.00M,,185.00M,,0.225,0.00,,0.2046,0.225,,0.225,0.00,,0.2046,0.225,,323.90M,323.90M,0.2088,,,
1996-09,715.00M,715.00M,208.00M,507.00M,,,,6.00M,50.00M,,,,157.00M,319.00M,188.00M,,,,6.00M,,138.00M,52.00M,86.00M,,,,7.00M,86.00M,82.26M,300.00M,,188.00M,,0.245,0.00,,0.2334,0.245,,0.245,0.00,,0.2334,0.245,,322.45M,322.45M,0.2088,,,
1996-06,669.00M,669.00M,,,,,,,,,,,,,669.00M,,,,,,,,68.00M,,,,,68.00M,68.00M,669.00M,,669.00M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,321.05M,321.05M,0.209,,,
1996-03,789.00M,789.00M,215.00M,574.00M,,,,3.00M,57.00M,,,,148.00M,309.00M,265.00M,,,,3.00M,,212.00M,89.00M,123.00M,,,,7.00M,123.00M,121.20M,369.00M,,265.00M,,0.365,0.00,,0.3593,0.365,,0.365,0.00,,0.3593,0.365,,317.81M,317.81M,0.209,,,
1995-12,732.90M,732.90M,188.60M,544.30M,,,,39.70M,51.10M,,,,215.90M,364.00M,180.30M,,,,39.70M,,163.80M,67.30M,96.50M,,,,7.00M,96.50M,72.68M,277.30M,,180.30M,,0.295,0.00,,0.2159,0.295,,0.295,0.00,,0.2159,0.295,,300.96M,300.96M,0.2088,,,
1995-09,682.20M,682.20M,192.10M,490.10M,,,,-20.20M,48.20M,,,,71.30M,218.80M,271.30M,,,,-20.20M,,194.50M,100.40M,94.10M,,,,6.90M,94.10M,106.22M,370.60M,,271.30M,,0.275,0.00,,0.3132,0.275,,0.275,0.00,,0.3132,0.275,,317.09M,317.09M,0.209,,,
1995-06,609.20M,609.20M,160.90M,448.30M,,,,2.30M,47.70M,,,,164.60M,308.40M,139.90M,,,,2.30M,,87.40M,35.70M,51.70M,,,,6.90M,51.70M,50.32M,236.00M,,139.90M,,0.14,0.00,,0.1357,0.14,,0.14,0.00,,0.1357,0.14,,320.00M,320.00M,0.209,,,
1995-03,727.50M,727.50M,187.60M,539.90M,,,,0.60M,53.70M,,,,141.80M,296.20M,243.70M,,,,0.60M,,190.30M,82.00M,108.30M,,,,6.90M,108.30M,107.94M,344.40M,,243.70M,,0.325,0.00,,0.3238,0.325,,0.325,0.00,,0.3238,0.325,,312.00M,312.00M,0.209,,,
1994-12,654.30M,654.30M,,,,,,,,,,,,,654.30M,,,,,,,,-0.30M,,,,,-0.30M,-0.30M,654.30M,,654.30M,,-0.025,0.00,,-0.025,-0.025,,-0.025,0.00,,-0.025,-0.025,,308.12M,308.12M,0.209,,,
1994-09,661.10M,661.10M,,,,,,,,,,,,,661.10M,,,,,,,,77.00M,,,,,77.00M,77.00M,661.10M,,661.10M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,304.78M,304.78M,0.2088,,,
1994-06,640.20M,640.20M,,,,,,,,,,,,,640.20M,,,,,,,,54.00M,,,,,54.00M,54.00M,640.20M,,640.20M,,0.155,0.00,,0.155,0.155,,0.155,0.00,,0.155,0.155,,303.87M,303.87M,0.2088,,,
1994-03,769.50M,769.50M,225.20M,544.30M,,,,-1.30M,57.20M,,,,141.50M,286.20M,258.10M,,,,-1.30M,,201.10M,87.40M,113.70M,,,,7.60M,113.70M,114.48M,345.60M,,258.10M,,0.35,0.00,,0.3526,0.35,,0.35,0.00,,0.3526,0.35,,303.14M,303.14M,0.2088,,,
1993-12,695.70M,695.70M,,,,,,,,,,,,,695.70M,,,,,,,,80.70M,,,,,80.70M,80.70M,695.70M,,695.70M,,0.24,0.00,,0.24,0.24,,0.24,0.00,,0.24,0.24,,303.73M,303.73M,0.2063,,,
1993-09,683.50M,683.50M,,,,,,,,,,,,,683.50M,,,,,,,,81.80M,,,,,81.80M,81.80M,683.50M,,683.50M,,0.245,0.00,,0.245,0.245,,0.245,0.00,,0.245,0.245,,305.71M,305.71M,0.2063,,,
1993-06,620.40M,620.40M,,,,,,,,,,,,,620.40M,,,,,,,,69.90M,,,,,69.90M,69.90M,620.40M,,620.40M,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,301.50M,301.50M,0.2063,,,
1993-03,727.40M,727.40M,,,,,,,,,,,,,727.40M,,,,,,,,115.80M,,,,,115.80M,115.80M,727.40M,,727.40M,,0.35,0.00,,0.35,0.35,,0.35,0.00,,0.35,0.35,,303.71M,303.71M,0.2063,,,
1992-12,686.30M,686.30M,,,,,,,,,,,,,686.30M,,,,,,,,91.00M,,,,,91.00M,91.00M,686.30M,,686.30M,,0.27,0.00,,0.27,0.27,,0.27,0.00,,0.27,0.27,,300.11M,300.11M,0.20,,,
1992-09,655.90M,655.90M,,,,,,,,,,,,,655.90M,,,,,,,,72.90M,,,,,72.90M,72.90M,655.90M,,655.90M,,0.205,0.00,,0.205,0.205,,0.205,0.00,,0.205,0.205,,306.34M,306.34M,0.20,,,
1992-06,645.10M,645.10M,,,,,,,,,,,,,645.10M,,,,,,,,69.80M,,,,,69.80M,69.80M,645.10M,,645.10M,,0.195,0.00,,0.195,0.195,,0.195,0.00,,0.195,0.195,,306.15M,306.15M,0.20,,,
1992-03,756.80M,756.80M,,,,,,,,,,,,,756.80M,,,,,,,,113.00M,,,,,113.00M,113.00M,756.80M,,756.80M,,0.34,0.00,,0.34,0.34,,0.34,0.00,,0.34,0.34,,332.35M,332.35M,0.20,,,
1991-12,655.50M,655.50M,,,,,,,,,,,,,655.50M,,,,,,,,84.70M,,,,,84.70M,84.70M,655.50M,,655.50M,,0.245,0.00,,0.245,0.245,,0.245,0.00,,0.245,0.245,,303.31M,303.31M,0.1938,,,
1991-09,630.70M,630.70M,,,,,,,,,,,,,630.70M,,,,,,,,80.90M,,,,,80.90M,80.90M,630.70M,,630.70M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,351.74M,351.74M,0.1938,,,
1991-06,655.10M,655.10M,,,,,,,,,,,,,655.10M,,,,,,,,72.50M,,,,,72.50M,72.50M,655.10M,,655.10M,,0.205,0.00,,0.205,0.205,,0.205,0.00,,0.205,0.205,,353.66M,353.66M,0.1938,,,
1991-03,664.90M,664.90M,,,,,,,,,,,,,664.90M,,,,,,,,110.40M,,,,,110.40M,110.40M,664.90M,,664.90M,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,334.55M,334.55M,0.1938,,,
1990-12,616.90M,616.90M,,,,,,,,,,,,,616.90M,,,,,,,,86.60M,,,,,86.60M,86.60M,616.90M,,616.90M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,302.02M,302.02M,0.1863,,,
1990-09,578.90M,578.90M,,,,,,,,,,,,,578.90M,,,,,,,,82.90M,,,,,82.90M,82.90M,578.90M,,578.90M,,0.24,0.00,,0.24,0.24,,0.24,0.00,,0.24,0.24,,345.42M,345.42M,0.1863,,,
1990-06,558.70M,558.70M,,,,,,,,,,,,,558.70M,,,,,,,,66.80M,,,,,66.80M,66.80M,558.70M,,558.70M,,0.185,0.00,,0.185,0.185,,0.185,0.00,,0.185,0.185,,361.08M,361.08M,0.1863,,,
1990-03,634.20M,634.20M,,,,,,,,,,,,,634.20M,,,,,,,,107.60M,,,,,107.60M,107.60M,634.20M,,634.20M,,0.32,0.00,,0.32,0.32,,0.32,0.00,,0.32,0.32,,336.25M,336.25M,0.1863,,,
1989-12,661.90M,661.90M,,,,,,,,,,,,,661.90M,,,,,,,,108.10M,,,,,108.10M,108.10M,661.90M,,661.90M,,0.32,0.00,,0.32,0.32,,0.32,0.00,,0.32,0.32,,301.69M,301.69M,0.1788,,,
1989-09,548.60M,548.60M,,,,,,,,,,,,,548.60M,,,,,,,,79.40M,,,,,79.40M,79.40M,548.60M,,548.60M,,0.225,0.00,,0.225,0.225,,0.225,0.00,,0.225,0.225,,352.89M,352.89M,0.1788,,,
1989-06,532.80M,532.80M,,,,,,,,,,,,,532.80M,,,,,,,,64.70M,,,,,64.70M,64.70M,532.80M,,532.80M,,0.175,0.00,,0.175,0.175,,0.175,0.00,,0.175,0.175,,369.71M,369.71M,0.1788,,,
1989-03,613.10M,613.10M,,,,,,,,,,,,,613.10M,,,,,,,,101.20M,,,,,101.20M,,613.10M,,613.10M,,0.295,0.00,,0.295,0.295,,0.295,0.00,,0.295,0.295,,277.79M,277.79M,0.1788,,,
1988-12,552.00M,552.00M,,,,,,,,,,,,,552.00M,,,,,,,,75.80M,,,,,75.80M,,552.00M,,552.00M,,,,,,,,,,,,,,300.99M,300.99M,0.1725,,,
1988-09,532.90M,532.90M,,,,,,,,,,,,,532.90M,,,,,,,,76.20M,,,,,76.20M,,532.90M,,532.90M,,0.215,0.00,,0.215,0.215,,0.215,0.00,,0.215,0.215,,300.09M,300.09M,0.1725,,,
1988-06,521.60M,521.60M,,,,,,,,,,,,,521.60M,,,,,,,,68.40M,,,,,68.40M,,521.60M,,521.60M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,299.89M,299.89M,0.1725,,,
1988-03,607.40M,607.40M,,,,,,,,,,,,,607.40M,,,,,,,,111.60M,,,,,111.60M,,607.40M,,607.40M,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,299.65M,299.65M,0.1725,,,
1987-12,554.10M,554.10M,,,,,,,,,,,,,554.10M,,,,,,,,76.80M,,,,,76.80M,,554.10M,,554.10M,,,,,,,,,,,,,,298.58M,298.58M,0.1675,,,
1987-09,500.10M,500.10M,,,,,,,,,,,,,500.10M,,,,,,,,69.60M,,,,,69.60M,,500.10M,,500.10M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,298.05M,298.05M,0.1675,,,
1987-06,484.40M,484.40M,,,,,,,,,,,,,484.40M,,,,,,,,64.70M,,,,,64.70M,,484.40M,,484.40M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,298.05M,298.05M,0.1675,,,
1987-03,550.30M,550.30M,,,,,,,,,,,,,550.30M,,,,,,,,91.40M,,,,,91.40M,,550.30M,,550.30M,,0.265,0.00,,0.265,0.265,,0.265,0.00,,0.265,0.265,,298.05M,298.05M,0.1675,,,
1986-12,545.60M,545.60M,,,,,,,,,,,,,545.60M,,,,,,,,76.90M,,,,,76.90M,,545.60M,,545.60M,,,,,,,,,,,,,,298.05M,298.05M,0.1625,,,
1986-09,528.70M,528.70M,,,,,,,,,,,,,528.70M,,,,,,,,67.50M,,,,,67.50M,,528.70M,,528.70M,,0.175,0.00,,0.175,0.175,,0.175,0.00,,0.175,0.175,,298.05M,298.05M,0.1625,,,
1986-06,518.50M,518.50M,,,,,,,,,,,,,518.50M,,,,,,,,60.50M,,,,,60.50M,,518.50M,,518.50M,,0.145,0.00,,0.145,0.145,,0.145,0.00,,0.145,0.145,,298.05M,298.05M,0.16,,,
1986-03,596.10M,596.10M,,,,,,,,,,,,,596.10M,,,,,,,,95.20M,,,,,95.20M,,596.10M,,596.10M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,298.05M,298.05M,0.16,,,
1985-12,525.80M,525.80M,,,,,,,,,,,,,525.80M,,,,,,,,66.50M,,,,,66.50M,,525.80M,,525.80M,,,,,,,,,,,,,,298.05M,298.05M,0.16,,,
1985-09,483.80M,483.80M,,,,,,,,,,,,,483.80M,,,,,,,,60.60M,,,,,60.60M,,483.80M,,483.80M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,298.05M,298.05M,0.16,,,
1985-06,480.40M,480.40M,,,,,,,,,,,,,480.40M,,,,,,,,58.90M,,,,,58.90M,,480.40M,,480.40M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,298.05M,298.05M,0.16,,,
1985-03,486.50M,486.50M,,,,,,,,,,,,,486.50M,,,,,,,,104.60M,,,,,104.60M,,486.50M,,486.50M,,0.275,0.00,,0.275,0.275,,0.275,0.00,,0.275,0.275,,298.05M,298.05M,0.16,,,
1984-12,382.00M,382.00M,,,,,,,,,,,,,382.00M,,,,,,,,78.10M,,,,,78.10M,,382.00M,,382.00M,,,,,,,,,,,,,,298.05M,298.05M,0.155,,,
1984-09,350.00M,350.00M,,,,,,,,,,,,,350.00M,,,,,,,,76.50M,,,,,76.50M,,350.00M,,350.00M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,293.98M,293.98M,,,,
1984-06,351.30M,351.30M,,,,,,,,,,,,,351.30M,,,,,,,,66.00M,,,,,66.00M,,351.30M,,351.30M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,289.73M,289.73M,,,,
1984-03,479.50M,479.50M,,,,,,,,,,,,,479.50M,,,,,,,,98.20M,,,,,98.20M,,479.50M,,479.50M,,0.27,0.00,,0.27,0.27,,0.27,0.00,,0.27,0.27,,285.41M,285.41M,,,,
