,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-09,10.07B,10.07B,3.761B,6.312B,2.472B,2.472B,1.50B,,-113.00M,165.00M,68.00M,-97.00M,,3.972B,2.34B,68.00M,165.00M,-97.00M,154.00M,-97.00M,2.397B,566.00M,1.831B,,-5.00M,1.826B,2.087B,4.132B,1.57B,2.562B,,0.65,,0.7426,0.65,,0.64,,0.7319,0.64,,2.814B,2.836B,0.45,,AOR,Restated
2015-06,9.785B,9.785B,3.754B,6.031B,2.624B,2.624B,1.67B,,-191.00M,174.00M,71.00M,-103.00M,,4.294B,1.737B,71.00M,174.00M,-103.00M,-827.00M,-103.00M,807.00M,119.00M,688.00M,,-1.00M,687.00M,1.461B,2.589B,1.608B,981.00M,,0.24,,0.5138,0.24,,0.24,,0.5115,0.24,,2.826B,2.85B,0.45,,AOR,Restated
2015-03,9.425B,9.425B,3.569B,5.856B,2.601B,2.601B,1.737B,,-82.00M,164.00M,74.00M,-90.00M,,4.338B,1.518B,74.00M,164.00M,-90.00M,-47.00M,-90.00M,1.381B,423.00M,958.00M,,-5.00M,953.00M,1.076B,3.182B,1.637B,1.545B,,0.34,,0.3833,0.34,,0.33,,0.3729,0.33,,2.835B,2.865B,0.45,,AOR,Restated
2014-12,10.48B,10.48B,3.749B,6.733B,2.925B,2.925B,2.283B,,-349.00M,165.00M,76.00M,-89.00M,,5.208B,1.525B,76.00M,165.00M,-89.00M,10.38B,-89.00M,11.81B,4.484B,7.327B,,-11.00M,7.316B,7.573B,13.55B,1.573B,11.98B,,2.578,,2.668,2.578,,2.54,,2.629,2.54,,2.849B,2.886B,0.45,,AOR,Restated
2014-09,10.56B,10.56B,4.223B,6.334B,2.975B,2.975B,1.659B,,-376.00M,191.00M,69.00M,-122.00M,,4.634B,1.70B,69.00M,191.00M,-122.00M,-88.00M,-122.00M,1.49B,648.00M,842.00M,,53.00M,895.00M,1.179B,3.292B,1.611B,1.681B,,0.31,,0.4087,0.31,,0.31,,0.4076,0.31,,2.879B,2.911B,0.44,,AOR,Restated
2014-06,10.93B,10.93B,4.893B,6.041B,2.973B,2.973B,1.664B,,-163.00M,188.00M,59.00M,-129.00M,,4.637B,1.404B,59.00M,188.00M,-129.00M,616.00M,-129.00M,1.891B,-142.00M,2.033B,,-29.00M,2.004B,2.173B,3.832B,1.753B,2.079B,,0.69,,0.7480,0.69,,0.68,,0.7374,0.68,,2.917B,2.949B,0.44,,AOR,Restated
2014-03,10.26B,10.26B,3.903B,6.361B,2.734B,2.734B,1.574B,,-125.00M,188.00M,61.00M,-127.00M,,4.308B,2.053B,61.00M,188.00M,-127.00M,165.00M,-127.00M,2.091B,360.00M,1.731B,,-26.00M,1.705B,1.837B,4.033B,1.754B,2.279B,,0.58,,0.6249,0.58,,0.57,,0.6143,0.57,,2.934B,2.971B,0.44,,AOR,Restated
2013-12,11.32B,11.32B,4.607B,6.713B,2.982B,2.982B,1.835B,,-565.00M,201.00M,75.00M,-126.00M,,4.817B,1.896B,75.00M,201.00M,-126.00M,-545.00M,-126.00M,1.225B,410.00M,815.00M,,-34.00M,781.00M,1.165B,3.38B,1.954B,1.426B,,0.2668,,0.3979,0.2668,,0.26,,0.3896,0.26,,2.927B,2.963B,0.44,,AOR,Restated
2013-09,11.03B,11.03B,4.104B,6.928B,2.803B,2.803B,1.66B,,-870.00M,215.00M,67.00M,-148.00M,,4.463B,2.465B,67.00M,215.00M,-148.00M,-792.00M,-148.00M,1.525B,375.00M,1.15B,,-26.00M,1.124B,1.788B,3.445B,1.705B,1.74B,,0.38,,0.6069,0.38,,0.38,,0.6044,0.38,,2.927B,2.96B,0.43,,AOR,Restated
2013-06,11.01B,11.01B,4.284B,6.726B,3.14B,3.14B,2.101B,,-155.00M,201.00M,65.00M,-136.00M,,5.241B,1.485B,65.00M,201.00M,-136.00M,-104.00M,-136.00M,1.245B,310.00M,935.00M,,-29.00M,906.00M,1.064B,3.101B,1.655B,1.446B,,0.30,,0.3530,0.30,,0.30,,0.3524,0.30,,2.977B,3.01B,0.43,,AOR,Restated
2013-03,10.67B,10.67B,3.959B,6.712B,2.987B,2.987B,1.907B,,-119.00M,184.00M,57.00M,-127.00M,,4.894B,1.818B,57.00M,184.00M,-127.00M,-141.00M,-127.00M,1.55B,-66.00M,1.616B,,-23.00M,1.593B,1.910B,3.408B,1.674B,1.734B,,0.53,,0.6348,0.53,,0.52,,0.6238,0.52,,3.022B,3.053B,0.43,,AOR,Restated
2012-12,11.74B,11.74B,4.16B,7.577B,3.39B,3.39B,2.224B,,-191.00M,190.00M,55.00M,-135.00M,,5.614B,1.963B,55.00M,190.00M,-135.00M,-494.00M,-135.00M,1.334B,385.00M,949.00M,,-42.00M,907.00M,1.082B,3.185B,1.661B,1.524B,,0.4629,,0.5206,0.4629,,0.46,,0.5169,0.46,,3.035B,3.073B,0.43,,AOR,Restated
2012-09,11.49B,11.49B,4.137B,7.351B,3.063B,3.063B,1.918B,,-110.00M,178.00M,47.00M,-131.00M,,4.981B,2.37B,47.00M,178.00M,-131.00M,-21.00M,-131.00M,2.218B,455.00M,1.763B,,-34.00M,1.729B,1.856B,4.119B,1.723B,2.396B,,0.57,,0.6118,0.57,,0.56,,0.6013,0.56,,3.045B,3.079B,0.42,,AOR,Restated
2012-06,12.31B,12.31B,4.112B,8.199B,3.249B,3.249B,2.165B,,-144.00M,172.00M,76.00M,-96.00M,,5.414B,2.785B,76.00M,172.00M,-96.00M,-9.00M,-96.00M,2.68B,860.00M,1.82B,,-27.00M,1.793B,1.900B,4.656B,1.804B,2.852B,,0.59,,0.6251,0.59,,0.58,,0.6147,0.58,,3.041B,3.072B,0.42,,AOR,Restated
2012-03,11.73B,11.73B,4.037B,7.694B,3.074B,3.074B,1.862B,,-219.00M,175.00M,55.00M,-120.00M,,4.936B,2.758B,55.00M,175.00M,-120.00M,-131.00M,-120.00M,2.507B,740.00M,1.767B,,-29.00M,1.738B,1.940B,4.472B,1.79B,2.682B,,0.57,,0.6363,0.57,,0.56,,0.6256,0.56,,3.043B,3.074B,0.42,,AOR,Restated
2011-12,12.29B,12.29B,4.176B,8.118B,,3.704B,2.419B,,-246.00M,173.00M,43.00M,-130.00M,,6.123B,1.995B,43.00M,173.00M,-130.00M,-284.00M,-130.00M,1.581B,38.00M,1.543B,,-31.00M,1.512B,1.792B,3.615B,1.861B,1.754B,,0.4972,,0.5892,0.4972,,0.49,0.00,0.5812,0.49,,3.047B,3.07B,0.42,,AOR,Restated
2011-09,12.02B,12.02B,4.352B,7.67B,,3.34B,1.954B,,18.00M,176.00M,32.00M,-144.00M,,5.294B,2.376B,32.00M,176.00M,-144.00M,120.00M,-144.00M,2.352B,628.00M,1.724B,,-32.00M,1.692B,1.722B,4.431B,1.903B,2.528B,,0.55,0.00,0.5598,0.55,,0.55,0.00,0.5597,0.55,,3.07B,3.091B,0.38,,AOR,Restated
2011-06,12.15B,12.15B,4.284B,7.867B,,3.525B,1.936B,,-657.00M,170.00M,39.00M,-131.00M,-55.00M,5.406B,2.461B,39.00M,170.00M,-131.00M,-658.00M,-131.00M,1.672B,-382.00M,2.054B,,-30.00M,2.024B,2.452B,3.674B,1.832B,1.842B,,0.65,0.00,0.7886,0.65,,0.65,0.00,0.7875,0.65,,3.086B,3.11B,0.38,,AOR,Restated
2011-03,11.58B,11.58B,4.059B,7.521B,,3.164B,2.158B,,-421.00M,186.00M,41.00M,-145.00M,,5.322B,2.199B,41.00M,186.00M,-145.00M,-325.00M,-145.00M,1.729B,658.00M,1.071B,,-28.00M,1.043B,1.330B,3.746B,1.831B,1.915B,,0.34,0.00,0.4324,0.34,,0.34,0.00,0.4324,0.34,,3.104B,3.104B,0.38,,AOR,Restated
2010-12,12.09B,12.09B,4.44B,7.654B,,3.536B,4.559B,,308.00M,176.00M,26.00M,-150.00M,,8.095B,-441.00M,26.00M,176.00M,-150.00M,-110.00M,-150.00M,-701.00M,-201.00M,-500.00M,,-32.00M,-532.00M,-658.96M,1.341B,1.866B,-525.00M,,-0.17,,-0.2112,-0.17,,-0.17,,-0.2108,-0.17,,3.083B,3.111B,0.38,,AOR,Restated
2010-09,11.12B,11.12B,4.191B,6.934B,,3.192B,2.322B,,-1.00B,173.00M,23.00M,-150.00M,,5.514B,1.42B,23.00M,173.00M,-150.00M,-772.00M,-150.00M,498.00M,126.00M,372.00M,,-30.00M,342.00M,1.095B,2.551B,1.88B,671.00M,,0.11,0.00,0.3546,0.11,,0.11,0.00,0.3527,0.11,,3.078B,3.102B,0.38,,AOR,
2010-06,11.35B,11.35B,4.549B,6.797B,,3.175B,2.179B,,-86.00M,185.00M,22.00M,-163.00M,,5.354B,1.443B,22.00M,185.00M,-163.00M,-39.00M,-163.00M,1.241B,461.00M,780.00M,,-28.00M,752.00M,803.54M,3.374B,1.948B,1.426B,,0.24,0.00,0.2566,0.24,,0.24,0.00,0.2565,0.24,,3.105B,3.125B,0.38,,AOR,Restated
2010-03,11.42B,11.42B,5.216B,6.206B,,3.222B,2.051B,,-286.00M,181.00M,12.00M,-169.00M,,5.273B,933.00M,12.00M,181.00M,-169.00M,-148.00M,-169.00M,616.00M,286.00M,330.00M,,-31.00M,299.00M,484.90M,2.484B,1.687B,797.00M,,0.10,0.00,0.1597,0.10,,0.09,0.00,0.1492,0.09,,3.114B,3.141B,0.38,,AOR,Restated
2009-12,10.09B,10.09B,4.901B,5.192B,,3.455B,1.972B,,6.482B,169.10M,10.40M,-158.70M,,5.426B,-234.30M,10.40M,169.10M,-158.70M,6.856B,-158.70M,6.463B,-59.70M,6.523B,,-29.20M,6.493B,2.280B,7.882B,1.250B,6.632B,,2.64,0.00,1.106,2.64,,2.62,0.00,1.094,2.62,,2.746B,2.760B,0.38,,AOR,Restated
2009-09,6.050B,6.050B,1.430B,4.619B,,1.726B,1.254B,,2.846B,130.70M,33.40M,-97.30M,,2.980B,1.640B,33.40M,130.70M,-97.30M,3.534B,-97.30M,5.077B,1.622B,3.455B,,-31.00M,3.424B,1.487B,5.601B,393.70M,5.208B,,1.62,0.00,0.7016,1.62,,1.61,0.00,0.6936,1.61,,2.109B,2.114B,0.38,,AOR,Restated
2009-06,5.900B,5.900B,1.354B,4.546B,,1.730B,1.395B,,-11.50M,99.50M,70.00M,-29.50M,,3.125B,1.421B,70.00M,99.50M,-29.50M,575.60M,-29.50M,1.967B,379.00M,1.588B,,-32.00M,1.556B,1.566B,2.556B,489.30M,2.067B,,0.74,0.00,0.7444,0.74,,0.74,0.00,0.7444,0.74,,2.109B,2.11B,0.38,,AOR,Restated
2009-03,5.385B,5.385B,1.334B,4.051B,,1.633B,1.224B,,-32.70M,60.70M,96.30M,35.60M,,2.857B,1.194B,96.30M,60.70M,35.60M,553.10M,35.60M,1.783B,327.20M,1.456B,,-30.80M,1.425B,1.452B,2.287B,443.30M,1.844B,,0.67,0.00,0.6827,0.67,,0.67,0.00,0.6827,0.67,,2.108B,2.109B,0.38,,AOR,Restated
2008-12,6.032B,6.032B,1.470B,4.562B,,1.862B,1.386B,,-20.30M,56.40M,146.80M,90.40M,,3.248B,1.313B,146.80M,56.40M,90.40M,553.00M,90.40M,1.957B,282.20M,1.674B,,-30.10M,1.644B,1.662B,2.487B,473.80M,2.013B,,0.78,0.00,0.7882,0.78,,0.78,0.00,0.7882,0.78,,2.111B,2.111B,0.38,,,Restated
2008-09,5.944B,5.944B,1.478B,4.466B,,1.730B,1.171B,,-888.00M,71.40M,171.30M,99.90M,,2.901B,1.565B,171.30M,71.40M,99.90M,-222.40M,99.90M,1.442B,318.20M,1.124B,,-31.20M,1.093B,1.785B,1.905B,391.20M,1.514B,,0.51,0.00,0.8351,0.51,,0.51,0.00,0.8345,0.51,,2.128B,2.133B,0.38,,,Restated
2008-06,6.052B,6.052B,1.396B,4.655B,,1.930B,1.169B,,-82.20M,50.60M,143.40M,92.80M,,3.100B,1.556B,143.40M,50.60M,92.80M,440.80M,92.80M,2.089B,290.20M,1.799B,,-30.90M,1.768B,1.839B,2.515B,374.90M,2.14B,,0.82,0.00,0.8530,0.82,,0.82,0.00,0.8529,0.82,,2.144B,2.152B,0.38,,,Restated
2008-03,5.822B,5.822B,1.238B,4.584B,,1.854B,1.078B,,2.043B,72.60M,169.50M,96.90M,,2.933B,1.651B,169.50M,72.60M,96.90M,2.695B,96.90M,4.443B,1.108B,3.334B,,-31.90M,3.303B,1.770B,4.907B,391.10M,4.516B,,1.52,0.00,0.8104,1.52,,1.52,0.00,0.8104,1.52,,2.160B,2.160B,0.38,,,Restated
2007-12,6.243B,6.243B,1.545B,4.698B,,1.720B,1.382B,,-5.422B,,,,,3.101B,1.597B,,,,-4.626B,,-3.180B,-1.550B,-1.631B,,,-1.631B,1.893B,2.096B,499.00M,1.597B,,-3.30,0.00,-1.675,-3.30,,-3.30,0.00,-1.699,-3.30,,2.169B,2.201B,0.38,,,
2007-09,6.074B,6.074B,1.518B,4.556B,,1.951B,1.440B,,66.80M,,,,,3.392B,1.164B,,,,835.30M,,2.065B,539.10M,1.526B,,-30.60M,1.526B,1.476B,1.653B,488.70M,1.164B,,0.70,0.00,0.6774,0.70,,0.70,0.00,0.6774,0.70,,2.179B,2.179B,0.38,,,
2007-06,6.111B,6.111B,1.552B,4.559B,,2.084B,1.030B,,-10.00M,,,,,3.114B,1.445B,,,,749.10M,,2.232B,555.80M,1.676B,,-30.80M,1.676B,1.684B,1.945B,500.10M,1.445B,,0.77,0.00,0.7734,0.77,,0.77,0.00,0.7734,0.77,,2.177B,2.177B,0.38,,,
2007-03,5.769B,5.769B,1.526B,4.244B,,1.802B,1.03B,,141.50M,,,,,2.832B,1.412B,,,,794.10M,,2.254B,550.10M,1.704B,,-30.60M,1.704B,1.597B,1.912B,500.40M,1.412B,,0.79,0.00,0.7404,0.79,,0.78,0.00,0.7310,0.78,,2.157B,2.185B,0.38,,,
2006-12,6.044B,6.044B,1.669B,4.375B,,2.346B,1.723B,,217.60M,,,,,4.069B,306.20M,,,,801.80M,,911.90M,438.00M,473.90M,,,473.90M,343.34M,849.20M,543.00M,306.20M,,0.22,0.00,0.1598,0.22,,0.22,0.00,0.1603,0.22,,2.170B,2.185B,0.38,,,
2006-09,5.410B,5.410B,1.544B,3.866B,,2.371B,945.40M,,8.50M,,,,,3.316B,550.30M,,,,603.90M,,1.231B,290.20M,940.60M,,-30.70M,940.60M,934.10M,1.114B,563.30M,550.30M,,0.43,0.00,0.4270,0.43,,0.43,0.00,0.4270,0.43,,2.175B,2.186B,0.38,,,
2006-06,5.700B,5.772B,1.445B,4.326B,,1.734B,1.172B,,11.00M,,,,,2.906B,1.42B,,,,693.80M,,2.108B,609.00M,1.499B,,-30.00M,1.499B,1.491B,1.959B,538.70M,1.42B,,0.69,0.00,0.6864,0.69,,0.69,0.00,0.6864,0.69,,2.173B,2.173B,0.38,,,
2006-03,5.410B,5.410B,1.343B,4.067B,,1.715B,942.00M,,3.30M,,,,,2.657B,1.410B,,,,506.70M,,1.970B,450.40M,1.52B,,-29.90M,1.52B,1.517B,2.034B,623.40M,1.410B,,0.70,0.00,0.6988,0.70,,0.69,0.00,0.6888,0.69,,2.184B,2.190B,0.38,,,
2005-12,5.766B,5.766B,1.479B,4.287B,,2.046B,1.112B,,-223.80M,,,,,3.158B,1.130B,,,,362.80M,,1.520B,400.20M,1.120B,,-30.20M,1.120B,1.285B,1.635B,505.90M,1.130B,,0.51,0.00,0.5854,0.51,,0.51,0.00,0.5853,0.51,,2.185B,2.189B,0.38,,,
2005-09,5.416B,5.416B,1.239B,4.177B,,1.741B,942.60M,,32.90M,,,,,2.684B,1.494B,,,,513.00M,,1.998B,577.50M,1.421B,,-30.90M,1.421B,1.398B,1.917B,423.10M,1.494B,,0.65,0.00,0.6393,0.65,,0.65,0.00,0.6394,0.65,,2.194B,2.197B,0.38,,,
2005-06,5.468B,5.468B,1.161B,4.307B,,1.755B,946.80M,,10.70M,,,,,2.702B,1.605B,,,,344.80M,,1.925B,1.204B,720.60M,,-30.30M,720.60M,714.18M,2.004B,399.30M,1.605B,,0.33,0.00,0.3271,0.33,,0.33,0.00,0.3271,0.33,,2.202B,2.206B,0.38,,,
2005-03,5.362B,5.362B,1.271B,4.091B,,1.606B,846.60M,,-13.20M,,,,,2.452B,1.639B,,,,303.10M,,1.921B,550.60M,1.370B,,-30.40M,1.370B,1.380B,2.018B,379.80M,1.639B,,0.62,0.00,0.6243,0.62,,0.62,0.00,0.6243,0.62,,2.207B,2.210B,0.38,,,
2004-12,5.782B,5.782B,1.290B,4.493B,,2.258B,1.109B,,23.20M,,,,,3.367B,1.126B,,,,309.10M,,1.408B,290.30M,1.118B,,-40.20M,1.118B,1.099B,1.525B,399.40M,1.126B,,0.51,,0.5017,0.51,,0.51,0.00,0.5017,0.51,,2.214B,2.217B,0.38,,,
2004-09,5.538B,5.538B,1.364B,4.174B,,1.753B,919.30M,,38.50M,,,,,2.672B,1.502B,,,,345.60M,,1.813B,487.40M,1.326B,,-37.60M,1.326B,1.297B,1.852B,350.80M,1.502B,,0.60,0.00,0.5873,0.60,,0.60,0.00,0.5874,0.60,,2.218B,2.226B,0.38,,,
2004-06,6.022B,6.022B,1.164B,4.858B,,1.616B,986.00M,,2.40M,,,,,2.602B,2.256B,,,,222.90M,,2.439B,670.70M,1.768B,,-36.80M,1.768B,1.766B,2.608B,352.30M,2.256B,,0.80,0.00,0.7992,0.80,,0.79,0.00,0.7892,0.79,,2.221B,2.230B,0.37,,,
