,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,TotalDeposits,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2003-12,1.711B,374.18M,2.085B,7.839B,352.12M,8.191B,10.28B,,1.235B,1.230B,2.465B,6.119B,33.34B,45.90M,93.13B,106.74B,,,0.00,,0.00,0.00,,43.98M,43.98M,43.98M,43.98M,1.459B,1.459B,924.85M,924.85M,,47.32B,,,,,49.70B,100.93B,,1.529B,3.413B,,0.593M,,,,,869.03M,5.812B,,AOR,Restated
2003-09,1.961B,400.01M,2.361B,7.538B,306.48M,7.844B,10.20B,,1.234B,1.228B,2.462B,6.062B,36.03B,0.00,46.26B,100.83B,,,37.10M,,37.10M,37.10M,,76.50M,76.50M,76.50M,113.60M,1.452B,1.452B,,,,46.72B,,,333.60M,,48.17B,94.91B,,1.509B,3.282B,66.99M,0.634M,,,,,795.68M,5.586B,,AOR,Restated
2003-06,1.946B,400.60M,2.346B,7.377B,395.99M,7.773B,10.12B,,1.234B,1.259B,2.492B,6.234B,36.01B,0.00,46.62B,99.53B,,,71.95M,,71.95M,71.95M,,83.40M,83.40M,83.40M,155.35M,1.121B,1.121B,,,,46.17B,,,397.15M,397.15M,47.69B,93.32B,,1.455B,3.244B,,0.638M,,,68.32M,1.048B,1.116B,5.816B,,AOR,Restated
2003-03,1.635B,384.13M,2.020B,7.323B,194.01M,7.517B,9.537B,,1.233B,1.263B,2.496B,6.164B,34.52B,89.07M,44.99B,92.50B,,,,,,,,125.40M,125.40M,125.40M,125.40M,1.119B,1.119B,,,,45.46B,,,390.80M,390.80M,46.97B,86.66B,,1.447B,3.163B,,0.64M,,,39.80M,799.68M,839.48M,5.450B,,AOR,Restated
2002-12,,,,212.94M,,212.94M,212.94M,,,2.525B,2.525B,6.151B,,,53.29B,93.18B,,,,,,,,153.04M,153.04M,153.04M,153.04M,1.119B,1.119B,,,,,,,392.66M,,1.119B,87.44B,,1.431B,3.181B,,,,,50.78M,,50.78M,5.348B,,AOR,Restated
2002-09,1.600B,383.34M,1.983B,7.094B,577.24M,7.672B,9.655B,,1.233B,1.331B,2.563B,6.184B,32.82B,292.94M,43.37B,90.44B,,,,,,,,120.00M,120.00M,120.00M,120.00M,1.118B,1.118B,,,,43.62B,,,390.59M,390.59M,45.13B,84.66B,,1.283B,3.261B,,0.671M,,,35.35M,809.61M,844.96M,5.389B,,AOR,
2002-06,2.265B,405.51M,2.671B,6.510B,461.40M,6.971B,9.642B,,1.212B,1.367B,2.580B,6.301B,30.55B,438.42M,41.20B,95.07B,,,,,,,,211.02M,211.02M,211.02M,211.02M,1.112B,1.112B,,,,41.86B,,,380.02M,380.02M,43.35B,89.38B,,1.306B,3.669B,,0.681M,,,21.95M,310.51M,332.46M,5.308B,,AOR,
2002-03,1.700B,412.68M,2.112B,6.096B,376.27M,6.473B,8.585B,,1.212B,1.384B,2.596B,6.366B,29.69B,551.30M,40.51B,97.85B,,,,,,,,510.24M,510.24M,510.24M,510.24M,861.83M,861.83M,,,,41.07B,,,376.16M,,41.93B,92.34B,,1.308B,3.825B,,0.735M,,,-20.83M,19.26M,-1.565M,5.131B,,AOR,
2001-12,,,,400.08M,,400.08M,400.08M,,,2.624B,2.624B,6.475B,,,49.36B,98.04B,,,,,,,,350.20M,350.20M,350.20M,350.20M,986.30M,986.30M,,,,,,,474.66M,,986.30M,92.26B,,1.255B,3.834B,,,,,-8.062M,,-8.062M,5.304B,,AOR,Restated
2001-09,1.996B,421.35M,2.418B,3.818B,264.51M,4.083B,6.500B,,1.253B,1.451B,2.705B,6.606B,29.83B,35.27M,40.91B,90.21B,,,,,,,,539.05M,539.05M,539.05M,539.05M,712.43M,712.43M,,,,40.96B,,,304.96M,,41.67B,84.53B,,1.253B,3.840B,,0.774M,,,6.885M,268.24M,275.13M,5.369B,,AOR,
2001-06,1.502B,414.89M,1.917B,3.662B,303.69M,3.966B,5.882B,,1.264B,1.479B,2.743B,6.600B,28.82B,177.54M,39.94B,96.43B,,,,,,,,351.29M,351.29M,351.29M,351.29M,712.36M,712.36M,,,,39.95B,,,745.00M,745.00M,41.40B,90.63B,,1.029B,3.939B,,0.801M,,,-15.32M,103.13M,87.81M,5.056B,,AOR,
2001-03,2.015B,415.99M,2.431B,3.706B,282.78M,3.989B,6.420B,,1.274B,1.505B,2.780B,6.588B,28.79B,106.57M,39.96B,94.12B,,,,,,,,415.26M,415.26M,415.26M,415.26M,712.30M,712.30M,,,,39.91B,,,745.00M,,40.63B,88.28B,,994.20M,3.884B,,0.825M,,,4.163M,213.68M,217.84M,5.096B,,AOR,
2000-12,,,,296.70M,,296.70M,296.70M,,,2.843B,2.843B,6.624B,,,45.38B,99.87B,,,,,,,,312.93M,312.93M,312.93M,312.93M,1.144B,1.144B,,,,,,,745.00M,,1.144B,94.14B,,1.004B,3.916B,,,,,21.93M,,21.93M,4.981B,,AOR,Restated
2000-09,1.436B,470.54M,1.906B,3.775B,240.83M,4.016B,5.922B,,1.297B,1.598B,2.895B,6.703B,28.30B,267.27M,39.50B,103.24B,,,,,,,,330.35M,330.35M,330.35M,330.35M,712.16M,712.16M,,,,39.98B,,,745.00M,745.00M,41.44B,97.96B,,990.49M,3.866B,,0.868M,,,19.89M,-337.72M,-317.82M,4.539B,,AOR,
2000-06,1.619B,438.16M,2.057B,3.775B,247.76M,4.023B,6.081B,,1.335B,1.647B,2.982B,6.699B,28.08B,246.06M,39.52B,103.85B,,,,,,,,355.68M,355.68M,355.68M,355.68M,712.10M,712.10M,,,,40.03B,,,745.00M,745.00M,41.48B,98.88B,,975.32M,3.783B,,0.894M,,,21.86M,-556.57M,-534.71M,4.224B,,AOR,
2000-03,1.510B,428.83M,1.939B,3.851B,190.22M,4.041B,5.980B,,1.350B,1.705B,3.055B,6.730B,28.76B,,40.44B,106.34B,,,300.40M,,300.40M,300.40M,,474.15M,474.15M,474.15M,774.55M,712.03M,712.03M,,,,40.46B,,,745.00M,745.00M,41.92B,101.25B,,988.16M,3.741B,,0.933M,,,22.79M,-411.19M,-388.40M,4.340B,,AOR,Restated
1999-12,1.896B,401.83M,2.298B,3.954B,259.63M,4.214B,6.512B,,1.423B,1.746B,3.170B,6.628B,28.69B,345.01M,39.65B,103.10B,,,,,,,,460.15M,460.15M,460.15M,460.15M,711.96M,711.96M,,,,41.15B,,,745.00M,745.00M,42.61B,98.09B,,1.008B,3.691B,,0.948M,,,30.05M,-465.70M,-435.65M,4.264B,,AOR,Restated
1999-09,,,,296.00M,,296.00M,296.00M,191.90M,,3.196B,3.196B,6.636B,,,46.76B,96.50B,,,,,,,,367.70M,367.70M,367.70M,367.70M,712.00M,712.00M,,,,20.50B,,,745.00M,,21.21B,91.09B,,983.70M,3.741B,,,,,40.20M,,40.20M,4.662B,,,Restated
1999-06,,,,269.00M,,269.00M,269.00M,180.70M,,3.193B,3.193B,6.418B,,,47.16B,98.26B,,,,,,,,380.20M,380.20M,380.20M,380.20M,712.10M,712.10M,,,,20.20B,,,745.00M,,20.91B,92.70B,,,3.792B,,,,,20.70M,,20.70M,4.817B,,,Restated
1999-03,,,,241.80M,,241.80M,241.80M,178.00M,,3.25B,3.25B,6.187B,,,48.07B,95.35B,,,,,,,,281.80M,281.80M,281.80M,281.80M,712.10M,712.10M,,,,20.24B,,,745.00M,,20.96B,89.50B,,,3.826B,,,,,30.10M,,30.10M,5.107B,,,Restated
1998-12,2.433B,431.96M,2.865B,3.127B,246.20M,3.373B,6.239B,174.76M,1.484B,1.848B,3.333B,6.233B,31.21B,,85.54B,93.84B,,,204.08M,,204.08M,204.08M,,314.61M,314.61M,314.61M,518.68M,712.17M,712.17M,,,,40.89B,,,,745.00M,42.35B,88.45B,,995.56M,3.790B,,1.083M,,,,,602.35M,5.388B,,AOR,Restated
1998-09,,,,241.60M,,241.60M,241.60M,200.90M,,2.395B,2.395B,6.306B,,,44.41B,84.61B,,,,,,,,354.40M,354.40M,354.40M,354.40M,712.00M,712.00M,,,,16.26B,,,745.00M,,16.98B,78.33B,,,3.72B,,,,,59.80M,,59.80M,5.528B,,,
1998-06,,,,250.80M,,250.80M,250.80M,191.70M,,2.613B,2.613B,5.934B,,,43.61B,88.36B,,,,,,,,277.10M,277.10M,277.10M,277.10M,811.80M,811.80M,,,,17.45B,,,315.00M,,18.26B,82.90B,,,3.659B,,,,,51.80M,,51.80M,5.151B,,,
1998-03,,,,204.60M,,204.60M,204.60M,191.00M,,2.586B,2.586B,6.529B,,,43.73B,87.88B,,,,,,,,364.90M,364.90M,364.90M,364.90M,811.70M,811.70M,,,,15.90B,,,315.00M,,16.71B,82.52B,,,3.562B,,,,,52.40M,,52.40M,5.054B,,,
1997-12,3.795B,464.83M,4.260B,2.351B,197.51M,2.548B,6.808B,,457.73M,613.91M,1.072B,4.051B,25.19B,,31.65B,77.17B,,,487.80M,,487.80M,487.80M,,297.21M,297.21M,297.21M,785.01M,511.04M,511.04M,,,,31.33B,,,315.00M,315.00M,32.16B,71.88B,,967.61M,3.533B,,1.153M,,,46.20M,436.00M,482.20M,4.983B,,AOR,
1997-09,,,,240.90M,,240.90M,240.90M,193.10M,,995.20M,995.20M,3.971B,,,40.91B,79.96B,,,,,,,,463.80M,463.80M,463.80M,463.80M,513.70M,513.70M,,,,10.78B,,,315.00M,,11.30B,75.01B,,,3.046B,,,,,34.00M,,34.00M,4.641B,,,
1997-06,,,,207.90M,,207.90M,207.90M,193.40M,,1.018B,1.018B,3.983B,,,40.78B,76.79B,,,,,,,,357.40M,357.40M,357.40M,357.40M,513.30M,513.30M,,,,10.53B,,,315.00M,,11.04B,71.99B,,,3.151B,,,,,47.00M,,47.00M,4.485B,,,
1997-03,,,,747.60M,,747.60M,747.60M,253.30M,,1.123B,1.123B,4.011B,,,39.00B,72.00B,,,,,,,,194.30M,194.30M,194.30M,194.30M,625.70M,625.70M,,,,13.16B,783.50M,,537.30M,,14.57B,67.18B,,,3.210B,,,,,42.00M,,42.00M,4.281B,,,
1996-12,1.145B,445.28M,1.590B,2.329B,237.34M,2.566B,4.156B,196.04M,351.71M,708.45M,1.060B,3.975B,25.10B,,37.09B,71.71B,,,161.50M,,161.50M,161.50M,,188.96M,188.96M,188.96M,350.46M,626.31M,626.31M,,,,31.62B,,,315.00M,315.00M,32.56B,66.93B,,905.54M,3.082B,,1.212M,,,66.50M,415.54M,482.04M,4.470B,,AOR,Restated
1996-09,,,,786.20M,,786.20M,786.20M,244.60M,,947.50M,947.50M,3.380B,,,37.34B,67.24B,,,,,,,,229.30M,229.30M,229.30M,229.30M,651.30M,651.30M,,,,13.04B,825.00M,,526.30M,,14.52B,62.42B,,,3.037B,,,,,14.10M,,14.10M,4.288B,,,
1996-06,,,,687.60M,,687.60M,687.60M,245.00M,,955.20M,955.20M,3.984B,,,37.35B,66.08B,,,,,,,,460.10M,460.10M,460.10M,460.10M,651.50M,651.50M,,,,12.91B,808.70M,,204.00M,,14.37B,61.70B,,,2.966B,,,,,13.20M,,13.20M,4.183B,,,
1996-03,,,,620.00M,,620.00M,620.00M,242.00M,,965.60M,965.60M,3.892B,,,37.06B,64.26B,,,,,,,,430.20M,430.20M,430.20M,430.20M,658.90M,658.90M,,,,12.92B,801.00M,,,,14.38B,60.12B,,,2.868B,,,,,11.50M,,11.50M,4.146B,,,
1995-12,1.573B,371.76M,1.945B,2.495B,537.98M,3.033B,4.978B,243.76M,471.46M,528.93M,1.000B,3.789B,27.37B,,33.98B,63.26B,,,128.43M,,128.43M,128.43M,,426.85M,426.85M,426.85M,555.27M,659.30M,659.30M,,,,31.71B,813.38M,,0.00,0.00,33.18B,58.88B,,890.81M,2.776B,,1.335M,,,13.40M,698.19M,711.59M,4.378B,,AOR,Restated
1995-09,,,,666.00M,,666.00M,666.00M,277.30M,,865.40M,865.40M,3.506B,,,36.48B,60.68B,,,,,,,,323.40M,323.40M,323.40M,323.40M,622.00M,622.00M,,,,12.28B,867.40M,,,,13.77B,56.33B,,,2.748B,,,,,16.60M,,16.60M,4.349B,,,
1995-06,,,,585.10M,,585.10M,585.10M,283.90M,,881.10M,881.10M,3.450B,,,35.86B,58.15B,,,,,,,,378.60M,378.60M,378.60M,378.60M,621.90M,621.90M,,,,11.60B,830.10M,,,,13.06B,53.96B,,,2.642B,,,,,12.90M,,12.90M,4.187B,,,
1995-03,,,,665.80M,,665.80M,665.80M,209.00M,,143.50M,143.50M,3.342B,,,33.25B,52.33B,,,,,,,,302.80M,302.80M,302.80M,302.80M,419.20M,419.20M,,,,10.89B,802.20M,,,,12.11B,48.68B,,,2.569B,,,,,15.30M,,15.30M,3.652B,,,
1994-12,1.042B,175.12M,1.217B,2.208B,564.78M,2.773B,3.989B,,145.74M,,145.74M,3.406B,22.86B,396.89M,42.25B,49.33B,,,0.00,,0.00,0.00,,275.31M,275.31M,275.31M,275.31M,419.61M,419.61M,,,,28.24B,806.99M,,,,29.47B,46.29B,,866.72M,2.480B,,311.33M,,,6.90M,-311.09M,-304.19M,3.042B,,AOR,
1994-09,,,,722.80M,,722.80M,722.80M,189.80M,,146.80M,146.80M,3.428B,,,45.70B,49.24B,,,,,,,,468.50M,468.50M,468.50M,468.50M,320.50M,320.50M,,,,11.40B,818.30M,,,,12.54B,45.91B,,,2.431B,,,,,7.40M,,7.40M,3.322B,,,
1994-06,,,,711.00M,,711.00M,711.00M,188.00M,,238.70M,238.70M,3.408B,,,44.42B,47.82B,,,,,,,,474.00M,474.00M,474.00M,474.00M,320.50M,320.50M,,,,11.42B,829.50M,,,,12.57B,44.47B,,,2.415B,,,,,4.60M,,4.60M,3.349B,,,
1994-03,,,,647.30M,,647.30M,647.30M,182.70M,,151.10M,151.10M,3.559B,,,43.61B,46.74B,,,,,,,,414.70M,414.70M,414.70M,414.70M,325.60M,325.60M,,,,11.22B,827.60M,,,,12.37B,43.14B,,,2.412B,,,,,-0.50M,,-0.50M,3.603B,,,
1993-12,,,,601.90M,,601.90M,601.90M,233.50M,,228.50M,228.50M,3.896B,,,45.35B,48.38B,,,,,,,,502.40M,502.40M,502.40M,502.40M,335.10M,335.10M,,,,12.65B,858.80M,,,,13.85B,44.31B,,,2.304B,,,,,-1.20M,,-1.20M,4.072B,,,
1993-09,,,,1.175B,,1.175B,1.175B,221.00M,,229.10M,229.10M,3.214B,,,42.58B,46.64B,,,,,,,,267.80M,267.80M,267.80M,267.80M,430.20M,430.20M,,,,12.81B,901.40M,,,,14.14B,43.27B,,,2.315B,,,,,-2.40M,,-2.40M,3.373B,,,
1993-06,,,,886.10M,,886.10M,886.10M,216.90M,,231.90M,231.90M,579.70M,,,39.94B,43.37B,,,,,,,,143.80M,143.80M,143.80M,143.80M,426.10M,426.10M,,,,12.15B,881.90M,,,,13.46B,40.13B,,,2.168B,,,,,0.40M,,0.40M,3.239B,,,
1993-03,,,,900.30M,,900.30M,900.30M,220.50M,,251.00M,251.00M,3.723B,,,38.90B,42.42B,,,,,,,,221.90M,221.90M,221.90M,221.90M,426.10M,426.10M,,,,11.88B,936.40M,,,,13.25B,39.24B,,,2.123B,,,,,2.50M,,2.50M,3.175B,,,
1992-12,,,,791.60M,,791.60M,791.60M,192.70M,,261.90M,261.90M,3.699B,,,36.33B,39.67B,,,,,,,,433.40M,433.40M,433.40M,433.40M,423.00M,423.00M,,,,11.12B,980.50M,,,,12.53B,36.72B,,,2.272B,,,,,3.60M,,3.60M,2.951B,,,
1992-09,,,,1.133B,,1.133B,1.133B,191.20M,,267.20M,267.20M,3.684B,,,34.80B,38.53B,,,,,,,,357.90M,357.90M,357.90M,357.90M,440.50M,440.50M,,,,11.05B,1.022B,,,,12.51B,35.63B,,,2.231B,,,,,119.90M,,119.90M,2.905B,,,
1992-06,,,,978.60M,,978.60M,978.60M,198.90M,,272.50M,272.50M,3.621B,,,33.41B,36.94B,,,,,,,,421.20M,421.20M,421.20M,421.20M,248.60M,248.60M,,,,10.83B,1.048B,,,,12.13B,34.15B,,,2.152B,,,,,25.30M,,25.30M,2.785B,,,
1992-03,,,,1.016B,,1.016B,1.016B,188.70M,,341.50M,341.50M,3.661B,,,32.13B,35.58B,,,,,,,,607.80M,607.80M,607.80M,607.80M,253.50M,253.50M,,,,10.63B,1.018B,,12.50M,,11.90B,32.83B,,,2.116B,,,,,16.00M,,16.00M,2.734B,,,
1991-12,,,,925.60M,,925.60M,925.60M,195.20M,,355.70M,355.70M,3.675B,,,30.77B,34.09B,,,,,,,,677.30M,677.30M,677.30M,677.30M,252.60M,252.60M,,,,10.46B,969.90M,,13.10M,,11.68B,31.31B,,,2.050B,,,,,24.70M,,24.70M,2.776B,,,
1991-09,,,,1.178B,,1.178B,1.178B,229.70M,,363.10M,363.10M,3.712B,,,29.28B,32.69B,,,,,,,,486.30M,486.30M,486.30M,486.30M,362.50M,362.50M,,,,10.17B,1.025B,,13.00M,,11.55B,29.99B,,,2.069B,,,,,18.40M,,18.40M,2.682B,,,
1991-06,,,,1.202B,,1.202B,1.202B,220.50M,,364.90M,364.90M,3.672B,,,27.61B,30.92B,,,,,,,,456.10M,456.10M,456.10M,456.10M,376.20M,376.20M,,,,9.796B,1.018B,,13.00M,,11.19B,28.30B,,,2.027B,,,,,11.70M,,11.70M,2.606B,,,
1991-03,,,,1.139B,,1.139B,1.139B,214.80M,,369.50M,369.50M,3.700B,,,26.31B,29.50B,,,,,,,,543.10M,543.10M,543.10M,543.10M,378.70M,378.70M,,,,9.417B,989.30M,,13.20M,,10.79B,27.03B,,,1.981B,,,,,17.50M,,17.50M,2.462B,,,
1990-12,,,,1.008B,,1.008B,1.008B,212.00M,,362.00M,362.00M,3.716B,,,24.64B,27.60B,,,,,,,,371.40M,371.40M,371.40M,371.40M,378.50M,378.50M,,,,9.041B,983.20M,,21.80M,,10.40B,25.18B,,,1.970B,,,,,26.70M,,26.70M,2.394B,,,
1990-09,,,,1.125B,,1.125B,1.125B,215.80M,,365.60M,365.60M,3.691B,,,23.46B,26.74B,,,,,,,,430.60M,430.60M,430.60M,430.60M,368.10M,368.10M,,,,8.684B,993.70M,,25.40M,,10.05B,24.41B,,,1.939B,,,,,24.30M,,24.30M,2.308B,,,
1990-06,,,,996.40M,,996.40M,996.40M,209.50M,,362.20M,362.20M,3.672B,,,23.09B,26.10B,,,,,,,,378.10M,378.10M,378.10M,378.10M,378.80M,378.80M,,,,8.384B,987.00M,,25.40M,,9.750B,23.73B,,,1.944B,,,,,19.20M,,19.20M,2.345B,,,
1990-03,,,,992.60M,,992.60M,992.60M,207.20M,,388.40M,388.40M,3.597B,,,22.97B,25.94B,,,,,,,,529.70M,529.70M,529.70M,529.70M,379.10M,379.10M,,,,8.845B,1.022B,,24.80M,,10.25B,23.55B,,,1.909B,,,,,15.10M,,15.10M,2.364B,,,
1989-12,,,,827.60M,,827.60M,827.60M,201.10M,,390.80M,390.80M,3.511B,,,22.39B,25.07B,,,,,,,,482.70M,482.70M,482.70M,482.70M,378.80M,378.80M,,,,8.536B,995.50M,,25.50M,,9.910B,22.65B,,,1.912B,,,,,13.70M,,13.70M,2.392B,,,
1989-09,,,,903.90M,,903.90M,903.90M,190.50M,,393.40M,393.40M,3.352B,,,21.82B,24.67B,,,,,,,,463.10M,463.10M,463.10M,463.10M,380.40M,380.40M,,,,,1.003B,,17.20M,,1.383B,22.31B,,,1.846B,,,,,13.00M,,13.00M,2.346B,,,
1988-12,,,,,,,,,,,,,,,,20.96B,,,,,,,,,,,,476.60M,476.60M,,,,,,,,,476.60M,18.92B,,,1.826B,,,,,,,,2.045B,,,
1987-12,,,,,,,,,,,,,,,,18.00B,,,,,,,,,,,,389.90M,389.90M,,,,,,,,,389.90M,16.01B,,,1.816B,,,,,,,,1.997B,,,
1986-12,,,,,,,,,,,,,,,,16.24B,,,,,,,,,,,,206.70M,206.70M,,,,,,,,,206.70M,14.25B,,,1.786B,,,,,,,,1.995B,,,
1985-12,,,,,,,,,,,,,,,,13.55B,,,,,,,,,,,,214.50M,214.50M,,,,,,,,,214.50M,11.75B,,,1.605B,,,,,,,,1.802B,,,
1984-12,,,,,,,,,,,,,,,,12.60B,,,,,,,,,,,,241.40M,241.40M,,,,,,,,,241.40M,11.09B,,,1.480B,,,,,,,,1.511B,,,
