,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2009-06,2.606B,,2.606B,,,6.285B,1.383B,811.00M,1.568B,,3.593B,945.00M,289.00M,13.72B,,,,,,,,4.795B,10.24B,2.141B,12.38B,463.00M,,1.715B,1.96B,21.42B,2009-06,3.132B,,3.132B,5.468B,8.60B,,398.00M,1.997B,2.395B,,2.395B,,,,11.00B,,6.251B,,6.251B,691.00M,,94.00M,,7.068B,15.58B,26.58B,958.00M,16.65B,3.822B,9.447B,,,,-3.512B,8.467B,,2009-06,AOR,Restated
2009-03,2.052B,,2.052B,,,5.667B,1.421B,903.00M,1.648B,,3.797B,934.00M,331.00M,12.78B,,,,,,,,4.777B,10.14B,2.183B,12.32B,622.00M,,1.842B,1.971B,21.58B,2009-03,3.144B,,3.144B,5.602B,8.746B,,500.00M,1.692B,2.192B,,2.192B,,,,10.94B,,6.266B,,6.266B,715.00M,,86.00M,,7.155B,15.92B,26.86B,958.00M,16.42B,3.848B,9.766B,,,,-4.049B,7.415B,,2009-03,AOR,Restated
2008-12,2.065B,,2.065B,,,6.129B,1.644B,952.00M,1.415B,,3.848B,922.00M,299.00M,13.26B,0.00,475.00M,2.429B,10.08B,407.00M,13.39B,-8.452B,4.934B,10.18B,2.267B,12.45B,670.00M,,2.135B,2.036B,22.23B,2008-12,3.773B,,3.773B,6.006B,9.779B,,1.431B,1.079B,2.51B,,2.51B,,,,12.29B,,5.865B,,5.865B,698.00M,,82.00M,,7.57B,15.93B,28.22B,958.00M,16.25B,3.994B,10.21B,,,,-3.809B,7.187B,,2008-12,,Restated
2008-09,2.292B,,2.292B,6.329B,621.00M,6.95B,1.93B,922.00M,1.392B,,4.082B,1.294B,378.00M,15.00B,,,,,,13.36B,-8.377B,4.986B,10.18B,2.334B,12.51B,,,617.00M,3.971B,22.09B,2008-09,4.149B,,4.149B,6.231B,10.38B,,,,3.23B,,3.23B,,,,13.61B,,5.963B,,5.963B,1.253B,,,,6.718B,13.93B,27.54B,958.00M,15.74B,4.099B,10.60B,,,,-664.00M,9.538B,,2008-09,,Restated
2008-06,2.204B,,2.204B,7.047B,,7.047B,1.88B,904.00M,1.375B,,3.995B,1.328B,885.00M,15.46B,,,,,,13.43B,-8.377B,5.051B,9.673B,2.123B,11.80B,,,646.00M,3.827B,21.32B,2008-06,4.211B,,4.211B,5.995B,10.21B,,,,1.934B,,1.934B,,,87.00M,12.23B,,6.575B,,6.575B,1.23B,,,,6.486B,14.29B,26.52B,958.00M,15.23B,4.089B,9.669B,,,,-344.00M,10.26B,,2008-06,,Restated
2008-03,2.234B,,2.234B,5.99B,614.00M,6.604B,1.80B,890.00M,1.623B,,4.149B,1.338B,418.00M,14.74B,,,,,,13.39B,-8.377B,5.012B,9.251B,1.492B,10.74B,,,676.00M,3.77B,20.20B,2008-03,4.097B,,4.097B,5.759B,9.856B,,,,1.476B,,1.476B,,,,11.33B,,6.576B,,6.576B,952.00M,,,,6.448B,13.98B,25.31B,958.00M,14.71B,4.059B,9.807B,,,,-285.00M,9.636B,,2008-03,,Restated
2007-12,1.829B,,1.829B,5.889B,498.00M,6.387B,1.692B,870.00M,1.501B,,3.861B,1.241B,367.00M,13.68B,0.00,409.00M,2.244B,10.24B,466.00M,13.36B,-8.377B,4.985B,9.175B,1.498B,10.67B,,,637.00M,3.825B,20.12B,2007-12,3.962B,,3.962B,5.741B,9.703B,,,,2.238B,,2.238B,,,,11.94B,,5.419B,,5.419B,734.00M,,,,6.489B,12.64B,24.58B,958.00M,14.27B,4.014B,9.479B,,823.00M,-1.367B,-544.00M,9.222B,,2007-12,,
2007-09,1.787B,,1.787B,5.90B,561.00M,6.461B,1.779B,869.00M,1.437B,,3.919B,1.127B,362.00M,13.66B,,,,,,12.77B,-8.002B,4.77B,8.784B,1.336B,10.12B,,,997.00M,3.359B,19.25B,2007-09,3.812B,,3.812B,5.818B,9.63B,,,,2.462B,,2.462B,,,,12.09B,,5.391B,,5.391B,484.00M,,,,6.68B,12.56B,24.65B,958.00M,13.77B,3.991B,9.431B,,,,-1.034B,8.255B,,2007-09,,
2007-06,1.633B,,1.633B,5.605B,513.00M,6.118B,1.681B,777.00M,1.519B,,3.807B,1.197B,354.00M,13.11B,,,,,,12.69B,-8.002B,4.692B,8.457B,1.213B,9.67B,,,925.00M,3.375B,18.66B,2007-06,3.661B,,3.661B,5.638B,9.299B,,,,3.066B,,3.066B,,,4.00M,12.37B,,4.485B,,4.485B,455.00M,,,,6.662B,11.60B,23.97B,958.00M,13.34B,3.963B,9.295B,,,,-1.167B,7.80B,,2007-06,,
2007-03,1.378B,,1.378B,5.873B,,5.873B,1.623B,838.00M,1.46B,,3.749B,1.197B,499.00M,12.70B,,,,,,12.71B,-8.002B,4.71B,8.40B,1.223B,9.623B,,,1.002B,3.182B,18.52B,2007-03,3.582B,,3.582B,5.493B,9.075B,,,,1.289B,,1.289B,,,10.00M,10.37B,,4.704B,,4.704B,367.00M,,,,6.605B,11.68B,22.05B,958.00M,12.92B,3.88B,7.35B,,,,-1.249B,9.163B,,2007-03,,
2006-12,1.224B,,1.224B,5.156B,584.00M,5.74B,1.625B,808.00M,1.342B,,3.588B,1.215B,537.00M,12.30B,0.00,408.00M,2.056B,9.888B,447.00M,12.80B,-8.002B,4.797B,8.403B,1.247B,9.65B,,,1.075B,3.115B,18.64B,2006-12,3.518B,,3.518B,5.463B,8.981B,,,,1.154B,,1.154B,,,,10.14B,,3.909B,,3.909B,352.00M,,,,6.825B,11.09B,21.22B,958.00M,12.56B,3.845B,6.339B,,,,-1.307B,9.72B,,2006-12,,
2006-09,1.415B,,1.415B,5.723B,,5.723B,1.765B,919.00M,1.217B,,3.734B,1.101B,562.00M,12.54B,,,,,,12.34B,-7.628B,4.713B,8.335B,1.313B,9.648B,,,622.00M,5.186B,20.17B,2006-09,3.222B,,3.222B,5.357B,8.579B,,,,1.501B,,1.501B,,,6.00M,10.09B,,3.909B,,3.909B,551.00M,,,,6.837B,11.30B,21.38B,958.00M,12.17B,3.725B,5.635B,,,,105.00M,11.32B,,2006-09,,
2006-06,1.424B,,1.424B,5.426B,,5.426B,1.812B,796.00M,1.238B,,3.68B,1.151B,532.00M,12.21B,,,,,,12.31B,-7.628B,4.679B,8.277B,1.331B,9.608B,,,819.00M,5.185B,20.29B,2006-06,3.086B,,3.086B,5.307B,8.393B,,,,1.81B,,1.81B,,,6.00M,10.21B,,3.911B,,3.911B,455.00M,,,,6.951B,11.32B,21.53B,958.00M,11.81B,3.712B,5.544B,,,,41.00M,10.98B,,2006-06,,
2006-03,1.442B,,1.442B,5.175B,,5.175B,1.747B,817.00M,1.233B,,3.63B,1.20B,731.00M,12.18B,,,,,,12.26B,-7.628B,4.633B,,9.424B,9.424B,,,746.00M,5.225B,20.03B,2006-03,3.056B,,3.056B,5.039B,8.095B,,,,1.34B,,1.34B,,,470.00M,9.905B,,3.964B,,3.964B,376.00M,,,,7.048B,11.39B,21.29B,958.00M,11.48B,3.70B,5.163B,,,,-59.00M,10.91B,,2006-03,,
2005-12,1.234B,,1.234B,5.017B,,5.017B,1.438B,695.00M,1.427B,,3.401B,1.243B,1.067B,11.96B,0.00,352.00M,2.12B,9.381B,433.00M,12.29B,-7.628B,4.658B,1.173B,7.66B,8.833B,,,730.00M,5.45B,19.67B,2005-12,2.886B,,2.886B,5.359B,8.245B,,,,2.024B,,2.024B,,,161.00M,10.43B,,3.082B,,3.082B,334.00M,,,,7.025B,10.44B,20.87B,958.00M,11.23B,3.626B,5.027B,,,,-25.00M,10.76B,,2005-12,,
2005-09,1.452B,,1.452B,4.772B,,4.772B,1.462B,735.00M,1.35B,,3.398B,1.161B,1.786B,12.57B,,,,,,11.67B,-7.331B,4.335B,,9.008B,9.008B,,,738.00M,5.556B,19.64B,2005-09,2.627B,,2.627B,5.405B,8.032B,,,,1.438B,,1.438B,,,236.00M,9.706B,,3.972B,,3.972B,530.00M,,,,6.623B,11.12B,20.83B,958.00M,11.37B,3.613B,4.537B,,,,-33.00M,11.38B,,2005-09,,
2005-06,1.929B,,1.929B,4.559B,,4.559B,1.40B,736.00M,1.389B,,3.376B,1.236B,1.77B,12.87B,,,,,,11.68B,-7.331B,4.353B,,8.913B,8.913B,,,718.00M,5.714B,19.70B,2005-06,2.657B,,2.657B,5.171B,7.828B,,,,1.624B,,1.624B,,,220.00M,9.672B,,4.091B,,4.091B,513.00M,,,,6.774B,11.38B,21.05B,958.00M,11.08B,3.596B,4.036B,,,,-80.00M,11.52B,,2005-06,,
2005-03,4.096B,,4.096B,4.424B,,4.424B,1.381B,777.00M,1.384B,,3.391B,1.269B,1.733B,14.91B,,,,,,11.72B,-7.331B,4.386B,,8.817B,8.817B,,,611.00M,5.933B,19.75B,2005-03,2.644B,,2.644B,4.838B,7.482B,,,,2.027B,,2.027B,,,2.042B,11.55B,,4.042B,,4.042B,447.00M,,,,7.189B,11.68B,23.23B,958.00M,10.95B,3.584B,4.097B,,,,36.00M,11.43B,,2005-03,,
2004-12,3.586B,,3.586B,4.243B,,4.243B,1.153B,779.00M,1.382B,,3.16B,1.289B,542.00M,12.82B,0.00,356.00M,2.027B,8.935B,344.00M,11.66B,-7.331B,4.331B,,7.254B,7.254B,,,613.00M,6.044B,18.24B,2004-12,2.564B,,2.564B,4.971B,7.535B,,,,1.204B,,1.204B,,,,8.739B,,4.069B,,4.069B,397.00M,,,,6.605B,11.07B,19.81B,958.00M,10.77B,3.574B,4.185B,,,,138.00M,11.25B,,2004-12,,
2004-09,3.433B,,3.433B,4.074B,,4.074B,1.123B,788.00M,1.302B,,3.074B,1.231B,543.00M,12.36B,,,,,,11.64B,-7.45B,4.186B,,7.039B,7.039B,,,476.00M,5.932B,17.63B,2004-09,2.346B,,2.346B,4.686B,7.032B,,,,198.00M,,198.00M,,,,7.23B,,4.839B,,4.839B,358.00M,,,,6.356B,11.55B,18.78B,958.00M,10.67B,3.568B,3.828B,,,,-167.00M,11.20B,,2004-09,,
2004-06,3.232B,,3.232B,3.905B,,3.905B,996.00M,747.00M,1.404B,,3.003B,1.311B,566.00M,12.02B,,,,,,11.64B,-7.45B,4.185B,,6.947B,6.947B,,,447.00M,5.955B,17.53B,2004-06,2.273B,,2.273B,4.495B,6.768B,,,,285.00M,,285.00M,,,,7.053B,,4.825B,,4.825B,313.00M,,,,6.474B,11.61B,18.66B,958.00M,10.46B,3.547B,3.827B,,,,-255.00M,10.89B,,2004-06,,
2004-03,3.20B,,3.20B,3.888B,,3.888B,968.00M,807.00M,1.462B,,3.09B,1.386B,479.00M,12.04B,,,,,,11.70B,-7.45B,4.248B,,6.998B,6.998B,,,395.00M,5.982B,17.62B,2004-03,2.314B,,2.314B,4.344B,6.658B,,,,563.00M,,563.00M,,,,7.221B,,4.954B,,4.954B,294.00M,,,,6.44B,11.69B,18.91B,958.00M,10.26B,3.518B,3.807B,,,,-175.00M,10.76B,,2004-03,,
2003-12,2.95B,,2.95B,3.643B,,3.643B,972.00M,802.00M,1.412B,,3.04B,1.526B,465.00M,11.62B,0.00,335.00M,1.964B,9.011B,435.00M,11.74B,-7.45B,4.295B,,6.887B,6.887B,,,342.00M,6.166B,17.69B,2003-12,2.24B,,2.24B,4.314B,6.554B,,,,199.00M,,199.00M,,,,6.753B,,4.961B,,4.961B,316.00M,,,,6.555B,11.83B,18.58B,958.00M,10.13B,3.486B,3.655B,,,,-189.00M,10.73B,,2003-12,,
2003-09,2.87B,,2.87B,3.354B,,3.354B,1.00B,832.00M,1.235B,,2.93B,1.424B,645.00M,11.22B,,,,,,11.27B,-7.102B,4.168B,,6.813B,6.813B,,,321.00M,5.86B,17.16B,2003-09,2.032B,,2.032B,4.361B,6.393B,,,,201.00M,,201.00M,,,,6.594B,,5.006B,,5.006B,510.00M,,,,6.391B,11.91B,18.50B,958.00M,9.884B,3.459B,3.636B,,,,-781.00M,9.884B,,2003-09,,
2003-06,2.626B,,2.626B,3.353B,,3.353B,1.05B,840.00M,1.301B,,3.055B,1.592B,490.00M,11.12B,,,,,,11.32B,-7.102B,4.222B,,6.804B,6.804B,,,303.00M,6.088B,17.42B,2003-06,2.093B,,2.093B,4.168B,6.261B,,,,388.00M,,388.00M,,,,6.649B,,5.042B,,5.042B,512.00M,,,,6.591B,12.14B,18.79B,958.00M,9.701B,3.443B,3.674B,,,,-689.00M,9.739B,,2003-06,,
2003-03,2.29B,,2.29B,3.297B,,3.297B,939.00M,844.00M,1.401B,,3.049B,1.297B,887.00M,10.82B,,,,,,11.18B,-7.102B,4.08B,,6.832B,6.832B,,,511.00M,5.718B,17.14B,2003-03,2.023B,,2.023B,4.383B,6.406B,,,,483.00M,,483.00M,,,,6.889B,,4.721B,,4.721B,416.00M,,,,6.711B,11.85B,18.74B,958.00M,9.543B,3.427B,3.716B,,,,-988.00M,9.224B,,2003-03,,
2002-12,2.021B,,2.021B,3.264B,,3.264B,936.00M,804.00M,1.361B,,2.953B,1.301B,661.00M,10.20B,0.00,297.00M,1.836B,8.646B,378.00M,11.16B,-7.102B,4.055B,,6.772B,6.772B,,,533.00M,6.005B,17.36B,2002-12,1.912B,,1.912B,4.403B,6.315B,,,,370.00M,,370.00M,,,,6.685B,,4.719B,,4.719B,186.00M,,,,7.05B,11.96B,18.64B,958.00M,9.45B,3.409B,3.783B,,,,-1.109B,8.925B,,2002-12,,
2002-09,2.002B,,2.002B,3.476B,,3.476B,971.00M,911.00M,1.404B,,3.132B,,1.366B,9.976B,,,,,,11.44B,-6.748B,4.689B,,6.40B,6.40B,,,,3.482B,14.57B,2002-09,1.786B,,1.786B,3.40B,5.186B,,,,180.00M,,180.00M,,,,5.366B,,4.708B,,4.708B,914.00M,,,,3.187B,8.809B,14.18B,958.00M,11.07B,3.168B,4.21B,,,,-615.00M,10.37B,,2002-09,,
2002-06,1.976B,,1.976B,3.594B,,3.594B,1.055B,806.00M,1.498B,,3.215B,,1.462B,10.25B,,,,,,11.52B,-6.748B,4.769B,,6.394B,6.394B,,,,3.375B,14.54B,2002-06,1.818B,,1.818B,3.768B,5.586B,,,,397.00M,,397.00M,,,,5.983B,,4.707B,,4.707B,879.00M,,,,3.145B,8.731B,14.71B,958.00M,10.81B,3.13B,4.222B,,,,-608.00M,10.07B,,2002-06,,
2002-03,1.592B,,1.592B,3.43B,,3.43B,1.207B,835.00M,1.457B,,3.351B,,1.364B,9.737B,,,,,,11.56B,-6.748B,4.812B,,6.362B,6.362B,,,,3.282B,14.46B,2002-03,1.801B,,1.801B,3.609B,5.41B,,,,593.00M,,593.00M,,,,6.003B,,4.653B,,4.653B,947.00M,,,,3.107B,8.707B,14.71B,958.00M,10.51B,3.077B,4.232B,,,,-827.00M,9.483B,,2002-03,,
2001-12,1.393B,,1.393B,3.62B,,3.62B,1.024B,869.00M,1.603B,,3.355B,,1.526B,9.894B,0.00,316.00M,1.968B,8.874B,523.00M,11.68B,-6.748B,4.933B,,6.356B,6.356B,,,,3.043B,14.33B,2001-12,1.862B,,1.862B,3.819B,5.681B,,,,539.00M,,539.00M,,,,6.22B,,4.731B,,4.731B,875.00M,,,,3.23B,8.836B,15.06B,958.00M,10.28B,3.015B,4.252B,,,,-835.00M,9.17B,,2001-12,,
2001-09,1.324B,,1.324B,3.981B,,3.981B,1.227B,951.00M,1.796B,,3.812B,,1.352B,10.47B,,,,,,12.39B,-7.23B,5.157B,,5.831B,5.831B,,,,3.875B,14.86B,2001-09,2.106B,,2.106B,4.174B,6.28B,,,,1.964B,,1.964B,,,,8.244B,,3.519B,,3.519B,1.009B,,,,3.308B,7.836B,16.08B,958.00M,10.32B,2.969B,4.267B,,,,-726.00M,9.252B,,2001-09,,
2001-06,1.23B,,1.23B,4.122B,,4.122B,1.174B,915.00M,1.827B,,3.74B,,1.224B,10.32B,,,,,,12.34B,-7.23B,5.111B,,5.874B,5.874B,,,,3.634B,14.62B,2001-06,2.13B,,2.13B,3.579B,5.709B,,,,1.937B,,1.937B,,,,7.646B,,3.503B,,3.503B,1.065B,,,,3.201B,7.769B,15.42B,958.00M,10.78B,2.93B,4.281B,,,,-866.00M,9.52B,,2001-06,,
2001-03,1.074B,,1.074B,4.153B,,4.153B,1.218B,906.00M,1.888B,,3.83B,,1.234B,10.29B,,,,,,12.36B,-7.23B,5.128B,,5.921B,5.921B,,,,3.448B,14.50B,2001-03,2.189B,,2.189B,3.148B,5.337B,,,,1.741B,,1.741B,,,,7.078B,,3.906B,,3.906B,1.182B,,,,3.03B,8.118B,15.20B,958.00M,10.88B,2.852B,4.291B,,,,-807.00M,9.592B,,2001-03,,
2000-12,1.196B,,1.196B,4.623B,,4.623B,1.262B,809.00M,1.797B,,3.734B,,1.108B,10.66B,0.00,337.00M,2.134B,9.484B,505.00M,12.46B,-7.23B,5.23B,,5.898B,5.898B,,,,3.386B,14.51B,2000-12,2.364B,,2.364B,3.168B,5.532B,,,,1.682B,,1.682B,,,,7.214B,,3.941B,,3.941B,1.173B,,,,3.14B,8.254B,15.47B,958.00M,10.99B,2.782B,4.296B,,-672.00M,-57.00M,-729.00M,9.707B,,2000-12,,
2000-09,2.065B,,2.065B,4.162B,,4.162B,1.244B,910.00M,1.854B,,3.848B,,1.111B,11.19B,,,,,,12.32B,-7.127B,5.194B,,6.12B,6.12B,,,,3.417B,14.73B,2000-09,2.243B,,2.243B,3.187B,5.43B,,,,2.839B,,2.839B,,,,8.269B,,4.155B,,4.155B,998.00M,,,,3.159B,8.312B,16.58B,958.00M,10.89B,2.523B,4.382B,,,,-652.00M,9.336B,,2000-09,,
2000-06,959.00M,,959.00M,4.039B,,4.039B,1.094B,978.00M,1.826B,,3.744B,,1.109B,9.851B,,,,,,12.71B,-7.208B,5.502B,,6.232B,6.232B,,,,3.351B,15.08B,2000-06,2.256B,,2.256B,3.139B,5.395B,,,,2.60B,,2.60B,,,,7.995B,,3.444B,,3.444B,878.00M,,,,3.167B,7.489B,15.48B,958.00M,10.76B,2.486B,4.237B,,,,-512.00M,9.452B,,2000-06,,
2000-03,1.00B,,1.00B,3.926B,,3.926B,1.095B,952.00M,1.853B,,3.744B,,1.08B,9.75B,,,,,,12.77B,-7.13B,5.637B,,6.204B,6.204B,,,,3.246B,15.09B,2000-03,2.173B,,2.173B,3.293B,5.466B,,,,2.848B,,2.848B,,,,8.314B,,3.477B,,3.477B,877.00M,,,,3.224B,7.578B,15.89B,958.00M,10.29B,2.347B,4.258B,,,,-391.00M,8.945B,,2000-03,,
1999-12,1.991B,,1.991B,3.896B,,3.896B,1.027B,973.00M,1.589B,,3.436B,,1.099B,10.42B,0.00,371.00M,2.192B,9.574B,566.00M,12.70B,-7.073B,5.63B,4.66B,,4.66B,,,,2.815B,13.10B,1999-12,2.129B,,2.129B,3.534B,5.663B,,,,2.609B,,2.609B,,,,8.272B,,2.457B,,2.457B,864.00M,,,,3.335B,6.656B,14.93B,958.00M,9.932B,2.318B,4.254B,,-295.00M,-60.00M,-355.00M,8.599B,,1999-12,,
1999-09,981.00M,,981.00M,1.984B,,1.984B,636.00M,628.00M,1.101B,95.00M,2.326B,,576.00M,5.867B,,,,,,9.317B,-4.965B,4.352B,3.094B,,3.094B,,,,1.64B,9.086B,1999-09,1.273B,,1.273B,1.745B,3.018B,,,,1.766B,,1.766B,,,,4.784B,,1.287B,,1.287B,802.00M,,,,2.657B,4.746B,9.53B,716.00M,5.919B,3.323B,4.265B,,,,-270.00M,5.423B,,1999-09,,
1999-06,648.00M,,648.00M,1.838B,,1.838B,628.00M,604.00M,1.17B,90.00M,2.345B,,552.00M,5.383B,,,,,,9.189B,-4.974B,4.215B,2.91B,,2.91B,,,,1.581B,8.706B,1999-06,1.346B,,1.346B,1.647B,2.993B,,,,1.099B,,1.099B,,,,4.092B,,1.453B,,1.453B,784.00M,,,,2.734B,4.971B,9.063B,716.00M,5.628B,3.242B,4.285B,,,,-275.00M,5.026B,,1999-06,,
1999-03,795.00M,,795.00M,1.817B,,1.817B,624.00M,637.00M,1.137B,91.00M,2.344B,,561.00M,5.517B,,,,,,9.262B,-4.969B,4.293B,2.975B,,2.975B,,,,2.595B,9.863B,1999-03,1.328B,,1.328B,1.636B,2.964B,,,,2.12B,,2.12B,,,,5.084B,,1.457B,,1.457B,806.00M,,,,2.736B,4.999B,10.08B,716.00M,5.322B,3.109B,3.714B,,,,-136.00M,5.297B,,1999-03,,
1998-12,1.018B,,1.018B,3.899B,,3.899B,996.00M,1.095B,1.555B,,3.456B,,981.00M,9.354B,0.00,407.00M,2.174B,9.471B,605.00M,12.66B,-7.057B,5.60B,4.365B,,4.365B,,,,3.419B,13.38B,1998-12,2.018B,,2.018B,3.437B,5.455B,,,,2.19B,,2.19B,,,,7.645B,,2.776B,,2.776B,861.00M,,,,3.373B,7.01B,14.66B,953.00M,8.918B,1.719B,3.413B,,-169.00M,75.00M,-94.00M,8.083B,,1998-12,,
1998-09,566.00M,,566.00M,1.707B,,1.707B,593.00M,733.00M,1.204B,97.00M,2.446B,,589.00M,5.308B,,,,,,9.359B,-5.072B,4.287B,2.988B,,2.988B,,,,1.441B,8.716B,1998-09,1.268B,,1.268B,1.736B,3.004B,,,,1.00B,,1.00B,,,,4.004B,,1.459B,,1.459B,655.00M,,,,2.874B,4.988B,8.992B,716.00M,4.814B,2.917B,3.246B,,,,-169.00M,5.032B,,1998-09,,
1998-06,507.00M,22.00M,529.00M,1.809B,,1.809B,623.00M,807.00M,1.081B,91.00M,2.409B,,565.00M,5.312B,,,,,,9.106B,-4.909B,4.197B,2.881B,,2.881B,,,,1.507B,8.585B,1998-06,1.386B,,1.386B,1.668B,3.054B,,,,864.00M,,864.00M,,,,3.918B,,1.638B,,1.638B,601.00M,,,,2.917B,5.156B,9.074B,716.00M,4.569B,2.866B,3.108B,,,,-220.00M,4.823B,,1998-06,,
