,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-03,96.70M,,96.70M,,508.40M,,,,,453.20M,,,158.60M,1.217B,,,,,,,2.298B,-900.00M,1.398B,,208.60M,208.60M,,272.20M,1.879B,3.096B,,385.20M,,385.20M,,385.20M,,,240.30M,240.30M,,,0.10M,625.60M,719.50M,719.50M,192.00M,192.00M,,-0.10M,911.40M,1.537B,,58.60M,1.620B,,,58.60M,,,,1.559B,,,
1992-12,76.60M,,76.60M,,500.60M,,,,,449.80M,,,124.60M,1.152B,,,,,,,2.275B,-874.00M,1.401B,,213.80M,213.80M,,298.80M,1.913B,3.065B,,393.70M,,393.70M,,393.70M,,,251.60M,251.60M,,,,645.30M,681.90M,681.90M,187.40M,187.40M,,,869.30M,1.515B,,58.80M,1.575B,,,58.80M,,,,1.550B,,,
1992-09,56.60M,,56.60M,,585.10M,,,,,453.40M,,,126.10M,1.221B,,,,,,,2.295B,-865.30M,1.430B,,223.70M,223.70M,,303.30M,1.956B,3.178B,,262.20M,,262.20M,,262.20M,,,285.10M,285.10M,,,166.00M,713.30M,685.10M,685.10M,184.30M,184.30M,,0.10M,869.50M,1.583B,,59.00M,1.562B,,,59.00M,,,,1.595B,,,
1992-06,44.10M,,44.10M,,520.30M,,,,,464.50M,,,119.70M,1.149B,,,,,,,2.244B,-843.10M,1.401B,,222.00M,222.00M,,290.90M,1.914B,3.062B,,396.40M,,396.40M,,396.40M,,,334.30M,334.30M,,,,730.70M,677.30M,677.30M,154.60M,154.60M,,,831.90M,1.563B,,55.00M,1.502B,,,55.00M,,,,1.500B,,,
1992-03,103.50M,,103.50M,,478.40M,,,,,422.40M,,,86.30M,1.091B,,,,,,,2.166B,-803.70M,1.362B,,181.50M,181.50M,,254.50M,1.798B,2.888B,,370.90M,,370.90M,,370.90M,,,276.80M,276.80M,,,0.10M,647.80M,674.00M,674.00M,152.00M,152.00M,,,826.00M,1.474B,,55.00M,1.459B,,,55.00M,,,,1.415B,,,
1991-12,60.10M,,60.10M,,444.20M,,,,,437.40M,,,128.60M,1.070B,,,,,,,2.163B,-789.80M,1.373B,,160.90M,160.90M,,255.30M,1.789B,2.860B,,391.90M,,391.90M,,391.90M,,,227.00M,227.00M,,,-0.10M,618.80M,682.60M,682.60M,149.80M,149.80M,,,832.40M,1.451B,,55.00M,1.419B,,,55.00M,,,,1.408B,,,
1991-09,30.20M,,30.20M,,468.00M,,,,,406.30M,,,127.10M,1.032B,,,,,,,2.097B,-745.80M,1.351B,,150.00M,150.00M,,247.00M,1.748B,2.78B,,237.00M,,237.00M,,237.00M,,,141.70M,141.70M,,,152.60M,531.30M,739.10M,739.10M,145.80M,145.80M,,,884.90M,1.416B,,55.00M,1.409B,,,55.00M,,,,1.364B,,,
1991-06,71.50M,,71.50M,,427.20M,,,,,401.30M,,,93.10M,993.10M,,,,,,,2.007B,-708.10M,1.298B,,148.80M,148.80M,,205.00M,1.652B,2.645B,,366.70M,,366.70M,,366.70M,,,120.50M,120.50M,,,0.10M,487.30M,744.60M,744.60M,137.60M,137.60M,,,882.20M,1.370B,,53.30M,13.36B,,,53.30M,,,,1.276B,,,
1991-03,64.50M,,64.50M,,431.10M,,,,,418.00M,,,118.70M,1.032B,,,,,,,1.995B,-695.30M,1.30B,,149.80M,149.80M,,203.60M,1.653B,2.686B,,380.90M,,380.90M,,380.90M,,,149.30M,149.30M,,,,530.20M,749.90M,749.90M,138.30M,138.30M,,0.10M,888.30M,1.418B,,53.40M,1.321B,,,53.40M,,,,1.267B,,,
1990-12,47.60M,,47.60M,,379.90M,,,,,421.20M,,,122.00M,970.70M,,,,,,,1.971B,-680.50M,1.291B,,152.90M,152.90M,,201.00M,1.644B,2.615B,,384.40M,,384.40M,,384.40M,,,180.70M,180.70M,,,,565.10M,655.30M,655.30M,137.40M,137.40M,,0.20M,792.90M,1.358B,,53.40M,1.284B,,,53.40M,,,,1.257B,,,
1990-09,41.70M,,41.70M,,422.20M,,,,,397.60M,,,100.40M,961.90M,,,,,,,1.924B,-647.90M,1.276B,,155.80M,155.80M,,199.70M,1.632B,2.594B,,245.90M,,245.90M,,245.90M,,,167.00M,167.00M,,,160.90M,573.80M,649.30M,649.30M,136.90M,136.90M,,-0.10M,786.10M,1.360B,,53.50M,1.266B,,,53.50M,,,,1.234B,,,
1990-06,48.70M,,48.70M,,366.40M,,,,,404.60M,,,91.70M,911.40M,,,,,,,1.822B,-614.00M,1.208B,,157.70M,157.70M,,191.00M,1.557B,2.468B,,381.70M,,381.70M,,381.70M,,,217.40M,217.40M,,,,599.10M,607.50M,607.50M,115.70M,115.70M,,,723.20M,1.322B,,48.00M,1.214B,,,48.00M,,,,1.146B,,,
1990-03,76.40M,,76.40M,,363.70M,,,,,382.40M,,,101.50M,924.00M,,,,,,,1.772B,-600.90M,1.171B,,160.50M,160.50M,,150.30M,1.482B,2.406B,,361.40M,,361.40M,,361.40M,,,237.50M,237.50M,,,,598.90M,597.60M,597.60M,116.90M,116.90M,,,714.50M,1.313B,,48.00M,1.178B,,,48.00M,,,,1.092B,,,
1989-12,60.40M,,60.40M,,324.90M,,,,,381.50M,,,108.40M,875.20M,,,,,,,1.723B,-590.20M,1.133B,,163.50M,163.50M,,144.90M,1.441B,2.316B,,365.80M,,365.80M,,365.80M,,,203.90M,203.90M,,,,569.70M,516.50M,516.50M,118.60M,118.60M,,,635.10M,1.205B,,,1.144B,,,,,,,1.112B,,,
1989-09,61.00M,,61.00M,,361.00M,,,,,355.20M,,,91.40M,868.60M,,,,,,,1.656B,-555.10M,1.101B,,283.60M,283.60M,,17.30M,1.402B,2.270B,,379.20M,,379.20M,,379.20M,,,188.50M,188.50M,,,,567.70M,516.00M,516.00M,114.80M,114.80M,,0.10M,630.90M,1.199B,,,1.126B,,,,,,,1.072B,,,
1988-09,123.50M,,123.50M,,339.40M,,,,,356.40M,,,63.70M,883.00M,,,,,,,1.293B,-367.90M,925.40M,,255.80M,255.80M,,3.30M,1.184B,2.068B,,,,,,,,,189.20M,189.20M,,,336.60M,525.80M,500.00M,500.00M,82.00M,82.00M,,-0.10M,581.90M,1.108B,,,951.30M,,,,,,,959.80M,,,
1987-09,189.00M,,189.00M,,295.80M,,,,,305.10M,,,52.40M,842.30M,,,,,,,1.123B,-367.90M,754.90M,,253.00M,253.00M,,41.30M,1.049B,1.892B,,,,,,,,,182.60M,182.60M,,,310.40M,493.00M,479.60M,479.60M,57.60M,57.60M,,,537.20M,1.030B,,,823.30M,,,,,,,861.30M,,,
1986-09,172.80M,,172.80M,,252.20M,,,,,268.30M,,,89.50M,782.80M,,,,,,,999.20M,-367.90M,631.30M,,148.20M,148.20M,,128.60M,908.10M,1.691B,,,,,,,,,154.70M,154.70M,,,290.70M,445.40M,391.70M,391.70M,49.90M,49.90M,,,441.60M,887.00M,,,704.80M,,,,,,,803.90M,,,
1985-09,118.40M,,118.40M,,208.20M,,,,,182.70M,,,67.20M,576.50M,,,,,,,797.40M,-318.40M,479.00M,,24.00M,24.00M,,161.40M,664.40M,1.241B,,,,,,,,,61.20M,61.20M,,,221.60M,282.80M,220.70M,220.70M,56.30M,56.30M,,,277.00M,559.80M,,,610.00M,,,,,,,681.10M,,,
1984-09,148.10M,,148.10M,,199.00M,,,,,166.00M,,,52.40M,565.50M,,,,,,,706.30M,-275.10M,431.20M,,28.10M,28.10M,,104.40M,563.70M,1.129B,,,,,,,,,22.70M,22.70M,,,223.00M,245.70M,226.50M,226.50M,50.10M,50.10M,,0.10M,276.70M,522.40M,,,546.20M,,,,,,,606.80M,,,
