,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-09,6.944B,6.944B,6.524B,419.98M,216.14M,,34.88M,,,,216.14M,203.84M,,,,36.19M,,155.50M,47.43M,108.08M,,108.08M,83.83M,352.74M,148.90M,203.84M,,0.17,0.00,,0.1326,0.17,,0.17,0.00,,0.1326,0.17,,648.07M,648.07M,0.06,,,
2002-06,6.755B,6.755B,6.375B,380.43M,233.20M,,266.39M,,,,233.20M,147.23M,,,,327.92M,,119.20M,6.93M,112.27M,,112.27M,-138.64M,296.74M,149.51M,147.23M,,0.17,0.00,,-0.2153,0.17,,0.17,0.00,,-0.2153,0.17,,651.22M,651.22M,0.05,,,
2002-03,5.189B,5.189B,4.799B,390.24M,199.71M,,-14.31M,,,,199.71M,190.53M,,,,-14.31M,,176.22M,59.03M,117.18M,,117.18M,126.70M,345.25M,154.72M,190.53M,,0.18,0.00,,0.1946,0.18,,0.18,0.00,,0.1946,0.18,,653.59M,653.59M,0.05,,,
2001-12,5.464B,5.464B,4.957B,507.29M,209.75M,,11.55M,,,,209.75M,297.54M,,,,20.52M,,225.60M,75.58M,150.02M,,150.02M,142.34M,453.07M,155.53M,297.54M,,0.23,0.00,,0.2184,0.23,,0.23,0.00,,0.2184,0.23,,660.28M,660.28M,0.05,,,
2001-09,5.204B,5.204B,4.798B,405.50M,184.26M,,88.78M,,,,184.26M,221.23M,,,,68.94M,,197.92M,66.30M,131.62M,,131.62M,72.58M,375.55M,154.32M,221.23M,,0.20,0.00,,0.1109,0.20,,0.20,0.00,,0.1109,0.20,,662.61M,662.61M,0.0476,,,
2001-06,5.345B,5.345B,4.983B,361.93M,187.49M,,0.928M,,,,187.49M,174.44M,,,,5.371M,,83.11M,27.01M,56.10M,,56.10M,55.47M,327.06M,152.62M,174.44M,,0.0571,0.00,,0.0564,0.0571,,0.0571,,,0.0564,0.0571,,796.12M,796.12M,0.0476,,,
2001-03,5.130B,5.130B,4.761B,369.65M,186.77M,,50.83M,,,,186.77M,182.88M,,,,55.88M,,138.00M,44.85M,93.15M,,93.15M,58.84M,335.31M,152.43M,182.88M,,0.1429,0.00,,0.0913,0.1429,,0.1429,0.00,,0.0913,0.1429,,665.54M,665.54M,0.0476,,,
2000-12,4.941B,4.941B,4.525B,416.31M,187.44M,,44.95M,,,,187.44M,228.86M,,,,55.21M,,184.60M,60.00M,124.61M,,124.61M,94.27M,386.65M,157.78M,228.86M,,0.1905,0.00,,0.1449,0.1905,,0.1905,0.00,,0.1449,0.1905,,665.07M,665.07M,0.0476,,,
2000-09,4.635B,4.635B,4.351B,283.91M,169.32M,,17.65M,,,,169.32M,114.58M,,,,102.80M,,116.19M,6.76M,109.43M,,109.43M,92.81M,273.73M,159.15M,114.58M,,0.1619,0.00,,0.1369,0.1619,,0.1619,0.00,,0.1369,0.1619,,664.21M,664.21M,0.0453,,,
2000-06,-823.63M,-823.63M,-1.677B,853.64M,174.30M,,123.69M,,,,821.94M,31.71M,,,,56.67M,,-9.643M,-69.23M,59.59M,,59.59M,-14.63M,192.26M,160.56M,31.71M,,0.0800,0.00,,-0.0215,0.0800,,0.0800,0.00,,-0.0215,0.0800,,731.11M,731.11M,0.0453,,,
2000-03,4.474B,4.474B,4.139B,334.98M,184.85M,,37.68M,,,,184.85M,150.13M,,,,99.23M,,154.93M,51.90M,103.03M,,103.03M,77.97M,313.55M,163.43M,150.13M,,0.1382,0.00,,0.1042,0.1382,,0.1382,0.00,,0.1042,0.1382,,736.90M,736.90M,0.0453,,,
1999-12,4.615B,4.615B,4.209B,406.27M,199.48M,,40.35M,,,,199.48M,206.80M,,,,45.98M,,153.26M,51.34M,101.92M,,101.92M,75.09M,371.61M,164.82M,206.80M,,0.1382,0.00,,0.1019,0.1382,,0.1382,0.00,,0.1019,0.1382,,740.26M,740.26M,0.0453,,,
1999-09,4.611B,4.611B,4.339B,272.32M,170.74M,,38.70M,,,,170.74M,101.58M,,,,38.54M,,54.69M,18.32M,36.37M,,36.37M,10.63M,260.43M,158.84M,101.58M,,0.0518,0.00,,0.0172,0.0518,,0.0518,0.00,,0.0172,0.0518,,743.22M,743.22M,0.0431,,,
1999-06,3.192B,3.192B,2.754B,438.30M,178.30M,,-297.00M,,,,338.50M,99.80M,,,,-297.00M,,53.60M,11.30M,42.30M,,42.30M,276.69M,260.00M,160.20M,99.80M,,0.0329,0.0082,0.0007,0.2884,0.0411,,0.0164,0.0082,0.0007,0.2720,0.0247,,917.32M,917.32M,0.0431,,,
1999-03,3.378B,3.378B,2.980B,397.90M,173.80M,,39.00M,,,,332.80M,65.10M,,,,39.00M,,17.90M,6.20M,11.70M,,11.70M,-13.79M,224.10M,159.00M,65.10M,,0.0164,0.00,,-0.0194,0.0164,,0.0164,0.00,,-0.0194,0.0164,,711.36M,711.36M,0.0431,,,
1998-12,3.912B,3.912B,3.336B,575.90M,182.20M,,15.40M,,,,336.80M,239.10M,,,,15.40M,,169.90M,59.50M,110.40M,,95.10M,100.39M,393.70M,154.60M,239.10M,,0.1398,-0.0247,-0.0185,0.1277,0.1151,,0.1398,-0.0247,-0.0185,0.1277,0.1151,,826.01M,826.01M,0.0431,,,
1998-09,3.801B,3.801B,3.359B,442.00M,166.80M,,131.60M,,,,315.20M,126.80M,,,,131.60M,,178.40M,61.50M,116.90M,,116.90M,30.67M,275.20M,148.40M,126.80M,,0.1480,0.00,,0.0388,0.1480,,0.1480,0.00,,0.0388,0.1480,,789.72M,789.72M,0.0410,,,
1998-06,4.047B,4.047B,3.576B,470.70M,160.80M,,32.20M,,,,322.60M,148.10M,,,,32.20M,,95.00M,32.30M,62.70M,,62.70M,41.45M,309.90M,161.80M,148.10M,,0.1473,0.00,,0.1149,0.1473,,0.1473,0.00,,0.1217,0.1473,,657.09M,832.07M,0.0410,,,
1998-03,4.280B,4.280B,3.755B,525.20M,228.10M,,30.40M,,,,368.80M,156.40M,,,,30.40M,,106.50M,36.20M,70.30M,,70.30M,50.23M,297.10M,140.70M,156.40M,,0.0811,0.00,,0.0574,0.0811,,0.0811,0.00,,0.0574,0.0811,,845.83M,845.83M,0.0410,,,
1997-12,4.130B,4.130B,3.636B,494.60M,136.70M,,-16.20M,,,,269.00M,225.60M,,,,-16.20M,,209.40M,70.20M,139.20M,,139.20M,149.97M,357.90M,132.30M,225.60M,,0.1723,0.00,,0.1856,0.1723,,0.1723,0.00,,0.1856,0.1723,,807.86M,807.86M,0.0410,,,
1997-09,3.651B,3.651B,3.201B,450.50M,135.00M,,64.30M,,,,260.30M,190.20M,,,,64.30M,,199.10M,67.70M,131.40M,,131.40M,88.96M,315.50M,125.30M,190.20M,,0.1622,0.00,,0.1107,0.1622,,0.1622,0.00,,0.1107,0.1622,,825.29M,825.29M,0.0390,,,
1997-06,3.593B,3.593B,3.137B,456.30M,129.90M,,-11.90M,,,,258.40M,197.90M,,,,-11.90M,,185.80M,63.20M,122.60M,,122.60M,130.45M,326.40M,128.50M,197.90M,,0.1268,0.00,,0.1357,0.1268,,0.1268,0.00,,0.1357,0.1268,,881.85M,881.85M,0.0390,,,
1997-03,3.415B,3.415B,3.081B,334.20M,119.80M,,-3.90M,,,,237.60M,96.60M,,,,-3.90M,,92.70M,31.50M,61.20M,,61.20M,63.77M,214.40M,117.80M,96.60M,,0.0821,0.00,,0.0855,0.0821,,0.0821,0.00,,0.0855,0.0821,,745.88M,745.88M,0.0390,,,
1996-12,3.548B,3.548B,3.051B,497.40M,108.90M,,63.50M,,,,225.00M,272.40M,,,,63.50M,,287.70M,97.80M,189.90M,,189.90M,147.99M,388.50M,116.10M,272.40M,,0.2145,0.00,,0.1672,0.2145,,0.2145,0.00,,0.1672,0.2145,,887.98M,887.98M,0.0390,,,
1996-09,3.389B,3.389B,2.911B,478.20M,306.40M,,65.60M,,,,419.50M,58.70M,,,,65.60M,,78.20M,74.60M,3.60M,,3.60M,-35.76M,171.80M,113.10M,58.70M,,0.0061,0.00,,-0.0381,0.0061,,0.0061,0.00,,-0.0381,0.0061,,889.70M,889.70M,0.0371,,,
1996-06,3.217B,3.217B,2.779B,438.10M,125.10M,,-110.80M,,,,236.60M,201.50M,,,,-110.80M,,217.50M,74.00M,143.50M,,143.50M,216.60M,313.00M,111.50M,201.50M,,0.1556,0.00,,0.2329,0.1556,,0.1556,0.00,,0.2329,0.1556,,945.53M,945.53M,0.0371,,,
1996-03,3.487B,3.487B,3.047B,439.80M,121.00M,,73.50M,,,,221.90M,217.90M,,,,73.50M,,247.40M,84.10M,163.30M,,163.30M,114.79M,318.80M,100.90M,217.90M,,0.1722,0.00,,0.1205,0.1722,,0.1722,0.00,,0.1205,0.1722,,937.55M,937.55M,0.0371,,,
1995-12,3.415B,3.415B,2.914B,501.10M,128.50M,,116.60M,,,,232.70M,268.40M,,,,116.60M,,342.40M,116.40M,226.00M,,226.00M,149.04M,372.60M,104.20M,268.40M,,0.2389,0.00,,0.1573,0.2389,,0.2389,0.00,,0.1573,0.2389,,943.55M,943.55M,0.0371,,,
1995-09,3.121B,3.121B,2.694B,426.90M,98.70M,,61.60M,,,,201.30M,225.60M,,,,61.60M,,247.10M,84.00M,163.10M,,163.10M,122.44M,328.20M,102.60M,225.60M,,0.1722,0.00,,0.1297,0.1722,,0.1722,0.00,,0.1297,0.1722,,955.43M,955.43M,0.0178,,,
1995-06,3.135B,3.135B,2.640B,495.10M,108.30M,,84.50M,,,,208.90M,286.20M,,,,84.50M,,330.00M,104.40M,225.60M,,225.60M,167.83M,386.80M,100.60M,286.20M,,0.3321,,,0.2470,0.3321,,0.3321,0.00,,0.2757,0.3321,,679.38M,1.024B,0.0178,,,
1995-03,3.300B,3.300B,2.760B,539.80M,98.70M,,13.30M,,,,212.90M,326.90M,,,,13.30M,,296.50M,100.80M,195.70M,,195.70M,186.92M,441.10M,103.40M,326.90M,,0.1914,0.00,,0.1828,0.1914,,0.1914,0.00,,0.1828,0.1914,,1.025B,1.025B,0.0178,,,
1994-12,3.222B,3.222B,2.636B,585.30M,122.10M,,14.30M,,,,229.80M,355.50M,,,,14.30M,,326.10M,106.00M,220.10M,,220.10M,210.45M,463.20M,107.70M,355.50M,,0.2165,0.00,,0.2071,0.2165,,0.2165,0.00,,0.2071,0.2165,,1.025B,1.025B,0.0178,,,
1994-09,3.015B,3.015B,2.575B,439.90M,100.30M,,27.20M,,,,195.40M,244.50M,,,,27.20M,,228.90M,74.40M,154.50M,,154.50M,136.14M,339.60M,95.10M,244.50M,,0.1007,0.00,,0.0888,0.1007,,0.1007,0.00,,0.0888,0.1007,,1.535B,1.535B,0.0107,,,
1994-06,2.929B,2.929B,2.530B,399.70M,104.60M,,32.40M,,,,197.80M,201.90M,,,,32.40M,,192.60M,54.90M,137.70M,,137.70M,114.54M,295.10M,93.20M,201.90M,,0.1989,,,0.1654,0.1989,,0.1989,,,0.1654,0.1989,,692.35M,692.35M,0.0107,,,
1994-03,3.01B,3.01B,2.634B,375.90M,92.50M,,50.80M,,,,182.70M,193.20M,,,,50.80M,,198.40M,67.10M,131.30M,,131.30M,97.68M,283.40M,90.20M,193.20M,,0.0859,0.00,,0.0373,0.0859,,0.0859,0.00,,0.0373,0.0859,,692.05M,692.05M,0.0107,,,
1993-12,2.822B,2.822B,2.413B,409.00M,90.80M,,33.70M,,,,177.40M,231.60M,,,,33.70M,,222.50M,76.40M,146.10M,,146.10M,123.97M,318.20M,86.60M,231.60M,,0.0988,0.00,,0.0668,0.0988,,0.0988,0.00,,0.0668,0.0988,,691.63M,691.63M,0.0107,,,
1993-09,2.614B,2.614B,2.306B,307.60M,83.20M,,28.40M,,,,167.70M,139.90M,,,,28.40M,,124.90M,55.80M,69.10M,,69.10M,52.06M,224.40M,84.50M,139.90M,,0.0473,0.00,,0.0231,0.0473,,0.0473,0.00,,0.0231,0.0473,,705.58M,705.58M,0.0102,,,
1993-06,2.422B,2.422B,2.128B,294.20M,80.30M,,40.30M,,,,165.20M,129.00M,,,,40.30M,,128.20M,7.00M,121.20M,,154.20M,83.10M,213.90M,84.90M,129.00M,,0.2129,,,0.1603,0.2129,,0.2129,,,0.1603,0.2129,,724.43M,724.43M,0.0102,,,
1993-03,2.457B,2.457B,2.108B,348.80M,82.00M,,46.90M,,,,164.80M,184.00M,,,,46.90M,,193.40M,63.00M,130.40M,,130.40M,98.78M,266.80M,82.80M,184.00M,,0.0777,0.00,,0.0342,0.0777,,0.0777,0.00,,0.0342,0.0777,,726.41M,726.41M,0.0102,,,
1992-12,2.548B,2.548B,2.143B,404.80M,83.80M,,29.70M,,,,163.40M,241.40M,,,,29.70M,,234.40M,78.10M,156.30M,,156.30M,136.50M,321.00M,79.60M,241.40M,,0.0982,0.00,,0.0709,0.0982,,0.0982,0.00,,0.0709,0.0982,,726.06M,726.06M,0.0102,,,
1992-09,2.384B,2.384B,2.041B,343.80M,78.70M,,41.80M,,,,159.90M,183.90M,,,,41.80M,,189.90M,63.30M,126.60M,,126.60M,98.73M,265.10M,81.20M,183.90M,,0.0736,0.00,,0.0352,0.0736,,0.0736,0.00,,0.0352,0.0736,,725.28M,725.28M,0.0097,,,
1992-06,2.387B,2.387B,2.038B,348.60M,73.80M,,36.10M,,,,154.40M,194.20M,,,,36.10M,,196.60M,59.40M,137.20M,,137.20M,112.01M,274.80M,80.60M,194.20M,,0.1890,,,0.1543,0.1890,,0.1890,,,0.1543,0.1890,,725.79M,725.79M,0.0097,,,
1992-03,2.236B,2.236B,1.924B,311.90M,77.20M,,33.00M,,,,150.10M,161.80M,,,,33.00M,,166.30M,57.20M,109.10M,,109.10M,87.45M,234.80M,73.00M,161.80M,,0.0584,0.00,,0.0289,0.0584,,0.0584,0.00,,0.0289,0.0584,,731.89M,731.89M,0.0097,,,
1991-12,2.304B,2.304B,1.960B,345.00M,75.50M,,31.70M,,,,147.60M,197.40M,,,,31.70M,,199.80M,68.70M,131.10M,,131.10M,110.30M,269.50M,72.00M,197.40M,,0.0740,0.00,,0.0455,0.0740,,0.0740,0.00,,0.0455,0.0740,,728.94M,728.94M,0.0097,,,
1991-09,2.304B,2.304B,1.973B,331.20M,68.20M,,25.90M,,,,136.30M,194.90M,,,,25.90M,,197.00M,70.50M,126.50M,,126.50M,109.87M,263.00M,68.10M,194.90M,,0.0701,0.00,,0.0473,0.0701,,0.0701,0.00,,0.0473,0.0701,,728.20M,728.20M,0.0080,,,
1991-06,2.099B,2.099B,1.805B,294.50M,68.50M,,56.70M,,,,138.80M,155.70M,,,,56.70M,,189.60M,66.20M,123.40M,,123.40M,86.50M,226.00M,70.30M,155.70M,,0.1700,,,0.1191,0.1700,,0.1700,,,0.1191,0.1700,,726.06M,726.06M,0.0080,,,
1991-03,2.093B,2.093B,1.815B,277.50M,74.10M,,67.20M,,,,138.70M,138.80M,,,,67.20M,,181.70M,63.60M,118.10M,,118.10M,74.42M,203.40M,64.60M,138.80M,,0.0594,0.00,,-0.0008,0.0594,,0.0594,0.00,,-0.0008,0.0594,,725.96M,725.96M,0.0080,,,
1990-12,2.194B,2.194B,1.896B,298.00M,70.80M,,34.90M,,,,128.30M,169.70M,,,,34.90M,,178.20M,60.80M,117.40M,,117.40M,94.41M,227.20M,57.50M,169.70M,,0.0594,0.00,,0.0281,0.0594,,0.0594,0.00,,0.0281,0.0594,,735.96M,735.96M,0.0080,,,
1990-09,2.082B,2.082B,1.795B,287.50M,65.70M,,38.00M,,,,134.70M,152.80M,,,,38.00M,,168.30M,60.60M,107.70M,,107.70M,83.38M,221.80M,69.00M,152.80M,,0.0520,0.00,,0.0189,0.0520,,0.0520,0.00,,0.0189,0.0520,,736.75M,736.75M,0.0073,,,
1990-06,2.082B,2.082B,1.781B,301.00M,64.70M,,37.40M,,,,130.80M,170.20M,,,,37.40M,,184.50M,66.70M,117.80M,,117.80M,93.92M,236.30M,66.10M,170.20M,,0.1612,,,0.1285,0.1612,,0.1612,,,0.1285,0.1612,,730.82M,730.82M,0.0073,,,
1990-03,2.030B,2.030B,1.731B,299.80M,64.90M,,32.20M,,,,126.70M,173.10M,,,,32.20M,,179.30M,62.90M,116.40M,,116.40M,95.50M,235.00M,61.90M,173.10M,,0.0565,0.00,,0.0279,0.0565,,0.0565,0.00,,0.0279,0.0565,,730.88M,730.88M,0.0073,,,
1989-12,1.785B,1.785B,1.493B,292.10M,53.90M,,54.40M,,,,115.90M,176.20M,,,,54.40M,,207.20M,75.00M,132.20M,,132.20M,97.49M,238.20M,61.90M,176.20M,,0.0671,0.00,,0.0197,0.0671,,0.0671,0.00,,0.0197,0.0671,,731.23M,731.23M,0.0049,,,
1989-09,1.854B,1.854B,1.593B,261.20M,48.20M,,49.80M,,,,106.40M,154.80M,,,,49.80M,,182.20M,65.00M,117.20M,,117.20M,85.17M,213.00M,58.20M,154.80M,,0.0377,0.00,,-0.0065,0.0377,,0.0377,0.00,,-0.0065,0.0377,,724.18M,724.18M,0.0056,,,
1989-06,2.023B,2.023B,,,,,,,,,,-5.284B,,,,,,,,116.80M,,116.80M,,-5.284B,,-5.284B,,,,,,,,,,,,,,723.95M,723.95M,0.0056,,,
1989-03,2.083B,2.083B,,,,,,,,,,2.083B,,,,,,,,116.20M,,116.20M,,2.083B,,2.083B,,0.0359,0.00,,0.0359,0.0359,,0.0359,0.00,,0.0359,0.0359,,720.94M,720.94M,0.0056,,,
1988-12,1.851B,1.851B,,,,,,,,,,1.851B,,,,,,,,100.40M,,100.40M,,1.851B,,1.851B,,0.0314,0.00,,0.0314,0.0314,,0.0314,0.00,,0.0314,0.0314,,719.99M,719.99M,0.0056,,,
1988-09,1.972B,1.972B,,,,,,,,,,1.972B,,,,,,,,91.30M,,91.30M,,1.972B,,1.972B,,0.0292,0.00,,0.0292,0.0292,,0.0292,0.00,,0.0292,0.0292,,725.91M,725.91M,0.0053,,,
1988-06,1.875B,1.875B,,,,,,,,,,-4.382B,,,,,,,,74.80M,,74.80M,,-4.382B,,-4.382B,,,,,,,,,,,,,,720.09M,720.09M,0.0053,,,
1988-03,1.681B,1.681B,,,,,,,,,,1.681B,,,,,,,,98.00M,,98.00M,,1.681B,,1.681B,,0.0278,0.00,,0.0278,0.0278,,0.0278,0.00,,0.0278,0.0278,,720.09M,720.09M,0.0053,,,
1987-12,1.654B,1.654B,,,,,,,,,,1.654B,,,,,,,,97.30M,,97.30M,,1.654B,,1.654B,,0.0278,0.00,,0.0278,0.0278,,0.0278,0.00,,0.0278,0.0278,,698.96M,698.96M,0.0053,,,
1987-09,1.588B,1.588B,,,,,,,,,,1.588B,,,,,,,,83.00M,,83.00M,,1.588B,,1.588B,,0.0235,0.00,,0.0235,0.0235,,0.0235,0.00,,0.0235,0.0235,,740.82M,740.82M,0.0024,,,
1987-06,1.507B,1.507B,,,,,,,,,,-3.887B,,,,,,,,78.40M,,78.40M,,-3.887B,,-3.887B,,,,,,,,,,,,,,735.93M,735.93M,0.0024,,,
1987-03,1.432B,1.432B,,,,,,,,,,1.432B,,,,,,,,72.60M,,72.60M,,1.432B,,1.432B,,0.0224,0.00,,0.0224,0.0224,,0.0224,0.00,,0.0224,0.0224,,735.93M,735.93M,0.0024,,,
1986-12,1.465B,1.465B,,,,,,,,,,1.465B,,,,,,,,49.50M,,49.50M,,1.465B,,1.465B,,0.0183,0.00,,0.0183,0.0183,,0.0183,0.00,,0.0183,0.0183,,735.93M,735.93M,0.0024,,,
1986-09,1.371B,1.371B,,,,,,,,,,1.371B,,,,,,,,64.90M,,64.90M,,1.371B,,1.371B,,0.0224,0.00,,0.0224,0.0224,,0.0224,0.00,,0.0224,0.0224,,731.61M,731.61M,0.0048,,,
1986-06,1.391B,1.391B,,,,,,,,,,-3.592B,,,,,,,,66.00M,,66.00M,,-3.592B,,-3.592B,,,,,,,,,,,,,,729.84M,729.84M,0.0014,,,
1986-03,1.332B,1.332B,,,,,,,,,,1.332B,,,,,,,,55.60M,,55.60M,,1.332B,,1.332B,,0.0155,0.00,,0.0155,0.0155,,0.0155,0.00,,0.0155,0.0155,,691.68M,691.68M,0.0014,,,
1985-12,1.328B,1.328B,,,,,,,,,,1.328B,,,,,,,,67.30M,,67.30M,,1.328B,,1.328B,,0.0181,0.00,,0.0181,0.0181,,0.0181,0.00,,0.0181,0.0181,,691.68M,691.68M,,,,
1985-09,1.286B,1.286B,,,,,,,,,,1.286B,,,,,,,,50.50M,,50.50M,,1.286B,,1.286B,,0.0116,0.00,,0.0116,0.0116,,0.0116,0.00,,0.0116,0.0116,,719.21M,719.21M,,,,
1985-06,1.310B,1.310B,,,,,,,,,,-3.189B,,,,,,,,51.50M,,51.50M,,-3.189B,,-3.189B,,,,,,,,,,,,,,715.62M,715.62M,,,,
1985-03,1.190B,1.190B,,,,,,,,,,1.190B,,,,,,,,31.60M,,31.60M,,1.190B,,1.190B,,0.0086,0.00,,0.0086,0.0086,,0.0086,0.00,,0.0086,0.0086,,715.23M,715.23M,,,,
1984-12,1.162B,1.162B,,,,,,,,,,1.162B,,,,,,,,49.20M,,49.20M,,1.162B,,1.162B,,0.0111,0.00,,0.0111,0.0111,,0.0111,0.00,,0.0111,0.0111,,714.50M,714.50M,,,,
1984-09,1.077B,1.077B,,,,,,,,,,1.077B,,,,,,,,31.60M,,31.60M,,1.077B,,1.077B,,0.0086,0.00,,0.0086,0.0086,,0.0086,0.00,,0.0086,0.0086,,714.50M,714.50M,,,,
1984-06,1.163B,1.163B,,,,,,,,,,-3.576B,,,,,,,,33.70M,,33.70M,,-3.576B,,-3.576B,,,,,,,,,,,,,,713.39M,713.39M,,,,
1984-03,1.208B,1.208B,,,,,,,,,,1.208B,,,,,,,,22.90M,,22.90M,,1.208B,,1.208B,,0.0059,0.00,,0.0059,0.0059,,0.0059,0.00,,0.0059,0.0059,,713.33M,713.33M,,,,
