,NetIncome,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
1998-12,71.00M,,102.00M,102.00M,,,,,,,,-411.00M,-500.00M,190.00M,,-40.00M,,-39.00M,0.00,,-9.00M,-37.00M,,,,-269.00M,-16.00M,,-16.00M,,,,,,9.00M,-276.00M,,195.00M,-123.00M,-2.00M,70.00M,,-16.00M,,,,,,
1998-09,-462.00M,,11.00M,11.00M,,,,,,,,504.00M,504.00M,53.00M,,-41.00M,,-41.00M,-2.06B,,7.00M,-2.094B,,,,2.058B,33.00M,,33.00M,,,,,,-8.00M,2.083B,,149.00M,42.00M,4.00M,195.00M,,33.00M,,,,,,
1998-06,67.00M,,8.00M,8.00M,,,,,,,,-59.00M,-59.00M,16.00M,,-45.00M,,-45.00M,,,-4.00M,-49.00M,,,,10.00M,29.00M,,29.00M,,,,,,0.00,39.00M,,143.00M,6.00M,0.00,149.00M,,29.00M,,,,,,
1998-03,60.00M,,8.00M,8.00M,,,,,,,,-34.00M,-34.00M,34.00M,,-49.00M,,-49.00M,,,4.00M,-45.00M,,,,83.00M,20.00M,,20.00M,,,,,,-6.00M,97.00M,,58.00M,86.00M,-1.00M,143.00M,,20.00M,,,,,,
1997-12,-5.90M,,,,,65.10M,,,,,,,,15.20M,,-64.30M,,-60.30M,,1.20M,9.90M,-67.20M,,,,79.70M,12.70M,-36.10M,-23.40M,,,,,,,56.30M,,0.00,4.30M,-0.30M,58.00M,,12.70M,,,-36.10M,,,
1997-09,88.40M,,,,,-91.50M,,,,,,,,-3.10M,,-50.10M,,-50.10M,,11.00M,-12.10M,-51.20M,,,,66.30M,58.60M,-69.40M,-10.80M,,,,,,,55.50M,,0.00,1.20M,-1.20M,0.00,,58.60M,,,-69.40M,,,
1997-06,-26.90M,,,,,28.40M,,,,,,,,1.50M,,-55.40M,,-55.40M,,0.00,-32.00M,-87.40M,,,,122.30M,12.50M,-81.50M,-69.00M,,,,,,,53.30M,,0.00,-32.60M,-0.90M,0.00,,12.50M,,,-81.50M,,,
1997-03,75.40M,,,,,-9.00M,,,,,,,,66.40M,,-54.20M,,-54.20M,,13.80M,-4.80M,-45.20M,,,,-16.30M,13.20M,,13.20M,,,,,,,-3.10M,,72.20M,18.10M,-2.60M,0.00,,13.20M,,,,,,
1996-12,80.60M,,,,,20.30M,,,,,,,,54.10M,,-315.20M,,-315.20M,,-1.00M,232.20M,-84.00M,,,,13.60M,18.80M,0.00,18.80M,,,,,,0.30M,32.70M,,0.00,2.80M,-0.60M,0.00,,18.80M,,,0.00,,,
1996-09,71.20M,,,,,-10.00M,,,,,,,,61.20M,,-43.80M,,-43.80M,,10.50M,0.60M,-32.70M,,,,-35.20M,22.00M,-5.30M,16.70M,,,,,,-0.20M,-18.70M,,0.00,9.80M,-0.90M,0.00,,22.00M,,,-5.30M,,,
1996-06,16.30M,,,,,-25.90M,,,,,,,,-9.60M,,-33.70M,,-33.70M,,10.50M,-188.20M,-211.40M,,,,206.40M,27.50M,-58.50M,-31.00M,,,,,,-14.00M,161.40M,,0.00,-59.60M,-0.80M,0.00,,27.50M,,,-58.50M,,,
1996-03,-1.00M,,,,,37.30M,,,,,,,,36.30M,,-17.10M,,-17.10M,,3.50M,-59.60M,-73.20M,,,,-0.10M,9.30M,,9.30M,,,,,,14.70M,23.90M,,117.30M,-13.00M,-0.30M,0.00,,9.30M,,,,,,
1995-12,-42.70M,,,,,28.30M,,,,,,,,12.90M,,-127.90M,,-127.90M,,5.90M,31.30M,-90.70M,,,,-0.30M,24.60M,,24.60M,,,,,,-0.90M,23.40M,,0.00,-54.40M,-0.60M,0.00,,24.60M,,,,,,
1995-09,47.00M,,,,,-67.00M,,,,,,,,-20.00M,,-13.40M,,-13.40M,,30.10M,-2.60M,14.10M,,,,-19.00M,3.40M,,3.40M,,,,,,-0.10M,-15.70M,,0.00,-21.60M,-3.80M,0.00,,3.40M,,,,,,
1995-06,45.90M,,,,,-37.70M,,,,,,,,8.20M,,-19.90M,,-19.90M,,-2.50M,-0.90M,-23.30M,,,,-11.40M,15.40M,,15.40M,,,,,,0.80M,4.80M,,0.00,-10.30M,-0.40M,0.00,,15.40M,,,,,,
1995-03,-68.60M,,,,,100.00M,,,,,,,,31.40M,,-10.40M,,-10.40M,,25.30M,-97.40M,-82.50M,,,,-8.20M,5.50M,,5.50M,,,,,,0.10M,-2.60M,,245.00M,-53.70M,-0.10M,0.00,,5.50M,,,,,,
1994-12,23.40M,,,,,,,,,,12.90M,,-12.10M,19.30M,,-12.40M,,-12.40M,,0.10M,-15.40M,-27.70M,,,,-12.60M,,,,,,,,,-0.50M,2.90M,,0.00,-5.50M,-0.10M,90.00M,,,,,,,,
1994-09,19.80M,,,,,,,,,,-3.80M,,-3.80M,16.00M,,-12.20M,,-12.20M,,17.80M,0.00,5.60M,,,,4.90M,,,,,,,,,-0.10M,4.80M,,0.00,26.40M,0.00,0.00,,,,,,,,
1994-06,18.80M,,,,,,,,,,-8.40M,,-8.40M,10.40M,,-7.20M,,-7.20M,,-4.60M,-1.10M,-12.90M,,,,0.20M,,,,,,,,,0.60M,0.80M,,0.00,-1.70M,0.00,0.00,,,,,,,,
1994-03,18.00M,,,,,,,,,,4.30M,,4.30M,22.30M,,-4.20M,,-4.20M,,0.70M,-5.50M,-9.00M,,,,-3.50M,,,,,,,,,,-3.50M,,60.80M,9.80M,0.10M,0.00,,,,,,,,
1993-12,20.30M,,2.20M,2.20M,,,,,,-4.00M,6.30M,,-5.30M,17.00M,,-4.60M,,-4.60M,,13.10M,-7.70M,0.80M,,,,-0.30M,,-1.60M,-1.20M,,,,,,-3.80M,-5.30M,,0.00,12.50M,,0.00,,,,,-1.60M,,,
1993-09,17.40M,,1.40M,1.40M,,,,,,,0.60M,,0.60M,19.40M,,-3.20M,,-3.20M,,0.00,-1.10M,-4.30M,,,,4.70M,,-22.70M,-22.70M,,,,,,-0.10M,-18.10M,,0.00,-3.00M,,0.00,,,,,-22.70M,,,
1993-06,16.70M,,1.40M,1.40M,,,,,,4.50M,-11.00M,,-6.50M,11.60M,,-25.30M,,-25.30M,,-6.80M,-4.00M,-36.10M,,,,4.50M,,-32.40M,-32.40M,,,,,,0.50M,-27.40M,,0.00,-51.90M,,0.00,,,,,-32.40M,,,
1993-03,15.30M,,1.40M,1.40M,,,,,,-4.50M,5.60M,,1.10M,17.80M,,-2.70M,,-2.70M,,-6.70M,,-9.40M,,,,0.30M,,-0.70M,-0.70M,,,,,,0.20M,-0.20M,,95.40M,8.20M,,0.00,,,,,-0.70M,,,
1992-12,15.60M,,1.20M,1.20M,,0.10M,-2.10M,-1.60M,2.30M,0.10M,-5.60M,,-6.90M,10.30M,,-1.90M,,-1.90M,,,-0.40M,-44.10M,,,,-1.20M,0.00,,0.00,,,,0.00,,,-0.20M,,0.00,-34.00M,-0.60M,0.00,,0.00,,,,,,
1992-09,15.20M,,1.20M,1.20M,,0.10M,-1.80M,0.00,-2.00M,-1.80M,4.50M,,-1.10M,15.40M,,-3.20M,,-3.20M,,,0.00,-3.20M,,,,-0.10M,-0.10M,,-0.10M,,,,0.00,,,-0.20M,,0.00,12.00M,0.10M,0.00,,-0.10M,,,,,,
1992-06,13.30M,,1.20M,1.20M,,-0.10M,-2.30M,-2.30M,0.30M,-1.00M,-3.70M,,-9.00M,5.40M,,-3.10M,,-3.10M,,,0.00,-3.10M,,,,-15.30M,122.00M,,122.00M,,,,0.00,,,106.70M,,0.00,109.00M,,0.00,,122.00M,,,,,,
1992-03,12.50M,,1.00M,1.00M,,,-4.80M,-0.90M,-0.80M,-0.20M,4.60M,,-2.10M,11.40M,,-2.20M,,-2.20M,,,2.10M,-0.10M,,,,11.60M,,,,,,,-20.00M,,,-8.40M,,5.90M,2.90M,,0.00,,,,,,,,
