,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-01,235.00M,,,,24.00M,68.00M,68.00M,3.00M,,,-33.00M,65.00M,123.00M,13.00M,-84.00M,,,22.00M,139.00M,,436.00M,-57.00M,5.00M,-52.00M,,,,-52.00M,,,-329.00M,23.00M,0.00,23.00M,,-70.00M,,-376.00M,44.00M,8.00M,-1.00M,51.00M,23.00M,,,0.00
2004-10,230.00M,,,,22.00M,68.00M,68.00M,1.00M,,,,-268.00M,-67.00M,-15.00M,162.00M,,,-69.00M,-257.00M,,64.00M,-47.00M,3.00M,-44.00M,,,,-44.00M,,,56.00M,3.00M,-4.00M,-1.00M,,-65.00M,,-10.00M,32.00M,10.00M,2.00M,44.00M,3.00M,,,-4.00M
2004-07,59.00M,,,,62.00M,65.00M,65.00M,35.00M,,,-168.00M,-10.00M,-107.00M,10.00M,76.00M,,54.00M,92.00M,115.00M,,168.00M,-146.00M,12.00M,-134.00M,0.00,,,-134.00M,,,48.00M,5.00M,-18.00M,-13.00M,,-65.00M,,-30.00M,28.00M,4.00M,0.00,32.00M,5.00M,,,-18.00M
2004-04,142.00M,,,,19.00M,68.00M,68.00M,14.00M,,,75.00M,152.00M,19.00M,-5.00M,-147.00M,,-54.00M,-39.00M,-74.00M,,244.00M,-66.00M,7.00M,-59.00M,0.00,,,-59.00M,,,-126.00M,12.00M,-19.00M,-7.00M,,-65.00M,,-198.00M,41.00M,-13.00M,0.00,28.00M,12.00M,,,-19.00M
2004-01,235.00M,,,,31.00M,64.00M,64.00M,4.00M,,,6.00M,34.00M,100.00M,6.00M,-29.00M,,,-53.00M,58.00M,,398.00M,-53.00M,2.00M,-51.00M,0.00,,,-51.00M,,,-275.00M,4.00M,-15.00M,-11.00M,,-64.00M,,-350.00M,39.00M,-3.00M,5.00M,41.00M,4.00M,,,-15.00M
2003-10,211.00M,,,,17.00M,63.00M,63.00M,-2.00M,,,-81.00M,-237.00M,-79.00M,-9.00M,51.00M,,,,-274.00M,,-66.00M,-23.00M,1.00M,-22.00M,-9.00M,,,-31.00M,,,168.00M,4.00M,-4.00M,0.00,,-65.00M,,103.00M,32.00M,6.00M,1.00M,39.00M,4.00M,,,-4.00M
2003-07,74.00M,,,,52.00M,63.00M,63.00M,73.00M,,,,70.00M,-94.00M,2.00M,28.00M,,,36.00M,-95.00M,,167.00M,-125.00M,16.00M,-109.00M,-1.00M,0.00,,-110.00M,,,23.00M,2.00M,-11.00M,-9.00M,,-65.00M,,-51.00M,27.00M,6.00M,-1.00M,32.00M,2.00M,,,-11.00M
2003-04,129.00M,,,,13.00M,69.00M,69.00M,3.00M,,,,138.00M,55.00M,-1.00M,-66.00M,,,-107.00M,19.00M,,233.00M,-65.00M,7.00M,-58.00M,-8.00M,-4.00M,1.00M,-69.00M,,,-109.00M,10.00M,-10.00M,0.00,,-65.00M,,-174.00M,37.00M,-10.00M,0.00,27.00M,10.00M,,,-10.00M
2003-01,231.00M,,,,16.00M,56.00M,56.00M,-1.00M,,,,62.00M,98.00M,,,,,-59.00M,101.00M,,403.00M,-56.00M,9.00M,-47.00M,0.00,,0.00,-47.00M,,,-300.00M,4.00M,-3.00M,1.00M,,-64.00M,,-363.00M,41.00M,-7.00M,3.00M,37.00M,4.00M,,,-3.00M
2002-10,161.00M,,,,43.00M,55.00M,55.00M,-3.00M,,,,-224.00M,-92.00M,,,,,130.00M,-186.00M,,70.00M,-37.00M,,-37.00M,-168.00M,,-1.00M,-206.00M,,,220.00M,1.00M,,1.00M,,-65.00M,,156.00M,21.00M,20.00M,,41.00M,1.00M,,,
2002-07,55.00M,,,,7.00M,90.00M,90.00M,15.00M,,,,24.00M,-98.00M,,,,,95.00M,21.00M,,188.00M,-157.00M,1.00M,-156.00M,0.00,,-1.00M,-157.00M,,,34.00M,7.00M,,2.00M,,-65.00M,-5.00M,-34.00M,27.00M,-3.00M,-3.00M,21.00M,7.00M,,,
2002-04,96.00M,,,,16.00M,82.00M,82.00M,-8.00M,,,,221.00M,44.00M,,,,,-113.00M,152.00M,,338.00M,-51.00M,3.00M,-48.00M,0.00,,-8.00M,-56.00M,,,-229.00M,3.00M,,3.00M,,-64.00M,0.00,-290.00M,32.00M,-8.00M,3.00M,27.00M,3.00M,,,
2002-01,203.00M,,,,12.00M,74.00M,74.00M,-4.00M,,,,51.00M,80.00M,,,,,-71.00M,60.00M,,345.00M,-37.00M,4.00M,-33.00M,-15.00M,,-2.00M,-50.00M,,,-239.00M,3.00M,,3.00M,,-65.00M,4.00M,-297.00M,35.00M,-2.00M,-1.00M,32.00M,3.00M,,,
2001-10,171.00M,,,,18.00M,73.00M,73.00M,2.00M,,,,-256.00M,-56.00M,,,,,194.00M,-118.00M,,146.00M,-24.00M,,-24.00M,,,-1.00M,-25.00M,,,-9.00M,1.00M,,1.00M,,-92.00M,-5.00M,-105.00M,24.00M,16.00M,-5.00M,35.00M,1.00M,,,
2001-07,52.00M,,,,20.00M,78.00M,78.00M,12.00M,,,,-46.00M,-103.00M,,,8.00M,,151.00M,10.00M,,172.00M,-97.00M,1.00M,-96.00M,,,-2.00M,-1.009B,,,917.00M,10.00M,0.00,10.00M,,-93.00M,,834.00M,21.00M,-3.00M,6.00M,24.00M,10.00M,,,0.00
2001-04,122.00M,,,,5.00M,64.00M,64.00M,-2.00M,,,,147.00M,33.00M,,,-8.00M,,-171.00M,1.00M,,190.00M,-41.00M,1.00M,-40.00M,,,-14.00M,-54.00M,,,-34.00M,5.00M,-29.00M,-24.00M,,-92.00M,,-150.00M,38.00M,-14.00M,-3.00M,21.00M,5.00M,,,-29.00M
2001-01,271.00M,,,,12.00M,62.00M,62.00M,0.00,,,,68.00M,103.00M,,,,,-31.00M,140.00M,,485.00M,-38.00M,5.00M,-33.00M,,,-1.00M,-34.00M,,,208.00M,8.00M,-560.00M,-552.00M,,-94.00M,,-438.00M,25.00M,13.00M,0.00,38.00M,8.00M,,,-560.00M
2000-10,204.00M,,,,11.00M,62.00M,62.00M,-6.00M,,,,-180.00M,-34.00M,,,,,202.00M,-12.00M,,259.00M,-24.00M,1.00M,-23.00M,,,-2.00M,-25.00M,,,-108.00M,1.00M,-29.00M,-28.00M,,-95.00M,,-231.00M,27.00M,3.00M,-5.00M,25.00M,1.00M,,,-29.00M
2000-07,59.00M,,,,-1.00M,62.00M,62.00M,16.00M,,,,29.00M,-12.00M,,,,,78.00M,95.00M,,231.00M,-80.00M,4.00M,-76.00M,,,3.00M,-73.00M,,,-55.00M,8.00M,-20.00M,-12.00M,,-95.00M,,-162.00M,34.00M,-4.00M,-3.00M,27.00M,8.00M,,,-20.00M
2000-04,139.00M,,,,11.00M,66.00M,66.00M,0.00,,,,158.00M,5.00M,,,,,-171.00M,-8.00M,,208.00M,-47.00M,11.00M,-36.00M,,,-18.00M,-54.00M,,,-24.00M,-4.00M,-91.00M,-95.00M,,-95.00M,,-214.00M,92.00M,-60.00M,2.00M,34.00M,-4.00M,,,-91.00M
2000-01,281.00M,,,,9.00M,61.00M,61.00M,2.00M,,,,45.00M,103.00M,,,,,-36.00M,112.00M,,465.00M,-37.00M,2.00M,-35.00M,,,-6.00M,-41.00M,,,-146.00M,4.00M,-128.00M,-124.00M,,-97.00M,,-367.00M,34.00M,57.00M,1.00M,92.00M,4.00M,,,-128.00M
1999-10,235.00M,,,,1.00M,62.00M,62.00M,-1.00M,,,,-142.00M,-73.00M,,,,,179.00M,-36.00M,,261.00M,-36.00M,1.00M,-35.00M,,,-1.00M,-36.00M,,,40.00M,12.00M,-155.00M,-143.00M,,-97.00M,,-200.00M,6.00M,25.00M,3.00M,34.00M,12.00M,,,-155.00M
1999-07,79.00M,,,,22.00M,64.00M,64.00M,84.00M,,,,-20.00M,-33.00M,,,,,13.00M,-40.00M,,209.00M,-99.00M,104.00M,5.00M,0.00,,-5.00M,0.00,,,142.00M,-7.00M,-252.00M,-259.00M,,-98.00M,2.00M,-213.00M,24.00M,-4.00M,-14.00M,6.00M,-7.00M,,,-252.00M
1999-04,162.00M,,,,20.00M,68.00M,68.00M,-3.00M,,,,175.00M,37.00M,,,,,-103.00M,109.00M,,356.00M,-72.00M,0.00,-72.00M,0.00,,-19.00M,-91.00M,,,127.00M,-22.00M,-285.00M,-307.00M,,-100.00M,-2.00M,-282.00M,30.00M,-17.00M,11.00M,24.00M,-22.00M,,,-285.00M
1999-01,219.00M,,,,-17.00M,64.00M,64.00M,0.00,,,,113.00M,35.00M,,,,,-206.00M,-58.00M,,208.00M,-79.00M,0.00,-79.00M,0.00,,-4.00M,-83.00M,,,243.00M,10.00M,-274.00M,-264.00M,,-93.00M,,-114.00M,19.00M,11.00M,0.00,30.00M,10.00M,,,-274.00M
1998-10,264.00M,,,,16.00M,59.00M,59.00M,-3.00M,,,,-160.00M,-97.00M,,,,,102.00M,-155.00M,,181.00M,-47.00M,8.00M,-39.00M,-105.00M,,-4.00M,-148.00M,,,229.00M,54.00M,-215.00M,-161.00M,,-95.00M,,-27.00M,16.00M,6.00M,-3.00M,19.00M,54.00M,,,-215.00M
1998-07,182.00M,,,,-7.00M,60.00M,60.00M,40.00M,,,,-14.00M,-69.00M,,,,,-47.00M,-130.00M,75.00M,220.00M,-105.00M,307.00M,202.00M,-6.00M,,-4.00M,192.00M,,,-247.00M,26.00M,-124.00M,-98.00M,,-95.00M,,-440.00M,46.00M,-28.00M,-2.00M,16.00M,26.00M,,,-124.00M
