,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-03,1.553B,1.553B,1.422B,130.50M,,,,,,,,,,130.50M,,,,8.66M,,139.16M,52.86M,86.30M,-0.164M,,86.14M,8.331M,130.50M,,2003-03,0.355,,0.355,0.355,,2003-03,,,0.35,2003-03,242.67M,248.08M,0.01,,2003-03,,
2002-12,2.522B,2.522B,2.180B,342.24M,,,,,,,,,,279.08M,,,,3.199M,,282.27M,110.05M,172.23M,-0.344M,,171.88M,15.70M,279.08M,,2002-12,0.70,,0.70,0.7125,,2002-12,,,0.685,2002-12,243.13M,247.37M,0.01,,2002-12,,
2002-09,1.860B,1.860B,1.676B,183.80M,,,,,,,,,,183.80M,,,,2.29M,,186.09M,72.58M,113.51M,9.937M,,123.45M,6.472M,183.80M,,2002-09,0.4675,,0.4675,0.5075,,2002-09,,,0.4575,2002-09,243.17M,247.80M,0.01,,2002-09,,
2002-06,1.686B,1.686B,1.541B,144.98M,,,,,,,,,,144.98M,,,,3.244M,,148.22M,57.81M,90.41M,-0.205M,,90.20M,5.764M,144.98M,,2002-06,0.3725,,0.3725,0.3725,,2002-06,,,0.3625,2002-06,242.00M,249.44M,0.01,,2002-06,,
2002-03,1.379B,1.379B,1.270B,108.85M,,,,,,,,,,108.85M,,,,3.685M,,112.53M,43.89M,68.64M,-0.528M,,68.11M,10.99M,108.85M,,2002-03,0.2875,,0.2875,0.285,,2002-03,,,0.28,2002-03,239.45M,245.89M,0.01,,2002-03,,
2001-12,2.009B,2.009B,1.721B,288.02M,,,,,,,,,,228.36M,,,,10.57M,,194.39M,74.85M,119.54M,-0.095M,,119.44M,11.76M,228.36M,,2001-12,0.5625,,0.5625,0.5375,,2001-12,,,0.5475,2001-12,236.24M,241.60M,0.01,,2001-12,,
2001-09,1.482B,1.482B,1.348B,134.28M,,,,,,,,,,134.28M,,,,0.947M,,135.22M,52.07M,83.15M,-0.364M,,82.79M,10.69M,134.28M,,2001-09,0.39,,0.39,0.3875,,2001-09,,,0.3825,2001-09,213.68M,218.07M,0.01,,2001-09,,
2001-06,1.059B,1.059B,966.07M,92.65M,,,,,,,,,,92.65M,,,,5.918M,,98.57M,37.95M,60.62M,-0.825M,,59.79M,4.892M,92.65M,,2001-06,0.36,,0.36,0.355,,2001-06,,,0.35,2001-06,167.95M,173.46M,0.01,,2001-06,,
2001-03,840.48M,840.48M,779.67M,60.80M,,,,,,,,,,60.80M,,,,2.806M,,63.61M,24.49M,39.12M,0.252M,,39.37M,5.045M,60.80M,,2001-03,0.235,,0.235,0.2375,,2001-03,,,0.2275,2001-03,167.18M,172.00M,0.01,,2001-03,,
2000-12,1.435B,1.435B,1.223B,211.33M,,,,,,,,,47.23M,164.11M,,,,5.141M,,139.19M,53.60M,85.60M,-0.003M,,85.59M,4.528M,164.11M,,2000-12,0.52,,0.52,0.5175,,2000-12,,,0.505,2000-12,164.10M,170.36M,0.01,,2000-12,,
2000-09,1.054B,1.054B,955.08M,98.80M,,,,2.317M,,,,,2.171M,96.63M,,,,2.317M,,98.95M,38.09M,60.86M,-29.97M,,30.89M,2.171M,96.63M,,2000-09,0.375,,0.3662,0.19,,2000-09,,,0.3589,2000-09,161.90M,166.11M,0.01,,2000-09,,
2000-06,982.58M,982.58M,902.83M,79.76M,,,,1.639M,,,,,3.905M,75.85M,,,,1.639M,,77.49M,29.83M,47.66M,0.032M,,47.69M,3.905M,75.85M,,2000-06,0.29,,0.2839,0.29,,2000-06,,,0.2814,2000-06,164.21M,166.28M,0.01,,2000-06,,
2000-03,775.82M,775.82M,733.26M,42.56M,,,,0.531M,,,,,3.626M,38.93M,,,,0.531M,,39.46M,15.19M,24.27M,0.067M,,24.34M,3.626M,38.93M,,2000-03,0.1425,,0.1406,0.1425,,2000-03,,,0.1406,2000-03,170.78M,171.48M,0.01,,2000-03,,
1999-12,1.274B,1.274B,1.120B,153.92M,,,,,,,,,45.13M,108.79M,,,,4.016M,,112.80M,43.02M,69.79M,,,69.66M,4.90M,108.79M,,1999-12,0.4025,,0.4025,0.4025,,1999-12,,,0.3975,1999-12,173.21M,174.04M,0.01,,1999-12,,
1999-09,973.10M,973.10M,895.30M,77.80M,,,,0.60M,,,,,2.50M,75.30M,,,,0.60M,,76.00M,28.50M,47.50M,-0.40M,,47.10M,2.50M,75.30M,,1999-09,0.275,,0.2728,0.2725,,1999-09,,,0.2679,1999-09,172.84M,176.07M,0.01,,1999-09,,
1999-06,834.15M,834.15M,773.40M,60.75M,,,,0.30M,,,,,3.00M,57.75M,,,,0.30M,,58.10M,21.00M,37.10M,0.10M,,37.20M,3.00M,57.75M,,1999-06,0.215,,0.2139,0.215,,1999-06,,,0.2114,1999-06,173.02M,175.06M,0.01,,1999-06,,
1999-03,682.47M,682.47M,641.60M,40.87M,,,,1.90M,,,,,3.10M,37.77M,,,,1.90M,,39.60M,15.60M,24.00M,0.40M,,24.40M,3.10M,37.77M,,1999-03,0.1375,,0.1309,0.14,,1999-03,,,0.1285,1999-03,174.29M,177.45M,0.01,,1999-03,,
1998-12,906.90M,906.90M,844.00M,62.90M,,,,0.40M,,,,,0.80M,62.10M,,,,0.40M,,62.50M,24.40M,38.10M,0.30M,,38.40M,0.80M,62.10M,,1998-12,0.22,,0.2186,0.225,,1998-12,,,0.2136,1998-12,171.26M,174.97M,0.01,,1998-12,,
1998-09,759.30M,759.30M,707.20M,52.10M,,,,-3.10M,,,,,2.40M,49.70M,,,,-3.10M,,46.70M,18.20M,28.50M,0.10M,,28.60M,2.40M,49.70M,,1998-09,0.165,,0.1759,0.165,,1998-09,,,0.1706,1998-09,173.33M,178.75M,0.01,,1998-09,,
1998-06,679.70M,679.70M,641.10M,38.60M,,,,0.20M,,,,,0.10M,38.50M,,,,0.20M,,38.60M,15.00M,23.60M,0.20M,,23.80M,0.10M,38.50M,,1998-06,0.1375,,0.1368,0.1375,,1998-06,,,0.1343,1998-06,173.09M,176.30M,0.01,,1998-06,,
