,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2000-06,1.971B,1.971B,323.00M,323.00M,,,,323.00M,,,550.00M,,0.00,84.00M,217.00M,-5.00M,,,2.00M,212.00M,217.00M,27.00M,0.00,,1.00,-0.02,,1.00,0.98,,0.94,-0.02,,0.94,0.92,,212.00M,230.00M,0.27,,AOR,
2000-03,2.146B,2.146B,261.00M,261.00M,,,,261.00M,,,790.00M,,0.00,171.00M,349.00M,9.00M,,,2.00M,358.00M,349.00M,22.00M,0.00,,1.56,0.04,,1.56,1.60,,1.47,0.04,,1.47,1.51,,220.00M,237.00M,0.27,,AOR,
1999-12,1.522B,1.522B,,347.00M,,,,347.00M,,,-1.178B,,951.00M,51.00M,152.00M,-44.00M,,,,138.00M,152.00M,24.00M,951.00M,,0.65,-0.18,,0.65,0.60,,0.63,-0.18,,0.63,0.57,,228.00M,246.00M,0.26,,AOR,Restated
1999-09,1.785B,1.785B,325.00M,325.00M,,,,325.00M,,,538.00M,,0.00,35.00M,137.00M,190.00M,,,2.00M,327.00M,137.00M,29.00M,0.00,,0.59,0.84,,0.59,1.43,,0.56,0.78,,0.56,1.34,,227.00M,245.00M,0.26,,,
1999-06,1.933B,1.933B,236.00M,236.00M,,,,236.00M,,,577.00M,,0.00,68.00M,219.00M,-15.00M,,,2.00M,204.00M,219.00M,28.00M,0.00,,0.96,-0.07,,0.96,0.89,,0.90,-0.07,,0.90,0.84,,226.00M,245.00M,0.26,,,
1999-03,1.909B,1.909B,247.00M,247.00M,,,,247.00M,,,564.00M,,0.00,66.00M,197.00M,-2.00M,-30.00M,,2.00M,165.00M,197.00M,37.00M,0.00,,0.84,-0.01,0.00,0.84,0.70,,0.80,-0.01,-0.1304,0.80,0.67,,230.00M,249.00M,0.26,,,
1998-12,3.039B,3.039B,,462.76M,,,,462.76M,,,-1.317B,,-46.29M,-89.64M,-24.65M,125.00M,,,,100.35M,-24.65M,,-46.29M,,-0.1448,0.5460,,-0.1448,0.4012,,-0.1448,0.5460,,-0.1448,0.4012,,228.92M,228.92M,0.25,,AOR,
1998-09,1.925B,1.925B,286.00M,286.00M,,,,286.00M,,,516.00M,,0.00,-12.00M,103.00M,-35.00M,,,,68.00M,103.00M,,0.00,,0.42,-0.15,,0.42,0.27,,0.42,-0.15,,0.42,0.27,,251.85M,251.85M,0.25,,,
1998-06,2.10B,2.10B,596.00M,596.00M,,,,596.00M,,,632.00M,,0.00,-95.00M,-193.00M,-81.00M,,,,-274.00M,-193.00M,31.00M,0.00,,-0.84,-0.34,,-0.84,-1.18,,-0.84,-0.34,,-0.84,-1.18,,171.11M,185.54M,0.25,,,
1998-03,2.324B,2.324B,321.00M,321.00M,,,,321.00M,,,542.00M,,0.00,55.00M,195.00M,,,,,195.00M,195.00M,33.00M,0.00,,0.82,0.00,,0.82,0.82,,0.77,0.00,,0.77,0.77,,168.05M,168.05M,0.25,,,
1997-12,2.404B,2.404B,348.30M,348.30M,,,,348.30M,,,612.90M,,0.00,105.30M,255.70M,0.00,,,,255.70M,255.70M,,0.00,,1.527,0.00,,1.527,1.527,,1.527,0.00,,1.527,1.527,,167.46M,167.46M,0.235,,AOR,
1997-09,2.324B,2.324B,303.20M,303.20M,,,,303.20M,,,513.90M,,0.00,59.40M,215.20M,,,,,215.20M,215.20M,,0.00,,0.92,0.00,,0.92,0.92,,0.85,0.00,,0.85,0.85,,169.86M,186.84M,0.235,,,
1997-06,2.493B,2.493B,,,,,,,,,636.80M,,0.00,102.00M,288.90M,,,,,288.90M,288.90M,,0.00,,1.25,0.00,,1.25,1.25,,1.15,0.00,,1.15,1.15,,170.55M,194.53M,0.235,,,
1997-03,1.557B,1.557B,,,,,,,,,385.70M,,0.00,52.90M,192.30M,-67.80M,,,,124.50M,192.30M,,0.00,,1.14,-0.41,,1.14,0.73,,1.05,-0.41,,1.05,0.64,,170.55M,194.53M,0.235,,,
1996-12,4.806B,4.806B,,,,,,,,,882.20M,,0.00,342.40M,452.70M,,,,,344.90M,452.70M,,0.00,,1.11,-0.25,,1.11,0.86,,1.02,-0.25,,1.02,0.78,,180.37M,188.25M,0.22,,AOR,
1996-09,1.566B,1.566B,,,,,,,,,396.70M,,0.00,-265.50M,128.90M,,,,,128.90M,128.90M,,0.00,,0.71,-0.09,,0.71,0.62,,0.71,-0.09,,0.71,0.62,,207.90M,207.90M,0.22,,,
1996-06,1.364B,1.364B,,,,,,,,,309.10M,,0.00,37.70M,135.30M,-5.20M,,,,130.10M,135.30M,,0.00,,0.79,-0.03,,0.79,0.76,,0.79,-0.03,,0.79,0.76,,171.18M,171.18M,0.22,,,
1996-03,1.409B,1.409B,,,,,,,,,378.10M,,0.00,35.30M,128.80M,,,,,128.80M,128.80M,7.90M,0.00,,0.85,-0.09,,0.85,0.76,,0.79,-0.09,,0.79,0.72,,169.47M,178.89M,0.22,,,
1995-12,1.447B,1.447B,,,,,,,,,-449.78M,,656.23M,31.52M,155.21M,,,,2.20M,155.21M,155.21M,7.00M,656.23M,,0.885,0.00,,0.885,0.885,,0.84,0.00,,0.84,0.84,,173.34M,182.58M,0.20,,AOR,
1995-09,1.365B,1.365B,,,,,,,,,371.60M,,0.00,35.70M,142.40M,,,,2.20M,142.40M,142.40M,8.20M,0.00,,0.82,0.00,,0.82,0.82,,0.77,0.00,,0.77,0.77,,170.98M,182.08M,0.20,,,
1995-06,1.331B,1.331B,,,,,,,,,338.90M,,0.00,30.30M,113.00M,,,,,113.00M,113.00M,6.20M,0.00,,0.62,0.00,,0.62,0.62,,0.62,0.00,,0.62,0.62,,182.26M,182.26M,0.20,,,
1995-03,1.268B,1.268B,,,,,,,,,321.40M,,0.00,37.60M,110.60M,,,,2.10M,110.60M,110.60M,6.00M,0.00,,0.64,0.00,,0.64,0.64,,0.62,0.00,,0.62,0.62,,169.53M,175.00M,0.20,,,
1994-12,1.173B,1.173B,,,,,,,,,-421.16M,,563.58M,36.35M,120.83M,,,,2.10M,120.83M,120.83M,8.50M,563.58M,,0.70,0.00,,0.70,0.70,,0.665,0.00,,0.665,0.665,,169.60M,178.79M,0.1875,,AOR,
1994-09,1.199B,1.199B,,,,,,,,,336.30M,,0.00,35.40M,129.80M,,,,2.10M,129.80M,129.80M,6.00M,0.00,,0.76,0.00,,0.76,0.76,,0.73,0.00,,0.73,0.73,,168.03M,174.93M,0.1875,,,
1994-06,1.165B,1.165B,,,,,,,,,319.10M,,0.00,31.40M,127.80M,,,,2.10M,127.80M,127.80M,4.90M,0.00,,0.75,0.00,,0.75,0.75,,0.72,0.00,,0.72,0.72,,167.60M,174.58M,0.1875,,,
1994-03,1.164B,1.164B,,,,,,,,,318.40M,,0.00,17.60M,64.40M,,,,2.10M,64.40M,64.40M,4.50M,0.00,,0.36,0.00,,0.36,0.36,,0.36,0.00,,0.36,0.36,,173.06M,173.06M,0.1875,,,
1993-12,1.172B,1.172B,,,,,,,,,322.00M,,0.00,25.30M,89.70M,,,,2.20M,89.70M,89.70M,5.10M,0.00,,0.51,0.00,,0.51,0.51,,0.51,0.00,,0.51,0.51,,171.32M,172.28M,0.175,,,
1993-09,1.105B,1.105B,,,,,,,,,324.30M,,0.00,17.00M,141.40M,,,,2.00M,141.40M,141.40M,5.50M,0.00,,0.82,0.00,,0.82,0.82,,0.79,0.00,,0.79,0.79,,170.00M,176.46M,0.175,,,
1993-06,1.069B,1.069B,,,,,,,,,322.40M,,0.00,30.90M,108.50M,,,,2.10M,108.50M,108.50M,3.70M,0.00,,0.63,0.00,,0.63,0.63,,0.61,0.00,,0.61,0.61,,168.89M,174.43M,0.175,,,
1993-03,1.114B,1.114B,,,,,,,,,313.10M,,0.00,21.80M,88.00M,,,,2.10M,88.00M,88.00M,5.90M,0.00,,0.51,0.00,,0.51,0.51,,0.49,0.00,,0.49,0.49,,168.43M,175.31M,0.175,,,
1992-12,1.101B,1.101B,,,,,,,,,321.80M,,0.00,-35.50M,-417.50M,,0.00,,2.00M,-417.50M,-417.50M,10.50M,0.00,,-2.49,0.01,0.00,-2.49,-2.48,,-2.49,0.01,-0.0010,-2.49,-2.48,,170.51M,170.51M,0.17,,,
1992-09,1.125B,1.125B,,,,,,,,,337.90M,,0.00,-44.80M,-63.90M,,,,2.10M,-63.90M,-63.90M,8.40M,0.00,,-0.38,0.00,,-0.38,-0.38,,-0.38,0.00,,-0.38,-0.38,,173.68M,173.68M,0.17,,,
1992-06,1.173B,1.173B,,,,,,,,,393.60M,,0.00,58.30M,143.10M,,,,2.10M,143.10M,143.10M,7.00M,0.00,,0.83,0.00,,0.83,0.83,,0.83,0.00,,0.83,0.83,,169.88M,169.88M,0.17,,,
1992-03,1.099B,1.099B,,,,,,,,,302.20M,,0.00,29.50M,105.70M,,76.50M,,2.10M,182.20M,105.70M,7.80M,0.00,,0.61,0.45,0.00,0.61,1.06,,0.59,0.43,0.4333,0.59,1.02,,169.91M,176.57M,0.17,,,
1991-12,1.141B,1.141B,,,,,,,,,316.30M,,0.00,43.00M,109.50M,,,,2.00M,109.50M,109.50M,-7.10M,0.00,,0.75,0.00,,0.75,0.75,,0.67,0.00,,0.67,0.67,,132.39M,156.42M,0.1625,,,
1991-09,1.126B,1.126B,,,,,,,,,322.20M,,0.00,32.20M,107.70M,,,,2.00M,107.70M,107.70M,12.90M,0.00,,0.55,0.00,,0.55,0.55,,0.55,0.00,,0.55,0.55,,192.18M,192.18M,0.1625,,,
1991-06,1.064B,1.064B,,,,,,,,,289.80M,,0.00,26.70M,103.70M,,,,2.00M,103.70M,103.70M,13.10M,0.00,,0.60,0.00,,0.60,0.60,,0.58,0.00,,0.58,0.58,,169.50M,175.34M,0.1625,,,
1991-03,1.021B,1.021B,,,,,,,,,277.20M,,0.00,21.20M,84.20M,,,,2.00M,84.20M,84.20M,14.20M,0.00,,0.47,0.00,,0.47,0.47,,0.47,0.00,,0.47,0.47,,174.89M,174.89M,0.1625,,,
1990-12,1.074B,1.074B,,,,,,,,,307.40M,,0.00,20.30M,93.40M,,,,2.00M,93.40M,93.40M,27.60M,0.00,,0.53,0.00,,0.53,0.53,,0.50,0.00,,0.50,0.50,,172.57M,182.89M,0.15,,,
1990-09,1.005B,1.005B,,,,,,,,,283.50M,,0.00,32.10M,107.20M,,,,2.00M,107.20M,107.20M,14.90M,0.00,,0.62,0.00,,0.62,0.62,,0.60,0.00,,0.60,0.60,,169.68M,175.33M,0.15,,,
1990-06,979.30M,979.30M,,,,,,,,,278.00M,,0.00,39.20M,113.80M,,,,2.00M,113.80M,113.80M,,0.00,,0.61,0.00,,0.61,0.61,,0.59,0.00,,0.59,0.59,,183.28M,189.49M,0.15,,,
1990-03,947.00M,947.00M,,,,,,,,,242.40M,,0.00,21.00M,76.90M,,,,1.50M,76.90M,76.90M,,0.00,,0.39,0.00,,0.39,0.39,,0.39,0.00,,0.39,0.39,,193.33M,193.33M,0.15,,,
1989-12,971.20M,971.20M,,,,,,,,,,,,,126.60M,,,,,126.60M,126.60M,,,,0.65,0.00,,0.65,0.65,,0.65,0.00,,0.65,0.65,,194.60M,194.60M,0.1375,,,
1989-09,944.90M,944.90M,,,,,,,,,,,,,78.80M,,,,,78.80M,78.80M,,,,0.40,0.00,,0.40,0.40,,0.40,0.00,,0.40,0.40,,197.00M,197.00M,0.1375,,,
1989-06,924.30M,924.30M,,,,,,,,,,,,,102.60M,,,,,102.60M,102.60M,,,,0.53,0.00,,0.53,0.53,,0.53,0.00,,0.53,0.53,,193.58M,193.58M,0.1375,,,
1989-03,948.20M,948.20M,,,,,,,,,,,,,90.20M,,,,,90.20M,90.20M,,,,0.47,0.00,,0.47,0.47,,0.47,0.00,,0.47,0.47,,191.91M,191.91M,0.1375,,,
1988-12,987.10M,987.10M,,,,,,,,,,,,,91.00M,,,,,91.00M,91.00M,,,,0.47,0.00,,0.47,0.47,,0.47,0.00,,0.47,0.47,,193.65M,193.65M,0.125,,,
1988-09,898.80M,898.80M,,,,,,,,,,,,,102.50M,,,,,102.50M,102.50M,,,,0.53,0.00,,0.53,0.53,,0.53,0.00,,0.53,0.53,,193.40M,193.40M,0.125,,,
1988-06,900.50M,900.50M,,,,,,,,,,,,,75.90M,,,,,75.90M,75.90M,,,,0.40,0.00,,0.40,0.40,,0.40,0.00,,0.40,0.40,,189.75M,189.75M,0.125,,,
1988-03,847.70M,847.70M,,,,,,,,,,,,,83.30M,,,,,83.30M,83.30M,,,,0.44,0.00,,0.44,0.44,,0.44,0.00,,0.44,0.44,,189.32M,189.32M,0.125,,,
1987-12,844.80M,844.80M,,,,,,,,,,,,,63.00M,,,,,63.00M,63.00M,,,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,191.18M,191.18M,0.11,,,
1987-09,859.70M,859.70M,,,,,,,,,,,,,95.00M,,,,,95.00M,95.00M,,,,0.50,0.00,,0.50,0.50,,0.50,0.00,,0.50,0.50,,190.00M,190.00M,0.11,,,
1987-06,822.80M,822.80M,,,,,,,,,,,,,77.90M,,,,,77.90M,77.90M,,,,0.41,0.00,,0.41,0.41,,0.41,0.00,,0.41,0.41,,190.00M,190.00M,0.11,,,
1987-03,838.50M,838.50M,,,,,,,,,,,,,70.00M,,,,,70.00M,70.00M,,,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,189.19M,189.19M,0.11,,,
1986-12,843.00M,843.00M,,,,,,,,,,,,,55.50M,,,,,55.50M,55.50M,,,,0.30,0.00,,0.30,0.30,,0.30,0.00,,0.30,0.30,,186.19M,186.19M,0.0938,,,
1986-09,804.60M,804.60M,,,,,,,,,,,,,48.20M,,,,,48.20M,48.20M,,,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,185.38M,185.38M,0.0938,,,
1986-06,755.70M,755.70M,,,,,,,,,,,,,25.80M,,,,,25.80M,25.80M,,,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,184.29M,184.29M,0.0938,,,
1986-03,778.40M,778.40M,,,,,,,,,,,,,24.40M,,,,,24.40M,24.40M,,,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,162.67M,162.67M,0.0938,,,
1985-12,749.40M,749.40M,,,,,,,,,,,,,40.40M,,,,,43.70M,40.40M,,,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,162.59M,162.59M,0.0938,,,
1985-09,663.10M,663.10M,,,,,,,,,,,,,-20.60M,,,,,-20.60M,-20.60M,,-20.60M,,-0.13,0.00,,-0.13,-0.13,,-0.13,0.00,,-0.13,-0.13,,158.46M,158.46M,,,,
1985-06,650.80M,650.80M,,,,,,,,,,,,,19.60M,,,,,19.60M,19.60M,,,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,150.77M,150.77M,,,,
1985-03,608.30M,608.30M,,,,,,,,,,,,,2.70M,,,,,2.70M,2.70M,,,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,135.00M,135.00M,,,,
1984-12,627.70M,627.70M,,,,,,,,,,,,,-103.60M,0.00,,,,-103.60M,-103.60M,,-103.60M,,-0.64,0.00,,-0.64,-0.64,,-0.64,0.00,,-0.64,-0.64,,166.59M,166.59M,,,,
1984-09,601.80M,601.80M,,,,,,,,,,,,,-55.30M,-23.60M,,,,-78.90M,-55.30M,,-78.90M,,-0.35,-0.15,,-0.35,-0.50,,-0.35,-0.15,,-0.35,-0.50,,157.80M,157.80M,,,,
1984-06,567.60M,567.60M,,,,,,,,,,,,,-44.60M,3.60M,,,,-41.00M,-44.60M,,-41.00M,,-0.28,0.03,,-0.28,-0.25,,-0.28,0.03,,-0.28,-0.25,,164.00M,164.00M,,,,
1984-03,562.00M,562.00M,,,,,,,,,,,,,6.70M,1.90M,,,,8.60M,6.70M,,,,0.05,0.02,,0.05,0.07,,0.05,0.02,,0.05,0.07,,122.86M,122.86M,,,,
