,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-06,13.03M,,,0.943M,8.992M,1.286M,10.28M,10.28M,,,,,,,-13.82M,-14.63M,,18.49M,-2.079M,6.193M,,-5.85M,18.40M,-18.65M,,-18.65M,,,2.60M,,-16.05M,,,4.946M,0.419M,,0.419M,,,,-0.701M,4.664M,104.27M,7.014M,111.29M,0.419M,,,,,
2004-03,-9.421M,,,14.62M,8.419M,1.322M,9.741M,9.741M,,,,,,,8.134M,-10.49M,,5.639M,5.391M,-4.629M,,4.045M,18.98M,-10.86M,,-10.86M,,,-87.51M,0.01M,-98.36M,,,6.049M,1.353M,,1.353M,,,,,7.402M,176.25M,-71.98M,104.27M,1.353M,,,,,
2003-12,4.172M,,,0.781M,8.625M,1.322M,9.947M,9.947M,,,,,,,-6.575M,-3.676M,,14.02M,-0.199M,7.651M,,11.22M,26.12M,-13.85M,,-13.85M,,,3.998M,-0.01M,-9.862M,,,-2.676M,1.158M,,1.158M,,,,,-1.518M,161.51M,14.74M,176.25M,1.158M,,,,,
2003-09,-42.93M,,,34.35M,9.333M,1.82M,11.15M,11.15M,-0.289M,,,,,,-9.482M,4.381M,,-26.10M,1.691M,-1.597M,,-31.11M,-28.82M,-7.39M,-1.931M,-9.321M,,,,,-13.31M,,,41.62M,103.03M,,103.03M,,,,-6.235M,138.41M,65.22M,96.28M,161.51M,103.03M,,,,,
2003-06,-403.32M,,,398.81M,9.247M,1.635M,10.88M,10.88M,-0.002M,,,,,,-13.81M,-5.728M,,7.141M,4.676M,-13.42M,,-21.14M,-14.78M,-6.326M,1.931M,-4.395M,,,,,-4.395M,,,9.415M,0.206M,,0.206M,,,,-9.551M,0.07M,84.33M,-19.10M,65.22M,0.206M,,,,,
2003-03,-5.955M,,,1.166M,9.253M,1.656M,10.91M,10.91M,0.341M,,,,,,-12.22M,-8.558M,,23.60M,-7.276M,0.59M,,-3.859M,2.602M,-12.65M,,-12.65M,,,,,-12.65M,,,-9.485M,0.184M,,0.184M,,,,9.409M,0.108M,94.26M,-9.936M,84.33M,0.184M,,,,,
2002-12,0.791M,,,1.523M,9.108M,1.398M,10.51M,10.51M,0.301M,,,,,,-15.48M,7.38M,,0.377M,7.278M,-43.73M,,-44.17M,-31.05M,-13.93M,,-13.93M,,,,,-13.93M,,,94.97M,0.333M,,0.333M,,,,-9.409M,85.89M,53.36M,40.90M,94.26M,0.333M,,,,,
2002-03,-8.499M,,,6.195M,,,5.472M,5.472M,-13.99M,,,,,,2.627M,-1.995M,7.482M,2.16M,,-0.067M,,10.21M,-0.613M,-8.215M,0.028M,-8.187M,,,31.90M,,16.67M,,,-0.033M,0.498M,,0.498M,,,,,0.465M,45.89M,16.52M,62.41M,0.498M,,,,,
2001-12,-3.28M,,,-4.865M,,,5.267M,5.267M,0.00,,,,,,-2.391M,0.761M,2.559M,-3.397M,,0.678M,,-1.79M,-4.668M,-11.76M,0.062M,-11.70M,,,8.734M,,-2.968M,,,0.00,0.352M,,0.352M,,,,,0.352M,53.17M,-7.284M,45.89M,0.352M,,,,,
2001-09,27.79M,,,0.646M,-11.86M,-3.937M,-5.535M,-5.535M,-0.001M,,,,,,15.07M,10.32M,-9.454M,-3.706M,-0.106M,-9.877M,,2.255M,25.16M,-19.44M,0.081M,-19.36M,,,-7.374M,,-26.74M,,,-0.096M,3.939M,,3.939M,,,,-20.64M,-16.80M,4.747M,-18.38M,53.17M,3.939M,,,,,
2001-06,-34.30M,,,0.06M,11.86M,3.937M,15.80M,15.80M,,,,,,,-2.811M,-5.647M,,-1.532M,0.106M,12.00M,,2.117M,-16.32M,-1.571M,,-1.571M,,,,,-1.571M,,,,,,,,,,20.64M,20.64M,1.998M,2.749M,4.747M,,,,,,
2001-03,3.385M,,,-0.507M,,,4.518M,4.518M,,,,,,,15.58M,0.831M,5.384M,2.526M,,-3.127M,,21.19M,26.69M,-16.61M,0.092M,-16.52M,,,29.64M,,13.13M,,,-0.032M,0.607M,,0.607M,,,,,0.575M,30.00M,40.40M,68.80M,0.607M,,,,,
2000-12,11.58M,,,0.475M,,,4.333M,4.333M,,,,,,,-2.386M,-0.456M,-2.974M,-1.848M,,7.943M,,0.279M,16.67M,-10.52M,0.028M,-10.49M,,,-2.84M,,-13.33M,,,-0.001M,3.687M,,3.687M,,,,,3.686M,22.98M,7.023M,30.00M,3.687M,,,,,
2000-09,10.57M,,,0.863M,,,3.589M,3.589M,,,,,,,-5.738M,-1.827M,1.86M,1.425M,,3.441M,,-0.839M,14.18M,-17.94M,,-17.94M,,,-1.705M,,-19.65M,,,0.00,0.70M,,0.70M,,,,,0.70M,27.75M,-4.766M,22.98M,0.70M,,,,,
2000-06,7.841M,,,-0.256M,,,3.57M,3.57M,,,,,,,-10.60M,-2.293M,-4.40M,-1.82M,,8.006M,,-11.10M,0.053M,-9.681M,,-9.681M,,,14.91M,,5.227M,,,-2.959M,2.207M,,2.207M,,,,,-0.752M,23.22M,4.528M,27.75M,2.207M,,,,,
2000-03,4.899M,,,0.515M,2.981M,0.01M,2.991M,2.991M,-1.88M,,,,,,-5.752M,-2.207M,-1.10M,6.149M,,7.412M,,4.502M,11.03M,-12.70M,0.00,-12.70M,,,-10.01M,,-22.71M,,,-0.061M,1.447M,,1.447M,,,,,1.386M,31.92M,-10.30M,21.62M,1.447M,,,,,
1999-12,5.451M,,,0.29M,2.623M,0.00,2.623M,2.623M,-0.438M,,,,,,0.138M,-0.514M,-0.072M,3.297M,,4.286M,,7.135M,15.06M,-11.48M,0.00,-11.48M,,,-0.053M,,-11.54M,,,1.377M,4.996M,,4.996M,,,,,6.373M,22.02M,9.899M,31.92M,4.996M,,,,,
1999-09,4.313M,,,0.313M,2.597M,0.001M,2.598M,2.598M,0.816M,,,,,,-3.454M,0.804M,-0.531M,1.13M,,-0.468M,,-2.519M,5.521M,-8.703M,0.00,-8.703M,,,-53.05M,,-61.76M,,,1.198M,3.427M,,3.427M,,,,,4.625M,73.53M,-51.61M,22.02M,3.427M,,,,,
1999-06,3.319M,,,0.514M,2.48M,0.003M,2.483M,2.483M,2.16M,,,,,,-1.723M,-1.20M,-1.15M,-1.255M,,-1.328M,,-6.656M,1.82M,-6.776M,0.06M,-6.716M,,,-45.60M,,-52.32M,,,-0.755M,109.72M,,109.72M,,,,,108.96M,15.06M,58.46M,73.53M,109.72M,,,,,
1999-03,8.528M,,,-0.098M,2.045M,0.032M,2.077M,2.077M,,,,,,,-3.654M,0.11M,1.382M,3.472M,,-2.474M,,-1.164M,6.716M,-6.613M,,-6.579M,,,2.591M,,-3.988M,,,-0.465M,1.333M,,1.333M,,,,,0.868M,10.43M,3.596M,14.03M,1.333M,,,,,
1998-12,4.772M,,,-0.292M,2.00M,0.013M,2.013M,2.013M,,,,,,,0.856M,0.711M,-1.295M,1.085M,0.716M,1.925M,,3.998M,10.49M,-5.986M,,-5.986M,,,-1.083M,,-7.069M,,,-0.452M,0.315M,,0.315M,,,,,-0.137M,7.148M,3.285M,10.43M,0.315M,,,,,
1998-09,4.216M,,,0.19M,1.93M,0.037M,1.967M,1.967M,,,,,,,-3.104M,0.194M,,-0.883M,-0.596M,0.028M,,-4.361M,2.012M,-2.014M,,-2.014M,,,-5.518M,,-7.532M,,,-0.48M,0.225M,,0.225M,,,,,-0.255M,12.92M,-5.775M,7.148M,0.225M,,,,,
1998-06,3.974M,,,0.143M,1.876M,0.008M,1.884M,1.884M,,,,,,,1.43M,-1.847M,,1.301M,-0.12M,-0.458M,,0.306M,6.307M,-3.117M,,-3.117M,,,-4.228M,,-7.345M,,,-0.471M,0.076M,,0.076M,,,,,-0.395M,14.36M,-1.433M,12.92M,0.076M,,,,,
1998-03,3.692M,,,1.206M,-5.057M,-0.03M,1.686M,1.686M,,,,,,,-0.793M,1.053M,,0.70M,-0.096M,-0.289M,,0.549M,7.157M,-3.51M,,-3.401M,,,-1.493M,,-4.894M,,,-0.53M,0.996M,,0.728M,,,,,0.198M,11.90M,2.461M,14.36M,0.996M,,,,,
1997-12,3.156M,,,0.843M,1.748M,0.01M,1.758M,1.758M,,,,,,,1.229M,0.155M,,-1.067M,0.92M,-0.196M,,1.041M,6.798M,-2.946M,,-2.946M,,,1.234M,,-1.712M,,,-0.48M,0.16M,,0.16M,,,,,-0.32M,7.129M,4.766M,11.90M,0.16M,,,,,
