,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-09,2.554B,2.554B,1.981B,573.00M,,,324.00M,-73.00M,,,,,,324.00M,249.00M,,,,-73.00M,,96.00M,19.00M,71.00M,,,,71.00M,129.55M,342.00M,93.00M,249.00M,0.255,0.0,,,0.4674,0.255,0.255,0.0,,,0.4654,0.255,275.70M,278.29M,0.1625
2002-06,2.824B,2.824B,2.175B,649.00M,,,375.00M,-26.00M,,,,,99.00M,474.00M,175.00M,,,,-26.00M,,175.00M,63.00M,105.00M,,,-7.00M,105.00M,121.64M,258.00M,83.00M,175.00M,0.375,0.0,,,0.4346,0.375,0.37,0.0,,,0.4288,0.37,278.97M,283.20M,0.1625
2002-03,2.418B,2.418B,1.879B,539.00M,,,360.00M,-10.00M,,,,,,360.00M,179.00M,,,,-10.00M,,86.00M,29.00M,57.00M,,,-6.00M,57.00M,63.63M,270.00M,91.00M,179.00M,0.205,0.0,,,0.2286,0.205,0.2,0.0,,,0.2233,0.2,280.81M,283.92M,0.1625
2001-12,3.183B,3.183B,2.538B,645.00M,,,408.00M,18.00M,,,,,,148.00M,497.00M,,,,18.00M,,441.00M,158.00M,257.00M,,,,257.00M,245.45M,183.00M,123.00M,60.00M,0.91,0.0,,,0.8691,0.91,0.905,0.0,,,0.8662,0.905,282.49M,297.59M,0.1625
2001-09,2.81B,2.81B,2.385B,425.00M,,,355.00M,-355.00M,,,,,,355.00M,70.00M,,,,-355.00M,,-399.00M,-69.00M,-330.00M,,,-6.00M,-330.00M,-36.39M,199.00M,129.00M,70.00M,-1.17,0.0,,,-0.1303,-1.17,-1.17,0.0,,,-0.1303,-1.17,282.39M,282.39M,0.1625
2001-06,3.288B,3.288B,2.524B,764.00M,,,414.00M,-35.00M,,,,,145.00M,559.00M,205.00M,,,,-35.00M,,205.00M,72.00M,126.00M,,,-7.00M,126.00M,148.71M,340.00M,135.00M,205.00M,0.445,0.0,,,0.5255,0.445,0.44,0.0,,,0.5192,0.44,282.11M,286.82M,0.1625
2001-03,3.04B,3.04B,2.215B,825.00M,,,378.00M,-42.00M,,,,,,476.00M,349.00M,,,,-42.00M,,179.00M,66.00M,113.00M,,,-6.00M,113.00M,139.51M,476.00M,127.00M,349.00M,0.4,0.0,,,0.4942,0.4,0.395,0.0,,,0.4879,0.395,281.47M,285.50M,0.1625
2000-12,3.312B,3.312B,2.509B,803.00M,,,380.00M,-457.00M,,,,,,417.00M,386.00M,,,,-457.00M,,-174.00M,18.00M,-218.00M,,0.00,,-218.00M,56.20M,27.00M,124.00M,-97.00M,-0.75,0.205,0.0,,0.2156,-0.75,-0.75,0.0,-0.0009,,0.203,-0.75,283.98M,287.73M,0.1625
2000-09,3.208B,3.208B,2.45B,758.00M,,,358.00M,-11.00M,,,,,,358.00M,400.00M,,,,-11.00M,,251.00M,93.00M,158.00M,,,-6.00M,158.00M,164.92M,523.00M,123.00M,400.00M,0.55,0.0,,,0.5742,0.55,0.54,0.0,,,0.5638,0.54,286.37M,290.65M,0.1625
2000-06,3.222B,3.222B,2.333B,889.00M,,,349.00M,,,,,,,475.00M,414.00M,,,,,,284.00M,105.00M,179.00M,,,-7.00M,179.00M,179.00M,540.00M,126.00M,414.00M,0.625,0.0,,,0.625,0.625,0.615,0.0,,,0.615,0.615,287.96M,292.61M,0.1625
2000-03,3.293B,3.293B,2.481B,812.00M,,,346.00M,-6.00M,,,,,,440.00M,372.00M,,,,-6.00M,,251.00M,93.00M,158.00M,,-59.00M,-6.00M,99.00M,161.78M,493.00M,121.00M,372.00M,0.53,-0.2,0.0,,0.5429,0.33,0.53,-0.2,-0.2017,,0.5427,0.33,292.56M,297.64M,0.1625
1999-12,3.509B,3.509B,2.555B,954.00M,,,455.00M,0.00,,,,,,577.00M,377.00M,,,,0.00,,273.00M,103.00M,170.00M,31.00M,,-7.00M,201.00M,170.00M,499.00M,122.00M,377.00M,0.41,0.2586,,-0.004,0.41,-4.79,0.41,0.2586,,-0.004,0.41,-4.79,301.14M,308.72M,0.1625
1999-09,2.709B,2.709B,1.998B,711.00M,,,310.00M,3.00M,,,,,,420.00M,291.00M,,,,3.00M,,236.00M,90.00M,146.00M,,,-6.00M,146.00M,144.14M,402.00M,111.00M,291.00M,0.485,0.0,,,0.4788,0.485,0.475,0.0,,,0.469,0.475,300.14M,306.81M,0.1625
1999-06,2.887B,2.887B,2.113B,774.00M,,,352.00M,-2.00M,,,,,,460.00M,314.00M,,,,-2.00M,,259.00M,97.00M,162.00M,,,-7.00M,162.00M,163.25M,422.00M,108.00M,314.00M,0.54,0.0,,,0.5442,0.54,0.525,0.0,,,0.5291,0.525,301.02M,308.19M,0.1625
1999-03,2.749B,2.749B,2.137B,612.00M,,,233.00M,16.00M,,,,,,332.00M,280.00M,,,,16.00M,,236.00M,91.00M,145.00M,,,-6.00M,1.717B,135.17M,379.00M,99.00M,280.00M,0.475,5.155,,5.155,0.4428,5.63,0.465,5.035,,5.0360000000000005,0.4335,5.5,304.97M,312.18M,0.1625
1998-12,2.786B,2.786B,2.047B,739.00M,,,360.00M,0.00,,,,,,460.00M,279.00M,,,,0.00,,193.00M,73.00M,120.00M,40.00M,,-7.00M,160.00M,120.00M,379.00M,100.00M,279.00M,0.375,0.1531,,,0.375,-0.005,0.375,0.1531,,,0.375,-0.005,325.82M,334.33M,0.1425
1998-09,2.352B,2.352B,1.74B,612.00M,,,258.00M,,,,,,,351.00M,261.00M,,,,,,178.00M,70.00M,108.00M,34.00M,,-6.00M,142.00M,108.00M,354.00M,93.00M,261.00M,0.335,0.1,,,0.335,0.435,0.325,0.1,,,0.325,0.425,326.44M,334.12M,0.1425
1998-06,2.484B,2.484B,1.831B,653.00M,,,262.00M,10.00M,,,,,,379.00M,274.00M,,,,10.00M,,202.00M,86.00M,116.00M,48.00M,,-7.00M,164.00M,110.00M,391.00M,86.00M,274.00M,0.355,0.145,,,0.3367,0.5,0.35,0.14,,,0.3321,0.49,328.00M,334.69M,0.1425
