,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2004-12,,1.345B,,1.345B,1.722B,1.722B,3.096B,,,,,,,,367.20M,,,3.070B,38.64B,626.86M,-246.14M,37.77B,8.635B,49.84B,52.94B,,727.41M,727.41M,,727.41M,779.09M,779.09M,779.09M,5.431B,6.349B,,6.349B,35.43B,41.78B,47.21B,,60.20M,3.271B,2.898B,487.95M,,-11.43M,5.730B,,,
2004-09,,1.763B,,1.763B,1.741B,1.741B,3.510B,,,,,,,,371.08M,,,3.086B,38.20B,626.34M,-249.50M,37.32B,8.596B,49.38B,52.89B,,834.86M,834.86M,,834.86M,611.10M,611.10M,611.10M,6.485B,5.716B,,5.716B,34.98B,40.69B,47.18B,,60.20M,3.125B,2.904B,384.47M,,5.838M,5.710B,,,
2004-06,,1.712B,,1.712B,1.688B,1.688B,3.408B,,,,,,,,378.44M,,,3.105B,37.77B,624.52M,-249.60M,36.90B,8.306B,48.69B,52.09B,,794.72M,794.72M,,794.72M,610.72M,610.72M,610.72M,5.657B,5.827B,,5.827B,34.95B,40.78B,46.44B,,60.20M,2.985B,2.905B,284.24M,,-9.532M,5.657B,,,
2004-03,,1.841B,,1.841B,1.621B,1.621B,3.553B,,,,,,,,387.82M,,,3.124B,36.76B,615.64M,-248.01M,35.90B,7.869B,47.28B,50.83B,,1.054B,1.054B,,1.054B,600.74M,600.74M,600.74M,6.010B,5.748B,,5.748B,33.34B,39.09B,45.10B,,60.20M,2.848B,2.898B,136.57M,,64.00M,5.734B,,,
2003-12,,1.891B,,1.891B,1.737B,1.737B,3.650B,,,,,,,,398.97M,,,3.145B,36.04B,614.06M,-265.16M,35.16B,7.474B,46.18B,49.83B,,1.016B,1.016B,,1.016B,610.06M,610.06M,610.06M,5.459B,5.535B,,5.535B,33.11B,38.65B,44.11B,,60.05M,2.736B,2.889B,,,31.98M,5.717B,,,
2003-09,,2.257B,,2.257B,1.640B,1.640B,3.936B,,,,,,,,407.93M,,,3.166B,37.44B,621.42M,-279.24M,36.54B,6.211B,46.32B,50.26B,,1.170B,1.170B,,1.170B,601.27M,601.27M,601.27M,6.073B,6.199B,,6.199B,32.41B,38.61B,44.69B,,66.17M,2.605B,2.860B,,,40.65M,5.572B,,,
2003-06,,2.576B,,2.576B,1.599B,1.599B,4.188B,,,,,,,,413.59M,,,3.188B,37.29B,603.50M,-291.97M,36.40B,6.212B,46.21B,50.40B,,,,,,1.069B,1.069B,1.069B,4.631B,6.759B,,6.759B,32.54B,39.30B,44.97B,,66.08M,2.485B,2.830B,,,52.37M,5.433B,,,
2003-03,,850.62M,,850.62M,1.180B,1.180B,2.032B,,,,,,,,231.83M,,,1.205B,26.43B,444.68M,-203.80M,25.78B,4.196B,31.41B,33.44B,,424.89M,424.89M,,424.89M,524.93M,524.93M,524.93M,2.812B,5.395B,,5.395B,21.92B,27.32B,30.13B,,54.96M,2.387B,1.188B,365.95M,,49.36M,3.313B,,,
2002-12,,971.63M,,971.63M,1.156B,1.156B,2.448B,,,,,,,,238.99M,,,1.216B,25.94B,436.47M,-209.16M,25.29B,4.007B,30.75B,33.20B,,400.99M,400.99M,,400.99M,1.362B,1.362B,1.362B,3.830B,4.497B,,4.497B,21.66B,26.16B,29.99B,,54.76M,2.298B,1.193B,391.90M,,54.77M,3.208B,,,
2002-09,,1.204B,,1.204B,1.131B,1.131B,2.573B,,,,,,,,243.86M,,,1.228B,26.51B,437.34M,-201.04M,25.87B,4.232B,31.58B,34.15B,,424.67M,424.67M,,424.67M,1.212B,1.212B,1.212B,4.235B,4.314B,,4.314B,22.54B,26.85B,31.09B,,54.72M,2.308B,1.059B,404.23M,,41.78M,3.059B,,,
2002-06,,869.84M,,869.84M,1.113B,1.113B,2.027B,,,,,,,,247.40M,,,1.241B,25.81B,436.40M,-207.80M,25.17B,3.003B,29.66B,31.69B,,394.88M,394.88M,,394.88M,1.112B,1.112B,1.112B,2.639B,4.212B,,4.212B,21.86B,26.07B,28.71B,,54.78M,2.213B,1.062B,388.70M,,35.35M,2.977B,,,
2002-03,,701.05M,,701.05M,1.169B,1.169B,2.190B,,,,,,,,254.15M,,,1.254B,25.34B,433.03M,-204.06M,24.70B,2.893B,29.11B,31.30B,,472.49M,472.49M,,472.49M,1.067B,1.067B,1.067B,2.615B,4.109B,,4.109B,21.62B,25.73B,28.35B,,54.88M,2.115B,1.075B,310.19M,,12.58M,2.947B,,,
2001-12,,970.00M,,970.00M,1.084B,1.084B,2.095B,,,,,,,,261.88M,,,1.268B,25.40B,425.01M,-207.71M,24.76B,3.063B,29.36B,31.45B,,422.75M,422.75M,,422.75M,912.27M,912.27M,912.27M,3.469B,3.462B,,3.462B,21.58B,25.04B,28.51B,,54.73M,2.018B,1.096B,252.14M,,22.82M,2.939B,,,
2001-09,,788.99M,,788.99M,1.037B,1.037B,1.829B,,,,,,,,264.26M,,,1.317B,25.16B,412.73M,-209.55M,24.53B,3.195B,29.31B,31.14B,,458.45M,458.45M,,458.45M,876.81M,876.81M,876.81M,4.046B,3.616B,,3.616B,20.52B,24.14B,28.18B,,54.78M,1.939B,1.105B,186.43M,,42.75M,2.956B,,,
2001-06,,717.53M,,717.53M,1.058B,1.058B,1.806B,,,,,,,,268.58M,,,1.348B,24.99B,408.51M,-212.70M,24.37B,3.414B,29.40B,31.20B,,475.60M,475.60M,,475.60M,891.78M,891.78M,891.78M,4.447B,3.727B,,3.727B,20.04B,23.77B,28.22B,,54.97M,1.866B,1.129B,73.14M,,10.42M,2.987B,,,
2001-03,,694.62M,,694.62M,1.054B,1.054B,1.755B,,,,,,,,272.79M,,,1.379B,24.39B,399.41M,-219.75M,23.77B,3.749B,29.17B,30.92B,,520.38M,520.38M,,520.38M,888.76M,888.76M,888.76M,3.464B,3.490B,,3.490B,20.98B,24.47B,27.93B,,54.94M,1.795B,1.121B,,,21.09M,2.992B,,,
2000-12,,753.36M,,753.36M,1.006B,1.006B,1.777B,,,,,,,,257.98M,,,1.199B,22.97B,374.70M,-227.50M,22.37B,3.347B,27.17B,28.95B,,528.96M,528.96M,,528.96M,631.94M,631.94M,631.94M,2.602B,3.415B,,3.415B,20.23B,23.65B,26.25B,,50.70M,1.736B,914.58M,,,-0.432M,2.700B,,,
2000-09,,564.24M,,564.24M,829.63M,829.63M,1.395B,,,,,,,,161.68M,,,610.84M,17.50B,323.31M,-176.08M,17.00B,2.841B,20.61B,22.01B,,319.61M,319.61M,,319.61M,613.53M,613.53M,613.53M,3.593B,1.794B,,1.794B,14.68B,16.48B,20.07B,,44.61M,1.687B,435.56M,195.16M,,-32.38M,1.940B,,,
2000-06,,547.06M,,547.06M,819.87M,819.87M,1.431B,,,,,,,,161.37M,,,624.65M,17.11B,320.16M,-161.58M,16.63B,2.901B,20.32B,21.75B,,290.86M,290.86M,,290.86M,605.48M,605.48M,605.48M,2.896B,1.775B,,1.775B,15.22B,17.00B,19.89B,,44.71M,1.622B,442.03M,209.12M,,-47.72M,1.852B,,,
2000-03,,478.33M,,478.33M,775.17M,775.17M,1.845B,,,,,,,,169.19M,,,638.24M,17.86B,318.60M,-157.41M,17.38B,2.725B,20.92B,22.76B,,934.86M,934.86M,,934.86M,660.18M,660.18M,660.18M,4.003B,1.774B,,1.774B,15.15B,16.93B,20.93B,,44.58M,1.560B,446.92M,195.47M,,-23.93M,1.832B,,,
1999-12,,593.90M,,593.90M,717.60M,717.60M,1.955B,,,,,,,,173.80M,,,648.00M,17.57B,316.20M,-166.10M,17.09B,2.542B,20.45B,22.41B,,909.20M,909.20M,,909.20M,765.30M,765.30M,765.30M,3.463B,1.775B,,1.775B,15.37B,17.15B,20.61B,,44.40M,1.502B,458.70M,181.60M,,-26.00M,1.797B,,,
1999-09,,1.036B,,1.036B,714.30M,714.30M,1.750B,,,,,,,,169.70M,,,662.60M,17.16B,315.00M,-171.80M,16.67B,2.508B,20.01B,21.76B,,920.70M,920.70M,,920.70M,460.00M,460.00M,460.00M,2.751B,1.775B,,1.775B,15.42B,17.19B,19.94B,,44.50M,1.445B,460.20M,110.60M,,-22.10M,1.817B,,,
1999-06,,965.20M,,965.20M,724.60M,724.60M,1.690B,,,,,,,,164.90M,,,620.90M,16.71B,314.40M,-193.20M,16.20B,2.531B,19.52B,21.21B,,761.00M,761.00M,,761.00M,467.20M,467.20M,467.20M,2.702B,1.822B,,1.822B,14.91B,16.73B,19.43B,,,1.387B,,,,-13.60M,1.772B,,,
1999-03,,806.90M,,806.90M,716.90M,716.90M,1.524B,,,,,,,,159.20M,,,534.50M,16.02B,306.70M,-202.60M,15.51B,2.561B,18.76B,20.28B,,705.40M,705.40M,,705.40M,373.50M,373.50M,373.50M,2.425B,1.717B,,1.717B,14.48B,16.19B,18.62B,,,1.330B,,,,0.60M,1.667B,,,
1998-12,,723.60M,,723.60M,707.60M,707.60M,1.431B,,,,,,,,162.80M,,,546.00M,16.01B,306.30M,-214.20M,15.49B,2.959B,19.15B,20.58B,,446.90M,446.90M,,446.90M,483.90M,483.90M,483.90M,2.677B,1.568B,,1.568B,14.74B,16.30B,18.98B,,,1.271B,,,,2.90M,1.602B,,,
1998-09,,543.50M,,543.50M,1.267B,1.267B,1.811B,,,,,,,,170.90M,,,,15.39B,309.50M,-224.80M,14.85B,2.643B,17.67B,19.48B,,400.20M,400.20M,,400.20M,354.60M,354.60M,354.60M,2.241B,1.194B,,1.194B,14.39B,15.59B,17.83B,,,1.221B,,,,6.80M,1.649B,,,
1998-06,,848.40M,,848.40M,741.10M,741.10M,1.590B,,,,,,,,173.70M,,,566.90M,15.49B,310.80M,-242.60M,14.93B,2.874B,18.55B,20.14B,,399.40M,399.40M,,399.40M,394.70M,394.70M,394.70M,2.972B,694.60M,,694.60M,14.81B,15.51B,18.48B,,,1.172B,,,,6.60M,1.659B,,,
1998-03,,640.80M,,640.80M,477.70M,477.70M,1.118B,,,,,,,,119.80M,,,,12.28B,278.70M,-241.70M,11.75B,1.577B,13.45B,14.57B,,264.90M,264.90M,,264.90M,94.70M,94.70M,94.70M,1.989B,427.40M,,427.40M,11.08B,11.51B,13.50B,,,1.136B,,,,4.80M,1.069B,,,
1997-12,,387.60M,,387.60M,489.00M,489.00M,876.60M,,,,,,,,122.00M,,,,11.77B,274.70M,-269.00M,11.22B,1.782B,13.13B,14.00B,,284.40M,284.40M,,284.40M,166.50M,166.50M,166.50M,1.382B,427.80M,,427.80M,11.16B,11.59B,12.97B,,,1.092B,,,,12.00M,1.030B,,,
1997-09,,382.10M,,382.10M,376.60M,376.60M,758.70M,,,,,,,,121.50M,,,,11.57B,272.30M,-299.10M,11.00B,1.796B,12.92B,13.68B,,252.30M,252.30M,,252.30M,300.80M,300.80M,300.80M,1.061B,427.90M,,427.90M,11.20B,11.63B,12.69B,,,1.051B,,,,11.20M,981.60M,,,
1997-06,,541.50M,,541.50M,285.40M,285.40M,826.90M,,,,,,,,125.00M,,,,11.31B,271.90M,-333.20M,10.71B,1.781B,12.61B,13.44B,,216.90M,216.90M,,216.90M,319.50M,319.50M,319.50M,875.90M,427.90M,,427.90M,11.19B,11.61B,12.49B,,,1.010B,,,,3.40M,951.00M,,,
1997-03,,445.40M,,445.40M,271.70M,271.70M,717.10M,,,,,,,,126.60M,,,,11.18B,273.60M,-374.30M,10.53B,1.749B,12.41B,13.12B,,208.60M,208.60M,,208.60M,273.50M,273.50M,273.50M,1.349B,328.00M,,328.00M,10.53B,10.86B,12.21B,,,973.00M,,,,-8.50M,912.20M,,,
1996-12,,497.30M,,497.30M,257.40M,257.40M,754.70M,,,,,,,,128.50M,,,,11.12B,270.50M,-398.10M,10.45B,1.609B,12.19B,12.94B,,195.60M,195.60M,,195.60M,134.80M,134.80M,134.80M,1.346B,178.00M,,178.00M,10.51B,10.69B,12.04B,,,937.10M,,,,-2.50M,905.70M,,,
1996-09,,481.60M,,481.60M,273.50M,273.50M,755.10M,,,,,,,,124.90M,,,,10.84B,270.50M,-399.00M,10.17B,1.774B,12.07B,12.82B,,182.50M,182.50M,,182.50M,218.10M,218.10M,218.10M,1.201B,188.20M,,188.20M,10.55B,10.74B,11.94B,,,901.30M,,,,-8.10M,877.70M,,,
1996-06,,413.90M,,413.90M,295.10M,295.10M,709.00M,,,,,,,,125.60M,,,,10.49B,270.00M,-358.30M,9.859B,1.849B,11.83B,12.54B,,164.10M,164.10M,,164.10M,219.10M,219.10M,219.10M,1.298B,190.20M,,190.20M,10.19B,10.38B,11.68B,,,870.20M,,,,-13.60M,861.00M,,,
1996-03,,484.10M,,484.10M,266.10M,266.10M,750.20M,,,,,,,,127.40M,,,,10.25B,266.90M,-332.80M,9.645B,2.148B,11.92B,12.67B,,174.20M,174.20M,,174.20M,377.20M,377.20M,377.20M,1.955B,190.40M,,190.40M,9.719B,9.909B,11.86B,,,836.30M,,,,-7.40M,807.10M,,,
1995-12,,489.60M,,489.60M,265.30M,265.30M,754.90M,,,,,,,,128.50M,,,,9.874B,262.30M,-317.90M,9.294B,1.779B,11.20B,11.96B,,174.10M,174.10M,,174.10M,59.80M,59.80M,59.80M,1.447B,192.80M,,192.80M,9.470B,9.662B,11.11B,,40.00M,805.50M,,,40.00M,-3.20M,846.30M,,,
1995-09,,435.50M,,435.50M,256.80M,256.80M,692.30M,,,,,,,,125.30M,,,,9.531B,259.10M,-309.10M,8.963B,1.973B,11.06B,11.75B,,179.90M,179.90M,,179.90M,150.60M,150.60M,150.60M,1.578B,196.20M,,196.20M,9.17B,9.366B,10.94B,,40.00M,774.10M,,,40.00M,-10.80M,809.30M,,,
1995-06,,434.10M,,434.10M,249.00M,249.00M,683.10M,,,,,,,,125.40M,,,,9.167B,253.80M,-285.70M,8.627B,2.194B,10.95B,11.63B,,150.60M,150.60M,,150.60M,206.30M,206.30M,206.30M,1.874B,96.20M,,96.20M,8.866B,8.962B,10.84B,,40.00M,743.20M,,,40.00M,-6.40M,794.00M,,,
1995-03,,505.10M,,505.10M,252.40M,252.40M,757.50M,,,,,,,,127.00M,,,,8.820B,248.70M,-260.70M,8.310B,2.082B,10.52B,11.28B,,142.40M,142.40M,,142.40M,351.00M,351.00M,351.00M,1.386B,96.20M,,96.20M,9.044B,9.140B,10.53B,,40.00M,716.60M,,,40.00M,-31.40M,750.60M,,,
1994-12,,381.00M,,381.00M,249.90M,249.90M,630.90M,,,,,,,,127.30M,,,,8.447B,243.30M,-229.80M,7.974B,1.796B,9.898B,10.53B,,103.50M,103.50M,,103.50M,669.20M,669.20M,669.20M,1.468B,96.20M,,96.20M,8.243B,8.339B,9.808B,,40.00M,694.30M,,,40.00M,-50.60M,721.00M,,,
1994-09,,730.40M,,730.40M,193.80M,193.80M,924.20M,,,,,,,,124.30M,,,,7.814B,234.30M,-223.60M,7.356B,1.896B,9.376B,10.30B,,92.30M,92.30M,,92.30M,235.70M,235.70M,235.70M,2.142B,75.00M,0.50M,75.50M,7.362B,7.438B,9.580B,,40.00M,667.20M,,,40.00M,,720.70M,,,
1994-06,,846.80M,,846.80M,191.20M,191.20M,1.038B,,,,,,,,127.20M,,,,7.602B,223.10M,-201.30M,7.178B,1.992B,9.298B,10.34B,,94.60M,94.60M,,94.60M,342.30M,342.30M,342.30M,2.266B,75.00M,0.50M,75.50M,7.276B,7.351B,9.618B,,40.00M,643.00M,,,40.00M,,717.70M,,,
1994-03,,903.00M,,903.00M,183.70M,183.70M,1.087B,,,,,,,,133.60M,,,,7.421B,213.00M,-181.60M,7.027B,2.164B,9.325B,10.41B,,122.20M,122.20M,,122.20M,852.80M,852.80M,852.80M,2.282B,75.00M,0.60M,75.60M,7.329B,7.405B,9.687B,,40.00M,618.60M,,,40.00M,-6.90M,725.00M,,,
1993-12,,580.20M,,580.20M,145.60M,145.60M,725.80M,,,,,,,,134.90M,,,,7.439B,195.90M,-178.00M,7.065B,2.439B,9.639B,10.36B,,110.40M,110.40M,,110.40M,720.30M,720.30M,720.30M,2.212B,75.00M,0.60M,75.60M,7.353B,7.429B,9.641B,,40.00M,595.30M,,,40.00M,,723.90M,,,
1993-09,,1.201B,,1.201B,157.50M,157.50M,2.715B,,,,,,,,132.30M,,,,7.268B,187.50M,-176.60M,6.904B,1.179B,8.216B,10.93B,,122.50M,122.50M,,122.50M,327.30M,327.30M,327.30M,2.624B,75.00M,0.60M,75.60M,7.538B,7.613B,10.24B,,40.00M,573.00M,,,40.00M,,692.50M,,,
1993-06,,722.30M,,722.30M,165.60M,165.60M,2.380B,,,,,,,,130.60M,,,,7.191B,172.70M,-170.20M,6.848B,1.098B,8.076B,10.46B,,122.70M,122.70M,,122.70M,413.30M,413.30M,413.30M,2.120B,75.00M,0.60M,75.60M,7.591B,7.666B,9.787B,,40.00M,551.50M,,,40.00M,,670.20M,,,
1993-03,,1.656B,,1.656B,164.40M,164.40M,1.820B,,,,,,,,129.00M,,,,7.052B,161.80M,-164.90M,6.725B,1.748B,8.602B,10.42B,,135.80M,135.80M,,135.80M,158.70M,158.70M,158.70M,1.910B,75.00M,0.70M,75.70M,7.788B,7.863B,9.774B,,40.00M,530.70M,,,40.00M,,649.10M,,,
1992-12,,687.00M,,687.00M,165.90M,165.90M,852.90M,,,,,,,,128.80M,,,,7.148B,151.70M,-164.70M,6.832B,1.774B,8.735B,9.588B,,115.70M,115.70M,,115.70M,363.50M,363.50M,363.50M,808.40M,75.00M,0.70M,75.70M,8.077B,8.153B,8.961B,,40.00M,510.00M,,,40.00M,,626.80M,,,
1992-09,,1.190B,,1.190B,,,2.262B,,,,,,,,127.70M,,,,7.272B,148.70M,-160.30M,6.963B,742.40M,8.003B,10.27B,,,,,,698.80M,698.80M,698.80M,1.343B,1.40M,0.70M,2.10M,8.159B,8.161B,9.663B,,40.00M,492.00M,,,40.00M,,602.70M,,,
1992-06,,748.30M,,748.30M,,,748.30M,,,,,,,,91.30M,,,,6.280B,127.70M,-159.50M,5.993B,1.798B,8.003B,8.752B,,,,,,799.10M,799.10M,799.10M,918.10M,1.40M,0.70M,2.10M,7.133B,7.135B,8.167B,,40.00M,474.50M,,,40.00M,,584.90M,,,
1992-03,,551.20M,,551.20M,143.50M,143.50M,2.302B,,,,,,,,90.70M,,,,6.131B,110.50M,-159.30M,5.861B,765.20M,6.717B,9.019B,,140.70M,140.70M,,140.70M,229.00M,229.00M,229.00M,1.290B,1.40M,0.90M,2.30M,7.166B,7.168B,8.458B,,40.00M,450.40M,,,40.00M,,560.40M,,,
1991-12,,336.50M,,336.50M,170.50M,170.50M,507.00M,,,,,,,,88.80M,,,,6.207B,100.30M,-160.10M,5.946B,2.629B,8.664B,9.171B,,129.10M,129.10M,,129.10M,529.50M,529.50M,529.50M,1.152B,8.60M,0.90M,9.50M,7.474B,7.484B,8.635B,,40.00M,426.40M,,,40.00M,,535.80M,,,
1991-09,,407.10M,,407.10M,170.70M,170.70M,2.121B,,,,,,,,88.60M,,,,6.273B,101.80M,-167.60M,6.004B,591.60M,6.684B,8.805B,,151.00M,151.00M,,151.00M,75.80M,75.80M,75.80M,618.80M,9.40M,0.90M,10.30M,7.656B,7.666B,8.285B,,40.00M,411.50M,,,40.00M,,520.50M,,,
1991-06,,970.00M,,970.00M,,,2.250B,,,,,,,,76.40M,,,,6.535B,89.80M,-135.60M,6.309B,862.90M,7.416B,9.666B,,,,,,336.40M,336.40M,336.40M,918.60M,9.30M,0.90M,10.20M,8.097B,8.107B,9.160B,,40.00M,397.40M,,,40.00M,,505.60M,,,
1991-03,,317.50M,,317.50M,,,1.593B,,,,,,,,66.70M,,,,5.493B,79.70M,-123.80M,5.289B,292.60M,5.798B,7.391B,,,,,,150.70M,150.70M,150.70M,743.80M,2.20M,1.00M,3.20M,6.034B,6.037B,6.900B,,40.00M,384.30M,,,40.00M,,490.50M,,,
1990-12,,704.70M,,704.70M,,,704.70M,,,,,,,,65.60M,,,,5.502B,75.00M,-129.20M,5.298B,1.548B,7.011B,7.715B,,,,,,426.10M,426.10M,426.10M,971.80M,2.20M,1.00M,3.20M,6.201B,6.204B,7.278B,,,371.40M,,,,,437.20M,,,
1990-09,,1.175B,,1.175B,,,2.203B,,,,,,,,65.80M,,,,5.589B,70.60M,-129.30M,5.389B,139.30M,5.719B,7.922B,,,,,,163.70M,163.70M,163.70M,1.198B,3.00M,1.00M,4.00M,6.190B,6.194B,7.496B,,,360.80M,,,,,425.70M,,,
1990-06,,424.90M,,424.90M,,,1.381B,,,,,,,,66.40M,,,,5.049B,65.80M,-127.10M,4.856B,116.70M,5.188B,6.569B,,,,,,265.40M,265.40M,265.40M,987.80M,3.10M,1.00M,4.10M,5.066B,5.070B,6.156B,,,348.40M,,,,,412.90M,,,
1990-03,,456.70M,,456.70M,,,1.511B,,,,,,,,66.30M,,,,4.879B,61.60M,-123.90M,4.694B,141.90M,5.015B,6.526B,,,,,,91.40M,91.40M,91.40M,825.50M,12.00M,1.10M,13.10M,5.180B,5.193B,6.124B,,,336.50M,,,,,401.90M,,,
1989-12,,541.00M,,541.00M,,,541.00M,,,,,,,,61.80M,,,,4.499B,58.00M,-125.20M,4.316B,1.209B,5.693B,6.234B,,,,,,66.20M,66.20M,66.20M,834.60M,12.00M,1.10M,13.10M,4.871B,4.884B,5.828B,,,325.80M,,,,,406.30M,,,
1989-09,,580.30M,,580.30M,104.10M,104.10M,1.733B,,,,,,,,61.50M,,,,4.359B,56.50M,-128.00M,4.175B,225.40M,4.462B,6.194B,,,,,,121.30M,121.30M,121.30M,844.30M,12.20M,1.10M,13.30M,4.834B,4.847B,5.782B,,,324.80M,,,,,412.40M,,,
1989-06,,622.90M,,622.90M,113.00M,113.00M,1.677B,,,,,,,,62.50M,,,,4.232B,123.10M,-54.90M,4.054B,184.70M,4.301B,5.977B,,,,,,313.30M,313.30M,313.30M,681.00M,12.30M,1.20M,13.50M,4.807B,4.820B,5.573B,,,314.00M,,,,,403.90M,,,
