,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-09,5.284B,5.284B,1.894B,3.39B,,,1.394B,863.00M,292.00M,,-85.00M,,,,,2.549B,841.00M,,,,-103.00M,,316.00M,129.00M,198.00M,22.00M,,11.00M,,220.00M,249.00M,2.057B,1.216B,841.00M,,0.03,0.0033,,,0.0352,0.0333,,0.03,0.0033,,,0.0351,0.0333,,9.877B,9.936B,0.00,,,
2005-06,5.598B,5.598B,1.944B,3.654B,,,1.445B,891.00M,270.00M,,182.00M,,,,,2.606B,1.048B,,,,166.00M,,771.00M,331.00M,430.00M,,,-10.00M,,430.00M,320.80M,2.209B,1.161B,1.048B,,0.0422,0.0211,,,0.0312,0.0633,,0.0422,0.0211,,,0.0313,0.0633,,9.927B,9.990B,0.00,,,
2005-03,5.363B,5.363B,1.957B,3.406B,,,1.376B,874.00M,290.00M,,-170.00M,,,,,2.54B,866.00M,,,,-158.00M,,290.00M,140.00M,143.00M,,,-7.00M,,143.00M,245.00M,2.03B,1.164B,866.00M,,0.0133,0.0067,,,0.0236,0.02,,0.0133,0.0067,,,0.0235,0.02,,9.958B,9.994B,0.00,,,
2004-12,4.149B,4.149B,1.536B,2.613B,,,978.00M,717.00M,286.00M,,556.00M,,,,,1.981B,632.00M,,,,541.00M,,718.00M,335.00M,381.00M,,,-2.00M,,423.00M,47.40M,1.907B,1.275B,632.00M,,0.0790,,,,0.0167,0.0790,,0.0790,,,,0.0167,0.0790,,5.353B,5.353B,0.00,,,
2004-09,5.098B,5.098B,1.837B,3.261B,,,1.401B,869.00M,305.00M,,152.00M,,,,,2.575B,686.00M,,,,123.00M,,374.00M,156.00M,220.00M,,,2.00M,,220.00M,128.80M,1.86B,1.174B,686.00M,,0.0222,0.0111,,,0.0132,0.0333,,0.0222,0.0111,,,0.0132,0.0333,,10.05B,10.09B,0.00,,,
2004-06,5.066B,5.066B,1.794B,3.272B,,,1.32B,813.00M,287.00M,,12.00M,,,,,2.42B,852.00M,,,,-8.00M,,511.00M,234.00M,262.00M,,,-15.00M,,262.00M,254.80M,1.952B,1.10B,852.00M,,0.0267,0.0133,,,0.0260,0.04,,0.0267,0.0133,,,0.0260,0.04,,10.15B,10.20B,0.00,,,
2004-03,4.908B,4.908B,1.869B,3.039B,,,1.306B,798.00M,276.00M,,-2.00M,,,,,2.38B,659.00M,,,,-19.00M,,140.00M,76.00M,65.00M,,,-1.00M,,65.00M,66.20M,1.733B,1.074B,659.00M,,0.01,0.00,,,0.0101,0.01,,0.01,0.00,,,0.0101,0.01,,10.16B,10.20B,0.00,,,
2003-12,4.742B,4.742B,1.774B,2.968B,,,1.248B,796.00M,182.00M,,168.00M,,,,,2.226B,742.00M,,,,141.00M,,695.00M,215.00M,383.00M,0.00,,-12.00M,,383.00M,266.97M,1.72B,978.00M,742.00M,,0.0567,0.00,,,0.0395,0.0567,,0.0567,0.00,,,0.0395,0.0567,,6.754B,6.754B,0.00,,,
2003-09,4.546B,4.546B,1.703B,2.843B,,,1.211B,774.00M,365.00M,,-154.00M,,,,,2.35B,493.00M,,,,-170.00M,,-256.00M,-103.00M,-153.00M,3.329B,,-14.00M,,3.176B,-60.60M,1.632B,1.075B,493.00M,,-0.0233,0.4933,,,-0.0142,0.47,,-0.0233,0.4933,,,-0.0142,0.47,,10.15B,10.15B,0.00,,,
2003-06,5.685B,5.685B,2.575B,3.11B,,,1.279B,837.00M,383.00M,,33.00M,,,,,2.499B,611.00M,,,,32.00M,,55.00M,77.00M,-22.00M,,,-96.00M,,-22.00M,-41.80M,1.862B,1.251B,611.00M,,-0.0022,-0.0011,,,-0.0042,-0.0033,,-0.0022,-0.0011,,,-0.0042,-0.0033,,10.14B,10.14B,0.00,,,
2003-03,4.466B,4.466B,1.811B,2.655B,,,1.227B,780.00M,354.00M,,-210.00M,,,,,2.361B,294.00M,,,,-227.00M,,-457.00M,-141.00M,-355.00M,58.00M,,-39.00M,,-297.00M,-209.79M,1.428B,1.134B,294.00M,,-0.0533,0.01,,,-0.0390,-0.0433,,-0.0533,0.01,,,-0.0390,-0.0433,,10.14B,10.14B,0.00,,,
2002-12,3.00B,3.00B,1.181B,1.819B,,,914.00M,737.00M,87.00M,,172.00M,,,,,1.738B,81.00M,,,,164.00M,,-67.00M,-5.00M,-105.00M,133.00M,,-20.00M,,28.00M,-264.16M,905.00M,824.00M,81.00M,,0.0333,-0.0122,,,0.0109,0.0211,,0.0333,-0.0122,,,0.0109,0.0211,,7.122B,7.122B,0.00,,,
2002-09,1.698B,1.698B,597.00M,1.101B,,,459.00M,321.00M,50.00M,,-42.00M,,,,,830.00M,271.00M,,,,-51.00M,,51.00M,27.00M,24.00M,52.00M,,3.00M,,76.00M,49.20M,642.00M,315.70M,271.00M,,0.01,0.0167,,,0.0159,0.0267,,0.01,0.0167,,,0.0158,0.0267,,4.286B,4.314B,0.00,,,
2002-06,2.709B,2.709B,1.352B,1.357B,,,490.10M,342.80M,45.40M,,-460.10M,,,,,878.30M,478.40M,,,,-503.10M,,-242.50M,-32.90M,-209.60M,,,-45.80M,,-209.60M,188.08M,866.70M,388.30M,478.40M,,-0.0734,0.00,,,0.0659,-0.0734,,-0.0734,0.00,,,0.0659,-0.0734,,2.855B,2.855B,0.00,,,
2002-03,2.667B,2.667B,1.372B,1.295B,,,487.00M,334.00M,53.00M,,-272.00M,,,,,874.00M,421.00M,,,,-277.00M,,-43.00M,3.00M,-89.00M,,,-44.00M,,-89.00M,74.20M,808.00M,387.00M,421.00M,,-0.03,0.00,,,0.0250,-0.03,,-0.03,0.00,,,0.0250,-0.03,,2.967B,2.967B,0.00,,,
2001-12,2.824B,2.824B,1.743B,1.081B,,,427.20M,,,,-953.60M,,,,,1.416B,-335.00M,,,,-927.50M,,-453.50M,-132.90M,-320.60M,,0.50M,-70.20M,,-320.60M,353.54M,653.90M,988.90M,-335.00M,,-0.1138,,0.00,-0.0002,0.1255,-0.1138,,-0.1138,,0.0002,-0.0002,0.1255,-0.1138,,2.817B,2.817B,0.00,,,
2001-09,2.356B,2.356B,1.253B,1.103B,,,396.80M,288.20M,595.80M,,321.30M,,,,,1.281B,-178.20M,,,,301.80M,,-93.30M,13.50M,-106.80M,,,-26.20M,,-106.80M,-299.58M,720.00M,898.20M,-178.20M,,-0.0367,0.00,,,-0.1043,-0.0367,,-0.0367,0.00,,,-0.1043,-0.0367,,2.853B,2.853B,0.00,,,
2001-06,2.339B,2.339B,1.227B,1.112B,,,418.90M,273.90M,552.30M,,479.00M,,,,,1.245B,-133.30M,,,,469.50M,,138.20M,103.00M,35.20M,,,-36.90M,,35.20M,-252.20M,692.90M,819.50M,-133.30M,,0.0133,0.00,,,-0.0874,0.0133,,0.0133,0.00,,,-0.0859,0.0133,,2.852B,2.895B,0.00,,,
2001-03,2.196B,2.196B,1.197B,999.20M,,,358.30M,221.30M,520.10M,,1.409B,,,,,1.100B,-100.50M,,,,1.412B,,1.102B,485.60M,616.70M,,,-26.70M,,1.001B,-228.64M,640.90M,741.40M,-100.50M,,0.2168,0.1367,,0.1357,-0.0815,0.3535,,0.2134,0.1351,,0.1329,-0.0787,0.3485,,2.834B,2.894B,0.00,,,
2000-12,2.408B,2.408B,1.359B,1.049B,,,374.10M,,,,1.646B,,,,,1.163B,-114.20M,,,,1.646B,,1.319B,535.70M,783.60M,,,-28.60M,0.80M,778.50M,-204.30M,674.90M,789.10M,-114.20M,,0.2797,,,-0.0018,-0.0733,0.2779,,0.2797,,,-0.0018,-0.0733,0.2779,,2.799B,2.799B,0.00,,,
2000-09,1.96B,1.96B,1.046B,914.30M,,,308.60M,,,,2.259B,,,,,970.70M,-56.40M,,,,2.259B,,2.001B,752.30M,1.249B,,,-25.80M,7.60M,1.247B,-160.65M,605.70M,662.10M,-56.40M,,0.4569,0.00,,-0.0008,-0.0604,0.4569,,0.4302,0.00,,-0.0008,-0.0567,0.4302,,2.725B,2.895B,0.00,,,
2000-06,1.912B,1.912B,1.017B,894.90M,,,292.10M,,,,290.60M,,,,,926.50M,-31.60M,,,,290.60M,,383.90M,185.10M,198.80M,,,-26.70M,7.60M,187.70M,24.44M,602.80M,634.40M,-31.60M,,0.0700,-0.0033,,-0.0041,0.0061,0.0667,,0.0667,-0.0033,,-0.0041,0.0070,0.0634,,2.728B,2.923B,0.00,,,
2000-03,1.939B,1.939B,1.076B,862.90M,,,276.00M,,,,-56.60M,,,,,821.70M,41.20M,,,,-56.60M,,-218.20M,-31.80M,-186.40M,,,-34.20M,7.50M,-191.50M,-138.05M,586.90M,545.70M,41.20M,,-0.0767,-0.0033,,-0.0020,-0.0574,-0.0800,,-0.0767,-0.0033,,-0.0020,-0.0574,-0.0800,,2.509B,2.509B,0.00,,,
1999-12,1.934B,1.934B,1.123B,811.20M,,,277.40M,,,,-289.30M,,,,,634.50M,176.70M,,,,-289.30M,,-271.80M,-104.20M,-167.60M,0.00,,-13.60M,7.30M,-174.20M,10.79M,533.80M,357.10M,176.70M,,-0.0800,0.00,,-0.0028,-0.0020,-0.0834,,-0.0800,0.00,,-0.0028,-0.0020,-0.0834,,2.285B,2.285B,0.00,,,
1999-09,1.599B,1.599B,898.10M,701.20M,,,237.30M,,,,106.30M,,,,,550.00M,151.20M,,,,106.30M,,124.80M,104.20M,20.60M,355.90M,,5.40M,7.30M,335.10M,-43.18M,464.00M,312.80M,151.20M,,0.0067,0.1567,,-0.0183,-0.0215,0.1467,,0.0067,0.1434,,-0.0183,-0.0191,0.1367,,2.264B,2.470B,0.00,,,
1999-06,1.479B,1.479B,794.70M,683.90M,,,226.60M,,,,1.428B,,,,,534.10M,149.80M,,,,1.428B,,1.463B,636.30M,826.30M,,,28.10M,7.60M,824.00M,-30.62M,457.40M,307.60M,149.80M,,0.3668,0.00,,-0.0010,-0.0182,0.3668,,0.3368,0.00,,-0.0010,-0.0167,0.3368,,2.225B,2.424B,0.00,,,
1999-03,1.374B,1.374B,764.10M,609.90M,,,184.80M,,,,129.10M,,,,,423.30M,186.60M,,,,129.10M,,189.20M,87.40M,101.80M,-20.10M,,-15.30M,7.50M,81.00M,24.34M,425.10M,238.50M,186.60M,,0.0434,-0.0100,,-0.0003,0.0115,0.0334,,0.0400,-0.0100,,-0.0003,0.0081,0.0334,,2.429B,2.429B,0.0039,,,
1998-12,1.721B,1.721B,1.10B,620.70M,,,199.20M,,,,625.50M,,,,,429.90M,190.80M,,,,625.50M,,704.40M,271.40M,433.00M,-10.00M,,-0.10M,7.40M,421.80M,48.50M,421.50M,230.70M,190.80M,,0.1968,-0.0067,,-0.0005,0.0245,0.1868,,0.1768,-0.0067,,-0.0005,0.0250,0.1701,,2.232B,2.534B,0.00,,,
1998-09,1.238B,1.238B,652.50M,585.70M,,,212.30M,,,,1.016B,,,,,452.70M,133.00M,,,,1.016B,,1.037B,313.20M,723.60M,-6.60M,,5.20M,7.40M,709.60M,14.31M,373.40M,240.40M,133.00M,,0.3235,-0.0033,,-0.0034,0.0001,0.3202,,0.2968,-0.0033,,-0.0034,0.0004,0.2935,,2.193B,2.393B,0.00,,,
1998-06,1.206B,1.206B,673.80M,531.90M,,,178.60M,,,,-106.20M,,,,,407.90M,124.00M,,,,-106.20M,,-77.00M,3.00M,-80.00M,-4.80M,,22.00M,7.20M,-84.80M,-16.28M,353.30M,229.20M,124.00M,,-0.0400,-0.0033,,,-0.0100,-0.0434,,-0.0400,-0.0033,,,-0.0100,-0.0434,,2.122B,2.122B,0.00,,,
1998-03,1.254B,1.254B,719.60M,534.80M,,,186.10M,,,,-68.80M,,,,,425.40M,109.40M,,,,-68.80M,,-62.60M,6.40M,-69.00M,-9.90M,,17.20M,7.10M,-78.90M,-27.72M,348.70M,239.30M,109.40M,,-0.0367,-0.0033,,,-0.0175,-0.0400,,-0.0367,-0.0033,,,-0.0175,-0.0400,,2.149B,2.149B,0.0039,,,
1997-12,948.20M,948.20M,,,,,,,,,,,,,,,-3.053B,,,,,,,,-51.50M,,,,,-81.40M,-51.50M,-2.930B,122.80M,-3.053B,,-0.0400,-0.0033,,-0.0014,-0.0400,-0.0434,,-0.0400,-0.0033,,-0.0014,-0.0400,-0.0434,,2.341B,2.341B,0.0039,,,
1997-09,1.204B,1.204B,,,,,,,,,,,,,,,1.204B,,,,,,,,-52.10M,,,,,-55.20M,-52.10M,1.446B,241.30M,1.204B,,-0.0300,-0.0033,,-0.0019,-0.0300,-0.0334,,-0.0300,-0.0033,,-0.0019,-0.0300,-0.0334,,1.655B,1.655B,0.00,,,
1997-06,1.184B,1.184B,,,,,,,,,,,,,,,1.184B,,,,,,,,-14.60M,,,,,-37.40M,-14.60M,1.434B,250.00M,1.184B,,-0.0100,-0.0133,,-0.0142,-0.0100,-0.0233,,-0.0100,-0.0133,,-0.0142,-0.0100,-0.0233,,1.602B,1.602B,0.0039,,,
1997-03,1.131B,1.131B,,,,,,,,,,,,,,,1.131B,,,,,,,,-64.70M,,,,,-64.70M,-64.70M,1.343B,212.40M,1.131B,,-0.0334,0.00,,,-0.0334,-0.0334,,-0.0334,0.00,,,-0.0334,-0.0334,,1.940B,1.940B,0.0039,,,
1996-12,741.40M,741.40M,571.70M,169.70M,,,-15.30M,,,,44.70M,,,,,74.80M,94.90M,,,,44.70M,,95.40M,75.10M,20.30M,,,0.60M,0.40M,-25.80M,-6.52M,185.00M,90.10M,94.90M,,-0.0167,0.00,,0.0000,-0.0323,-0.0167,,-0.0167,0.00,,0.0000,-0.0323,-0.0167,,1.712B,1.712B,0.00,,,
1996-09,974.60M,974.60M,488.40M,486.20M,,,190.40M,,,,-12.40M,,,,,357.10M,129.10M,,,,-12.40M,,-0.60M,9.30M,-9.90M,,,18.40M,0.30M,-9.90M,-2.46M,295.80M,166.70M,129.10M,,-0.0067,0.00,,,-0.0018,-0.0067,,-0.0067,0.00,,,-0.0018,-0.0067,,1.529B,1.529B,0.0038,,,
1996-06,945.60M,945.60M,,,,,,,,,,,,,,,945.60M,,,,,,,,17.90M,,,,,16.90M,17.90M,1.113B,167.40M,945.60M,,0.0133,0.00,,-0.0008,0.0133,0.0133,,0.0133,0.00,,-0.0008,0.0133,0.0133,,1.267B,1.267B,0.0077,,,
1996-03,950.70M,950.70M,,,,,,,,,,,,,,,950.70M,,,,,,,,-34.60M,,,,,-34.60M,-34.60M,1.108B,156.90M,950.70M,,-0.0233,0.00,,,-0.0233,-0.0233,,-0.0233,0.00,,,-0.0233,-0.0233,,1.482B,1.482B,0.0033,,,
1995-12,1.006B,1.006B,543.10M,462.40M,,,188.20M,,,,-29.60M,,,,,342.50M,119.90M,,,,-29.60M,,3.70M,9.60M,-5.90M,,,,,-6.60M,11.86M,274.20M,154.30M,119.90M,,-0.0033,0.00,,-0.0003,0.0074,-0.0033,,-0.0033,0.00,,-0.0003,0.0074,-0.0033,,1.656B,1.656B,0.004,,,
1995-09,870.20M,870.20M,443.60M,426.60M,,,162.60M,,,,37.80M,,,,,310.20M,116.40M,,,,37.80M,,16.40M,18.40M,-2.00M,,,,,-7.40M,-24.68M,264.10M,147.70M,116.40M,,-0.0033,-0.0033,,-0.0049,-0.0238,-0.0067,,-0.0033,-0.0033,,-0.0049,-0.0238,-0.0067,,1.109B,1.109B,0.004,,,
1995-06,823.60M,823.60M,,,,,,,,,,,,,,,823.60M,,,,,,,,-29.30M,,,,,-29.30M,-29.30M,967.10M,143.50M,823.60M,,-0.0200,0.00,,,-0.0200,-0.0200,,-0.0200,0.00,,,-0.0200,-0.0200,,1.464B,1.464B,0.004,,,
1995-03,663.60M,663.60M,,,,,,,,,,,,,,,663.60M,,,,,,,,-0.60M,,,,,-0.60M,-0.60M,907.10M,243.50M,663.60M,,,,,,,,,,,,,,,,,,0.004,,,
1994-12,360.20M,360.20M,,,,,,,,,,,,,,,1.182B,,,,,,,,-29.50M,,,,,-29.50M,-29.50M,1.276B,93.20M,1.182B,,-0.0200,0.00,,0.0003,-0.0200,-0.0200,,-0.0200,0.00,,0.0003,-0.0200,-0.0200,,1.513B,1.513B,0.0033,,,
1994-09,345.80M,345.80M,103.20M,242.60M,,,96.40M,,,,5.00M,,,,,179.20M,63.40M,,,,5.00M,,-18.30M,-1.00M,-17.30M,,,-10.80M,,-17.30M,-22.03M,146.20M,82.80M,63.40M,,-0.0133,0.00,,,-0.0170,-0.0133,,-0.0133,0.00,,,-0.0170,-0.0133,,1.297B,1.297B,0.0039,,,
1994-06,340.60M,340.60M,100.60M,240.00M,,,91.50M,,,,5.20M,,,,,174.70M,65.30M,,,,5.20M,,-11.80M,1.00M,-12.80M,,,-8.90M,,-12.90M,-15.92M,148.60M,83.30M,65.30M,,-0.0100,0.00,,-0.0001,-0.0124,-0.0100,,-0.0100,0.00,,-0.0001,-0.0124,-0.0100,,1.289B,1.289B,0.0039,,,
1994-03,328.70M,328.70M,100.90M,227.80M,,,86.30M,,,,8.30M,,,,,163.50M,64.30M,,,,8.30M,,-16.50M,-0.70M,-15.80M,,,-9.60M,,-27.40M,-23.75M,141.50M,77.20M,64.30M,,-0.0133,-0.0100,,-0.0099,-0.0201,-0.0233,,-0.0133,-0.0100,,-0.0099,-0.0201,-0.0233,,1.174B,1.174B,0.0039,,,
1993-12,337.60M,337.60M,,,,,,,,,,,,,,,337.60M,,,,,,,,-22.20M,,,,,-39.90M,-22.20M,418.40M,80.80M,337.60M,,,,,,,,,,,,,,,,,,0.0026,,,
1993-09,345.90M,345.90M,,,,,,,,,,,,,,,345.90M,,,,,,,,-17.70M,,,,,-15.70M,-17.70M,430.40M,84.50M,345.90M,,-0.0133,0.00,,0.0017,-0.0133,-0.0133,,-0.0133,0.00,,0.0017,-0.0133,-0.0133,,1.177B,1.177B,0.0026,,,
1993-06,345.90M,345.90M,,,,,,,,,,,,,,,345.90M,,,,,,,,-17.70M,,,,,-15.70M,-17.70M,434.40M,88.50M,345.90M,,-0.0133,0.0033,,0.0013,-0.0133,-0.0100,,-0.0133,0.0033,,0.0013,-0.0133,-0.0100,,1.569B,1.569B,0.0026,,,
1993-03,345.90M,345.90M,,,,,,,,,,,,,,,345.90M,,,,,,,,-17.70M,,,,,-15.70M,-17.70M,433.60M,87.70M,345.90M,,-0.0133,-0.6003,,0.0782,-0.0133,-0.6136,,-0.0133,-0.6003,,0.0782,-0.0133,-0.6136,,25.59M,25.59M,0.0026,,,
1992-12,261.20M,261.20M,76.20M,185.00M,,,70.90M,,,,-37.50M,,,,,152.40M,32.60M,,,,-37.50M,,-87.80M,0.80M,-88.60M,,,-0.50M,,-140.90M,-66.10M,114.10M,81.50M,32.60M,,-0.0734,-0.0434,,,-0.0547,-0.1167,,-0.0734,-0.0434,,,-0.0547,-0.1167,,1.202B,1.202B,0.0026,,,
1992-09,221.20M,221.20M,66.80M,154.40M,,,55.90M,,,,-7.10M,,,,,110.60M,43.80M,,,,-7.10M,,-50.00M,2.30M,-52.30M,,,-0.50M,,-52.30M,-48.04M,98.50M,54.70M,43.80M,,-0.0434,0.00,,,-0.0398,-0.0434,,-0.0434,0.00,,,-0.0398,-0.0434,,1.206B,1.206B,0.0026,,,
1992-06,221.30M,221.30M,67.00M,154.30M,,,55.70M,,,,-26.30M,,,,,107.80M,46.50M,,,,-26.30M,,-34.30M,6.00M,-40.30M,,,-0.20M,,-40.30M,-24.52M,98.60M,52.10M,46.50M,,-0.0334,0.00,,,-0.0203,-0.0334,,-0.0334,0.00,,,-0.0203,-0.0334,,1.208B,1.208B,0.0026,,,
1992-03,196.50M,196.50M,65.50M,131.00M,,,45.20M,,,,-6.10M,,,,,88.90M,42.10M,,,,-6.10M,,-31.80M,4.90M,-36.70M,,,-0.60M,,-36.70M,-33.04M,85.80M,43.70M,42.10M,,-0.0334,0.00,,,-0.0300,-0.0334,,-0.0334,0.00,,,-0.0300,-0.0334,,1.100B,1.100B,0.0026,,,
1991-12,183.90M,183.90M,58.50M,125.40M,,,46.50M,,,,56.30M,,,,,87.70M,37.70M,,,,56.30M,,-35.50M,4.40M,-39.90M,,,-1.00M,,-39.90M,-73.68M,78.90M,41.20M,37.70M,,-0.0334,0.00,,,-0.0620,-0.0334,,-0.0334,0.00,,,-0.0620,-0.0334,,1.180B,1.180B,0.0026,,,
1991-09,178.90M,178.90M,63.40M,115.50M,,,38.80M,,,,-34.50M,,,,,79.40M,36.10M,,,,-34.50M,,-38.10M,2.20M,-40.30M,,,-0.50M,,-40.30M,-19.60M,76.70M,40.50M,36.10M,,-0.0400,0.00,,,-0.0195,-0.0400,,-0.0400,0.00,,,-0.0195,-0.0400,,1.007B,1.007B,0.0026,,,
1991-06,183.50M,183.50M,66.10M,117.40M,,,37.40M,,,,-26.80M,,,,,77.60M,39.80M,,,,-26.80M,,-27.90M,5.20M,-33.10M,,,-0.60M,,-33.10M,-17.02M,80.00M,40.20M,39.80M,,-0.0334,0.00,,,-0.0171,-0.0334,,-0.0334,0.00,,,-0.0171,-0.0334,,992.50M,992.50M,0.0026,,,
1991-03,174.70M,174.70M,64.10M,110.60M,,,37.00M,,,,-33.00M,,,,,79.40M,31.20M,,,,-33.00M,,-41.20M,1.10M,-42.30M,,,-0.80M,,-42.30M,-22.50M,73.60M,42.40M,31.20M,,-0.0434,0.00,,,-0.0231,-0.0434,,-0.0434,0.00,,,-0.0231,-0.0434,,975.67M,975.67M,0.0022,,,
1990-12,172.20M,172.20M,65.80M,106.40M,,,36.60M,,,,52.60M,,,,,78.30M,28.10M,,,,52.60M,,-45.00M,0.50M,-45.50M,,,-0.70M,0.00,-45.50M,-77.06M,69.80M,41.70M,28.10M,,-0.0434,0.00,,,-0.0734,-0.0434,,-0.0434,0.00,,,-0.0734,-0.0434,,1.050B,1.050B,0.0022,,,
1990-09,165.80M,165.80M,61.40M,104.40M,,,36.20M,,,,-36.80M,,,,,75.20M,29.20M,,,,-36.80M,,-46.80M,-1.70M,-45.10M,,,-0.50M,3.40M,-45.10M,-9.637M,68.30M,39.10M,29.20M,,-0.0467,0.00,,,-0.0126,-0.0467,,-0.0467,0.00,,,-0.0126,-0.0467,,1.039B,1.039B,0.0022,,,
1990-06,163.70M,163.70M,58.50M,105.20M,,,35.90M,,,,-34.30M,,,,,75.60M,29.60M,,,,-34.30M,,-42.10M,-0.30M,-41.80M,,,-0.70M,3.40M,-41.80M,-7.744M,69.30M,39.70M,29.60M,,-0.0434,0.00,,,-0.0107,-0.0434,,-0.0434,0.00,,,-0.0107,-0.0434,,1.043B,1.043B,0.0022,,,
1990-03,155.30M,155.30M,58.20M,97.10M,,,33.20M,,,,-34.00M,,,,,73.90M,23.20M,,,,-34.00M,,-49.10M,-3.20M,-45.90M,,,-0.30M,3.40M,-45.90M,-14.12M,63.90M,40.70M,23.20M,,-0.0467,0.00,,,-0.0166,-0.0467,,-0.0467,0.00,,,-0.0166,-0.0467,,1.056B,1.056B,0.0022,,,
1989-12,157.50M,157.50M,61.20M,96.30M,,,32.40M,,,,-40.10M,,,,,70.30M,26.00M,,,,-40.10M,,-53.90M,-3.30M,-50.60M,,,,0.00,-50.60M,-12.96M,63.90M,37.90M,26.00M,,-0.0534,0.00,,,-0.0124,-0.0534,,-0.0534,0.00,,,-0.0124,-0.0534,,919.02M,919.02M,0.0020,,,
1989-09,141.10M,141.10M,50.90M,90.20M,,,34.50M,,,,-2.40M,,,,,68.10M,22.10M,,,,-2.40M,,-18.10M,8.40M,-26.50M,,,-0.30M,3.00M,-26.50M,-25.06M,55.70M,33.60M,22.10M,,-0.0267,0.00,,,-0.0254,-0.0267,,-0.0267,0.00,,,-0.0254,-0.0267,,1.106B,1.106B,0.0013,,,
1989-06,135.00M,135.00M,44.80M,90.20M,,,36.10M,,,,-13.00M,,,,,67.40M,22.80M,,,,-13.00M,,-28.00M,2.60M,-30.60M,,,,3.20M,-30.60M,-22.80M,54.10M,31.20M,22.80M,,-0.0534,0.00,,,-0.0410,-0.0534,,-0.0534,0.00,,,-0.0410,-0.0534,,633.43M,633.43M,0.001,,,
1989-03,128.70M,128.70M,51.00M,77.70M,,,27.80M,,,,-30.10M,,,,,59.00M,18.70M,,,,-30.10M,,-47.00M,-5.80M,-41.20M,,,,2.00M,-41.20M,-14.81M,49.90M,31.20M,18.70M,,-0.0700,0.00,,,-0.0273,-0.0700,,-0.0700,0.00,,,-0.0273,-0.0700,,616.83M,616.83M,0.001,,,
1988-12,122.40M,122.40M,,,,,,,,,,,,,,,-262.10M,,,,,,,,-28.70M,,,,,-28.70M,,-262.10M,,-262.10M,,,,,,,,,,,,,,,,,,0.001,,,
1988-09,116.10M,116.10M,,,,,,,,,,,,,,,116.10M,,,,,,,,-9.30M,,,,,-9.30M,,116.10M,,116.10M,,-0.0167,0.00,,,-0.0167,-0.0167,,-0.0167,0.00,,,-0.0167,-0.0167,,,,0.001,,,
1988-06,113.20M,113.20M,,,,,,,,,,,,,,,113.20M,,,,,,,,-7.80M,,,,,-7.80M,,113.20M,,113.20M,,-0.0133,0.00,,,-0.0133,-0.0133,,-0.0133,0.00,,,-0.0133,-0.0133,,,,0.001,,,
1988-03,98.20M,98.20M,,,,,,,,,,,,,,,98.20M,,,,,,,,-1.80M,,,,,-1.80M,,98.20M,,98.20M,,-0.0033,0.00,,,-0.0033,-0.0033,,-0.0033,0.00,,,-0.0033,-0.0033,,,,0.0020,,,
1987-12,84.20M,84.20M,,,,,,,,,,,,,,,-178.90M,,,,,,,,-0.80M,,,,,-0.80M,,-178.90M,,-178.90M,,,,,,,,,,,,,,,,,,0.0004,,,
1987-09,80.00M,80.00M,,,,,,,,,,,,,,,80.00M,,,,,,,,-0.10M,,,,,-0.10M,,80.00M,,80.00M,,,,,,,,,,,,,,,,,,0.0004,,,
1987-06,74.20M,74.20M,,,,,,,,,,,,,,,74.20M,,,,,,,,-3.50M,,,,,-3.50M,,74.20M,,74.20M,,-0.0067,0.00,,,-0.0067,-0.0067,,-0.0067,0.00,,,-0.0067,-0.0067,,,,0.0004,,,
1987-03,70.90M,70.90M,,,,,,,,,,,,,,,70.90M,,,,,,,,-5.00M,,,,,-5.00M,,70.90M,,70.90M,,-0.0100,0.00,,,-0.0100,-0.0100,,-0.0100,0.00,,,-0.0100,-0.0100,,,,0.0004,,,
1986-12,34.00M,34.00M,,,,,,,,,,,,,,,-68.10M,,,,,,,,-7.30M,,,,,-7.30M,,-68.10M,,-68.10M,,,,,,,,,,,,,,,,,,0.0003,,,
1986-09,33.40M,33.40M,,,,,,,,,,,,,,,33.40M,,,,,,,,-0.60M,,,,,-0.60M,,33.40M,,33.40M,,-0.0033,0.00,,,-0.0033,-0.0033,,-0.0033,0.00,,,-0.0033,-0.0033,,,,0.0010,,,
