,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-09,1.217B,,,-840.00M,843.00M,250.00M,1.093B,1.093B,1.156B,,,83.00M,-75.00M,,410.00M,,,-355.00M,-20.00M,-658.00M,2.031B,,-1.283B,,-1.283B,,-3.289B,1.834B,0.00,-2.738B,,,,3.066B,73.00M,-494.00M,-421.00M,,,,5.00M,2.65B,,1.168B,1.943B,,3.111B,,73.00M,,,-494.00M,,,
2006-06,460.00M,,,-11.00M,970.00M,233.00M,1.203B,1.203B,-30.00M,,,77.00M,-211.00M,,52.00M,,,-94.00M,-253.00M,,1.446B,,-1.117B,,-1.117B,,-550.00M,84.00M,64.00M,-1.519B,,,,-103.00M,48.00M,-678.00M,-630.00M,,,,11.00M,-722.00M,,1.963B,-795.00M,,1.168B,,48.00M,,,-678.00M,,,
2006-03,466.00M,,,-12.00M,935.00M,216.00M,1.151B,1.151B,-215.00M,,,64.00M,150.00M,,-77.00M,,,211.00M,284.00M,,1.738B,,-878.00M,,-878.00M,,,145.00M,-67.00M,-800.00M,,,,785.00M,12.00M,-710.00M,-698.00M,,,,-9.00M,78.00M,,947.00M,1.016B,,1.963B,,12.00M,,,-710.00M,,,
2005-12,133.00M,,,13.00M,987.00M,276.00M,1.263B,1.263B,244.00M,,,,-70.00M,,-91.00M,241.00M,,-912.00M,-832.00M,,895.00M,,-868.00M,,-868.00M,,-3.00M,845.00M,-706.00M,-732.00M,,,,881.00M,93.00M,-1.022B,-929.00M,,,,-88.00M,-136.00M,,579.00M,27.00M,,947.00M,,93.00M,,,-1.022B,,,
2005-09,222.00M,,,118.00M,914.00M,302.00M,1.216B,1.216B,5.00M,,,,41.00M,,-62.00M,-241.00M,,124.00M,-138.00M,,1.423B,,-911.00M,,-911.00M,,-62.00M,-325.00M,614.00M,-684.00M,,,,-825.00M,-59.00M,-631.00M,-690.00M,,,,20.00M,-1.495B,,1.335B,-756.00M,,579.00M,,-59.00M,,,-631.00M,,,
2005-06,430.00M,,,-333.00M,891.00M,270.00M,1.161B,1.161B,30.00M,,,,-144.00M,,44.00M,,,-3.00M,-103.00M,,1.185B,,-950.00M,,-950.00M,,-134.00M,-110.00M,-125.00M,-1.319B,,,,1.103B,19.00M,-334.00M,-315.00M,,,,45.00M,833.00M,,636.00M,699.00M,,1.335B,,19.00M,,,-334.00M,,,
2005-03,143.00M,,,209.00M,874.00M,290.00M,1.164B,1.164B,-96.00M,,,,76.00M,,-43.00M,,,-121.00M,-88.00M,,1.332B,,-892.00M,,-892.00M,,,59.00M,-180.00M,-1.013B,,,,113.00M,40.00M,-326.00M,-286.00M,,,,38.00M,-135.00M,,452.00M,184.00M,,636.00M,,40.00M,,,-326.00M,,,
2004-12,423.00M,,,-1.02B,989.00M,286.00M,1.275B,1.275B,292.00M,,,771.00M,-34.00M,,33.00M,-105.00M,,12.00M,-94.00M,,1.647B,,-1.05B,,-1.05B,,0.00,197.00M,-269.00M,-1.122B,,,,-358.00M,113.00M,-354.00M,-241.00M,,,,-39.00M,-638.00M,,717.00M,-113.00M,,793.00M,,113.00M,,,-354.00M,,,
2004-09,220.00M,,,438.00M,869.00M,305.00M,1.174B,1.174B,84.00M,,,,-12.00M,,40.00M,105.00M,,-247.00M,-114.00M,,1.802B,,-878.00M,,-878.00M,,40.00M,-68.00M,81.00M,-825.00M,,,,-376.00M,-38.00M,-496.00M,-534.00M,,,,56.00M,-854.00M,,594.00M,123.00M,,717.00M,,-38.00M,,,-496.00M,,,
2004-06,262.00M,,,-95.00M,813.00M,287.00M,1.10B,1.10B,150.00M,,,343.00M,-139.00M,,-9.00M,,,247.00M,99.00M,,1.859B,,-904.00M,,-904.00M,,-295.00M,-20.00M,-148.00M,-1.367B,,,,-290.00M,38.00M,-511.00M,-473.00M,,,,-10.00M,-773.00M,,875.00M,-281.00M,,594.00M,,38.00M,,,-511.00M,,,
2004-03,65.00M,,,69.00M,798.00M,276.00M,1.074B,1.074B,5.00M,,,-343.00M,131.00M,,-227.00M,,,,-96.00M,,774.00M,,-828.00M,,-828.00M,,-41.00M,-50.00M,-279.00M,-1.198B,,,,-269.00M,,,,,,,18.00M,-251.00M,,1.55B,-675.00M,,875.00M,,,,,,,,
2003-12,383.00M,,,-2.296B,796.00M,182.00M,978.00M,978.00M,1.109B,,,-105.00M,-57.00M,,536.00M,157.00M,,,266.00M,,335.00M,,-1.068B,,-1.068B,,-113.00M,6.919B,-3.146B,717.00M,,,,-2.769B,,,,,,,-31.00M,-2.747B,,3.245B,-1.695B,,1.55B,,,,,,,,
2003-09,-282.00M,,,-39.00M,734.00M,341.00M,1.075B,1.075B,-63.00M,,,105.00M,-20.00M,27.00M,-118.00M,-160.00M,,,-271.00M,,525.00M,,-1.052B,,-1.052B,,-17.00M,-674.00M,3.141B,3.273B,,,,-1.601B,,,,,,,0.00,-1.601B,,1.324B,2.197B,,3.245B,,,,,,,,
2003-06,36.00M,,,239.00M,856.00M,395.00M,1.251B,1.251B,-44.00M,,,277.00M,-40.00M,-27.00M,-354.00M,3.00M,,,-418.00M,,1.341B,,-1.083B,,-1.083B,,-22.00M,-1.195B,1.886B,-414.00M,,,,-520.00M,,,,,,,13.00M,-507.00M,,628.00M,420.00M,,1.324B,,,,,,,,
2003-03,-355.00M,,,290.00M,780.00M,354.00M,1.134B,1.134B,-182.00M,,,-277.00M,72.00M,,-29.00M,,,,43.00M,,653.00M,,-958.00M,,-958.00M,,,2.687B,-66.00M,1.663B,,,,-2.177B,,,,,,,-16.00M,-2.193B,,505.00M,123.00M,,628.00M,,,,,,,,
2002-12,-105.00M,,,-123.00M,737.00M,87.00M,824.00M,824.00M,-35.00M,,,56.00M,69.00M,,37.00M,5.00M,,,161.00M,,778.00M,,-817.00M,,-817.00M,,-235.00M,485.00M,34.00M,-533.00M,,,,176.00M,19.00M,,19.00M,,,,-345.00M,-150.00M,,410.00M,95.00M,,505.00M,,19.00M,,,,,,
2002-09,-65.50M,,,-23.90M,280.40M,35.30M,315.70M,315.70M,-55.80M,,,-77.50M,2.10M,-40.50M,524.70M,13.20M,,,499.50M,,592.50M,,-246.10M,,-246.10M,,0.10M,122.70M,-97.50M,-220.80M,,,,-387.80M,-11.20M,,-11.20M,,,,15.50M,-383.50M,,557.80M,-11.80M,,410.00M,,-11.20M,,,,,,
2002-06,-209.50M,,,577.90M,342.60M,45.70M,388.30M,388.30M,-21.20M,,,9.50M,21.90M,12.50M,-276.70M,28.80M,,,-213.50M,,531.50M,,-389.90M,,-389.90M,,-4.10M,557.30M,-77.50M,85.80M,,,,-606.20M,6.20M,,6.20M,,,,-2.50M,-602.50M,,543.00M,14.80M,,557.80M,,6.20M,,,,,,
2002-03,-89.00M,,,289.00M,334.00M,53.00M,387.00M,387.00M,17.00M,,,12.00M,-13.00M,28.00M,-65.00M,-47.00M,,,-97.00M,,519.00M,,-399.00M,,-399.00M,,-12.00M,10.00M,-56.00M,-457.00M,,,,69.00M,5.00M,,5.00M,,,,57.00M,131.00M,,350.00M,193.00M,,543.00M,,5.00M,,,,,,
2001-12,-320.60M,,,-26.30M,381.60M,607.30M,988.90M,988.90M,-112.30M,,,2.00M,-16.00M,-16.00M,,-27.00M,,-403.40M,-556.40M,,-24.70M,,-496.80M,,-496.80M,,-411.50M,116.50M,246.00M,-545.80M,,,,258.20M,3.80M,0.10M,3.90M,,,,0.50M,262.60M,,658.40M,-307.90M,,350.00M,,3.80M,,,0.10M,,,
2001-09,-106.80M,,,-518.50M,245.70M,652.50M,898.20M,898.20M,3.20M,,,-26.10M,-111.20M,33.30M,-360.70M,65.30M,,403.40M,30.10M,,280.10M,,-547.50M,,-547.50M,,-44.70M,825.40M,-468.20M,-235.00M,,,,-108.50M,3.00M,-27.10M,-24.10M,,,,0.00,-132.60M,,745.90M,-87.50M,,658.40M,,3.00M,,,-27.10M,,,
2001-06,35.20M,,,-133.70M,293.40M,526.10M,819.50M,819.50M,-560.80M,,,14.10M,111.20M,-33.30M,360.70M,-65.30M,,169.00M,542.30M,,716.60M,,-621.80M,,-621.80M,,-846.40M,-62.60M,-52.10M,-1.583B,,,,959.70M,6.70M,,6.70M,,,,-22.50M,943.90M,,668.30M,77.60M,,745.90M,,6.70M,,,,,,
2001-03,1.001B,,,-1.756B,221.30M,520.10M,741.40M,741.40M,428.90M,,,12.00M,,,,,,-169.00M,-169.00M,,258.00M,,-521.90M,,-521.90M,,-26.40M,-23.30M,-71.70M,-643.30M,,,,388.60M,13.50M,,13.50M,,,,,402.10M,,651.50M,16.80M,,668.30M,,13.50M,,,,,,
2000-12,783.60M,,,-2.289B,,,789.10M,789.10M,544.10M,,,695.90M,,,,,,-119.20M,-119.20M,,404.60M,,-580.80M,,-580.80M,,-26.30M,-529.40M,-24.30M,-1.161B,,,,881.10M,6.70M,-34.60M,-27.90M,,,,-21.40M,831.80M,,575.90M,75.60M,,651.50M,,6.70M,,,-34.60M,,,
2000-09,1.265B,,,-1.533B,-376.70M,-803.40M,662.10M,662.10M,667.90M,,,-695.90M,,,,,,274.50M,274.50M,,641.00M,,-448.00M,,-448.00M,,-77.20M,41.60M,-218.20M,-701.80M,,,,87.20M,2.30M,-70.70M,-68.40M,,,,-34.40M,-15.60M,,652.30M,-76.40M,,575.90M,,2.30M,,,-70.70M,,,
2000-06,182.60M,,,144.10M,376.70M,803.40M,634.40M,634.40M,143.90M,,,-674.20M,,,,,,-113.60M,-113.60M,,317.20M,,-318.90M,,-318.90M,,-8.50M,365.20M,-87.30M,-49.50M,,,,-277.00M,21.50M,-110.50M,-89.00M,,,,,-366.00M,,750.60M,-98.30M,,652.30M,,21.50M,,,-110.50M,,,
2000-03,-186.40M,,,-553.60M,,,545.70M,545.70M,-253.60M,,,674.20M,,,,,,-369.80M,-369.80M,,-143.50M,,-289.10M,,-289.10M,,-75.30M,1.137B,-79.40M,693.50M,,,,-612.50M,,-109.10M,-109.10M,,,,,-721.60M,,922.20M,-171.60M,,750.60M,,,,,-109.10M,,,
1999-12,-167.60M,,,-1.115B,,,357.10M,357.10M,-246.80M,,,,,,,,,34.30M,34.30M,,-1.138B,,-348.50M,0.00,-348.50M,,,-656.20M,625.80M,-378.90M,,,,1.592B,,1.80M,1.80M,,0.00,,-36.40M,1.558B,,881.90M,40.30M,,922.20M,,,,,1.80M,,,
1999-09,233.00M,,,-456.70M,,,312.80M,312.80M,-173.10M,,,-177.70M,143.30M,,,,,534.90M,678.20M,,416.50M,,-266.10M,361.10M,95.00M,,,-106.50M,-767.60M,-779.10M,,,,-933.60M,-0.20M,-15.40M,-15.60M,,0.00,,0.00,-949.20M,,2.194B,-1.312B,,881.90M,,-0.20M,,,-15.40M,,,
1999-06,969.60M,,,19.80M,,,307.60M,307.60M,362.70M,,,154.60M,-143.30M,,,,,,-143.30M,,1.671B,,-912.00M,,-912.00M,,,-118.90M,-43.10M,-1.074B,,,,47.90M,0.20M,3.50M,3.70M,,-0.40M,,-3.20M,48.00M,,1.549B,645.00M,,2.194B,,0.20M,,,3.50M,,,
1999-03,81.70M,,,-68.30M,,,238.50M,238.50M,25.30M,,,23.10M,,,,,,,,,300.30M,,-122.40M,,-122.40M,,,-106.30M,-78.60M,-307.30M,,,,711.90M,,-3.50M,-3.50M,,-9.00M,,-14.40M,685.00M,,870.70M,678.00M,,1.549B,,,,,-3.50M,,,
1998-12,423.00M,,,-602.50M,,,230.70M,230.70M,212.40M,,,129.70M,,,,,,-90.20M,-90.20M,,303.10M,,-436.50M,,-436.50M,,,-20.90M,-80.50M,-537.90M,,,,698.50M,3.20M,,3.20M,,-8.90M,,-8.10M,684.70M,,420.80M,449.90M,,870.70M,,3.20M,,,,,,
1998-09,717.00M,,,-988.50M,,,240.40M,240.40M,279.80M,,,-1.70M,,,,,,90.20M,90.20M,,337.20M,,-290.90M,,-290.90M,,,-44.40M,-29.40M,-364.70M,,,,-62.60M,11.80M,,11.80M,,-9.20M,,2.10M,-57.90M,,0.00,-85.40M,,420.80M,,11.80M,,,,,,
1998-06,-84.80M,,,114.00M,,,229.20M,229.20M,-33.70M,,,-67.90M,,,,,,,,,156.80M,,-290.00M,,-290.00M,,,-61.70M,83.30M,-268.40M,,,,-39.70M,8.10M,,8.10M,,-9.00M,,-2.00M,-42.60M,,0.00,-154.20M,,0.00,,8.10M,,,,,,
1998-03,-78.90M,,,92.90M,,,239.30M,239.30M,-40.30M,,,69.60M,,,,,,,,,282.60M,,-331.60M,,-331.60M,,,94.40M,-19.10M,-256.30M,,,,228.40M,5.80M,,5.80M,,-8.90M,,-0.30M,225.00M,,409.10M,251.30M,,0.00,,5.80M,,,,,,
1997-12,-77.10M,,,184.60M,,,122.80M,122.80M,-18.20M,,,1.70M,-54.40M,80.80M,-47.90M,-2.40M,-76.70M,,-100.60M,,113.20M,,-283.60M,,-283.60M,,,-225.50M,297.70M,-211.40M,,,,-85.40M,-29.30M,33.60M,4.30M,,-8.80M,,28.50M,-61.40M,,0.00,-159.60M,,409.10M,,-29.30M,,,33.60M,,,
1997-09,-52.10M,,,31.00M,,,241.30M,241.30M,-9.60M,,,12.60M,11.00M,-33.90M,45.30M,-0.50M,60.60M,,82.50M,,305.70M,,-234.90M,,-234.90M,,,-124.80M,-57.60M,-417.30M,,,,-567.80M,1.00M,0.00,1.00M,,-8.70M,,-3.90M,-579.40M,,0.00,-691.00M,,0.00,,1.00M,,,0.00,,,
1997-06,-14.60M,,,-23.70M,,,250.00M,250.00M,-5.10M,,,10.70M,6.90M,-16.70M,11.90M,2.60M,17.00M,,21.70M,,239.00M,,-267.10M,,-267.10M,,,3.60M,-5.30M,-268.80M,,,,-84.20M,998.50M,-26.60M,971.90M,,-8.60M,,-39.60M,839.50M,,0.00,809.70M,,0.00,,998.50M,,,-26.60M,,,
1997-03,-64.70M,,,44.90M,,,212.40M,212.40M,-7.70M,,,16.10M,36.50M,-30.20M,-9.30M,0.30M,-0.90M,,-3.60M,,197.40M,,-180.00M,,-180.00M,,,123.60M,-102.60M,-159.00M,,,,101.90M,,-7.00M,-7.00M,,-7.90M,,-1.80M,85.20M,,331.30M,123.60M,,0.00,,,,,-7.00M,,,
1996-12,-25.80M,,,70.80M,,,90.10M,90.10M,10.70M,,,2.90M,-45.30M,11.80M,26.00M,2.70M,-26.70M,,-31.50M,,117.20M,,-129.00M,,-129.00M,,,-535.70M,536.20M,-128.50M,,,,-75.30M,-1.50M,-4.70M,-6.20M,,-7.90M,,20.60M,-68.80M,,0.00,-80.10M,,0.00,,-1.50M,,,-4.70M,,,
1996-09,-10.00M,,,4.80M,,,166.70M,166.70M,-7.90M,,,15.90M,-9.90M,-12.10M,73.30M,-3.40M,20.70M,,68.60M,,238.10M,,-171.30M,,-171.30M,,,33.40M,-105.30M,-243.20M,,,,93.50M,1.50M,-64.20M,-62.70M,,-7.80M,,0.60M,23.60M,,0.00,18.50M,,0.00,,1.50M,,,-64.20M,,,
1996-06,17.90M,,,-45.10M,,,167.40M,167.40M,21.30M,,,16.10M,31.60M,-2.40M,-29.00M,-6.00M,-10.70M,,-16.50M,,161.10M,,-167.50M,,-167.50M,,,65.70M,-147.90M,-249.70M,,,,56.30M,,-68.80M,-68.80M,,-5.50M,,4.10M,-13.90M,,0.00,-102.50M,,0.00,,,,,-68.80M,,,
1996-03,-34.60M,,,19.40M,,,156.90M,156.90M,-9.10M,,,16.10M,23.60M,2.70M,-70.30M,6.70M,16.70M,,-20.60M,,128.10M,,-111.40M,,-111.40M,,,171.40M,-188.10M,-128.10M,,,,23.80M,,-38.20M,-38.20M,,-5.60M,,-8.90M,-28.90M,,539.10M,-28.90M,,0.00,,,,,-38.20M,,,
1995-12,-5.90M,,,-25.50M,,,154.30M,154.30M,18.90M,,,-0.10M,-54.10M,-19.50M,88.60M,-7.00M,-0.70M,,7.30M,,149.00M,,-146.40M,,-146.40M,,,-159.00M,-35.30M,-340.70M,,,,157.60M,3.90M,,-3.20M,,-5.60M,,-34.50M,114.30M,,0.00,-77.40M,,0.00,,3.90M,,,,,,
1995-09,-2.00M,,,3.40M,,,147.70M,147.70M,-13.30M,,,0.20M,-35.00M,-27.10M,95.50M,-4.00M,-0.50M,,28.90M,,164.90M,,-137.60M,,-137.60M,,,-130.10M,173.00M,-94.70M,,,,126.40M,1.30M,,1.30M,,-5.60M,,-23.60M,98.50M,,0.00,168.70M,,0.00,,1.30M,,,,,,
1995-06,-29.30M,,,35.40M,,,143.50M,143.50M,-18.10M,,,0.00,-13.30M,4.40M,16.30M,-8.70M,3.80M,,2.50M,,134.00M,,-229.40M,,-229.40M,,,80.80M,-496.90M,-645.50M,,,,548.90M,0.80M,,0.80M,,-5.60M,,-0.60M,543.50M,,0.00,32.00M,,0.00,,0.80M,,,,,,
1995-03,-0.60M,,,-111.10M,,,243.50M,243.50M,-3.20M,,,-0.10M,40.00M,-15.30M,-86.10M,-3.60M,9.30M,,-55.70M,,72.80M,,-109.60M,,-109.60M,,,-32.50M,-1.130B,-1.272B,,,,1.276B,0.60M,,0.60M,,-5.60M,,8.70M,1.279B,,335.30M,80.50M,,0.00,,0.60M,,,,,,
1994-12,-29.50M,,,,,,93.20M,93.20M,-4.20M,,,-63.90M,-10.20M,,41.60M,,,,29.80M,,113.90M,,-98.70M,-320.90M,-419.60M,,,297.70M,-1.260B,-1.382B,,,,1.021B,-0.30M,,-0.30M,,-5.60M,,248.60M,1.264B,,0.00,-4.10M,,0.00,,-0.30M,,,,,,
1994-09,-17.30M,,,,,,82.80M,82.80M,5.80M,,,25.00M,-16.30M,,27.50M,,,,11.20M,,107.50M,,-78.50M,14.50M,-64.00M,,,-23.40M,-10.90M,-98.30M,,,,38.80M,210.40M,,210.40M,,-5.50M,,-14.00M,229.70M,,0.00,238.90M,,0.00,,210.40M,,,,,,
1994-06,-12.70M,,,,,,83.30M,83.30M,1.10M,,,21.40M,-12.10M,,4.40M,,,,-7.70M,,85.40M,,-63.30M,278.20M,214.90M,,,-335.80M,-17.00M,-137.90M,,,,-173.40M,1.10M,,1.10M,,-5.60M,,0.50M,-177.40M,,0.00,-229.90M,,0.00,,1.10M,,,,,,
1994-03,-15.80M,,,,,,77.20M,77.20M,1.60M,,,17.50M,-2.30M,,-16.00M,,,,-18.30M,,62.20M,,-29.40M,28.20M,-1.20M,,,325.80M,-16.20M,308.40M,,,,-194.10M,1.10M,,1.10M,,-6.00M,,-1.60M,-200.60M,,160.40M,170.00M,,0.00,,1.10M,,,,,,
1993-12,-22.30M,,,25.90M,,,80.80M,80.80M,-6.10M,,,0.20M,4.10M,,,4.90M,-1.70M,,28.40M,,106.90M,,-58.60M,,-58.60M,,,-218.60M,-58.70M,-335.90M,,,,242.80M,2.00M,,2.00M,,-5.20M,,-2.20M,237.40M,,0.00,8.40M,,0.00,,2.00M,,,,,,
1993-09,-35.60M,,,21.80M,,,84.50M,84.50M,18.80M,,,-0.20M,-17.40M,,,1.60M,1.80M,,-14.00M,,75.30M,,-39.90M,,-39.90M,,,-120.80M,-131.30M,-292.00M,,,,209.50M,1.60M,,1.60M,,-5.20M,,-3.30M,202.60M,,0.00,-14.10M,,0.00,,1.60M,,,,,,
1993-06,-17.10M,,,21.60M,,,88.50M,88.50M,-4.60M,,,0.10M,-7.00M,,,-7.60M,2.70M,,-11.90M,,76.60M,,-34.60M,,-34.60M,,,135.40M,-66.90M,33.90M,,,,-160.60M,0.00,,0.00,,-5.00M,,1.10M,-164.50M,,0.00,-54.00M,,0.00,,0.00,,,,,,
1993-03,-23.90M,,,21.90M,,,87.70M,87.70M,-7.60M,,,,4.20M,,,7.60M,-2.80M,,9.00M,,87.10M,,-25.30M,,-25.30M,,,-180.90M,-35.90M,-242.10M,,,,169.30M,3.10M,,3.10M,,-5.30M,,-5.40M,161.70M,,213.40M,6.70M,,0.00,,3.10M,,,,,,
1992-12,-88.60M,,,104.10M,,,81.50M,81.50M,-2.60M,,,-29.20M,14.40M,,,0.80M,16.60M,,31.80M,,97.00M,,-34.70M,,-34.70M,,,225.80M,-1.556B,-1.364B,,,,1.309B,2.00M,,2.00M,,-4.80M,,16.60M,1.323B,,0.00,55.50M,,0.00,,2.00M,,,,,,
1992-09,-52.30M,,,53.80M,,,54.70M,54.70M,-0.90M,,,-6.10M,-18.90M,,-4.10M,20.00M,-4.70M,,-7.70M,,41.50M,,964.00M,-425.00M,539.00M,,,-113.70M,-568.40M,-143.10M,,,,-266.10M,-0.10M,,-0.10M,,-4.90M,,426.00M,154.90M,,0.00,53.30M,,0.00,,-0.10M,,,,,,
1992-06,-40.30M,,,-19.00M,,,52.10M,52.10M,2.60M,,,59.80M,-0.30M,,4.10M,-18.50M,7.50M,,-7.20M,,48.00M,,-1.019B,425.00M,-593.60M,,,21.50M,566.90M,-5.20M,,,,-48.60M,2.90M,,2.90M,,-4.80M,,0.70M,-49.80M,,0.00,-7.00M,,0.00,,2.90M,,,,,,
1992-03,-36.70M,,,19.00M,,,43.70M,43.70M,3.30M,,,19.90M,0.30M,,,13.80M,2.50M,,16.60M,,65.80M,,-20.10M,,-20.10M,,,202.00M,-563.60M,-381.70M,,,,631.30M,102.60M,,102.60M,,-4.70M,,-427.30M,301.90M,,125.70M,-14.00M,,0.00,,102.60M,,,,,,
1991-12,-39.90M,,,,,,41.20M,41.20M,7.60M,,,39.80M,,,-12.80M,-0.70M,22.30M,,4.30M,,53.00M,,-15.30M,,-15.30M,,,-162.80M,-89.80M,-267.90M,,,,117.00M,167.30M,,167.30M,,-4.60M,,-10.10M,269.60M,,0.00,54.70M,,0.00,,167.30M,,,,,,
1991-09,-40.30M,,,,,,40.50M,40.50M,1.40M,,,37.30M,,,12.70M,7.90M,-2.20M,,18.40M,,57.30M,,-17.10M,,-17.10M,,,-32.20M,0.40M,-48.90M,,,,-29.90M,0.20M,,0.20M,,-4.50M,,1.30M,-32.90M,,0.00,-24.50M,,0.00,,0.20M,,,,,,
1991-06,-33.10M,,,,,,40.20M,40.20M,3.30M,,,29.40M,,,-14.90M,-10.10M,-6.80M,,-31.80M,,8.00M,,-22.20M,,-22.20M,,,-58.30M,-3.10M,-83.60M,,,,-96.50M,18.00M,,18.00M,,-4.20M,,2.50M,-80.20M,,0.00,-155.80M,,0.00,,18.00M,,,,,,
1991-03,-42.30M,,,,,,42.40M,42.40M,1.50M,,,31.10M,,,15.00M,1.00M,9.20M,,25.20M,,57.90M,,-30.40M,,-30.40M,,,-99.20M,-3.40M,-133.00M,,,,216.50M,29.00M,,29.00M,,-4.00M,,-3.80M,237.70M,,88.60M,162.60M,,0.00,,29.00M,,,,,,
1990-12,-45.50M,,,33.90M,,,41.70M,41.70M,-1.10M,,,0.00,5.70M,,,-3.30M,4.50M,,7.00M,,36.00M,,-37.00M,,-37.00M,,,-53.00M,,-90.00M,,,,29.10M,2.00M,,2.00M,,-3.40M,,1.80M,29.50M,,0.00,-24.50M,,0.00,,2.00M,,,,,,
1990-09,-45.20M,,,31.20M,,,39.10M,39.10M,-1.80M,,,0.00,-6.10M,,,6.90M,4.30M,,5.10M,,28.40M,,-27.40M,,-27.40M,,,-12.80M,,-40.20M,,,,-1.90M,0.00,,0.00,,-3.40M,,0.70M,-4.60M,,0.00,-16.40M,,0.00,,0.00,,,,,,
1990-06,-41.80M,,,30.00M,,,39.70M,39.70M,-1.60M,,,0.00,0.60M,,,-12.90M,3.30M,,-9.00M,,17.30M,,-31.10M,,-31.10M,,,12.20M,,-18.90M,,,,27.30M,0.10M,,0.10M,,-3.40M,,2.60M,26.60M,,0.00,25.00M,,0.00,,0.10M,,,,,,
1990-03,-45.90M,,,28.80M,,,40.70M,40.70M,-3.60M,,,-0.10M,-0.20M,,,5.50M,-9.30M,,-4.00M,,15.90M,,-17.70M,,-17.70M,,,3.50M,,-14.20M,,,,-34.30M,0.20M,,0.20M,,-3.40M,,-3.30M,-40.80M,,143.70M,-39.10M,,0.00,,0.20M,,,,,,
1989-12,-50.60M,,,33.30M,,,37.90M,37.90M,-1.00M,,,0.20M,3.30M,,,-3.60M,-2.10M,,14.30M,,34.10M,,16.50M,,16.50M,,,-89.10M,,-72.50M,,,,52.50M,-0.10M,,-0.10M,,-3.40M,,7.10M,56.10M,,0.00,17.70M,,0.00,,-0.10M,,,,,,
1989-09,-26.50M,,,-1.50M,,,33.60M,33.60M,8.60M,,,0.10M,,,,2.70M,14.70M,,17.40M,,31.70M,,-184.20M,,-184.20M,,,30.10M,,-154.10M,,,,103.40M,0.40M,,0.40M,,-3.00M,,-8.40M,92.40M,,0.00,-30.00M,,0.00,,0.40M,,,,,,
1989-06,-30.50M,,,5.50M,,,31.20M,31.20M,2.00M,,,-0.10M,4.40M,,,0.90M,6.80M,,12.10M,,20.20M,,-28.40M,,-28.40M,,,66.20M,,37.80M,,,,-14.50M,1.50M,,1.50M,,-3.20M,,7.60M,-8.60M,,0.00,49.40M,,0.00,,1.50M,,,,,,
1989-03,-41.20M,,,26.80M,,,31.20M,31.20M,-6.10M,,,,-4.40M,,,,0.30M,,-4.10M,,6.60M,,-11.80M,,-11.80M,,,-75.10M,,-86.90M,,,,91.00M,0.10M,,0.10M,,-2.00M,,-6.40M,82.70M,,104.00M,2.40M,,0.00,,0.10M,,,,,,
