,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1997-01,332.81M,774.67M,1.107B,1.025B,,,1.025B,85.99M,77.13M,18.55M,22.05M,203.72M,91.61M,191.27M,,2.619B,,,,,,410.06M,,,,1.161B,,,,,379.96M,1.951B,4.570B,,253.41M,172.74M,426.15M,521.61M,947.76M,,,,,,,,,947.76M,,,,,,41.19M,,0.00,947.76M,,1.180B,2.271B,,-9.257M,-9.257M,3.581B,,AOR,Restated
1996-10,553.82M,723.42M,1.277B,752.64M,,,752.64M,113.27M,71.73M,43.57M,14.97M,243.54M,92.73M,148.60M,,2.515B,,,,,,379.39M,,,,1.083B,,,,,324.97M,1.788B,4.302B,,196.37M,323.68M,520.05M,655.99M,1.176B,,,,,,,,,1.176B,,,,,,41.18M,,0.00,1.176B,,974.46M,1.933B,,-6.225M,-6.225M,3.085B,,AOR,Restated
1996-07,279.70M,758.49M,1.038B,622.86M,,,622.86M,134.53M,99.72M,51.92M,15.01M,301.19M,95.58M,101.83M,,2.160B,0.00,534.54M,40.93M,575.47M,-244.16M,331.32M,,,,832.11M,,,,,307.16M,1.471B,3.630B,,153.68M,169.89M,323.58M,227.45M,551.03M,,,,,,116.23M,116.23M,102.09M,769.35M,,,,,,41.26M,,0.00,769.35M,,888.07M,1.777B,,-4.662M,-4.662M,2.820B,,AOR,Restated
1996-04,188.58M,479.50M,668.09M,529.69M,,,529.69M,160.90M,77.82M,56.84M,18.30M,313.86M,61.29M,65.28M,,1.638B,,,,,,229.60M,,,,758.75M,,,,,267.12M,1.255B,2.894B,,164.37M,128.32M,292.68M,364.39M,657.07M,,,,,,,,,657.07M,,,,,,41.25M,,0.00,657.07M,,610.74M,1.420B,,-4.033M,-4.033M,2.195B,,AOR,Restated
1996-01,123.82M,356.48M,480.30M,491.22M,,,491.22M,123.27M,56.14M,25.23M,16.94M,221.58M,52.14M,90.45M,,1.336B,,,,,,184.60M,,,,601.22M,,,,,244.32M,1.030B,2.366B,,117.51M,97.18M,214.69M,298.88M,513.57M,,,,,,,,,513.57M,,,,,,40.93M,,0.00,513.57M,,517.45M,1.190B,,-3.575M,-3.575M,1.811B,,AOR,Restated
1995-10,187.52M,410.75M,598.27M,438.48M,,,438.48M,64.99M,33.96M,16.34M,14.07M,129.35M,45.91M,78.30M,,1.290B,,,,,,157.88M,,,,462.49M,,,,,237.20M,857.58M,2.148B,,88.95M,135.85M,224.80M,251.96M,476.76M,,,,,,,,,476.76M,,,,,,40.82M,,0.00,476.76M,,446.39M,1.121B,,-0.766M,-0.766M,1.630B,,AOR,Restated
1995-07,284.39M,279.75M,564.14M,421.75M,,,421.75M,34.91M,25.61M,9.962M,11.32M,81.80M,28.43M,88.04M,,1.184B,0.00,283.71M,21.07M,304.78M,-132.22M,172.56M,,,,410.80M,,,,,224.43M,807.79M,1.992B,,59.81M,71.97M,131.78M,140.32M,272.10M,,,,,,62.74M,62.74M,54.04M,388.88M,,,,,,40.79M,,0.00,388.88M,,508.67M,996.80M,,5.849M,5.849M,1.562B,,AOR,Restated
1995-04,107.01M,257.57M,364.58M,355.50M,,,355.50M,24.17M,8.531M,16.32M,3.841M,52.86M,18.31M,60.43M,,851.69M,,,,,,119.55M,,,,401.84M,,,,,166.14M,687.54M,1.539B,,66.40M,50.20M,116.60M,200.58M,317.17M,,,,,,,,,317.17M,,,,,,40.62M,,0.00,317.17M,,321.78M,818.42M,,8.328M,8.328M,1.181B,,AOR,Restated
1995-01,94.24M,164.80M,259.04M,295.88M,,,295.88M,25.85M,14.60M,11.41M,3.094M,54.95M,12.83M,55.16M,,677.86M,,,,,,109.06M,,,,409.45M,,,,,161.86M,680.38M,1.358B,,69.13M,47.24M,116.37M,164.96M,281.32M,,,,,,,,,281.32M,,,,,,40.60M,,0.00,281.32M,,285.82M,729.07M,,-0.126M,-0.126M,1.036B,,AOR,Restated
1994-10,140.70M,,140.70M,,,,270.20M,,,,,31.80M,,,202.90M,645.60M,,,,145.70M,-54.40M,91.30M,,,,,,,,,521.10M,612.40M,1.258B,,36.90M,,36.90M,,36.90M,,,,,,,,237.10M,274.00M,,,,,,40.60M,-0.10M,-0.10M,273.90M,,,710.70M,,,,943.50M,,,Restated
1994-07,53.60M,,53.60M,237.60M,,,237.60M,,,,,27.90M,,,188.60M,507.70M,,,,131.80M,-54.40M,77.40M,,,,,,,,,468.60M,546.00M,1.054B,,31.70M,,31.70M,,31.70M,,,,,,,,173.80M,205.50M,,,,,,,,,205.50M,,,620.10M,,,,848.20M,,,Restated
1994-04,95.20M,,95.20M,,,,202.20M,,,,,33.10M,,,133.50M,464.00M,,,,93.60M,-23.50M,70.10M,,,,,,,,,395.60M,465.70M,929.70M,,29.10M,,29.10M,,29.10M,,,,,,,,150.10M,179.20M,,,,,,,,,179.20M,,,530.60M,,,,750.50M,,,Restated
1994-01,64.60M,,64.60M,,,,174.30M,,,,,36.90M,,,96.60M,372.40M,,,,86.20M,-23.50M,62.70M,,,,,,,,,366.60M,429.30M,801.70M,,34.20M,,34.20M,,34.20M,,,,,,,,118.70M,152.90M,,,,,,,,,152.90M,,,446.20M,,,,648.80M,,,Restated
1993-10,2.70M,,2.70M,,,,156.20M,,,,,27.70M,,,100.90M,287.50M,,,,79.20M,-23.50M,55.70M,,,,,,,,,367.00M,422.70M,710.20M,,33.20M,,33.20M,,33.20M,,,,,,,,130.10M,163.30M,,,,,,,,,163.30M,,,368.80M,,,,546.90M,,,
1993-07,27.20M,,27.20M,,,,129.10M,,,,,23.50M,,,88.50M,268.30M,,,,72.20M,-23.50M,48.70M,,,,,,,,,278.20M,326.90M,595.20M,,24.70M,,24.70M,,24.70M,,,,,,,,95.30M,120.00M,,,,,,,,,120.00M,,,318.10M,,,,475.20M,,,Restated
1993-04,44.70M,,44.70M,,,,111.80M,,,,,21.60M,,,128.80M,306.90M,,,,51.00M,-10.30M,40.70M,,,,,,,,,161.30M,202.00M,508.90M,,21.90M,,21.90M,,21.90M,,,,,,,,88.50M,110.40M,,,,,,,,,110.40M,,,264.40M,,,,398.50M,,,
1993-01,60.60M,,60.60M,,,,97.70M,,,,,15.90M,,,138.00M,312.20M,,,,44.10M,-10.30M,33.80M,,,,,,,,,78.90M,112.70M,424.90M,,19.70M,,19.70M,,19.70M,,,,,,,,60.80M,80.50M,,,,,,,,,80.50M,,,218.10M,,,,344.40M,,,
1992-10,43.40M,,43.40M,,,,74.10M,,,,,9.10M,,,153.10M,279.70M,,,,42.40M,-10.30M,32.10M,,,,,,,,,61.40M,93.50M,373.20M,,14.10M,,14.10M,,14.10M,,,,,,,,70.30M,84.40M,,,,,,,,,84.40M,,,179.40M,,,,288.80M,,,
1992-07,40.00M,,40.00M,,,,64.30M,,,,,9.10M,,,133.70M,247.10M,,,,38.30M,-10.30M,28.00M,,,,,,,,,48.80M,76.80M,323.90M,,16.30M,,16.30M,,16.30M,,,,,,,,62.00M,78.30M,,,,,,,,,78.30M,,,146.20M,,,,245.60M,,,
1992-04,24.70M,,24.70M,,,,162.20M,,,,,7.30M,,,14.00M,208.20M,,,,27.50M,-3.80M,23.70M,,,,,,,,,33.70M,57.40M,265.60M,,13.50M,,13.50M,,13.50M,,,,0.60M,0.60M,,,44.10M,58.20M,,,0.40M,,0.40M,,,0.40M,58.60M,,,118.90M,,,,207.00M,,,
1992-01,40.30M,,40.30M,,,,36.00M,,,,,5.90M,,,116.10M,198.30M,,,,23.40M,-3.80M,19.60M,,,,,,,,,0.60M,20.20M,218.50M,,10.70M,,10.70M,,10.70M,,,,1.70M,1.70M,,,32.50M,44.90M,,,0.40M,,0.40M,,-0.10M,0.30M,45.20M,,,95.70M,,,,173.30M,,,
1991-10,40.00M,,40.00M,,,,34.10M,,,,,6.30M,,,89.90M,170.30M,,,,20.20M,-3.80M,16.40M,,,,,,,,,0.70M,17.10M,187.40M,,9.00M,,9.00M,,9.00M,,,,1.90M,1.90M,,,27.80M,38.70M,,,0.40M,,0.40M,,,0.40M,39.10M,,,77.30M,,,,148.30M,,,
1991-07,40.30M,,40.30M,,,,34.70M,,,,,6.10M,,,59.90M,141.00M,,,,16.50M,-3.80M,12.70M,,,,,,,,,0.40M,13.10M,154.10M,,7.70M,,7.70M,,7.70M,,,,,,,,18.60M,26.30M,,,0.40M,,0.40M,,-0.10M,0.30M,26.60M,,,61.80M,,,,127.50M,,,
1991-04,48.90M,,48.90M,,,,28.00M,,,,,6.00M,,,38.10M,121.00M,,,,10.20M,-1.10M,9.10M,,,,,,,,,0.30M,9.40M,130.40M,,6.50M,,6.50M,,6.50M,,,,,,,,23.20M,29.70M,,,0.10M,,0.10M,,0.10M,0.20M,29.90M,,,48.60M,,,,100.50M,,,
1991-01,36.80M,,36.80M,,,,27.80M,,,,,8.50M,,,33.10M,106.20M,,,,7.80M,-1.10M,6.70M,,,,,,,,,0.60M,7.30M,113.50M,,7.30M,,7.30M,,7.30M,,,,,,,,17.40M,24.70M,,,0.10M,,0.10M,,0.10M,0.20M,24.90M,,,36.90M,,,,88.60M,,,
1990-10,30.50M,,30.50M,,,,23.40M,,,,,5.60M,,,34.20M,93.70M,,,,6.00M,-1.10M,4.90M,,,,,,,,,0.40M,5.30M,99.00M,,8.10M,,8.10M,,8.10M,,,,,,,,13.30M,21.40M,,,0.10M,,0.10M,,0.20M,0.30M,21.70M,,,26.50M,,,,77.30M,,,
1990-07,35.80M,,35.80M,,,,15.90M,,,,,3.70M,,,22.80M,78.20M,,,,5.20M,-1.10M,4.10M,,,,,,,,,0.40M,4.50M,82.70M,,5.00M,,5.00M,,5.00M,,,,,,,,8.20M,13.20M,,,0.10M,,0.10M,,0.20M,0.30M,13.50M,,,18.60M,,,,69.20M,,,
1990-04,49.00M,,49.00M,,,,11.30M,,,,,3.20M,,,8.70M,72.20M,,,,3.70M,-0.20M,3.50M,,,,,,,,,0.60M,4.10M,76.30M,,4.90M,,4.90M,,4.90M,,,,,,,,6.50M,11.40M,,,,,,,,0.30M,11.70M,,,14.70M,,,,64.60M,,,
1990-01,6.10M,,6.10M,,,,9.70M,,,,,2.60M,,,2.30M,20.70M,,,,1.80M,-0.20M,1.60M,,,,,,,,,0.20M,1.80M,22.50M,,3.00M,,3.00M,,3.00M,,,,0.10M,0.10M,,,6.20M,9.30M,0.20M,0.20M,0.10M,,0.10M,,-0.10M,0.20M,9.50M,,,5.40M,,,,13.00M,,,
1989-10,3.70M,,3.70M,,,,9.70M,,,,,2.30M,,,1.40M,17.10M,,,,1.40M,-0.20M,1.20M,,,,,,,,,0.40M,1.60M,18.70M,,1.80M,,1.80M,,1.80M,,,,0.10M,0.10M,,,6.50M,8.40M,0.20M,0.20M,,,,,0.10M,0.30M,8.70M,,2.70M,7.20M,2.70M,,,10.00M,,,
1989-07,4.20M,,4.20M,,,,7.40M,,,,,2.60M,,,1.30M,15.50M,,,,1.00M,-0.20M,0.80M,,,,,,,,,0.20M,1.00M,16.50M,,1.50M,,1.50M,,1.50M,,,,0.10M,0.10M,,,7.20M,8.80M,0.20M,0.20M,,,,,0.10M,0.30M,9.10M,,2.70M,5.70M,2.70M,,,7.40M,,,
1988-07,2.30M,,2.30M,,,,0.80M,,,,,1.20M,,,0.20M,4.50M,,,,0.40M,-0.10M,0.30M,,,,,,,,,,0.30M,4.80M,,,,,,,,,,,,,,,1.70M,,,,,,,,2.60M,4.30M,,,0.50M,,,,0.50M,,,
