,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-09,190.15M,190.15M,,190.15M,2.765B,2.765B,1.865B,117.66M,91.44M,,5.030B,,,,,2.781B,2.781B,,2.781B,1.395B,90.39M,1.485B,,332.41M,4.988B,10.02B,,2.079B,509.37M,2.589B,779.97M,3.368B,2.70M,3.576M,6.276M,,6.276M,,,,3.375B,1.970B,,1.970B,734.17M,734.17M,,,641.77M,3.346B,6.720B,,765.18M,5.600B,655.61M,3.785B,61.22M,3.297B,,AOR,
2007-06,,207.87M,,207.87M,2.611B,2.611B,1.714B,142.60M,,,4.676B,0.00,239.21M,2.428B,2.417B,,5.084B,-2.363B,2.721B,1.355B,91.37M,1.447B,,675.47M,4.843B,9.519B,,1.981B,,1.981B,922.58M,2.904B,18.90M,3.568M,22.47M,,22.47M,488.85M,488.85M,,3.415B,1.758B,,1.758B,626.70M,626.70M,,,440.52M,2.825B,6.241B,,765.18M,5.544B,637.15M,3.664B,-4.061M,3.278B,,,
2007-03,,180.94M,,180.94M,2.634B,2.634B,1.693B,66.94M,,,4.575B,,,,,,4.824B,-2.174B,2.650B,1.330B,89.98M,1.420B,,782.65M,4.852B,9.427B,,1.982B,,1.982B,810.22M,2.792B,10.50M,104.88M,115.38M,,115.38M,357.63M,357.63M,119.92M,3.385B,1.633B,,1.633B,688.24M,688.24M,,,385.20M,2.707B,6.092B,,765.18M,5.357B,618.09M,3.472B,67.44M,3.336B,,,
2006-12,,185.86M,,185.86M,2.551B,2.551B,1.718B,69.78M,,,4.525B,,,,,,4.768B,-2.174B,2.594B,1.324B,92.76M,1.417B,,731.01M,4.742B,9.266B,,1.888B,,1.888B,745.89M,2.634B,10.04M,105.08M,115.12M,,115.12M,211.83M,211.83M,282.21M,3.243B,1.756B,,1.756B,700.18M,700.18M,,,381.34M,2.838B,6.081B,,765.18M,5.203B,589.38M,3.434B,62.14M,3.186B,,,Restated
2006-09,,180.72M,,180.72M,2.637B,2.637B,1.716B,74.74M,87.29M,,4.695B,,,,,,4.660B,-2.174B,2.486B,1.330B,96.14M,1.426B,,713.55M,4.626B,9.321B,,1.914B,,1.914B,1.175B,3.089B,6.00M,106.93M,112.93M,,112.93M,,,,3.201B,1.739B,,1.739B,861.78M,861.78M,,,372.15M,2.973B,6.174B,,765.18M,5.083B,555.41M,3.341B,84.17M,3.147B,,,Restated
2006-06,,201.90M,,201.90M,2.484B,2.484B,1.608B,105.84M,,,4.400B,0.00,220.54M,2.141B,2.278B,,4.639B,-2.174B,2.465B,1.303B,95.65M,1.398B,,729.19M,4.592B,8.992B,,1.891B,,1.891B,745.78M,2.637B,29.30M,106.26M,135.56M,,135.56M,453.70M,453.70M,,3.226B,1.627B,,1.627B,723.35M,723.35M,,,362.86M,2.713B,5.940B,,765.18M,4.999B,525.68M,3.323B,84.62M,3.052B,,,
2006-03,,205.60M,,205.60M,2.467B,2.467B,1.601B,72.05M,,,4.346B,,,,,,4.377B,-1.978B,2.399B,1.293B,97.73M,1.390B,,748.27M,4.538B,8.884B,,1.839B,,1.839B,736.80M,2.576B,12.00M,208.57M,220.57M,,220.57M,346.98M,346.98M,47.65M,3.191B,1.787B,,1.787B,692.18M,692.18M,,,413.46M,2.893B,6.084B,,765.18M,4.850B,498.32M,3.333B,19.87M,2.800B,,,
2005-12,,253.94M,,253.94M,2.360B,2.360B,1.673B,65.27M,,,4.352B,,,,,,4.322B,-1.978B,2.344B,,1.346B,1.346B,,767.28M,4.458B,8.810B,,1.813B,,1.813B,689.05M,2.502B,31.81M,209.25M,241.06M,,241.06M,208.22M,208.22M,189.59M,3.141B,1.828B,,1.828B,727.08M,727.08M,,,403.09M,2.958B,6.099B,,765.18M,4.766B,470.27M,3.312B,21.98M,2.711B,,,
2005-09,,177.92M,,177.92M,2.407B,2.407B,1.569B,67.34M,65.18M,,4.286B,,,,,,4.258B,-1.978B,2.281B,,1.324B,1.324B,,715.00M,4.320B,8.606B,,1.806B,,1.806B,1.141B,2.947B,31.61M,210.43M,242.04M,,242.04M,,,,3.189B,1.452B,,1.452B,854.89M,854.89M,,,389.65M,2.696B,5.885B,,765.18M,4.667B,438.69M,3.173B,21.91M,2.720B,,,
2005-06,,191.68M,,191.68M,2.284B,2.284B,1.466B,59.91M,,,4.002B,0.00,208.19M,1.916B,2.121B,,4.246B,-1.978B,2.268B,1.213B,72.58M,1.285B,,712.63M,4.266B,8.268B,,1.796B,,1.796B,742.28M,2.538B,64.00M,410.93M,474.93M,,474.93M,434.34M,434.34M,10.20M,3.458B,956.18M,,956.18M,724.93M,724.93M,,,370.39M,2.051B,5.509B,,765.18M,4.552B,389.05M,2.934B,-13.68M,2.759B,,,
2005-03,,199.52M,,199.52M,2.243B,2.243B,1.490B,63.48M,,,3.996B,,,,,,4.064B,-1.816B,2.248B,,1.268B,1.268B,,655.62M,4.171B,8.167B,,1.770B,,1.770B,698.14M,2.469B,73.04M,365.76M,438.80M,,438.80M,312.36M,312.36M,114.17M,3.334B,1.033B,,1.033B,705.92M,705.92M,,,278.88M,2.018B,5.351B,,765.18M,4.362B,377.07M,2.735B,45.93M,2.816B,,,
2004-12,,152.93M,,152.93M,2.168B,2.168B,1.546B,64.71M,,,3.932B,,,,,,4.048B,-1.816B,2.232B,,1.259B,1.259B,,678.42M,4.169B,8.101B,,1.685B,,1.685B,866.64M,2.551B,67.15M,367.85M,435.01M,,435.01M,183.75M,183.75M,,3.170B,1.102B,,1.102B,716.98M,716.98M,,,268.88M,2.088B,5.258B,,765.18M,4.239B,364.74M,2.579B,52.81M,2.843B,,,
2004-09,,189.60M,,189.60M,2.247B,2.247B,1.457B,65.89M,53.02M,,4.013B,,,,,,4.013B,-1.816B,2.197B,,1.222B,1.222B,,674.50M,4.093B,8.106B,,1.710B,,1.710B,1.037B,2.747B,54.13M,368.78M,422.91M,,422.91M,,,,3.170B,1.082B,,1.082B,836.30M,836.30M,,,254.91M,2.174B,5.344B,,765.18M,4.102B,354.91M,2.495B,34.15M,2.762B,,,
2004-06,,199.71M,,199.71M,2.189B,2.189B,1.404B,58.17M,,,3.851B,0.00,186.63M,1.775B,2.021B,,3.983B,-1.816B,2.167B,,1.219B,1.219B,,610.71M,3.996B,7.848B,,1.743B,,1.743B,724.97M,2.468B,73.83M,162.83M,236.67M,,236.67M,422.42M,422.42M,,3.127B,1.231B,,1.231B,686.70M,686.70M,,,238.29M,2.156B,5.283B,,765.18M,3.960B,332.04M,2.510B,17.64M,2.565B,,,
2004-03,,172.70M,,172.70M,2.087B,2.087B,1.373B,57.13M,,,3.691B,,,,,,3.769B,-1.680B,2.088B,,1.177B,1.177B,,370.81M,3.636B,7.327B,,1.717B,,1.717B,655.98M,2.373B,105.92M,10.30M,116.22M,,116.22M,296.57M,296.57M,67.67M,2.854B,1.420B,,1.420B,561.67M,561.67M,,,222.10M,2.204B,5.058B,,765.18M,3.762B,317.00M,2.430B,-144.86M,2.269B,,,
2003-12,,232.60M,,232.60M,2.086B,2.086B,1.360B,60.20M,,,3.739B,,,,,,3.710B,-1.680B,2.030B,,1.166B,1.166B,,370.73M,3.567B,7.306B,,1.646B,,1.646B,589.39M,2.235B,124.61M,12.32M,136.93M,,136.93M,190.18M,190.18M,172.42M,2.735B,1.396B,,1.396B,524.99M,524.99M,,,283.92M,2.205B,4.940B,,765.18M,3.650B,290.74M,2.198B,-142.03M,2.366B,,,
2003-09,,221.54M,,221.54M,2.124B,2.124B,1.313B,63.43M,53.98M,,3.776B,,,,,,3.639B,-1.680B,1.958B,,1.156B,1.156B,,323.60M,3.438B,7.214B,,1.675B,,1.675B,1.006B,2.681B,87.97M,21.97M,109.93M,,109.93M,,,,2.791B,1.195B,,1.195B,632.94M,632.94M,,,270.87M,2.099B,4.890B,,765.18M,3.511B,278.25M,2.078B,-152.77M,2.325B,,,
2003-06,,337.45M,,337.45M,2.010B,2.010B,1.230B,52.38M,,,3.630B,0.00,174.96M,1.568B,1.860B,,3.603B,-1.680B,1.923B,,1.114B,1.114B,,270.37M,3.307B,6.937B,,1.638B,,1.638B,633.64M,2.271B,101.82M,20.95M,122.77M,,122.77M,307.21M,307.21M,,2.701B,1.249B,,1.249B,498.40M,498.40M,,,290.00M,2.038B,4.739B,,765.18M,3.374B,249.24M,2.038B,-152.38M,2.198B,,,
2003-03,,186.96M,,186.96M,1.947B,1.947B,1.256B,60.78M,,,3.451B,,,,,,3.348B,-1.519B,1.829B,,1.085B,1.085B,,291.22M,3.205B,6.656B,,1.523B,,1.523B,823.34M,2.346B,81.49M,24.68M,106.18M,,106.18M,250.38M,250.38M,,2.703B,1.280B,,1.280B,476.63M,476.63M,,,,1.756B,4.459B,,765.18M,3.202B,246.76M,1.952B,-65.44M,2.197B,,,
2002-12,,128.57M,,128.57M,1.878B,1.878B,1.271B,63.29M,,,3.341B,,,,,,3.324B,-1.519B,1.805B,,1.055B,1.055B,,283.25M,3.143B,6.484B,,1.408B,,1.408B,772.76M,2.181B,64.61M,22.34M,86.95M,,86.95M,158.72M,158.72M,,2.427B,1.395B,,1.395B,461.31M,461.31M,,,,1.856B,4.283B,,765.18M,3.105B,240.17M,1.844B,-65.44M,2.201B,,,
2002-09,,163.19M,,163.19M,1.869B,1.869B,1.227B,73.03M,41.70M,,3.374B,,,,,,3.238B,-1.519B,1.719B,,922.49M,922.49M,,230.09M,2.872B,6.245B,,1.420B,,1.420B,709.14M,2.129B,50.02M,13.47M,63.49M,,63.49M,,,38.24M,2.231B,1.266B,,1.266B,554.69M,554.69M,,,,1.821B,4.052B,,765.18M,2.993B,233.73M,1.733B,-65.44M,2.194B,,,
2002-06,,198.44M,,198.44M,1.761B,1.761B,1.118B,41.97M,34.19M,,3.153B,0.00,131.19M,1.391B,1.695B,,3.217B,-1.519B,1.698B,,922.22M,922.22M,,216.46M,2.836B,5.990B,,1.349B,,1.349B,768.32M,2.118B,66.36M,13.75M,80.11M,,80.11M,,,41.60M,2.239B,1.176B,,1.176B,441.57M,441.57M,,,,1.618B,3.857B,,765.18M,2.869B,217.89M,1.655B,-65.44M,2.133B,,,
2002-03,,346.08M,,346.08M,1.625B,1.625B,1.089B,52.13M,104.99M,,3.218B,,,,,,3.024B,-1.377B,1.646B,,774.69M,774.69M,,187.97M,2.609B,5.827B,,1.305B,,1.305B,653.33M,1.959B,271.20M,11.40M,282.60M,,282.60M,,,,2.241B,877.04M,,877.04M,428.17M,428.17M,,,,1.305B,3.546B,,765.18M,2.783B,213.75M,1.475B,-5.624M,2.281B,,,
2001-12,,115.84M,,115.84M,1.625B,1.625B,1.093B,54.65M,95.65M,,2.984B,,,,,,2.998B,-1.377B,1.620B,,779.97M,779.97M,,194.36M,2.595B,5.579B,,1.237B,,1.237B,560.40M,1.798B,27.65M,12.56M,40.22M,,40.22M,,,94.20M,1.932B,1.079B,,1.079B,335.87M,335.87M,,,,1.414B,3.347B,,765.18M,2.691B,214.20M,1.433B,-5.624M,2.232B,,,
2001-09,,123.59M,,123.59M,1.698B,1.698B,1.139B,65.44M,94.66M,,3.121B,,,,,,2.933B,-1.377B,1.556B,781.73M,,781.73M,,198.09M,2.536B,5.657B,,1.293B,,1.293B,707.52M,2.001B,108.67M,22.66M,131.34M,,131.34M,,,,2.132B,1.081B,,1.081B,263.52M,263.52M,,,,1.345B,3.477B,,765.18M,2.579B,210.15M,1.368B,-5.624M,2.180B,,,
2001-06,135.74M,135.74M,,135.74M,1.658B,1.658B,1.062B,40.46M,88.75M,,2.985B,0.00,120.84M,1.203B,1.572B,,2.896B,-1.377B,1.519B,,,768.84M,,196.21M,2.484B,5.469B,,1.272B,123.33M,1.395B,640.84M,2.036B,30.64M,23.27M,53.91M,,53.91M,,,,2.090B,961.42M,,961.42M,269.68M,269.68M,,,,1.231B,3.321B,,765.18M,2.462B,186.82M,1.261B,-5.624M,2.148B,,AOR,
2001-03,,114.08M,,114.08M,1.636B,1.636B,1.070B,45.06M,90.64M,,2.956B,,,,,,2.745B,-1.262B,1.483B,,706.62M,706.62M,,262.16M,2.452B,5.408B,,1.272B,,1.272B,674.24M,1.946B,32.30M,16.94M,49.24M,,49.24M,,,,1.995B,1.048B,,1.048B,239.70M,239.70M,,,,1.288B,3.283B,,765.18M,2.335B,183.48M,1.159B,,2.125B,,,
2000-12,,117.51M,,117.51M,1.567B,1.567B,1.021B,43.19M,81.67M,,2.830B,,,,,,2.667B,-1.262B,1.404B,,518.57M,518.57M,,234.82M,2.158B,4.988B,,1.197B,,1.197B,589.43M,1.787B,26.12M,22.86M,48.98M,,48.98M,,,,1.836B,1.069B,,1.069B,243.50M,243.50M,,,,1.313B,3.149B,,765.18M,2.242B,16.26M,1.184B,,1.840B,,,
2000-09,,117.58M,,117.58M,1.596B,1.596B,997.14M,45.09M,77.71M,,2.833B,,,,,,2.625B,-1.262B,1.363B,,503.00M,503.00M,,232.63M,2.098B,4.932B,,1.248B,,1.248B,610.54M,1.859B,57.84M,19.17M,77.00M,,77.00M,,,,1.936B,874.88M,,874.88M,246.17M,246.17M,,,,1.121B,3.057B,,382.59M,2.436B,88.07M,1.032B,,1.875B,,,
2000-06,159.13M,159.13M,,159.13M,1.519B,1.519B,937.90M,45.11M,72.04M,,2.733B,0.00,110.55M,1.050B,1.399B,,2.560B,-1.215B,1.345B,,,543.66M,,192.39M,2.081B,4.814B,,1.187B,17.91M,1.205B,527.23M,1.732B,31.11M,19.96M,51.07M,,51.07M,,,,1.783B,1.024B,,1.024B,245.81M,245.81M,,,,1.269B,3.052B,,382.59M,2.332B,76.97M,1.030B,0.00,1.762B,,,Restated
2000-03,,111.76M,,111.76M,1.514B,1.514B,957.64M,,,87.32M,2.671B,,,,,,2.520B,-1.189B,1.331B,,492.82M,492.82M,,234.74M,2.059B,4.729B,,1.207B,,1.207B,,1.207B,,,156.61M,,156.61M,,,498.97M,1.862B,984.38M,,984.38M,224.79M,224.79M,,,,1.209B,3.071B,,382.59M,2.228B,76.53M,1.029B,,1.658B,,,
1999-12,,95.90M,,95.90M,,1.444B,961.80M,,,74.30M,2.576B,,,,,,2.412B,-1.146B,1.265B,,403.60M,403.60M,,173.50M,1.842B,4.418B,,1.060B,,1.060B,,1.060B,,,34.10M,,34.10M,,,460.30M,1.555B,1.133B,,1.133B,229.20M,229.20M,,,,1.362B,2.917B,,382.60M,2.166B,35.30M,1.082B,,1.502B,,,
1999-09,,143.80M,,143.80M,,1.451B,910.70M,,,70.10M,2.576B,,,,,,2.379B,-1.133B,1.246B,,402.40M,402.40M,,175.20M,1.824B,4.399B,,1.091B,,1.091B,,1.091B,,,158.80M,,158.80M,,,423.70M,1.673B,1.055B,,1.055B,234.70M,234.70M,,,,1.290B,2.963B,,382.60M,2.097B,35.20M,1.079B,,1.436B,,,
1999-06,,149.30M,,149.30M,,1.334B,852.00M,,,73.10M,2.409B,,,,,,2.317B,-1.089B,1.228B,,302.10M,302.10M,,158.00M,1.688B,4.097B,,1.013B,,1.013B,,1.013B,,,33.90M,,33.90M,,,380.30M,1.428B,997.70M,,997.70M,244.10M,244.10M,,,0.10M,1.242B,2.669B,,382.60M,2.032B,0.90M,988.30M,,1.427B,,,Restated
1999-03,,112.50M,,112.50M,,1.308B,859.50M,,,65.80M,2.346B,,,,,,2.284B,-1.076B,1.208B,,304.50M,304.50M,,161.70M,1.674B,4.020B,,1.026B,,1.026B,,1.026B,,,125.70M,,125.70M,,,332.20M,1.484B,913.60M,,913.60M,224.50M,224.50M,,,,1.138B,2.622B,,,1.948B,,,,1.398B,,,
1998-12,,109.20M,,109.20M,,1.311B,888.10M,,,62.70M,2.371B,,,,,,2.244B,-1.047B,1.197B,,306.90M,306.90M,,156.30M,1.660B,4.031B,,1.001B,,1.001B,,1.001B,,,126.20M,,126.20M,,,285.20M,1.413B,975.50M,,975.50M,224.50M,224.50M,,,,1.20B,2.613B,,,1.909B,,,,1.418B,,,
1998-09,,108.30M,,108.30M,,1.314B,853.10M,,,64.10M,2.339B,,,,,,2.189B,-1.031B,1.158B,,309.30M,309.30M,,152.80M,1.62B,3.959B,,1.004B,,1.004B,,1.004B,,,129.20M,,129.20M,,,331.60M,1.465B,873.10M,,873.10M,227.00M,227.00M,,,0.10M,1.100B,2.565B,,,1.853B,,,,1.394B,,,
1998-06,,110.30M,,110.30M,,1.216B,790.50M,,,63.70M,2.180B,,,,,,2.143B,-991.90M,1.151B,,308.00M,308.00M,,141.00M,1.600B,3.780B,,849.20M,,849.20M,,849.20M,,,157.30M,,157.30M,,,317.70M,1.324B,867.00M,,867.00M,232.20M,232.20M,,,,1.099B,2.423B,,,1.796B,,,,1.357B,,,
1998-03,,94.90M,,94.90M,,1.178B,777.70M,,,55.50M,2.106B,,,,,,2.076B,-962.60M,1.113B,,241.50M,241.50M,,138.60M,1.494B,3.60B,,888.50M,,888.50M,,888.50M,,,87.80M,,87.80M,,,293.30M,1.270B,747.80M,,747.80M,210.80M,210.80M,,,-0.10M,958.50M,2.228B,,,1.729B,,,,1.372B,,,
1997-12,,99.80M,,99.80M,,1.196B,810.20M,,,52.00M,2.158B,,,,,,1.972B,-873.80M,1.098B,,243.50M,243.50M,,131.40M,1.473B,3.630B,,900.40M,,900.40M,,900.40M,,,40.20M,,40.20M,,,246.80M,1.187B,829.20M,,829.20M,218.20M,218.20M,,,-0.20M,1.047B,2.235B,,,1.856B,,,,1.396B,,,
1997-09,,88.50M,,88.50M,,1.206B,793.60M,,,54.00M,2.142B,,,,,,1.950B,-873.80M,1.076B,,245.50M,245.50M,,172.40M,1.494B,3.636B,,908.40M,,908.40M,,908.40M,,,29.50M,,29.50M,,,298.20M,1.236B,752.60M,,752.60M,240.40M,240.40M,,,-0.10M,992.90M,2.229B,,,1.826B,,,,1.406B,,,
1997-06,,117.70M,,117.70M,,1.065B,733.80M,,,45.10M,1.962B,,,,,,1.932B,-873.80M,1.058B,,247.40M,247.40M,,166.40M,1.472B,3.434B,,827.60M,,827.60M,,827.60M,,,27.60M,,27.60M,,,258.60M,1.114B,685.60M,,685.60M,233.90M,233.90M,,,,919.50M,2.033B,,,1.772B,,,,1.400B,,,
1997-03,,84.10M,,84.10M,,1.075B,745.30M,,,69.10M,1.974B,,,,,,1.798B,-763.50M,1.035B,,249.40M,249.40M,,164.70M,1.449B,3.423B,,827.30M,,827.30M,,827.30M,,,22.60M,,22.60M,,,275.50M,1.125B,623.20M,,623.20M,236.20M,236.20M,,,,859.40M,1.985B,,,1.707B,,,,1.438B,,,
1996-12,,87.70M,,87.70M,,1.094B,766.30M,,,61.80M,2.01B,,,,,,1.788B,-763.50M,1.025B,,251.30M,251.30M,,165.60M,1.442B,3.452B,,806.80M,,806.80M,,806.80M,,,24.90M,,24.90M,,,246.80M,1.078B,683.00M,,683.00M,222.10M,222.10M,,,,905.10M,1.984B,,,1.672B,,,,1.468B,,,
1996-09,,127.90M,,127.90M,,1.132B,761.20M,,,55.90M,2.077B,,,,,,1.765B,-763.50M,1.001B,,253.30M,253.30M,,166.60M,1.421B,3.499B,,862.30M,,862.30M,,862.30M,,,64.70M,,64.70M,,,279.70M,1.207B,580.80M,,580.80M,231.00M,231.00M,,,,811.80M,2.018B,,,1.618B,,,,1.480B,,,
1996-06,,107.80M,,107.80M,,1.040B,723.90M,,,50.80M,1.922B,,,,,,1.754B,-763.50M,990.60M,,250.50M,250.50M,,162.00M,1.403B,3.325B,,779.10M,,779.10M,,779.10M,,,22.30M,,22.30M,,,236.10M,1.038B,581.70M,,581.70M,231.50M,231.50M,,,,813.20M,1.851B,,,1.569B,,,,1.475B,,,
1996-03,,74.30M,,74.30M,,1.050B,736.10M,,,39.90M,1.900B,,,,,,1.666B,-672.90M,993.10M,,252.40M,252.40M,,161.20M,1.407B,3.307B,,808.90M,,808.90M,,808.90M,,,38.20M,,38.20M,,,220.80M,1.068B,559.10M,,559.10M,213.40M,213.40M,,,,772.50M,1.840B,,,1.508B,,,,1.467B,,,
1995-12,,117.20M,,117.20M,,1.018B,742.00M,,,47.90M,1.925B,,,,,,1.644B,-672.90M,971.30M,,254.30M,254.30M,,160.50M,1.386B,3.311B,,766.70M,,766.70M,,766.70M,,,59.20M,,59.20M,,,209.60M,1.036B,569.40M,,569.40M,208.10M,208.10M,,,,777.50M,1.813B,,,1.476B,,,,1.498B,,,
1995-09,,90.30M,,90.30M,,1.038B,730.60M,,,56.70M,1.916B,,,,,,1.600B,-672.90M,926.70M,,256.30M,256.30M,,158.10M,1.341B,3.257B,,806.80M,,806.80M,,806.80M,,,29.10M,,29.10M,,,241.10M,1.077B,535.60M,,535.60M,204.50M,204.50M,,,,740.10M,1.817B,,,1.425B,,,,1.440B,,,
1995-06,,133.90M,,133.90M,,932.50M,667.90M,,,52.60M,1.787B,,,,,,1.569B,-672.90M,896.10M,,258.20M,258.20M,,153.50M,1.308B,3.095B,,708.40M,,708.40M,,708.40M,,,7.80M,,7.80M,,,228.50M,944.70M,541.60M,,541.60M,204.80M,204.80M,,,,746.40M,1.691B,,,1.379B,,,,1.404B,,,
1995-03,,78.10M,,78.10M,,934.50M,677.30M,,,45.90M,1.736B,,,,,,1.371B,-495.70M,875.70M,,260.10M,260.10M,,149.70M,1.286B,3.021B,,702.60M,,702.60M,,702.60M,,,56.10M,,56.10M,,,203.60M,962.30M,530.30M,,530.30M,196.60M,196.60M,,,-0.10M,726.80M,1.689B,,,1.322B,,,,1.332B,,,
1994-12,,84.20M,,84.20M,,919.30M,703.30M,,,57.80M,1.765B,,,,,,1.336B,-495.70M,839.80M,,262.10M,262.10M,,146.80M,1.249B,3.013B,,688.50M,,688.50M,,688.50M,,,69.70M,,69.70M,,,183.30M,941.50M,561.10M,,561.10M,202.60M,202.60M,,,-0.10M,763.60M,1.705B,,,1.290B,,,,1.308B,,,
1994-09,,75.50M,,75.50M,,935.70M,672.40M,,,57.20M,1.741B,,,,,,1.322B,-495.70M,826.10M,,264.00M,264.00M,,139.60M,1.230B,2.970B,,705.50M,,705.50M,,705.50M,,,41.50M,,41.50M,,,217.70M,964.70M,535.40M,,535.40M,188.20M,188.20M,,,-0.10M,723.50M,1.688B,,,1.243B,,,,1.282B,,,
1994-06,,86.70M,,86.70M,,856.40M,602.00M,,,54.50M,1.600B,,,,,,1.313B,-495.70M,817.20M,,266.00M,266.00M,,128.90M,1.212B,2.812B,,632.40M,,632.40M,,632.40M,,,9.00M,,9.00M,,,205.20M,846.60M,538.70M,,538.70M,185.50M,185.50M,,,,724.20M,1.571B,,,1.201B,,,,1.241B,,,
1994-03,,64.10M,,64.10M,,859.30M,612.50M,,,58.20M,1.594B,,,,,,1.298B,-495.70M,801.80M,,263.60M,263.60M,,112.60M,1.178B,2.772B,,647.50M,,647.50M,,647.50M,,,27.90M,,27.90M,,,199.70M,875.10M,512.30M,,512.30M,173.80M,173.80M,,,,686.10M,1.561B,,,1.150B,,,,1.211B,,,
1993-12,,50.80M,,50.80M,,829.00M,640.20M,,,51.30M,1.571B,,,,,,1.286B,-495.70M,790.40M,,265.50M,265.50M,,107.40M,1.163B,2.735B,,568.60M,,568.60M,,568.60M,,,63.40M,,63.40M,,,164.80M,796.80M,565.80M,,565.80M,167.40M,167.40M,,,,733.20M,1.53B,,,1.121B,,,,1.205B,,,
1993-09,,61.90M,,61.90M,,854.40M,598.50M,,,50.80M,1.566B,,,,,,1.274B,-495.70M,778.00M,,267.60M,267.60M,,99.90M,1.146B,2.711B,,630.30M,,630.30M,,630.30M,,,36.20M,,36.20M,,,195.50M,862.00M,514.10M,,514.10M,161.80M,161.80M,,,-0.10M,675.80M,1.538B,,,1.078B,,,,1.173B,,,
1993-06,,68.80M,,68.80M,,770.60M,534.20M,,,46.10M,1.420B,,,,,,1.256B,-495.70M,759.90M,,267.10M,267.10M,,83.60M,1.111B,2.530B,,550.50M,,550.50M,,550.50M,,,10.00M,,10.00M,,,186.00M,746.50M,494.10M,,494.10M,152.30M,152.30M,,,0.20M,646.60M,1.393B,,,1.043B,,,,1.137B,,,
1993-03,,68.00M,,68.00M,,745.70M,547.30M,,,22.30M,1.383B,,,,,,1.184B,-424.50M,760.00M,,269.10M,269.10M,,78.90M,1.108B,2.491B,,558.30M,,558.30M,,558.30M,,,22.40M,,22.40M,,,181.50M,762.20M,458.10M,,458.10M,109.70M,109.70M,,,,567.80M,1.33B,,,990.40M,,,,1.161B,,,
1992-12,,59.40M,,59.40M,,743.90M,552.50M,,,17.60M,1.373B,,,,,,1.177B,-424.50M,752.80M,,269.60M,269.60M,,77.50M,1.100B,2.473B,,545.30M,,545.30M,,545.30M,,,3.70M,,3.70M,,,158.10M,707.10M,493.40M,,493.40M,106.90M,106.90M,,,-0.30M,600.00M,1.307B,,,960.90M,,,,1.166B,,,
1992-09,,68.40M,,68.40M,,736.70M,535.80M,,,15.20M,1.356B,,,,,,1.164B,-424.50M,739.70M,,266.00M,266.00M,,74.70M,1.080B,2.436B,,566.50M,,566.50M,,566.50M,,,24.30M,,24.30M,,,189.10M,779.90M,479.80M,,479.80M,103.80M,103.80M,,,0.10M,583.70M,1.364B,,,920.10M,,,,1.073B,,,
1992-06,,74.40M,,74.40M,,660.30M,491.60M,,,14.10M,1.240B,,,,,,1.159B,-424.50M,734.40M,,267.80M,267.80M,,59.00M,1.061B,2.302B,,488.80M,,488.80M,,488.80M,,,13.00M,,13.00M,,,153.60M,655.40M,488.80M,,488.80M,100.50M,100.50M,,,0.10M,589.40M,1.245B,,,890.10M,,,,1.057B,,,
1992-03,,58.80M,,58.80M,,657.00M,498.10M,,,18.50M,1.232B,,,,,,1.075B,-358.90M,716.40M,,269.70M,269.70M,,52.10M,1.038B,2.271B,,508.60M,,508.60M,,508.60M,,,8.30M,,8.30M,,,138.40M,655.30M,479.60M,,479.60M,103.00M,103.00M,,,-0.10M,582.50M,1.238B,,,876.00M,,,,1.033B,,,
1991-12,,52.30M,,52.30M,,649.30M,501.60M,,,19.70M,1.223B,,,,,,1.076B,-358.90M,716.70M,,271.50M,271.50M,,52.10M,1.040B,2.263B,,467.50M,,467.50M,,467.50M,,,24.40M,,24.40M,,,133.50M,625.40M,538.10M,,538.10M,97.50M,97.50M,,,,635.60M,1.261B,,,849.20M,,,,1.002B,,,
1991-09,,55.60M,,55.60M,,656.50M,502.30M,,,16.80M,1.231B,,,,,,1.069B,-358.90M,710.10M,,273.30M,273.30M,,44.70M,1.028B,2.259B,,506.90M,,506.90M,,506.90M,,,9.20M,,9.20M,,,153.20M,669.30M,535.60M,,535.60M,92.00M,92.00M,,,,627.60M,1.297B,,,811.90M,,,,962.40M,,,
