,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-03,2.208B,2.208B,1.752B,456.00M,259.00M,63.00M,,,-10.00M,,,,-34.00M,288.00M,168.00M,,,,24.00M,,135.00M,34.00M,97.00M,,-4.00M,,97.00M,104.48M,239.00M,71.00M,168.00M,,0.55,0.00,,,0.5926,0.55,,0.49,0.00,,,0.5268,0.49,,175.60M,203.20M,0.075,,,
2004-12,2.349B,2.349B,1.876B,473.00M,281.00M,66.00M,,,9.00M,,,,,347.00M,126.00M,,,,47.00M,,142.00M,12.00M,119.00M,,-11.00M,,119.00M,110.76M,198.00M,72.00M,126.00M,,0.69,0.00,,,0.6427,0.69,,0.61,0.00,,,0.5683,0.61,,174.34M,197.78M,0.075,,,
2004-09,2.194B,2.194B,1.76B,434.00M,260.00M,60.00M,,,8.00M,,,,,320.00M,114.00M,,,,34.00M,,118.00M,-4.00M,116.00M,,-6.00M,,116.00M,111.20M,183.00M,69.00M,114.00M,,0.6775,0.00,,,0.6495,0.6775,,0.60,0.00,,,0.5752,0.60,,171.22M,193.33M,0.075,,,
2004-06,2.124B,2.124B,1.696B,428.00M,251.00M,59.00M,,,1.00M,,,,,310.00M,118.00M,,,,30.00M,,121.00M,34.00M,82.00M,,-5.00M,,82.00M,81.28M,185.00M,67.00M,118.00M,,0.4925,0.00,,,0.4882,0.4925,,0.44,0.00,,,0.4361,0.44,,166.50M,186.36M,0.075,,,
2004-03,1.771B,1.771B,1.426B,345.00M,223.00M,56.00M,,,-6.00M,,,,,279.00M,66.00M,,,,12.00M,,51.00M,14.00M,33.00M,,-4.00M,,33.00M,37.35M,124.00M,58.00M,66.00M,,0.2025,0.00,,,0.2294,0.2025,,0.19,0.00,,,0.2130,0.19,,162.00M,189.20M,0.075,,,
2003-12,1.736B,1.736B,1.40B,336.00M,227.00M,52.00M,,,-43.00M,,,,,279.00M,57.00M,,,,27.00M,,34.00M,7.00M,47.00M,,-5.00M,,43.00M,81.15M,113.00M,56.00M,57.00M,,0.2975,-0.0225,,,0.5081,0.275,,0.295,-0.0225,,,0.5015,0.2725,,162.13M,165.33M,0.075,,,
2003-09,1.634B,1.634B,1.341B,293.00M,208.00M,51.00M,,,27.00M,,,,,259.00M,34.00M,,,,27.00M,,36.00M,9.00M,24.00M,,-3.00M,,24.00M,3.75M,85.00M,51.00M,34.00M,,0.155,0.00,,,0.0242,0.155,,0.15,0.00,,,0.0234,0.15,,154.84M,160.00M,0.075,,,
2003-06,1.539B,1.539B,1.263B,276.00M,200.00M,50.00M,,,20.00M,,,,,250.00M,26.00M,,,,20.00M,,19.00M,5.00M,14.00M,,-2.00M,,14.00M,-0.7368M,80.00M,54.00M,26.00M,,0.085,0.00,,,-0.0045,0.085,,0.085,0.00,,,-0.0045,0.085,,164.71M,164.71M,0.075,,,
2003-03,1.387B,1.387B,1.173B,214.00M,195.00M,46.00M,,,6.00M,,,,,241.00M,-27.00M,,,,13.00M,,-34.00M,-10.00M,-34.00M,,-4.00M,,-34.00M,-38.24M,28.00M,55.00M,-27.00M,,-0.215,0.00,,,-0.2422,-0.215,,-0.215,0.00,,,-0.2422,-0.215,,155.60M,155.60M,0.075,,,
2002-12,1.414B,1.414B,1.179B,235.00M,172.00M,37.00M,,,-18.00M,,,,,209.00M,26.00M,,,,4.00M,,-22.00M,-50.00M,56.00M,,-4.00M,,59.00M,66.80M,77.00M,51.00M,26.00M,,0.3625,0.0175,,,0.4279,0.38,,0.3625,0.0175,,,0.4279,0.38,,165.14M,165.14M,0.075,,,
2002-09,1.648B,1.648B,1.338B,310.00M,192.00M,53.00M,,,13.00M,,,,,245.00M,65.00M,,,,13.00M,,63.00M,15.00M,39.00M,,-4.00M,,39.00M,29.10M,122.00M,57.00M,65.00M,,0.2575,0.00,,,0.1921,0.2575,,0.24,0.00,,,0.1790,0.24,,151.46M,162.50M,0.075,,,
2002-06,1.458B,1.458B,1.181B,277.00M,186.00M,55.00M,,,12.00M,,,,,241.00M,36.00M,,,,12.00M,,29.00M,7.00M,16.00M,,-5.00M,,16.00M,6.897M,89.00M,53.00M,36.00M,,0.1025,0.00,,,0.0442,0.1025,,0.10,0.00,,,0.0431,0.10,,156.10M,160.00M,0.075,,,
2002-03,1.333B,1.333B,1.107B,226.00M,186.00M,56.00M,,,1.00M,,,,,242.00M,-16.00M,,,,1.00M,,-29.00M,-9.00M,-29.00M,3.00M,-3.00M,,-26.00M,-29.69M,38.00M,54.00M,-16.00M,,-0.1725,0.0175,0.00,,-0.1766,-0.155,,-0.1725,0.0175,0.0179,,-0.1766,-0.155,,167.74M,167.74M,0.075,,,
2001-12,1.463B,1.463B,1.206B,257.00M,178.00M,56.00M,,,-7.00M,,,,,234.00M,23.00M,,,,3.00M,,-16.00M,0.00,2.00M,,-3.00M,,2.00M,9.00M,75.00M,52.00M,23.00M,,0.01,0.00,,,0.0565,0.01,,0.01,0.00,,,0.0565,0.01,,150.52M,150.52M,0.075,,,
2001-09,1.408B,1.408B,1.153B,255.00M,177.00M,53.00M,,,5.00M,,,,,230.00M,25.00M,,,,5.00M,,15.00M,2.00M,3.00M,,-4.00M,,3.00M,-1.333M,82.00M,57.00M,25.00M,,0.02,0.00,,,-0.0089,0.02,,0.02,0.00,,,-0.0089,0.02,,150.00M,150.00M,0.075,,,
2001-06,1.461B,1.461B,1.192B,269.00M,183.00M,58.00M,,,-122.00M,,,,,241.00M,28.00M,,,,-122.00M,,-117.00M,-39.00M,-82.00M,,-4.00M,,-82.00M,-0.6667M,87.00M,59.00M,28.00M,,-0.535,0.00,,,-0.0044,-0.535,,-0.535,0.00,,,-0.0044,-0.535,,153.27M,153.27M,0.075,,,
2001-03,1.349B,1.349B,1.117B,232.00M,183.00M,53.00M,,,-2.00M,,,,,236.00M,-4.00M,,,,-2.00M,,-29.00M,-7.00M,-26.00M,,-4.00M,,-26.00M,-24.48M,55.00M,59.00M,-4.00M,,-0.17,0.00,,,-0.1601,-0.17,,-0.17,0.00,,,-0.1601,-0.17,,152.80M,152.80M,0.075,,,
2000-12,1.608B,1.608B,1.337B,271.00M,194.00M,66.00M,,,-172.00M,,,,,260.00M,11.00M,,,,-165.00M,,-193.00M,-68.00M,-114.00M,,-3.00M,,-114.00M,-2.601M,71.00M,60.00M,11.00M,,-0.7525,0.00,,,-0.1433,-0.7525,,-0.7525,0.00,,,-0.1433,-0.7525,,182.86M,182.86M,0.075,,,
2000-09,1.572B,1.572B,1.262B,310.00M,195.00M,62.00M,,,8.00M,,,,,257.00M,53.00M,,,,8.00M,,39.00M,9.00M,25.00M,,-5.00M,,25.00M,18.85M,116.00M,63.00M,53.00M,,0.165,0.00,,,0.1244,0.165,,0.165,0.00,,,0.1244,0.165,,151.52M,151.52M,0.075,,,
2000-06,1.769B,1.769B,1.418B,351.00M,190.00M,59.00M,,,5.00M,,,,,249.00M,102.00M,,,,5.00M,,86.00M,22.00M,61.00M,,-3.00M,,61.00M,57.28M,162.00M,60.00M,102.00M,,0.405,0.00,,,0.3803,0.405,,0.405,0.00,,,0.3803,0.405,,150.62M,150.62M,0.075,,,
2000-03,1.648B,1.648B,1.313B,335.00M,194.00M,59.00M,,,-1.00M,,,,,253.00M,82.00M,,,,-1.00M,,62.00M,17.00M,42.00M,,-3.00M,,42.00M,42.73M,139.00M,57.00M,82.00M,,0.2725,0.00,,,0.2772,0.2725,,0.2725,0.00,,,0.2772,0.2725,,152.80M,153.20M,0.075,,,
1999-12,1.836B,1.836B,1.451B,385.00M,211.00M,64.00M,,,-63.00M,,,,,275.00M,110.00M,,,,-63.00M,,28.00M,1.00M,25.00M,,-2.00M,,25.00M,85.75M,171.00M,61.00M,110.00M,,0.165,0.00,,,0.5580,0.165,,0.1625,0.00,,,0.5555,0.1625,,154.58M,154.58M,0.075,,,
1999-09,1.631B,1.631B,1.27B,361.00M,192.00M,67.00M,,,-11.00M,,,,,259.00M,102.00M,,,,-11.00M,,73.00M,19.00M,53.00M,,-1.00M,,53.00M,61.14M,160.00M,58.00M,102.00M,,0.3425,0.00,,,0.3956,0.3425,,0.3375,0.00,,,0.3898,0.3375,,153.20M,155.60M,0.0688,,,
1999-06,1.667B,1.667B,1.296B,371.00M,200.00M,60.00M,,,-8.00M,,,,,260.00M,111.00M,,,,-8.00M,,84.00M,25.00M,58.00M,,-1.00M,,58.00M,63.62M,169.00M,58.00M,111.00M,,0.3775,0.00,,,0.4140,0.3775,,0.375,0.00,,,0.4113,0.375,,154.00M,154.80M,0.0688,,,
1999-03,1.505B,1.505B,1.204B,301.00M,178.00M,54.00M,,,-14.00M,,,,,232.00M,69.00M,,,,-14.00M,,36.00M,10.00M,24.00M,,-2.00M,,24.00M,34.11M,125.00M,56.00M,69.00M,,0.1575,0.00,,,0.2232,0.1575,,0.1575,0.00,,,0.2232,0.1575,,154.00M,154.00M,0.0688,,,
1998-12,1.606B,1.606B,1.281B,325.00M,195.00M,62.00M,,,-7.00M,,,,,257.00M,68.00M,,,,-7.00M,,42.00M,11.00M,29.00M,,-2.00M,,29.00M,34.17M,119.00M,51.00M,68.00M,,0.1875,0.00,,,0.2222,0.1875,,0.1875,0.00,,,0.2222,0.1875,,148.91M,148.91M,0.0688,,,
1998-09,1.525B,1.525B,1.218B,307.00M,191.00M,61.00M,,,-181.00M,,,,,252.00M,55.00M,,,,-181.00M,,-143.00M,-35.00M,-110.00M,,-2.00M,,-110.00M,26.70M,105.00M,50.00M,55.00M,,-0.715,0.00,,,0.1727,-0.715,,-0.715,0.00,,,0.1727,-0.715,,154.00M,154.00M,0.0688,,,
1998-06,1.635B,1.635B,1.266B,369.00M,199.00M,65.00M,,,-6.00M,,,,,264.00M,105.00M,,,,-6.00M,,81.00M,24.00M,53.00M,,-4.00M,,53.00M,57.22M,156.00M,51.00M,105.00M,,0.3475,0.00,,,0.3749,0.3475,,0.345,0.00,,,0.3722,0.345,,154.00M,155.20M,0.0688,,,
1998-03,1.50B,1.50B,1.16B,340.00M,202.00M,67.00M,,,-40.00M,,,,,269.00M,71.00M,,,,-40.00M,,14.00M,4.00M,7.00M,,-3.00M,,7.00M,35.57M,118.00M,47.00M,71.00M,,0.045,0.00,,,0.2305,0.045,,0.045,0.00,,,0.2286,0.045,,154.00M,155.60M,0.0688,,,
1997-12,1.559B,1.559B,1.198B,361.00M,199.00M,71.00M,,,5.00M,,,,,270.00M,91.00M,,,,5.00M,,87.00M,23.00M,64.00M,,,,64.00M,60.32M,131.00M,40.00M,91.00M,,0.42,0.00,,,0.3958,0.42,,0.415,0.00,,,0.3912,0.415,,152.29M,154.28M,0.0688,,,
1997-09,1.366B,1.366B,1.057B,309.00M,181.00M,64.00M,,,10.00M,,,,,245.00M,64.00M,,,,10.00M,,69.00M,15.00M,54.00M,,,,54.00M,46.17M,102.00M,38.00M,64.00M,,0.3525,0.00,,,0.3014,0.3525,,0.345,0.00,,,0.295,0.345,,153.19M,156.52M,0.0688,,,
1997-06,1.396B,1.396B,1.072B,324.00M,186.00M,64.00M,,,7.00M,,,,,250.00M,74.00M,,,,7.00M,,74.00M,21.00M,53.00M,,,,53.00M,47.99M,115.00M,41.00M,74.00M,,0.35,0.00,,,0.3173,0.35,,0.345,0.00,,,0.3126,0.345,,153.20M,154.80M,0.0688,,,
1997-03,1.304B,1.304B,1.018B,286.00M,178.00M,61.00M,,,14.00M,,,,,239.00M,47.00M,,,,14.00M,,56.00M,15.00M,41.00M,,,,41.00M,30.75M,86.00M,39.00M,47.00M,,0.2675,0.00,,,0.2006,0.2675,,0.265,0.00,,,0.1983,0.265,,153.20M,153.60M,0.0625,,,
1996-12,1.361B,1.361B,1.062B,299.00M,188.00M,64.00M,,,8.00M,,,,,252.00M,47.00M,,,,8.00M,,50.00M,9.00M,41.00M,,,,41.00M,34.44M,85.00M,38.00M,47.00M,,0.26,0.00,,,0.2182,0.26,,0.2575,0.00,,,0.2161,0.2575,,156.80M,158.40M,0.125,,,
1996-09,1.264B,1.264B,994.00M,270.00M,177.00M,60.00M,,,3.00M,,,,,237.00M,33.00M,,,,3.00M,,31.00M,5.00M,26.00M,,,,26.00M,23.48M,68.00M,35.00M,33.00M,,0.1675,0.00,,,0.1516,0.1675,,0.1675,0.00,,,0.1516,0.1675,,158.40M,158.40M,0.0625,,,
1996-06,1.316B,1.316B,1.016B,300.00M,180.00M,66.00M,,,12.00M,,,,,246.00M,54.00M,,,,12.00M,,62.00M,18.00M,44.00M,,,,44.00M,35.48M,92.00M,38.00M,54.00M,,0.275,0.00,,,0.2218,0.275,,0.275,0.00,,,0.2219,0.275,,160.00M,160.40M,0.0625,,,
1996-03,1.316B,1.316B,1.00B,316.00M,180.00M,62.00M,,,1.00M,,,,,242.00M,74.00M,,,,1.00M,,71.00M,22.00M,49.00M,,,,49.00M,48.31M,112.00M,38.00M,74.00M,,0.3025,0.00,,,0.2982,0.3025,,0.3025,0.00,,,0.2982,0.3025,,160.80M,161.20M,0.0625,,,
1995-12,1.331B,1.331B,1.019B,312.00M,174.00M,68.00M,,,-122.00M,,,,,242.00M,70.00M,,,,-122.00M,,-55.00M,-97.00M,42.00M,,,,42.00M,115.20M,107.00M,37.00M,70.00M,,0.2625,0.00,,,0.7175,0.2625,,0.2625,0.00,,,0.7175,0.2625,,160.88M,160.88M,0.0625,,,
1995-09,1.219B,1.219B,943.00M,276.00M,154.00M,62.00M,,,-2.00M,,,,,216.00M,60.00M,,,,-2.00M,,55.00M,9.00M,46.00M,,,,46.00M,47.67M,96.00M,36.00M,60.00M,,0.285,0.00,,,0.2954,0.285,,0.285,0.00,,,0.2954,0.285,,161.20M,161.60M,0.0625,,,
1995-06,1.361B,1.361B,1.021B,340.00M,181.00M,67.00M,,,1.00M,,,,,248.00M,92.00M,,,,1.00M,,90.00M,21.00M,69.00M,,,,69.00M,68.23M,127.00M,35.00M,92.00M,,0.4225,0.00,,,0.4178,0.4225,,0.4225,0.00,,,0.4178,0.4225,,162.80M,163.20M,0.0625,,,
1995-03,1.334B,1.334B,991.00M,343.00M,183.00M,66.00M,,,-3.00M,,,,,249.00M,94.00M,,,,-3.00M,,87.00M,20.00M,67.00M,,,,67.00M,69.31M,129.00M,35.00M,94.00M,,0.4075,0.00,,,0.4215,0.4075,,0.4075,0.00,,,0.4215,0.4075,,164.80M,165.20M,0.0625,,,
1994-12,1.278B,1.278B,953.50M,324.10M,170.70M,67.80M,,,-0.30M,,,,,238.50M,85.60M,,,,-0.30M,,81.40M,11.20M,70.20M,,,,70.20M,70.46M,117.70M,32.10M,85.60M,,0.42,0.00,,,0.4216,0.42,,0.42,0.00,,,0.4216,0.42,,166.66M,166.66M,0.0625,,,
1994-09,1.156B,1.156B,861.40M,294.10M,161.20M,59.50M,,,3.10M,,,,,220.70M,73.40M,,,,3.10M,,71.90M,10.00M,61.90M,,,,61.90M,59.23M,107.00M,33.60M,73.40M,,0.37,0.00,,,0.354,0.37,,0.37,0.00,,,0.354,0.37,,166.80M,166.80M,0.0313,,,
1994-06,1.205B,1.205B,907.20M,297.70M,160.80M,56.40M,,,0.70M,,,,,217.20M,80.50M,,,,0.70M,,76.60M,10.40M,66.20M,,,,66.20M,65.60M,113.50M,33.00M,80.50M,,0.395,0.00,,,0.3914,0.395,,0.395,0.00,,,0.3914,0.395,,166.80M,166.80M,0.0313,,,
1994-03,1.099B,1.099B,828.60M,270.60M,148.60M,54.00M,,,,,,,,202.60M,68.00M,,,,,,63.50M,8.90M,54.60M,,,,54.60M,54.60M,97.00M,29.00M,68.00M,,0.3375,0.00,,,0.3375,0.3375,,0.3375,0.00,,,0.3375,0.3375,,161.20M,161.20M,0.0313,,,
1993-12,1.118B,1.118B,801.80M,316.00M,212.20M,,,,-4.80M,,,,,242.30M,73.70M,,,,-4.80M,,60.30M,7.70M,52.60M,,0.00,1.90M,47.10M,56.79M,103.80M,30.10M,73.70M,,0.3525,-0.04,,,0.3814,0.3125,,0.35,-0.04,,,0.3789,0.3125,,144.84M,144.84M,0.0313,,,
1993-09,988.30M,988.30M,717.70M,270.60M,189.00M,,,,-0.60M,,,,,220.20M,50.40M,,,,-0.60M,,,,40.70M,,-0.10M,2.00M,40.70M,41.06M,81.60M,31.20M,50.40M,,0.2775,0.00,,,0.2801,0.2775,,0.265,0.00,,,0.2675,0.265,,139.46M,146.04M,0.0063,,,
1993-06,1.093B,1.093B,800.70M,292.70M,197.40M,,,,2.00M,,,,,229.50M,63.20M,,,,2.00M,,56.10M,7.90M,48.20M,,,2.00M,48.20M,46.48M,95.30M,32.10M,63.20M,,0.3325,0.00,,,0.3201,0.3325,,0.3125,0.00,,,0.3009,0.3125,,138.95M,147.84M,0.0063,,,
1993-03,1.048B,1.048B,765.70M,282.70M,190.20M,,,,-3.40M,,,,,221.90M,60.80M,,,,-3.40M,,47.80M,6.70M,41.10M,,,2.10M,41.10M,44.02M,92.50M,31.70M,60.80M,,0.28,0.00,,,0.3010,0.28,,0.2675,0.00,,,0.2876,0.2675,,139.29M,145.79M,0.0063,,,
1992-12,1.016B,1.016B,759.40M,256.80M,199.50M,,,,-2.80M,,,,,229.70M,27.10M,,,,-2.80M,,14.00M,-13.00M,27.00M,,0.10M,2.00M,-238.10M,28.68M,57.30M,30.20M,27.10M,,0.18,-2.01,,-0.1072,0.1924,-1.83,,0.18,-2.01,,-0.1072,0.1924,-1.83,,135.56M,135.56M,0.0063,,,
1992-09,903.60M,903.60M,667.40M,236.20M,172.10M,,,,-2.90M,,,,,201.90M,34.30M,,,,-2.90M,,21.40M,7.40M,14.00M,,0.40M,2.00M,17.60M,15.90M,64.10M,29.80M,34.30M,,0.0875,0.0275,,0.0265,0.1015,0.115,,0.0875,0.0275,,0.0265,0.1015,0.115,,135.65M,135.65M,0.0063,,,
1992-06,948.10M,948.10M,700.80M,247.30M,173.70M,,,,-4.00M,,,,,205.60M,41.70M,,,,-4.00M,,27.20M,9.70M,17.50M,,-0.60M,2.00M,22.40M,20.07M,73.60M,31.90M,41.70M,,0.1175,0.0375,,0.0372,0.1371,0.155,,0.1175,0.0375,,0.0372,0.1371,0.155,,131.61M,131.61M,0.0063,,,
1992-03,881.30M,881.30M,656.60M,224.70M,166.70M,,,,-3.40M,,,,,197.30M,27.40M,,,,-3.40M,,13.40M,4.80M,8.60M,,-0.30M,2.00M,8.60M,10.78M,58.00M,30.60M,27.40M,,0.0575,0.00,,,0.0765,0.0575,,0.0575,0.00,,,0.0765,0.0575,,114.78M,114.78M,0.0063,,,
1991-12,865.50M,865.50M,653.80M,211.70M,164.20M,,,,-3.70M,,,,,194.40M,17.30M,,,,-3.70M,,1.00M,3.30M,-2.30M,,-1.70M,2.00M,-2.30M,-0.08M,47.50M,30.20M,17.30M,,-0.035,0.00,,,-0.0164,-0.035,,-0.035,0.00,,,-0.0164,-0.035,,119.45M,119.45M,0.0063,,,
1991-09,850.90M,850.90M,663.40M,187.50M,149.50M,,,,-3.80M,,,,,181.90M,5.60M,,,,-3.80M,,-8.70M,3.10M,-11.80M,,-0.30M,2.00M,-11.80M,-9.52M,38.00M,32.40M,5.60M,,-0.1175,0.00,,,-0.0981,-0.1175,,-0.1175,0.00,,,-0.0981,-0.1175,,117.45M,117.45M,0.0063,,,
1991-06,877.60M,877.60M,689.10M,188.50M,154.80M,,,,-1.30M,,,,,187.10M,1.40M,,,,-1.30M,,-12.00M,5.20M,-17.20M,,-1.10M,2.00M,-17.20M,-16.42M,33.70M,32.30M,1.40M,,-0.1625,0.00,,,-0.1559,-0.1625,,-0.1625,0.00,,,-0.1559,-0.1625,,118.15M,118.15M,0.0063,,,
1991-03,811.50M,811.50M,643.20M,168.30M,150.80M,,,,-3.90M,,,,,183.10M,-14.80M,,,,-3.90M,,-29.00M,5.30M,-34.30M,,0.10M,2.00M,-34.30M,-31.96M,17.50M,32.30M,-14.80M,,-0.305,0.00,,,-0.2853,-0.305,,-0.305,0.00,,,-0.2853,-0.305,,119.02M,119.02M,0.0688,,,
1990-12,899.30M,899.30M,726.60M,172.70M,167.80M,,,,-78.40M,,,,,204.60M,-31.90M,,,,-78.40M,,-116.80M,7.50M,-124.30M,,2.90M,2.00M,-124.30M,-77.26M,4.90M,36.80M,-31.90M,,-1.24,0.00,,,-0.8441,-1.24,,-1.24,0.00,,,-0.8441,-1.24,,118.82M,118.82M,0.0688,,,
1990-09,829.80M,829.80M,673.90M,155.90M,155.80M,,,,-2.50M,,,,,192.30M,-36.40M,,,,-2.50M,,-48.30M,7.50M,-55.80M,,0.80M,2.50M,-55.80M,-54.30M,0.10M,36.50M,-36.40M,,-0.515,0.00,,,-0.5018,-0.515,,-0.515,0.00,,,-0.5018,-0.515,,113.20M,113.20M,0.0688,,,
1990-06,871.30M,871.30M,659.10M,212.20M,153.20M,,,,-0.20M,,,,,187.40M,24.80M,,,,-0.20M,,11.20M,5.10M,6.10M,,-1.30M,4.60M,6.10M,6.22M,59.00M,34.20M,24.80M,,0.02,0.00,,,0.0216,0.02,,0.02,0.00,,,0.0216,0.02,,75.00M,75.00M,0.0688,,,
1990-03,861.40M,861.40M,654.10M,207.30M,154.90M,,,,9.80M,,,,,190.80M,16.50M,,,,9.80M,,13.80M,4.90M,8.90M,,-0.30M,4.60M,8.90M,2.580M,52.40M,35.90M,16.50M,,0.0525,0.00,,,-0.0247,0.0525,,0.0525,0.00,,,-0.0247,0.0525,,81.90M,81.90M,0.0688,,,
1989-12,855.90M,855.90M,630.80M,225.10M,191.90M,,,,10.00M,,,,,226.80M,-1.70M,,,,10.00M,,-6.70M,3.00M,-9.70M,,-1.50M,3.00M,-9.70M,-15.70M,33.20M,34.90M,-1.70M,,-0.15,0.00,,,-0.2133,-0.15,,-0.15,0.00,,,-0.2133,-0.15,,94.74M,94.74M,0.0688,,,
1989-09,807.60M,807.60M,620.80M,186.80M,177.60M,,,,1.40M,,,,,211.00M,-24.20M,,,,1.40M,,-36.00M,3.70M,-39.70M,,0.10M,2.80M,-39.70M,-40.54M,9.20M,33.40M,-24.20M,,-0.515,0.00,,,-0.5252,-0.515,,-0.515,0.00,,,-0.5252,-0.515,,82.52M,82.52M,0.0688,,,
1989-06,928.00M,928.00M,,,,,,,,,,,,,928.00M,,,,,,,,23.90M,,,,23.90M,,928.00M,,928.00M,,0.255,0.00,,,0.255,0.255,,0.2175,0.00,,,0.2175,0.2175,,85.34M,85.34M,0.0688,,,
1989-03,919.30M,919.30M,,,,,,,,,,,,,919.30M,,,,,,,,19.50M,,,,19.50M,,919.30M,,919.30M,,0.2025,0.00,,,0.2025,0.2025,,0.1825,0.00,,,0.1825,0.1825,,85.27M,85.27M,0.0688,,,
1988-12,869.20M,869.20M,,,,,,,,,,,,,-2.380B,,,,,,,,-55.00M,,,,-55.00M,,-2.380B,,-2.380B,,,,,,,,,,,,,,,,85.27M,85.27M,0.0688,,,
1988-09,808.30M,808.30M,,,,,,,,,,,,,808.30M,,,,,,,,-17.60M,,,,-17.60M,,808.30M,,808.30M,,-0.23,0.00,,,-0.23,-0.23,,-0.23,0.00,,,-0.23,-0.23,,85.26M,85.26M,0.0688,,,
1988-06,834.40M,834.40M,,,,,,,,,,,,,834.40M,,,,,,,,1.70M,,,,1.70M,,834.40M,,834.40M,,-0.005,0.00,,,-0.005,-0.005,,-0.005,0.00,,,-0.005,-0.005,,85.23M,85.23M,0.0688,,,
1988-03,798.20M,798.20M,,,,,,,,,,,,,798.20M,,,,,,,,7.50M,,,,7.50M,,798.20M,,798.20M,,0.0625,0.00,,,0.0625,0.0625,,0.0625,0.00,,,0.0625,0.0625,,85.22M,85.22M,0.0688,,,
1987-12,754.40M,754.40M,,,,,,,,,,,,,-1.934B,,,,,,,,-4.40M,,,,-4.40M,,-1.934B,,-1.934B,,,,,,,,,,,,,,,,85.22M,85.22M,0.0688,,,
1987-09,668.30M,668.30M,,,,,,,,,,,,,668.30M,,,,,,,,-6.30M,,,,-6.30M,,668.30M,,668.30M,,-0.0975,0.00,,,-0.0975,-0.0975,,-0.0975,0.00,,,-0.0975,-0.0975,,84.69M,84.69M,0.0688,,,
1987-06,687.20M,687.20M,,,,,,,,,,,,,687.20M,,,,,,,,10.30M,,,,10.30M,,687.20M,,687.20M,,0.0975,0.00,,,0.0975,0.0975,,0.0975,0.00,,,0.0975,0.0975,,84.62M,84.62M,0.0688,,,
1987-03,657.50M,657.50M,,,,,,,,,,,,,657.50M,,,,,,,,14.30M,,,,14.30M,,657.50M,,657.50M,,0.145,0.00,,,0.145,0.145,,0.145,0.00,,,0.145,0.145,,84.71M,84.71M,0.0688,,,
1986-12,638.60M,638.60M,,,,,,,,,,,,,-1.660B,,,,,,,,2.50M,,,,2.50M,,-1.660B,,-1.660B,,,,,,,,,,,,,,,,84.71M,84.71M,0.0688,,,
1986-09,544.60M,544.60M,,,,,,,,,,,,,544.60M,,,,,,,,-116.90M,,,,-116.90M,,544.60M,,544.60M,,-1.378,0.00,,,-1.378,-1.378,,-1.378,0.00,,,-1.378,-1.378,,84.61M,84.61M,0.0688,,,
1986-06,603.70M,603.70M,,,,,,,,,,,,,603.70M,,,,,,,,3.30M,,,,3.30M,,603.70M,,603.70M,,0.04,0.00,,,0.04,0.04,,0.04,0.00,,,0.04,0.04,,84.55M,84.55M,0.0688,,,
1986-03,516.90M,516.90M,,,,,,,,,,,,,516.90M,,,,,,,,3.70M,,,,3.70M,,516.90M,,516.90M,,0.0475,0.00,,,0.0475,0.0475,,0.0475,0.00,,,0.0475,0.0475,,84.90M,84.90M,0.0688,,,
1985-12,541.00M,541.00M,,,,,,,,,,,,,-1.495B,,,,,,,,15.60M,,,,15.60M,,-1.495B,,-1.495B,,,,,,,,,,,,,,,,76.90M,76.90M,,,,
1985-09,480.70M,480.70M,,,,,,,,,,,,,480.70M,,,,,,,,-8.50M,,,,-8.50M,,480.70M,,480.70M,,-0.1125,0.00,,,-0.1125,-0.1125,,-0.1125,0.00,,,-0.1125,-0.1125,,76.55M,76.55M,,,,
1985-06,551.40M,551.40M,,,,,,,,,,,,,551.40M,,,,,,,,13.90M,,,,13.90M,,551.40M,,551.40M,,0.1825,0.00,,,0.1825,0.1825,,0.18,0.00,,,0.18,0.18,,75.78M,75.78M,,,,
1985-03,573.20M,573.20M,,,,,,,,,,,,,573.20M,,,,,,,,29.40M,,,,29.40M,,573.20M,,573.20M,,0.385,0.00,,,0.385,0.385,,0.38,0.00,,,0.38,0.38,,75.78M,75.78M,,,,
1984-12,597.00M,597.00M,,,,,,,,,,,,,-1.436B,,,,,,,,38.40M,,,,38.40M,,-1.436B,,-1.436B,,,,,,,,,,,,,,,,75.78M,75.78M,,,,
