,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2004-03,-65.00M,,,120.00M,132.00M,132.00M,-78.00M,,,-470.00M,-39.00M,289.00M,,,-65.00M,-285.00M,,-176.00M,,-130.00M,32.00M,-98.00M,-22.00M,-404.00M,-5.00M,-529.00M,,,,490.00M,20.00M,-4.00M,16.00M,,-55.00M,,-9.00M,442.00M,,1.104B,-263.00M,,841.00M,,20.00M,,,-4.00M,,,,,
2003-12,-947.00M,,,823.00M,134.00M,134.00M,-13.00M,,34.00M,-834.00M,35.00M,777.00M,,,-249.00M,-271.00M,,-240.00M,,-144.00M,33.00M,-111.00M,,-571.00M,-19.00M,-707.00M,,,,1.004B,,,,,-55.00M,,-15.00M,934.00M,,1.222B,-13.00M,30.00M,1.104B,,,,,,,,,,
2003-09,58.00M,,,-11.00M,132.00M,132.00M,4.00M,,47.00M,-371.00M,17.00M,-51.00M,,,-147.00M,-552.00M,,-322.00M,,-142.00M,255.00M,113.00M,,-23.00M,-205.00M,-115.00M,,,,-144.00M,,,,,-55.00M,,8.00M,-191.00M,,1.859B,-628.00M,-9.00M,1.222B,,,,,,,,,,
2003-06,26.00M,,,11.00M,125.00M,125.00M,-73.00M,,-9.00M,-344.00M,3.00M,39.00M,,,220.00M,-82.00M,,-2.00M,,-128.00M,-137.00M,-265.00M,,5.00M,177.00M,-83.00M,,,,1.009B,-7.00M,4.00M,-3.00M,,-54.00M,,35.00M,987.00M,,928.00M,902.00M,29.00M,1.859B,,-7.00M,,,4.00M,,,,,
2003-03,43.00M,,,-14.00M,127.00M,127.00M,-4.00M,,-72.00M,-73.00M,-48.00M,-89.00M,,,-81.00M,-291.00M,,-211.00M,,-101.00M,186.00M,85.00M,,52.00M,-4.00M,133.00M,,,,-5.00M,7.00M,-4.00M,3.00M,,-55.00M,,-37.00M,-94.00M,,1.107B,-172.00M,-7.00M,928.00M,,7.00M,,,-4.00M,,,,,
2002-12,-616.00M,,,591.00M,103.00M,103.00M,-154.00M,,27.00M,163.00M,46.00M,17.00M,,,385.00M,611.00M,,562.00M,,-200.00M,87.00M,-113.00M,,,182.00M,-56.00M,,,,84.00M,,-1.00M,-1.00M,,-55.00M,,-4.00M,24.00M,,586.00M,530.00M,-9.00M,1.107B,,,,,-1.00M,,,,,
2002-09,94.00M,,,-6.00M,136.00M,136.00M,76.00M,,12.00M,265.00M,40.00M,-115.00M,,,-122.00M,68.00M,,380.00M,,-160.00M,295.00M,135.00M,,,-138.00M,-3.00M,,,,-111.00M,,-1.00M,-1.00M,,-55.00M,,-4.00M,-171.00M,,383.00M,206.00M,-3.00M,586.00M,,,,,-1.00M,,,,,
2002-06,-498.00M,,,647.00M,134.00M,134.00M,-80.00M,,-117.00M,307.00M,4.00M,60.00M,,,8.00M,379.00M,,465.00M,,-169.00M,-108.00M,-277.00M,,,-60.00M,-337.00M,,,,49.00M,,-1.00M,-1.00M,,-55.00M,,-1.00M,-8.00M,,266.00M,120.00M,-3.00M,383.00M,,,,,-1.00M,,,,,
2002-03,22.00M,,,-38.00M,132.00M,132.00M,7.00M,,78.00M,120.00M,-28.00M,109.00M,,,-247.00M,-46.00M,,155.00M,,-235.00M,162.00M,-73.00M,,,-4.00M,-77.00M,,,,-39.00M,,-1.00M,-1.00M,,-54.00M,,1.00M,-93.00M,,290.00M,-15.00M,-9.00M,266.00M,,,,,-1.00M,,,,,
2001-12,139.00M,,,-192.00M,141.00M,141.00M,3.00M,,-321.00M,155.00M,44.00M,2.00M,,,243.00M,444.00M,321.00M,535.00M,,-229.00M,104.00M,-125.00M,-105.00M,,-12.00M,-238.00M,,,,-169.00M,2.00M,-1.00M,1.00M,,-54.00M,,-11.00M,-233.00M,,227.00M,64.00M,-1.00M,290.00M,,2.00M,,,-1.00M,,,,,
2001-09,179.00M,,,274.00M,132.00M,132.00M,-27.00M,,37.00M,-8.00M,10.00M,37.00M,,,-163.00M,-124.00M,-232.00M,239.00M,,-224.00M,38.00M,-186.00M,24.00M,,-6.00M,-168.00M,,,,-84.00M,1.00M,-25.00M,-24.00M,,-54.00M,,-3.00M,-165.00M,,328.00M,-94.00M,-7.00M,227.00M,,1.00M,,,-25.00M,,,,,
2001-06,382.00M,,,-221.00M,124.00M,124.00M,37.00M,,136.00M,-348.00M,-46.00M,110.00M,,,4.00M,-280.00M,1.198B,1.376B,,-199.00M,18.00M,-181.00M,35.00M,,-6.00M,-152.00M,,,,-1.123B,5.00M,-4.00M,1.00M,,-53.00M,,-1.00M,-1.176B,,278.00M,48.00M,2.00M,328.00M,,5.00M,,,-4.00M,,,,,
2001-03,109.00M,,,-21.00M,134.00M,134.00M,13.00M,,21.00M,2.00M,-99.00M,-31.00M,,,38.00M,-90.00M,-24.00M,142.00M,,-145.00M,21.00M,-124.00M,-174.00M,,-2.00M,-300.00M,,,,260.00M,19.00M,-4.00M,15.00M,,-54.00M,,-2.00M,219.00M,,231.00M,61.00M,-14.00M,278.00M,,19.00M,,,-4.00M,,,,,
2000-12,5.00M,,,-62.00M,115.00M,115.00M,29.00M,,110.00M,-253.00M,55.00M,129.00M,,,4.00M,-65.00M,0.00,132.00M,,-211.00M,41.00M,-170.00M,-10.00M,,-24.00M,-204.00M,,,,799.00M,3.00M,-745.00M,-742.00M,,-54.00M,,-15.00M,-12.00M,,310.00M,-84.00M,5.00M,231.00M,,3.00M,,,-745.00M,,,,,
2000-09,372.00M,,,-374.00M,139.00M,139.00M,-73.00M,,-110.00M,-64.00M,-14.00M,29.00M,,,181.00M,132.00M,22.00M,108.00M,,-177.00M,151.00M,-26.00M,12.00M,,-6.00M,-20.00M,,,,-107.00M,45.00M,-18.00M,27.00M,,-56.00M,,-5.00M,-141.00M,,363.00M,-53.00M,0.00,310.00M,,45.00M,,,-18.00M,,,,,
2000-06,75.00M,,,-13.00M,127.00M,127.00M,-11.00M,,36.00M,-293.00M,-9.00M,37.00M,,,-121.00M,-386.00M,-20.00M,-192.00M,,-111.00M,11.00M,-100.00M,2.00M,,-22.00M,-120.00M,,,,337.00M,39.00M,-2.00M,37.00M,,-56.00M,,,318.00M,,369.00M,6.00M,-12.00M,363.00M,,39.00M,,,-2.00M,,,,,
2000-03,49.00M,,,9.00M,122.00M,122.00M,49.00M,,-88.00M,-286.00M,-24.00M,-25.00M,,,91.00M,-244.00M,824.00M,721.00M,,-79.00M,25.00M,-54.00M,-14.00M,,1.00M,-67.00M,,,,-708.00M,18.00M,-4.00M,14.00M,,-55.00M,,,-749.00M,,466.00M,-95.00M,-2.00M,369.00M,,18.00M,,,-4.00M,,,,,
1999-12,216.00M,,,-193.00M,132.00M,132.00M,83.00M,,-593.00M,629.00M,-13.00M,-88.00M,,,72.00M,600.00M,72.00M,317.00M,,-134.00M,36.00M,-98.00M,,,7.00M,-98.00M,,,,11.00M,5.00M,-6.00M,-1.00M,,-55.00M,,1.00M,-44.00M,,295.00M,175.00M,-4.00M,466.00M,,5.00M,,,-6.00M,,,,,
1999-09,58.00M,,,-85.00M,135.00M,135.00M,21.00M,,86.00M,-191.00M,21.00M,-213.00M,,,8.00M,-375.00M,23.00M,-137.00M,,-147.00M,27.00M,-120.00M,,,7.00M,-113.00M,,,,259.00M,11.00M,-1.00M,10.00M,,-56.00M,,-7.00M,206.00M,,336.00M,-44.00M,3.00M,295.00M,,11.00M,,,-1.00M,,,,,
1999-06,83.00M,,,-124.00M,124.00M,124.00M,6.00M,,-132.00M,-62.00M,-40.00M,65.00M,,,-174.00M,-211.00M,86.00M,-168.00M,,-110.00M,288.00M,178.00M,,,-1.00M,177.00M,,,,-79.00M,19.00M,0.00,19.00M,,-55.00M,,-1.00M,-116.00M,,419.00M,-107.00M,24.00M,336.00M,,19.00M,,,0.00,,,,,
1999-03,81.00M,,,-128.00M,120.00M,120.00M,77.00M,,-27.00M,240.00M,29.00M,57.00M,,,-338.00M,-12.00M,53.00M,164.00M,,-129.00M,58.00M,-71.00M,,,-2.00M,-73.00M,,,,186.00M,14.00M,-3.00M,11.00M,,-55.00M,,1.00M,143.00M,,203.00M,234.00M,-18.00M,419.00M,,14.00M,,,-3.00M,,,,,
1998-12,66.00M,,,-577.60M,58.00M,58.00M,-95.20M,,183.80M,165.80M,87.10M,-37.00M,,240.50M,,201.40M,,71.40M,,-121.80M,28.60M,-93.20M,,,4.60M,-128.60M,,,,93.00M,4.00M,-1.50M,2.50M,,-54.70M,,-9.60M,31.20M,,228.50M,-26.00M,0.80M,203.00M,,4.00M,,,-1.50M,,,,,
1998-09,-527.00M,,,966.60M,151.00M,151.00M,-193.80M,,0.20M,-14.80M,23.90M,-166.00M,,-70.50M,,-227.40M,,169.60M,,-213.20M,7.40M,-205.80M,,,-2.60M,-208.40M,,,,56.00M,5.00M,-1.50M,3.50M,,-66.30M,,-1.40M,-8.20M,,0.00,-47.00M,-5.80M,228.50M,,5.00M,,,-1.50M,,,,,
1998-06,243.00M,,,-72.00M,143.00M,143.00M,-4.00M,,32.00M,-194.00M,-72.00M,28.00M,,-37.00M,,-275.00M,,67.00M,,-279.00M,40.00M,-239.00M,,,3.00M,-236.00M,,,,238.00M,10.00M,0.00,10.00M,,-66.00M,,0.00,182.00M,,0.00,13.00M,-2.00M,0.00,,10.00M,,,0.00,,,,,
1998-03,203.00M,,,-49.00M,148.00M,148.00M,-4.00M,,11.00M,-172.00M,-77.00M,150.00M,,-133.00M,,-232.00M,,77.00M,,-227.00M,14.00M,-213.00M,,,-4.00M,-217.00M,,,,121.00M,30.00M,-17.00M,13.00M,,-67.00M,,-5.00M,62.00M,,346.00M,-78.00M,2.00M,0.00,,30.00M,,,-17.00M,,,,,
1997-12,257.60M,,,19.50M,144.70M,144.70M,10.70M,,67.30M,-7.70M,-3.90M,22.70M,,-36.40M,,14.70M,,514.50M,,-277.70M,29.70M,-248.00M,,,-19.10M,-267.10M,,,,-19.50M,9.10M,-1.00M,8.10M,,-65.60M,,0.50M,-76.50M,,0.00,170.90M,-3.70M,384.00M,,9.10M,,,-1.00M,,,,,
1997-09,329.50M,,,-51.10M,271.20M,271.20M,-0.60M,,1.90M,-181.10M,-76.00M,12.10M,,36.40M,,-208.60M,,342.30M,,-505.10M,161.50M,-343.60M,,,129.70M,-213.90M,,,,-57.50M,23.10M,-43.00M,-19.90M,,-121.10M,,-0.30M,-198.80M,,0.00,-70.40M,4.40M,0.00,,23.10M,,,-43.00M,,,,,
1997-06,101.90M,,,-15.40M,78.50M,78.50M,7.70M,,19.20M,-202.80M,-8.30M,37.40M,,46.00M,,-127.70M,,64.20M,,-147.00M,15.90M,-131.10M,,,-125.70M,-256.80M,,,,185.10M,4.30M,0.60M,4.90M,,-31.80M,,-0.80M,157.40M,,0.00,-35.20M,0.20M,0.00,,4.30M,,,0.60M,,,,,
1997-03,83.00M,,,-24.00M,69.60M,69.60M,-14.80M,,11.60M,-17.40M,-28.80M,-121.20M,,-46.00M,,-213.40M,,-88.00M,,-112.20M,11.90M,-100.30M,,,-34.90M,-135.20M,,,,90.90M,34.50M,-0.60M,33.90M,,-31.50M,,3.60M,96.90M,,213.60M,-126.30M,-1.90M,0.00,,34.50M,,,-0.60M,,,,,
1996-12,365.10M,,,64.30M,300.40M,300.40M,17.00M,,-55.30M,-87.30M,-88.00M,-1.60M,,172.70M,,-4.20M,,687.30M,,-538.70M,55.60M,-483.10M,,,19.90M,-463.20M,,,,232.70M,21.00M,,-214.20M,,-153.50M,,10.60M,-124.40M,,0.00,99.70M,2.60M,0.00,,21.00M,,,,,,,,
1996-09,75.50M,,,-36.10M,69.40M,69.40M,-40.30M,,-66.20M,-9.10M,-6.10M,50.80M,,114.20M,,149.80M,,152.10M,,-110.90M,8.60M,-102.30M,,,-11.80M,-114.10M,,,,7.80M,6.30M,,6.30M,,-28.70M,,-0.50M,-15.10M,,0.00,22.90M,-0.40M,0.00,,6.30M,,,,,,,,
1996-06,65.80M,,,-7.40M,68.80M,68.80M,6.90M,,101.20M,-58.40M,-1.80M,47.10M,,-32.80M,,-45.90M,,189.40M,,-100.40M,8.40M,-92.00M,,,-60.80M,-152.80M,,,,-95.70M,4.50M,,4.50M,,-28.70M,,-7.70M,-127.60M,,0.00,-91.00M,-0.20M,0.00,,4.50M,,,,,,,,
1996-03,51.50M,,,-20.30M,59.10M,59.10M,3.00M,,-32.90M,-208.70M,-51.60M,2.50M,,32.80M,,-225.00M,,-164.60M,,-41.60M,13.40M,-28.20M,,,-0.80M,-29.00M,,,,135.30M,10.80M,,10.80M,,-28.70M,,1.30M,118.70M,,174.90M,-74.90M,-1.00M,0.00,,10.80M,,,,,,,,
1995-12,87.30M,,,17.30M,77.10M,77.10M,38.30M,,-46.40M,-53.10M,25.80M,48.60M,,119.50M,,140.80M,,314.40M,,-116.50M,-1.50M,-118.00M,,,8.80M,-109.20M,,,,-79.00M,,,,,-28.60M,,-0.80M,-100.90M,,0.00,104.30M,-1.50M,0.00,,,,,,,,,,
1995-09,1.10M,,,42.70M,62.10M,62.10M,4.10M,,-14.80M,10.80M,-14.00M,62.20M,7.30M,72.60M,,138.90M,,234.10M,,-59.70M,17.50M,-42.20M,,9.40M,-4.50M,-37.30M,,,,-398.20M,,,,,-28.60M,,0.70M,-426.10M,,0.00,-229.30M,-0.80M,0.00,,,,,,,,,,
1995-06,56.20M,,,,61.20M,61.20M,-2.40M,,5.20M,-56.60M,20.20M,74.40M,-24.20M,,,13.80M,,134.00M,,-79.10M,7.70M,-71.40M,,2.40M,-2.50M,-71.50M,,,,0.70M,,,,,-28.60M,,0.00,-27.90M,,0.00,34.60M,-1.10M,0.00,,,,,,,,,,
1995-03,39.10M,,,,59.40M,59.40M,6.00M,,-20.70M,7.30M,-14.40M,-108.70M,16.90M,,,-98.90M,,-15.10M,,-48.00M,12.30M,-35.70M,,-11.80M,-1.80M,-49.30M,,,,-15.90M,,,,,-28.50M,,0.30M,-44.10M,,428.10M,-108.50M,0.60M,0.00,,,,,,,,,,
1994-12,127.50M,,,,66.40M,66.40M,39.60M,,-11.50M,17.00M,46.90M,-37.00M,0.50M,,,27.40M,,146.80M,,-91.50M,425.90M,334.40M,,-195.70M,-4.50M,134.20M,,,,3.80M,,,,,-28.40M,,0.10M,-24.50M,,0.00,256.50M,-2.60M,0.00,,,,,,,,,,
1994-09,51.70M,,,,61.80M,61.80M,25.00M,,3.90M,68.80M,26.60M,-44.50M,-14.70M,,,36.20M,,178.60M,,-53.20M,17.70M,-35.50M,,-17.30M,-0.80M,-53.60M,,,,-9.90M,,,,,-28.50M,,-0.70M,-39.10M,,0.00,85.90M,0.30M,0.00,,,,,,,,,,
1994-06,-19.20M,,,,67.20M,67.20M,-12.70M,,8.70M,32.40M,30.40M,-20.00M,9.00M,,,51.80M,,95.80M,,-47.20M,7.80M,-39.40M,,-3.70M,-0.60M,-43.70M,,,,-16.20M,,,,,-28.60M,,0.20M,-44.60M,,0.00,7.50M,-1.80M,0.00,,,,,,,,,,
1994-03,17.80M,,,,66.20M,66.20M,34.10M,,-1.90M,14.10M,-11.90M,-78.50M,-17.70M,,,-94.00M,,22.20M,,-53.80M,15.80M,-38.00M,,200.50M,-5.10M,157.40M,,,,-115.90M,,,,,-28.50M,,,-144.40M,,48.80M,35.20M,-1.70M,0.00,,,,,,,,,,
1993-12,-42.00M,,,-9.90M,157.30M,157.30M,1.70M,,-14.90M,-76.50M,-9.10M,49.20M,15.10M,,,-21.30M,,70.90M,,-66.30M,10.80M,-55.50M,,-35.90M,-12.80M,-104.20M,,,,-66.50M,,-1.00M,-1.00M,,-28.60M,,1.10M,-95.00M,,0.00,-128.30M,-0.10M,0.00,,,,,-1.00M,,,,,
1993-09,-160.70M,,,29.90M,143.90M,143.90M,-48.30M,,22.30M,43.70M,4.50M,71.60M,15.90M,,,135.70M,,122.80M,,-37.20M,3.60M,-33.60M,,26.10M,-49.30M,-56.80M,,,,22.30M,,,,,-28.50M,,-1.50M,-7.70M,,0.00,58.30M,-2.20M,0.00,,,,,,,,,,
1993-06,22.90M,,,1.80M,76.10M,76.10M,12.30M,,6.50M,-19.80M,-0.20M,-57.20M,4.80M,,,-72.40M,,47.20M,,-82.90M,7.70M,-75.20M,,-22.70M,-13.40M,-111.30M,,,,88.70M,,0.20M,0.20M,,-28.50M,,-1.60M,58.80M,,0.00,-5.30M,-0.70M,0.00,,,,,0.20M,,,,,
1993-03,18.80M,,,3.20M,74.70M,74.70M,16.80M,,-2.40M,11.70M,6.70M,-95.00M,-32.30M,,,-108.90M,,2.20M,,-60.50M,7.80M,-52.70M,,15.50M,-33.00M,-70.20M,,,,-10.30M,,-0.20M,-0.20M,,-26.60M,,,-37.10M,,233.30M,-105.10M,-1.10M,0.00,,,,,-0.20M,,,,,
1992-12,-178.70M,,,17.50M,144.70M,144.70M,-73.80M,,-26.40M,54.90M,72.00M,102.30M,11.70M,,,240.90M,,124.20M,,-105.10M,49.90M,-55.20M,,32.40M,-45.70M,-68.50M,,,,31.20M,,0.00,0.00,,-27.00M,,-0.70M,3.50M,,0.00,59.20M,-2.10M,0.00,,,,,0.00,,,,,
1992-09,33.00M,,,34.00M,75.20M,75.20M,13.20M,,-5.90M,-21.80M,13.10M,-93.40M,-43.30M,99.70M,,-45.70M,,103.80M,,-52.40M,5.60M,-46.80M,,86.00M,-22.10M,17.10M,,,,-14.40M,,-0.10M,-0.10M,,-26.80M,,-0.70M,-42.00M,,0.00,78.90M,-6.70M,0.00,,,,,-0.10M,,,,,
1992-06,12.80M,,,-15.30M,71.90M,71.90M,-8.40M,,0.70M,39.90M,13.60M,102.60M,-19.50M,-99.70M,,36.90M,,98.60M,,-78.00M,8.90M,-69.10M,,33.00M,-0.90M,-37.00M,,,,-26.00M,,-0.10M,-0.10M,,-26.70M,,-0.20M,-53.00M,,0.00,8.60M,-0.50M,0.00,,,,,-0.10M,,,,,
1992-03,9.40M,,,47.90M,68.20M,68.20M,2.00M,,9.50M,30.10M,4.50M,-102.60M,-14.00M,,,-82.00M,,55.00M,,-80.40M,5.20M,-75.20M,,60.10M,-35.00M,-50.10M,,,,-16.90M,,-0.30M,-0.30M,,-26.80M,,-0.30M,-44.30M,,131.60M,-39.40M,3.70M,0.00,,,,,-0.30M,,,,,
1991-12,-57.70M,,,-12.50M,88.40M,88.40M,4.40M,,4.00M,23.70M,49.30M,52.40M,18.40M,,,100.90M,,127.50M,,-106.10M,9.00M,-97.10M,,50.20M,-21.90M,-68.80M,,,,-9.00M,,-0.10M,-0.10M,,-26.60M,,-1.90M,-37.60M,,0.00,21.10M,0.10M,0.00,,,,,-0.10M,,,,,
1991-09,24.60M,,,34.30M,73.30M,73.30M,-20.10M,,-4.50M,-33.60M,-6.20M,44.10M,-2.10M,,,2.20M,,109.80M,,-102.50M,7.30M,-95.20M,,64.10M,-33.50M,-64.60M,,,,13.90M,,-0.10M,-0.10M,,-26.80M,,1.20M,-11.80M,,0.00,33.40M,0.80M,0.00,,,,,-0.10M,,,,,
1991-06,32.30M,,,1.10M,68.50M,68.50M,-0.60M,,3.30M,-27.60M,-11.60M,28.70M,8.80M,,,-1.70M,,102.90M,,-123.20M,5.20M,-118.00M,,-172.20M,-20.70M,-310.90M,,,,-34.30M,,-0.10M,-0.10M,,-26.70M,,-3.80M,-64.90M,,0.00,-272.90M,0.40M,0.00,,,,,-0.10M,,,,,
1991-03,27.40M,,,3.20M,64.30M,64.30M,-7.30M,,6.70M,3.50M,-36.30M,-125.20M,9.70M,,,-148.30M,,-54.00M,,-94.10M,8.00M,-86.10M,,-57.50M,-19.10M,-162.70M,,,,473.00M,,-0.30M,-0.30M,,-26.70M,,-2.40M,443.60M,,123.40M,226.90M,-1.60M,0.00,,,,,-0.30M,,,,,
1990-12,58.70M,,,-27.70M,61.60M,61.60M,9.90M,,-8.70M,-40.00M,-12.40M,46.70M,15.30M,,,9.60M,,103.40M,,-122.80M,25.70M,-97.10M,,-23.90M,-14.90M,-135.90M,,,,-6.20M,0.00,,-0.10M,,-26.70M,,,-33.00M,,0.00,-65.50M,-1.40M,0.00,,0.00,,,,,,,,
1990-09,55.40M,,,-33.00M,65.80M,65.80M,-16.50M,,-2.20M,-53.50M,-20.00M,106.70M,4.50M,,,37.70M,,107.20M,,-73.70M,54.20M,-19.50M,,2.40M,-10.40M,-27.50M,,,,-3.40M,0.00,,0.00,,-26.70M,,,-30.10M,,0.00,49.60M,0.00,0.00,,0.00,,,,,,,,
1990-06,47.10M,,,-22.10M,61.00M,61.00M,-16.50M,,12.60M,-83.60M,-28.50M,-10.50M,12.90M,,,-109.70M,,-27.60M,,-85.10M,6.00M,-79.10M,,1.40M,-8.80M,-86.50M,,,,5.50M,0.00,,0.00,,-26.70M,,,-21.20M,,0.00,-135.30M,-1.20M,0.00,,0.00,,,,,,,,
1990-03,36.20M,,,0.80M,61.20M,61.20M,-2.20M,,-8.10M,-63.60M,-31.80M,-43.10M,14.30M,,,-124.20M,,-36.30M,,-56.70M,5.00M,-51.70M,,2.70M,-13.40M,-62.40M,,,,1.40M,0.10M,,0.10M,,-26.60M,,,-25.10M,,401.80M,-123.80M,-0.80M,0.00,,0.10M,,,,,,,,
