,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,,SECFilingLinks,AsOriginallyReported,Restated
2007-03,151.18M,119.50M,270.68M,362.79M,,362.79M,15.17M,,,130.27M,145.43M,10.75M,,,789.65M,,,,,,,669.49M,-246.36M,423.14M,,14.23M,14.23M,,,20.03M,,2007-03,481.02M,,481.02M,35.24M,516.26M,,,,,,16.11M,532.37M,,,,19.76M,19.76M,,195.69M,215.44M,2007-03,0.719M,807.97M,72.58M,369.20M,,2007-03,,
2006-12,154.12M,96.17M,250.28M,398.12M,9.055M,407.18M,14.58M,,,115.10M,129.68M,12.08M,,0.355M,799.57M,0.00,26.56M,531.11M,21.49M,17.11M,46.47M,642.74M,-237.27M,405.47M,,15.10M,15.10M,,,17.73M,,2006-12,507.57M,,507.57M,51.17M,558.74M,,,,,,0.654M,559.39M,,,,20.78M,20.78M,,191.61M,212.38M,2006-12,0.718M,745.99M,66.50M,335.76M,,2006-12,,
2006-09,194.63M,91.76M,286.38M,399.77M,0.725M,400.50M,13.71M,,90.58M,,104.30M,28.72M,,0.624M,820.51M,,,,,,,611.90M,-229.01M,382.89M,,14.96M,14.96M,,,10.42M,,2006-09,516.81M,,516.81M,45.51M,562.32M,,,,,,4.237M,566.55M,,,,22.12M,22.12M,,177.38M,199.50M,2006-09,0.717M,702.76M,63.18M,298.74M,,2006-09,,
2006-06,117.86M,110.74M,228.59M,463.67M,,463.67M,13.61M,,132.22M,,145.83M,21.24M,,2.466M,861.80M,,,,,,,590.98M,-222.54M,368.44M,,17.72M,17.72M,,,9.375M,,2006-06,556.57M,,556.57M,45.04M,601.61M,,,,,,24.77M,626.37M,,,,12.65M,12.65M,,183.98M,196.62M,2006-06,0.717M,628.27M,59.98M,249.70M,,2006-06,,
2006-03,94.61M,96.20M,190.81M,373.90M,,373.90M,12.32M,,134.04M,,146.36M,13.63M,,8.614M,733.31M,,,,,,,564.26M,-222.52M,341.74M,,17.82M,17.82M,,,16.64M,,2006-03,485.01M,,485.01M,33.52M,518.53M,,,,,,33.28M,551.81M,,,,11.51M,11.51M,,179.85M,191.36M,2006-03,0.357M,539.74M,53.55M,222.63M,,2006-03,,
2005-12,49.06M,189.98M,239.04M,401.90M,,401.90M,12.08M,,,91.26M,103.34M,14.64M,,30.61M,789.54M,0.00,18.75M,375.40M,18.14M,15.90M,104.44M,532.64M,-216.50M,316.14M,,14.12M,14.12M,,,23.11M,,2005-12,518.58M,,518.58M,41.24M,559.82M,,,,,,19.61M,579.43M,,,,9.989M,9.989M,,176.13M,186.12M,2005-12,0.354M,495.82M,43.34M,157.36M,,2005-12,,
2005-09,76.31M,184.36M,260.67M,481.28M,,481.28M,,,,,114.41M,15.88M,,,872.24M,,,,,,,533.25M,-244.90M,288.34M,,14.67M,14.67M,,,22.00M,,2005-09,553.10M,,553.10M,32.17M,585.27M,8.572M,,8.572M,,,23.12M,616.96M,,,,22.49M,22.49M,155.68M,13.11M,35.59M,2005-09,0.354M,458.87M,40.14M,108.69M,,2005-09,,
2005-06,111.60M,97.58M,209.18M,406.00M,,406.00M,,,,,128.00M,,,17.58M,760.77M,,,,,,,716.12M,-285.46M,430.66M,,10.52M,10.52M,,,118.73M,,2005-06,477.88M,,477.88M,34.05M,511.94M,8.572M,,8.572M,,,19.42M,539.92M,182.96M,,182.96M,21.45M,21.45M,179.48M,13.37M,217.77M,2005-06,0.354M,399.16M,40.42M,54.70M,,2005-06,,
2005-03,63.44M,74.96M,138.40M,392.78M,,392.78M,,,,,145.12M,15.44M,,3.06M,694.80M,,,,,,,702.51M,-278.40M,424.11M,,17.73M,17.73M,,,130.36M,,2005-03,507.69M,,507.69M,29.08M,536.77M,8.572M,,8.572M,,,,545.34M,147.06M,,147.06M,20.80M,20.80M,181.28M,14.13M,181.99M,2005-03,0.353M,350.32M,38.17M,28.60M,,2005-03,,
2004-12,67.46M,96.22M,163.68M,281.73M,,281.73M,,,,,104.97M,16.14M,,6.394M,572.91M,0.00,20.66M,348.82M,184.96M,,17.71M,572.15M,-259.87M,312.27M,,,,,,97.53M,,2004-12,377.72M,,377.72M,37.98M,415.69M,8.572M,,8.572M,,,,424.26M,25.00M,,25.00M,20.46M,20.46M,157.55M,15.52M,60.98M,2004-12,0.348M,339.80M,29.28M,27.79M,,2004-12,,
2004-09,157.50M,27.78M,185.28M,299.86M,,299.86M,,,,,95.38M,23.74M,,,604.26M,,,,,,,562.27M,-252.26M,310.01M,,,,,,90.85M,,2004-09,380.58M,,380.58M,39.58M,420.16M,8.571M,,8.571M,,,23.74M,452.48M,33.57M,,33.57M,27.69M,27.69M,157.34M,3.307M,64.57M,2004-09,0.347M,334.91M,23.59M,27.79M,,2004-09,,
2004-06,64.40M,,64.40M,257.36M,,257.36M,,,,,99.90M,53.81M,,,475.47M,,,,,,,553.71M,-244.92M,308.78M,,,,,,32.78M,,2004-06,338.67M,,338.67M,34.73M,373.40M,8.571M,,8.571M,,,24.90M,406.88M,8.571M,,8.571M,51.66M,51.66M,13.22M,2.57M,62.80M,2004-06,0.172M,325.86M,20.85M,12.50M,,2004-06,,
2004-03,22.26M,,22.26M,205.70M,,205.70M,,,,,85.98M,19.50M,,0.916M,334.36M,,,,,,,549.83M,-238.90M,310.93M,,,,,,58.64M,,2004-03,273.85M,,273.85M,27.69M,301.54M,8.571M,,8.571M,,,35.00M,345.12M,8.571M,,8.571M,50.22M,50.22M,14.11M,2.649M,61.44M,2004-03,0.171M,276.91M,18.91M,12.50M,,2004-03,,
2003-12,11.69M,,11.69M,184.33M,,184.33M,,,,,112.35M,20.23M,,7.806M,336.41M,0.00,19.50M,473.27M,23.93M,15.22M,3.997M,535.92M,-231.67M,304.24M,,,,,,68.24M,,2003-12,277.90M,,277.90M,28.20M,306.10M,8.571M,,8.571M,,,50.00M,364.67M,8.571M,,8.571M,50.33M,50.33M,14.48M,2.239M,61.14M,2003-12,0.169M,264.99M,15.82M,12.50M,,2003-12,,
2003-09,8.493M,,8.493M,163.12M,,163.12M,10.79M,,,80.03M,90.82M,16.32M,,,278.75M,,,,,,,486.11M,-225.74M,260.37M,,,,,,75.54M,,2003-09,218.31M,,218.31M,35.57M,253.88M,23.57M,,23.57M,,,9.228M,286.68M,17.14M,,17.14M,39.69M,39.69M,,,56.84M,2003-09,0.169M,267.78M,15.70M,12.50M,,2003-09,,
2003-04,38.05M,,38.05M,144.17M,,144.17M,10.48M,,,54.85M,65.34M,,,19.46M,267.02M,,,,,,,439.59M,-216.48M,223.11M,,,,,,51.77M,,2003-04,196.83M,,196.83M,26.89M,223.72M,8.571M,,8.571M,,,7.272M,239.56M,17.14M,,17.14M,32.91M,32.91M,,,50.06M,2003-04,0.169M,249.00M,15.61M,12.50M,,2003-04,,
2003-01,17.75M,,17.75M,163.40M,4.323M,167.73M,10.33M,,,52.45M,62.78M,16.81M,,,265.07M,,,,,,,439.13M,-221.87M,217.26M,,,,,,48.12M,,2003-01,224.85M,,224.85M,23.93M,248.78M,8.571M,,8.571M,,,,257.35M,17.14M,,17.14M,28.32M,28.32M,,,45.46M,2003-01,0.168M,224.01M,15.31M,11.72M,,2003-01,,
2002-10,67.00M,,67.00M,144.85M,,144.85M,,,,,55.66M,,,17.40M,284.90M,,,,,,,420.09M,-216.65M,203.44M,,,,,,48.89M,,2002-10,192.41M,,192.41M,23.94M,216.36M,8.571M,,8.571M,,,27.10M,252.03M,25.71M,,25.71M,28.73M,28.73M,,,54.44M,2002-10,0.168M,227.31M,14.62M,11.34M,,2002-10,,
2002-07,71.63M,,71.63M,135.40M,8.699M,144.09M,,,,,45.31M,,,17.81M,278.84M,,,,,,,410.99M,-211.53M,199.46M,,,,,,24.00M,,2002-07,185.06M,,185.06M,25.34M,210.40M,8.571M,,8.571M,,,,218.97M,25.71M,,25.71M,29.06M,29.06M,,,54.78M,2002-07,0.168M,223.77M,14.01M,9.395M,,2002-07,,
2002-04,57.55M,,57.55M,128.84M,,128.84M,10.35M,,,54.30M,62.30M,,,30.62M,279.32M,,,,,,,405.03M,-214.16M,190.86M,,,,,,24.69M,,2002-04,177.44M,,177.44M,26.83M,204.27M,8.571M,,8.571M,,,,212.84M,25.71M,,25.71M,31.72M,31.72M,,,57.43M,2002-04,0.167M,219.39M,13.07M,7.953M,,2002-04,,
2002-01,48.25M,,48.25M,103.63M,11.12M,114.74M,10.05M,,,51.87M,59.57M,,,17.79M,240.36M,,,,,,,397.07M,-209.55M,187.52M,,,,,,26.53M,,2002-01,140.24M,,140.24M,30.87M,171.11M,8.571M,,8.571M,,,,179.68M,25.71M,,25.71M,29.82M,29.82M,,,55.54M,2002-01,0.167M,214.75M,13.07M,7.953M,,2002-01,,
2001-10,88.53M,,88.53M,107.74M,,107.74M,9.838M,,,52.51M,60.00M,,,15.01M,271.28M,,,,,,,390.92M,-204.96M,185.96M,,,,,,23.48M,,2001-10,147.03M,,147.03M,31.49M,178.52M,8.571M,,8.571M,,,10.71M,197.80M,34.29M,,34.29M,28.41M,28.41M,,,62.70M,2001-10,0.166M,216.79M,12.23M,7.885M,,2001-10,,
2001-07,65.84M,,65.84M,146.07M,,146.07M,10.09M,,,42.39M,50.14M,,,22.08M,284.13M,0.00,15.48M,208.07M,113.84M,28.67M,18.72M,384.78M,-200.63M,184.16M,,,,,,22.14M,,2001-07,181.18M,,181.18M,31.98M,213.17M,8.571M,,8.571M,,,4.661M,226.40M,34.29M,,34.29M,28.01M,28.01M,,,62.30M,2001-07,0.166M,198.12M,11.57M,7.793M,,2001-07,,
2001-04,38.74M,,38.74M,143.46M,,143.46M,,,,,64.67M,13.88M,,,260.74M,,,,,,,379.06M,-196.50M,182.56M,,,,,,23.32M,,2001-04,179.37M,,179.37M,27.64M,207.02M,13.74M,,13.74M,,,5.941M,226.69M,34.29M,,34.29M,25.77M,25.77M,,,60.05M,2001-04,0.087M,180.06M,7.95M,7.793M,,2001-04,,
2001-01,28.53M,,28.53M,,,149.08M,,,,,62.84M,,,15.85M,256.30M,,,,,,,373.66M,-192.67M,181.00M,,,,,,19.32M,,2001-01,198.69M,,198.69M,,198.69M,13.74M,,13.74M,,,25.99M,238.41M,34.29M,,34.29M,25.29M,25.29M,,,59.58M,2001-01,0.087M,160.53M,6.132M,7.793M,,2001-01,,
2000-10,33.60M,,33.60M,,,203.98M,,,,,56.40M,,,14.85M,308.83M,,,,,,,364.89M,-188.86M,176.03M,,,,,,21.88M,,2000-10,237.33M,,237.33M,,237.33M,13.74M,,13.74M,,,40.45M,291.51M,42.86M,,42.86M,24.85M,24.85M,,,67.70M,2000-10,0.087M,149.35M,6.132M,7.793M,,2000-10,,
2000-07,3.628M,,3.628M,189.97M,,189.97M,,,,,56.60M,,,16.91M,267.10M,,,,,,,359.94M,-184.63M,175.31M,,,,,,21.95M,,2000-07,223.87M,,223.87M,,223.87M,13.74M,,13.74M,,,29.13M,266.74M,42.86M,,42.86M,25.18M,25.18M,,,68.04M,2000-07,0.087M,130.29M,6.132M,7.793M,,2000-07,,
2000-04,4.619M,,4.619M,,,152.44M,,,,,64.60M,,,14.49M,236.16M,,,,,,,364.46M,-182.24M,182.22M,,,,,,13.48M,,2000-04,189.50M,,189.50M,,189.50M,13.74M,,13.74M,,,19.86M,223.09M,58.02M,,58.02M,25.63M,25.63M,,,83.65M,2000-04,0.087M,126.63M,6.132M,7.793M,,2000-04,,
2000-01,6.90M,,6.90M,,,151.80M,,,,,53.50M,,,17.90M,230.10M,,,,,,,360.00M,-177.80M,182.20M,,,,,,13.30M,,2000-01,194.40M,,194.40M,,194.40M,18.00M,,18.00M,,,14.70M,227.10M,48.00M,,48.00M,25.30M,25.30M,,,73.30M,2000-01,0.10M,119.90M,6.10M,0.60M,,2000-01,,
1999-10,10.80M,,10.80M,,,144.30M,,,,,50.00M,,,12.40M,217.50M,,,,,,,358.10M,-175.70M,182.40M,,,,,,14.20M,,1999-10,168.10M,,168.10M,,168.10M,13.70M,,13.70M,,,19.80M,201.60M,56.60M,,56.60M,24.90M,24.90M,,,81.50M,1999-10,0.10M,126.20M,6.10M,0.60M,,1999-10,,
1999-07,4.20M,,4.20M,,,123.50M,,,,,54.90M,,,12.20M,194.80M,,,,,,,352.20M,-171.30M,180.90M,,,,,,15.30M,,1999-07,144.30M,,144.30M,,144.30M,13.70M,,13.70M,,,22.90M,180.90M,56.60M,,56.60M,24.60M,24.60M,,,81.20M,1999-07,0.10M,124.30M,6.10M,0.60M,,1999-07,,
1999-04,3.50M,,3.50M,,,110.20M,,,,,58.70M,,,13.90M,186.30M,,,,,,,343.40M,-166.30M,177.10M,,,,,,17.30M,,1999-04,126.50M,,126.50M,,126.50M,13.70M,,13.70M,,,17.10M,157.30M,79.10M,,79.10M,24.60M,24.60M,,-0.10M,103.60M,1999-04,,115.30M,,,,1999-04,,
1999-01,2.80M,,2.80M,,,83.80M,,,,,43.50M,,,15.60M,145.70M,,,,,,,335.80M,-161.80M,174.00M,,,,,,19.50M,,1999-01,98.20M,,98.20M,,98.20M,13.70M,,13.70M,,,11.40M,123.30M,79.30M,,79.30M,24.60M,24.60M,,-0.10M,103.80M,1999-01,,107.90M,,,,1999-01,,
1998-10,2.80M,,2.80M,,,91.60M,,,,,51.30M,,,13.50M,159.20M,,,,,,,330.70M,-156.90M,173.80M,,,,,,21.60M,,1998-10,106.20M,,106.20M,,106.20M,21.30M,,21.30M,,,16.00M,143.50M,70.30M,,70.30M,25.30M,25.30M,,,95.60M,1998-10,,111.00M,,,,1998-10,,
1998-07,2.60M,,2.60M,,,83.10M,,,,,55.80M,,,12.90M,154.40M,,,,,,,326.00M,-152.70M,173.30M,,,,,,22.20M,,1998-07,109.10M,,109.10M,,109.10M,16.80M,,16.80M,,,13.70M,139.60M,70.30M,,70.30M,25.60M,25.60M,,0.10M,96.00M,1998-07,,109.70M,,,,1998-07,,
1998-04,3.60M,,3.60M,,,70.20M,,,,,51.60M,,,17.30M,142.70M,,,,,,,306.60M,-148.30M,158.30M,,,,,,27.70M,,1998-04,87.40M,,87.40M,,87.40M,15.60M,,15.60M,,,16.20M,119.20M,75.50M,,75.50M,24.90M,24.90M,,,100.40M,1998-04,,103.00M,,,,1998-04,,
