,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-03,1.600B,1.600B,1.295B,305.02M,164.41M,5.244M,,,,,164.41M,140.61M,,,,5.244M,,142.29M,53.36M,88.93M,,,88.93M,85.65M,148.52M,7.911M,140.61M,,0.2300,0.00,,0.2159,0.2300,,0.2133,0.00,,0.1994,0.2133,,231.87M,234.34M,0.0200,,,
2001-12,1.135B,1.135B,906.80M,228.16M,133.54M,25.39M,,,,,133.54M,94.62M,,,,25.39M,,117.48M,44.06M,73.43M,,,73.43M,57.56M,102.21M,7.589M,94.62M,,0.3167,0.00,,0.2482,0.3167,,0.3133,0.00,,0.2456,0.3133,,231.87M,234.34M,0.0167,,,
2001-09,1.540B,1.540B,1.228B,312.44M,151.81M,-17.91M,,,,,151.81M,160.63M,,,,-17.91M,,138.82M,52.06M,86.76M,0.00,,86.76M,97.96M,175.58M,14.95M,160.63M,,0.3800,0.00,0.00,0.4289,0.3800,,0.3733,0.00,-0.0000,0.4213,0.3733,,229.12M,233.20M,0.0167,,,
2001-06,1.121B,1.121B,882.81M,238.17M,121.62M,-2.80M,,,,,121.62M,116.55M,,,,-2.80M,,110.08M,41.28M,68.80M,,,68.80M,70.55M,124.52M,7.971M,116.55M,,0.3033,0.00,,0.3111,0.3033,,0.2967,0.00,,0.3042,0.2967,,226.82M,231.91M,0.0167,,,
2001-03,906.84M,906.84M,713.41M,193.43M,103.93M,-4.471M,,,,,103.93M,89.50M,,,,-4.471M,,82.53M,30.95M,51.58M,,,51.58M,54.38M,96.04M,6.547M,89.50M,,0.2267,0.00,,0.2390,0.2267,,0.2233,0.00,,0.2354,0.2233,,227.56M,230.95M,0.015,,,
2000-12,887.66M,887.66M,696.74M,190.92M,102.04M,-1.898M,,,,,108.62M,82.30M,,,,-1.898M,,76.36M,28.64M,47.72M,2.136M,,49.86M,48.91M,88.89M,6.59M,82.30M,,0.2132,0.0090,0.00,0.2185,0.2222,,0.2102,0.0090,0.0094,0.2154,0.2192,,224.37M,227.44M,0.012,,,
2000-09,1.087B,1.087B,869.47M,217.20M,108.65M,2.16M,,,,,115.41M,101.79M,,,,2.16M,,99.49M,37.81M,61.69M,,,61.69M,60.35M,108.55M,6.763M,101.79M,,0.2741,0.00,,0.2681,0.2741,,0.2708,0.00,,0.2649,0.2708,,226.08M,227.33M,0.0110,,,
2000-06,959.22M,959.22M,766.69M,192.52M,106.40M,2.447M,,,,,113.62M,78.90M,,,,2.447M,,77.53M,29.46M,48.07M,,,48.07M,46.55M,86.12M,6.447M,78.90M,,0.2149,0.00,,0.2081,0.2149,,0.2121,0.00,,0.2054,0.2121,,224.39M,226.20M,0.0110,,,
2000-03,798.86M,798.86M,638.91M,159.95M,90.16M,1.934M,,,,,95.56M,64.39M,,,,1.934M,,63.60M,24.17M,39.43M,,,39.43M,38.23M,70.57M,6.182M,64.39M,,0.1460,0.00,,0.1416,0.1460,,0.1433,0.00,,0.1389,0.1433,,270.06M,275.25M,0.0110,,,
1999-12,808.90M,808.90M,641.50M,167.40M,90.70M,1.80M,,,,,95.80M,71.60M,,,,1.80M,,68.60M,26.10M,42.50M,,,42.50M,41.38M,76.70M,5.10M,71.60M,,0.1708,0.00,,0.1663,0.1708,,0.1708,0.00,,0.1663,0.1708,,248.80M,248.80M,0.0083,,,
1999-09,953.51M,953.51M,766.90M,186.61M,95.80M,2.00M,,,,,102.10M,84.51M,,,,2.00M,,81.70M,32.30M,49.40M,,,49.40M,48.19M,90.81M,6.30M,84.51M,,0.2168,,,0.2115,0.2168,,0.2168,,,0.2115,0.2168,,227.88M,227.88M,0.0083,,,
1999-06,843.00M,843.00M,677.60M,165.40M,83.90M,1.60M,,,,,89.40M,76.00M,,,,1.60M,,73.30M,28.90M,44.40M,,,44.40M,43.43M,81.50M,5.50M,76.00M,,0.0524,0.00,,0.0482,0.0524,,0.0516,0.00,,0.0474,0.0516,,227.88M,227.88M,0.0083,,,
1999-03,699.10M,699.10M,565.10M,134.00M,71.90M,1.50M,,,,,77.10M,56.90M,,,,1.50M,,54.60M,21.20M,33.40M,,,33.40M,32.48M,62.10M,5.20M,56.90M,,0.1460,0.00,,0.1420,0.1460,,0.1433,0.00,,0.1393,0.1433,,229.88M,233.21M,0.0083,,,
1998-12,660.60M,660.60M,530.40M,130.20M,70.50M,1.90M,,,,,74.30M,55.90M,,,,1.90M,,54.30M,21.60M,32.70M,,,32.70M,31.56M,59.70M,3.80M,55.90M,,0.0410,0.00,,0.0359,0.0410,,0.0395,0.00,,0.0344,0.0395,,223.17M,223.17M,0.0062,,,
1998-09,686.94M,686.94M,552.70M,134.24M,69.40M,1.30M,,,,,72.20M,62.04M,,,,1.30M,,57.60M,25.10M,32.50M,,,32.50M,31.72M,64.84M,2.80M,62.04M,,0.1604,,,0.1565,0.1604,,0.1604,,,0.1565,0.1604,,202.67M,202.67M,0.0062,,,
1998-06,613.90M,613.90M,495.30M,118.60M,62.30M,-8.80M,,,,,66.10M,52.50M,,,,-8.80M,,38.90M,15.80M,23.10M,,,23.10M,28.38M,56.30M,2.10M,52.50M,,0.0364,0.00,,0.0637,0.0364,,0.0323,0.00,,0.0596,0.0323,,193.64M,193.64M,0.0062,,,
1998-03,453.00M,453.00M,366.80M,86.20M,50.90M,1.50M,,,,,52.50M,33.70M,,,,1.50M,,32.20M,12.70M,19.50M,,,19.50M,18.59M,36.20M,2.50M,33.70M,,0.0306,0.00,,0.0240,0.0306,,0.0273,0.00,,0.0206,0.0273,,135.93M,135.93M,0.0062,,,
1997-12,423.20M,423.20M,340.10M,83.10M,49.00M,1.60M,,,,,51.40M,31.70M,,,,1.60M,,30.40M,12.10M,18.30M,,,18.30M,17.34M,34.10M,2.40M,31.70M,,0.0290,0.00,,0.0219,0.0290,,0.0257,0.00,,0.0186,0.0257,,135.58M,135.58M,0.0055,,,
1997-09,1.024B,1.024B,834.00M,190.30M,110.70M,3.50M,,,,,115.60M,74.70M,,,,3.50M,,70.70M,29.00M,41.70M,,,41.70M,39.60M,79.60M,4.90M,74.70M,,0.3079,,,0.2924,0.3079,,0.3079,,,0.2924,0.3079,,135.45M,135.45M,0.0055,,,
1997-06,250.10M,250.10M,204.80M,45.30M,27.10M,0.80M,,,,,28.20M,17.10M,,,,0.80M,,16.20M,6.40M,9.80M,,,9.80M,9.316M,18.20M,1.10M,17.10M,,0.0197,0.00,,0.0162,0.0197,,0.0197,0.00,,0.0162,0.0197,,135.14M,135.14M,0.0055,,,
1997-03,159.60M,159.60M,128.80M,30.80M,18.80M,0.40M,,,,,19.80M,11.00M,,,,0.40M,,10.60M,3.90M,6.70M,,,6.70M,6.447M,12.00M,1.00M,11.00M,,0.0152,0.00,,0.0133,0.0152,,0.0152,0.00,,0.0133,0.0152,,133.71M,133.71M,0.0055,,,
1996-12,144.40M,144.40M,117.30M,27.10M,15.10M,0.70M,,,,,15.80M,11.30M,,,,0.70M,,11.20M,4.40M,6.80M,,,6.80M,6.375M,12.00M,0.70M,11.30M,,0.0160,0.00,,0.0123,0.0160,,0.0160,0.00,,0.0123,0.0160,,117.66M,117.66M,,,,
1996-09,769.40M,769.40M,615.70M,153.70M,84.40M,3.50M,,,,,88.00M,65.70M,,,,3.50M,,61.00M,25.80M,35.20M,,,28.30M,33.10M,69.30M,3.60M,65.70M,,0.3065,,,0.2838,0.3065,,0.3065,,,0.2838,0.3065,,92.33M,92.33M,,,,
1996-06,143.30M,143.30M,116.70M,26.60M,14.10M,0.40M,,,,,14.80M,11.80M,,,,0.40M,,12.00M,4.60M,7.40M,,,7.40M,7.153M,12.60M,0.80M,11.80M,,0.0175,0.00,,0.0155,0.0175,,0.0175,0.00,,0.0155,0.0175,,126.76M,126.76M,,,,
1996-03,114.00M,114.00M,93.20M,20.80M,12.10M,0.20M,,,,,12.80M,8.00M,,,,0.20M,,8.00M,2.90M,5.10M,,,5.10M,4.972M,8.70M,0.70M,8.00M,,0.0113,0.00,,0.0102,0.0113,,0.0113,0.00,,0.0102,0.0113,,117.29M,117.29M,,,,
1995-12,121.10M,121.10M,98.80M,22.30M,12.50M,0.40M,,,,,13.20M,9.10M,,,,0.40M,,8.70M,3.30M,5.40M,,,5.40M,5.152M,9.80M,0.70M,9.10M,,0.0148,0.00,,0.0121,0.0148,,0.0148,0.00,,0.0121,0.0148,,92.29M,92.29M,,,,
1995-09,132.80M,132.80M,108.20M,24.60M,12.60M,0.30M,,,,,13.20M,11.40M,,,,0.30M,,11.00M,4.40M,6.60M,,,6.60M,6.42M,12.00M,0.60M,11.40M,,0.0613,,,0.0597,0.0613,,0.0613,,,0.0597,0.0613,,107.61M,107.61M,,,,
1995-06,120.50M,120.50M,98.40M,22.10M,12.00M,0.20M,,,,,12.50M,9.60M,,,,0.20M,,9.40M,3.30M,6.10M,,,6.10M,5.970M,10.10M,0.50M,9.60M,,0.0100,0.00,,0.0088,0.0100,,0.0100,0.00,,0.0088,0.0100,,107.36M,107.36M,,,,
1995-03,87.10M,87.10M,71.30M,15.80M,9.40M,,,,,,9.80M,6.00M,,,,,,6.00M,2.10M,3.90M,,,3.90M,3.90M,6.40M,0.40M,6.00M,,0.0068,0.00,,0.0068,0.0068,,0.0068,0.00,,0.0068,0.0068,,99.34M,99.34M,,,,
1994-12,97.00M,97.00M,79.80M,17.20M,10.60M,,,,,,11.10M,6.10M,,,,,,6.00M,2.20M,3.80M,,,3.80M,3.80M,6.60M,0.50M,6.10M,,0.0064,0.00,,0.0064,0.0064,,0.0064,0.00,,0.0064,0.0064,,99.00M,99.00M,,,,
1994-09,124.00M,124.00M,102.50M,21.50M,11.50M,0.10M,,,,,12.00M,9.50M,,,,0.10M,,9.70M,4.00M,5.70M,,,5.70M,5.64M,10.00M,0.50M,9.50M,,0.0576,,,0.0570,0.0576,,0.0576,,,0.0570,0.0576,,98.96M,98.96M,,,,
1994-06,107.80M,107.80M,89.90M,17.90M,10.60M,0.20M,,,,,10.80M,7.10M,,,,0.20M,,7.30M,2.60M,4.70M,,,4.70M,4.571M,7.40M,0.30M,7.10M,,0.0082,0.00,,0.0069,0.0082,,0.0082,0.00,,0.0069,0.0082,,98.96M,98.96M,,,,
1994-03,82.60M,82.60M,68.00M,14.60M,8.70M,0.10M,,,,,8.90M,5.70M,,,,0.10M,,5.80M,2.10M,3.70M,,,3.70M,3.636M,5.90M,0.20M,5.70M,,0.0060,0.00,,0.0053,0.0060,,0.0060,0.00,,0.0053,0.0060,,92.68M,92.68M,,,,
1993-12,78.90M,78.90M,64.70M,14.20M,8.30M,0.10M,,,,,8.50M,5.70M,,,,0.10M,,5.80M,2.20M,3.60M,,,3.60M,3.538M,5.90M,0.20M,5.70M,,0.0060,0.00,,0.0054,0.0060,,0.0060,0.00,,0.0054,0.0060,,98.26M,98.26M,,,,
1993-06,64.50M,64.50M,53.00M,11.50M,6.60M,0.10M,,,,,6.70M,4.80M,,,,0.10M,,4.80M,1.60M,3.20M,,,3.20M,3.133M,4.90M,0.10M,4.80M,,0.0049,0.00,,0.0042,0.0049,,0.0049,0.00,,0.0042,0.0049,,97.95M,97.95M,,,,
1993-03,45.10M,45.10M,36.50M,8.60M,5.90M,,,,,,6.00M,2.60M,,,,,,2.60M,0.90M,1.70M,,,1.70M,1.70M,2.70M,0.10M,2.60M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,97.72M,97.72M,,,,
1992-12,58.20M,58.20M,48.20M,10.00M,5.10M,0.20M,,,,,5.20M,4.80M,,,,0.20M,,5.00M,1.70M,3.30M,,,3.30M,3.168M,4.90M,0.10M,4.80M,,0.0340,,,0.0326,0.0340,,0.0340,,,0.0326,0.0340,,97.13M,97.13M,,,,
1992-09,45.70M,45.70M,37.70M,8.00M,4.90M,0.10M,,,,,5.00M,3.00M,,,,0.10M,,3.20M,1.10M,2.10M,,,2.10M,2.034M,3.10M,0.10M,3.00M,,0.0029,0.00,,0.0022,0.0029,,0.0029,0.00,,0.0022,0.0029,,96.77M,96.77M,,,,
1992-06,46.00M,46.00M,37.80M,8.20M,4.20M,0.20M,,,,,4.30M,3.90M,,,,0.20M,,3.80M,1.40M,2.40M,,,2.40M,2.274M,4.00M,0.00,3.90M,,0.0045,0.00,,0.0032,0.0045,,0.0045,0.00,,0.0032,0.0045,,96.75M,96.75M,,,,
1992-03,32.70M,32.70M,26.60M,6.10M,3.60M,0.20M,,,,,3.70M,2.40M,,,,0.20M,,2.20M,0.80M,1.40M,,,1.40M,1.273M,2.50M,0.10M,2.40M,,0.0025,0.00,,0.0011,0.0025,,0.0025,0.00,,0.0011,0.0025,,96.75M,96.75M,,,,
1991-12,39.60M,39.60M,,,,,,,,,,-73.70M,,,,,,,,2.30M,,,2.30M,2.30M,-73.70M,,-73.70M,,0.0037,0.00,,0.0037,0.0037,,0.0037,0.00,,0.0037,0.0037,,672.92M,672.92M,,,,
1991-09,34.40M,34.40M,,,,,,,,,,34.40M,,,,,,,,2.00M,,,2.00M,2.00M,34.40M,,34.40M,,0.0041,0.00,,0.0041,0.0041,,0.0041,0.00,,0.0041,0.0041,,487.75M,487.75M,,,,
1991-06,28.20M,28.20M,,,,,,,,,,28.20M,,,,,,,,0.90M,,,0.90M,0.90M,28.20M,,28.20M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,365.79M,365.79M,,,,
1991-03,21.90M,21.90M,,,,,,,,,,21.90M,,,,,,,,0.60M,,,0.60M,0.60M,21.90M,,21.90M,,0.0016,0.00,,0.0016,0.0016,,0.0016,0.00,,0.0016,0.0016,,365.82M,365.82M,,,,
