,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-03,3.155B,3.155B,2.479B,676.00M,,111.00M,94.00M,,-94.00M,,425.00M,251.00M,,94.00M,-94.00M,55.00M,-94.00M,212.00M,47.00M,165.00M,,,,,165.00M,178.26M,620.00M,314.00M,306.00M,,0.38,,,,0.4108,0.38,,0.38,,,,0.4106,0.38,,431.00M,434.00M,0.2775,,AOR,Restated
2017-12,2.638B,2.638B,1.94B,698.00M,,103.00M,97.00M,,-97.00M,,390.00M,308.00M,,97.00M,-97.00M,75.00M,-97.00M,286.00M,-1.01B,1.296B,,,,,1.296B,1.289B,670.00M,287.00M,383.00M,,3.01,,,,2.995,3.01,,2.99,,,,2.975,2.99,,431.00M,434.00M,0.2675,,AOR,Restated
2017-09,2.098B,2.098B,1.439B,659.00M,,93.00M,98.00M,,-98.00M,,362.00M,297.00M,,98.00M,-98.00M,68.00M,-98.00M,267.00M,98.00M,169.00M,,,,,169.00M,168.37M,634.00M,269.00M,365.00M,,0.39,,,,0.3885,0.39,,0.39,,,,0.3885,0.39,,431.00M,434.00M,0.2675,,AOR,Restated
2017-06,2.143B,2.143B,1.55B,593.00M,,99.00M,97.00M,,-97.00M,,353.00M,240.00M,,97.00M,-97.00M,68.00M,-97.00M,211.00M,76.00M,135.00M,,,,,135.00M,128.60M,562.00M,254.00M,308.00M,,0.31,,,,0.2952,0.31,,0.31,,,,0.2953,0.31,,431.00M,434.00M,0.2675,,AOR,Restated
2017-03,2.735B,2.735B,2.122B,613.00M,,96.00M,98.00M,,-98.00M,,322.00M,291.00M,,98.00M,-98.00M,106.00M,-98.00M,299.00M,107.00M,192.00M,,,,,192.00M,170.24M,623.00M,226.00M,397.00M,,0.45,,,,0.3995,0.45,,0.44,,,,0.3897,0.44,,431.00M,433.00M,0.2675,,AOR,Restated
2016-12,2.081B,2.081B,1.425B,656.00M,,96.00M,103.00M,,-103.00M,,349.00M,307.00M,,103.00M,-103.00M,-42.00M,-103.00M,162.00M,61.00M,101.00M,,,,,101.00M,110.98M,518.00M,253.00M,265.00M,,0.23,,,,0.2531,0.23,,0.23,,,,0.2528,0.23,,431.00M,437.00M,0.2575,,AOR,Restated
2016-09,1.889B,1.889B,1.188B,701.00M,,93.00M,106.00M,,-106.00M,,417.00M,284.00M,,106.00M,-106.00M,98.00M,-106.00M,276.00M,97.00M,179.00M,,,,,179.00M,175.75M,706.00M,324.00M,382.00M,,0.42,,,,0.4125,0.42,,0.41,,,,0.4025,0.41,,431.00M,433.00M,0.2575,,AOR,Restated
2016-06,1.574B,1.574B,1.009B,565.00M,,94.00M,109.00M,,-109.00M,,383.00M,182.00M,,109.00M,-109.00M,-65.00M,-109.00M,8.00M,10.00M,-2.00M,,,,,-2.00M,64.00M,406.00M,289.00M,117.00M,,-0.01,,,,0.1431,-0.01,,-0.01,,,,0.1431,-0.01,,431.00M,431.00M,0.2575,,AOR,Restated
2016-03,1.984B,1.984B,1.373B,611.00M,,101.00M,111.00M,,-111.00M,,361.00M,250.00M,,111.00M,-111.00M,101.00M,-111.00M,240.00M,86.00M,154.00M,,,,,154.00M,132.24M,611.00M,260.00M,351.00M,,0.36,,,,0.3094,0.36,,0.36,,,,0.3097,0.36,,430.00M,433.00M,0.2575,,AOR,Restated
2015-12,1.791B,1.791B,1.234B,557.00M,,85.00M,111.00M,,-111.00M,,331.00M,226.00M,,111.00M,-111.00M,-933.00M,-111.00M,-818.00M,-309.00M,-509.00M,,,,,-509.00M,-503.40M,-461.00M,246.00M,-707.00M,,-1.18,,,,-1.167,-1.18,,-1.18,,,,-1.167,-1.18,,430.00M,430.00M,0.2475,,AOR,Restated
2015-09,1.63B,1.63B,1.006B,624.00M,,91.00M,113.00M,,-113.00M,,359.00M,265.00M,,113.00M,-113.00M,-787.00M,-113.00M,-635.00M,-244.00M,-391.00M,,,,,-391.00M,-387.90M,-254.00M,268.00M,-522.00M,,-0.91,,,,-0.9028,-0.91,,-0.91,,,,-0.9028,-0.91,,430.00M,430.00M,0.2475,,AOR,Restated
2015-06,1.532B,1.532B,1.017B,515.00M,,90.00M,116.00M,,-116.00M,,329.00M,186.00M,,116.00M,-116.00M,44.00M,-116.00M,114.00M,37.00M,77.00M,,,,,77.00M,85.16M,469.00M,239.00M,230.00M,,0.18,,,,0.1990,0.18,,0.18,,,,0.1989,0.18,,430.24M,431.73M,0.2475,,AOR,Restated
2015-03,2.433B,2.433B,1.852B,581.00M,,108.00M,117.00M,,-117.00M,,325.00M,256.00M,,117.00M,-117.00M,70.00M,-117.00M,209.00M,78.00M,131.00M,,,,,131.00M,126.59M,543.00M,217.00M,326.00M,,0.30,,,,0.2897,0.30,,0.30,,,,0.2898,0.30,,430.00M,431.00M,0.2475,,AOR,Restated
2014-12,2.372B,2.372B,1.824B,548.00M,,98.00M,120.00M,,-120.00M,,327.00M,221.00M,,120.00M,-120.00M,108.00M,-120.00M,209.00M,33.00M,176.00M,,,,,176.00M,148.21M,558.00M,229.00M,329.00M,,0.41,,,,0.3454,0.41,,0.41,,,,0.3461,0.41,,430.00M,435.00M,0.2375,,AOR,Restated
2014-09,1.807B,1.807B,1.195B,612.00M,,86.00M,118.00M,,-118.00M,,379.00M,233.00M,,118.00M,-118.00M,98.00M,-118.00M,213.00M,70.00M,143.00M,,,,,143.00M,136.97M,624.00M,293.00M,331.00M,,0.33,,,,0.3160,0.33,,0.33,,,,0.3160,0.33,,430.00M,432.00M,0.2375,,AOR,Restated
2014-06,1.884B,1.884B,1.349B,535.00M,,93.00M,119.00M,,-119.00M,,349.00M,186.00M,,119.00M,-119.00M,102.00M,-119.00M,169.00M,62.00M,107.00M,,,,,107.00M,93.14M,544.00M,256.00M,288.00M,,0.25,,,,0.2178,0.25,,0.25,,,,0.2178,0.25,,430.00M,431.00M,0.2375,,AOR,Restated
2014-03,3.163B,3.163B,2.522B,641.00M,,111.00M,114.00M,,-114.00M,,346.00M,295.00M,,114.00M,-114.00M,113.00M,-114.00M,294.00M,109.00M,185.00M,,,,,185.00M,176.81M,643.00M,235.00M,408.00M,,0.43,,,,0.4109,0.43,,0.43,,,,0.4110,0.43,,429.00M,431.00M,0.2375,,AOR,Restated
2013-12,2.184B,2.184B,1.662B,522.00M,,98.00M,114.00M,,-114.00M,,311.00M,211.00M,,114.00M,-114.00M,78.00M,-114.00M,175.00M,62.00M,113.00M,,,,,113.00M,109.77M,502.00M,213.00M,289.00M,,0.27,,,,0.2625,0.27,,0.26,,,,0.2525,0.26,,428.00M,431.00M,0.2075,,AOR,Restated
2013-09,1.64B,1.64B,1.059B,581.00M,,89.00M,118.00M,,-118.00M,,337.00M,244.00M,,118.00M,-118.00M,103.00M,-118.00M,229.00M,78.00M,151.00M,,,,,151.00M,143.08M,595.00M,248.00M,347.00M,,0.35,,,,0.3315,0.35,,0.35,,,,0.3316,0.35,,429.00M,431.00M,0.2075,,AOR,Restated
2013-06,1.894B,1.894B,1.326B,568.00M,,92.00M,119.00M,,-119.00M,,345.00M,223.00M,,119.00M,-119.00M,40.00M,-119.00M,144.00M,244.00M,-100.00M,,,,,-100.00M,-101.95M,516.00M,253.00M,263.00M,,-0.23,,,,-0.2345,-0.23,,-0.23,,,,-0.2345,-0.23,,429.00M,431.00M,0.2075,,AOR,Restated
2013-03,2.388B,2.388B,1.708B,680.00M,,108.00M,133.00M,,-133.00M,,348.00M,332.00M,,133.00M,-133.00M,34.00M,-133.00M,233.00M,86.00M,147.00M,,,,,147.00M,132.51M,606.00M,240.00M,366.00M,,0.34,,,,0.3061,0.34,,0.34,,,,0.3063,0.34,,428.00M,430.00M,0.2075,,AOR,Restated
2012-12,2.138B,2.138B,1.485B,653.00M,0.00,93.00M,139.00M,,-139.00M,,343.00M,310.00M,,139.00M,-139.00M,39.00M,-139.00M,210.00M,76.00M,134.00M,,,,,134.00M,119.32M,599.00M,250.00M,349.00M,,0.32,,,,0.2856,0.32,,0.31,,,,0.2759,0.31,,427.00M,430.00M,0.2025,,AOR,Restated
2012-09,1.705B,1.705B,978.00M,727.00M,-116.00M,86.00M,141.00M,,-141.00M,,387.00M,340.00M,,141.00M,-141.00M,-71.00M,-141.00M,128.00M,118.00M,10.00M,,,,,10.00M,69.15M,570.00M,301.00M,269.00M,,0.02,,,,0.1585,0.02,,0.02,,,,0.1576,0.02,,427.00M,430.00M,0.2025,,AOR,Restated
2012-06,1.525B,1.525B,860.00M,665.00M,,88.00M,142.00M,,-142.00M,,363.00M,302.00M,,142.00M,-142.00M,40.00M,-142.00M,200.00M,74.00M,126.00M,,,,,126.00M,112.14M,617.00M,275.00M,342.00M,,0.29,,,,0.2575,0.29,,0.29,,,,0.2578,0.29,,427.00M,430.00M,0.2025,,AOR,Restated
2012-03,2.084B,2.084B,1.424B,660.00M,,98.00M,147.00M,,-147.00M,,322.00M,338.00M,,147.00M,-147.00M,28.00M,-147.00M,219.00M,72.00M,147.00M,,,,,147.00M,138.29M,590.00M,224.00M,366.00M,,0.34,,,,0.3196,0.34,,0.34,,,,0.3196,0.34,,426.00M,428.00M,0.2025,,AOR,Restated
2011-12,2.145B,2.145B,2.901B,-756.00M,-19.00M,94.00M,146.00M,,-146.00M,,-1.03B,274.00M,,146.00M,-146.00M,31.00M,-146.00M,159.00M,42.00M,117.00M,,0.00,,,117.00M,117.00M,514.00M,209.00M,305.00M,,-1.102,,0.00,,-1.102,0.28,,-1.102,,-0.0032,,-1.102,0.28,,426.00M,432.00M,0.1975,,AOR,Restated
2011-09,1.881B,1.881B,735.00M,1.146B,362.00M,88.00M,145.00M,,-145.00M,,789.00M,357.00M,,145.00M,-145.00M,378.00M,-145.00M,590.00M,204.00M,386.00M,,587.00M,,,973.00M,143.93M,988.00M,253.00M,735.00M,,2.28,0.00,0.0000,,1.712,2.28,,2.27,0.00,1.368,,1.706,2.27,,426.00M,429.00M,0.1975,,AOR,Restated
2011-06,1.837B,1.837B,778.00M,1.059B,4.00M,87.00M,143.00M,,-143.00M,446.00M,756.00M,303.00M,,143.00M,-143.00M,30.00M,-143.00M,190.00M,71.00M,119.00M,,,,,119.00M,105.22M,556.00M,223.00M,333.00M,,0.28,0.00,,,0.2477,0.28,,0.28,0.00,,,0.2478,0.28,,426.00M,428.00M,0.1975,,AOR,Restated
2011-03,2.587B,2.587B,1.476B,1.111B,5.00M,107.00M,149.00M,,-149.00M,,747.00M,364.00M,,149.00M,-149.00M,20.00M,-149.00M,235.00M,87.00M,148.00M,,,,,148.00M,139.18M,585.00M,201.00M,384.00M,,0.35,0.00,,,0.3293,0.35,,0.35,0.00,,,0.3294,0.35,,425.00M,427.00M,0.1975,,AOR,Restated
2010-12,2.098B,2.098B,2.772B,-674.00M,-7.00M,88.00M,151.00M,,-151.00M,,-976.00M,302.00M,,151.00M,-151.00M,13.00M,-151.00M,164.00M,40.00M,124.00M,,0.00,,,124.00M,128.54M,519.00M,204.00M,315.00M,,0.2880,,0.00,,0.2987,0.29,,0.2880,,0.00,,0.2986,0.29,,425.00M,428.00M,0.195,,AOR,Restated
2010-09,1.908B,1.908B,808.00M,1.10B,3.00M,86.00M,155.00M,,-155.00M,,773.00M,327.00M,,155.00M,-155.00M,27.00M,-155.00M,199.00M,76.00M,123.00M,,0.00,,,123.00M,112.49M,597.00M,243.00M,354.00M,,0.29,0.00,0.00,,0.2651,0.29,,0.29,0.00,0.00,,0.2653,0.29,,422.00M,425.00M,0.195,,AOR,
2010-06,1.756B,1.756B,778.00M,978.00M,3.00M,88.00M,157.00M,,-157.00M,,715.00M,263.00M,,157.00M,-157.00M,20.00M,-157.00M,126.00M,45.00M,81.00M,,,,,81.00M,72.64M,500.00M,217.00M,283.00M,,0.20,0.00,,,0.1791,0.20,,0.20,0.00,,,0.1792,0.20,,400.00M,402.00M,0.195,,AOR,Restated
2010-03,3.023B,3.023B,1.935B,1.088B,1.00M,117.00M,158.00M,,-158.00M,,731.00M,357.00M,,158.00M,-158.00M,17.00M,-158.00M,216.00M,102.00M,114.00M,,,,,114.00M,106.20M,574.00M,200.00M,374.00M,,0.29,0.00,,,0.2702,0.29,,0.29,0.00,,,0.2703,0.29,,393.00M,395.00M,0.195,,AOR,Restated
2009-12,2.299B,2.299B,1.29B,1.009B,8.00M,91.00M,162.00M,,-162.00M,,710.00M,299.00M,,162.00M,-162.00M,15.00M,-162.00M,152.00M,47.00M,105.00M,,,,,105.00M,99.47M,495.00M,181.00M,314.00M,,0.27,0.00,,,0.2558,0.27,,0.27,0.00,,,0.2560,0.27,,389.00M,395.00M,0.19,,AOR,Restated
2009-09,1.576B,1.576B,582.00M,994.00M,9.00M,84.00M,158.00M,,-158.00M,415.00M,707.00M,287.00M,,158.00M,-158.00M,23.00M,-158.00M,152.00M,38.00M,114.00M,,,,,114.00M,94.50M,518.00M,188.00M,310.00M,,0.31,0.00,,,0.2573,0.31,,0.31,0.00,,,0.2576,0.31,,370.00M,372.00M,0.19,,AOR,Restated
2009-06,1.64B,1.64B,710.00M,930.00M,18.00M,91.00M,162.00M,,-162.00M,398.00M,677.00M,253.00M,,162.00M,-162.00M,38.00M,-162.00M,129.00M,43.00M,86.00M,,,,,86.00M,68.00M,499.00M,208.00M,291.00M,,0.24,0.00,,,0.1889,0.24,,0.24,0.00,,,0.1892,0.24,,352.00M,354.00M,0.19,,AOR,Restated
2009-03,2.766B,2.766B,1.789B,977.00M,4.00M,113.00M,162.00M,,-162.00M,413.00M,692.00M,285.00M,,162.00M,-162.00M,-8.00M,-162.00M,115.00M,48.00M,67.00M,,,,,67.00M,72.20M,443.00M,166.00M,277.00M,,0.19,0.00,,,0.2050,0.19,,0.19,0.00,,,0.2049,0.19,,347.00M,349.00M,0.19,,AOR,Restated
2008-12,2.774B,2.774B,1.791B,983.00M,4.00M,88.00M,156.00M,,-156.00M,,680.00M,303.00M,,156.00M,-156.00M,5.00M,-156.00M,152.00M,65.00M,87.00M,,,,,87.00M,87.00M,476.00M,168.00M,308.00M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,343.04M,349.44M,0.1825,,,Restated
2008-09,2.515B,2.515B,1.532B,983.00M,6.00M,81.00M,150.00M,,-150.00M,371.00M,646.00M,337.00M,,150.00M,-150.00M,26.00M,-150.00M,213.00M,77.00M,136.00M,,,,,136.00M,134.08M,557.00M,194.00M,363.00M,,0.40,0.00,,,0.3944,0.40,,0.39,0.00,,,0.3844,0.39,,342.23M,344.58M,0.1825,,,Restated
2008-06,2.67B,2.67B,1.75B,920.00M,,93.00M,149.00M,,-149.00M,342.00M,623.00M,297.00M,,149.00M,-149.00M,14.00M,-149.00M,162.00M,61.00M,101.00M,,,,,101.00M,101.00M,499.00M,188.00M,311.00M,,0.30,0.00,,,0.30,0.30,,0.30,0.00,,,0.30,0.30,,331.35M,342.03M,0.1825,,,Restated
2008-03,3.363B,3.363B,2.393B,970.00M,4.00M,111.00M,149.00M,,-149.00M,365.00M,634.00M,336.00M,,149.00M,-149.00M,9.00M,-149.00M,196.00M,74.00M,122.00M,,,,,122.00M,122.00M,503.00M,158.00M,345.00M,,0.37,0.00,,,0.37,0.37,,0.36,0.00,,,0.36,0.36,,327.28M,327.28M,0.1825,,,Restated
2007-12,2.602B,2.602B,,,,,,,,,,8.709B,,,,,,,,108.00M,,,,,108.00M,108.00M,8.886B,177.00M,8.709B,,0.34,0.00,,,0.34,0.34,,0.32,0.00,,,0.32,0.32,,322.58M,342.97M,0.17,,,
2007-09,1.882B,1.882B,991.00M,891.00M,-18.00M,85.00M,,,,317.00M,572.00M,319.00M,,,,-18.00M,,145.00M,54.00M,91.00M,,,,,91.00M,102.30M,533.00M,214.00M,319.00M,,0.29,0.00,,,0.326,0.29,,0.27,0.00,,,0.3035,0.27,,313.79M,337.04M,0.17,,,
2007-06,2.033B,2.033B,1.208B,825.00M,7.00M,93.00M,,,,330.00M,583.00M,242.00M,,,,7.00M,,98.00M,28.00M,70.00M,,,,,70.00M,65.00M,402.00M,141.00M,242.00M,,0.22,0.00,,,0.2043,0.22,,0.20,0.00,,,0.1857,0.20,,318.18M,350.00M,0.17,,,
2007-03,3.106B,3.106B,2.15B,956.00M,3.00M,106.00M,,,,352.00M,603.00M,353.00M,,,,3.00M,,202.00M,72.00M,130.00M,,,,,130.00M,128.07M,517.00M,164.00M,353.00M,,0.41,0.00,,,0.4039,0.41,,0.38,0.00,,,0.3744,0.38,,317.07M,342.11M,0.17,,,
2006-12,2.464B,2.464B,1.623B,841.00M,18.00M,78.00M,,,,381.00M,606.00M,235.00M,,,,18.00M,,104.00M,37.00M,67.00M,,,,,67.00M,55.40M,401.00M,166.00M,235.00M,,0.22,0.00,,,0.1823,0.22,,0.19,0.00,,,0.1558,0.19,,307.27M,338.72M,0.15,,,
2006-09,1.935B,1.935B,1.058B,877.00M,20.00M,87.00M,,,,347.00M,593.00M,284.00M,,,,20.00M,,152.00M,69.00M,83.00M,,,,,83.00M,71.00M,452.00M,168.00M,284.00M,,0.27,0.00,,,0.2310,0.27,,0.26,0.00,,,0.2224,0.26,,307.41M,319.23M,0.15,,,
2006-06,1.843B,1.843B,1.035B,808.00M,9.00M,95.00M,,,,340.00M,588.00M,220.00M,,,,9.00M,,78.00M,-116.00M,194.00M,,,,,194.00M,188.60M,387.00M,167.00M,220.00M,,0.62,0.00,,,0.6027,0.62,,0.61,0.00,,,0.5930,0.61,,312.90M,318.03M,0.15,,,
2006-03,3.077B,3.077B,2.193B,884.00M,2.00M,107.00M,,,,331.00M,578.00M,306.00M,,,,2.00M,,160.00M,72.00M,88.00M,,,,,88.00M,86.80M,460.00M,154.00M,306.00M,,0.28,0.00,,,0.2762,0.28,,0.28,0.00,,,0.2762,0.28,,314.29M,314.29M,0.15,,,
2005-12,3.212B,3.212B,2.348B,864.00M,5.00M,98.00M,,,,367.00M,595.00M,269.00M,,,,5.00M,,112.00M,31.00M,81.00M,0.00,,,,81.00M,77.38M,417.00M,148.00M,269.00M,,0.26,0.00,,-0.0001,0.2484,0.26,,0.24,0.00,,-0.0002,0.2293,0.24,,311.72M,338.12M,0.06,,,
2005-09,2.073B,2.073B,1.277B,796.00M,8.00M,90.00M,,,,301.00M,536.00M,260.00M,,,,8.00M,,91.00M,41.00M,50.00M,,,,,50.00M,45.20M,424.00M,164.00M,260.00M,,0.16,0.00,,,0.1446,0.16,,0.15,0.00,,,0.1356,0.15,,312.50M,333.33M,0.07,,,
2005-06,1.842B,1.842B,1.103B,739.00M,13.00M,92.00M,,,,290.00M,518.00M,221.00M,,,,13.00M,,45.00M,18.00M,27.00M,-3.00M,30.00M,,,54.00M,19.20M,377.00M,156.00M,221.00M,,0.09,-0.01,0.00,,0.064,0.18,,0.09,-0.01,0.0889,,0.0669,0.16,,300.00M,337.50M,0.07,,,
2005-03,2.595B,2.595B,1.781B,814.00M,2.00M,95.00M,,,,279.00M,504.00M,310.00M,,,,2.00M,,130.00M,63.00M,67.00M,,,,,67.00M,65.80M,460.00M,150.00M,310.00M,,0.22,0.00,,,0.2161,0.22,,0.20,0.00,,,0.1964,0.20,,304.55M,335.00M,0.10,,,
2004-12,2.102B,2.102B,1.312B,790.00M,13.00M,87.00M,,,,119.00M,334.00M,456.00M,,,,13.00M,,276.00M,113.00M,163.00M,21.00M,,,,101.00M,155.20M,613.00M,157.00M,456.00M,,0.53,0.07,,-0.2686,0.5047,0.33,,0.47,0.07,,-0.2686,0.4553,0.33,,307.91M,530.37M,0.10,,,
2004-09,1.669B,1.669B,928.00M,741.00M,4.00M,89.00M,,,,319.00M,534.00M,207.00M,,,,4.00M,,19.00M,2.00M,17.00M,-259.00M,,,,-1.136B,13.42M,352.04M,145.04M,207.00M,,0.05,-0.84,,-2.904,0.0384,-3.69,,0.05,-0.84,,-2.904,0.0385,-3.69,,307.86M,310.38M,0.10,,,
2004-06,1.700B,1.700B,1.011B,689.77M,12.42M,86.18M,,,,299.95M,506.20M,183.57M,,,,12.42M,,-2.535M,0.191M,-2.726M,60.38M,,,,57.65M,-10.18M,325.55M,141.98M,183.57M,,-0.01,0.20,,,-0.0346,0.19,,-0.01,0.20,,,-0.0346,0.19,,303.43M,303.43M,0.10,,,
2004-03,2.528B,2.528B,1.762B,765.94M,4.068M,93.99M,,,,315.84M,526.05M,239.89M,,,,4.068M,,51.31M,22.42M,28.90M,44.69M,,,,73.59M,26.46M,377.87M,137.98M,239.89M,,0.09,0.15,,,0.0820,0.24,,0.09,0.13,,,0.0827,0.22,,306.61M,334.49M,0.10,,,
2003-12,2.117B,2.117B,1.224B,892.83M,-17.32M,75.62M,,,,424.00M,614.64M,278.18M,,,,-17.32M,,50.37M,3.365M,47.01M,23.28M,,,,70.29M,63.18M,489.44M,211.26M,278.18M,,0.16,0.07,,,0.2130,0.23,,0.06,0.05,,,0.0998,0.11,,304.90M,406.49M,0.10,,,
2003-09,1.608B,1.608B,681.89M,926.05M,-1.479M,90.13M,,,,298.81M,508.42M,417.63M,,,,-1.479M,,232.52M,85.54M,146.98M,34.75M,,,,181.72M,147.91M,537.10M,4.805M,417.63M,,0.48,0.12,,,0.4831,0.60,,0.48,0.11,,,0.4830,0.59,,302.88M,308.01M,0.10,,,
2003-06,2.091B,2.091B,1.104B,987.07M,16.55M,90.69M,,,,393.08M,641.04M,346.03M,,,,16.55M,,127.30M,44.35M,82.96M,-19.73M,,-6.295M,,63.22M,72.17M,538.52M,192.49M,346.03M,,0.27,-0.06,,,0.2342,0.21,,0.27,-0.06,,,0.2342,0.21,,301.06M,301.06M,0.10,,,
