,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2004-06,,32.51B,,32.51B,,,1.14B,,45.93B,,,,1.37B,,,1.938B,5.469B,36.00M,5.433B,36.46B,,48.21B,94.14B,2.375B,2.375B,,2.375B,1.428B,1.428B,1.428B,27.46B,2.347B,,2.347B,55.35B,,57.69B,88.23B,337.00M,5.34B,304.00M,66.00M,,,,-5.00M,5.91B
2004-03,,29.61B,,29.61B,,,1.014B,,45.59B,,,,1.238B,,,1.871B,5.004B,36.00M,4.968B,34.95B,,47.31B,92.90B,2.386B,2.386B,,2.386B,1.434B,1.434B,1.434B,27.71B,2.244B,,2.244B,53.51B,,55.76B,86.95B,337.00M,5.174B,298.00M,74.00M,,,,207.00M,5.942B
2003-12,,25.11B,,25.11B,,,1.015B,,35.68B,,,,1.212B,,,1.851B,5.021B,61.00M,4.96B,38.62B,,51.85B,87.53B,2.424B,2.424B,,2.424B,1.437B,1.437B,1.437B,27.69B,2.222B,,2.222B,47.52B,,49.74B,81.79B,337.00M,5.007B,329.00M,118.00M,,,,192.00M,5.747B
2003-09,,24.02B,,24.02B,,,1.01B,,33.77B,,,,1.154B,,,1.809B,6.229B,61.00M,6.168B,33.42B,,48.00B,81.78B,2.199B,2.199B,,2.199B,1.842B,1.842B,1.842B,27.71B,2.151B,,2.151B,43.16B,,45.31B,76.53B,337.00M,4.61B,336.00M,165.00M,,,,126.00M,5.244B
2003-06,,27.78B,,27.78B,,,942.00M,,40.43B,,,,1.015B,,,1.708B,6.018B,61.00M,5.957B,30.15B,,42.68B,83.10B,2.238B,2.238B,,2.238B,2.035B,2.035B,2.035B,25.32B,1.676B,,1.676B,48.36B,,50.03B,78.02B,337.00M,4.455B,336.00M,189.00M,,,,146.00M,5.085B
2003-03,,22.59B,,22.59B,,,829.00M,,39.09B,,,,948.00M,,,1.677B,4.70B,61.00M,4.639B,29.92B,,40.02B,79.11B,1.991B,1.991B,,1.991B,2.004B,2.004B,2.004B,32.12B,1.616B,,1.616B,38.40B,,40.02B,74.06B,337.00M,4.525B,335.00M,210.00M,,,,94.00M,5.051B
2002-12,,29.50B,,29.50B,,,823.00M,,47.54B,,,,887.00M,,,589.00M,4.174B,61.00M,4.113B,29.06B,,38.25B,85.79B,1.967B,1.967B,,1.967B,3.44B,3.44B,3.44B,31.26B,1.27B,,1.27B,45.47B,,46.74B,81.01B,330.00M,4.472B,104.00M,225.00M,,,,106.00M,4.787B
2002-09,,25.80B,,25.80B,,,792.00M,,47.04B,,,,890.00M,,,674.00M,4.739B,61.00M,4.678B,21.86B,,30.52B,77.56B,1.70B,1.70B,,1.70B,1.192B,1.192B,1.192B,27.08B,1.262B,,1.262B,43.18B,,44.45B,73.21B,330.00M,4.037B,107.00M,250.00M,,,,125.00M,4.349B
2002-06,,27.56B,,27.56B,,,853.00M,,48.74B,,,,863.00M,,,616.00M,5.431B,63.00M,5.368B,20.89B,,31.59B,80.33B,1.649B,1.649B,,1.649B,1.131B,1.131B,1.131B,24.87B,1.272B,,1.272B,46.97B,,48.24B,76.14B,330.00M,3.893B,103.00M,256.00M,,,,117.00M,4.187B
2002-03,,25.06B,,25.06B,,,924.00M,,43.77B,,,,846.00M,,,612.00M,4.865B,61.00M,4.804B,21.62B,,29.53B,73.30B,1.501B,1.501B,,1.501B,706.00M,706.00M,706.00M,24.07B,1.242B,,1.242B,42.87B,,44.11B,69.30B,330.00M,3.755B,102.00M,206.00M,,,,13.00M,3.994B
2001-12,,21.97B,,21.97B,,,880.00M,,39.53B,,,,829.00M,,,612.00M,5.341B,58.00M,5.283B,21.78B,,30.32B,69.85B,1.582B,1.582B,,1.582B,1.012B,1.012B,1.012B,24.92B,1.217B,,1.217B,38.56B,,39.78B,66.00B,330.00M,3.612B,110.00M,277.00M,,,,70.00M,3.845B
2001-09,,23.12B,,23.12B,,,831.00M,,44.39B,,,,817.00M,,,,6.012B,55.00M,5.957B,19.10B,,28.78B,73.18B,1.509B,1.509B,,1.509B,1.40B,1.40B,1.40B,21.76B,1.217B,,1.217B,43.93B,,45.15B,69.37B,330.00M,3.477B,107.00M,191.00M,,,,85.00M,3.808B
2001-06,,23.54B,,23.54B,,,924.00M,,42.52B,,,,823.00M,,,,5.431B,61.00M,5.37B,18.78B,,27.80B,70.32B,1.418B,1.418B,,1.418B,1.379B,1.379B,1.379B,23.34B,1.218B,,1.218B,40.35B,,41.57B,66.64B,330.00M,3.34B,109.00M,115.00M,,,,13.00M,3.677B
2001-03,,19.09B,,19.09B,,,798.00M,,39.59B,,,,773.00M,,,,5.414B,58.00M,5.356B,18.08B,,28.01B,67.60B,1.284B,1.284B,,1.284B,683.00M,683.00M,683.00M,22.16B,1.218B,,1.218B,37.92B,,39.14B,64.12B,167.00M,3.368B,140.00M,220.00M,,,,29.00M,3.484B
2000-12,,22.91B,,22.91B,,,845.00M,,45.54B,,,,726.00M,,,,5.273B,57.00M,5.216B,14.74B,,23.76B,69.30B,1.431B,1.431B,,1.431B,632.00M,632.00M,632.00M,24.37B,1.219B,,1.219B,37.94B,,39.16B,66.04B,167.00M,3.278B,69.00M,251.00M,,,,-1.00M,3.262B
2000-09,,19.37B,,19.37B,,,754.00M,,40.40B,,,,675.00M,,,,5.689B,56.00M,5.633B,15.81B,,24.57B,64.98B,1.311B,1.311B,,1.311B,729.00M,729.00M,729.00M,21.91B,1.22B,,1.22B,36.94B,,38.16B,61.89B,167.00M,3.162B,71.00M,260.00M,,,,-51.00M,3.089B
2000-06,,20.14B,,20.14B,,,696.00M,,39.52B,,,,655.00M,,,,5.383B,53.00M,5.33B,16.83B,,25.11B,64.63B,1.151B,1.151B,,1.151B,275.00M,275.00M,275.00M,19.92B,1.22B,,1.22B,37.37B,,38.59B,61.70B,167.00M,3.038B,66.00M,265.00M,,,,-75.00M,2.931B
2000-03,,17.66B,,17.66B,,,721.00M,,35.37B,,,,722.00M,,,,5.193B,50.00M,5.143B,17.19B,,25.16B,60.53B,1.069B,1.069B,,1.069B,912.00M,912.00M,912.00M,19.27B,920.00M,,920.00M,36.15B,,37.07B,57.75B,167.00M,2.919B,55.00M,281.00M,,,,-83.00M,2.777B
1999-12,,19.83B,,19.83B,,,717.00M,,38.48B,,,,732.00M,,,,4.293B,48.00M,4.245B,15.49B,,22.42B,60.90B,1.133B,1.133B,,1.133B,1.104B,1.104B,1.104B,21.69B,921.00M,,921.00M,34.14B,,35.07B,58.24B,167.00M,2.795B,55.00M,308.00M,,,,-57.00M,2.652B
1999-09,,15.65B,,15.65B,,,686.00M,,29.88B,,,,726.00M,,,,7.126B,92.00M,7.034B,14.86B,,25.10B,54.97B,1.007B,1.007B,,1.007B,622.00M,622.00M,622.00M,17.95B,922.00M,,922.00M,31.95B,,32.88B,52.51B,167.00M,2.572B,47.00M,284.00M,,,,-40.00M,2.462B
1999-06,,16.00B,,16.00B,,,651.00M,,29.30B,,,,710.00M,,,,7.391B,88.00M,7.303B,13.79B,,24.03B,53.33B,945.00M,945.00M,,945.00M,198.00M,198.00M,198.00M,15.56B,922.00M,,922.00M,32.78B,,33.70B,50.89B,167.00M,2.469B,51.00M,208.00M,,,,-38.00M,2.441B
1999-03,,14.62B,,14.62B,,,621.00M,,29.31B,,,,716.00M,,,,6.329B,85.00M,6.244B,11.53B,,20.44B,49.75B,868.00M,868.00M,,868.00M,485.00M,485.00M,485.00M,16.97B,922.00M,,922.00M,28.06B,,28.99B,47.36B,167.00M,2.37B,56.00M,204.00M,,,,6.00M,2.395B
1998-12,,13.45B,,13.45B,,,610.00M,,28.04B,,,,700.00M,,,,6.309B,84.00M,6.225B,10.07B,,19.04B,47.08B,943.00M,943.00M,,943.00M,431.00M,431.00M,431.00M,14.85B,922.00M,,922.00M,27.54B,,28.46B,44.77B,167.00M,2.272B,63.00M,213.00M,,,,22.00M,2.311B
1998-09,,14.40B,,14.40B,,,597.00M,,31.16B,,,,684.00M,,,,6.353B,83.00M,6.27B,9.967B,,19.40B,50.61B,884.00M,884.00M,,884.00M,808.00M,808.00M,808.00M,17.58B,922.00M,,922.00M,27.92B,,28.84B,48.39B,,2.184B,,,,,,23.00M,2.218B
1998-06,,14.10B,,14.10B,,,579.00M,,28.25B,,,,669.00M,,,,6.137B,93.00M,6.044B,9.585B,,18.39B,46.71B,816.00M,816.00M,,816.00M,360.00M,360.00M,360.00M,13.07B,922.00M,,922.00M,29.42B,,30.34B,44.55B,,2.094B,,,,,,8.00M,2.158B
1998-03,,11.17B,,11.17B,,,636.00M,,20.90B,,,,546.00M,,,,5.68B,89.00M,5.591B,10.19B,,18.04B,39.01B,788.00M,788.00M,,788.00M,578.00M,578.00M,578.00M,11.31B,774.00M,,774.00M,23.59B,,24.37B,36.93B,,2.005B,,,,,,13.00M,2.077B
