,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-09,1.642B,1.642B,1.178B,463.90M,,204.50M,27.90M,-46.00M,,,,42.20M,284.90M,179.00M,,,-9.90M,,184.40M,46.30M,131.30M,,0.00,-6.80M,131.30M,177.70M,179.00M,,2003-09,0.77,,0.9251,0.60,,2003-09,0.0000,,0.9016,2003-09,222.10M,227.30M,0.23,,2003-09,,
2003-06,1.630B,1.630B,1.225B,404.50M,,243.40M,32.10M,-89.00M,,,,89.00M,364.50M,40.00M,,,-69.00M,,27.50M,-2.90M,26.60M,,,-3.80M,26.60M,164.70M,40.00M,,2003-06,0.12,,0.3631,0.12,,2003-06,,,0.3591,2003-06,219.70M,223.30M,0.23,,2003-06,,
2003-03,1.578B,1.578B,1.176B,401.80M,,206.60M,31.10M,12.20M,,,,-12.20M,225.50M,176.30M,,,27.40M,,162.90M,48.70M,113.60M,,,-0.60M,113.60M,156.40M,176.30M,,2003-03,0.52,,0.4810,0.52,,2003-03,,,0.4716,2003-03,219.20M,222.50M,0.21,,2003-03,,
2002-12,1.447B,1.447B,1.033B,414.00M,,193.30M,30.00M,3.30M,,,,-3.30M,220.00M,194.00M,,,31.60M,,190.60M,55.10M,128.70M,,-2.90M,-6.80M,125.80M,156.00M,194.00M,,2002-12,0.59,,0.5793,0.57,,2002-12,-0.0133,,0.5695,2002-12,218.80M,223.00M,0.21,,2002-12,,
2002-09,1.398B,1.398B,959.60M,438.40M,,209.90M,29.90M,7.30M,,,,-12.20M,231.40M,207.00M,,,40.90M,,211.90M,61.80M,144.30M,,,-5.80M,144.30M,167.20M,207.00M,,2002-09,0.60,,0.5762,0.66,,2002-09,,,0.5669,2002-09,217.60M,223.90M,0.21,,2002-09,,
2002-06,1.374B,1.374B,976.70M,397.30M,,172.90M,31.90M,22.60M,,,,-22.60M,182.20M,215.10M,,,40.30M,,205.30M,60.60M,141.30M,,,-3.40M,141.30M,148.20M,215.10M,,2002-06,0.65,,0.5769,0.65,,2002-06,,,0.5591,2002-06,218.00M,224.70M,0.21,,2002-06,,
2002-03,1.313B,1.313B,942.30M,370.40M,,189.10M,28.10M,57.30M,,,,-1.60M,215.60M,154.80M,,,77.60M,,199.80M,69.60M,126.10M,,,-4.10M,126.10M,136.40M,154.80M,,2002-03,0.58,,0.4076,0.58,,2002-03,,,0.4025,2002-03,216.60M,222.90M,0.20,,2002-03,,
2001-12,1.316B,1.316B,937.10M,379.40M,,169.30M,30.40M,4.50M,,,,-4.50M,195.20M,184.20M,,,22.90M,,167.50M,48.80M,113.70M,,,-5.00M,113.70M,139.30M,184.20M,,2001-12,0.53,,0.5152,0.53,,2001-12,,,0.5055,2001-12,215.70M,220.60M,0.20,,2001-12,,
2001-09,1.397B,1.397B,976.50M,420.10M,,269.40M,31.50M,58.10M,,,,-38.50M,281.80M,138.30M,,,79.70M,,141.90M,38.40M,103.10M,,,-0.40M,103.10M,139.40M,138.30M,,2001-09,0.48,,0.2830,0.48,,2001-09,,,0.2773,2001-09,215.10M,219.90M,0.20,,2001-09,,
2001-06,1.451B,1.451B,1.039B,411.60M,,173.30M,31.00M,8.10M,,,,-8.10M,196.20M,215.40M,,,29.90M,,188.50M,53.80M,132.30M,,,-2.40M,132.30M,141.90M,215.40M,,2001-06,0.62,,0.5931,0.62,,2001-06,,,0.5738,2001-06,214.90M,220.50M,0.20,,2001-06,,
2001-03,1.534B,1.534B,1.141B,393.50M,,189.50M,30.80M,-9.00M,,,,9.00M,229.30M,164.20M,,,7.90M,,131.20M,36.60M,94.60M,,,0.40M,94.60M,143.30M,164.20M,,2001-03,0.44,,0.4703,0.44,,2001-03,,,0.4596,2001-03,214.50M,218.90M,0.19,,2001-03,,
2000-12,1.441B,1.441B,1.025B,416.20M,,173.50M,28.50M,13.30M,,,,-13.30M,188.70M,227.50M,,,34.20M,,200.00M,61.70M,135.60M,,,-2.70M,135.60M,148.40M,227.50M,,2000-12,0.63,,0.5871,0.63,,2000-12,,,0.5778,2000-12,214.40M,217.90M,0.19,,2000-12,,
2000-09,1.592B,1.592B,1.172B,419.90M,,177.50M,32.10M,145.80M,,,,-19.00M,190.60M,229.30M,,,171.40M,,326.00M,106.50M,218.50M,,,-1.00M,218.50M,149.00M,229.30M,,2000-09,1.02,,0.5572,1.02,,2000-09,,,0.5719,2000-09,212.10M,224.10M,0.19,,2000-09,,
2000-06,1.406B,1.406B,993.70M,412.70M,,189.50M,32.30M,-487.00M,,,,4.50M,226.30M,186.40M,,,-466.60M,,-328.60M,-137.60M,-192.50M,,,-1.50M,-192.50M,150.40M,186.40M,,2000-06,-0.90,,0.4693,-0.90,,2000-06,,,0.4693,2000-06,213.40M,213.40M,0.19,,2000-06,,
2000-03,1.347B,1.347B,925.60M,421.60M,,179.90M,29.90M,-127.60M,,,,-7.10M,202.70M,218.90M,,,-106.30M,,58.70M,8.30M,47.60M,,,-2.80M,47.60M,144.60M,218.90M,,2000-03,0.22,,0.7336,0.22,,2000-03,,,0.7286,2000-03,213.30M,215.40M,0.18,,2000-03,,
1999-12,1.264B,1.264B,877.10M,387.30M,,167.80M,30.10M,-106.40M,,,,-6.80M,191.10M,196.20M,,,-86.10M,,62.00M,9.10M,50.60M,,,-2.30M,50.60M,131.70M,196.20M,,1999-12,0.24,,0.6658,0.24,,1999-12,,,0.6513,1999-12,213.20M,215.50M,0.18,,1999-12,,
1999-09,1.254B,1.254B,736.90M,517.50M,,166.50M,32.70M,40.60M,,,,,339.60M,177.90M,,,40.60M,,176.60M,54.00M,122.60M,,,-2.90M,122.60M,140.40M,177.90M,,1999-09,0.57,,0.4377,0.57,,1999-09,,,0.4397,1999-09,213.10M,216.30M,0.18,,1999-09,,
1999-06,1.238B,1.238B,745.50M,492.30M,,172.60M,29.40M,18.10M,,,,,327.50M,164.80M,,,18.10M,,139.00M,44.40M,94.60M,,,-4.60M,94.60M,125.50M,164.80M,,1999-06,0.45,,0.3920,0.45,,1999-06,,,0.3832,1999-06,212.50M,217.00M,0.18,,1999-06,,
1999-03,1.253B,1.253B,744.00M,509.30M,,168.30M,29.30M,18.50M,,,,,331.10M,178.20M,,,18.50M,,152.00M,45.10M,106.90M,,,-4.30M,106.90M,133.50M,178.20M,,1999-03,0.51,,0.4485,0.51,,1999-03,,,0.4395,1999-03,211.60M,215.10M,0.17,,1999-03,,
1998-12,1.275B,1.275B,875.60M,399.00M,,183.20M,31.70M,36.10M,,,,-4.90M,210.00M,189.00M,,,45.90M,,189.60M,59.90M,126.40M,,,-3.30M,126.40M,127.80M,189.00M,,1998-12,0.60,,0.4832,0.60,,1998-12,,,0.4732,1998-12,211.40M,211.40M,0.17,,1998-12,,
1998-09,1.250B,1.250B,715.30M,535.00M,,165.20M,30.00M,18.80M,,,,,325.60M,209.40M,,,18.80M,,186.80M,59.10M,127.70M,,,0.20M,127.70M,130.40M,209.40M,,1998-09,0.60,,0.5399,0.60,,1998-09,,,0.5303,1998-09,213.91M,215.16M,0.17,,1998-09,,
1998-06,1.236B,1.236B,585.80M,650.50M,,171.90M,28.70M,39.30M,,,,,439.00M,211.50M,,,39.30M,,208.60M,70.50M,138.10M,,,-0.20M,138.10M,120.80M,211.50M,,1998-06,0.64,,0.5194,0.64,,1998-06,,,0.5113,1998-06,215.78M,219.21M,0.17,,1998-06,,
