,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-06,7.271B,7.324B,5.19B,2.134B,798.00M,305.00M,53.00M,,,,,1.103B,1.031B,,,,53.00M,,890.00M,266.00M,624.00M,,-45.00M,8.00M,624.00M,586.84M,1.22B,189.00M,1.031B,0.65,0.0,0.6107,0.65,0.615,0.0,0.5784,0.615,946.00M,1.014B,0.1225
2002-03,6.321B,6.374B,4.485B,1.889B,754.00M,338.00M,53.00M,,,,,1.092B,797.00M,,,,53.00M,,698.00M,198.00M,467.00M,,-33.00M,8.00M,467.00M,429.03M,972.00M,175.00M,797.00M,0.485,0.0,0.4449,0.485,0.46,0.0,0.4226,0.46,946.00M,1.014B,0.1225
2001-12,6.894B,6.974B,5.168B,1.806B,860.00M,301.00M,,,,,,1.161B,645.00M,,,,,,620.00M,161.00M,459.00M,,-29.00M,,345.00M,345.00M,883.00M,238.00M,645.00M,0.36,0.0,0.36,0.36,0.345,0.0,0.345,0.345,941.60M,1.007B,0.1125
2001-09,6.734B,6.92B,4.923B,1.997B,857.00M,318.00M,186.00M,,,,,1.175B,822.00M,,,,186.00M,,694.00M,129.00M,565.00M,,-28.00M,7.00M,565.00M,413.57M,1.042B,220.00M,822.00M,0.595,0.0,0.4339,0.595,0.56,0.0,0.4098,0.56,940.00M,1.008B,0.1125
2001-06,7.332B,7.332B,5.184B,2.148B,821.00M,338.00M,,,,,,1.159B,989.00M,,,,,,880.00M,261.00M,588.00M,,-31.00M,,588.00M,588.00M,1.214B,225.00M,989.00M,0.615,0.0,0.615,0.615,0.58,0.0,0.58,0.58,942.00M,1.014B,0.1125
2001-03,6.597B,6.671B,4.59B,2.081B,785.00M,297.00M,74.00M,,,,,1.304B,777.00M,,,,74.00M,,670.00M,204.00M,440.00M,,-26.00M,8.00M,440.00M,388.53M,999.00M,222.00M,777.00M,0.46,0.0,0.4054,0.46,0.43,0.0,0.3793,0.43,942.00M,1.016B,0.1125
2000-12,6.689B,7.066B,5.469B,1.597B,842.00M,350.00M,,,,,,553.00M,1.044B,,,,,,717.00M,194.00M,426.00M,,-19.00M,,426.00M,426.00M,1.264B,220.00M,1.044B,0.445,0.0,0.445,0.445,0.42,0.0,0.42,0.42,940.80M,1.016B,0.1125
2000-09,6.339B,6.339B,4.315B,2.024B,761.00M,329.00M,126.00M,,,,,1.30B,724.00M,,,,126.00M,,726.00M,230.00M,496.00M,,-27.00M,8.00M,496.00M,409.92M,934.00M,210.00M,724.00M,0.52,0.0,0.428,0.52,0.49,0.0,0.4049,0.49,936.00M,1.012B,0.1
2000-06,6.871B,6.871B,4.77B,2.101B,787.00M,309.00M,90.00M,,,,,1.313B,788.00M,,,,90.00M,,761.00M,252.00M,509.00M,,-24.00M,8.00M,509.00M,448.80M,1.005B,217.00M,788.00M,0.535,0.0,0.471,0.535,0.5,0.0,0.4408,0.5,940.00M,1.016B,0.1
2000-03,6.307B,6.307B,4.416B,1.891B,781.00M,314.00M,83.00M,,,,,1.307B,584.00M,,,,83.00M,,554.00M,177.00M,377.00M,,-27.00M,8.00M,377.00M,320.52M,796.00M,212.00M,584.00M,0.39,0.0,0.3303,0.39,0.37,0.0,0.3147,0.37,946.00M,1.022B,0.1
1999-12,6.41B,6.41B,4.774B,1.636B,953.00M,406.00M,107.00M,,,,,1.589B,47.00M,,,,107.00M,,47.00M,-9.00M,56.00M,0.00,-22.00M,8.00M,56.00M,-8.20M,277.00M,230.00M,47.00M,0.0506,0.0,-0.0171,0.0506,0.0506,0.0,-0.0171,0.0506,949.09M,949.09M,0.1
1999-09,6.068B,6.068B,4.648B,1.42B,786.00M,306.00M,59.00M,,,,,1.301B,119.00M,,,,59.00M,,92.00M,2.00M,90.00M,,-23.00M,9.00M,90.00M,32.28M,328.00M,209.00M,119.00M,0.0425,0.0,0.0124,0.0425,0.04,0.0,0.0108,0.04,1.92B,1.976B,0.1
1999-06,5.984B,5.984B,4.15B,1.834B,693.00M,306.00M,57.00M,,,,,1.196B,638.00M,,,,57.00M,,613.00M,196.00M,417.00M,660.00M,-25.00M,8.00M,1.077B,378.23M,835.00M,197.00M,638.00M,0.2225,0.36,0.2014,0.5825,0.2075,0.33,0.1882,0.5375,1.836B,2.004B,0.09
1999-03,5.382B,5.382B,3.794B,1.588B,701.00M,274.00M,60.00M,,,,,1.158B,430.00M,,,,60.00M,,414.00M,136.00M,278.00M,30.00M,-21.00M,8.00M,308.00M,237.71M,613.00M,183.00M,430.00M,0.075,0.0088,0.0638,0.0838,0.0712,0.0075,0.061,0.0788,3.608B,3.936B,0.09
1998-12,6.009B,6.009B,4.239B,1.77B,760.00M,324.00M,-22.00M,,,,,1.27B,500.00M,,,,-22.00M,,401.00M,132.00M,269.00M,18.00M,-20.00M,9.00M,287.00M,283.76M,686.00M,186.00M,500.00M,0.2888,0.02,0.3052,0.3088,0.2888,0.02,0.3052,0.3088,900.21M,900.21M,0.09
1998-09,5.71B,5.71B,3.986B,1.724B,639.00M,288.00M,-27.00M,,,,,1.143B,581.00M,,,,-27.00M,,485.00M,159.00M,326.00M,22.00M,-21.00M,8.00M,348.00M,344.15M,797.00M,184.00M,581.00M,0.0875,0.0062,0.0925,0.0938,0.0825,0.005,0.0871,0.0875,3.632B,3.944B,0.09
1998-06,5.848B,5.848B,4.095B,1.753B,677.00M,279.00M,-17.00M,,,,,1.17B,583.00M,,,,-17.00M,,496.00M,163.00M,333.00M,27.00M,-25.00M,8.00M,360.00M,344.41M,797.00M,179.00M,583.00M,0.0888,0.0075,0.0919,0.0962,0.0838,0.0062,0.0866,0.09,3.664B,3.984B,0.09
