,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDiluted,,SharesData(Quarterly),,SECFilingLinks,AsOriginallyReported,Restated
2001-12,47.58M,47.58M,29.92M,17.67M,,,11.60M,5.279M,,-1.575M,,,,,16.88M,0.794M,,,,-1.575M,,-1.492M,0.081M,-1.573M,,2.752M,1.958M,0.794M,,2001-12,-0.0103,-0.025,,2001-12,-0.025,-0.025,,2001-12,,2001-12,,
2001-09,46.97M,46.97M,32.60M,14.36M,,,12.46M,5.342M,,1.265M,,,,,17.81M,-3.445M,,,,1.265M,,-4.909M,0.018M,-4.927M,,-1.193M,2.252M,-3.445M,,2001-09,-0.0897,-0.0775,,2001-09,-0.0788,-0.0788,,2001-09,,2001-09,,
2001-06,44.94M,44.94M,26.29M,18.65M,,,12.87M,5.536M,,-1.618M,,,,,18.40M,0.244M,,,,-1.618M,,-1.116M,0.097M,-1.213M,,1.973M,1.729M,0.244M,,2001-06,-0.0043,-0.02,,2001-06,-0.02,-0.02,,2001-06,,2001-06,,
2001-03,43.74M,43.74M,26.81M,16.93M,9.303M,5.827M,15.13M,6.466M,,-1.041M,,,,-2.459M,21.60M,-4.668M,,,,-1.041M,,-7.891M,0.054M,-7.945M,,-2.209M,2.459M,-4.668M,,2001-03,-0.1174,-0.1275,,2001-03,-0.1275,-0.1275,,2001-03,,2001-03,,
2000-12,44.55M,44.55M,31.28M,13.27M,,,14.25M,5.983M,,,,,,,20.23M,-6.959M,,,,,,-6.765M,,-6.765M,,-4.664M,2.295M,-6.959M,,2000-12,-0.11,-0.11,,2000-12,-0.11,-0.11,,2000-12,,2000-12,,
2000-09,27.71M,27.71M,28.03M,-0.326M,,,10.91M,4.552M,,-4.918M,,,,,12.35M,-12.68M,,,,-4.918M,,-17.02M,-6.10M,-10.92M,,-11.37M,1.309M,-12.68M,,2000-09,-0.1287,-0.18,,2000-09,-0.18,-0.18,,2000-09,,2000-09,,
2000-06,22.08M,22.08M,12.80M,9.284M,,,9.259M,3.872M,,-0.008M,,,,,14.31M,-5.023M,,,,-0.008M,,-4.143M,-1.50M,-2.643M,,-3.847M,1.176M,-5.023M,,2000-06,-0.0424,-0.0425,,2000-06,-0.0425,-0.0425,,2000-06,,2000-06,,
2000-03,23.25M,23.25M,12.72M,10.53M,,,10.05M,4.042M,,-0.044M,,,,,14.89M,-4.366M,,,,-0.044M,,-3.384M,-1.20M,-2.184M,,-3.231M,1.135M,-4.366M,,2000-03,-0.0345,-0.035,,2000-03,-0.035,-0.035,,2000-03,,2000-03,,
1999-12,21.10M,21.10M,12.20M,8.90M,,,8.80M,4.70M,,,,,,,14.30M,-5.40M,,,,,,-4.50M,-1.60M,-2.90M,,-4.60M,0.80M,-5.40M,,1999-12,-0.0475,-0.0475,,1999-12,-0.0475,-0.0475,,1999-12,,1999-12,,
1999-09,20.10M,20.10M,12.50M,7.599M,,,7.90M,4.40M,,0.10M,,,,,13.70M,-6.101M,,,,0.10M,,-4.90M,-1.80M,-3.10M,,-4.701M,1.40M,-6.101M,,1999-09,-0.0563,-0.055,,1999-09,-0.055,-0.055,,1999-09,,1999-09,,
1999-06,20.01M,20.01M,11.20M,8.808M,,,7.80M,3.20M,,-0.20M,,,,,11.90M,-3.092M,,,,-0.20M,,-2.40M,-0.90M,-1.50M,,-2.192M,0.90M,-3.092M,,1999-06,-0.0252,-0.0275,,1999-06,-0.0275,-0.0275,,1999-06,,1999-06,,
1999-03,19.40M,19.40M,10.70M,8.70M,,,7.60M,2.60M,,-0.30M,,,,,11.00M,-2.30M,,,,-0.30M,,-1.70M,-0.60M,-1.10M,,-1.50M,0.80M,-2.30M,,1999-03,-0.0165,-0.02,,1999-03,-0.02,-0.02,,1999-03,,1999-03,,
1998-12,24.60M,24.60M,12.40M,12.20M,,,7.40M,2.50M,,-0.10M,,,,,10.30M,1.90M,,,,-0.10M,,3.10M,1.10M,2.00M,,2.30M,0.40M,1.90M,,1998-12,0.0387,0.0375,,1998-12,0.0375,0.0375,,1998-12,,1998-12,,
1998-09,24.90M,24.90M,11.90M,13.00M,,,9.00M,2.60M,,5.60M,,,,,12.30M,0.70M,,,,5.60M,,1.90M,0.60M,1.30M,,1.40M,0.70M,0.70M,,1998-09,-0.0471,0.0225,,1998-09,0.0225,0.0225,,1998-09,,1998-09,,
1998-06,34.40M,34.40M,14.70M,19.70M,,,10.90M,2.30M,,-0.10M,,,,,14.40M,5.30M,,,,-0.10M,,6.80M,2.50M,4.30M,,6.50M,0.40M,5.30M,,1998-06,0.0812,0.08,,1998-06,0.0775,0.0775,,1998-06,,1998-06,,
