,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-09,3.113B,3.113B,2.418B,695.00M,491.00M,,-5.00M,,,,,491.00M,204.00M,,,,-5.00M,,162.00M,57.00M,105.00M,,,-3.00M,105.00M,108.24M,316.00M,112.00M,204.00M,,1.51,0.00,,1.557,1.51,,1.48,0.00,,1.526,1.48,,69.20M,70.90M,0.34,,,
2003-06,2.988B,2.988B,2.332B,656.00M,461.00M,,-13.00M,,,,,461.00M,195.00M,,,,-13.00M,,144.00M,50.00M,94.00M,,,-2.00M,94.00M,102.49M,305.00M,110.00M,195.00M,,1.37,0.00,,1.494,1.37,,1.35,0.00,,1.472,1.35,,68.70M,69.70M,0.34,,,
2003-03,2.716B,2.716B,2.094B,622.00M,433.00M,,-9.00M,,,,,433.00M,189.00M,,,,-9.00M,,143.00M,52.00M,91.00M,,,-2.00M,91.00M,96.73M,297.00M,108.00M,189.00M,,1.33,0.00,,1.414,1.33,,1.32,0.00,,1.403,1.32,,68.30M,69.00M,0.34,,,
2002-12,2.946B,2.946B,2.275B,671.00M,456.00M,10.00M,-53.00M,,,,,466.00M,205.00M,,,,-55.00M,,95.00M,42.00M,13.00M,,0.00,-6.00M,-30.00M,44.80M,319.00M,114.00M,205.00M,,0.19,-0.62,0.00,0.6563,-0.42,,0.11,-0.62,0.0133,0.5409,-0.42,,68.20M,73.80M,0.34,,,
2002-09,2.759B,2.759B,2.114B,645.00M,442.00M,1.00M,-3.00M,,,,,443.00M,202.00M,,,,-3.00M,,157.00M,56.00M,101.00M,,,-3.00M,101.00M,102.93M,305.00M,103.00M,202.00M,,1.48,0.00,,1.508,1.48,,1.46,0.00,,1.488,1.46,,68.20M,69.00M,0.34,,,
2002-06,2.737B,2.737B,2.103B,634.00M,432.00M,1.00M,-24.00M,,,,,433.00M,201.00M,,,,-49.00M,,114.00M,51.00M,63.00M,,,-3.00M,63.00M,77.40M,296.00M,95.00M,201.00M,,0.93,0.00,,1.141,0.93,,0.91,0.00,,1.115,0.91,,68.10M,70.10M,0.34,,,
2002-03,2.574B,2.574B,1.982B,592.00M,406.00M,1.00M,-21.00M,,,,,407.00M,185.00M,,,,-21.00M,,129.00M,45.00M,84.00M,,,-1.00M,84.00M,97.67M,278.00M,93.00M,185.00M,,1.25,0.00,,1.453,1.25,,1.21,0.00,,1.407,1.21,,67.30M,69.30M,0.34,,,
2001-12,2.648B,2.648B,1.989B,659.00M,436.00M,8.00M,-103.00M,,,,-5.00M,439.00M,220.00M,,,,-109.00M,,67.00M,46.00M,21.00M,0.00,0.00,-5.00M,16.00M,,319.00M,99.00M,220.00M,,0.31,0.00,0.00,0.31,0.31,,0.30,0.00,-0.0003,0.30,0.31,,67.00M,68.60M,0.34,,,
2001-09,2.594B,2.594B,1.988B,606.00M,392.00M,7.00M,-320.00M,,,,300.00M,699.00M,-93.00M,,,,-321.00M,,-158.00M,-64.00M,-94.00M,,,-3.00M,-94.00M,98.00M,5.00M,98.00M,-93.00M,,-1.40,0.00,,1.466,-1.40,,-1.40,0.00,,1.466,-1.40,,67.00M,67.00M,0.34,,,
2001-06,2.585B,2.585B,1.989B,596.00M,405.00M,7.00M,-21.00M,,,,,412.00M,184.00M,,,,-19.00M,,117.00M,43.00M,74.00M,-21.00M,,-5.00M,53.00M,87.28M,281.00M,97.00M,184.00M,,1.12,-0.32,,1.320,0.80,,1.10,-0.32,,1.296,0.78,,66.50M,67.70M,0.34,,,
2001-03,2.517B,2.517B,1.959B,558.00M,406.00M,7.00M,-53.00M,,,,,413.00M,145.00M,,,,-52.00M,,50.00M,17.00M,33.00M,,8.00M,1.00M,41.00M,67.98M,247.00M,102.00M,145.00M,,0.49,0.13,0.00,1.018,0.62,,0.49,0.12,0.1196,1.013,0.61,,66.30M,66.90M,0.34,,,
2000-12,2.579B,2.579B,1.885B,694.00M,440.00M,,24.00M,,,,,527.00M,167.00M,,,,24.00M,,89.00M,23.00M,66.00M,,,-4.00M,66.00M,48.20M,254.00M,87.00M,167.00M,,1.03,0.00,,0.7628,1.03,,1.02,0.00,,0.7590,1.02,,66.60M,68.20M,0.34,,,
2000-09,2.57B,2.57B,1.885B,685.00M,417.00M,,-14.00M,,,,,512.00M,173.00M,,,,-14.00M,,108.00M,41.00M,67.00M,,,-2.00M,67.00M,75.69M,268.00M,95.00M,173.00M,,0.98,0.00,,1.106,0.98,,0.98,0.00,,1.106,0.98,,68.70M,68.70M,0.34,,,
2000-06,2.586B,2.586B,1.849B,737.00M,389.00M,,3.00M,,,,,505.00M,232.00M,,,,3.00M,,184.00M,63.00M,121.00M,,,-5.00M,121.00M,119.03M,348.00M,116.00M,232.00M,,1.68,0.00,,1.653,1.68,,1.66,0.00,,1.633,1.66,,72.02M,72.89M,0.34,,,
2000-03,2.59B,2.59B,1.848B,742.00M,405.00M,,-11.00M,,,,,507.00M,235.00M,,,,-11.00M,,183.00M,71.00M,112.00M,,,-3.00M,112.00M,118.73M,337.00M,102.00M,235.00M,,1.53,0.00,,1.622,1.53,,1.52,0.00,,1.611,1.52,,73.20M,73.68M,0.34,,,
1999-12,2.689B,2.689B,1.889B,800.00M,457.00M,,176.00M,,,,,559.00M,241.00M,,,,176.00M,,176.00M,63.00M,113.00M,,,-6.00M,113.00M,0.00,343.00M,102.00M,241.00M,,1.51,0.00,,-0.0099,1.51,,1.50,0.00,,-0.0150,1.50,,74.35M,74.59M,0.34,,,
1999-09,2.719B,2.719B,1.948B,771.00M,437.00M,,-29.00M,,,,,533.00M,238.00M,,,,-29.00M,,172.00M,65.00M,107.00M,,,4.00M,107.00M,125.04M,334.00M,96.00M,238.00M,,1.42,0.00,,1.659,1.42,,1.40,0.00,,1.636,1.40,,75.35M,76.43M,0.34,,,
1999-06,2.617B,2.617B,1.865B,752.00M,437.00M,,1.00M,,,,,547.00M,205.00M,,,,1.00M,,161.00M,62.00M,99.00M,,,-6.00M,99.00M,98.39M,315.00M,110.00M,205.00M,,1.32,0.00,,1.312,1.32,,1.30,0.00,,1.292,1.30,,75.50M,76.50M,0.34,,,
1999-03,2.486B,2.486B,1.767B,719.00M,421.00M,,-154.00M,,,,,530.00M,189.00M,,,,-154.00M,,36.00M,8.00M,28.00M,,,42.00M,28.00M,147.78M,298.00M,109.00M,189.00M,,0.37,0.00,,1.948,0.37,,0.36,0.00,,1.934,0.36,,75.90M,76.10M,0.34,,,
1998-12,2.735B,2.735B,1.958B,777.00M,498.00M,,26.00M,,,,,596.00M,181.00M,,,,26.00M,,131.00M,48.00M,83.00M,0.00,,-13.00M,83.00M,66.53M,279.00M,98.00M,181.00M,,1.09,0.01,,0.8716,1.10,,1.09,0.00,,0.8736,1.09,,75.44M,76.14M,0.34,,,
1998-09,2.539B,2.539B,1.828B,711.00M,421.00M,,28.00M,,,,,531.00M,180.00M,,,,28.00M,,134.00M,56.00M,78.00M,,,-4.00M,78.00M,61.20M,290.00M,110.00M,180.00M,,1.03,0.00,,0.8082,1.03,,1.02,0.00,,0.8003,1.02,,75.73M,76.47M,0.34,,,
1998-06,2.585B,2.585B,1.856B,729.00M,456.00M,,44.00M,,,,,571.00M,158.00M,,,,44.00M,,130.00M,49.00M,81.00M,3.00M,,-7.00M,84.00M,53.58M,273.00M,115.00M,158.00M,,1.07,0.04,,0.7077,1.11,,1.05,0.04,,0.6910,1.10,,75.68M,76.36M,0.34,,,
1998-03,2.464B,2.464B,1.764B,700.00M,416.00M,,40.00M,,,,,531.00M,169.00M,,,,40.00M,,124.00M,56.00M,68.00M,12.00M,,-22.00M,80.00M,44.00M,284.00M,115.00M,169.00M,,0.91,0.15,,0.592,1.06,,0.90,0.15,,0.585,1.05,,75.47M,76.19M,0.34,,,
1997-12,2.51B,2.51B,1.788B,722.00M,165.00M,,-341.00M,,,,,273.00M,449.00M,,,,-341.00M,,67.00M,17.00M,50.00M,42.00M,,17.00M,92.00M,304.48M,557.00M,108.00M,449.00M,,0.67,0.56,,4.039,1.23,,0.67,0.56,,3.971,1.23,,75.52M,77.08M,0.34,,,
1997-09,2.043B,2.043B,1.518B,525.00M,706.00M,,8.00M,,,,,789.00M,-264.00M,,,,8.00M,,-271.00M,-71.00M,-200.00M,-18.00M,,22.00M,-218.00M,-205.90M,-181.00M,67.00M,-264.00M,,-2.68,-0.24,,-2.759,-2.92,,-2.68,-0.24,,-2.759,-2.92,,74.66M,74.66M,0.34,,,
1997-06,2.117B,2.117B,1.507B,610.00M,393.00M,,28.00M,,,,,483.00M,127.00M,,,,28.00M,,97.00M,32.00M,65.00M,,,4.00M,65.00M,46.24M,217.00M,90.00M,127.00M,,0.82,0.05,,0.5689,0.87,,0.81,0.05,,0.5618,0.86,,74.71M,75.58M,0.34,,,
1997-03,1.99B,1.99B,1.453B,537.00M,373.00M,,17.00M,,,,,464.00M,73.00M,,,,17.00M,,59.00M,16.00M,43.00M,3.00M,,4.00M,46.00M,30.61M,164.00M,91.00M,73.00M,,0.57,0.05,,0.4030,0.62,,0.57,0.05,,0.4030,0.62,,74.19M,74.19M,0.34,,,
1996-12,1.992B,1.992B,1.596B,396.00M,341.00M,,88.00M,,,,,424.00M,-28.00M,,,,88.00M,,42.00M,12.00M,30.00M,,,12.00M,45.00M,-32.86M,55.00M,83.00M,-28.00M,,0.54,0.06,,-0.2965,0.60,,0.53,0.06,,-0.2916,0.59,,75.14M,76.51M,0.34,,,
1996-09,2.20B,2.20B,1.591B,609.00M,405.00M,,-38.00M,,,,,493.00M,116.00M,,,,-38.00M,,40.00M,19.00M,21.00M,,,3.00M,21.00M,43.80M,204.00M,88.00M,116.00M,,0.26,0.02,,0.564,0.28,,0.26,0.02,,0.564,0.28,,75.00M,75.00M,0.34,,,
1996-06,2.272B,2.272B,1.644B,628.00M,418.00M,,-2.00M,,,,,511.00M,117.00M,,,,-2.00M,,73.00M,21.00M,52.00M,,,2.00M,52.00M,53.42M,210.00M,93.00M,117.00M,,0.64,0.07,,0.6595,0.71,,0.63,0.07,,0.6492,0.70,,73.24M,74.29M,0.34,,,
1996-03,2.059B,2.059B,1.474B,585.00M,393.00M,,-8.00M,,,,,482.00M,103.00M,,,,-8.00M,,56.00M,18.00M,38.00M,,,1.00M,38.00M,43.43M,192.00M,89.00M,103.00M,,0.46,0.05,,0.5329,0.51,,0.46,0.05,,0.5329,0.51,,74.51M,74.51M,0.34,,,
1995-12,1.909B,1.909B,1.559B,350.00M,341.00M,,73.00M,,,,,404.00M,-54.00M,,,,73.00M,,-2.00M,-6.00M,4.00M,,,4.00M,18.00M,-39.80M,9.00M,63.00M,-54.00M,,0.09,0.19,,-0.5295,0.28,,0.09,0.18,,-0.5147,0.27,,70.70M,72.43M,0.34,,,
1995-09,2.154B,2.154B,1.541B,613.00M,380.00M,,-11.00M,,,,,465.00M,148.00M,,,,-11.00M,,94.00M,30.00M,64.00M,,,-2.00M,64.00M,71.49M,233.00M,85.00M,148.00M,,0.85,0.00,,0.9495,0.85,,0.83,0.00,,0.9271,0.83,,75.29M,77.11M,0.34,,,
1995-06,2.115B,2.115B,1.51B,605.00M,404.00M,,-7.00M,,,,,484.00M,121.00M,,,,-7.00M,,79.00M,27.00M,52.00M,,,-1.00M,52.00M,56.61M,201.00M,80.00M,121.00M,,0.70,0.00,,0.7620,0.70,,0.70,0.00,,0.7620,0.70,,74.29M,74.29M,0.68,,,
1995-03,1.985B,1.985B,1.354B,631.00M,396.00M,,-6.00M,,,,,480.00M,151.00M,,,,-6.00M,,114.00M,39.00M,75.00M,,,-2.00M,75.00M,78.95M,235.00M,84.00M,151.00M,,1.00,0.00,,1.053,1.00,,0.98,0.00,,1.032,0.98,,75.00M,76.53M,0.34,,,
1994-12,2.099B,2.099B,1.473B,626.00M,396.00M,,-229.00M,,,,,457.00M,169.00M,,,,-229.00M,,-99.00M,-8.00M,-91.00M,,,-7.00M,-91.00M,119.49M,230.00M,61.00M,169.00M,,-1.20,0.00,,1.583,-1.20,,-1.20,0.00,,1.583,-1.20,,75.64M,75.64M,0.305,,,
1994-09,2.085B,2.085B,1.47B,615.00M,374.00M,,14.00M,,,,,442.00M,173.00M,,,,14.00M,,155.00M,57.00M,98.00M,,,-3.00M,98.00M,89.15M,241.00M,68.00M,173.00M,,1.30,0.00,,1.183,1.30,,1.27,0.00,,1.155,1.27,,75.38M,77.17M,0.305,,,
1994-06,2.05B,2.05B,1.447B,603.00M,373.00M,,32.00M,,,,,441.00M,162.00M,,,,32.00M,,165.00M,81.00M,84.00M,,,-3.00M,84.00M,64.80M,232.00M,70.00M,162.00M,,1.10,0.00,,0.8486,1.10,,1.09,0.00,,0.8409,1.09,,76.36M,77.06M,0.305,,,
1994-03,1.87B,1.87B,1.298B,572.00M,347.00M,,-14.00M,,,,,414.00M,158.00M,,,,-14.00M,,113.00M,46.00M,67.00M,,,-4.00M,67.00M,75.40M,225.00M,67.00M,158.00M,,0.90,0.00,,1.013,0.90,,0.88,0.00,,0.9903,0.88,,74.44M,76.14M,0.305,,,
1993-12,1.904B,1.904B,1.317B,587.00M,377.00M,,-22.00M,,,,,415.00M,172.00M,,,,-22.00M,,118.00M,49.00M,69.00M,,0.00,-6.00M,69.00M,82.20M,210.00M,38.00M,172.00M,,1.35,2.20,0.00,1.543,1.03,,1.27,2.20,0.0176,1.421,0.98,,68.42M,87.32M,0.305,,,
1993-09,1.909B,1.909B,1.33B,579.00M,348.00M,,-19.00M,,,,,416.00M,163.00M,,,,-19.00M,,111.00M,41.00M,70.00M,,,-3.00M,70.00M,81.98M,231.00M,64.00M,163.00M,,0.96,0.00,,1.124,0.96,,0.95,0.00,,1.113,0.95,,72.92M,73.68M,0.305,,,
1993-06,1.912B,1.912B,1.353B,559.00M,337.00M,,-2.00M,,,,,410.00M,149.00M,,,,-2.00M,,112.00M,38.00M,74.00M,,,7.00M,74.00M,75.32M,222.00M,73.00M,149.00M,,1.04,0.00,,1.059,1.04,,1.01,0.00,,1.028,1.01,,71.15M,73.27M,0.305,,,
1993-03,1.808B,1.808B,1.27B,538.00M,371.00M,,-2.00M,,,,,437.00M,101.00M,,,,-2.00M,,38.00M,20.00M,18.00M,,-180.00M,,-162.00M,19.20M,167.00M,66.00M,101.00M,,0.25,-2.27,-0.0000,0.2650,-2.02,,0.25,-2.27,-2.244,0.2650,-2.02,,80.20M,80.20M,0.275,,,
1992-12,1.997B,1.997B,1.202B,795.00M,391.00M,,-241.00M,,,,,477.00M,318.00M,,,,-241.00M,,104.00M,42.00M,62.00M,,,,62.00M,206.60M,404.00M,86.00M,318.00M,,0.52,0.35,,2.544,0.87,,0.49,0.35,,2.443,0.84,,71.43M,74.05M,0.275,,,
1992-09,1.86B,1.86B,1.366B,494.00M,322.00M,,40.00M,,,,,385.00M,109.00M,,,,40.00M,,96.00M,41.00M,55.00M,,,,55.00M,31.00M,174.00M,65.00M,109.00M,,0.78,0.00,,0.4396,0.78,,0.75,0.00,,0.4227,0.75,,70.51M,73.33M,0.275,,,
1992-06,1.781B,1.781B,1.301B,480.00M,313.00M,,46.00M,,,,,375.00M,105.00M,,,,46.00M,,89.00M,36.00M,53.00M,,,,53.00M,25.40M,167.00M,61.00M,105.00M,,0.75,0.00,,0.3594,0.75,,0.73,0.00,,0.3498,0.73,,70.67M,72.60M,0.275,,,
1992-03,1.663B,1.663B,1.222B,441.00M,297.00M,,46.00M,,,,,360.00M,81.00M,,,,46.00M,,70.00M,35.00M,35.00M,,,,35.00M,7.40M,144.00M,63.00M,81.00M,,0.50,0.00,,0.1057,0.50,,0.49,0.00,,0.1036,0.49,,70.00M,71.43M,0.275,,,
1991-12,1.644B,1.644B,1.246B,398.00M,245.00M,,34.00M,,,,,305.00M,93.00M,,,,34.00M,,76.00M,36.00M,40.00M,,,,40.00M,19.60M,153.00M,60.00M,93.00M,,0.13,0.43,,-0.1562,0.56,,0.11,0.43,,-0.1672,0.54,,71.28M,73.60M,0.275,,,
1991-09,1.619B,1.619B,1.163B,455.70M,316.00M,,70.00M,,,,,373.70M,82.00M,,,,70.00M,,81.00M,33.00M,48.00M,,,,48.00M,6.00M,139.70M,56.00M,82.00M,,0.69,0.00,,0.0862,0.69,,0.69,0.00,,0.0862,0.69,,69.57M,69.57M,0.275,,,
1991-06,1.723B,1.723B,1.266B,456.50M,327.00M,,71.00M,,,,,385.50M,71.00M,,,,71.00M,,89.00M,31.00M,58.00M,,,,58.00M,11.73M,129.50M,54.00M,71.00M,,0.83,0.00,,0.1679,0.83,,0.83,0.00,,0.1679,0.83,,69.88M,69.88M,0.275,,,
1991-03,1.564B,1.564B,1.136B,428.00M,294.00M,,42.00M,,,,,357.00M,71.00M,,,,42.00M,,54.00M,30.00M,24.00M,,,-5.00M,24.00M,-1.20M,134.00M,63.00M,71.00M,,0.35,0.00,,-0.0175,0.35,,0.35,0.00,,-0.0175,0.35,,68.57M,68.57M,0.275,,,
1990-12,1.56B,1.56B,1.148B,412.00M,295.00M,,-29.00M,,,,,375.00M,37.00M,,,,-29.00M,,-54.00M,0.00,-54.00M,,,2.00M,-54.00M,-25.00M,117.00M,80.00M,37.00M,,-1.17,0.39,,-0.7511,-0.78,,-1.17,0.39,,-0.7511,-0.78,,69.23M,69.23M,0.275,,,
1990-09,1.612B,1.612B,1.195B,416.70M,304.00M,,107.00M,,,,,359.70M,57.00M,,,,107.00M,,99.00M,39.00M,60.00M,,,-3.00M,60.00M,-4.848M,112.70M,44.00M,57.00M,,0.86,0.00,,-0.0695,0.86,,0.86,0.00,,-0.0695,0.86,,69.77M,69.77M,0.275,,,
1990-06,1.664B,1.664B,1.232B,432.50M,293.00M,,45.00M,,,,,354.50M,78.00M,,,,45.00M,,72.00M,35.00M,37.00M,,,-2.00M,37.00M,10.00M,144.70M,66.70M,78.00M,,0.54,0.00,,0.1459,0.54,,0.54,0.00,,0.1459,0.54,,68.52M,68.52M,0.275,,,
1990-03,1.598B,1.598B,1.181B,416.90M,273.10M,,35.30M,,,,,329.40M,87.50M,,,,35.30M,,65.90M,36.40M,29.50M,,,-1.70M,29.50M,8.32M,143.80M,56.30M,87.50M,,0.42,0.00,,0.1185,0.42,,0.42,0.00,,0.1185,0.42,,70.24M,70.24M,0.275,,,
1989-12,1.572B,1.572B,,,,,,,,,,,-4.242B,,,,,,,,49.40M,,,,49.40M,,-4.242B,,-4.242B,,,,,,,,,,,,,,69.38M,69.38M,0.275,,,
1989-09,1.502B,1.502B,,,,,,,,,,,1.502B,,,,,,,,46.70M,,,,46.70M,,1.502B,,1.502B,,0.68,0.00,,0.68,0.68,,0.68,0.00,,0.68,0.68,,69.35M,69.35M,0.275,,,
1989-06,1.639B,1.639B,,,,,,,,,,,1.639B,,,,,,,,50.40M,,,,50.40M,,1.639B,,1.639B,,0.72,0.00,,0.72,0.72,,0.72,0.00,,0.72,0.72,,69.31M,69.31M,0.275,,,
1989-03,1.576B,1.576B,,,,,,,,,,,1.576B,,,,,,,,40.70M,,,,40.70M,,1.576B,,1.576B,,0.59,0.00,,0.59,0.59,,0.59,0.00,,0.59,0.59,,69.23M,69.23M,0.275,,,
1988-12,994.00M,994.00M,,,,,,,,,,,-3.118B,,,,,,,,40.90M,-52.90M,,,-12.00M,,-3.118B,,-3.118B,,,-0.7635,,,-0.7635,,,-0.7635,,,-0.7635,,69.29M,69.29M,0.275,,,
1988-09,1.152B,1.152B,,,,,,,,,,,1.152B,,,,,,,,36.60M,-5.10M,,,31.50M,,1.152B,,1.152B,,0.53,-0.08,,0.53,0.45,,0.53,-0.08,,0.53,0.45,,69.23M,69.23M,0.275,,,
1988-06,1.127B,1.127B,,,,,,,,,,,1.127B,,,,,,,,46.70M,-5.30M,,,41.40M,,1.127B,,1.127B,,0.67,-0.07,,0.67,0.60,,0.67,-0.07,,0.67,0.60,,69.23M,69.23M,0.275,,,
1988-03,1.042B,1.042B,,,,,,,,,,,1.042B,,,,,,,,37.10M,-3.90M,,,33.20M,,1.042B,,1.042B,,0.54,-0.06,,0.54,0.48,,0.54,-0.06,,0.54,0.48,,69.23M,69.23M,0.275,,,
1987-12,972.10M,972.10M,,,,,,,,,,,-2.942B,,,,,,,,40.40M,,,,40.40M,,-2.942B,,-2.942B,,,,,,,,,,,,,,69.23M,69.23M,0.275,,,
1987-09,1.109B,1.109B,,,,,,,,,,,1.109B,,,,,,,,44.60M,,,,44.60M,,1.109B,,1.109B,,0.63,0.00,,0.63,0.63,,0.63,0.00,,0.63,0.63,,73.99M,73.99M,0.275,,,
1987-06,1.137B,1.137B,,,,,,,,,,,1.137B,,,,,,,,47.40M,,,,47.40M,,1.137B,,1.137B,,0.65,0.00,,0.65,0.65,,0.65,0.00,,0.65,0.65,,74.13M,74.13M,0.275,,,
1987-03,961.00M,961.00M,,,,,,,,,,,961.00M,,,,,,,,48.70M,,,,48.70M,,961.00M,,961.00M,,0.66,0.00,,0.66,0.66,,0.66,0.00,,0.66,0.66,,74.09M,74.09M,0.275,,,
1986-12,942.90M,942.90M,,,,,,,,,,,-2.770B,,,,,,,,42.30M,,,,42.30M,,-2.770B,,-2.770B,,,,,,,,,,,,,,74.13M,74.13M,0.275,,,
1986-09,1.12B,1.12B,,,,,,,,,,,1.12B,,,,,,,,55.80M,,,,55.80M,,1.12B,,1.12B,,0.76,0.00,,0.76,0.76,,0.76,0.00,,0.76,0.76,,74.06M,74.06M,0.25,,,
1986-06,1.075B,1.075B,,,,,,,,,,,1.075B,,,,,,,,52.40M,,,,52.40M,,1.075B,,1.075B,,0.71,0.00,,0.71,0.71,,0.71,0.00,,0.71,0.71,,73.32M,73.32M,0.25,,,
1986-03,870.60M,870.60M,,,,,,,,,,,870.60M,,,,,,,,49.30M,,,,49.30M,,870.60M,,870.60M,,0.67,0.00,,0.67,0.67,,0.67,0.00,,0.67,0.67,,73.32M,73.32M,0.25,,,
1985-12,826.50M,826.50M,,,,,,,,,,,-2.372B,,,,,,,,49.70M,,,,49.70M,,-2.372B,,-2.372B,,,,,,,,,,,,,,73.32M,73.32M,0.25,,,
1985-09,890.50M,890.50M,,,,,,,,,,,890.50M,,,,,,,,44.70M,,,,44.70M,,890.50M,,890.50M,,0.61,0.00,,0.61,0.61,,0.61,0.00,,0.61,0.61,,73.28M,73.28M,0.25,,,
1985-06,967.40M,967.40M,,,,,,,,,,,967.40M,,,,,,,,48.90M,,,,48.90M,,967.40M,,967.40M,,0.67,0.00,,0.67,0.67,,0.67,0.00,,0.67,0.67,,73.23M,73.23M,0.25,,,
1985-03,790.20M,790.20M,,,,,,,,,,,790.20M,,,,,,,,38.90M,,,,38.90M,,790.20M,,790.20M,,0.53,0.00,,0.53,0.53,,0.53,0.00,,0.53,0.53,,73.23M,73.23M,0.25,,,
1984-12,693.40M,693.40M,,,,,,,,,,,-2.172B,,,,,,,,36.60M,,,,36.60M,,-2.172B,,-2.172B,,,,,,,,,,,,,,73.23M,73.23M,,,,
1984-09,811.40M,811.40M,,,,,,,,,,,811.40M,,,,,,,,53.50M,,,,53.50M,,811.40M,,811.40M,,0.73,0.00,,0.73,0.73,,0.73,0.00,,0.73,0.73,,73.19M,73.19M,,,,
1984-06,868.20M,868.20M,,,,,,,,,,,868.20M,,,,,,,,46.70M,,,,46.70M,,868.20M,,868.20M,,0.64,0.00,,0.64,0.64,,0.64,0.00,,0.64,0.64,,73.07M,73.07M,,,,
1984-03,764.50M,764.50M,,,,,,,,,,,764.50M,,,,,,,,52.90M,,,,52.90M,,764.50M,,764.50M,,0.73,0.00,,0.73,0.73,,0.73,0.00,,0.73,0.73,,72.41M,72.41M,,,,
