,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-09,,11.56B,2.932B,14.50B,7.071B,,20.02B,27.09B,,1.445B,448.00M,,1.893B,2.388B,168.00M,,-1.00M,48.26B,,,,,,,32.48B,-21.54B,10.95B,36.53B,3.135B,39.66B,2.272B,,8.179B,,7.017B,,73.73B,121.99B,,5.384B,2.502B,7.886B,3.70B,11.59B,3.986B,6.946B,10.93B,,10.93B,10.70B,10.70B,,-1.00M,36.82B,,35.99B,,35.99B,,3.507B,3.507B,,15.77B,,134.00M,9.98B,65.25B,102.07B,,54.99B,158.61B,166.00B,,,,,-27.82B,19.78B,,AOR,Restated
2018-06,,10.74B,966.00M,11.71B,7.445B,,20.90B,28.34B,,1.254B,488.00M,,1.742B,2.443B,219.00M,,,46.80B,,,,,,,32.23B,-21.21B,11.02B,36.48B,3.344B,39.83B,2.518B,,8.783B,,7.302B,,74.83B,121.62B,,5.518B,2.78B,8.298B,4.059B,12.36B,1.996B,5.65B,7.646B,,7.646B,11.75B,11.75B,,1.00M,35.44B,,37.85B,,37.85B,,3.718B,3.718B,,15.96B,,128.00M,10.00B,67.53B,102.97B,,54.83B,157.35B,165.37B,,,,,-28.29B,18.52B,,AOR,Restated
2018-03,,11.95B,893.00M,12.84B,7.778B,,21.45B,29.23B,,1.209B,544.00M,,1.753B,2.573B,313.00M,,-1.00M,49.12B,,,,,,,32.78B,-21.50B,11.28B,36.73B,3.522B,40.25B,2.942B,,8.856B,,7.704B,,76.16B,125.28B,,5.736B,2.918B,8.654B,4.754B,13.41B,1.997B,3.979B,5.976B,,5.976B,13.06B,13.06B,,1.00M,35.73B,,40.41B,,40.41B,,3.852B,3.852B,,16.75B,,124.00M,10.25B,71.26B,107.00B,,54.71B,156.37B,164.33B,,,,,-28.58B,18.17B,,AOR,Restated
2017-12,,11.97B,608.00M,12.58B,8.928B,,22.70B,31.63B,,1.25B,333.00M,,1.583B,1.86B,262.00M,,,49.74B,0.00,480.00M,10.07B,17.72B,4.06B,,32.33B,-21.22B,11.12B,36.79B,3.741B,40.53B,122.00M,,10.00B,757.00M,6.998B,272.00M,75.62B,125.36B,,6.451B,4.219B,10.67B,4.51B,15.18B,1.496B,5.49B,6.986B,,6.986B,11.55B,11.55B,,1.00M,37.36B,4.308B,39.84B,,39.84B,545.00M,3.746B,4.291B,318.00M,18.81B,38.00M,131.00M,1.721B,70.27B,107.63B,,54.57B,153.13B,163.51B,,,,,-26.59B,17.59B,,AOR,Restated
2017-09,,10.92B,600.00M,11.52B,8.15B,,18.98B,27.13B,,1.281B,430.00M,,1.711B,4.389B,,,1.00M,44.74B,,,,,,,31.94B,-20.88B,11.06B,36.78B,3.981B,40.76B,4.806B,,8.459B,,7.289B,,76.90B,121.64B,,5.442B,3.038B,8.48B,4.352B,12.83B,0.00,4.299B,4.299B,,4.299B,10.65B,10.65B,,-1.00M,31.70B,,41.33B,,41.33B,,3.579B,3.579B,,17.55B,,130.00M,7.722B,70.18B,101.88B,,54.40B,155.56B,162.81B,,,,,-27.52B,19.63B,,AOR,Restated
2017-06,,11.70B,599.00M,12.30B,8.401B,,18.56B,26.96B,,1.18B,424.00M,,1.604B,4.155B,,,1.00M,45.01B,,,,,,,31.29B,-20.39B,10.90B,36.52B,4.18B,40.70B,4.759B,,8.296B,,6.812B,,75.48B,120.50B,,5.126B,2.779B,7.905B,4.594B,12.50B,0.00,8.061B,8.061B,,8.061B,11.54B,11.54B,,,35.97B,,37.61B,,37.61B,,3.617B,3.617B,,17.32B,,125.00M,7.436B,65.98B,101.95B,,54.24B,154.23B,161.86B,,,,,-28.19B,18.42B,,AOR,Restated
2017-03,,10.10B,599.00M,10.70B,8.377B,,17.49B,25.87B,,1.186B,423.00M,,1.609B,4.715B,,,1.00M,42.89B,,,,,,,30.68B,-19.82B,10.86B,36.31B,4.438B,40.74B,4.549B,,8.502B,,6.457B,,74.61B,117.50B,,5.324B,2.747B,8.071B,4.522B,12.59B,0.00,8.34B,8.34B,,8.34B,12.35B,12.35B,,,36.48B,,34.44B,,34.44B,,3.557B,3.557B,,16.97B,,121.00M,7.601B,62.57B,99.05B,,54.10B,153.29B,160.36B,,,,,-28.71B,18.33B,,AOR,Restated
2016-12,,7.826B,701.00M,8.527B,9.182B,,20.06B,29.24B,,1.195B,358.00M,,1.553B,4.564B,,,-1.00M,43.89B,0.00,506.00M,9.763B,16.00B,3.869B,,30.13B,-19.30B,10.83B,36.20B,4.689B,40.89B,104.00M,,9.437B,594.00M,6.721B,729.00M,73.58B,117.47B,,6.209B,3.235B,9.444B,4.705B,14.15B,899.00M,6.614B,7.513B,,7.513B,11.04B,11.04B,,1.00M,36.28B,2.763B,34.66B,,34.66B,424.00M,3.60B,4.024B,330.00M,19.10B,61.00M,146.00M,1.778B,62.80B,99.08B,,53.94B,152.76B,159.05B,,,,,-29.40B,18.25B,,AOR,Restated
2016-09,,9.039B,929.00M,9.968B,8.291B,,16.90B,25.20B,,1.297B,433.00M,-1.00M,1.729B,4.539B,,,1.00M,41.43B,,,,,,,30.84B,-19.74B,11.10B,36.40B,4.881B,41.28B,5.075B,,8.936B,,4.289B,,74.17B,115.61B,,5.271B,2.137B,7.408B,5.346B,12.75B,0.00,6.92B,6.92B,,6.92B,10.82B,10.82B,,,34.45B,,35.56B,,35.56B,,3.611B,3.611B,,16.69B,,149.00M,8.138B,64.00B,98.45B,,53.76B,149.58B,158.17B,,,,,-28.16B,17.01B,,AOR,Restated
2016-06,,10.02B,600.00M,10.62B,8.782B,,17.76B,26.55B,,1.271B,414.00M,,1.685B,4.676B,,,-1.00M,43.52B,,,,,,,30.14B,-19.04B,11.09B,36.42B,5.148B,41.57B,5.259B,,9.267B,,4.387B,,74.53B,118.06B,,5.484B,2.275B,7.759B,5.48B,13.24B,0.00,4.887B,4.887B,,4.887B,11.51B,11.51B,,1.00M,33.58B,,39.64B,,39.64B,,3.837B,3.837B,,16.72B,,156.00M,8.384B,68.58B,102.17B,,53.56B,148.07B,157.30B,,,,,-28.60B,15.73B,,AOR,Restated
2016-03,,14.35B,515.00M,14.87B,8.527B,,18.20B,26.73B,,1.296B,393.00M,1.00M,1.69B,4.334B,,,,47.62B,,,,,,,29.63B,-18.72B,10.91B,34.32B,4.373B,38.70B,5.223B,,9.266B,,4.809B,,71.24B,118.86B,,5.302B,2.203B,7.505B,5.804B,13.31B,0.00,5.302B,5.302B,,5.302B,12.61B,12.61B,,,34.66B,,40.25B,,40.25B,,3.662B,3.662B,,16.94B,,147.00M,8.265B,69.12B,103.78B,,53.44B,146.89B,156.40B,,,,,-29.00B,14.92B,,AOR,Restated
2015-12,,7.686B,508.00M,8.194B,8.333B,,20.22B,28.55B,,1.199B,352.00M,,1.551B,4.205B,,,,42.50B,0.00,558.00M,6.552B,22.23B,,,29.34B,-18.62B,10.72B,32.02B,3.486B,35.51B,475.00M,,10.53B,702.00M,6.446B,571.00M,67.99B,110.50B,,6.028B,2.847B,8.875B,4.353B,13.23B,600.00M,5.861B,6.461B,,6.461B,11.02B,11.02B,,-1.00M,34.27B,3.284B,33.43B,,33.43B,253.00M,3.771B,4.024B,353.00M,18.54B,22.00M,162.00M,2.063B,61.80B,96.07B,,53.26B,146.12B,155.52B,,,,,-29.61B,14.26B,,AOR,Restated
2015-09,,9.48B,88.00M,9.568B,7.987B,,17.13B,25.11B,,1.224B,388.00M,1.00M,1.613B,4.158B,,1.66B,,42.11B,,,,,,,29.23B,-18.57B,10.66B,30.28B,2.776B,33.05B,5.586B,,9.517B,,3.69B,,66.54B,108.65B,,5.166B,2.883B,8.049B,3.902B,11.95B,1.60B,5.939B,7.539B,,7.539B,10.46B,10.46B,,-1.00M,33.73B,,32.12B,,32.12B,,3.593B,3.593B,,17.01B,,157.00M,8.739B,61.47B,95.20B,,53.22B,142.90B,154.67B,,,,,-28.16B,13.29B,,AOR,Restated
2015-06,,8.393B,367.00M,8.76B,8.632B,,19.28B,27.91B,,1.548B,364.00M,,1.912B,4.47B,,2.133B,1.00M,45.19B,,,,,,,38.64B,-27.94B,10.70B,30.54B,2.939B,33.47B,5.377B,,10.34B,,4.211B,,67.54B,112.73B,,5.943B,3.639B,9.582B,5.301B,14.88B,700.00M,4.629B,5.329B,,5.329B,11.33B,11.33B,,,35.54B,,33.34B,,33.34B,,3.892B,3.892B,,17.30B,,153.00M,8.828B,63.36B,98.89B,,53.06B,141.22B,153.16B,,,,,-27.43B,13.68B,,AOR,Restated
2015-03,,8.796B,8.00M,8.804B,8.806B,,19.04B,27.85B,,1.599B,371.00M,,1.97B,5.89B,,1.805B,-2.00M,46.32B,,,,,,,38.30B,-27.79B,10.51B,29.87B,2.991B,32.86B,5.466B,,9.82B,,4.374B,,65.72B,112.04B,,6.314B,3.539B,9.853B,5.765B,15.62B,0.00,4.532B,4.532B,,4.532B,12.16B,12.16B,,,35.64B,,34.30B,,34.30B,,3.811B,3.811B,,17.21B,,148.00M,8.791B,64.11B,99.75B,,52.93B,139.03B,151.98B,,,,,-27.84B,12.14B,,AOR,Restated
2014-12,,8.476B,0.00,8.476B,9.09B,,22.74B,31.83B,,1.674B,430.00M,-1.00M,2.103B,4.967B,,,,47.38B,0.00,667.00M,9.524B,28.84B,,,39.04B,-28.26B,10.77B,30.56B,3.103B,33.66B,594.00M,,11.62B,681.00M,8.202B,705.00M,69.90B,117.27B,,6.864B,5.084B,11.95B,5.994B,17.94B,650.00M,5.081B,5.731B,,5.731B,11.88B,11.88B,,,39.58B,3.282B,34.99B,,34.99B,129.00M,3.691B,3.82B,331.00M,20.59B,31.00M,146.00M,2.61B,65.68B,105.26B,,52.67B,137.79B,150.72B,,,,,-27.88B,11.87B,,AOR,Restated
2014-09,,9.561B,4.00M,9.565B,9.122B,,18.88B,28.00B,,1.848B,508.00M,,2.356B,5.022B,,2.219B,-1.00M,47.16B,,,,,,,39.95B,-28.88B,11.07B,31.04B,3.373B,34.42B,5.126B,,10.99B,,2.697B,,71.74B,118.91B,,5.855B,2.475B,8.33B,5.788B,14.12B,6.474B,6.402B,12.88B,,12.88B,11.35B,11.35B,,1.00M,42.31B,,32.82B,,32.82B,,3.683B,3.683B,,15.09B,,140.00M,10.61B,62.21B,104.52B,,52.45B,133.40B,150.62B,,,,,-20.98B,14.26B,,AOR,Restated
2014-06,,9.715B,5.00M,9.72B,9.902B,,20.18B,30.08B,,1.889B,449.00M,,2.338B,4.263B,,1.783B,1.00M,48.18B,,,,,,,40.94B,-27.19B,13.75B,31.57B,3.585B,35.15B,5.369B,,12.14B,,2.828B,,76.13B,124.31B,,6.271B,2.335B,8.606B,4.737B,13.34B,6.549B,5.914B,12.46B,,12.46B,12.59B,12.59B,,-1.00M,42.43B,,34.01B,,34.01B,,4.152B,4.152B,,15.98B,,136.00M,10.22B,64.37B,106.80B,,52.16B,134.48B,148.90B,,,,,-20.37B,17.38B,,AOR,Restated
2014-03,,9.409B,295.00M,9.704B,9.682B,,19.98B,29.66B,,1.984B,472.00M,,2.456B,4.43B,,1.708B,,47.96B,,,,,,,40.48B,-26.80B,13.68B,31.21B,3.698B,34.91B,5.03B,,11.92B,,3.034B,,74.69B,122.65B,,6.865B,2.245B,9.11B,5.292B,14.40B,,,9.312B,,9.312B,13.68B,13.68B,,-1.00M,41.06B,,34.67B,,34.67B,,4.042B,4.042B,,16.03B,,133.00M,10.11B,64.85B,105.91B,,51.94B,131.43B,145.61B,,,,,-21.16B,16.61B,,AOR,Restated
2013-12,,10.72B,350.00M,11.07B,10.46B,,21.37B,31.84B,,1.866B,444.00M,,2.31B,4.488B,,1.651B,-1.00M,51.35B,0.00,706.00M,9.68B,30.09B,,,40.48B,-26.65B,13.82B,31.18B,3.871B,35.06B,310.00M,,12.93B,401.00M,4.703B,738.00M,74.87B,126.22B,,7.461B,4.633B,12.09B,4.748B,16.84B,2.458B,4.405B,6.863B,,6.863B,12.56B,12.56B,,-1.00M,40.15B,3.318B,32.86B,,32.86B,1.741B,4.108B,5.849B,402.00M,18.61B,126.00M,137.00M,1.789B,63.14B,103.29B,,51.59B,130.04B,137.24B,,,,,-21.60B,22.79B,,AOR,Restated
2013-09,,10.07B,160.00M,10.23B,9.865B,,18.47B,28.33B,,1.964B,528.00M,,2.492B,4.723B,,1.752B,,47.53B,,,,,,,40.81B,-26.93B,13.88B,30.88B,4.002B,34.88B,4.718B,,11.68B,,3.682B,,70.31B,117.84B,,6.263B,4.746B,11.01B,4.643B,15.65B,,,7.702B,,7.702B,11.66B,11.66B,,,39.22B,,28.48B,,28.48B,,4.087B,4.087B,,17.99B,,131.00M,8.056B,58.62B,97.84B,,51.20B,124.88B,131.24B,,,,,-24.97B,19.88B,,AOR,Restated
2013-06,,9.558B,799.00M,10.36B,10.28B,,18.56B,28.84B,,1.906B,482.00M,1.00M,2.389B,4.746B,,1.584B,-1.00M,47.91B,,,,,,,39.55B,-26.20B,13.36B,28.85B,3.418B,32.26B,4.721B,,11.83B,,4.15B,,67.24B,115.15B,,6.821B,4.708B,11.53B,5.214B,16.74B,,,7.83B,,7.83B,12.24B,12.24B,,,41.04B,,26.29B,,26.29B,,4.166B,4.166B,,17.96B,,127.00M,7.813B,56.23B,97.27B,,50.89B,121.88B,129.24B,,,,,-25.77B,17.76B,,AOR,Restated
2013-03,,10.58B,1.407B,11.99B,10.08B,,18.11B,28.20B,,1.902B,519.00M,,2.421B,4.747B,,1.592B,1.00M,48.95B,,,,,,,40.06B,-26.46B,13.60B,29.02B,3.602B,32.63B,5.011B,,11.95B,,4.227B,,68.31B,117.26B,,7.203B,4.678B,11.88B,4.583B,16.46B,,,8.725B,,8.725B,12.97B,12.97B,,-2.00M,42.12B,,24.67B,,24.67B,,4.409B,4.409B,,19.07B,,122.00M,7.772B,55.92B,98.04B,,50.52B,119.71B,125.68B,,,,,-25.47B,19.09B,,AOR,Restated
2012-12,,10.41B,717.00M,11.13B,10.67B,,19.91B,30.58B,,1.812B,475.00M,,2.287B,4.024B,,1.415B,,49.43B,0.00,747.00M,9.61B,30.14B,,,40.50B,-26.50B,14.00B,29.25B,3.787B,33.03B,346.00M,,13.02B,585.00M,5.603B,735.00M,69.78B,119.21B,,7.952B,4.948B,12.90B,4.847B,17.75B,1.80B,7.382B,9.182B,,9.182B,11.95B,11.95B,,-1.00M,43.62B,2.654B,24.09B,,24.09B,448.00M,4.491B,4.939B,383.00M,22.81B,78.00M,124.00M,1.629B,56.60B,100.23B,,50.11B,117.64B,123.13B,,,,,-25.76B,18.86B,,AOR,Restated
2012-09,,11.91B,345.00M,12.25B,11.84B,15.20B,,26.76B,,1.937B,649.00M,,2.586B,5.016B,,1.522B,,48.14B,,,,,,,40.72B,-26.69B,14.03B,28.27B,3.563B,31.83B,5.006B,5.223B,5.568B,,2.555B,,67.64B,115.78B,,7.085B,2.147B,9.232B,4.973B,14.20B,,,9.334B,,9.334B,11.23B,11.23B,,,39.50B,,24.33B,,24.33B,,4.263B,4.263B,,16.68B,,125.00M,9.335B,54.61B,94.11B,,49.60B,112.77B,120.12B,,,,,-20.72B,21.54B,,AOR,Restated
2012-06,,10.86B,323.00M,11.19B,11.88B,15.25B,,26.86B,,2.006B,752.00M,,2.758B,5.113B,,1.478B,-1.00M,47.39B,,,,,,,40.16B,-26.29B,13.86B,27.74B,3.658B,31.39B,4.73B,,10.80B,,2.795B,,66.44B,113.83B,,7.482B,2.183B,9.665B,4.602B,14.27B,,,7.669B,,7.669B,12.31B,12.31B,,,38.90B,,24.77B,,24.77B,,3.889B,3.889B,,16.54B,,92.00M,9.167B,54.37B,93.27B,,49.16B,109.93B,117.12B,,,,,-21.50B,20.47B,,AOR,Restated
2012-03,,11.84B,500.00M,12.34B,11.68B,15.44B,,26.84B,,2.058B,696.00M,,2.754B,5.299B,,1.617B,1.00M,48.85B,,,,,,,40.44B,-26.50B,13.94B,27.47B,3.641B,31.11B,4.822B,,10.55B,,3.10B,1.00M,66.50B,115.35B,,7.416B,2.184B,9.60B,4.677B,14.28B,,,6.293B,,6.293B,13.27B,13.27B,,,38.21B,,25.76B,,25.76B,,3.904B,3.904B,,17.58B,,82.00M,9.112B,56.36B,94.56B,,48.80B,107.04B,114.02B,,,,,-21.12B,20.70B,,AOR,Restated
2011-12,,11.92B,0.00,11.92B,11.18B,,18.38B,29.56B,,2.007B,589.00M,-1.00M,2.595B,5.249B,,1.601B,,50.93B,0.00,786.00M,9.531B,29.81B,,,40.12B,-26.24B,13.88B,26.21B,3.394B,29.61B,258.00M,,10.98B,753.00M,5.287B,598.00M,65.51B,116.43B,,8.517B,3.313B,11.83B,4.535B,16.36B,2.30B,6.165B,8.465B,,8.465B,12.20B,12.20B,,-3.00M,42.12B,4.155B,22.86B,,22.86B,549.00M,3.847B,4.396B,412.00M,20.60B,166.00M,97.00M,1.492B,54.08B,96.20B,,48.13B,104.86B,110.96B,,,,,-21.88B,20.14B,,AOR,Restated
2011-09,,11.30B,0.00,11.30B,10.84B,14.41B,,24.99B,,2.045B,618.00M,,2.663B,5.172B,,1.247B,1.00M,45.37B,,,,,,,40.14B,-26.25B,13.89B,24.91B,3.033B,27.95B,5.422B,,9.83B,,2.57B,-1.00M,64.78B,110.16B,,7.093B,2.36B,9.453B,4.426B,13.88B,,,6.071B,,6.071B,11.25B,11.25B,,,36.03B,,24.09B,,24.09B,,3.634B,3.634B,,15.38B,,87.00M,8.654B,51.75B,87.78B,,47.56B,100.27B,107.43B,,,,,-18.10B,22.29B,,AOR,Restated
2011-06,,11.71B,50.00M,11.76B,11.67B,15.00B,,26.38B,,2.013B,560.00M,,2.573B,4.662B,,1.557B,,46.94B,,,,,,,41.13B,-26.89B,14.24B,25.61B,3.206B,28.82B,5.329B,,10.42B,,2.877B,,66.54B,113.47B,,7.112B,2.363B,9.475B,5.144B,14.62B,,,7.858B,,7.858B,12.66B,12.66B,,,39.84B,,21.92B,,21.92B,,3.641B,3.641B,,16.01B,,84.00M,8.851B,50.42B,90.26B,,46.98B,97.33B,104.07B,,,,,-17.11B,23.13B,,AOR,Restated
