,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-05,,772.00M,1.554B,2.326B,409.00M,,409.00M,,3.737B,406.00M,6.878B,,,,,,,4.957B,-2.245B,2.712B,955.00M,63.00M,1.018B,,661.00M,4.391B,11.27B,,3.055B,,3.055B,1.409B,4.464B,,,418.00M,,418.00M,,,415.00M,5.297B,180.00M,,180.00M,,,,383.00M,563.00M,5.86B,,48.00M,4.50B,546.00M,,,,315.00M,5.409B,,,
2006-02,,748.00M,3.051B,3.799B,439.00M,,439.00M,,3.338B,409.00M,7.985B,0.00,580.00M,1.325B,2.898B,33.00M,,4.836B,-2.124B,2.712B,557.00M,44.00M,601.00M,,566.00M,3.879B,11.86B,,3.234B,,3.234B,1.935B,5.169B,,,418.00M,,418.00M,,,469.00M,6.056B,178.00M,,178.00M,,,,373.00M,551.00M,6.607B,,49.00M,4.304B,643.00M,,,,261.00M,5.257B,,,
2005-11,,812.00M,2.285B,3.097B,883.00M,,883.00M,,5.314B,400.00M,9.694B,,,,,,,4.658B,-2.021B,2.637B,,592.00M,592.00M,,319.00M,3.548B,13.24B,,5.325B,,5.325B,1.739B,7.064B,,,17.00M,,17.00M,,,374.00M,7.455B,554.00M,,554.00M,,,,377.00M,931.00M,8.386B,,49.00M,3.699B,877.00M,,,,231.00M,4.856B,,,
2005-08,,798.00M,2.027B,2.825B,389.00M,,389.00M,,3.25B,378.00M,6.842B,,,,,,,4.436B,-1.913B,2.523B,,571.00M,571.00M,,323.00M,3.417B,10.26B,,2.76B,,2.76B,1.386B,4.146B,,,12.00M,,12.00M,,,358.00M,4.516B,540.00M,,540.00M,,,,380.00M,920.00M,5.436B,,49.00M,3.60B,973.00M,,,,201.00M,4.823B,,,
2005-05,,604.00M,2.002B,2.606B,350.00M,,350.00M,,3.266B,383.00M,6.605B,,,,,,,4.281B,-1.825B,2.456B,,547.00M,547.00M,,291.00M,3.294B,9.899B,,3.047B,,3.047B,1.13B,4.177B,,,14.00M,,14.00M,,,374.00M,4.565B,530.00M,,530.00M,,,,373.00M,903.00M,5.468B,,33.00M,3.449B,813.00M,,,,136.00M,4.431B,,,
2005-02,,354.00M,2.994B,3.348B,375.00M,,375.00M,,2.851B,329.00M,6.903B,0.00,506.00M,1.139B,2.458B,89.00M,,4.192B,-1.728B,2.464B,513.00M,40.00M,553.00M,,374.00M,3.391B,10.29B,,2.824B,,2.824B,1.653B,4.477B,,,72.00M,,72.00M,,,410.00M,4.959B,528.00M,,528.00M,,,,358.00M,886.00M,5.845B,,49.00M,3.315B,936.00M,,,,149.00M,4.449B,,,
2004-11,,2.435B,78.00M,2.513B,742.00M,,742.00M,,4.826B,251.00M,8.332B,,,,,,,3.91B,-1.591B,2.319B,,582.00M,582.00M,,389.00M,3.29B,11.62B,,5.15B,,5.15B,1.076B,6.226B,,,8.00M,,8.00M,,,658.00M,6.892B,478.00M,,478.00M,,,,292.00M,770.00M,7.662B,,33.00M,2.78B,945.00M,,,,202.00M,3.96B,,,
2004-08,,1.962B,7.00M,1.969B,328.00M,,328.00M,,2.987B,312.00M,5.596B,,,,,,,3.773B,-1.522B,2.251B,,523.00M,523.00M,,274.00M,3.048B,8.644B,,2.806B,,2.806B,1.211B,4.017B,,,11.00M,,11.00M,,,280.00M,4.308B,478.00M,,478.00M,,,,257.00M,735.00M,5.043B,,32.00M,2.667B,802.00M,,,,100.00M,3.601B,,,
2004-05,,2.07B,,2.07B,371.00M,,371.00M,,2.915B,246.00M,5.602B,,,,,,,3.668B,-1.429B,2.239B,,504.00M,504.00M,,205.00M,2.948B,8.55B,,2.71B,,2.71B,970.00M,3.68B,,,369.00M,,369.00M,,,289.00M,4.338B,477.00M,,477.00M,,,,251.00M,728.00M,5.066B,,32.00M,2.55B,832.00M,,,,70.00M,3.484B,,,
2004-02,,245.00M,2.355B,2.60B,343.00M,,343.00M,,2.607B,174.00M,5.724B,0.00,484.00M,861.00M,2.151B,78.00M,,3.574B,-1.33B,2.244B,,514.00M,514.00M,,170.00M,2.928B,8.652B,,2.46B,,2.46B,1.373B,3.833B,,,368.00M,,368.00M,,,300.00M,4.501B,482.00M,,482.00M,,,,247.00M,729.00M,5.23B,,32.00M,2.468B,836.00M,,,,86.00M,3.422B,,,
2003-11,,1.827B,,1.827B,678.00M,4.00M,682.00M,,4.428B,207.00M,7.144B,,,,,,,3.52B,-1.259B,2.261B,,527.00M,527.00M,,151.00M,2.939B,10.08B,,4.501B,,4.501B,1.342B,5.843B,,,14.00M,,14.00M,,,97.00M,5.954B,836.00M,,836.00M,,,,276.00M,1.112B,7.066B,,32.00M,2.032B,849.00M,,,,104.00M,3.017B,,,
2003-08,,1.734B,,1.734B,302.00M,,302.00M,,2.641B,209.00M,4.886B,,,,3.417B,,,3.417B,-1.188B,2.229B,,495.00M,495.00M,,120.00M,2.844B,7.73B,,2.59B,,2.59B,1.071B,3.661B,,,14.00M,,14.00M,,,,3.675B,840.00M,,840.00M,,,,281.00M,1.121B,4.796B,,32.00M,2.007B,828.00M,,,,67.00M,2.934B,,,
2003-05,,1.466B,,1.466B,302.00M,3.00M,305.00M,,2.368B,227.00M,4.366B,,,,3.28B,,,3.28B,-1.119B,2.161B,,502.00M,502.00M,,123.00M,2.786B,7.152B,,2.357B,,2.357B,913.00M,3.27B,,,6.00M,,6.00M,,,,3.276B,829.00M,,829.00M,,,,284.00M,1.113B,4.389B,,32.00M,1.868B,787.00M,,,,76.00M,2.763B,,,
2003-02,,1.914B,,1.914B,312.00M,,312.00M,,2.077B,595.00M,4.898B,0.00,208.00M,719.00M,2.108B,54.00M,,3.089B,-1.027B,2.062B,,462.00M,462.00M,,272.00M,2.796B,7.694B,,2.195B,,2.195B,1.308B,3.503B,,,1.00M,,1.00M,,,320.00M,3.824B,828.00M,,828.00M,,,,312.00M,1.14B,4.964B,,32.00M,1.893B,778.00M,,,,27.00M,2.73B,,,
2002-11,,1.156B,,1.156B,579.00M,,579.00M,,4.09B,228.00M,6.053B,,,,,,,3.333B,-1.065B,2.268B,407.00M,32.00M,439.00M,,101.00M,2.808B,8.861B,,4.094B,,4.094B,1.184B,5.278B,,,7.00M,,7.00M,,,,5.285B,822.00M,,822.00M,,,,284.00M,1.106B,6.391B,,32.00M,1.663B,774.00M,,,,1.00M,2.47B,,,
2002-08,,1.119B,,1.119B,239.00M,,239.00M,,2.616B,243.00M,4.217B,,,,,,,3.143B,-982.00M,2.161B,410.00M,,410.00M,,98.00M,2.669B,6.886B,,2.361B,,2.361B,1.026B,3.387B,,,11.00M,,11.00M,,,,3.398B,821.00M,,821.00M,,,,286.00M,1.107B,4.505B,,32.00M,1.578B,771.00M,,,,,2.381B,,,
2002-05,,1.245B,,1.245B,243.00M,,243.00M,,2.635B,261.00M,4.384B,,,,,,,2.892B,-904.00M,1.988B,791.00M,,791.00M,,92.00M,2.871B,7.255B,,2.424B,,2.424B,1.013B,3.437B,,,12.00M,,12.00M,,,,3.449B,812.00M,,812.00M,,,,321.00M,1.133B,4.582B,,32.00M,1.864B,766.00M,,,,11.00M,2.673B,,,
2002-02,,1.861B,,1.861B,221.00M,,221.00M,,1.875B,643.00M,4.60B,0.00,205.00M,540.00M,1.649B,39.00M,,2.433B,-772.00M,1.661B,,465.00M,465.00M,,641.00M,2.767B,7.367B,,2.202B,,2.202B,1.078B,3.28B,,,7.00M,,7.00M,,,418.00M,3.705B,808.00M,,808.00M,,,,333.00M,1.141B,4.846B,,31.00M,1.794B,702.00M,,,,-6.00M,2.521B,,,
2001-11,,843.00M,,843.00M,387.00M,,387.00M,,3.459B,215.00M,4.904B,,,,,,,2.606B,-853.00M,1.753B,750.00M,,750.00M,,95.00M,2.598B,7.502B,,3.571B,,3.571B,1.12B,4.691B,,,14.00M,,14.00M,,,,4.705B,364.00M,,364.00M,,,,290.00M,654.00M,5.359B,,21.00M,1.444B,678.00M,,,,,2.143B,,,
2001-08,,961.00M,,961.00M,236.00M,,236.00M,,2.092B,214.00M,3.503B,,,,,,,2.236B,-678.00M,1.558B,376.00M,,376.00M,,84.00M,2.018B,5.521B,,2.058B,,2.058B,787.00M,2.845B,,,2.00M,,2.00M,,,,2.847B,362.00M,,362.00M,,,,273.00M,635.00M,3.482B,,21.00M,1.364B,654.00M,,,,,2.039B,,,
2001-05,,466.00M,,466.00M,193.00M,,193.00M,,1.981B,211.00M,2.851B,,,,,,,2.103B,-607.00M,1.496B,381.00M,,381.00M,,81.00M,1.958B,4.809B,,1.822B,,1.822B,694.00M,2.516B,,,19.00M,,19.00M,,,,2.535B,177.00M,,177.00M,,,,170.00M,347.00M,2.882B,,21.00M,1.279B,627.00M,,,,,1.927B,,,
2001-02,,747.00M,,747.00M,209.00M,,209.00M,,1.767B,206.00M,2.929B,0.00,728.00M,,1.26B,-1.00M,,1.987B,-543.00M,1.444B,,385.00M,385.00M,,82.00M,1.911B,4.84B,,1.773B,,1.773B,546.00M,2.319B,,,115.00M,,115.00M,,,281.00M,2.715B,181.00M,,181.00M,,,,122.00M,303.00M,3.018B,,21.00M,1.224B,577.00M,,,,,1.822B,,,
2000-11,,728.80M,,728.80M,,,427.11M,,2.328B,168.99M,3.653B,,,,,,,1.549B,-499.30M,1.050B,,,,,79.46M,1.129B,4.782B,,2.483B,,2.483B,,2.483B,,,5.809M,,5.809M,,,526.12M,3.015B,20.95M,,20.95M,,,,119.92M,140.87M,3.156B,,20.78M,1.035B,570.50M,,,,,1.626B,,,
2000-08,,845.02M,,845.02M,,,201.38M,,1.457B,173.20M,2.676B,,,,,,,1.354B,-464.53M,889.40M,,,,,78.44M,967.84M,3.644B,,1.479B,,1.479B,,1.479B,,,7.218M,,7.218M,,,431.49M,1.917B,21.58M,,21.58M,,,,141.16M,162.75M,2.080B,,20.76M,977.36M,565.92M,,,,,1.564B,,,
2000-05,,765.39M,,765.39M,,,202.21M,,1.314B,172.41M,2.454B,,,,,,,1.173B,-428.73M,744.15M,,,,,62.25M,806.40M,3.261B,,1.223B,,1.223B,,1.223B,,,15.96M,,15.96M,,,411.23M,1.650B,12.84M,,12.84M,,,,140.88M,153.71M,1.804B,,20.68M,900.62M,535.51M,,,,,1.457B,,,
2000-02,,750.72M,,750.72M,,,189.30M,,1.184B,114.76M,2.238B,,,,,,,1.093B,-395.39M,698.08M,,,,,58.80M,756.88M,2.995B,,1.314B,,1.314B,,1.314B,,,15.79M,,15.79M,,,455.32M,1.785B,14.86M,,14.86M,,,,99.45M,114.31M,1.899B,,20.04M,828.46M,247.49M,,,,,1.096B,,,
1999-11,,514.80M,,514.80M,,,383.50M,,2.082B,128.00M,3.109B,,,,,,,981.80M,-372.70M,609.10M,,,,,54.20M,663.30M,3.772B,,2.070B,,2.070B,,2.070B,,,9.00M,,9.00M,,,437.80M,2.517B,23.70M,,23.70M,,,,72.90M,96.60M,2.614B,,20.40M,664.70M,473.30M,,,,,1.158B,,,
1999-08,,473.40M,,473.40M,,,178.50M,,1.288B,115.80M,2.055B,,,,,,,876.10M,-353.30M,522.80M,,,,,30.10M,552.90M,2.608B,,1.059B,,1.059B,,1.059B,,,10.10M,,10.10M,,,305.30M,1.374B,25.70M,,25.70M,,,,42.10M,67.80M,1.442B,,20.50M,617.90M,527.70M,,,,,1.166B,,,
1999-05,,510.90M,,510.90M,,,145.70M,,1.111B,109.50M,1.878B,,,,,,,769.00M,-331.60M,437.40M,,,,,28.90M,466.30M,2.344B,,867.30M,,867.30M,,867.30M,,,29.20M,,29.20M,,,290.50M,1.187B,28.40M,,28.40M,,,,39.30M,67.70M,1.255B,,,558.90M,,,,,,1.089B,,,
1999-02,,785.78M,,785.78M,,,132.40M,,1.046B,107.28M,2.072B,,,,,,,731.96M,-308.32M,423.64M,,,,,36.16M,459.80M,2.532B,,1.012B,,1.012B,,1.012B,,,30.09M,,30.09M,,,367.88M,1.410B,30.51M,,30.51M,,,,57.45M,87.96M,1.498B,,10.18M,481.39M,542.38M,,,,,1.034B,,,
1998-11,,409.40M,,409.40M,,,278.50M,,1.685B,98.90M,2.472B,,,,,,,671.20M,-297.80M,373.40M,,,,,12.20M,385.60M,2.857B,,1.483B,,1.483B,,1.483B,,,83.30M,,83.30M,,,303.20M,1.869B,31.80M,,31.80M,6.80M,6.80M,,27.80M,66.40M,1.936B,,,401.40M,,,,,,921.60M,,,
1998-08,,491.60M,,491.60M,,,140.70M,,1.168B,70.50M,1.871B,,,,,,,608.30M,-280.10M,328.20M,,,,,9.90M,338.10M,2.209B,,799.30M,,799.30M,,799.30M,,,182.10M,,182.10M,,,300.20M,1.282B,35.30M,,35.30M,6.90M,6.90M,,19.70M,61.90M,1.344B,,,347.00M,,,,,,865.40M,,,
1998-05,,397.30M,,397.30M,,,75.60M,,1.101B,55.70M,1.630B,,,,,,,592.90M,-265.30M,327.60M,,,,,10.00M,337.60M,1.967B,,661.60M,,661.60M,,661.60M,,,56.10M,,56.10M,,,204.80M,922.50M,207.20M,,207.20M,7.00M,7.00M,,19.90M,234.10M,1.157B,,,302.90M,,,,,,810.70M,,,
1998-02,,520.10M,,520.10M,,,95.70M,,1.061B,33.70M,1.710B,,,,,,,581.50M,-248.60M,332.90M,,,,,13.10M,346.00M,2.056B,,727.10M,,727.10M,,727.10M,,,50.50M,,50.50M,,,256.10M,1.034B,210.40M,,210.40M,7.10M,7.10M,,247.40M,464.90M,1.499B,,,287.10M,,,,,,557.70M,,,
1997-11,,122.10M,,122.10M,,,185.90M,,1.680B,60.40M,2.048B,,,,,,,565.30M,-238.30M,327.00M,,,,,14.60M,341.60M,2.390B,,1.153B,,1.153B,,1.153B,,,68.50M,,68.50M,,,229.60M,1.451B,211.60M,,211.60M,3.60M,3.60M,230.00M,18.80M,234.00M,1.685B,,,223.10M,,,,,,474.80M,,,
1997-08,,101.40M,,101.40M,,,101.50M,,1.188B,89.80M,1.481B,,,,,,,546.90M,-222.70M,324.20M,,,,,15.10M,339.30M,1.820B,,617.90M,,617.90M,,617.90M,,,80.30M,,80.30M,,,201.80M,900.00M,217.80M,,217.80M,3.60M,3.60M,230.00M,22.20M,243.60M,1.144B,,,196.70M,,,,,,446.80M,,,
1997-05,,94.90M,,94.90M,,,84.40M,,1.11B,92.70M,1.382B,,,,,,,525.90M,-204.60M,321.30M,,,,,17.40M,338.70M,1.721B,,520.40M,,520.40M,,520.40M,,,105.40M,,105.40M,,,184.10M,809.90M,212.60M,,212.60M,3.60M,3.60M,230.00M,24.50M,240.70M,1.051B,,,190.00M,,,,,,440.10M,,,
1997-02,,89.80M,,89.80M,,,79.60M,,1.132B,83.50M,1.385B,,,,,,,519.80M,-188.20M,331.60M,,,,,17.70M,349.30M,1.734B,,487.80M,,487.80M,,487.80M,,,148.90M,,148.90M,,,180.90M,817.60M,216.60M,,216.60M,3.60M,3.60M,230.00M,28.20M,248.40M,1.066B,,,192.70M,,,,,,438.30M,,,
1996-11,,43.20M,,43.20M,,,217.10M,,1.845B,137.70M,2.243B,,,,,,,494.30M,-173.80M,320.50M,,,,,12.70M,333.20M,2.576B,,1.048B,,1.048B,,1.048B,,,288.70M,,288.70M,,,337.80M,1.674B,212.80M,,212.80M,,,230.00M,29.10M,241.90M,1.916B,,,184.20M,,,,,,429.70M,,,
1996-08,,30.70M,,30.70M,,,222.80M,,1.447B,33.10M,1.734B,,,,,,,478.90M,-161.40M,317.50M,,,,,12.90M,330.40M,2.064B,,619.50M,,619.50M,,619.50M,,,329.80M,,329.80M,,,199.80M,1.149B,209.90M,,209.90M,,,230.00M,35.50M,245.40M,1.394B,,,195.10M,,,,,,439.90M,,,
1996-05,,20.60M,,20.60M,,,227.50M,,1.369B,36.20M,1.653B,,,,,,,459.50M,-149.40M,310.10M,,,,,15.20M,325.30M,1.979B,,515.30M,,515.30M,,515.30M,,,350.80M,,350.80M,,,198.40M,1.064B,207.90M,,207.90M,,,230.00M,41.40M,249.30M,1.314B,,,191.30M,,,,,,434.80M,,,
1996-02,,86.40M,,86.40M,,,121.40M,,1.201B,151.60M,1.560B,,,,,,,443.70M,-132.70M,311.00M,,,,,19.30M,330.30M,1.891B,,673.90M,,673.90M,,673.90M,,,117.60M,,117.60M,,,183.20M,974.70M,206.30M,,206.30M,,,230.00M,48.20M,254.50M,1.229B,,,190.90M,,,,,,431.60M,,,
1995-11,,107.00M,,107.00M,,,191.90M,,1.974B,159.30M,2.432B,,,,,,,418.50M,-120.70M,297.80M,,,,,28.20M,326.00M,2.758B,,1.123B,,1.123B,,1.123B,,,507.50M,,507.50M,,,223.10M,1.854B,208.80M,,208.80M,,,230.00M,55.20M,264.00M,2.118B,,,171.10M,,,,,,410.70M,,,
1995-08,,43.70M,,43.70M,,,116.50M,,1.269B,172.20M,1.602B,,,,,,,380.00M,-111.20M,268.80M,,,,,31.20M,300.00M,1.902B,,662.30M,,662.30M,,662.30M,,,196.00M,,196.00M,,,159.20M,1.018B,212.10M,,212.10M,,,230.00M,49.60M,261.70M,1.279B,,,153.30M,,,,,,392.30M,,,
1995-05,,51.70M,,51.70M,,,100.00M,,1.002B,125.10M,1.279B,,,,,,,350.10M,-100.80M,249.30M,,,,,29.50M,278.80M,1.558B,,448.50M,,448.50M,,448.50M,,,105.00M,,105.00M,,,119.20M,672.70M,224.70M,,224.70M,,,230.00M,45.20M,269.90M,942.60M,,,147.60M,,,,,,385.40M,,,
1995-02,,144.70M,,144.70M,,,84.40M,,907.70M,103.90M,1.241B,,,,,,,325.60M,-88.10M,237.50M,,,,,28.90M,266.40M,1.507B,,406.70M,,406.70M,,406.70M,,,95.50M,,95.50M,,,129.40M,631.60M,227.20M,,227.20M,,,230.00M,42.20M,269.40M,901.00M,,,142.90M,,,,,,376.10M,,,
1994-11,,20.50M,,20.50M,,,150.00M,,1.491B,26.50M,1.688B,,,,,,,383.00M,-88.00M,295.00M,,,,,25.50M,320.50M,2.009B,,787.70M,,787.70M,,787.70M,,,257.90M,,257.90M,,,122.50M,1.168B,227.10M,,227.10M,,,230.00M,36.20M,263.30M,1.431B,,,114.80M,,,,,,347.20M,,,
1994-08,,47.40M,,47.40M,,,87.80M,,863.50M,20.10M,1.019B,,,,,,,312.40M,-77.30M,235.10M,,,,,17.00M,252.10M,1.271B,,481.40M,,481.40M,,481.40M,,,104.10M,,104.10M,,,114.90M,700.40M,211.00M,,211.00M,,,,31.90M,242.90M,943.30M,,,97.10M,,,,,,327.60M,,,
1994-05,,10.20M,,10.20M,,,67.30M,,704.50M,16.20M,798.20M,,,,,,,260.50M,-68.90M,191.60M,,,,,14.90M,206.50M,1.005B,,312.70M,,312.70M,,312.70M,,,55.10M,,55.10M,,,80.90M,448.70M,208.70M,,208.70M,,,,29.70M,238.40M,687.10M,,,89.50M,,,,,,317.60M,,,
1994-02,,59.90M,,59.90M,,,52.90M,,638.00M,13.80M,764.60M,,,,,,,233.50M,-60.80M,172.70M,,,,,15.20M,187.90M,952.50M,,294.10M,,294.10M,,294.10M,,,20.10M,,20.10M,,,87.80M,402.00M,210.80M,,210.80M,,,,28.30M,239.10M,641.10M,,,85.30M,,,,,,311.40M,,,
1993-11,,75.00M,,75.00M,,,86.20M,,823.90M,13.40M,998.50M,,,,,,,208.50M,-56.00M,152.50M,,,,,17.80M,170.30M,1.169B,,521.00M,,521.00M,,521.00M,,,43.60M,,43.60M,,,75.20M,639.80M,212.50M,,212.50M,,,,26.90M,239.40M,879.20M,,,63.80M,,,,,,289.60M,,,
1993-08,,43.90M,,43.90M,,,37.60M,,469.00M,11.00M,561.50M,,,,,,,152.60M,-50.90M,101.70M,,,,,9.40M,111.10M,672.60M,,229.50M,,229.50M,,229.50M,,,6.30M,,6.30M,,,84.50M,320.30M,50.90M,,50.90M,,,,23.90M,74.80M,395.10M,,,52.70M,,,,,,277.50M,,,
1993-05,,95.50M,,95.50M,,,40.20M,,328.50M,10.60M,474.80M,,,,,,,134.30M,-45.90M,88.40M,,,,,7.30M,95.70M,570.50M,,160.20M,,160.20M,,160.20M,,,5.70M,,5.70M,,,62.80M,228.70M,49.10M,,49.10M,,,,26.70M,75.80M,304.50M,,,45.10M,,,,,,266.00M,,,
1993-02,,7.10M,,7.10M,,,38.00M,,250.00M,9.80M,304.90M,,,,,,,169.80M,-43.40M,126.40M,,,,,7.80M,134.20M,439.10M,,118.30M,,118.30M,,118.30M,,,9.40M,,9.40M,,,58.30M,186.00M,48.10M,,48.10M,,,,22.70M,70.80M,256.80M,,,44.00M,,,,,,182.30M,,,
1992-11,,13.90M,,13.90M,,,74.00M,,411.10M,12.70M,511.70M,,,,,,,157.40M,-39.10M,118.30M,,,,,6.70M,125.00M,636.70M,,245.00M,,245.00M,,245.00M,,,109.60M,,109.60M,,,54.90M,409.50M,40.60M,,40.60M,,,,18.20M,58.80M,468.30M,,,33.20M,,,,,,168.40M,,,
1992-08,,9.10M,,9.10M,,,27.00M,,287.70M,10.80M,334.60M,,,,,,,123.80M,-35.10M,88.70M,,,,,5.90M,94.60M,429.20M,,139.60M,,139.60M,,139.60M,,,34.00M,,34.00M,,,39.90M,213.50M,35.00M,,35.00M,,,,19.10M,54.10M,267.60M,,,28.00M,,,,,,161.60M,,,
1992-05,,69.80M,,69.80M,,,17.00M,,216.50M,8.50M,311.80M,,,,,,,91.90M,-32.10M,59.80M,,,,,5.80M,65.60M,377.40M,,107.50M,,107.50M,,107.50M,,,52.70M,,52.70M,,,25.80M,186.00M,14.00M,,14.00M,,,,18.50M,32.50M,218.50M,,,25.40M,,,,,,158.90M,,,
1992-02,,112.80M,,112.80M,,,16.00M,,135.80M,8.50M,273.10M,,,,,,,87.90M,-29.60M,58.30M,,,,,5.80M,64.10M,337.20M,,68.70M,,68.70M,,68.70M,,,38.10M,,38.10M,,,39.50M,146.30M,14.90M,,14.90M,,,,18.40M,33.30M,179.60M,,,24.10M,,,,,,157.60M,,,
1991-11,,48.00M,,48.00M,,,36.80M,,242.50M,9.60M,336.90M,,,,,,,80.30M,-27.20M,53.10M,,,,,6.00M,59.10M,396.00M,,138.00M,,138.00M,,138.00M,,,37.00M,,37.00M,,,37.60M,212.60M,10.10M,,10.10M,,,,21.10M,31.20M,243.80M,,,19.00M,,,,,,152.20M,,,
1991-08,,16.30M,,16.30M,,,19.60M,,121.60M,8.50M,166.00M,,,,,,,68.30M,-25.50M,42.80M,,,,,6.10M,48.90M,214.90M,,60.50M,,60.50M,,60.50M,,,36.10M,,36.10M,,,32.80M,129.40M,7.90M,,7.90M,,,,17.70M,25.60M,155.00M,,,16.70M,,,,,,59.90M,,,
1991-05,,20.10M,,20.10M,,,11.70M,,110.30M,8.40M,150.50M,,,,,,,62.40M,-23.40M,39.00M,,,,,6.10M,45.10M,195.60M,,51.10M,,51.10M,,51.10M,,,0.30M,,0.30M,,,33.70M,85.10M,35.30M,,35.30M,,,,17.90M,53.20M,138.30M,,,14.90M,,,,,,57.30M,,,
1991-02,,27.10M,,27.10M,,,8.70M,,95.70M,8.10M,139.60M,,,,,,,60.90M,-21.30M,39.60M,,,,,6.30M,45.90M,185.50M,,41.90M,,41.90M,,41.90M,,,0.30M,,0.30M,,,32.80M,75.00M,35.40M,,35.40M,,,,18.40M,53.80M,128.80M,,,14.50M,,,,,,56.70M,,,
1990-11,,6.10M,,6.10M,,,16.10M,,167.90M,3.30M,193.40M,,,,,,,58.50M,-19.60M,38.90M,,,,,2.10M,41.00M,234.40M,,76.70M,,76.70M,,76.70M,,,18.30M,,18.30M,,,31.50M,126.50M,35.40M,,35.40M,,,,5.40M,40.80M,167.30M,,,24.90M,,,,,,67.10M,,,
1990-08,,1.40M,,1.40M,,,9.40M,,125.90M,3.80M,140.50M,,,,,,,52.50M,-17.70M,34.80M,,,,,2.00M,36.80M,177.30M,,45.70M,,45.70M,,45.70M,,,8.00M,,8.00M,,,16.60M,70.30M,35.30M,,35.30M,,,,5.90M,41.20M,111.50M,,,23.60M,,,,,,65.80M,,,
1990-05,,19.10M,,19.10M,,,8.00M,,104.40M,4.50M,136.00M,,,,,,,45.00M,-17.20M,27.80M,,,,,1.50M,29.30M,165.30M,,41.60M,,41.60M,,41.60M,,,0.20M,,0.20M,,,17.60M,59.40M,35.10M,,35.10M,,,,5.80M,40.90M,100.30M,,,22.80M,,,,,,65.00M,,,
1989-12,,33.20M,,33.20M,,,11.50M,,114.80M,3.90M,163.40M,,,,,,,41.00M,-15.20M,25.80M,,,,,2.40M,28.20M,191.60M,,48.70M,,48.70M,,48.70M,,,0.10M,,0.10M,,,35.30M,84.10M,34.90M,,34.90M,,,,6.60M,41.50M,125.60M,,,23.90M,,,,,,66.00M,,,
1989-03,,0.80M,,0.80M,,,6.50M,,101.80M,3.90M,113.00M,,,,,,,38.70M,-13.90M,24.80M,,,,,2.10M,26.90M,139.90M,,,,,,,,,5.10M,,5.10M,,,33.80M,38.90M,34.70M,,34.70M,,,,5.90M,40.60M,79.50M,,,18.30M,,,,,,60.40M,,,
1988-03,,0.60M,,0.60M,,,8.20M,,98.40M,4.20M,111.40M,,,,,,,34.90M,-7.10M,27.80M,,,,,1.10M,28.90M,140.30M,,,,,,,,,2.10M,,2.10M,,,37.20M,39.30M,42.80M,,42.80M,,,,,42.80M,82.10M,,,16.20M,,,,,,58.20M,,,
1987-03,,2.60M,,2.60M,,,6.80M,,62.40M,2.80M,74.60M,,,,,,,15.30M,-2.40M,12.90M,,,,,0.10M,13.00M,87.60M,,,,,,,,,5.00M,,5.00M,,,20.90M,25.90M,6.00M,,6.00M,,,,,6.00M,31.90M,,,13.50M,,,,,,55.70M,,,
1986-03,,0.10M,,0.10M,,,3.40M,,23.70M,1.20M,28.40M,,,,,,,4.40M,-1.10M,3.30M,,,,,0.20M,3.50M,31.90M,,,,,,,,,0.20M,,0.20M,,,15.50M,15.70M,1.70M,,1.70M,,,,0.10M,1.80M,17.50M,,,5.70M,,,,,,14.40M,,,
1985-03,,,,,,,1.70M,,11.00M,0.20M,12.90M,,,,,,,1.90M,-0.90M,1.00M,,,,,,1.00M,13.90M,,,,,,,,,,,,,,,9.50M,1.90M,,1.90M,,,,0.10M,2.00M,11.50M,,,1.70M,,,,,,2.40M,,,
