,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-09,89.37M,19.83M,109.20M,674.79M,674.79M,889.17M,51.86M,53.70M,,1.779B,,,,,1.962B,-1.101B,860.64M,232.50M,,232.50M,,60.64M,127.45M,1.281B,3.060B,,377.32M,,377.32M,339.90M,717.21M,,,,148.80M,148.80M,,,11.49M,877.51M,4.895M,4.895M,24.59M,24.59M,,,168.72M,198.20M,1.076B,,54.83M,3.239B,527.06M,1.834B,,,-2.776M,1.984B,,,
2007-06,389.39M,,389.39M,637.81M,637.81M,845.23M,75.20M,54.04M,,2.002B,,,,,1.900B,-1.075B,825.30M,223.71M,120.00M,343.72M,,60.22M,8.097M,1.237B,3.239B,,386.90M,,386.90M,282.50M,669.40M,,,,10.81M,10.81M,,,3.985M,684.20M,4.895M,4.895M,24.41M,24.41M,,,162.88M,192.19M,876.39M,,54.83M,3.161B,569.93M,1.394B,,,-29.30M,2.363B,,,
2007-03,325.47M,,325.47M,611.13M,611.13M,815.89M,66.54M,50.20M,,1.869B,,,,,1.854B,-1.052B,802.37M,212.24M,,212.24M,,59.55M,129.66M,1.204B,3.073B,,378.43M,,378.43M,241.12M,619.55M,,,,4.59M,4.59M,,,50.39M,674.54M,4.895M,4.895M,22.89M,22.89M,,,157.28M,185.06M,859.60M,,54.83M,3.086B,527.38M,1.421B,,,-33.39M,2.213B,,,
2006-12,348.47M,12.83M,361.30M,566.61M,566.61M,827.25M,58.80M,48.12M,,1.862B,0.00,167.22M,890.38M,769.51M,1.827B,-1.034B,792.94M,210.67M,,210.67M,,48.79M,131.60M,1.184B,3.046B,,334.82M,,334.82M,359.84M,694.66M,,,,4.59M,4.59M,,,7.077M,706.32M,4.895M,4.895M,6.235M,6.235M,,,151.02M,162.15M,868.47M,,54.83M,3.008B,513.67M,1.367B,26.25M,-58.04M,-31.78M,2.178B,,,
2006-09,427.35M,13.23M,440.59M,610.76M,610.76M,772.12M,46.96M,72.72M,,1.943B,,,,,1.808B,-1.014B,794.46M,197.49M,,197.49M,,16.69M,131.14M,1.140B,3.083B,,344.98M,,344.98M,335.45M,680.42M,,,,4.59M,4.59M,,,17.26M,702.27M,4.895M,4.895M,6.826M,6.826M,,,92.38M,104.10M,806.37M,,54.83M,2.933B,504.24M,1.219B,,,2.614M,2.277B,,,
2006-06,453.54M,,453.54M,608.35M,608.35M,781.99M,57.79M,92.18M,,1.994B,,,,,1.776B,-991.47M,784.59M,196.89M,,196.89M,,12.98M,134.50M,1.129B,3.123B,,319.44M,,319.44M,300.89M,620.33M,,,,4.59M,4.59M,,,41.73M,666.65M,4.895M,4.895M,6.378M,6.378M,,,89.04M,100.31M,766.96M,,54.83M,2.854B,501.10M,1.054B,,,-0.299M,2.356B,,,
2006-03,493.88M,,493.88M,569.60M,569.60M,805.59M,58.89M,90.16M,,2.018B,,,,,1.746B,-970.26M,775.82M,191.80M,,191.80M,,4.637M,158.95M,1.131B,3.149B,,357.88M,,357.88M,266.31M,624.19M,,,,4.59M,4.59M,,,70.19M,698.97M,4.895M,4.895M,7.437M,7.437M,,,85.01M,97.34M,796.31M,,54.83M,2.787B,464.88M,959.20M,,,5.764M,2.353B,,,
2005-12,544.89M,,544.89M,518.62M,518.62M,791.21M,54.33M,76.47M,,1.986B,0.00,162.12M,841.03M,716.50M,1.720B,-949.03M,770.62M,182.73M,,182.73M,,16.70M,152.33M,1.122B,3.108B,,319.25M,,319.25M,346.95M,666.21M,,,,4.59M,4.59M,,,24.55M,695.35M,4.895M,4.895M,7.019M,7.019M,,,111.68M,123.59M,818.94M,,54.83M,2.722B,451.58M,949.34M,27.44M,-17.63M,9.802M,2.289B,,,
2005-09,446.42M,,446.42M,547.62M,547.62M,751.13M,48.96M,86.92M,,1.881B,,,,,1.691B,-922.90M,768.18M,,182.88M,182.88M,,10.22M,143.76M,1.105B,2.986B,,336.06M,,336.06M,319.83M,655.89M,,,,9.485M,9.485M,,,35.63M,701.01M,,,5.902M,5.902M,,,85.13M,91.03M,792.04M,,54.83M,2.640B,448.23M,956.72M,,,7.922M,2.194B,,,
2005-06,326.03M,,326.03M,531.71M,531.71M,728.47M,55.12M,90.33M,,1.732B,,,,,1.672B,-908.57M,763.74M,,177.21M,177.21M,,10.07M,131.28M,1.082B,2.814B,,304.92M,,304.92M,279.80M,584.72M,,,,9.485M,9.485M,,,35.28M,629.49M,,,5.265M,5.265M,,,81.54M,86.80M,716.30M,,54.83M,2.573B,445.46M,967.57M,,,-8.153M,2.098B,,,
2005-03,369.50M,,369.50M,520.23M,520.23M,741.75M,55.02M,97.98M,,1.784B,,,,,1.655B,-895.49M,759.40M,,178.40M,178.40M,,5.535M,125.25M,1.069B,2.853B,,334.96M,,334.96M,245.82M,580.77M,,,,9.485M,9.485M,,,57.66M,647.92M,,,4.877M,4.877M,,,78.55M,83.43M,731.35M,,54.84M,2.513B,434.72M,881.25M,,,0.412M,2.122B,,,
2004-12,429.25M,,429.25M,480.89M,480.89M,700.56M,47.09M,96.93M,,1.755B,0.00,154.67M,804.32M,679.14M,1.638B,-876.56M,761.57M,,165.01M,165.01M,,18.87M,109.40M,1.055B,2.810B,,289.39M,,289.39M,328.31M,617.70M,,,,9.485M,9.485M,,,35.25M,662.43M,,,4.482M,4.482M,,,74.69M,79.17M,741.60M,,54.84M,2.458B,432.17M,881.07M,,,3.589M,2.068B,,,
2004-09,393.66M,,393.66M,501.86M,501.86M,655.29M,45.76M,104.24M,,1.701B,,,,,1.597B,-870.82M,726.47M,,159.27M,159.27M,,8.378M,94.57M,988.68M,2.689B,,313.15M,,313.15M,298.43M,611.58M,,,,4.59M,4.59M,,,35.10M,651.27M,4.895M,4.895M,,,,,75.46M,80.36M,731.63M,,54.84M,2.386B,431.65M,903.05M,,,-11.96M,1.958B,,,
2004-06,486.13M,,486.13M,484.55M,484.55M,654.70M,50.12M,104.85M,,1.780B,,,,,1.567B,-849.54M,717.16M,,153.21M,153.21M,,18.32M,83.98M,972.67M,2.753B,,314.78M,,314.78M,252.33M,567.11M,,,,140.19M,140.19M,,,29.59M,736.89M,4.895M,4.895M,,,,,74.67M,79.56M,816.45M,,54.94M,2.337B,429.45M,864.01M,,,-20.73M,1.937B,,,
2004-03,434.73M,,434.73M,472.97M,472.97M,654.11M,52.45M,101.43M,,1.716B,,,,,1.551B,-831.65M,718.90M,,155.04M,155.04M,,15.88M,80.05M,969.88M,2.686B,,312.32M,,312.32M,223.15M,535.47M,,,,142.56M,142.56M,,,72.98M,751.01M,4.895M,4.895M,,,,,71.56M,76.45M,827.46M,,54.74M,2.288B,398.94M,874.36M,,,-9.664M,1.858B,,,
2003-12,402.82M,,402.82M,431.90M,431.90M,661.25M,37.95M,99.50M,,1.633B,0.00,153.36M,785.89M,605.90M,1.545B,-813.16M,731.99M,,156.27M,156.27M,,20.30M,82.71M,991.26M,2.625B,,257.81M,,257.81M,261.01M,518.82M,,,,144.14M,144.14M,,,43.69M,706.64M,4.895M,4.895M,,,,,68.01M,72.90M,779.54M,,54.69M,2.243B,394.41M,837.85M,,,-8.877M,1.845B,,,
2003-09,293.64M,,293.64M,462.04M,462.04M,705.81M,42.42M,100.81M,,1.605B,,,,,1.542B,-810.83M,731.27M,,214.11M,214.11M,,23.33M,24.25M,992.96M,2.598B,,288.91M,,288.91M,238.21M,527.12M,,,,4.999M,4.999M,,,44.39M,576.50M,138.96M,138.96M,,,,,74.72M,213.68M,790.18M,,54.68M,2.198B,393.66M,817.99M,,,-20.78M,1.807B,,,
2003-06,186.70M,,186.70M,464.46M,464.46M,747.12M,50.78M,101.06M,,1.550B,,,,,1.526B,-794.91M,731.12M,,218.11M,218.11M,,24.74M,19.76M,993.73M,2.544B,,314.54M,,314.54M,220.77M,535.31M,,,,6.455M,6.455M,,,34.82M,576.58M,139.16M,139.16M,,,,,70.97M,210.14M,786.72M,,54.58M,2.158B,385.08M,817.87M,,,-22.66M,1.757B,,,
2003-03,218.58M,,218.58M,454.98M,454.98M,706.02M,52.78M,97.96M,,1.530B,,,,,1.516B,-776.96M,738.67M,,120.65M,120.65M,,23.70M,79.42M,962.43M,2.493B,,301.28M,,301.28M,204.14M,505.41M,,,,9.298M,9.298M,,,65.27M,579.98M,127.56M,127.56M,,,,,67.55M,195.12M,775.10M,,54.52M,2.119B,380.46M,797.30M,,,-39.00M,1.718B,,,
2002-12,208.53M,,208.53M,423.24M,423.24M,721.18M,36.66M,95.34M,,1.485B,0.00,154.06M,769.12M,569.67M,1.493B,-756.05M,736.81M,,118.70M,118.70M,,20.54M,76.46M,952.50M,2.437B,,290.81M,,290.81M,248.08M,538.89M,,,,9.472M,9.472M,,,37.90M,586.27M,119.69M,119.69M,,,,,63.79M,183.48M,769.75M,,54.51M,2.083B,379.94M,796.94M,,,-52.89M,1.668B,,,
2002-09,218.47M,,218.47M,479.74M,479.74M,646.45M,33.64M,100.98M,,1.479B,,,,,1.469B,-745.49M,723.83M,,118.02M,118.02M,,11.50M,84.37M,937.72M,2.417B,,333.21M,,333.21M,250.70M,583.91M,,,,13.96M,13.96M,,,25.83M,623.70M,118.64M,118.64M,,,,,63.19M,181.83M,805.54M,,54.44M,2.037B,374.11M,796.64M,,,-57.40M,1.611B,,,
2002-06,199.29M,,199.29M,500.72M,500.72M,643.17M,37.29M,104.79M,,1.485B,,,,,1.432B,-731.49M,700.57M,,122.31M,122.31M,,16.48M,90.62M,929.98M,2.415B,,306.60M,,306.60M,231.47M,538.06M,,,,14.19M,14.19M,,,18.09M,570.34M,123.83M,123.83M,,,,0.02M,61.11M,184.94M,755.28M,,54.44M,1.994B,373.83M,713.20M,,,-48.89M,1.660B,,,
2002-03,221.59M,,221.59M,484.08M,484.08M,649.47M,41.94M,99.54M,,1.497B,,,,,1.401B,-712.96M,687.96M,,,,,0.754M,245.96M,934.67M,2.431B,,342.86M,,342.86M,211.92M,554.78M,,,,14.50M,14.50M,,,34.70M,603.98M,117.96M,117.96M,,,,0.138M,58.04M,176.00M,779.98M,,54.45M,1.980B,370.66M,697.06M,,,-56.94M,1.651B,,,
2001-12,168.85M,,168.85M,454.18M,454.18M,634.65M,37.48M,97.45M,,1.393B,0.00,150.34M,722.04M,514.05M,1.386B,-696.71M,689.72M,155.48M,,155.48M,,,93.43M,938.64M,2.331B,,275.89M,,275.89M,251.76M,527.65M,,,,17.05M,17.05M,,,9.112M,553.81M,118.22M,118.22M,1.239M,1.239M,,0.139M,54.65M,174.11M,727.92M,,54.24M,1.938B,289.20M,630.95M,,,-47.28M,1.603B,,,
2001-09,138.52M,,138.52M,548.29M,548.29M,630.44M,47.99M,92.81M,,1.458B,,,,,1.355B,-682.46M,672.11M,,,,,5.974M,243.54M,921.62M,2.380B,,285.00M,,285.00M,305.35M,590.35M,,,,26.92M,26.92M,,,21.66M,638.94M,119.12M,119.12M,,,,0.088M,53.60M,172.72M,811.65M,,54.23M,1.893B,289.22M,607.35M,,,-60.98M,1.568B,,,
2001-06,66.28M,,66.28M,606.38M,606.38M,665.16M,55.41M,98.20M,,1.491B,,,,,1.344B,-667.62M,676.09M,,,,,5.052M,265.24M,946.38M,2.438B,,299.33M,,299.33M,279.95M,579.28M,,,,119.30M,119.30M,-6.125M,-6.125M,,692.46M,124.00M,124.00M,,,,0.093M,52.22M,176.22M,868.68M,,54.20M,1.853B,287.02M,581.67M,,,-43.81M,1.569B,,,
2001-03,68.97M,,68.97M,595.10M,595.10M,685.82M,55.71M,82.92M,,1.489B,,,,,1.322B,-648.15M,673.47M,,,,,7.348M,283.02M,963.84M,2.452B,,255.66M,,255.66M,271.66M,527.32M,,,,138.06M,138.06M,,,46.20M,711.58M,119.36M,119.36M,,,,0.094M,50.74M,170.10M,881.68M,,54.13M,1.855B,282.65M,557.42M,,,-63.83M,1.571B,,,
2000-12,63.38M,,63.38M,608.30M,608.30M,704.07M,,,107.25M,1.483B,,,,,1.308B,-631.63M,676.40M,,159.16M,159.16M,,,141.04M,976.60M,2.460B,,220.92M,,220.92M,,220.92M,,,,196.31M,196.31M,,,330.09M,747.32M,125.26M,125.26M,,,,0.096M,49.54M,174.80M,922.12M,,54.02M,1.837B,276.82M,589.20M,,,-41.55M,1.537B,,,
2000-09,72.26M,,72.26M,,651.74M,754.51M,,,102.29M,1.581B,,,,,1.289B,-620.48M,668.65M,,,,,,305.58M,974.24M,2.555B,,271.73M,,271.73M,,271.73M,,,,281.58M,281.58M,,,329.56M,882.87M,120.05M,120.05M,0.04M,0.04M,,0.098M,42.17M,162.26M,1.045B,,54.02M,1.805B,277.47M,588.44M,,,-38.59M,1.510B,,,
2000-06,57.14M,,57.14M,,654.62M,771.08M,,,106.99M,1.590B,,,,,1.292B,-612.60M,679.72M,,,,,,303.38M,983.10M,2.573B,,334.74M,,334.74M,,334.74M,,,,303.84M,303.84M,,,277.96M,916.54M,121.93M,121.93M,5.956M,5.956M,,,42.10M,169.99M,1.087B,,54.00M,1.773B,274.82M,588.44M,,,-27.19M,1.486B,,,
2000-03,64.68M,,64.68M,,600.97M,773.21M,,,104.79M,1.544B,,,,,1.302B,-613.77M,688.00M,,,,,,380.81M,1.069B,2.612B,,295.15M,,295.15M,,295.15M,,,,311.24M,311.24M,,,296.40M,902.79M,124.46M,124.46M,41.42M,41.42M,,,41.42M,207.30M,1.110B,,53.87M,1.734B,264.28M,588.58M,,,39.30M,1.502B,,,
1999-12,62.70M,,62.70M,,561.80M,762.50M,,,84.10M,1.471B,,,,,1.302B,-604.30M,697.80M,,173.30M,173.30M,,,222.63M,1.094B,2.565B,,260.10M,,260.10M,,260.10M,,,,324.50M,324.50M,,,285.90M,870.50M,124.90M,124.90M,48.10M,48.10M,,,40.83M,213.83M,1.084B,,53.70M,1.707B,255.60M,588.20M,,,52.20M,1.480B,,,
1999-09,47.60M,,47.60M,,565.50M,699.30M,,,80.40M,1.393B,,,,,1.271B,-585.30M,685.50M,,,,,,271.10M,956.60M,2.349B,,306.10M,,306.10M,,306.10M,,,,244.70M,244.70M,,,243.80M,794.60M,127.80M,127.80M,,,,,41.40M,169.20M,963.80M,,53.70M,1.694B,255.30M,587.80M,-12.50M,-17.20M,-29.70M,1.386B,,,
1999-06,45.50M,,45.50M,,562.60M,691.50M,,,85.20M,1.385B,,,,,1.277B,-583.20M,693.50M,,,,,,263.10M,956.60M,2.341B,,331.40M,,331.40M,,331.40M,,,,270.20M,270.20M,,,221.20M,822.80M,127.40M,127.40M,,,,,39.80M,167.20M,990.00M,,,1.663B,,,,,,1.351B,,,
1999-03,36.90M,,36.90M,,508.10M,646.60M,,,89.20M,1.281B,,,,,1.246B,-565.40M,680.60M,,,,,,240.70M,921.30M,2.202B,,307.40M,,307.40M,,307.40M,,,,176.80M,176.80M,,,243.30M,727.50M,124.60M,124.60M,,,,,38.50M,163.10M,890.60M,,,1.628B,,,,,,1.312B,,,
1998-12,43.10M,,43.10M,,463.40M,626.70M,,,73.20M,1.206B,,,,,1.209B,-548.60M,660.50M,,180.60M,180.60M,,,56.50M,897.60M,2.104B,,287.10M,,287.10M,,287.10M,,,,110.90M,110.90M,,,266.50M,664.50M,122.90M,122.90M,,,,,37.90M,160.80M,825.30M,,,1.585B,,,,,,1.279B,,,
1998-09,46.10M,,46.10M,,496.60M,570.30M,,,73.80M,1.187B,,,,,1.173B,-538.50M,634.60M,,,,,,230.20M,864.80M,2.052B,,279.30M,,279.30M,,279.30M,,,,67.80M,67.80M,,,239.80M,586.90M,122.80M,122.80M,0.30M,0.30M,,,39.10M,162.20M,749.10M,,,1.534B,,,,,,1.302B,,,
1998-06,49.00M,,49.00M,,515.80M,584.10M,,,75.40M,1.224B,,,,,1.142B,-524.80M,616.80M,,,,,,230.50M,847.30M,2.072B,,282.90M,,282.90M,,282.90M,,,,28.90M,28.90M,,,223.40M,535.20M,128.00M,128.00M,0.70M,0.70M,,,38.10M,166.80M,702.00M,,,1.492B,,,,,,1.370B,,,
1998-03,36.00M,,36.00M,,482.50M,606.20M,,,73.30M,1.198B,,,,,1.112B,-509.60M,601.90M,,,,,,237.90M,839.80M,2.038B,,274.90M,,274.90M,,274.90M,,,,30.60M,30.60M,,,229.50M,535.00M,132.10M,132.10M,2.50M,2.50M,,,36.40M,171.00M,706.00M,,,1.448B,,,,,,1.332B,,,
1997-12,46.90M,,46.90M,,455.50M,612.10M,,,68.50M,1.183B,,,,,1.087B,-494.20M,592.90M,,206.80M,206.80M,,,15.10M,814.80M,1.998B,,261.80M,,261.80M,,261.80M,,,,26.80M,26.80M,,,245.30M,533.90M,131.20M,131.20M,2.90M,2.90M,,,35.10M,169.20M,703.10M,,,1.404B,,,,,,1.295B,,,
1997-09,57.50M,,57.50M,,493.60M,576.50M,,,75.20M,1.203B,,,,,1.054B,-479.60M,574.30M,,,,,,231.50M,805.80M,2.009B,,269.10M,,269.10M,,269.10M,,,,157.30M,157.30M,,,216.00M,642.40M,5.10M,5.10M,3.70M,3.70M,,,35.30M,44.10M,686.50M,,,1.354B,,,,,,1.322B,,,
1997-06,31.70M,,31.70M,,497.80M,587.40M,,,79.00M,1.196B,,,,,1.026B,-465.00M,561.50M,,,,,,236.30M,797.80M,1.994B,,243.10M,,243.10M,,243.10M,,,,233.90M,233.90M,,,191.50M,668.50M,5.10M,5.10M,3.30M,3.30M,,,34.30M,42.70M,711.20M,,,1.311B,,,,,,1.282B,,,
1997-03,101.70M,,101.70M,,465.80M,627.70M,,,79.10M,1.274B,,,,,1.003B,-450.60M,552.10M,,,,,,238.90M,791.00M,2.065B,,253.90M,,253.90M,,253.90M,,,,158.10M,158.10M,,,207.80M,619.80M,5.60M,5.60M,0.10M,0.10M,,,33.10M,38.80M,658.60M,,,1.267B,,,,,,1.407B,,,
1996-12,126.90M,,126.90M,,433.60M,686.90M,,,72.80M,1.320B,,,,,985.70M,-434.70M,551.00M,,229.90M,229.90M,,,17.90M,798.80M,2.119B,,240.80M,,240.80M,,240.80M,,,,160.00M,160.00M,,,215.30M,616.10M,6.20M,6.20M,2.20M,2.20M,,,31.80M,40.20M,656.30M,,,1.226B,,,,,,1.463B,,,
1996-09,131.60M,,131.60M,,419.00M,565.90M,,,73.50M,1.19B,,,,,928.40M,-421.30M,507.10M,,,,,,77.00M,584.10M,1.774B,,233.90M,,233.90M,,233.90M,,,,27.80M,27.80M,,,176.60M,438.30M,6.70M,6.70M,1.90M,1.90M,,,31.50M,40.10M,478.40M,,,1.182B,,,,,,1.296B,,,
1996-06,94.40M,,94.40M,,432.20M,545.80M,,,82.10M,1.154B,,,,,917.90M,-407.50M,510.40M,,,,,,80.40M,590.80M,1.745B,,259.40M,,259.40M,,259.40M,,,,28.00M,28.00M,,,159.00M,446.40M,7.20M,7.20M,4.30M,4.30M,,,30.60M,42.10M,488.50M,,,1.142B,,,,,,1.257B,,,
1996-03,43.60M,,43.60M,,388.60M,559.00M,,,85.80M,1.077B,,,,,907.90M,-394.70M,513.20M,,,,,,84.30M,597.50M,1.674B,,206.00M,,206.00M,,206.00M,,,,26.30M,26.30M,,,178.90M,411.20M,8.20M,8.20M,6.40M,6.40M,,,29.70M,44.30M,455.50M,,,1.106B,,,,,,1.219B,,,
1995-12,11.50M,,11.50M,,369.60M,602.60M,,,79.00M,1.063B,,,,,897.70M,-379.30M,518.40M,,,,,,88.10M,606.50M,1.669B,,204.90M,,204.90M,,204.90M,,,,46.80M,46.80M,,,192.40M,444.10M,8.70M,8.70M,8.50M,8.50M,,,28.80M,46.00M,490.10M,,,1.067B,,,,,,1.179B,,,
1995-09,22.90M,,22.90M,,394.40M,597.90M,,,83.50M,1.099B,,,,,869.70M,-366.00M,503.70M,,,,,,92.20M,595.90M,1.695B,,208.90M,,208.90M,,208.90M,,,,133.40M,133.40M,,,172.70M,515.00M,4.40M,4.40M,9.10M,9.10M,,,29.90M,43.40M,558.40M,,,1.028B,,,,,,1.136B,,,
1995-06,16.20M,,16.20M,,388.20M,607.50M,,,81.70M,1.094B,,,,,859.40M,-367.80M,491.60M,,,,,,95.40M,587.00M,1.681B,,249.20M,,249.20M,,249.20M,,,,151.70M,151.70M,,,139.70M,540.60M,1.00M,1.00M,11.70M,11.70M,,,28.80M,41.50M,582.10M,,,990.20M,,,,,,1.098B,,,
1995-03,14.10M,,14.10M,,365.50M,535.50M,,,82.90M,998.00M,,,,,830.50M,-354.20M,476.30M,,,,,,98.20M,574.50M,1.572B,,229.70M,,229.70M,,229.70M,,,,61.30M,61.30M,,,169.70M,460.70M,1.00M,1.00M,13.20M,13.20M,,,27.70M,41.90M,502.60M,,,962.40M,,,,,,1.070B,,,
1994-12,15.30M,,15.30M,,345.80M,520.00M,,,82.50M,963.60M,,,,,810.20M,-341.10M,469.10M,,,,,,102.10M,571.20M,1.535B,,226.50M,,226.50M,,226.50M,,,,37.50M,37.50M,,,195.10M,459.10M,1.00M,1.00M,15.20M,15.20M,,,26.70M,42.90M,502.00M,,,925.70M,,,,,,1.033B,,,
1994-09,12.10M,,12.10M,,357.50M,527.10M,,,61.90M,958.60M,,,,,783.60M,-341.70M,441.90M,,,,,,130.20M,572.10M,1.531B,,235.10M,,235.10M,,235.10M,,,,61.50M,61.50M,,,142.80M,439.40M,6.00M,6.00M,17.50M,17.50M,,,27.20M,50.70M,490.10M,,,934.90M,,,,,,1.041B,,,
1994-06,12.50M,,12.50M,,372.80M,498.10M,,,54.80M,938.20M,,,,,757.50M,-330.90M,426.60M,,,,,,134.50M,561.10M,1.499B,,217.50M,,217.50M,,217.50M,,,,91.30M,91.30M,,,131.30M,440.10M,6.00M,6.00M,19.10M,19.10M,,,26.60M,51.70M,491.80M,,,902.00M,,,,,,1.008B,,,
1994-03,14.20M,,14.20M,,323.60M,481.60M,,,57.50M,876.90M,,,,,734.90M,-318.80M,416.10M,,,,,,139.00M,555.10M,1.432B,,201.10M,,201.10M,,201.10M,,,,59.60M,59.60M,,,143.90M,404.60M,6.00M,6.00M,21.00M,21.00M,,,25.60M,52.60M,457.20M,,,869.80M,,,,,,974.80M,,,
1993-12,2.60M,,2.60M,,299.90M,466.20M,,,55.20M,823.90M,,,,,716.80M,-307.40M,409.40M,,,,,,143.40M,552.80M,1.377B,,178.10M,,178.10M,,178.10M,,,,56.00M,56.00M,,,147.30M,381.40M,6.20M,6.20M,23.00M,23.00M,,,24.20M,53.40M,434.80M,,,837.40M,,,,,,941.90M,,,
1993-09,5.50M,,5.50M,,316.00M,448.80M,,,50.10M,820.40M,,,,,691.40M,-300.80M,390.60M,,,,,,147.90M,538.50M,1.359B,,181.60M,,181.60M,,181.60M,,,,82.00M,82.00M,,,134.80M,398.40M,6.30M,6.30M,28.80M,28.80M,,,17.70M,52.80M,451.20M,,,805.00M,,,,,,907.70M,,,
1993-06,2.70M,,2.70M,,309.90M,433.20M,,,45.80M,791.60M,,,,,663.90M,-293.20M,370.70M,,,,,,152.70M,523.40M,1.315B,,187.50M,,187.50M,,187.50M,,,,42.70M,42.70M,,,111.00M,341.20M,6.30M,6.30M,34.30M,34.30M,,,17.00M,57.60M,398.80M,,,812.30M,,,,,,916.20M,,,
1993-03,36.40M,,36.40M,,273.80M,419.60M,,,49.30M,779.10M,,,,,641.30M,-284.40M,356.90M,,,,,,158.20M,515.10M,1.294B,,160.40M,,160.40M,,160.40M,,,,25.70M,25.70M,,,120.10M,306.20M,6.40M,6.40M,36.50M,36.50M,,,16.50M,59.40M,365.60M,,,823.70M,,,,,,928.60M,,,
1992-12,44.80M,,44.80M,,265.40M,432.20M,,,51.90M,794.30M,,,,,626.70M,-274.00M,352.70M,,,,,,163.50M,516.20M,1.310B,,151.90M,,151.90M,,151.90M,,,,25.00M,25.00M,,,138.60M,315.50M,6.90M,6.90M,41.00M,41.00M,,,15.90M,63.80M,379.30M,,,826.30M,,,,,,931.20M,,,
1992-09,5.10M,,5.10M,,283.30M,435.60M,,,47.40M,771.40M,,,,,608.30M,-266.20M,342.10M,,,,,,167.00M,509.10M,1.280B,,149.20M,,149.20M,,149.20M,,,,27.30M,27.30M,,,112.80M,289.30M,11.00M,11.00M,47.10M,47.10M,,,16.50M,74.60M,363.90M,,,815.10M,,,,,,916.60M,,,
1992-06,12.30M,,12.30M,,287.30M,455.00M,,,44.90M,799.50M,,,,,596.00M,-257.60M,338.40M,,,,,,170.50M,508.90M,1.308B,,156.00M,,156.00M,,156.00M,,,,78.70M,78.70M,,,97.80M,332.50M,11.10M,11.10M,46.90M,46.90M,,,16.70M,74.70M,407.20M,,,799.70M,,,,,,901.20M,,,
1992-03,109.40M,,109.40M,,242.40M,442.10M,,,46.00M,839.90M,,,,,561.40M,-249.30M,312.10M,,,,,,52.90M,365.00M,1.205B,,144.40M,,144.40M,,144.40M,,,,22.30M,22.30M,,,88.90M,255.60M,11.20M,11.20M,48.30M,48.30M,,,16.10M,75.60M,331.20M,,,772.40M,,,,,,873.70M,,,
1991-12,141.00M,,141.00M,,227.10M,443.30M,,,42.90M,854.30M,,,,,553.00M,-241.40M,311.60M,,,,,,50.70M,362.30M,1.217B,,152.60M,,152.60M,,152.60M,,,,19.40M,19.40M,,,108.20M,280.20M,11.30M,11.30M,49.10M,49.10M,,,15.60M,76.00M,356.20M,,,760.50M,,,,,,860.40M,,,
1991-09,147.70M,,147.70M,,247.20M,406.70M,,,46.40M,848.00M,,,,,544.50M,-233.80M,310.70M,,,,,,48.90M,359.60M,1.208B,,148.50M,,148.50M,,148.50M,,,,22.30M,22.30M,,,100.10M,270.90M,12.00M,12.00M,49.20M,49.20M,,,14.80M,76.00M,346.90M,,,860.70M,,,,,,860.70M,,,
1991-06,93.60M,,93.60M,,265.70M,410.70M,,,42.00M,812.00M,,,,,537.10M,-226.30M,310.80M,,,,,,50.40M,361.20M,1.173B,,147.10M,,147.10M,,147.10M,,,,22.40M,22.40M,,,83.60M,253.10M,12.10M,12.10M,50.00M,50.00M,,,14.20M,76.30M,329.40M,,,744.50M,,,,,,843.80M,,,
1991-03,131.70M,,131.70M,,223.10M,418.90M,,,44.20M,817.90M,,,,,527.70M,-218.20M,309.50M,,,,,,21.90M,331.40M,1.149B,,142.70M,,142.70M,,142.70M,,,,22.60M,22.60M,,,87.50M,252.80M,12.90M,12.90M,48.40M,48.40M,,,13.50M,74.80M,327.60M,,,723.90M,,,,,,821.70M,,,
