,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-09,288.78M,288.78M,45.37M,243.40M,,,127.36M,24.16M,,1.239M,-2.60M,,,,,0.526M,153.29M,90.12M,,,,-2.60M,,96.20M,34.31M,61.00M,,,-0.879M,61.00M,62.68M,107.88M,17.76M,90.12M,0.055,0.0,,0.0565,0.055,0.0525,0.0,,0.054,0.0525,1.129B,1.146B,
2002-06,266.29M,266.29M,44.56M,221.73M,,,116.40M,24.35M,,1.108M,,,,,,0.431M,142.28M,79.44M,,,,,,87.74M,33.29M,54.31M,,,-0.15M,54.31M,54.31M,97.04M,17.60M,79.44M,0.0475,0.0,,0.0475,0.0475,0.0475,0.0,,0.0475,0.0475,1.123B,1.142B,
2002-03,245.11M,245.11M,41.28M,203.83M,,,105.60M,24.31M,,1.53M,-1.181M,,,,,1.679M,133.11M,70.72M,,,,-1.181M,,76.24M,29.41M,47.58M,,,0.758M,47.58M,48.31M,84.64M,13.92M,70.72M,0.0425,0.0,,0.0432,0.0425,0.0425,0.0,,0.0431,0.0425,1.113B,1.140B,
2001-12,219.40M,219.40M,39.99M,179.41M,,,102.80M,21.72M,,12.39M,0.00,,,,,0.881M,137.79M,41.62M,,,,0.00,,48.08M,24.04M,25.94M,,,1.891M,25.94M,25.94M,69.25M,27.63M,41.62M,0.025,0.0,,0.025,0.025,0.0225,0.0,,0.0225,0.0225,1.098B,1.134B,
2001-09,194.42M,194.42M,34.95M,159.47M,,,93.87M,20.18M,,12.02M,-6.324M,,,,,0.749M,126.82M,32.65M,,,,-6.324M,,35.17M,19.27M,18.84M,,,2.937M,18.84M,22.63M,56.21M,23.56M,32.65M,0.0175,0.0,,0.021,0.0175,0.0175,0.0,,0.0209,0.0175,1.085B,1.129B,
2001-06,180.90M,180.90M,32.87M,148.03M,,,85.72M,17.65M,,8.822M,,,,,,0.385M,112.58M,35.45M,,,,,,44.64M,21.28M,24.61M,,,1.242M,24.61M,24.61M,59.00M,23.54M,35.45M,0.0225,0.0,,0.0225,0.0225,0.0225,0.0,,0.0225,0.0225,1.068B,1.134B,
2001-03,154.09M,154.09M,27.00M,127.09M,,,76.86M,15.74M,,3.355M,-9.921M,,,,,0.427M,96.38M,30.70M,,,,-9.921M,,36.49M,15.43M,21.07M,,,1.444M,21.07M,27.02M,45.70M,15.00M,30.70M,0.02,0.0,,0.0256,0.02,0.02,0.0,,0.0253,0.02,1.057B,1.115B,
2000-12,134.01M,134.01M,13.31M,120.70M,,,67.92M,14.14M,,,-0.119M,,,,,0.585M,93.85M,26.85M,,,,-0.119M,,39.77M,15.91M,23.86M,,,1.468M,23.86M,23.93M,38.05M,11.20M,26.85M,0.0225,0.0,,0.0226,0.0225,0.02,0.0,,0.0201,0.02,1.040B,1.119B,
2000-09,113.38M,113.38M,9.027M,104.35M,,,58.48M,15.78M,,,-0.607M,,,,,0.017M,89.43M,14.92M,,,,-0.607M,,25.35M,10.14M,15.21M,,,0.32M,15.21M,15.58M,30.07M,13.11M,14.92M,0.015,0.0,,0.0154,0.015,0.0125,0.0,,0.0128,0.0125,1.023B,1.121B,
2000-06,98.15M,98.15M,24.20M,73.95M,,,57.70M,13.60M,,0.34M,,,,,,0.834M,72.48M,1.471M,,,,,,11.86M,5.401M,7.459M,,,0.995M,7.459M,7.459M,12.03M,10.56M,1.471M,0.0019,0.0,,0.0019,0.0019,0.0019,0.0,,0.0019,0.0019,3.997B,4.488B,
2000-03,85.89M,85.89M,15.05M,70.84M,,,56.51M,12.34M,8.332M,0.275M,,,,,,-7.431M,70.03M,0.808M,,,,,,3.032M,1.274M,1.758M,,,0.279M,1.758M,1.758M,11.12M,10.32M,0.808M,0.0003,0.0,,0.0003,0.0003,0.0003,0.0,,0.0003,0.0003,7.765B,9.003B,
1999-12,73.92M,73.92M,30.19M,43.74M,,,43.56M,10.35M,,,0.241M,,,,,,45.45M,-1.714M,,,,0.241M,,6.339M,2.672M,3.667M,,,,3.667M,3.522M,14.21M,15.92M,-1.714M,0.0035,,,0.0034,0.0035,0.0035,,,0.0034,0.0035,1.038B,1.038B,
1999-09,58.50M,58.50M,15.60M,42.90M,,,39.00M,6.90M,,,,,,,,,47.70M,-4.80M,,,,,,2.40M,1.00M,1.40M,,,,1.40M,1.40M,-3.00M,1.70M,-4.80M,0.0012,0.0,,0.0012,0.0012,0.0012,0.0,,0.0012,0.0012,927.84M,1.121B,
1999-06,49.50M,49.50M,5.70M,43.80M,,,33.00M,5.50M,,,-4.40M,,,,,,44.00M,-0.20M,,,,-4.40M,,1.40M,0.60M,0.80M,,,,0.80M,3.44M,5.30M,4.90M,-0.20M,0.0012,0.0,,0.0043,0.0012,0.0012,0.0,,0.0037,0.0012,854.84M,1.093B,
1999-03,42.80M,42.80M,5.30M,37.50M,,,24.60M,2.20M,,,0.90M,,,,,,29.80M,7.70M,,,,0.90M,,8.10M,4.30M,3.80M,,,-0.10M,3.80M,3.26M,10.70M,3.00M,7.70M,0.0003,0.0,,-0.0,0.0003,0.0003,0.0,,0.0001,0.0003,1.563B,2.117B,
1998-12,30.90M,30.90M,1.30M,29.60M,,,19.50M,1.50M,,,-0.60M,,,,,,26.00M,3.60M,,,,-0.60M,,3.50M,0.80M,2.70M,,,,2.70M,3.163M,8.60M,5.00M,3.60M,0.0028,,,0.0033,0.0028,0.0028,,,0.0033,0.0028,966.08M,966.08M,
1998-09,21.70M,21.70M,3.30M,18.40M,,,13.60M,1.50M,,,0.20M,,,,,,16.50M,1.90M,,,,0.20M,,1.70M,1.20M,0.50M,,,,0.50M,0.38M,3.30M,-0.50M,1.90M,0.0001,0.0,,-0.0,0.0001,0.0001,0.0,,-0.0,0.0001,967.30M,967.30M,
1998-06,19.50M,19.50M,1.30M,18.20M,,,10.80M,1.00M,,,,,,,,,14.00M,4.20M,,,,,,3.70M,1.00M,2.70M,,,,2.70M,2.70M,6.40M,2.20M,4.20M,0.0004,0.0,,0.0004,0.0004,0.0001,0.0,,0.0001,0.0001,967.30M,967.30M,
