,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2006-10,90.00M,,,,,-0.616M,27.70M,3.706M,31.40M,31.40M,-21.67M,,,,6.585M,-50.95M,47.57M,,72.83M,,,-16.85M,52.59M,158.30M,-33.84M,3.975M,-29.86M,-3.912M,8.381M,-0.811M,-25.39M,,,-50.73M,-24.17M,-24.17M,,-19.32M,,1.618M,-92.61M,132.19M,40.30M,,172.48M,,,-24.17M
2006-07,59.55M,,,,,-0.994M,26.92M,3.078M,29.99M,29.99M,-2.103M,,,,-2.268M,-15.43M,20.09M,,1.943M,,,-24.68M,-18.09M,66.09M,-44.03M,2.513M,-41.52M,-0.236M,-4.995M,0.811M,-45.94M,,,4.984M,-0.086M,-0.086M,,-19.30M,,5.797M,-8.605M,120.64M,11.55M,,132.19M,,,-0.086M
2006-04,67.31M,,,,,-0.948M,27.18M,2.465M,29.64M,29.64M,1.888M,,,,13.74M,2.70M,-17.86M,,5.197M,,,-4.407M,-14.37M,97.26M,-38.21M,0.912M,-37.30M,-76.22M,15.59M,,-97.93M,,,34.68M,-4.282M,-4.282M,,-19.30M,,-1.451M,9.645M,111.67M,8.968M,,120.64M,,,-4.282M
2006-01,69.28M,,,,,-2.107M,27.57M,2.492M,30.06M,30.06M,-4.848M,,,,,25.70M,-49.79M,,-65.07M,,,1.815M,-87.35M,5.031M,-25.43M,1.289M,-24.14M,1.444M,21.34M,,-1.361M,,,-0.016M,-8.441M,-8.441M,,-17.91M,,3.328M,-23.04M,131.05M,-19.37M,,111.67M,,,-8.441M
2005-10,82.23M,,,,,-1.107M,26.28M,2.323M,28.60M,28.60M,-12.27M,,,,1.236M,-31.07M,24.24M,,90.74M,,,-4.864M,79.05M,177.74M,-28.88M,1.219M,-27.66M,-26.55M,-40.97M,-0.775M,-95.19M,,,-70.73M,-0.385M,-0.385M,,-17.90M,,2.622M,-86.40M,134.89M,-3.847M,,131.05M,,,-0.385M
2005-07,51.76M,,,,,-0.835M,27.99M,2.869M,30.86M,30.86M,1.857M,,,,4.833M,20.24M,8.094M,,28.33M,,,1.523M,58.19M,146.66M,302.14M,0.683M,302.82M,-339.94M,-2.588M,4.078M,-35.63M,,,-34.72M,-16.48M,-16.48M,,-17.99M,,0.886M,-68.30M,92.16M,42.74M,,134.89M,,,-16.48M
2005-04,55.98M,,,,,-1.148M,27.37M,2.20M,29.57M,29.57M,-0.106M,,,,,0.212M,-15.16M,,-30.12M,-3.539M,,10.16M,-38.45M,45.84M,-355.59M,0.522M,-355.07M,188.24M,9.587M,-3.303M,-160.54M,,,89.70M,-4.887M,-4.887M,,-17.96M,,1.803M,68.65M,138.20M,-46.05M,,92.16M,,,-4.887M
2005-01,64.63M,,,,,-2.558M,24.14M,2.023M,26.16M,26.16M,-13.81M,,,,,17.08M,-17.18M,,4.131M,3.539M,,1.477M,9.055M,83.48M,-24.76M,0.514M,-24.25M,-188.24M,99.41M,,-113.08M,,,-0.015M,-1.229M,-1.229M,,-15.52M,,4.685M,-12.08M,179.88M,-41.68M,,138.20M,,,-1.229M
2004-10,71.73M,,,,,-1.666M,23.09M,1.823M,24.92M,24.92M,-1.141M,,,,-3.909M,-14.51M,36.34M,,10.13M,,,-1.176M,30.78M,120.71M,-44.58M,-124.70M,-169.28M,128.87M,-87.61M,,-128.02M,,,-10.73M,-24.38M,-24.38M,,-15.61M,,-2.44M,-53.17M,240.36M,-60.47M,,179.88M,,,-24.38M
2004-07,56.34M,,,,,-19.30M,21.68M,1.747M,23.43M,23.43M,-3.075M,,,,3.909M,-9.006M,-8.713M,,-1.155M,,,-2.766M,-21.64M,39.67M,-22.95M,126.88M,103.94M,0.00,-106.20M,29.54M,27.28M,,,-0.014M,-4.43M,-4.43M,,-15.61M,,1.222M,-18.83M,192.24M,48.12M,,240.36M,,,-4.43M
2004-04,53.65M,,,,,-8.28M,21.62M,1.75M,23.38M,23.38M,-3.681M,,,,,13.21M,-15.24M,,34.95M,,-0.806M,2.766M,34.88M,99.94M,-18.46M,0.112M,-18.34M,-0.027M,84.25M,-26.38M,39.50M,,,-19.20M,0.00,0.00,,-15.57M,,5.632M,-29.14M,81.94M,110.30M,,192.24M,,,0.00
2004-01,51.83M,,,,,-1.358M,21.28M,1.75M,23.02M,23.02M,-2.597M,,,,,25.11M,-44.38M,,-21.28M,,0.806M,,-39.75M,31.15M,-15.83M,0.604M,-15.23M,-2.07M,-3.25M,-3.161M,-23.71M,,,-2.351M,-8.711M,-8.711M,,-14.55M,,2.131M,-23.48M,97.98M,-16.04M,,81.94M,,,-8.711M
2003-10,70.36M,,,,,1.022M,21.51M,1.857M,23.37M,23.37M,,,,,,-33.16M,12.70M,,32.94M,,,,16.25M,111.00M,-21.50M,0.923M,-20.58M,-116.51M,,101.55M,32.82M,,,-11.25M,-1.311M,-1.311M,,-14.55M,,2.127M,-24.98M,138.78M,118.84M,,97.98M,,,-1.311M
2003-07,34.67M,,,,,-7.155M,20.44M,1.394M,21.83M,21.83M,8.142M,,,,,-21.71M,7.871M,,16.17M,,,,2.333M,59.82M,-15.41M,3.02M,-12.39M,-0.032M,,-52.92M,-65.34M,,,-1.014M,0.00,0.00,,-14.53M,,2.858M,-12.68M,156.98M,-18.19M,,138.78M,,,0.00
2003-04,33.80M,,,,,-1.542M,21.20M,1.121M,22.32M,22.32M,-7.864M,,,,,9.987M,-2.419M,,4.427M,,,,12.00M,58.71M,-16.82M,0.746M,-16.07M,-6.854M,,5.065M,-17.86M,,,-0.705M,-2.237M,-2.237M,,-14.53M,,0.528M,-16.95M,133.08M,23.90M,,156.98M,,,-2.237M
2003-01,46.94M,,,,,0.602M,20.23M,0.274M,20.51M,20.51M,-0.278M,,,,,34.24M,-42.46M,,-35.83M,,,,-44.05M,23.72M,-13.38M,0.396M,-12.98M,-117.58M,,-53.70M,-184.26M,,,-0.932M,-2.571M,-2.571M,,-13.48M,,1.041M,-15.95M,309.56M,-176.48M,,133.08M,,,-2.571M
2002-10,67.97M,,,,,1.817M,20.68M,0.274M,20.96M,20.96M,6.346M,,,,,-24.44M,0.412M,,25.10M,,,,1.072M,98.16M,-26.42M,7.975M,-18.45M,0.00,4.889M,0.00,-13.56M,,,-22.86M,-6.648M,-6.648M,,-13.55M,,0.553M,-42.51M,267.47M,42.10M,,309.56M,,,-6.648M
2002-07,38.26M,,,,,-1.522M,20.70M,0.274M,20.97M,20.97M,-0.515M,,,,,-8.129M,9.495M,,5.244M,,,,6.61M,63.81M,-13.25M,0.491M,-12.76M,0.00,-7.464M,-0.214M,-20.44M,,,-52.95M,-4.069M,-4.069M,,-13.53M,,0.686M,-69.86M,293.96M,-26.49M,,267.47M,,,-4.069M
2002-04,32.74M,,,,,-2.322M,20.52M,0.125M,20.65M,20.65M,-5.078M,,,,,17.48M,21.29M,,13.30M,,,,52.07M,98.06M,-13.67M,0.295M,-13.38M,-0.476M,5.00M,2.50M,-6.351M,,,-0.567M,-0.045M,-0.045M,,-13.52M,,0.156M,-13.98M,216.24M,77.73M,,293.96M,,,-0.045M
2002-01,50.35M,,,,,-1.101M,20.34M,0.325M,20.66M,20.66M,-0.753M,,,,,47.74M,-21.94M,,-28.12M,,,,-2.321M,66.84M,-11.12M,1.039M,-10.08M,,-10.00M,-0.182M,-20.26M,,,-4.869M,,,,-12.83M,,1.083M,-16.61M,186.28M,29.96M,,216.24M,,,
2001-10,68.80M,,,,,-2.572M,20.95M,5.804M,26.75M,26.75M,-9.483M,,,,,-18.02M,-11.75M,,20.11M,,,,-9.669M,73.83M,-20.92M,3.006M,-17.92M,-1.254M,0.00,24.20M,5.025M,,,-23.10M,-6.686M,-6.686M,,-12.84M,,0.301M,-42.33M,149.75M,36.52M,,186.28M,,,-6.686M
2001-07,33.21M,,,,,-0.976M,19.83M,5.037M,24.87M,24.87M,1.946M,,,,,-7.206M,5.345M,,18.40M,,,,16.54M,75.59M,-16.16M,1.249M,-14.91M,-5.211M,0.00,-6.912M,-27.03M,,,42.68M,-0.031M,-0.031M,,-12.83M,,2.00M,31.82M,69.38M,80.37M,,149.75M,,,-0.031M
2001-04,38.89M,,,,,-1.093M,18.32M,3.364M,21.68M,21.68M,3.827M,,,,,-6.476M,13.74M,,16.83M,,,,24.10M,87.41M,-14.79M,0.496M,-14.29M,-430.94M,0.00,2.113M,-443.12M,,,298.04M,-0.489M,-0.489M,,-12.81M,,1.762M,286.50M,138.58M,-69.21M,,69.38M,,,-0.489M
2001-01,41.53M,,,,,0.874M,15.45M,1.442M,16.89M,16.89M,1.947M,,,,,50.94M,-29.33M,,0.756M,,,,22.37M,83.61M,-25.26M,1.256M,-24.00M,-2.629M,5.964M,-21.15M,-41.82M,,,9.301M,-2.007M,-2.007M,,-12.14M,,0.995M,-3.853M,100.65M,37.94M,,138.58M,,,-2.007M
2000-10,60.98M,,,,,-0.809M,,,16.58M,16.58M,8.767M,,,,,-55.09M,20.35M,,25.38M,,,,-9.356M,76.16M,-27.82M,-80.75M,-108.57M,30.24M,50.59M,-8.975M,-36.72M,,,-21.88M,-14.40M,-14.40M,,-12.21M,,0.001M,-48.49M,109.69M,-9.044M,,100.65M,,,-14.40M
2000-07,29.14M,,,,,0.232M,,,16.65M,16.65M,0.02M,,,,,-1.253M,5.424M,,-14.07M,,,,-9.901M,36.14M,-24.24M,83.01M,58.77M,-30.24M,-33.67M,-12.90M,-18.03M,,,-8.056M,-15.14M,-15.14M,,-12.28M,,1.072M,-34.40M,125.99M,-16.30M,,109.69M,,,-15.14M
2000-04,36.30M,,,,,-0.439M,,,16.56M,16.56M,-0.027M,,,,,-18.73M,-9.224M,,-31.13M,,,,-59.09M,-6.694M,-25.77M,1.204M,-24.56M,,44.66M,-2.309M,17.79M,,,-1.006M,-20.79M,-20.79M,,-12.44M,,-1.176M,-35.42M,150.40M,-24.32M,,125.99M,,,-20.79M
2000-01,43.80M,,,,,0.90M,,,16.10M,16.10M,-1.60M,,,,,33.40M,-28.30M,,-18.60M,,,,-13.50M,45.70M,-22.30M,0.40M,-21.90M,,-7.30M,-8.30M,-37.50M,,,-7.80M,-25.00M,-25.00M,,-11.80M,,-1.60M,-46.20M,188.30M,-38.00M,,150.40M,,,-25.00M
1999-10,59.60M,,,,,-2.70M,,,16.60M,16.60M,-0.30M,,,,,-44.30M,-6.70M,,73.90M,,,,22.90M,96.00M,-25.50M,0.40M,-25.10M,,24.90M,-40.00M,-40.20M,,,0.00,-46.00M,-46.00M,,-12.00M,,0.90M,-57.10M,189.60M,-1.30M,,188.30M,,,-46.00M
1999-07,29.60M,,,,,-0.60M,,,15.80M,15.80M,0.30M,,,,,-22.20M,3.60M,,30.60M,,,,12.00M,57.10M,-24.70M,0.30M,-24.40M,,-36.20M,30.00M,-30.60M,,,-0.50M,-19.00M,-19.00M,,-12.00M,,1.40M,-30.10M,0.00,-3.60M,,189.60M,,,-19.00M
1999-04,31.80M,,,,,2.10M,,,15.60M,15.60M,2.40M,,,,,9.60M,-2.90M,,-21.70M,,,,-15.00M,36.90M,-16.80M,0.20M,-16.60M,,-5.20M,-2.10M,-23.90M,,,-0.80M,-20.60M,-20.60M,,-12.10M,,0.70M,-32.80M,0.00,-19.80M,,0.00,,,-20.60M
1999-01,42.40M,,,,,-4.50M,,,16.70M,16.70M,-0.40M,,,,,13.80M,-22.50M,,4.00M,,,,-4.70M,49.50M,-12.10M,0.30M,-11.80M,,-9.70M,-27.90M,-49.40M,,,22.60M,-2.00M,-2.00M,,-11.80M,,0.20M,9.00M,203.90M,9.10M,,0.00,,,-2.00M
1998-10,45.20M,,,,,-0.90M,,,17.10M,17.10M,4.60M,,,,-0.10M,-14.30M,25.30M,,21.90M,-7.80M,,,25.10M,91.00M,-32.00M,0.30M,-31.70M,,11.10M,4.10M,-16.50M,,,3.20M,-3.60M,-3.60M,,-11.80M,,-0.10M,-12.30M,0.00,62.20M,,203.90M,,,-3.60M
1998-07,21.00M,,,,,1.10M,,,14.90M,14.90M,0.00,,,,0.00,-18.00M,-18.30M,,8.00M,7.80M,,,-20.50M,16.50M,-14.00M,0.40M,-13.60M,,11.30M,9.50M,7.20M,,,-0.20M,-39.80M,-39.80M,,-12.00M,,0.00,-52.00M,0.00,-28.30M,,0.00,,,-39.80M
