,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-06,752.00M,752.00M,571.00M,181.00M,148.00M,85.00M,9.00M,-55.00M,,,,,242.00M,-61.00M,,,,5.00M,,-149.00M,-34.00M,-22.00M,,33.00M,,-22.00M,20.45M,80.00M,141.00M,-61.00M,-0.02,0.0,,0.0141,-0.02,-0.02,0.0,,0.0141,-0.02,1.244B,1.244B,0.0
2003-03,746.00M,746.00M,546.00M,200.00M,152.00M,93.00M,9.00M,-359.00M,,,,,254.00M,-54.00M,,,,-300.00M,,-445.00M,-144.00M,-205.00M,,37.00M,,-205.00M,37.83M,73.00M,127.00M,-54.00M,-0.17,0.0,,0.0324,-0.17,-0.17,0.0,,0.0324,-0.17,1.20B,1.20B,0.0
2002-12,736.00M,736.00M,631.00M,105.00M,183.00M,113.00M,10.00M,-1.403B,,,,,306.00M,-201.00M,,,,-1.384B,,-1.64B,-401.00M,-1.139B,,81.00M,1.00M,-661.00M,-79.05M,-44.00M,157.00M,-201.00M,-1.11,0.46,,-0.2149,-0.65,-1.11,0.46,,-0.2149,-0.65,1.184B,1.184B,0.0
2002-09,762.00M,762.00M,633.00M,129.00M,157.00M,113.00M,11.00M,-104.00M,,,,,281.00M,-152.00M,,,,-62.00M,,-290.00M,-91.00M,-152.00M,19.00M,5.00M,128.00M,-133.00M,-80.63M,1.00M,153.00M,-152.00M,-0.25,0.0,,-0.1811,-0.25,-0.25,0.0,,-0.1811,-0.25,1.036B,1.036B,0.0
2002-06,896.00M,896.00M,682.00M,214.00M,190.00M,132.00M,11.00M,-426.00M,,,,,333.00M,-119.00M,,,,-401.00M,,-579.00M,-178.00M,-370.00M,,6.00M,,-370.00M,-74.96M,58.00M,177.00M,-119.00M,-0.39,0.0,,-0.0788,-0.39,-0.39,0.0,,-0.0788,-0.39,948.00M,948.00M,0.0
2002-03,898.00M,898.00M,694.00M,204.00M,190.00M,128.00M,11.00M,-9.00M,,,,,329.00M,-125.00M,,,,21.00M,,-168.00M,-42.00M,-90.00M,,6.00M,,-90.00M,-83.25M,49.00M,174.00M,-125.00M,-0.1,0.0,,-0.0929,-0.1,-0.1,0.0,,-0.0929,-0.1,945.00M,945.00M,0.0
2001-12,749.00M,749.00M,789.00M,-40.00M,291.00M,138.00M,75.00M,-607.00M,,,,,504.00M,-544.00M,,,,-578.00M,,-1.181B,-439.00M,-689.00M,,24.00M,,-655.00M,-307.63M,-324.00M,220.00M,-544.00M,-0.72,0.04,,-0.3175,-0.68,-0.72,0.04,,-0.3175,-0.68,947.47M,947.47M,0.0
2001-09,1.509B,1.509B,994.00M,515.00M,267.00M,153.00M,48.00M,-345.00M,,,,,468.00M,47.00M,,,,-306.00M,,-320.00M,-60.00M,-220.00M,,1.00M,,-220.00M,60.31M,95.00M,48.00M,47.00M,-0.24,0.0,,0.0595,-0.24,-0.24,0.0,,0.0595,-0.24,936.00M,936.00M,0.0
2001-06,1.868B,1.868B,1.332B,536.00M,271.00M,169.00M,160.00M,-4.784B,,,,,600.00M,-64.00M,,,,-4.738B,,-4.871B,-77.00M,-4.755B,,-7.00M,,-4.755B,-46.62M,96.00M,160.00M,-64.00M,-5.13,0.0,,-0.0454,-5.13,-5.13,0.0,,-0.0454,-5.13,926.00M,926.00M,0.06
2001-03,1.921B,1.921B,957.00M,964.00M,261.00M,162.00M,,25.00M,,,,,734.00M,230.00M,,,,25.00M,,240.00M,108.00M,132.00M,,-5.00M,,132.00M,117.00M,541.00M,311.00M,230.00M,0.14,0.0,,0.1241,0.14,0.14,0.0,,0.1241,0.14,942.86M,942.86M,0.06
2000-12,1.877B,1.877B,1.079B,798.00M,327.00M,160.00M,101.00M,-285.00M,,,,,588.00M,210.00M,,,,-261.00M,,-90.00M,80.00M,-117.00M,,-7.00M,0.00,-58.00M,54.00M,436.00M,226.00M,210.00M,-0.0625,,,0.1218,-0.0625,-0.0625,0.07,,0.0028,-0.0625,928.09M,2.619B,0.06
2000-09,1.916B,1.916B,1.112B,804.00M,256.00M,141.00M,82.00M,,,,,,479.00M,325.00M,,,,52.00M,,365.00M,111.00M,254.00M,,-7.00M,,254.00M,254.00M,407.00M,82.00M,325.00M,0.0967,0.0,,0.0967,0.0967,0.0933,0.0,,0.0933,0.0933,2.630B,2.720B,0.06
2000-06,1.776B,1.776B,1.03B,746.00M,258.00M,120.00M,49.00M,-55.00M,,,,51.00M,478.00M,268.00M,,,,-16.00M,,254.00M,137.00M,149.00M,,-7.00M,,149.00M,182.00M,317.00M,49.00M,268.00M,0.06,0.0,,0.073,0.06,0.0567,0.0,,0.0693,0.0567,2.535B,2.616B,0.06
2000-03,1.351B,1.351B,676.00M,675.00M,200.00M,110.00M,,-97.00M,,,,,435.00M,240.00M,,,,-97.00M,,132.00M,55.00M,77.00M,,-3.00M,,77.00M,135.20M,365.00M,125.00M,240.00M,0.03,0.0,,0.0539,0.03,0.03,0.0,,0.0533,0.03,2.433B,2.496B,0.06
1999-12,1.339B,1.339B,1.137B,202.30M,191.60M,105.90M,,-48.10M,,,,,23.40M,178.90M,,,,63.90M,,164.30M,61.70M,145.60M,,-18.60M,0.10M,150.60M,175.64M,280.80M,101.90M,178.90M,0.2044,,,0.2452,0.2044,0.2044,,,0.2452,0.2044,736.20M,736.20M,0.06
1999-09,1.254B,1.254B,676.30M,577.70M,172.00M,100.20M,,34.70M,,,,,370.20M,207.50M,,,,34.70M,,197.60M,55.70M,141.90M,,-18.60M,0.20M,141.90M,116.98M,305.90M,98.40M,207.50M,0.06,0.0,,0.0261,0.06,0.06,0.0,,0.0261,0.06,734.10M,734.10M,0.06
1999-06,1.141B,1.141B,605.20M,535.80M,161.90M,88.50M,,30.80M,,,,,345.50M,190.30M,,,,30.80M,,183.30M,52.30M,131.00M,,-17.40M,0.30M,131.00M,108.99M,292.40M,102.10M,190.30M,0.0567,0.0,,0.0472,0.0567,0.0533,0.0,,0.0441,0.0533,2.318B,2.389B,0.06
1999-03,1.007B,1.007B,529.10M,477.90M,152.20M,83.40M,,18.90M,,,,,337.20M,140.70M,,,,18.90M,,129.80M,37.30M,92.50M,,-10.10M,,92.50M,79.03M,242.30M,101.60M,140.70M,0.04,0.0,,0.0216,0.04,0.04,0.0,,0.0216,0.04,732.00M,732.00M,0.06
1998-12,1.364B,1.364B,700.40M,664.00M,190.70M,93.60M,,-82.10M,,,,,349.20M,314.80M,,,,-82.10M,,197.00M,65.40M,131.60M,0.00,-23.00M,0.30M,131.60M,186.44M,379.70M,64.90M,314.80M,0.1891,0.0,,0.268,0.1891,0.1891,0.0,,0.268,0.1891,694.50M,694.50M,0.06
1998-09,906.50M,906.50M,474.30M,432.20M,112.60M,71.60M,,16.40M,,,,,260.00M,172.20M,,,,16.40M,,153.60M,49.20M,104.40M,,-20.30M,0.40M,104.40M,93.25M,248.00M,75.80M,172.20M,0.05,0.0,,0.034,0.05,0.05,0.0,,0.034,0.05,696.00M,696.00M,0.06
1998-06,855.90M,855.90M,452.10M,403.80M,126.60M,75.10M,,-22.00M,,,,,280.00M,123.80M,,,,-22.00M,,70.60M,13.90M,56.70M,67.10M,-12.80M,0.40M,123.80M,74.37M,202.10M,78.30M,123.80M,0.0267,0.0333,,0.0521,0.06,0.0267,0.0333,,0.0521,0.06,696.00M,696.00M,0.06
