,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-12,105.18M,105.18M,17.69M,87.50M,,,,-175.10M,,,,75.41M,12.08M,,,-207.75M,,-238.96M,-89.84M,-149.12M,,,,,49.76M,-39.85M,67.28M,55.20M,12.08M,-1.02,1.413,,,-0.2444,-1.02,-1.02,1.3980000000000001,,,-0.2528,-1.02,140.89M,142.43M,0.05
2001-09,539.38M,539.38M,275.36M,264.02M,,,,44.25M,,,,120.21M,143.81M,,,60.87M,,147.42M,55.12M,92.30M,,,-2.819M,,92.30M,64.60M,264.02M,120.21M,143.81M,0.66,0.0,,,0.4632,0.66,0.65,0.0,,,0.4553,0.65,140.77M,142.26M,0.05
2001-06,518.94M,518.94M,267.54M,251.40M,,,,161.01M,,,,116.20M,135.20M,,,171.71M,,246.30M,92.05M,154.24M,,,-3.263M,,154.24M,53.41M,268.02M,132.81M,135.20M,1.1,0.0,,,0.3835,1.1,1.09,0.0,,,0.3802,1.09,140.72M,142.06M,0.05
2001-03,411.60M,411.60M,208.48M,203.13M,,,,2.467M,,,,98.82M,104.31M,,,2.467M,,45.07M,18.22M,26.85M,19.87M,,,,46.72M,25.37M,203.13M,98.82M,104.31M,0.19,0.14,,,0.1795,0.33,0.19,0.14,,,0.1796,0.33,140.57M,142.48M,0.05
2000-12,83.61M,83.61M,6.939M,76.67M,,,,-37.59M,,,,73.91M,2.764M,,,-37.59M,,-89.86M,-39.74M,-50.12M,,,,,57.12M,-27.57M,55.26M,52.50M,2.764M,-0.33,0.7657,,,-0.1693,-0.33,-0.33,0.756,,,-0.1713,-0.33,140.31M,142.15M,0.0475
2000-09,482.63M,482.63M,235.84M,246.80M,,,,17.98M,,,,99.74M,147.06M,,,17.98M,,113.25M,46.03M,67.22M,,,-2.889M,,67.22M,56.43M,246.80M,99.74M,147.06M,0.48,0.0,,,0.403,0.48,0.47,0.0,,,0.3939,0.47,140.22M,141.85M,0.0475
2000-06,423.16M,423.16M,212.50M,210.66M,,,,11.86M,,,,85.77M,124.89M,,,11.86M,,98.61M,40.77M,57.84M,,,-2.871M,,57.84M,50.73M,210.66M,85.77M,124.89M,0.41,0.0,,,0.3592,0.41,0.41,0.0,,,0.3598,0.41,140.00M,141.73M,0.0475
2000-03,412.96M,412.96M,216.72M,196.23M,,,,12.68M,,,,84.81M,111.42M,,,12.68M,,85.77M,36.48M,49.28M,,,-2.292M,,49.28M,41.68M,196.23M,84.81M,111.42M,0.35,0.0,,,0.2956,0.35,0.35,0.0,,,0.2963,0.35,139.74M,141.73M,0.0475
1999-12,426.50M,426.50M,221.20M,205.30M,,,,14.90M,,,,88.50M,116.80M,,,14.90M,,93.50M,32.80M,60.70M,,,-2.30M,,60.70M,51.03M,205.30M,88.50M,116.80M,0.43,0.0,,,0.3604,0.43,0.43,0.0,,,0.3622,0.43,138.88M,142.66M,0.045
1999-09,419.20M,419.20M,204.80M,214.40M,,,,13.10M,,,,84.30M,130.10M,,,13.10M,,104.70M,40.20M,64.50M,,,-3.50M,,64.50M,56.43M,214.40M,84.30M,130.10M,0.46,0.0,,,0.4024,0.46,0.46,0.0,,,0.4024,0.46,140.22M,140.22M,0.045
1999-06,416.75M,416.75M,200.10M,216.65M,,,,52.30M,,,,86.00M,130.65M,,,52.30M,,126.70M,73.20M,53.50M,,,-18.80M,,53.50M,22.12M,216.67M,86.02M,130.65M,0.38,0.0,,,0.1571,0.38,0.38,0.0,,,0.1571,0.38,140.79M,140.79M,0.045
1999-03,414.26M,414.26M,193.65M,220.60M,,,,19.38M,,,,89.98M,130.62M,,,19.38M,,104.46M,43.35M,61.10M,,,-3.31M,,61.10M,49.48M,220.60M,89.98M,130.62M,0.44,0.0,,,0.3563,0.44,0.43,0.0,,,0.3482,0.43,138.88M,142.10M,0.045
1998-12,415.10M,415.10M,208.70M,206.40M,,,,10.70M,,,,86.30M,120.10M,,,10.70M,,87.30M,35.10M,52.20M,,,-2.50M,,52.20M,45.78M,206.40M,86.30M,120.10M,0.38,0.0,,,0.3333,0.38,0.37,0.0,,,0.3252,0.37,137.34M,143.25M,0.0433
1998-09,401.90M,401.90M,192.20M,209.70M,,,,10.30M,,,,81.60M,128.10M,,,10.30M,,93.00M,38.30M,54.70M,,,-3.60M,,54.70M,48.52M,209.70M,81.60M,128.10M,0.4,0.0,,,0.3548,0.4,0.39,0.0,,,0.3459,0.39,136.75M,140.26M,0.0433
1998-06,388.40M,388.40M,185.40M,203.00M,,,,35.30M,,,,81.50M,121.50M,,,35.30M,,110.70M,46.50M,64.20M,,,-4.00M,,64.20M,43.02M,203.00M,81.50M,121.50M,0.47,0.0,,,0.3149,0.47,0.46,0.0,,,0.3082,0.46,136.60M,139.57M,0.0433
