,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-09,832.60M,1.389B,2.222B,1.231B,1.231B,,,1.154B,225.34M,4.832B,,,,,6.037B,-3.201B,2.836B,,,,227.96M,3.064B,7.896B,,679.13M,,679.13M,933.57M,1.613B,,,,,,,45.98M,1.659B,922.30M,,922.30M,,,,190.70M,458.55M,1.381B,3.040B,,148.83M,5.582B,177.74M,1.247B,,,4.321M,4.665B,,,
2006-06,883.32M,1.271B,2.154B,1.224B,1.224B,,,1.050B,268.45M,4.697B,,,,,6.026B,-3.201B,2.825B,,,,223.19M,3.048B,7.746B,,713.00M,,713.00M,800.46M,1.513B,,1.25M,,1.25M,,,,1.515B,922.30M,,922.30M,,,,201.33M,456.58M,1.379B,2.894B,,148.80M,5.246B,166.59M,929.19M,,,18.37M,4.651B,,,
2006-03,1.128B,1.077B,2.205B,1.069B,1.069B,,,941.22M,247.14M,4.462B,,,,,6.120B,-3.29B,2.830B,,,,212.11M,3.042B,7.504B,,592.37M,,592.37M,623.58M,1.216B,,1.25M,,1.25M,,,155.12M,1.372B,922.30M,,922.30M,,,,184.27M,460.37M,1.383B,2.755B,,74.34M,4.979B,225.03M,742.88M,,,29.22M,4.565B,,,
2005-12,980.15M,857.36M,1.838B,1.001B,1.001B,,,945.05M,288.36M,4.072B,146.47M,500.53M,5.183B,226.70M,6.057B,-3.201B,2.856B,,,,211.52M,3.067B,7.139B,,501.62M,,501.62M,752.82M,1.254B,,1.25M,,1.25M,,,,1.256B,922.30M,,922.30M,,,,194.09M,486.91M,1.409B,2.665B,,74.12M,4.709B,191.85M,738.61M,,,43.31M,4.280B,,,
2005-09,1.607B,,1.607B,1.018B,1.018B,,,951.14M,228.73M,3.805B,,,,,5.721B,-2.875B,2.846B,,,,308.28M,3.154B,6.959B,,573.48M,,573.48M,684.87M,1.258B,,1.25M,,1.25M,,,,1.260B,922.30M,,922.30M,,,,169.26M,517.97M,1.440B,2.700B,,73.99M,4.469B,172.24M,692.62M,,,67.21M,4.090B,,,
2005-06,1.061B,,1.061B,933.67M,933.67M,,,1.149B,231.11M,3.375B,,,,,5.743B,-2.875B,2.868B,,,,219.64M,3.088B,6.463B,,447.21M,,447.21M,566.87M,1.014B,,1.25M,,1.25M,,,,1.015B,922.30M,,922.30M,,,,195.21M,484.46M,1.407B,2.422B,,73.95M,4.239B,169.04M,653.43M,,,16.31M,3.845B,,,
2005-03,1.203B,,1.203B,1.021B,1.021B,,,1.193B,194.51M,3.611B,,,,,5.694B,-2.875B,2.819B,,,,183.03M,3.002B,6.613B,,524.66M,,524.66M,483.81M,1.008B,,,,,,,195.15M,1.204B,923.55M,,923.55M,,,,202.29M,498.06M,1.422B,2.625B,,73.93M,3.979B,168.01M,447.68M,,,12.21M,3.786B,,,
2004-12,779.05M,,779.05M,962.76M,962.76M,,,1.240B,193.26M,3.175B,142.28M,478.16M,4.981B,92.41M,5.694B,-2.875B,2.818B,,,,139.95M,2.958B,6.133B,,471.55M,,471.55M,565.28M,1.037B,,,,,,,28.96M,1.066B,923.55M,,923.55M,,,,173.31M,514.57M,1.438B,2.504B,,73.75M,3.689B,147.21M,451.96M,,,-1.569M,3.456B,,,
2004-09,758.15M,,758.15M,1.048B,1.048B,,,950.59M,178.03M,2.935B,,,,,5.339B,-2.514B,2.825B,,,,124.96M,2.950B,5.885B,,565.62M,,565.62M,545.81M,1.111B,,,,,,,169.35M,1.281B,923.55M,,923.55M,,,,165.85M,400.62M,1.324B,2.605B,,73.59M,3.368B,125.58M,452.03M,,,-0.392M,3.115B,,,
2004-06,502.05M,,502.05M,900.92M,900.92M,,,730.35M,145.41M,2.279B,,,,,5.427B,-2.706B,2.721B,,,,111.12M,2.832B,5.111B,,412.60M,,412.60M,448.30M,860.89M,,,,,,,75.35M,936.24M,903.55M,,903.55M,,,,146.60M,418.88M,1.322B,2.259B,,36.68M,2.973B,148.50M,452.26M,,,-0.492M,2.706B,,,
2004-03,397.91M,,397.91M,762.57M,762.57M,,,641.52M,146.34M,1.948B,,,,,5.301B,-2.514B,2.787B,,,,93.46M,2.881B,4.829B,,486.80M,,486.80M,347.35M,834.15M,,,,,,,59.75M,893.91M,903.55M,,903.55M,,,,138.69M,438.42M,1.342B,2.236B,,36.55M,2.738B,132.56M,452.49M,,,-0.492M,2.455B,,,
2003-12,350.33M,,350.33M,572.48M,572.48M,,,560.40M,137.35M,1.621B,132.92M,455.44M,4.623B,119.08M,5.331B,-2.514B,2.817B,,,,54.66M,2.872B,4.492B,,329.86M,,329.86M,299.73M,629.59M,,,,,,,,629.59M,903.55M,,903.55M,,,,177.28M,439.85M,1.343B,1.973B,,36.43M,2.642B,117.40M,453.46M,,,,2.342B,,,
2003-09,284.94M,,284.94M,546.55M,546.55M,,,581.54M,132.64M,1.546B,,,,,5.003B,-2.162B,2.840B,,,,54.56M,2.895B,4.441B,,339.31M,,339.31M,322.89M,662.20M,,,,,,,4.106M,666.30M,903.55M,,903.55M,,,,172.69M,375.19M,1.279B,1.945B,,36.31M,2.637B,103.24M,453.61M,,,,2.323B,,,
2003-06,182.28M,,182.28M,527.29M,527.29M,,,582.83M,134.81M,1.427B,,,,,5.040B,-2.162B,2.878B,,,,45.22M,2.923B,4.350B,,290.63M,,290.63M,308.55M,599.18M,,,,,,,4.106M,603.29M,878.55M,,878.55M,,,,168.10M,381.44M,1.260B,1.863B,,36.28M,2.637B,100.13M,453.87M,,,,2.319B,,,
2003-03,181.71M,,181.71M,483.46M,483.46M,,,624.71M,136.07M,1.426B,,,,,5.080B,-2.162B,2.918B,,,,38.40M,2.956B,4.382B,,326.77M,,326.77M,295.71M,622.48M,,,,,,,11.11M,633.59M,878.55M,,878.55M,,,,173.60M,371.28M,1.250B,1.883B,,36.27M,2.644B,99.42M,454.10M,,,,2.325B,,,
2002-12,219.00M,,219.00M,483.61M,483.61M,235.60M,353.39M,588.99M,132.54M,1.424B,122.62M,452.38M,4.475B,43.79M,5.094B,-2.162B,2.932B,,,,24.80M,2.957B,4.381B,,247.23M,,247.23M,319.36M,566.59M,,16.00M,,16.00M,,,8.949M,591.54M,878.55M,,878.55M,,,,216.65M,371.27M,1.250B,1.841B,,36.27M,2.642B,99.40M,454.26M,,,,2.323B,,,
2002-09,523.01M,,523.01M,425.35M,425.35M,,,536.24M,125.91M,1.610B,,,,,4.256B,-1.861B,2.395B,,,,14.67M,2.410B,4.020B,,301.93M,,301.93M,224.24M,526.17M,,,,,,,142.91M,669.08M,544.55M,,544.55M,,,,206.54M,307.48M,852.03M,1.521B,,36.27M,2.614B,97.38M,454.36M,,,,2.293B,,,
2002-06,537.58M,,537.58M,382.42M,382.42M,,,523.35M,117.14M,1.560B,,,,,4.151B,-1.861B,2.290B,,,,24.35M,2.314B,3.875B,,281.65M,,281.65M,324.00M,605.65M,,,,,,,20.81M,626.45M,458.55M,,458.55M,,,,204.63M,317.01M,775.56M,1.402B,,36.27M,2.589B,97.32M,454.49M,,,,2.268B,,,
2002-03,456.22M,,456.22M,360.47M,360.47M,,,469.95M,108.79M,1.395B,,,,,4.199B,-1.861B,2.338B,,,,22.34M,2.360B,3.756B,,250.91M,,250.91M,291.52M,542.43M,,,,,,,7.573M,550.01M,460.45M,,460.45M,,,,204.56M,323.92M,784.37M,1.334B,,36.22M,2.544B,90.96M,454.64M,,,,2.217B,,,
2001-12,462.35M,,462.35M,330.86M,330.86M,,,466.69M,113.77M,1.374B,99.96M,387.10M,3.605B,134.37M,4.227B,-1.861B,2.366B,,,,20.03M,2.386B,3.759B,,189.24M,,189.24M,202.15M,391.39M,,,,,,,92.77M,484.16M,460.45M,,460.45M,,,,283.89M,329.39M,789.84M,1.274B,,36.13M,2.539B,81.19M,454.74M,,,,2.201B,,,
2001-09,471.14M,,471.14M,391.00M,391.00M,,,500.30M,80.83M,1.443B,,,,,4.064B,-1.695B,2.369B,,,,,2.369B,3.812B,,260.16M,,260.16M,222.90M,483.06M,,,,,,,145.21M,628.27M,460.45M,,460.45M,,,,266.14M,270.82M,731.27M,1.360B,,36.12M,2.526B,79.33M,454.89M,,,,2.186B,,,
2001-06,385.17M,,385.17M,408.71M,408.71M,,,502.47M,80.62M,1.377B,,,,,4.071B,-1.695B,2.376B,,,,,2.376B,3.753B,,242.95M,,242.95M,234.35M,477.30M,,,,,,,112.60M,589.90M,460.45M,,460.45M,,,,248.54M,275.72M,736.17M,1.326B,,36.11M,2.518B,78.56M,455.02M,,,,2.178B,,,
2001-03,331.99M,,331.99M,391.41M,391.41M,,,492.34M,81.36M,1.297B,,,,,4.093B,-1.695B,2.397B,,,,,2.397B,3.694B,,231.73M,,231.73M,223.13M,454.86M,,,,,,,90.29M,545.15M,460.45M,,460.45M,,,,269.02M,268.75M,729.20M,1.274B,,36.05M,2.498B,71.79M,455.23M,,,,2.151B,,,
2000-12,490.58M,,490.58M,350.18M,350.18M,,,461.15M,77.62M,1.380B,94.54M,357.44M,3.483B,89.93M,4.025B,-1.695B,2.329B,,,,1.918M,2.331B,3.711B,,203.33M,,203.33M,219.78M,423.12M,,,,,,,134.95M,558.07M,460.45M,,460.45M,,,,301.34M,260.05M,720.50M,1.279B,,36.04M,2.479B,71.49M,455.37M,,,,2.131B,,,
2000-09,304.88M,,304.88M,,405.81M,,,462.77M,92.29M,1.266B,,,,,3.804B,-1.491B,2.313B,,,,,2.313B,3.579B,,225.40M,,225.40M,,225.40M,,,,,,,362.96M,588.36M,390.45M,,390.45M,,,,287.21M,241.28M,631.73M,1.220B,,36.04M,2.411B,71.17M,446.35M,,,,2.071B,,,
2000-06,311.73M,,311.73M,,426.52M,,,500.17M,100.34M,1.339B,,,,,3.908B,-1.614B,2.294B,,,,,2.294B,3.633B,,262.31M,,262.31M,,262.31M,,,,,,,318.82M,581.13M,390.45M,,390.45M,,,,268.14M,255.51M,645.96M,1.227B,,36.04M,2.354B,71.17M,324.31M,,,,2.137B,,,
2000-03,479.45M,,479.45M,,412.89M,,,488.87M,112.03M,1.493B,,,,,3.787B,-1.548B,2.239B,,,,,2.239B,3.733B,,252.36M,,252.36M,,252.36M,,,,,,,327.62M,579.98M,390.45M,,390.45M,,,,264.90M,268.70M,659.15M,1.239B,,36.04M,2.285B,70.91M,163.25M,,,,2.228B,,,
1999-12,572.20M,,572.20M,,393.80M,,,465.00M,107.50M,1.538B,,,,,3.680B,-1.489B,2.191B,,,,,2.191B,3.730B,,255.20M,,255.20M,,255.20M,,,,,,,275.80M,531.00M,390.50M,,390.50M,,,,280.90M,265.20M,655.70M,1.187B,,36.00M,2.216B,70.90M,60.80M,,,,2.262B,,,
1999-09,599.00M,,599.00M,,357.20M,,,398.80M,86.50M,1.442B,,,,,3.606B,-1.492B,2.113B,,,,,2.113B,3.555B,,221.20M,,221.20M,,221.20M,,,,,,,362.40M,583.60M,390.50M,,390.50M,,,,253.60M,147.70M,538.20M,1.122B,,36.00M,2.130B,69.00M,55.70M,,,,2.179B,,,
1999-06,517.90M,,517.90M,,342.20M,,,384.10M,87.40M,1.332B,,,,,3.520B,-1.427B,2.093B,,,,,2.093B,3.425B,,213.10M,,213.10M,,213.10M,,,,,,,305.40M,518.50M,390.50M,,390.50M,,,,245.50M,144.30M,534.80M,1.053B,,,2.073B,,,,,,2.126B,,,
1999-03,458.50M,,458.50M,,293.10M,,,421.90M,88.40M,1.262B,,,,,3.444B,-1.362B,2.081B,,,,,2.081B,3.343B,,199.80M,,199.80M,,199.80M,,,,,,,253.50M,453.30M,390.50M,,390.50M,,,,245.60M,168.30M,558.80M,1.012B,,,2.034B,,,,,,2.085B,,,
1998-12,308.70M,,308.70M,,299.20M,,,435.90M,85.70M,1.130B,,,,,3.398B,-1.301B,2.097B,,,,-0.10M,2.097B,3.226B,,198.30M,,198.30M,,198.30M,,,,,,,288.60M,486.90M,215.50M,,215.50M,,,,282.40M,169.10M,384.60M,871.50M,,36.00M,2.017B,67.30M,47.60M,,,,2.073B,,,
1998-09,274.30M,,274.30M,,319.20M,,,492.10M,60.00M,1.146B,,,,,3.331B,-1.276B,2.055B,,,,-0.10M,2.055B,3.200B,,231.40M,,231.40M,,231.40M,,,,,,,319.10M,550.50M,215.50M,,215.50M,,,,262.30M,141.30M,356.80M,907.30M,,,1.966B,,,,,,2.031B,,,
1998-06,291.30M,,291.30M,,390.40M,,,406.20M,60.80M,1.149B,,,,,3.180B,-1.216B,1.964B,,,,,1.964B,3.113B,,233.10M,,233.10M,,233.10M,,,,,,,277.80M,510.90M,215.50M,,215.50M,,,,249.10M,141.20M,356.70M,867.60M,,,1.912B,,,,,,1.996B,,,
1998-03,269.30M,,269.30M,,388.00M,,,409.20M,61.70M,1.128B,,,,,3.048B,-1.157B,1.891B,,,,,1.891B,3.020B,,252.20M,,252.20M,,252.20M,,,,,,,274.90M,527.10M,168.00M,,168.00M,,,,249.60M,141.30M,309.30M,836.40M,,,1.850B,,,,,,1.934B,,,
1997-12,283.40M,,283.40M,,386.40M,,,397.00M,58.70M,1.126B,,,,,2.957B,-1.098B,1.859B,,,,,1.859B,2.984B,,260.30M,,260.30M,,260.30M,,0.30M,,0.30M,,,263.90M,524.50M,168.00M,,168.00M,,,,276.20M,139.30M,307.30M,831.80M,,,1.795B,,,,,,1.876B,,,
1997-09,284.20M,,284.20M,,376.20M,,,379.70M,48.10M,1.088B,,,,,2.905B,-1.067B,1.839B,,,,,1.839B,2.927B,,246.40M,,246.40M,,246.40M,,0.30M,,0.30M,,,324.60M,571.30M,168.00M,,168.00M,,,,259.10M,124.20M,292.20M,863.50M,,,1.728B,,,,,,1.804B,,,
1997-06,145.30M,,145.30M,,360.20M,,,396.80M,47.40M,949.70M,,,,,2.846B,-1.013B,1.833B,,,,0.10M,1.833B,2.783B,,249.10M,,249.10M,,249.10M,,0.90M,,0.90M,,,267.30M,517.30M,167.40M,,167.40M,,,,241.60M,124.30M,291.70M,809.00M,,,1.656B,,,,,,1.732B,,,
1997-03,168.40M,,168.40M,,348.40M,,,397.60M,46.70M,961.10M,,,,,2.762B,-960.50M,1.802B,,,,,1.802B,2.763B,,225.20M,,225.20M,,225.20M,,0.90M,,0.90M,,,265.40M,491.50M,187.40M,,187.40M,,,,288.90M,128.30M,315.70M,807.20M,,,1.592B,,,,,,1.667B,,,
1996-12,104.40M,,104.40M,,292.60M,,,385.80M,45.60M,828.40M,,,,,2.699B,-907.60M,1.791B,,,,-0.10M,1.791B,2.620B,,224.40M,,224.40M,,224.40M,,0.80M,,0.80M,,,240.50M,465.70M,152.60M,,152.60M,,,,265.70M,126.20M,278.80M,744.50M,,,1.536B,,,,,,1.609B,,,
1996-09,125.50M,,125.50M,,327.10M,,,317.70M,46.80M,817.10M,,,,,2.502B,-788.70M,1.713B,,,,0.10M,1.713B,2.530B,,224.70M,,224.70M,,224.70M,,0.20M,,0.20M,,,270.30M,495.20M,131.70M,,131.70M,,,,244.80M,129.10M,260.80M,756.00M,,,1.460B,,,,,,1.530B,,,
1996-06,152.10M,,152.10M,,310.20M,,,311.50M,44.80M,818.60M,,,,,2.396B,-788.70M,1.607B,,,,0.10M,1.607B,2.426B,,217.10M,,217.10M,,217.10M,,0.20M,,0.20M,,,234.10M,451.40M,131.70M,,131.70M,,,,231.80M,133.20M,264.90M,716.30M,,,1.410B,,,,,,1.478B,,,
1996-03,199.00M,,199.00M,,295.20M,,,329.40M,40.10M,863.70M,,,,,2.329B,-788.70M,1.54B,,,,,1.54B,2.404B,,231.20M,,231.20M,,231.20M,,0.20M,,0.20M,,,241.40M,472.80M,131.70M,,131.70M,,,,229.50M,140.20M,271.90M,744.70M,,,1.448B,,,,,,1.430B,,,
1995-12,201.80M,,201.80M,,283.20M,,,306.80M,38.90M,830.70M,,,,,2.213B,-747.50M,1.465B,,,,,1.465B,2.296B,,214.60M,,214.60M,,214.60M,,0.20M,,0.20M,,,232.30M,447.10M,106.90M,,106.90M,,,,220.70M,139.30M,246.20M,693.30M,,,1.316B,,,,,,1.382B,,,
1995-09,259.50M,,259.50M,,294.40M,,,235.00M,39.80M,828.70M,,,,,2.140B,-733.40M,1.406B,,,,,1.406B,2.235B,,200.00M,,200.00M,,200.00M,,0.20M,,0.20M,,,262.60M,462.80M,124.90M,,124.90M,,,,200.60M,139.40M,264.30M,727.10M,,,1.248B,,,,,,1.307B,,,
1995-06,202.30M,,202.30M,,307.10M,,,248.90M,37.40M,795.70M,,,,,2.049B,-692.10M,1.357B,,,,,1.357B,2.153B,,220.80M,,220.80M,,220.80M,,0.20M,,0.20M,,,204.20M,425.20M,136.90M,,136.90M,,,,188.00M,152.90M,289.80M,715.00M,,,1.191B,,,,,,1.250B,,,
1995-03,163.80M,,163.80M,,293.20M,,,253.80M,38.30M,749.10M,,,,,1.996B,-651.20M,1.344B,,,,,1.344B,2.094B,,215.50M,,215.50M,,215.50M,,0.20M,,0.20M,,,227.60M,443.30M,136.90M,,136.90M,,,,179.90M,148.40M,285.30M,728.60M,,,1.127B,,,,,,1.185B,,,
1994-12,101.90M,,101.90M,,258.10M,,,243.00M,35.70M,638.70M,,,,,1.978B,-614.40M,1.363B,,,,,1.363B,2.002B,,182.80M,,182.80M,,182.80M,,0.30M,,0.30M,,,199.40M,382.50M,173.00M,,173.00M,,,,176.00M,147.80M,320.80M,703.30M,,,1.141B,,,,,,1.123B,,,
1994-09,47.70M,,47.70M,,276.10M,,,223.50M,24.40M,571.70M,,,,,1.863B,-460.00M,1.403B,,,,,1.403B,1.975B,,184.50M,,184.50M,,184.50M,,0.30M,,0.30M,,,263.30M,448.10M,217.00M,,217.00M,,,,169.60M,97.80M,314.80M,762.90M,,,992.20M,,,,,,1.042B,,,
1994-06,42.90M,,42.90M,,258.00M,,,234.00M,25.20M,560.10M,,,,,1.876B,-460.00M,1.416B,,,,0.10M,1.416B,1.976B,,181.00M,,181.00M,,181.00M,,0.20M,,0.20M,,,241.30M,422.50M,319.10M,,319.10M,,,,165.00M,88.80M,407.90M,830.40M,,,931.60M,,,,,,980.60M,,,
1994-03,43.40M,,43.40M,,227.60M,,,239.70M,25.40M,536.10M,,,,,1.845B,-460.00M,1.385B,,,,0.10M,1.385B,1.921B,,172.30M,,172.30M,,172.30M,,0.20M,,0.20M,,,212.20M,384.70M,361.10M,,361.10M,,,,158.60M,82.20M,443.30M,828.00M,,,885.80M,,,,,,934.30M,,,
1993-12,27.30M,,27.30M,,202.20M,,,215.00M,23.70M,468.20M,,,,,1.821B,-460.00M,1.361B,,,,0.10M,1.361B,1.829B,,165.70M,,165.70M,,165.70M,,0.20M,,0.20M,,,184.60M,350.50M,352.30M,,352.30M,,,,143.10M,81.20M,433.50M,784.00M,,,854.90M,,,,,,902.20M,,,
1993-09,25.50M,,25.50M,,204.40M,,,191.30M,2.10M,423.30M,,,,,1.767B,-448.30M,1.318B,,,,8.10M,1.326B,1.750B,,142.50M,,142.50M,,142.50M,,0.20M,,0.20M,,,203.10M,345.80M,342.30M,,342.30M,,,,144.80M,52.30M,394.60M,740.40M,,,821.80M,,,,,,864.50M,,,
1993-06,28.30M,,28.30M,,197.50M,,,218.40M,2.20M,446.40M,,,,,1.721B,-448.30M,1.273B,,,,,1.273B,1.719B,,150.70M,,150.70M,,150.70M,,0.20M,,0.20M,,,178.30M,329.20M,359.10M,,359.10M,,,,143.80M,54.90M,414.00M,743.20M,,,790.50M,,,,,,832.30M,,,
1993-03,26.80M,,26.80M,,162.20M,,,219.00M,2.80M,410.80M,,,,,1.637B,-448.30M,1.189B,,,,-0.10M,1.189B,1.600B,,147.90M,,147.90M,,147.90M,,0.20M,,0.20M,,,164.80M,312.90M,288.60M,,288.60M,,,,145.50M,48.30M,336.90M,649.80M,,,763.50M,,,,,,804.30M,,,
1992-12,25.50M,,25.50M,,132.10M,,,206.40M,0.60M,364.60M,,,,,1.574B,-448.30M,1.126B,,,,,1.126B,1.490B,,119.30M,,119.30M,,119.30M,,0.20M,,0.20M,,,152.50M,272.00M,246.80M,,246.80M,,,,140.50M,46.90M,293.70M,565.70M,,,745.30M,,,,,,784.20M,,,
1992-09,48.90M,,48.90M,,146.30M,,,209.00M,1.80M,406.00M,,,,,1.459B,-414.20M,1.045B,,,,,1.045B,1.451B,,126.20M,,126.20M,,126.20M,,0.30M,,0.30M,,,155.30M,281.80M,231.40M,,231.40M,,,,134.90M,43.60M,275.00M,556.80M,,,723.10M,,,,,,759.40M,,,
1992-06,52.60M,,52.60M,,135.20M,,,199.90M,2.40M,390.10M,,,,,1.411B,-414.20M,997.10M,,,,,997.10M,1.387B,,141.60M,,141.60M,,141.60M,,2.00M,,2.00M,,,137.80M,281.40M,190.50M,,190.50M,,,,128.80M,45.40M,235.90M,517.30M,,,705.80M,,,,,,741.10M,,,
1992-03,34.20M,,34.20M,,130.60M,,,191.50M,2.50M,358.80M,,,,,1.313B,-414.20M,899.00M,,,,17.40M,916.40M,1.275B,,110.90M,,110.90M,,110.90M,,2.00M,,2.00M,,,141.60M,254.50M,120.70M,,120.70M,,,,128.10M,45.50M,166.20M,420.70M,,,691.40M,,,,,,726.40M,,,
1991-12,38.30M,,38.30M,,109.50M,,,186.10M,0.40M,334.30M,,,,,1.262B,-414.20M,847.30M,,,,,847.30M,1.182B,,93.80M,,93.80M,,93.80M,,2.00M,,2.00M,,,133.40M,229.20M,72.80M,,72.80M,44.00M,,44.00M,124.00M,,116.80M,346.00M,,,678.20M,,,,,,711.60M,,,
1991-09,71.20M,,71.20M,,140.60M,,,150.10M,0.70M,362.60M,,,,,1.132B,-363.10M,769.00M,,,,-0.10M,768.90M,1.132B,,106.00M,,106.00M,,106.00M,,2.00M,,2.00M,,,163.90M,271.90M,26.80M,,26.80M,21.80M,,21.80M,119.40M,,48.60M,320.50M,,,659.10M,,,,,,691.60M,,,
1991-06,49.50M,,49.50M,,142.10M,,,150.90M,1.20M,343.70M,,,,,1.108B,-363.10M,744.80M,,,,,744.80M,1.088B,,97.50M,,97.50M,,97.50M,,2.10M,,2.10M,,,145.30M,244.90M,27.70M,,27.70M,23.80M,,23.80M,114.10M,0.10M,51.60M,296.50M,,,646.40M,,,,,,677.90M,,,
1991-03,60.20M,,60.20M,,130.60M,,,150.90M,1.50M,343.20M,,,,,1.090B,-363.10M,727.00M,,,,0.10M,727.10M,1.070B,,97.00M,,97.00M,,97.00M,,2.10M,,2.10M,,,141.00M,240.10M,28.00M,,28.00M,25.80M,,25.80M,110.10M,,53.80M,293.90M,,,635.80M,,,,,,666.30M,,,
1990-12,51.60M,,51.60M,,126.70M,,,136.60M,0.20M,315.10M,,,,,1.086B,-363.10M,723.20M,,,,0.10M,723.30M,1.038B,,78.70M,,78.70M,,78.70M,,2.20M,,2.20M,,,144.70M,225.60M,28.80M,,28.80M,25.80M,,25.80M,105.40M,,54.60M,280.20M,,,624.70M,,,,,,652.80M,,,
1990-09,29.40M,,29.40M,,156.00M,,,142.40M,1.10M,328.90M,,,,,1.024B,-294.20M,730.00M,,,,,730.00M,1.059B,,100.60M,,100.60M,,100.60M,,2.30M,,2.30M,,,145.00M,247.90M,48.80M,,48.80M,24.80M,,24.80M,103.80M,,73.60M,321.50M,,,606.80M,,,,,,633.60M,,,
1990-06,25.70M,,25.70M,,151.50M,,,137.80M,1.90M,316.90M,,,,,1.031B,-294.20M,736.80M,,,,,736.80M,1.054B,,92.70M,,92.70M,,92.70M,,2.30M,,2.30M,,,121.70M,216.70M,104.80M,,104.80M,22.80M,,22.80M,94.90M,,127.60M,344.30M,,,588.40M,,,,,,614.50M,,,
1990-03,22.20M,,22.20M,,129.00M,,,145.40M,2.00M,298.60M,,,,,1.038B,-294.20M,744.10M,,,,,744.10M,1.043B,,82.90M,,82.90M,,82.90M,,2.30M,,2.30M,,,113.50M,198.70M,138.10M,,138.10M,19.80M,,19.80M,88.10M,0.10M,158.00M,356.70M,,,572.30M,,,,,,597.90M,,,
1989-12,32.60M,,32.60M,,107.00M,,,139.40M,1.00M,280.00M,,,,,1.048B,-294.20M,753.80M,,,,,753.80M,1.034B,,89.70M,,89.70M,,89.70M,,2.30M,,2.30M,,,101.60M,193.60M,156.00M,,156.00M,18.80M,,18.80M,81.00M,,174.80M,368.40M,,,559.90M,,,,,,584.40M,,,
1989-09,29.00M,,29.00M,,133.70M,,,120.20M,6.40M,289.30M,,,,,985.90M,-240.40M,745.50M,,,,,745.50M,1.035B,,73.70M,,73.70M,,73.70M,,2.30M,,2.30M,,,109.20M,185.20M,185.10M,,185.10M,15.30M,,15.30M,78.30M,0.10M,200.50M,385.70M,,,547.30M,,,,,,570.80M,,,
1989-06,40.40M,,40.40M,,140.50M,,,108.40M,6.90M,296.20M,,,,,984.60M,-240.40M,744.20M,,,,,744.20M,1.040B,,74.30M,,74.30M,,74.30M,,2.30M,,2.30M,,,103.20M,179.80M,206.10M,,206.10M,15.30M,,15.30M,77.90M,,221.40M,401.20M,,,539.00M,,,,,,561.30M,,,
1988-12,26.40M,,26.40M,,106.80M,,,113.90M,0.70M,247.80M,,,,,942.30M,-240.40M,701.90M,,,,,701.90M,949.70M,,,,,,,,2.20M,,2.20M,,,213.90M,216.10M,113.20M,,113.20M,15.30M,,15.30M,,72.80M,201.30M,417.40M,,,511.50M,,,,,,532.30M,,,
1987-12,72.80M,,72.80M,,88.30M,,,73.30M,0.30M,234.70M,,,,,618.60M,-199.20M,419.40M,,,,,419.40M,654.10M,,,,,,,,2.20M,,2.20M,,,145.30M,147.50M,35.50M,,35.50M,19.30M,,19.30M,,23.80M,78.60M,226.10M,,,410.50M,,,,,,428.00M,,,
1986-12,128.70M,,128.70M,,70.40M,,,96.50M,0.10M,295.70M,,,,,452.20M,-181.40M,270.80M,,,,5.10M,275.90M,571.60M,,,,,,,,3.10M,,3.10M,,,115.30M,118.40M,42.10M,,42.10M,27.30M,,27.30M,,0.10M,69.50M,187.90M,,,367.60M,,,,,,383.70M,,,
1985-12,185.10M,,185.10M,,70.90M,,,78.60M,0.20M,334.80M,,,,,376.30M,-151.00M,225.30M,,,,0.20M,225.50M,560.30M,,,,,,,,2.40M,,2.40M,,,118.90M,121.30M,40.20M,,40.20M,41.30M,,41.30M,,,81.50M,202.80M,,,327.80M,,,,,,357.50M,,,
1984-12,112.70M,,112.70M,,58.40M,,,73.80M,8.60M,253.50M,,,,,360.00M,-131.90M,228.10M,,,,0.60M,228.70M,482.20M,,,,,,,,2.40M,,2.40M,,,98.10M,100.50M,43.20M,,43.20M,38.80M,,38.80M,,0.10M,82.10M,182.60M,,,275.00M,,,,,,299.60M,,,
